title,company,link,job_desc,job_func,location,job_type,source
Full-Stack Developer (Python/Django &amp; React),One Outsource,https://www.foundit.com.ph/job/full-stack-developer-python-django-react-one-outsource-philippines-34265455,"About One Outsource Direct Corp (OODC)Established in 2003, One Outsource Direct Corporation (OODC) is a Philippine-based company engaged in providing business process outsourcing (BPO) services to local and international companies. For over 21 years, we have been providing value-driven solutions to our customers globally, enabling them to achieve scalability and growth.Join One OutsourceTo be part of OODC means to be part of a team of go-getters. We are inspired to take responsibility, to learn new things, to initiate action, and to provide better customer experiences. As a boutique service BPO, we provide career opportunities that allow our passionate team members to excel, learn, and achieve career success quickly.We are looking for a skilled Full-Stack Developer with expertise in Python (Django Rest Framework) and JavaScript (React.js &amp; React Native). The ideal candidate should have experience with Anaconda, Jupyter, Pandas, NumPy, Matplotlib, and Scikit-Learn for data processing and analysis. Familiarity with version control (GitHub) and deployment on AWS &amp; DigitalOcean is required.RESPONSIBILITIESDevelop and maintain RESTful APIs using Django Rest Framework (DRF). Build responsive web applications using React.js and mobile apps using React Native.Work with Anaconda, Jupyter, Pandas, NumPy, and Matplotlib for data visualization and analysis. Implement machine learning models using Scikit-Learn when necessary.Optimize database queries and manage data pipelines efficiently. Collaborate with the team using GitHub for version control.Deploy, monitor, and scale applications on AWS and DigitalOcean. Troubleshoot and debug issues across the full stack.Proficiency in Python and Django Rest Framework for backend development. Strong experience with React.js and React Native for frontend and mobile app development. Hands-on experience with data analysis libraries (Pandas, NumPy, Matplotlib).Familiarity with Jupyter Notebook for data exploration and visualization. Knowledge of machine learning concepts using Scikit-Learn is a plus.Experience with version control (GitHub) for collaborative development. Ability to deploy applications using AWS and DigitalOcean. Strong problem-solving skills and attention to detail.QUALIFICATIONSExperience working with Docker and CI/CD pipelines.Knowledge of cloud infrastructure and DevOps best practices.Previous experience with API authentication and security best practices.Strong communication skills and ability to work in a team.SKILLSPython (Django Rest Framework)Anaconda, Jupiter, Pandas Numpy, Matplotlib, Scikit-LearnDockerJavascript (React js, React Native)Version control (Github)Deployment (AWS, Digital Ocean)                       Show more                                              Show less",,Philippines,Full-time,Foundit
Jr to Mid .NET or Python Developer with Flutter - Start ASAP,Outsourced,https://www.foundit.com.ph/job/jr-to-mid-net-or-python-developer-with-flutter-start-asap-outsourced-philippines-34196633,"Job SummaryJr to Mid .NET or Python Developer with Flutter - Immediate Start AvailableJob DescriptionCompany DescriptionOutsourced.ph is a leading ISO certified Philippines offshore outsourcing company that provides dedicated remote staff to some of the world&amp;aposs leading international companies. Outsourced is recognized as one of the Best Places to Work and has achieved Great Place to Work Certification. We are committed to providing a positive and supportive work environment where all staff can thrive. As an Outsourced staff member, you will enjoy a fun and friendly working environment, competitive salaries, opportunities for growth and development, work-life balance, and the chance to share your passion with a team of over 1000 talented professionals.The ClientA workflow software company developing myFLO. Our team consists of Filipino developers, supported by senior developers in Australia. As a fully online team, we maintain constant communication throughout the day to collaborate on development changes and updates efficiently.Need To HaveDevelopment environments required to be familiar with Flutter, MSSQ, .Net OR Python, JavaScript, jQuery and Bootstrap at least 2 yearsNice to have unipassWilling to learn new technologyDuties &amp; ResponsibilitiesSoftware development using .net, flutter, MSSQL, or python, JavaScript, bootstrap and unipaasWilling to learn a new technology UnipassDeveloping &amp; documenting processes and procedures for items that have been developedAnalyse client processes and design development and implementation strategiesWork in a team  will need excellent communication skills with the ability to work independently. Need to be reliableThe programming will entail developing dashboard reports using SQL, developing software application full stack development front and back end.Ability to work independently and as part of a team.Attention to detail is vitalTesting end to end and testing scenarios on local and staging environments Deployment to LIVE systems Problem solving / A keen eye for detail and the ability to troubleshoot and solve complex technical issues.Stick to a timeline (Timely manner)Ability to convert programming language to customer level understanding and submit documentationAbility to work under pressureImplement high-performance, reusable, and maintainable codeOptimize front-end performance for fast loading and smooth user interactionsWork Schedule: Monday- Friday 6am-3pm PH time Work Location: Homebased; equipment is providedBy clicking on the ""I&amp;aposm Interested"" button I hereby allow Outsourced Quality Assured Services, Inc. (""Outsourced"") to store and collect my personal information for the purposes of employment application. As such, I agree and authorize Outsourced to collect, store, or continue to use my personal information for the above-stated purpose, and to retain my personal information for a period of 1 year, and for these purposes only.                                Show more                                              Show less",,Philippines,Full-time,Foundit
Odoo and Python Developer,Yello X Supply Chain Solutions,https://www.foundit.com.ph/job/odoo-and-python-developer-yello-x-supply-chain-solutions-philippines-34284542,"Company DescriptionYelloX Supply Chain Solutions is focused on optimizing supply chain operations through a solutions-based approach. We are your partner in supply chain management. We are your one-stop solution for supply chain challenges. Our technology-driven approach ensures that your products get from the source to the customer quickly, safely, efficiently, and in perfect condition. We help you save time, reduce costs, and improve customer satisfaction. Whether you&amp;aposre selling online, managing a warehouse, or providing transportation logistics, we can help you optimize and streamline your operations, and maximize profit margin.We have been constantly innovating and expanding our services to meet the diverse and dynamic demands of our clients. Whether it is e-commerce, warehousing, transport or distribution, we have the expertise, the network and the tools to deliver efficient and reliable business solutions.Role DescriptionThis is a project-based role for an Odoo and Python Developer. The Odoo and Python Developer will be responsible for back-end web development and system development. The role requires working closely with a business analyst to deliver high-quality solutions.QualificationsExperience in Back-End Web Development and System Development using Odoo and Python.Proficiency in Database management and integrationExcellent problem-solving and analytical skillsTeam player with strong collaboration skillsBachelor&amp;aposs degree in Computer Science, Engineering, or related field                       Show more                                              Show less",,Central Visayas (Region VII),Full-time,Foundit
Python Developer,"Civicom, Inc.",https://www.foundit.com.ph/job/python-developer-civicom-inc-philippines-33928555,"Job DescriptionWe need a Python Engineering Developer who will join our Python Innovation team designed to teach both beginner and advanced coders how to create innovative solutions, provide opportunities for collaboration and experiential learning, build a Python community, and further promote our data and efficiency driven culture. The team is primarily focused on empowering innovation through automation, pushing employees to work smarter, not harder.With thousands of newly trained coders, we are looking for an experienced coder to partner with these citizen developers to build solutions, provide code reviews, assist with troubleshooting, and creating their own innovation solutions.This role requires a wide variety of strengths and capabilities, including:Advanced Python knowledge and coding ability; having 2+ years of experience is a plusStrong communication skillsStrong organizational skills with high attention to detailPassion for helping others succeed and providing them with technical support and coachingDesire to foster and advance a strong Python communityInherent curiosity and drive towards innovationAbility to work on a small team, drive initiatives, and be a self-starterIF YOURE THE REALLY GOOD PERSON FOR THIS ROLE, YOU GET:A full-time employment and an opportunity to be regularized in as short as 3 months;A competitive salary package based on your work experience and skills;HMO coverage upon regularization;Company-sponsored gym benefit upon regularization;Quarterly Performance Bonus;Perfect Attendance Bonus;10 accrued Sick Leave credits in a year  unused ones are commutable to cash; and10 Vacation Leave credits in a year, among others; andA massive opportunity to expand your development expertise and work for a big financial services company.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Senior Python Developer,Intellectsoft,https://www.foundit.com.ph/job/senior-python-developer-intellectsoft-philippines-34278722,"Intellectsoft is a software development company delivering innovative solutions since 2007. We operate across North America, Latin America, the Nordic region, the UK, and Europe.We specialize in industries like Fintech, Healthcare, EdTech, Construction, Hospitality, and more, partnering with startups, mid-sized businesses, and Fortune 500 companies to drive growth and scalability. Our clients include Jaguar Motors, Universal Pictures, Harley-Davidson, Qualcomm, and London Stock Exchange.Together, our team delivers solutions that make a difference. Learn more at www.intellectsoft.netOur customer's product is an AI-powered platform that helps businesses make better decisions and work more efficiently. It uses advanced analytics and machine learning to analyze large amounts of data and provide useful insights and predictions. The platform is widely used in various industries, including healthcare, to optimize processes, improve customer experiences, and support innovation. It integrates easily with existing systems, making it easier for teams to make quick, data-driven decisions to deliver cutting-edge solutions.RequirementsA degree in computer science or a related fieldAt least 5 years of experience in software developmentProficient in Python, especially with FastAPI or similar frameworks like Flask and DjangoSkilled in building scalable backend systems, APIs, and microservicesGood problem-solving skills and ability to work well in a fast-paced, collaborative environmentUnderstanding of AI/ML concepts and experience integrating AI models into backend servicesExcellent communication skills and EnglishNice to haveExperience with cloud services (AWS, GCP, Azure) and containerization (Docker, Kubernetes)Familiarity with databases (SQL, NoSQL)Experience in UI development using ReactJS would be a plusResponsibilitiesCrafting and deploying scalable backend systems, APIs, and microservicesEnforcing software development best practices, verifying design compliance with requirements, and ensuring timely delivery of high-quality workCoding backend applications using Python, SQL, and NoSQL databasesResolving issues within the backend application codeDesigning and executing backend architectureDocumenting application modifications and creating updatesBenefits35 absence days per year for work-life balanceUdemy courses of your choiceEnglish courses with native-speakerRegular soft-skills trainingsExcellence enters meetupsOnline/offline team-buildings",,Philippines,Full-time,Foundit
Senior Python Developer (An),Intellectsoft,https://www.foundit.com.ph/job/senior-python-developer-an-intellectsoft-philippines-34195785,"Intellectsoft is a software development company delivering innovative solutions since 2007. We operate across North America, Latin America, the Nordic region, the UK, and Europe.We specialize in industries like Fintech, Healthcare, EdTech, Construction, Hospitality, and more, partnering with startups, mid-sized businesses, and Fortune 500 companies to drive growth and scalability. Our clients include Jaguar Motors, Universal Pictures, Harley-Davidson, Qualcomm, and London Stock Exchange.Together, our team delivers solutions that make a difference. Learn more at www.intellectsoft.netOur customer&amp;aposs product is an AI-powered platform that helps businesses make better decisions and work more efficiently. It uses advanced analytics and machine learning to analyze large amounts of data and provide useful insights and predictions. The platform is widely used in various industries, including healthcare, to optimize processes, improve customer experiences, and support innovation. It integrates easily with existing systems, making it easier for teams to make quick, data-driven decisions to deliver cutting-edge solutions.RequirementsA degree in computer science or a related fieldAt least 5 years of experience in software developmentProficient in Python, especially with FastAPI or similar frameworks like Flask and DjangoSkilled in building scalable backend systems, APIs, and microservicesGood problem-solving skills and ability to work well in a fast-paced, collaborative environmentUnderstanding of AI/ML concepts and experience integrating AI models into backend servicesExcellent communication skills and EnglishNice to haveExperience with cloud services (AWS, GCP, Azure) and containerization (Docker, Kubernetes)Familiarity with databases (SQL, NoSQL)Experience in UI development using ReactJS would be a plusResponsibilitiesCrafting and deploying scalable backend systems, APIs, and microservicesEnforcing software development best practices, verifying design compliance with requirements, and ensuring timely delivery of high-quality workCoding backend applications using Python, SQL, and NoSQL databasesResolving issues within the backend application codeDesigning and executing backend architectureDocumenting application modifications and creating updatesBenefits35 absence days per year for work-life balanceUdemy courses of your choiceEnglish courses with native-speakerRegular soft-skills trainingsExcellence enters meetupsOnline/offline team-buildings                       Show more                                              Show less",,Philippines,Full-time,Foundit
Senior Python Developer,iSupport Worldwide,https://www.foundit.com.ph/job/senior-python-developer-isupport-worldwide-philippines-34308130,"Be a part of our fast-growing team and unchain all the possibilities!What is your missionWe are looking for aSenior Python Developer. In this role, you will be responsible for the development, customization, and maintenance of Odoo modules, as well as the integration of AI-driven solutions to enhance business processes. You will work closely with the IT Director and collaborate with various teams to implement solutions that align with our companys objectives and technological goals.You will provide the best service to our partner client by performing these tasks:Design, develop, and customize Odoo modules to meet business requirements.Integrate AI technologies with Odoo for process automation, predictive analytics, and improved decision-making.Partner with DevOps and IT teams for the deployment and maintenance of Odoo systems.Troubleshoot and resolve issues and bugs related to Odoo.Document technical designs, processes, and changes in code.Provide continuous support for system improvements, including AI-driven features.Contribute to system analysis and design, utilizing AI insights.Stay informed about the latest advancements in AI, machine learning, and ERP systems.Who are we looking forBachelors degree in Computer Science, Information Technology, or a related field.At least 5 years of experience in Python or Odoo development and implementation.Proven expertise in AI technologies such as machine learning, natural language processing, or predictive analytics.Strong proficiency in Python or the Odoo framework.Familiarity with PostgreSQL, XML, JavaScript, and other Odoo technologies.Solid experience in the full Software Development Life Cycle (SDLC).Knowledge of AI tools and frameworks like TensorFlow, PyTorch, or OpenAI.Exceptional problem-solving abilities and analytical thinking.Must be available for full-time, onsite work in Ortigas, Pasig City.Strong communication skills for effective collaboration with cross-functional teams and clients.A collaborative mindset and a passion for teamwork.Experience with Agile methodologies is a plus.Company PerksAbove-industry salary package and incentivesComprehensive HMO benefits and life insurance from day 1Free learning and development courses for your personal and career growthDynamic company eventsOpportunities for promotionFree meals and snacks                       Show more                                              Show less",,Philippines,Full-time,Foundit
Python Developer,Genzeon,https://www.foundit.com.ph/job/python-developer-genzeon-philippines-34202878,"Sr Python DeveloperFTEPhilippines-100% Remote (Work any where in Philippines )Job Description:We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.Must have skills: Python (Django, Flask), Tornado or Asynchronous Microservices, DB Skills Cloud knowledgeSkills: Solid experience coding in Python and preferably in Retail domain experience knowledge of GIT Expert in Python, with knowledge of Python web framework. Understanding of the threading limitations of Python, and multi-process architecture Good understanding of server-side templating language Code packaging, release, and deployment Cloud working knowledge (AWS, Azure, GCP) Database knowledge - MongoDB Code versioning tools like Git, SVN, etc Strong Unit testing and Debugging skills Candidates need a strong understanding of REST API design and coding. o They should be able to design APIs, write contracts, and handle HTTP verbs (GET, POST, PUT, DELETE, etc.) effectively. Asynchronous Client Webservices: o Experience in building asynchronous client webservices is crucial.o Candidates are struggling in this area, making it a key focus for improvement. Tornado Framework: o Knowledge of Tornado is a plus, but not mandatory for the role. MongoDB: o Familiarity with MongoDB is extremely helpful and considered a huge plus for candidates. Emphasize REST API design, including contract design and proper handling of HTTP verbs. Focus on improving candidates&amp;apos knowledge of asynchronous web services (understanding of frameworks like Tornado can be beneficial).                       Show more                                              Show less",,Philippines,Full-time,Foundit
Full Stack Python Developer,Tahche Careers,https://www.foundit.com.ph/job/full-stack-python-developer-tahche-careers-philippines-33921201,"Our US Partner Client is the fastest-growing SaaS solution in the third-party logistics market. Keeping up with the massive increase in online retail activity from companies like Amazon, Shopify, Target, and the growth in supply chain logistics can be challenging for warehouses. Born within an active 3PL warehouse, they are the first cloud-based warehouse management platform to better serve customers and increase warehouse efficiencies to grow their businesses. They pride themselves on understanding and delivering best practices and excellence to 3PLs and their customers.We are seeking a skilled Full-Stack Developer proficient in Python and modern front-end frameworks (React, Vue, or Angular) to develop and optimize web applications. Responsibilities include building UIs, managing RESTful APIs, automating tasks, and collaborating with cross-functional teams to enhance system efficiency. Strong problem-solving skills, Git, and an Agile mindset are essential.This is a full-time role, on a US shift and on a Hybrid work set-up.If you have the right skill set, this may be your opportunity to enter this fast-growing organization.DUTIES AND RESPONSIBILITIES:Develop, maintain, and troubleshoot tools and applications using Python on the backend.Build and enhance front-end features using React, Vue, or Angular, applying solid CSS concepts for responsive and modern design.Create and consume RESTful APIs to integrate various system components and services.Write and maintain scripts to automate repetitive tasks, optimize workflows, and improve overall system efficiency.Collaborate with cross-functional teams, particularly Customer Service Representatives, to address system issues and develop solutions that simplify their processes.Participate in code reviews, contribute to design discussions, and help establish best practices for support and full-stack development.QUALIFICATIONS:Experience in Python programming, including familiarity with frameworks and libraries for backend development.Competence with one or more modern front-end frameworks (React, Vue, or Angular) and in-depth understanding of CSS/HTML.Solid knowledge of RESTful API concepts: how to build, integrate, and maintain them.Proficiency in scripting (e.g., Python scripts, Shell scripts) to automate tasks and handle system-level operations.Familiarity with version control (e.g., Git) and Agile development methodologies.Strong problem-solving skills, attention to detail, and the ability to manage multiple tasks effectively.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Junior Python Developer,ShipERP,https://www.foundit.com.ph/job/junior-python-developer-shiperp-philippines-34309552,"Position OverviewAs an Entry-Level Python Developer, you will be part of a development team responsible for building and maintaining software applications and APIs using Python. You will work under the guidance of senior developers to contribute to coding, testing, and troubleshooting tasks.Responsibilities Assist in the development of Python applications and APIs.  Collaborate with team members to understand requirements and contribute to software design.  Write clean, maintainable, and well-documented code.  Perform unit testing and debugging to identify and resolve issues.  Participate in code reviews and provide feedback.  Document code, processes, and procedures to ensure clarity and maintainability. Required Qualifications Bachelor&amp;aposs degree in computer science, Information Technology, or a related field (or equivalent experience).  Basic understanding of Python programming.  1-year solid experience in Python  Familiarity with programming concepts and object-oriented principles.  Some exposure to version control systems (e.g., Git).  Good problem-solving skills and attention to detail.  Willingness to learn and adapt to new technologies.  Strong communication and teamwork skills. Preferred Qualifications Experience with: SAP  Logistics  PHP  HTML5                       Show more                                              Show less",,Philippines,Full-time,Foundit
