title,company,link,job_desc,job_func,location,job_type,source
Mechanical Project Engineer,Holcim Philippines Inc.,https://ph.linkedin.com/jobs/view/mechanical-project-engineer-at-holcim-philippines-inc-4185441033?position=22&pageNum=0&refId=XeRh2h2iWorTCqR%2B571sEw%3D%3D&trackingId=sPYns5yiOJWEx3gvve7G2w%3D%3D,"Oversees and manages mechanical projects from start to finish. Conducts engineering review and drawings interpretation and work with regard to all mechanical and/or steel structure erection work aspects on site and report to the Site manager.Responsibilities:Develops project plans, defining project objectives, and creates a detailed timeline for project completion. This includes estimating budgets, allocating resources, and identifying potential risks.Coordinates and leads a multidisciplinary team of engineers, technicians, and contractors. Ensures effective communication, fosters collaboration, and resolves any conflicts that may arise.Reviews and approves technical designs, specifications, and calculations to ensure compliance with project requirements and industry standards.Monitors project expenses, tracks costs, and makes effective budgeting decisions are important aspects of your role.Ensures the quality of deliverables and compliance with Holcim Safety and Environment regulations.Serves as the main point of contact for stakeholders, such as clients, contractors, and senior management. Regularly updates them on project progress, milestones, and any issues that may arise is essential.Identifies potential risks, develops risk mitigation strategies, and implements contingency plans. Analyzes project risks related to timelines, budgets, resources, and develops strategies to minimize their impact.Requirements:Candidate must be a graduate of Bachelor of Science in Mechanical Engineering.Must be a Licensed Mechanical EngineerMust have a minimum of 5 years experience in mechanical project planning and execution in a manufacturing plant.Temporary Employment: 10 months",Engineering,Other,Contract/Temporary,Linkedin
Mechanical Engineer,San Miguel Corporation,https://ph.linkedin.com/jobs/view/mechanical-engineer-at-san-miguel-corporation-4199365574?position=17&pageNum=0&refId=XeRh2h2iWorTCqR%2B571sEw%3D%3D&trackingId=AmZEESGYnspJ53xfzYhGyw%3D%3D,"Hiring Company Overview:ArchEn Technologies, Inc., a wholly-owned subsidiary of San Miguel Corporation, serves as SMC's dedicated engineering and construction arm. Specializing in a wide array of services, ArchEn Covers Architectural Design, Engineering Design, and Construction Management for enterprises across various sectors.Job Summary:We are seeking a Licensed Mechanical Engineer with experience in project planning, conceptualization, and design. The role involves developing project plans, schedules, and flow sheets based on business unit's requirements and collaborating with different teams and departments. The ideal candidate will have strong technical expertise, problem-solving skills, and a commitment to maintaining high standards of project planning and design.ResponsibilitiesDeveloping comprehensive project plans, schedules, and flow sheets based on the business unit’s requirements to ensure timely and cost-effective project completion.Collaborating with cross-functional teams and departments to ensure alignment, integration, and consistency across all engineering disciplines and project phases.Overseeing and tracking project progress by implementing effective monitoring systems and tools to ensure adherence to project timelines, milestones, and budgets.Preparing and presenting technical reports, documentation, and progress updates to internal teams, management, and stakeholders.Participating in site visits and inspections to validate design implementation, resolve issues, and ensure compliance with project and safety requirements.Recommending and implementing design modifications or process improvements to enhance performance, reduce costs, or improve efficiency.QualificationsBachelor's degree in Mechanical Engineering.A Licensed Mechanical Engineer.Must have a minimum of 1-2 years of experience in project planning and design.Strong problem-solving and critical-thinking skills.Ability to multi-task, organize, and prioritize work.",Engineering,National Capital Region (NCR),Full-time,Linkedin
Mechanical Engineer,RED Engineering Design,https://www.foundit.com.ph/job/mechanical-engineer-red-engineering-design-philippines-34264851,"Job ResponsibilitiesResponsible for contributing to and where appropriate leading R&amp;D engineering projects. Undertakes a role in the development and design of engineering services, implementing new ideas and new technologies for Mechanical or Electrical installations, systems, equipment, etc. in data centers (DCs).Researches new and emerging technologies (including renewables) in DC engineering and where appropriate implement them into test designs.Innovate new designs that aim to make the operational &amp; construction environmental Impact of DCs as positive as possible.Seek to be at the forefront of new thinking for Net Zero Carbon DC design, Artificial Intelligence &amp; liquid cooling technologies.Create designs and engineering solutions that can then be implemented into client projects.  Work with RED project teams to implement new solutions into live project designs.  Interest and ability to work on whole life cycle analysis (WLCA).Contribute to the RED library of concept designs and ensure these are up to date with new solutions.Present new design solutions both internally and to external clients.  Generate white papers and technical articles for publication.Present innovative engineering ideas and solutions at industry events.  Day to day decision making on project progress and direct liaison with and provides advice to clients.Can be mentored to represents RED at technical meetings with customers, professional teams and contractors teams.Ensures engineering calculations and drawings meet required robust industry &amp; legal standards.  Can contribute to project &amp; engineering coordinationTakes a holistic view in the selection and application of engineering concepts and solutionsJob Qualifications:Bachelor, MSc/MEng or PhD in appropriate engineering discipline.Member of CIBSE/IMechE/IET or working towards Membership of a Professional Institution.  At least 2 years experience in the design of building services with at least 1 years experience in the design of DCs.Ability to research Ability to think innovatively Good understanding of mechanical/electrical engineering from first principles .Ability to prioritize own workload.Ability to work to deadlines.Managerial &amp;Presentation skills.Technical report writing skills.Sound knowledge of key Health &amp; Safety issues and legislation Knowledge of MS Office applications word, excel, etc. Ability to use IT based calculation and spreadsheet software  Basic working knowledge of CAD functionality Good understanding of BS EN standards / UK Regulations / Codes / UTI / UKGBC Good understanding of the world climate emergency Understanding of or willingness to develop modeling capabilities for system Reliability.Background in consulting or construction preferred.Good understanding of international working and business operations of a global consultancy.Act in an ethical manner and follow the principles of the Ethics Charter and Ethics in Practice Guidelines of the Group.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Mechanical Design Engineer (Automotive),Michael Page,https://www.foundit.com.ph/job/mechanical-design-engineer-automotive-michael-page-philippines-34042362,"Work in an MNC company that has an aggressive growth globally and locally.Opportunity to work in a multinational and collaborative environment.About Our ClientThis is a large organization that has established a strong global presence in the automotive industry. The company prides itself on its commitment to innovation and efficiency, creating sustainable solutions that are valued by its wide client base.Job Description Uses appropriate mechanical design strategies in the creation of assigned components Collaborates with the Industrial Design Department, part manufacturer and others to meet aesthetic, fit and finish, and rider interface goals Follows Design for Manufacturability (DFM) and Design for Assembly (DFA) best practices Tracks and reports on progress vs. established timeline accountable for holding due dates Understands dependencies between engineering development and downstream stakeholders Maintains parts&amp;apos database through generation of assigned part numbers and descriptions Owns full documentation and change control of assigned parts, including associated engineering drawings and other documents Generates and tracks to implementation Engineering Change Records (CRs) Maintains Bills of Materials (BOMs) Prepares documents to support regulatory submissions, Manufacturing Engineering Reviews and approves assembly and service processes associated with assigned parts Work with electrical wire interconnect systems (wire harnesses) Environmental enclosure designThe Successful Applicant Bachelor&amp;aposs degree in Mechanical Engineering and minimum 2 years&amp;apos experience or 6-8 years applicable design experience Advanced working knowledge of:Solid modeling, large assemblies, drawings (SolidWorks preferred)Strong understanding of manufacturing processes; most importantly plastic injection molding, plating, over molding, also forging, casting, machining, weldments, sheet metal, paintingGD&amp;T and tolerance stack analysis Experience with Bills of Materials, Engineering Change Records, Document ControlWhat&amp;aposs On OfferOpportunity to work in a large organization that values innovation and efficiencyThe chance to contribute to exciting projects in the automotive sectorIf you are a dedicated Mechanical Design Engineer looking for an exciting opportunity to innovate and excel, we would love to hear from you. Apply today!Contact: Danica Mae AbanteQuote job ref: JN-022025-6667002                       Show more                                              Show less",,Philippines,Full-time,Foundit
Senior Mechanical Design Engineer,WSP in Manila,https://www.foundit.com.ph/job/senior-mechanical-design-engineer-wsp-in-manila-philippines-34304309,"WSP, a world leading management and consultancy firm, connects you to a vast array of opportunities. We are a collaborative team of experts that thrives on challenge and unconventional thinking. At WSP we make extraordinary efforts to attract, develop, engage and retain the best professionals in our fields of expertise because this is what makes us great.We currently have an exciting opportunity for a Senior Mechanical Design Engineer to join our Team.The purpose of opening the Senior Engineer, Mechanical position is to oversee and coordinate the mechanical systems for building projects from design through to project completion.What You&amp;aposll do:Responsible for mechanical system coordination &amp; integration for building projects from design, tender preparation to project administration.Site inspection, coordination and attend meetings for building development, fast-track and/or mission critical projects.Liaise with clients, clients&amp;apos consultants, contractors and authorities from concept to detailed design and construction administration till project completion.Health, Safety and WellbeingEmbody behaviours that support a strong health and safety culture.Take reasonable steps to ensure personal health and safety, as well as that of others affected by activities.Comply with safety rules, procedures, and instructions issued by the company or authorized persons.Make proper use of facilities, equipment, and clothing provided for protection.Identify significant hazards associated with activities and eliminate them where possible.Reduce and control remaining risks to prevent harm.Participate in necessary health and safety training.Take note of health and safety information and instructions provided.Rectify health and safety problems or defects where safely and reasonably possible.Report issues if unable to rectify them.Foster good working relationships and embrace diversity and inclusion.Support employees&amp;apos overall wellbeing to create a healthy and productive workplace.Self-DevelopmentTake the lead to establish personal career experiences, development and performance goals through regular and relevant Thrive conversations.Keep up-to-date with developments in your professional area. Make use of expert collaboration opportunities such as PANS to develop and maintain a network of technical/professional support and excellence.Achieve and/or maintain professional registrations/licences relevant to your role.Update the Capabilities Database for sharing capabilities and qualifications within the business.Regularly reflect on the contribution you make to your team culture to embrace diversity, strive for excellence and demonstrate our Guiding Principles.What We&amp;aposll Love About You:Bachelor&amp;aposs degree or above in Mechanical Engineering or equivalent.5+ years of relevant engineering design experience and knowledge in Mechanical systems.Prior experience in engineering consulting work or project management will be advantageous.Strong communication and interpersonal skills.Ability to work independently and as part of a team.Proficiency in relevant engineering software and tools.What You&amp;aposll Love About Us:At WSP you&amp;aposll be part of a supportive organisation that encourages continued development through structured technical/management training, global and local practice networks and wellbeing programs.We believe that a blend of empowerment and responsibility results in outstanding achievements. We hold all of our colleagues to the same above-average standards, while providing them with the tools, training and support they need to craft their own journeys.Join us in doing purposeful work, helping our communities thrive today, while shaping them for tomorrowExpress your interest by clicking on the &amp;aposapply now&amp;apos button.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Mechanical Engineer  HVAC,SYSTRA,https://www.foundit.com.ph/job/mechanical-engineer-hvac-systra-philippines-34283350,"SYSTRA is one of the world's leading engineering and consultancy groups specialising in public transport and sustainable mobility. With over 10,300 employees, SYSTRA's mission is to design safe and sustainable transport solutions to bring people together, develop social inclusion and facilitate access to employment, education and leisure throughout the world.For 65 years, the Group has been working alongside cities and regions to contribute to their development by creating, improving and modernising their infrastructure and transport systems, throughout the life cycle of their projects. SYSTRA is involved from the earliest stages of design through to the testing, deployment and maintenance phases. The company provides all its services in over 80 countries worldwide and generates 74% of its turnover internationally. With its new services, SYSTRA supports its clients and partners in their digital, ecological and energy transition, in order to invent the mobility of tomorrow.ContextThe position will be responsible for implementing project design and improvement to existing products in accordance with design plans. The position will also provide ground up mechanical support for sustainable railway and infrastructure efforts.Missions/Main DutiesCollaborate with various functions to determine mechanical applications and requirements;Conduct research to inform the design and engineering methods required for the mechanical systems;Plan and execute mechanical designs using CAD, CAM, 3D CAD or other applicable programs and software;Document the design process, iterations, and test analytics.Liaise with clients, designers, engineers, and manufacturers to ensure coherence;Prepare technical reports, design specifications documents, and operational manuals; andKeep abreast of the latest advancements in technology, design trends, and engineering best practices.Specify Heating , ventilation and Air conditioning Equipment to meet room design requirementsPlan the placement of pipework, ducting and control panelsInstruct draftsman to prepare design drawingsPreparing design calculations and reportsPrepare equipment specificationsProfile/SkillsBachelor's degree in Mechanical Engineering;A minimum of two (3) years of experience as a mechanical design engineer;Proficiency with engineering design programs such as AutoCAD, Solidworks and Rhino;Experience in Carrier HAPSmoke simulation softwareSound knowledge of design and engineering principles and best practices;Strong analytical and problem-solving abilities;Exceptional time management and organizational skills;Excellent verbal and written communication abilities;Attentive to detail and critically minded; andThe ability to stay abreast of advancements in technology and engineering design trends.Systra is an equal opportunities company; this position is open to all applicants.                                Show more                                              Show less",,Philippines,Full-time,Foundit
Mechanical Engineer,WalkerBai Consulting,https://www.foundit.com.ph/job/mechanical-engineer-walkerbai-consulting-philippines-34016705,"POSITION OVERVIEWWe are currently seeking a highly motivated Building Services Mechanical Engineer for our Philippine Region. Your role is primarily responsible for delivering high level and effective mechanical engineering services to the WalkerBai Group.The Mechanical Engineer is a vital member of our team, entrusted with designing, evaluating, and validating Mechanical Engineering Services across diverse projects. This role entails ensuring adherence to regulatory standards, enhancing safety measures within built environments, and partnering with multi-disciplinary teams to seamlessly integrate mechanical solutions into project designs.KEY RESPONSIBILITIES:Project DeliveryResponsible for managing the design and documentation of mechanical services HVAC projects under guidance of senior mechanical engineers.Manage the delivery of quality design documentation capturing any variation to project scope and communicating all resourcing requirements and project headlines to the project lead.Manage senior mechanical engineers expectations and concerns.SUCCESS MEASURES:Projects completed on time and within scope/budget.Projects managed effectively to meet deadlines.Production of high-quality mechanical documentation.TECHNICAL LEADERSHIPKey Responsibilities:Model our values and contribute positively to our team culture.Recognise and highlight positive culture contribution within the teams.Encourage and participate in inter-discipline collaboration.Assist our team with workflow, workload, and project queries.Ensure the team are aware of, comply with, and uphold technical standards and project requirements.Remain up to date with current Australian Codes and Regulations.Investigate and implement best practices in engineering techniques. Actively share your depth of industry knowledge with the team.Success Measures:A positive team culture and supportive environment.Actively seeks to review technical issues with team members.Demonstrates ability to take on feedback and improve.Team members understand and comply with quality standards and project requirements.Skills required:Experience in the end-to-end design and documentation of mechanical services on a wide variety of project types and sizes from concept to tender/construction issue.Experience coordinating mechanical services with other design disciplines.Excellent communication both written and verbal with all stakeholders.Good understanding of Australian Building Codes &amp; Standards.Strong organization and time management skillsExperience using thermal heat load calculation software, Camel, Carrier or IES.Documentation experience with AutoCAD, Revit, BIM 360.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Mechanical Engineer for Bacolod Project,Bureau Veritas Group,https://www.foundit.com.ph/job/mechanical-engineer-for-bacolod-project-bureau-veritas-group-western-visayas-34032093,"We are seeking a skilled and motivated Mechanical Engineer to join our team for exciting Buildings &amp; Infrastructure projects in Bacolod City. The successful candidate will play a pivotal role in overseeing construction activities related to the Mechanical, Electrical, Fire Protection, and Sanitation (MEFPS) trades, ensuring the highest standards of quality, safety, and compliance throughout the project lifecycle. This position offers the opportunity to collaborate with multidisciplinary teams and tackle complex engineering challenges on-site.Key Responsibilities:Monitor and supervise the construction works of MEFPS trade contractors to ensure adherence to plans, specifications, and industry best practices.Conduct site inspections, testing, and commissioning to verify compliance with established standards, specifications, and methodologies.Implement and promote total quality work processes, along with strict adherence to health and safety protocols on-site.Coordinate with designers and consultants to address site conditions, design challenges, and modifications.Participate in technical coordination meetings with contractors and utility providers, facilitating timely resolutions of on-site implementation issues.Take on additional tasks as assigned, contributing to the smooth execution of the project.Job Requirements:Must be a Registered Mechanical Engineer (RME).Minimum of 3 years of relevant experience in mechanical engineering within the construction industry.Proficiency in MS Office (Word, Excel, PowerPoint, Outlook) and AutoCAD.Experience with SketchUp and project management tools is a plus.Strong ability to work efficiently under pressure and meet deadlines.Immediate availability to start.Willingness to relocate.                       Show more                                              Show less",,Western Visayas (Region VI),Full-time,Foundit
Resident Engineer - Electrical/Mechanical/Civil Engineer,SM Engineering Design and Development Corp.,https://www.foundit.com.ph/job/resident-engineer-electrical-mechanical-civil-engineer-sm-engineering-design-and-development-corp-philippines-34268325,"JOB DESCRIPTION:The Tasks/Responsibilities of the position are as follows:Bid EvaluationCreates bid/buying specifications, guidelines and standards for Land and Building Improvement projects (e.g. installation guidelines, synopsis template, etc.)Assesses previous project implementationsConducts case studies and innovation studies.Initiates system improvements based on historical data and other references (e.g. cost standardization, contractor mapping, etc.)Assists the Project Owners during negotiation by providing pre-assessment of quotations and project details.Handles comprehensive evaluation of projects for approval based on the following, but not limited to, compliance to specifications and standards, OPEX and CAPEX analysis, technical analysis and contractors performance.Project ManagementMonitors contract terms thru warranty trackersMonitors status, project timelines and milestones of on-going projects.Handles Roof Management Committee (RMC)  Roof Replacement, Waterproofing, Protective Coating, and all Land and Building Improvement projects (LBI)Consolidates and analyzes reports, and issues and concerns of all malls nationwide for project under RMC and LBI; to be discussed during weekly/monthly meetingsDirects and collaborates with Technical Heads and Project Owners to generate their regional reports and to help further improve the committeeCoordinates with RMC and LBI contractors to help Project Owners resolve their major issues and concerns.Consolidates, generates and analyzes Contractors Performance Evaluation ratings from all mall nationwide- to be reported to all stakeholdersEnsures contractors compliance to the bid documents (approves plans and specifications) during the entire project implementation.Organizes and facilitates centralized pre-bid meetings for all CapEx and OpEx projects.Close coordination with NDT for Design Standard Criteria verificationQA/QCConducts spot audit on site to ensure compliance to specifications and standardsConsolidates audit/close-out reports on on-going projects to ensure compliance to specifications and standards.Punchlists all new constructed malls before turnover to EDD OperationsCompiles all punchlist items and generates report to ensure compliance to specifications and standards.JOB REQUIREMENTS:With a degree in BS Electrical / Mechanical/Civil EngineeringLicensed Electrical, Mechanical, or Civil EngineerWith at least 2 years direct experience in electro-mechanical maintenance or construction works and at least I year engineering experience in a supervisory capacityWith good working knowledge of national and local building codes and safety standardsMust be willing to be assigned in MOA, Pasay or any mall branches in Metro Manila                       Show more                                              Show less",,Philippines,Full-time,Foundit
Mechanical Engineer: Fire Protection,SYSTRA,https://www.foundit.com.ph/job/mechanical-engineer-fire-protection-systra-philippines-34230100,"SYSTRA is one of the world&amp;aposs leading engineering and consultancy groups specialising in public transport and sustainable mobility. With over 10,300 employees, SYSTRA&amp;aposs mission is to design safe and sustainable transport solutions to bring people together, develop social inclusion and facilitate access to employment, education and leisure throughout the world.For 65 years, the Group has been working alongside cities and regions to contribute to their development by creating, improving and modernising their infrastructure and transport systems, throughout the life cycle of their projects. SYSTRA is involved from the earliest stages of design through to the testing, deployment and maintenance phases. The company provides all its services in over 80 countries worldwide and generates 74% of its turnover internationally. With its new services, SYSTRA supports its clients and partners in their digital, ecological and energy transition, in order to invent the mobility of tomorrow.ContextJob Title Mechanical Engineer: Fire ProtectionReports To: MEPF ManagerPosition Summary: The position will be responsible for implementing conceptual &amp; detailed project design and improvement to fire detection &amp; protection in accordance with design plans. The position will also provide ground up mechanical support for sustainable railway and infrastructure efforts.Missions/Main DutiesKey ActivitiesCollaborate with various fields to determine the applications and requirements;Conduct research and site inspection to comply the design and engineering requirements as specified in the employers requirements for the fire protection systems &amp; HVAC;Plan and execute mechanical designs using CAD, CAM, 3D CAD, Revit or BIM and other applicable calculation programs and software to produce optimal design;Has strong exposure in the Fire Detection, Protection design &amp; execution , preferably with exposure as designer of Kidde, Honeywell-Notifier, Mircom, FM200, NOVEC1230, CO2, Inert Gas &amp; interface to auxiliary systems(FDAS), familiarity of building &amp; Fire Code of the Philippines, NFPA &amp; other international codes and standards.Liaise with clients, designers, engineers, and manufacturers to ensure coherence;Prepare technical reports, design specifications documents, and operational manuals; and keep abreast of the latest advancements in technology, design trends, and engineering best practices.Profile/SkillsQualifications / Skills And Knowledge RequirementsBachelors degree in Mechanical Engineering &amp; other related field;A minimum of five (5) years of experience as a fire protection design engineer;Proficiency with engineering design programs such as AutoCAD, Solidworks and Rhino;Sound knowledge of design and engineering principles and best practices in Fire Protection, Suppression and Alarm systems, HVAC and conducting site inspection &amp; survey;Strong analytical and problem-solving abilities &amp; as peer reviewer of other designer;Exceptional time management and organizational skills;Excellent verbal and written communication abilities;Attentive to detail and critically minded; andThe ability to stay abreast of advancements in technology and engineering design trends.Educational RequirementsBachelor of Science in Mechanical Engineering and other related field;Masters Degree is an advantageSystra is an equal opportunities company; this position is open to all applicants.                                Show more                                              Show less",,Philippines,Full-time,Foundit
