,title,company,link,job_desc,job_func,location,job_type,source
0,Python Developer,Theoria Medical,https://ph.linkedin.com/jobs/view/python-developer-at-theoria-medical-4173588943?position=1&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=VslP1WdlNV9nQrW5wgn4MQ%3D%3D,"Position Type: Full-Time, Non-exemptCompensation: Php 30k to 60k per month (All-in salary package)Job Location: Philippines (Remote)Job Highlights: &nbsp;Paid Time Off: Relax and recharge with paid vacation and sick leaves.Bonus Boost: Enjoy an extra bonus with our 13th month pay.Health Matters: Get comprehensive HMO coverage upon regularization.Weekends Free: Say goodbye to work on weekends and embrace personal time.Extra Earnings: Overtime opportunities available for additional income.Work-Ready: We provide the essential work device for seamless productivity.Company Overview:&nbsp;Theoria Medical is a comprehensive medical group and technology company dedicated to serving patients across the care continuum with an emphasis on post-acute care and primary care. Theoria serves facilities across the United States with a multitude of services to improve the quality of care delivered, refine facility processes, and enhance critical relationships. We offer a broad scope of services including multispecialty physician services, telemedicine, remote patient monitoring, and more. We currently operate primary care clinics and provide medical services to skilled nursing facilities in numerous states across the nation.&nbsp;As a leading edge, innovative, and quality driven physician group, we continue to expand nationally.&nbsp; In pursuit of this, we continue to seek talented individuals to join our amazing team and care for our population. We wish to extend a warm welcome to all candidates interested in making a difference in healthcare delivery by joining the Theoria team.We are seeking a highly skilled Python Developer to join our Data Science and Analytics department. As a Python Developer, your main responsibility will be to write scripts for automation projects. This role offers an excellent opportunity to work on an exciting projects and showcase your expertise in Python development.&nbsp;&nbsp;Shift StructureMonday-Friday 9 am-5 pm ESTEssential Functions &amp; ResponsibilitiesCollaborate with the Data Science and Analytics team to identify automation needs and develop Python scripts to automate repetitive tasks&nbsp;&nbsp;Write efficient, reusable, and scalable code using Python programming language&nbsp;&nbsp;Design and implement solutions to enhance productivity and efficiency within the department&nbsp;&nbsp;Analyze project requirements and provide accurate time estimates for completing tasks&nbsp;&nbsp;Troubleshoot and debug existing Python scripts to ensure smooth execution&nbsp;&nbsp;Collaborate with cross-functional teams to integrate Python scripts into existing systems or workflows&nbsp;&nbsp;Stay up-to-date with industry trends and best practices in Python development&nbsp;&nbsp;Requirements and QualificationsBachelor's degree in Computer Science, Engineering, or a related field&nbsp;&nbsp;Proven experience as a Python Developer, preferably in a data science or analytics environment&nbsp;&nbsp;Strong proficiency in Python programming language and related frameworks (e.g., Django, Flask)&nbsp;&nbsp;Familiarity with data manipulation and analysis using libraries such as Pandas, NumPy, or SciPy&nbsp;&nbsp;Experience working with APIs and web services&nbsp;&nbsp;Knowledge of SQL and database management systems&nbsp;&nbsp;Good understanding of software development lifecycle and version control systems (e.g., Git)&nbsp;&nbsp;Strong problem-solving and analytical skills&nbsp;&nbsp;Excellent communication and collaboration abilities&nbsp;&nbsp;Ability to work independently and meet project deadlines&nbsp;Physical RequirementsMust be punctual or on time and adhere to the company's Time and Attendance policy.Must be able to remain sitting for the majority of their shift.Employees must be able to perform the essential functions of this position satisfactorily, with or without a reasonable accommodation.&nbsp; Employer retains the right to change or assign other duties to this position.#IND-GH","Engineering, Information Technology","Manila City, National Capital Region (NCR)",Full-time,Linkedin
1,SQL Developer (Healthcare experience),Connext,https://ph.linkedin.com/jobs/view/sql-developer-healthcare-experience-at-connext-4176962169?position=3&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=h5YNhAHaXbjc4DC03XXPDA%3D%3D,"The SQL Developer will be responsible for designing, developing, and maintaining SQL-based databases and ensuring the smooth operation of healthcare-related data systems. This role requires a strong understanding of healthcare data structures, Electronic Health Records (EHR), and claims data, along with expertise in SQL programming to support data analytics, reporting, and business intelligence initiatives within the healthcare environment.Tasks and ResponsibilitiesCollaborate with management and end users to identify reporting requirementsDesign, develop, and maintain SQL queries, stored procedures, views, and triggers to support data extraction and reporting requirements in a healthcare environmentDevelop and optimize complex SQL queries to ensure high performance and efficient data retrieval for clinical, operational, and financial reportingEnsure data integrity, consistency, and quality by performing routine data validation and reconciliation tasksMaintain and troubleshoot healthcare databases, ensuring compliance with healthcare standards and regulatory requirements (e.g., HIPAA)Collaborate with data analysts and business intelligence teams to integrate data from various healthcare systems (EHR, claims, clinical databases) into reporting systems and data warehousesWork with healthcare-specific data models (e.g., HL7, ICD-10, CPT codes) to ensure data is stored, transformed, and reported accuratelyDevelop and maintain custom SQL reports to support operational, clinical, and financial decision-makingCreate dashboards and data visualizations to provide actionable insights into key healthcare metrics, such as patient outcomes, cost efficiency, and quality of careWork closely with the analytics team to provide data for predictive modeling, trend analysis, and decision-making processesCollaborate with healthcare administrators, clinical staff, and business analysts to understand data requirements and translate them into database solutionsProvide expertise in SQL and database design to other departments and offer technical support for data-related issuesEnsure clear and effective communication regarding project status, database performance, and any issues that may impact reporting or analyticsEnsure all database-related processes are in compliance with healthcare regulations, including HIPAA and other patient privacy lawsAssist in implementing security best practices to protect sensitive healthcare data, ensuring data encryption, access control, and audit trails are in placeContinuously monitor and optimize SQL queries and database performance to improve speed and efficiency, particularly in large-scale healthcare data environmentsParticipate in ongoing training and development to keep up with new database technologies, healthcare regulations, and best practices in data managementQualifications:Bachelor’s degree in information technology, computer science, or a related fieldMinimum of three (3) years of experience as an SQL Developer, with a strong focus on healthcare data management and reportingMinimum two (2) years of experience in database development, programming, data management, and reportingMust have a stable employment historyFamiliarity with data warehousing concepts and tools, including data extraction and transformationUnderstanding of healthcare industry regulations, including HIPAA and patient data privacy standardsWork independently and exercise judgement on decision making and issue resolutionNavigate competing priorities and effectively work in a fast-paced environmentIdentify and execute opportunities for improvementExhibit growth mindset and team-orientated behaviorsWork Location: WFH (within Philippines only)Work Schedule: 10 PM - 7 AM, Monday to Friday, PH timeEmployment Benefits:Rice AllowanceInternet AllowanceOvertime PayHoliday Pay25% Night Differential PayPerfect Attendance Bonus20 days Paid Time Off per year (1.67 days earning every monthHMOGroup Life InsuranceAnnual Merit Increase ** (terms apply)13th Month PayMid-Year Bonus ** (terms apply)",Information Technology,Philippines,Full-time,Linkedin
2,Data Scientist (Senior to Lead),Cognizant,https://ph.linkedin.com/jobs/view/data-scientist-senior-to-lead-at-cognizant-4180014294?position=4&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=dawESAushEbIeQSSf6It4Q%3D%3D,"As a data scientist/AI Engineer you will work with various squads in the tribe on the automation of loan origination processes, portfolio monitoring, risk monitoring and risk modeling.Job Responsibilities:Work on advanced analytics, Generative AI (GenAI) initiatives, and/or machine learning use cases. Leverage your expertise in AI/ML and cloud technologies to create impactful solutions, collaborate across teams, and contribute to innovations in our tech-driven environment. Use any data science tools to create value out of data. Keep yourself up to date and continuously search for new technologies in the field of Natural Language Processing &amp; Machine Learning for finance. Combine both thinking of the future and a hands-on, right-now attitude. Work with internal and external customers to refine requirements of your solutions. Qualifications:Bachelor's Degree in IT, Computer Science, or any related fieldMust be amenable to work in a hybrid work setup (2-3x a week onsite)Strong programming skills in Python with experience in delivering production grade code and package design.Proven expertise in Machine learning, NLP, and/or building LLM-based solutions.Hands-on experience with Python libraries like TensorFlow, PyTorch, Hugging Face Transformers, Scikit-learn, NumPy, Pandas, and Matplotlib/Seaborn.Proficiency in CI/CD pipelines, model monitoring, and observability tools.Experience with SQL and relational databasesExperience in building and automating ML pipelines and deployment of models using Docker, Azure and Kubernetes.Experience with Model Lifecycle Management: Continuous Training, Continuous Monitoring (MLFlow, AirFlow, KubeFlow, etc.)Other nice to have skills:Experience with Software Lifecycle Development: Version Control, Build and Deployment pipelines, Containerization.Experience in writing tests and following code quality standards and best practices (unit testing, E2E testing, pep8, flake8 pytest, etc.)Experience in working with and creating REST APIsFamiliarity with modern architectures (microservices, event-driven architectures, integrations).Experience building or fine-tuning LLMs, implementing retrieval-augmented generation, and working with vector databases.Experience with any major cloud platform (GCP, AWS, Azure).Previous experience as data engineer or software engineer.Strong understanding of AI/ML ethics and responsible AI principle.Exposure to hybrid cloud architectures and multi-cloud strategies",Information Technology,"Taguig City, National Capital Region (NCR)",Full-time,Linkedin
3,Data Analytics Engineer- Work From Home,Adaca,https://ph.linkedin.com/jobs/view/data-analytics-engineer-work-from-home-at-adaca-4164342949?position=7&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=vqKZ2vaqWmn8pQaMdW52CQ%3D%3D,"Things To Know Before Applyingyou must have your own work equipmentyou are able to work remotelyyou can work full-time for this roleexperience working with clients/companies outside PH is an advantageJob Descriptiononly candidates who meet the requirements will be contactedWe are seeking a skilled and motivated Data Engineer to join our dynamic team. The ideal candidate will play a pivotal role in designing, implementing, and maintaining data pipelines and infrastructure to support business intelligence and analytical needs. This is an exciting opportunity to work on cutting-edge projects and make a meaningful impact on data-driven decision-making within the organization.Key ResponsibilitiesDesign, develop, and maintain scalable data pipelines and workflows to support data integration, transformation, and analytics.Implement and optimize robust data models to ensure accuracy and efficiency in data storage and retrieval.Collaborate with cross-functional teams to understand business requirements and deliver actionable data insights.Develop and maintain scripts and tools using Python to automate data-related processes.Ensure data quality and integrity through rigorous testing, validation, and monitoring.Create and manage data visualizations and reports using BI tools to communicate findings effectively.QualificationsProven experience and expertise in SQL, with a strong understanding of complex queries and data modeling.Proficiency in Python, with experience in data manipulation and scripting.Hands-on experience with Business Intelligence (BI) tools and analytical workflows, such as Power BI, Tableau, or similar platforms.Nice To HaveExperience working with Snowflake for data warehousing and analytics.Knowledge of data integration tools like Informatica for ETL processes.Familiarity with Tableau for creating advanced visualizations and dashboards.Hiring ProcessPhone screeningBehavioral interviewClient interviewAbout AdacaAdaca is at the forefront of bridging software development solutions by connecting Australian mid-tier companies with top-tier talents in the Philippines. Our unique approach is rooted in creating an employee-centric experience that fosters a simple, low-pressure environment for our developers. This philosophy not only enhances productivity but also delivers unparalleled value to our clients, fostering a cycle of growth and talent attraction.",Information Technology,"Taguig City, National Capital Region (NCR)",Full-time,Linkedin
4,DATA ENGINEER,"Unilab, Inc.",https://ph.linkedin.com/jobs/view/data-engineer-at-unilab-inc-4181028875?position=9&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=rk1HcVjbGfYdEz8QGvIlvA%3D%3D,"It is the spirit of Bayanihan that drives us to continue our legacy of excellence and commitment to care. As an organization, we achieve our successes through good, honest, and persevering hard work - TOGETHER. It is in this way in which our company was built; we progressed as the country's leading Pharmaceutical company, not by sheer luck, but by pure perseverance, integrity, and brotherhood. Grow with us, and be a part of the Bayanihan spirit.Role Overview Acquires and processes datasets required by the business.  Builds, tests, and maintains optimal data pipeline architectures.  Monitors data updates and resolves data issues.  Gathers the analytics requests of various business units and then executes these plans according to agreed timeframes.  Designs, develops, and deploys analytics outputs such as dashboards that conform to agreed requirements.  Administers enterprise analytics platforms to ensure secure sharing of analytics outputs to business users. Required Qualifications Bachelor's Degree holder of Computer Science, Engineering, Statistics, Management Information Systems, or other Science and Technology related courses  With excellent verbal and written communication skills.  Is an analytical thinker with creative problem-solving skills and attention to detail.  Has 1-3 years of related work experience.  Has experience with managing structured data in RDBMS, with practitioner level experience in MS SQL (Database and SSIS)  Has working knowledge and/or experience in data visualization using Tableau, PowerBI, or other relevant platforms.  Certifications for database administration, agile development, analytics, and/or cloud services are a plus. We are committed to providing our employees with the best possible experience. As a LEARNING ORGANIZATION, we are eager to support your development and create the most fitting career path for you. As DESIGNERS AND DRIVERS OF INNOVATION, we are keen to provide you with opportunities to positively transform processes that will intensify business growth. As a NURTURING FAMILY, we are passionate about conducting programs that can promote your wellness, and help you be the best that you can be. As BELIEVERS OF OUR PURPOSE, we are and we will always remain earnest in giving meaningful tasks that will keep you delighted and fulfilled - at work and beyond.",Information Technology,"Mandaluyong City, National Capital Region (NCR)",Full-time,Linkedin
5,Junior Data Engineer,"LENA - Lately, Everything Needs Analytics",https://ph.linkedin.com/jobs/view/junior-data-engineer-at-lena-lately-everything-needs-analytics-4125055867?position=10&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=FaLJDf%2BmuYjTYUW5wHxsSw%3D%3D,"We are looking for bright and talented Junior Data Engineers to join our dynamic team here at LENA.As a Junior Data Engineer, you will be responsible for building systems that will collect, manage, and convert raw data into usable information for analysis.Tasks May IncludeDesigning, preparing, and programming data engineering workflows from multiple data sources for front-end, analytics, and storage requirements;Transforming existing data structures for efficient analytical workflows;Accessing and scraping data from various structured and unstructured data sources; andCollaborating closely with partners and customers to understand their data, design data structures, and provide functionality that is beneficial to the project.As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. You will have the opportunity to bring your skills to the next level and acquire new ones along the way.Minimum QualificationsCompleted Bachelor's degree in a relevant courseStrong problem-solving skills with an emphasis on product developmentFamiliarity on batch processing, stream processing, data workflow, ETL pipelines, data storage, database modeling, data warehouseProficiency in Python or other object-oriented programming languagesExperience with DevOpsStrong engineering mindsetExperience/Knowledge on the following is an advantage:Applications used for the role (i.e. ETL Solutions, Cloud Services, etc.)Certain languages and framework (i.e. SQL, NoSQL, Python, Hadoop, Spark, APIs, REST, etc.)Data Structures (i.e. Hash Indexes, SSTables, LSM-Trees, B-Trees, etc.)OLTP and OLAPColumn-Oriented StoragesDistributed Data SystemsSystem DesignEvent-Driven ArchitectureStatistical and mathematical techniques to solve business problems using PythonWorking with large data sets, analyzing data, and data reports and visualization",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Linkedin
6,Data Scientist (LLM),Redient Security,https://ph.linkedin.com/jobs/view/data-scientist-llm-at-redient-security-4179401851?position=17&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=1UIFMhL5FtVQ%2BgYJByPV0Q%3D%3D,"Job SummaryWe are seeking a Data Scientist specializing in Large Language Models (LLMs) to develop and optimize ML pipelines, work with recommendation systems, and apply advanced AI/ML methodologies. The ideal candidate will have experience in feature engineering, data modeling, and cloud-based ML deployments while working with large datasets.Key Responsibilities Experience with Large Language Models (LLMs)Develop ML pipelines for data cleaning and processing structured and unstructured data.Train LLMs to recognize products based on descriptions.Implement RAG (Retrieval-Augmented Generation) for applications like recommendation engines, network science, and search. Technical CompetenciesML &amp; AI ExpertiseStrong knowledge of ML methods, including:Recommendation SystemsSupervised Learning &amp; Feature EngineeringTime Series &amp; Forecasting AnalysisClustering AlgorithmsExperience with network science projects and large-scale ML models.Expertise in feature engineering and model optimization.Strong programming skills in Python, R, Scala, or similar languages.Proficiency with machine learning libraries such as scikit-learn and TensorFlow.Experience working with cloud-based AI/ML tools (preferably GCP).Data &amp; AnalyticsHands-on experience in data pipeline development, deployment, and operation.Strong knowledge of large, distributed datasets for actionable insights.Experience with Google BigQuery or Google Looker for dashboard development.Collaboration &amp; Agile WorkflowsExcellent communication and interpersonal skills with the ability to translate data into insights.Familiarity with collaborative AI/ML workflows.Experience working in Scrum teams and Agile methodologies.Willingness to travel and work flexible hours when required.Essential SkillsetExpertise in NLP (Natural Language Processing) and image processing is a plus.Experience in network science and time-series forecasting.Proficiency in at least one programming language: Python, Go, C, or C++.Strong knowledge of AI/ML models, deep learning, and algorithms.Familiarity with at least one Deep Learning framework.Desirable SkillsetSelf-sufficiency in researching and solving technical problems.Experience with Google Cloud Platform (GCP), Power BI, or Google Looker.Experience handling large-scale datasets and optimizing ML models.Preferred QualificationsMaster’s or PhD in Computer Science, AI, Data Science, or a related field.Experience in predictive modeling, data visualization, and structured/unstructured data analysis.Proficiency in data mining and complex data modeling techniques.Why Join Us?Work on cutting-edge AI/ML models and LLM technologies.Join a highly collaborative and innovative team.Competitive compensation and benefits package.Skills: data visualization,processing,ml,r,large language models (llms),models,clustering algorithms,cloud,artificial intelligence (ai),deep learning,recommendation systems,scikit-learn,supervised learning,machine learning (ml),natural language processing (nlp),network science,modeling,time series analysis,google,feature engineering,tensorflow,learning,data,scala,bigquery,python,google cloud platform (gcp),datasets,data modeling","Engineering, Information Technology",Philippines,Contract/Temporary,Linkedin
7,Senior Data Engineer - Python and AWS,SM Supermalls,https://ph.linkedin.com/jobs/view/senior-data-engineer-python-and-aws-at-sm-supermalls-4177224051?position=22&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=jvQwC14vkV0VsTzfJGuqNw%3D%3D,"Senior Data Engineer (5 years and up experience)Job DescriptionUtilize technical and industry knowledge to drive multiple data projects across different analytics platforms &amp; data domainsIdentify, analyze, evaluate, and develop data productsDesign and build the data infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of sources using SQL and big data and cloud technologiesCollaborate with cross-functional teams and leadership to identify and evaluate opportunities, issues, and trends to drive results throughout the organizationIdentify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Create data tools for analytics and data scientist team members to help drive decisions across business • Partner with analysts leveraging engineering skill and data knowledge to provide input on feasibility of requirementsResponsible for the accuracy, completeness, timeliness, and validity of all dataFormulates, implements, and enforces proper data collection policies and proceduresAssists with troubleshooting and driving quality and stability of our production solutionsActs as a mentor to lead peers in a project and present outcomes to managementActs as a technical lead and subject matter expert for the project team on data, data platform, and data engineering related requirements including integration tools and best practices used in analytics.Job Qualifications:Graduate with bachelor degree in Engineering, Computer Science, Statistics, Physics or Data Science is preferred.Minimum of 5 years relevant experience in Data Engineering is a must.Strong sense of drive, ability to solve problems, and think analyticallyStrong attention to detail with thorough knowledge of SDLC concepts and overall software engineering process.Experienced in Python and AWS",Information Technology,"Pasay City, National Capital Region (NCR)",Full-time,Linkedin
8,Machine Learning Engineer,Indivd,https://ph.linkedin.com/jobs/view/machine-learning-engineer-at-indivd-4174423954?position=23&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=uuiYcLYeTZev5Ndxqm%2BNSg%3D%3D,"Join our multicultural, agile team at Indivd and work alongside top experts from around the world. We offer a flexible work environment, allowing you to choose between working remotely, in an office, or a mix of both. Apart from scheduled meetings, you have the freedom to set your own work schedule.Who We AreAt Indivd, we are revolutionizing computer vision and AI-powered insights in the physical world—without compromising privacy. Our patented AI-driven platform helps store owners, shopping malls, and other businesses gain unprecedented visibility into customer behavior. Using advanced deep learning models, we provide high-accuracy insights to help businesses thrive.What You’ll DoAs a Machine Learning Engineer, you’ll play a crucial role in designing and optimizing state-of-the-art deep learning models for computer vision. You will be responsible for improving model performance, optimizing GPU-based cloud deployment, and collaborating with end-users to develop meaningful insights.Key Responsibilities✔ Develop and optimize deep learning models for computer vision applications✔ Improve cloud-based GPU deployments for efficiency and scalability✔ Work closely with data engineers and end-users to design and implement insights✔ Maintain and refine high-performance ML pipelines✔ Research and integrate cutting-edge techniques to push the boundaries of accuracy and performanceMust-Have SkillsWhat We’re Looking For✔ Object detection✔ Object tracking✔ Image retrieval✔ Algorithms &amp; data structures✔ Python✔ PyTorch✔ CUDA and TensorRT✔ C++✔ Online video analytics✔ DockerNice To Have (Bonus Skills)➕ MongoDB➕ Message brokersWhy Join Us?✅ Competitive salary✅ Freedom to work remotely or from the office✅ Work with some of the world’s leading AI experts, entrepreneurs, and investors✅ Opportunities for skill development through training and seminars✅ Generous stock options program for key employees🚀 Ready to push the boundaries of AI-driven computer vision? Apply today!","Engineering, Information Technology","Cebu City, Central Visayas (Region VII)",Full-time,Linkedin
9,Data Engineer,Sourcefit DR,https://ph.linkedin.com/jobs/view/data-engineer-at-sourcefit-dr-4152714422?position=24&pageNum=0&refId=Ub3soRkLetMkhjaB%2FoyP1Q%3D%3D&trackingId=cf93iR4N%2FYvB23ESKFiC2A%3D%3D,"Position SummaryWe are seeking a highly skilled and experienced Data Engineer to join our team. The Data Engineer will be responsible for designing, developing, and maintaining scalable data pipelines and systems. This role is crucial for assembling complex data sets, improving internal processes through automation, and optimizing data infrastructure for scalability and efficiency. The ideal candidate will work closely with data scientists, analysts, and other stakeholders to support data analytics, business intelligence, and AI initiatives, ensuring high data quality and integrity throughout the organization.Job DetailsMonday to Friday | Night ShiftWork from homeResponsibilitiesDesign, develop, and maintain scalable data pipelines and systems.Assemble large, complex data sets that meet functional and non-functional business requirements.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, and re-designing infrastructure for greater scalability.Build the infrastructure required for optimal extraction, transformation, and loading (ETL) of data from various data sources using SQL and Azure technologies.Develop and maintain data architecture and systems to support data analytics, business intelligence, and AI initiatives.Collaborate with data scientists, analysts, and other stakeholders to assist with data-related technical issues and support their data infrastructure needs.Ensure data quality and integrity by performing data cleaning, validation, and analysis.Monitor and troubleshoot data pipeline performance and reliability.RequirementsBachelor’s degree in Computer Science, Engineering, or a related field.Proven experience as a Data Engineer or in a similar role.Strong knowledge of SQL and experience with relational databases (e.g., MySQL, PostgreSQL).Experience with big data tools and frameworks (e.g., Hadoop, Spark, Kafka).Proficiency in programming languages such as Python, Java, or Scala.Extensive experience with Azure cloud services, including Azure Data Factory, Azure Databricks, and Azure Synapse Analytics.Familiarity with data warehousing solutions, particularly Microsoft Fabric.Strong problem-solving skills and attention to detail.Excellent communication and collaboration skills.Experience in data analytics and AI, including data visualization, statistical analysis, predictive modeling, and machine learning.",Information Technology,"Quezon City, National Capital Region (NCR)",Full-time,Linkedin
