title,company,link,job_desc,job_func,location,job_type,source,selected
Full Stack Developer,Monstarlab Philippines,https://ph.jobstreet.com/job/83292643?type=standard&ref=search-standalone&origin=cardTitle#sol=51060ab2b86bff22e7dea5c3a60c52801c60db49,"1. For Senior Developer About the jobResponsible for the full software development life cycle, including defining technical requirements, writing and optimizing code, debugging, and ensuring high-performance, scalable applications.Collaborates with cross-functional teams and DevOps, mentors junior engineers, conducts code reviews, supports clients, and stays updated with the latest industry trends and best practices.Desired Skills and ExperienceHas at least 5+ years of experience in software development.Skilled in several programming languages like Java, PHP, C#, JavaScript, and Flutter.&nbsp;Knows software design, architecture, and best coding practices.&nbsp;Experienced in server tasks like setting up CI/CD pipelines, deployments, and server configs.Familiar with tools like Docker, Jenkins, GitLab CI, a cloud platforms like AWS or Azure &amp; understands both SQL and NoSQL databases.Great at solving problems and pays attention to details.Can work well alone or with a team , communicates clearly and helps mentor others.2. For Junior DeveloperAbout the jobAssist in developing, maintaining, and debugging software applications. Write clean code, follow standards, design new features with the team, and participate in code reviews. Test software for quality and submit regular status reports.Desired Skills and Experience2+ years of software development experience.Basic knowledge of programming languages (e.g., Java, PHP, C#, JavaScript, Flutter).Familiar with web technologies (HTML, CSS, JavaScript).Strong problem-solving skills and attention to detail.Team player with a willingness to learn new technologies.",Information Technology,Central Visayas (Region VII),Full-time,Jobstreet,
Software Engineer,N-PAX Group,https://ph.jobstreet.com/job/83142234?type=standard&ref=search-standalone&origin=cardTitle#sol=0715acfe66fa800db47af30d618cea098b3a853f,"Job description:* Collaborate with a team of developers to implement new features, troubleshot and fix issues of existing system(s).* Develop and maintain cloud based (e.g. Azure, AWS, GCP), on-premise or hybrid systems.* Develop and maintain systems for both back-end and front-end areas of the system.&nbsp;Requirements:* Knowledge in back-end development using Python &amp; C#.&nbsp;* Knowledgeable in FastAPI, pydantic, and other python libraries.* Knowledgeable in database management using MySQL, SQL Alchemy, or any RDBMS.* Knowledge in front-end development in any of this framework or libraries: ReactJS, NextJS, Blazor, Razor Pages, VueJS, Jotai.* Knowledge in any of cloud services (Azure, AWS, GCP).",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
OT Support Specialist,AboitizPower,https://www.kalibrr.com/c/aboitiz-power-corporation/jobs/249625/ot-support-specialist,"Database management/monitoring	Inputting data and maintaining spreadsheets	Experience in Machine Learning would be value added	Sorting and filing documents	Support on the day to day operations &amp; engagements by the team	Database management/monitoring	Inputting data and maintaining spreadsheets	Experience in Machine Learning would be value added	Sorting and filing documents	Support on the day to day operations &amp; engagements by the team	Bachelor's Degree in Computer Science,Engineering or related field	Preferably has 3 years of relevant experience	Background in Cloud Backup is an advantage	Have good understanding in automation (RPA, Macro, Google App Script, etc)	Must be able to multi-task with other projects (focused on 2 Projects)	Possess a good understanding of Google Sheets functionalitiesHire NowSign UpLogin",Information Technology,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr,
Junior Software Developer (Support Department),Developer Soft and Technical Support Sea Inc.,https://ph.jobstreet.com/job/83285134?type=standard&ref=search-standalone&origin=cardTitle#sol=6477a6a46dde3ec7e6f550bb2815d9205f49a1b2,"About UsDevsoft Philippines develops UI components as well as report generation and visual data display solutions targeting .NET, HTML/JS, and VCL. Over the course of more than 20 years in business, our development teams have amassed profound experience in many software development fields.We are seeking motivated individuals who are willing to learn and ready to help others. In DevSoft, everybody has every opportunity to drive product development and shape up the vision of the future. We also endorse constant personal self-development and reckon for your continuous growth through the ranks.What is a Software Developer in our Support Department?A software support developer is an expert in our products who represents the company in communications with clients, helps them develop their end-user applications and integrate our software components into their projects. We seek motivated individuals who enjoy programming, are willing to learn and work with cutting-edge software technologies, and are ready to help others.As a Member of the Support Team, You WillCommunicate in English with customers using email and online help desk software.Analyze customer needs, examine their projects, and develop efficient solutions (including code examples and sample projects) based on DevExpress products.Communicate solutions to customers.Communicate with teammates to solve various tasks and improve DevExpress products and services.Participate in software development of a world-class product line based on the following Microsoft technologies: WinForms, WinUI, WPF, ASP.NETWeb Forms, MVC, ASP.NETCore, Blazor, and HTML/JS.Minimum RequirementsA Bachelor’s Degree in Computer Science/Information Technology or equivalent.Average knowledge of C# or Javascript with at least 2 years of commercial work experienceBasic knowledge of the .NET Framework or Web technologies (React, Angular, Vue, jQuery)..Strong communication skills in English to work efficiently with both clients and teammates.An ability to analyze and evaluate client requirements.An ability to analyze and debug the source code of both our products and customer projects.Company BenefitsYou can work from your home with a powerful desktop or laptop from us.A co-living corporate apartment near the office.Meal and transportation allowances are available for office workers.Internet allowance for home-based workers.SSS, Philhealth, and Paglbig contributions are fully covered by the company.Maxicare Healthcare Insurance.Gym reimbursements (up to 50%).Quarterly performance bonuses.Additional paid vacation days.Annual corporate outing and gifts.",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Application Developer,"PricewaterhouseCoopers Business Services Philippines Co., Ltd. (""PwC BSP"")",https://ph.jobstreet.com/job/83295872?type=standard&ref=search-standalone&origin=cardTitle#sol=bba69f7d78e3864f4bae252347d1c67e47cbeef3,"We are seeking a talented Developer to join our team as an Automation Specialist II. In this role, you will be responsible for coordinating between process owners and our development team, collaborating with team members, and producing high-quality work. The ideal candidate for this position should possess excellent knowledge of at least one programming language, have a strong understanding of various operating systems and platforms, and the ability to coordinate people and projects. QualificationsCandidates must have at least 2-3 years of experience in programming and development.Knowledgeable in data manipulationKnowledge in Database administrationKnowledgeable in appscripting, HTML/CSS or javascriptKnowledgeable in creating Gantt chart and system process flowchartsAbility to work under pressure and meet tight deadlinesAbility to manage daily operationsAbility to learn new languages and technologies quicklyGood communication skillsAbility to work individually or as a part of a teamKnowledgeable in G-suite and Microsoft OfficeKnows programming terminologies or has a high research abilityKnowledge in powerBI, UiPath, and Power automateMust be a critical thinkerMust be willing to work in a hybrid Setup",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Software Engineer – AI/Machine Learning Developer (work-from-home),"Nelnet Philippines, Inc.",https://ph.jobstreet.com/job/83240150?type=standard&ref=search-standalone&origin=cardTitle#sol=209c2a9fc8b34a9d1ccd468067f4bae63acb198a,"Job Qualifications:&nbsp;Minimum four (4) years of related&nbsp;experience as an AI/Machine Learning Developer.&nbsp;Ability to work on multiple projects/ tasks in an agile environment.&nbsp;Good communication and presentation skills at all levels – colleagues, clients&nbsp;and top management.&nbsp;Results-oriented, resourceful and a good team-player.&nbsp;Experience/Skills Requirement:DSPY: Strong understanding of AI concepts and techniques using DSPY.Python: Proficiency in Python programming, including libraries such as Pandas for data manipulation, NumPy for numerical computations, and scikit-learn for machine learning.RAG (Retrieval-Augmented Generation): Experience with RAG techniques to enhance model performance and output relevance.Vector Databases: Knowledge of vector databases like Faiss or Milvus.NET: Experience with .NET for integrating machine learning models into applications.Prompt Engineering for LLMs: Experience in designing and refining prompts for Large Language Models (LLMs) such as ChatGPT to optimize their performance and interaction.API Development: Experience in developing and consuming APIs.Deployment: Proven experience in deploying Python projects to production environments.Model Training: Proven experience in creating, training, and optimizing custom machine learning models.&nbsp;Responsibilities and Duties:&nbsp;Is expected to conduct research, design, implement and manage software applications based on user requirementsTo respond to and manage change quickly, including the refocusing of development efforts and adapting to evolving requirementsTo continue to update his/her technical knowledge and skillsEvaluating machine learning processesCollecting and analyzing large amounts of dataProgramming AI software to utilize large amounts of dataDeveloping and deploying AI algorithmsCollaborating with other team members to establish goals for AI processesEvaluating the effectiveness of AIManaging data and project infrastructureStaying up to date on the latest AI developmentsMost importantly, we are looking for people who can live by our Values:Providing superior customer experiencesCreating an awesome work environmentPursuing opportunities for diversification and growthCommunicating openly and honestlyGiving back to the communities in which we live and work&nbsp;",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Software Engineer,"OpenText (Philippines), Inc.",https://ph.jobstreet.com/job/83237796?type=standard&ref=search-standalone&origin=cardTitle#sol=3b7b065b39d4f921753c3f77e3f055b257d9c06a,"OPENTEXTOpenText is a global leader in information management, where innovation, creativity, and collaboration are the key components of our corporate culture. As a member of our team, you will have the opportunity to partner with the most highly regarded companies in the world, tackle complex issues, and contribute to projects that shape the future of digital transformation.YOUR IMPACTOpenText is more than just a place of employment. It’s an exciting and diverse organization with intelligent people, innovative programs, and dynamic opportunities to enhance your career and life. The OpenText culture recognizes “People First” and supports you to further develop and grow your career.The Cloud Applications Consultant (internal job title) / Software Engineer (external job title) is an individual contributor who acts as a primary point of contact for implementing customers’ requests regarding mapping and addition of new trading partners, document types, and connection types. As a consultant, you will utilize your ability to combine mapping analysis, development, systems integration and service delivery knowledge. More specifically you will create/update technical specifications and create/update maps using OpenText translation software, carry out integration tasks to deploy maps to pre-production and production environments and setup Trading Partner connectivity using common communications standards such as ftp, http, AS2, SFTP, etc.WHAT THE ROLE OFFERSEngages the client to obtain EDI (Electronic Data Interchange) requirements, ensuring the completeness and accuracy of map packages and requirements documentation while developing and maintaining good customer relations.Analyzing customer requirements, data integrations and interfaces.Deliver day to day implementation requests of Trading Partner and map configurations into the OpenText systems.Implementing changes for existing data integrations.Follow policies and best practice mapping to define map rules based on client’s requirements.Consistently create test cases/scenarios, form test files, run tests and evaluate reportsInvestigate and conduct root-cause-analysis for issues/defects raised by client during client testingDeliver project status updates to clients, delivery/project managers and counterparts as necessaryWHAT YOU NEED TO SUCCEEDYou are a graduate of Computer Science and/or other technical disciplinesYou are willing to be on-call beyond normal working hours and on weekendsYou are willing to work on any shifts (ASPAC, EMEA or US).You are willing to do a hybrid work set up (2 days WFH, 3 days onsite in Makati)Knowledgeable in XSLT, Java, JavaScript, PDF or XML is a plus.You have a strong customer focus, customer satisfaction oriented.You demonstrate problem-solving skills, logical thinking techniques, and excellent attention to detail. Ability to Identify and analyze problems; distinguishes between relevant and irrelevant information to make logical decisions; provide solutions to individual and organizational problems. Develops reasonable options for solutions when required for decision makingYou have excellent teamwork and collaboration skills. Inspires and motivates others toward goal accomplishments; develops and sustains cooperative working relationshipsYou have ability to handle multiple priorities in a fast-paced environment, and be able to work independently, and must possess effective time management skillsONE LAST THING:OpenText is more than just a corporation, it's a global community where trust is foundational, the bar is raised, and outcomes are owned. We take pride in the high expectations placed on us by our customers and strive to exceed those expectations with a culture that fosters extraordinary customer service. We are the voice of our customers, and we focus on making them wildly successful.",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,
Software Engineer,"Rising Tide Digital, Inc.",https://ph.jobstreet.com/job/83133271?type=standard&ref=search-standalone&origin=cardTitle#sol=3608891c73aa083c860f900545e010159f690601,"Job Summary:We are seeking a highly skilled and motivated Software Engineer to join our dynamic development team. The ideal candidate will have expertise in ReactJS, NextJS, Progressive Web Applications (PWA), API Integrations, AWS services, and a strong background in Docker containers, serverless technologies, and Cloud Native Backend Development. You will work on designing, developing, and maintaining scalable, high-performance web applications and cloud-based solutions.Qualifications:3+ years of experience in web development, focusing on frontend (ReactJS, NextJS) and backend technologies (Cloud Native, Serverless).Experience with Docker and serverless architectures in cloud environments.Hands-on experience with AWS services for scalable application deployment and management.Frontend: Proficiency in ReactJS and NextJS, including hooks, contextAPI, routing, and state management. Experience in PWA development.Backend: Strong experience with Cloud Native Backend Development and building scalable backend solutions using serverless technologies.Containerization: Hands-on experience with Docker and containerized application deployment.Cloud Technologies: Expertise in AWS services (EC2, Lambda, S3, RDS, etc.), with a focus on serverless architectures.Familiarity with CI/CD pipelines and version control systems like Git.Experience with TypeScript.Familiarity with Microservices Architecture and Kubernetes.Understanding of security best practices in both frontend and backend development.Experience in Agile/Scrum methodology.Key Responsibilities:Frontend Development:Develop and maintain high-quality web applications using ReactJS and NextJS.Design and implement Progressive Web Applications (PWA) for seamless user experiences across all devices.Ensure responsive, mobile-first designs and optimize front-end performance.API Integration:Integrate third-party APIs and services into the application.Collaborate with backend engineers to define and implement APIs, ensuring seamless communication between frontend and backend systems.Cloud Services &amp; Serverless:Utilize AWS services such as EC2, Lambda, S3, and RDS to build, deploy, and manage applications.Implement serverless architectures using AWS Lambda and other cloudnative technologies to enhance scalability and performance.Containerization &amp; Cloud Native Backend:Develop and deploy applications in Docker containers for consistent environments and scalability.Work with Cloud Native Backend Development practices, ensuring that applications are optimized for cloud environments and follow best practices for microservices architecture.Collaboration &amp; Code Quality:Collaborate with cross-functional teams, including designers, QA, and product managers, to deliver high-quality software solutions.Participate in code reviews and follow best practices to ensure clean, maintainable, and efficient code.Testing &amp; Deployment:Implement unit and integration tests for both frontend and backend components.Manage deployment processes to production environments, using CI/CD pipelines for automation and efficient delivery.",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,
Junior .Net Developer,"SD Solutions I.T. Outsourcing, Inc.",https://ph.jobstreet.com/job/83284992?type=standard&ref=search-standalone&origin=cardTitle#sol=098eae55e7d3633cec909f9344ad129c315b45cc,"Job HighlightsPrivilege to Work From Home ArrangementCan start ASAPWork-life balanceJob Purpose: Responsible for software development activities throughout the project, structure and configuration of the system.Duties &amp; Responsibilities:Designs and analyzes program logic to produce quality systems and programs.Implements and installs finished software developments.Documents all development initiatives being done.Special projects and assignments when required.Requirements:Bachelor's Degree in Computer Science/Information Technology or equivalent.At least one (1) &nbsp;year experience working in a similar positionThe stored procedure background would be an advantage.Microsoft .NET Development (ASP.NET, C#)Basic knowledge of MVC.Microsoft Application and Database servers (IIS, MSSQL 2005, MSSQL Reporting Services).Basic knowledge in web development (HTML, CSS, JavaScript)Ability to read and edit existing code.Must have good interpersonal skills, must be a team player.Good to have experience on Angular JS but not required2 Full-time positions available.Candidates must have the necessary resources and equipment, hardware (laptop) and required software.Candidates must have a fast, reliable, secure internet connection with a minimum speed of 10 Mbps.Along with the phenomenal growth of our operations, our need for highly engaged talents has greatly increased. Competitive salaries and benefits await you! Join our team! Apply now!",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Graduate Software Developer (Support Department),Developer Soft and Technical Support Sea Inc.,https://ph.jobstreet.com/job/82990402?type=standard&ref=search-standalone&origin=cardTitle#sol=2427e77a91d244e598101ac5c5dd265d2d84dc34,"Are you a recent graduate eager to jumpstart your career in the software development industry? Join our Support Development as a Graduate Software Developer and work with cutting-edge technologies while helping customers worldwide. This role is perfect for those who are passionate about technology, problem-solving, while delivering exceptional customer support.Key Responsibilities:Communicate with customers who are also developers via ticketing system to understand their needs and provide effective solutions.Review customer requirements, projects, and provide solutions such as code samples, and sample projects, using DevExpress products.Team collaboration for improving products, enhancing customer experience, and troubleshooting issues.Participate in the development of world-class software products using Microsoft Technologies such as Winforms, WinUI, WPF, ASP.NET Web Forms, MVC, ASP.NET Core, Blazor, HTML/JS, etc.Minimum Requirements:Must have a Bachelor's Degree in Computer Science, Information Technology, or any related field.Basic understanding of C# or Javascript.Familiarity with .NET Framework or web technologies such as React, Angular, Vue, or JQueryStrong communication skills to interact effectively with customers and team members.&nbsp;Company BenefitsYou can work from your home with a powerful desktop or laptop from us.A co-living corporate apartment near the office.Meal and transportation allowances are available for office workers.Internet allowance for home-based workers.SSS, Philhealth, and Paglbig contributions are fully covered by the company.Maxicare Healthcare Insurance.Gym reimbursements (up to 50%).Quarterly performance bonuses.Additional paid vacation days.Annual corporate outing and gifts.",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
