title,company,link,job_desc,job_func,location,job_type,source,selected
Portfolio Data Analyst,Maya,https://ph.linkedin.com/jobs/view/portfolio-data-analyst-at-maya-4174274803?position=29&pageNum=0&refId=90RDOtyp0UiwuCWBc69N9Q%3D%3D&trackingId=X4G0WoNo9AxEPn4K8tOvuw%3D%3D,"What you will do:Assists the Lead and Portfolio Manager in establishing portfolio management framework and credit risk appetite and thresholds for the product portfolios.Assists in developing processes and credit portfolio monitoringCreate decision trees which can help portfolio manager in managing riskAssists in drafting and updating appropriate policies to comply with regulation and emerging trends. What we are looking for:Bachelor's degree in Computer Science/Statistics/Data Science or related programs3+ years' experience in consumer credit and data analyticsProficient in programming languages such as Python, R, or SQL.Familiarity with data visualization tools (e.g., Tableau) and big data technologies.",Analyst,National Capital Region (NCR),Full-time,Linkedin,
Business Intelligence Analyst,BDO Unibank,https://ph.linkedin.com/jobs/view/business-intelligence-analyst-at-bdo-unibank-4181299455?position=9&pageNum=0&refId=90RDOtyp0UiwuCWBc69N9Q%3D%3D&trackingId=TugKbJFcdjRzYZYrktu%2Few%3D%3D,"The Business Intelligence Analyst is responsible for structuring the CMS database for use in Analytics and Business Intelligence. He/she will gather internal CMS data and ensure data sources are complete and available for use in analytics platform. He/she will also gather data outside CMS and prepare performance reports for TBG management and CMS use.Duties and responsibilities:Data ManagementBuild a unified data reporting and analytics platformOversee database performance improvements and the consolidation of data into analytics platform.Design local and physical databases supportive of analytics.Develop ETL processes and develop report templates and tables using available applications that may be useful to business requirements.Financial Performance:Prepare, consolidate, and analyze Transaction Banking Group's reports for management use.Support the group and business units in the preparation of yearly revenue budget and ensure all revenue and expense items are properly booked to correct cost centers and incorporate in the report.Design local and physical databases supportive of analytics, development of ETL process, and integration of CMS data.Conduct data-requirements analysis, determine best approach, and help prepare proposals to modify, replace, or purchase new systems or software aligned with unit objectives.Qualifications:Bachelor's degree of any Management Engineering, Business and Economics, Finance, Math, MIS or computer related courses.At least 3 years working experience as a data analyst or business data analyst.At least 5 years working experience in banking or financial services related industry.At least 3 years of technical expertise regarding data models, database design development, data mining and segmentation techniques.Experience using business intelligence and statistical tools (e.g. Tableau, Power BI, IBM Cognos, STATA) and data frameworks (e.g. Hadoop) and can use it in a local banking setting.At least 1 year experience in scripting and statistical languages like Phyton, Matlab and SAS.Must be willing to work onsite and be assigned in",Analyst,National Capital Region (NCR),Full-time,Linkedin,
"Data Analyst (Remote, Graveyard)",Anytime Mailbox,https://ph.linkedin.com/jobs/view/data-analyst-remote-graveyard-at-anytime-mailbox-4198214226?position=24&pageNum=0&refId=90RDOtyp0UiwuCWBc69N9Q%3D%3D&trackingId=l%2FOcv8gNNbXnFmcFGAXxnA%3D%3D,"As a Data Analyst specializing in analyzing internal processes for our SaaS subscription service, you will be instrumental in analyzing customer behavior, identifying churn drivers, and developing strategies to optimize retention rates. You will work closely with cross-functional teams to leverage data for process optimization and operational excellence. We are looking for an A player—someone who is highly organized, detail-oriented, and with a proven track record in churn and retention analytics, sales process optimization, and internal workflow analysis.Key Responsibilities:Analyze subscription churn patterns and develop predictive models to forecast customer attrition ratesIdentify key factors influencing customer retention and engagement through comprehensive data analysisCollaborate with product and marketing teams to implement targeted retention campaigns based on data insightsMonitor subscription KPIs such as MRR (Monthly Recurring Revenue), customer lifetime value (CLV), and churn rateConduct A/B testing and experimentation to optimize onboarding processes and reduce churnUtilize data visualization tools to create actionable dashboards and reports for stakeholdersPartner with customer success teams to implement proactive measures for customer satisfaction and loyaltyPartner with sales teams to analyze sales processes and identify areas for optimization and efficiency improvementsAnalyze internal application workflows (e.g., customer support, billing) to streamline operations and enhance user experienceContinuously assess data quality and integrity to ensure accuracy and reliability of analytics outputsRequirementsBachelor's degree in Statistics, Mathematics, Computer Science, Economics, or a related field3 years of experience in data analysis, preferably within a SaaS or subscription-based business environmentStrong understanding of subscription churn metrics, customer segmentation, and cohort analysisExperience with data visualization tools such as Tableau, Looker, or Power BI preferredFamiliarity with machine learning techniques for predictive modeling and customer behavior analysis is preferredExcellent communication skills with the ability to translate complex data findings into actionable insights for non-technical stakeholdersProven track record of driving business impact through data-driven decision-makingExperience working with subscription management platforms (e.g., Zuora, Chargebee, Stripe) preferredStrong proficiency in Excel and Google Sheets, with a focus on utilizing formulas and effectively organizing and structuring dataAttention to detail and a commitment to data accuracy and integrityPrevious exposure to customer success or retention-focused roles preferredOther QualificationsMust have access to a reliable high-speed internet connectionMust have a computer with the latest model (preferably Core i3 or higher) and at least 8GB RAMMust be available for scheduled and ad-hoc calls, meetings, and chats during regular weekday working hoursMust have a quiet workspace that is free from noise and distractionsMust have a noise-canceling headset that provides good audio quality for clear communicationBenefitsWork from homeAbout Anytime MailboxAnytime Mailbox, a worldwide trailblazer in the virtual mailbox industry, enables individuals, small businesses, content creators, and digital nomads to establish a real street address with a mailbox at over 2,400 locations across the planet. A virtual mailbox eliminates having to be at a physical location to get postal mail while ensuring you'll never miss your mail. With our easy-to-use app, clients can view and manage their postal mail &amp; packages from anywhere in the world and decide whether they want their mail forwarded, scanned, shredded, or thrown away.We are genuinely decentralized. Embracing work at home since 2013, we appreciate the value of a flexible schedule and work-life balance. We trust our team members to achieve our common goals that have enabled consistent, rapid promotion from within, long-term relationships, and 100% job satisfaction. Because we are at the starting point of our clients' endeavors, our diverse team members enjoy a shared sense of excitement in solution building. Want to join a team enabling our clients to achieve their dreams?Our CultureOur company culture is focused on creating a sense of family within our team. We believe that by fostering a supportive and collaborative environment, our employees are better able to thrive and achieve their goals. From company-wide events and team-building activities to daily check-ins and one-on-one meetings, we prioritize open communication and support for our team members.We strive to create a workplace where everyone feels valued and supported, regardless of their background or experience. Our commitment to diversity and inclusivity extends beyond just hiring practices - we work to ensure that our culture and policies reflect our values and promote a sense of belonging for all.If you're looking for a workplace that feels like family, where you can work with a team that supports and uplifts each other, then we encourage you to apply today. Let's work together to create a workplace culture that fosters growth, collaboration, and success for all.Apply today and let's see how we can work together to achieve great things!",Analyst,Philippines,Contract/Temporary,Linkedin,
Data Analyst,GR8 Global Philippines,https://ph.linkedin.com/jobs/view/data-analyst-at-gr8-global-philippines-4190948763?position=8&pageNum=0&refId=90RDOtyp0UiwuCWBc69N9Q%3D%3D&trackingId=%2FRee%2Btd9H5tTCMeaUMKIfA%3D%3D,"GR8 Global is a firm forged by an affinity of top 100 accounting firms in the United States with the objective of coming together and redefining the workplace while providing additional value to our partners. We believe that there is a huge pool of talent outside of the US. Our mission is to bring together the best talent and match them with excellent work opportunities based on their core competencies, skill sets, and overall experience and exposure in the different areas of audit, accounting, and similar financial-related areas. We prioritize creating a positive and inclusive workplace culture where all talents are valued and developed.The position provides support at the professional level in a variety of engagements involving business valuation, transaction advisory services, and investigative and forensic accounting matters. The individual will take ownership of portions of projects under the supervision of more experienced team members. This individual will build initial analyses from source documents and understand the level of quality, accuracy, and deliverable expectations (formatting, layout, accuracy) for each project by assisting in the preparation of reports, presentations, schedules, exhibits, agendas, etc.ResponsibilitiesESSENTIAL FUNCTIONS:As an entry level analyst, you will work on engagements for companies within our Business Valuation &amp; Related Financial Services team. The group’s engagements include, business valuation, mergers &amp; acquisitions, forensic and investigative services. As a dedicated team member, you will be responsible for supporting these assignments and will collaborate with our team members who will provide you broad exposure to many different types of advisory services.• Organizes and manages engagement documents, including the development and maintenance of electronic and hard copy files and databases.• Data preparation, input, and processing.• Preparation of spreadsheets, analyses, and written summary analyses.• Conducts company, economic and industry research; develops and summarizes analysis.• Participates in engagement team meetings and conferences, as necessary.• Prepares exhibits, schedules, graphs, and charts for use in reports and presentations.• Assists in the drafting and preparation of consulting reports and presentations.• Other duties as assigned.KNOWLEDGE AND SKILLS:• Some exposure to valuation and forensic &amp; investigative services industry• Focus on accuracy and attention to detail.• Proficient use of Excel, Word, and PowerPoint• Strong interpersonal skillsQUALIFICATIONS:• High school diploma or equivalent.• A demonstrated interest in financial advisory services.• Analytical skills.• Verbal and written communication skills.• Ability to work independently.• Strong work ethic.• Motivated and has the ability to work cooperatively with all levels of staff in a rapidly changing and demanding environment.PREFERENCE:• Significant interest in forensic accounting, business valuation and/or related analysisWFH TECHNICAL REQUIREMENTS:• Minimum Internet Speed: 50-100 Mbps• Dedicated Home Office Area: Private, quiet workspace• Business Continuity Plan: Power and Internet Backup is a MUST","Accounting & Auditing, Advertising, Analyst",Philippines,Full-time,Linkedin,
Data Analyst,Stratpoint Technologies,https://www.foundit.com.ph/job/data-analyst-stratpoint-technologies-philippines-34228024,"The RoleWe are seeking an Engineer with experience in translating user requirements into reports and dashboards, enhancing reporting efficiency through automation and process improvements, and executing data quality initiatives, such as data clean-up.Your ResponsibilitiesDevelop and maintain dashboards/BAU reports/adhoc reports based on assignedbusiness verticalCreate scripts for adhoc tasks and automation jobs for BAU tasksProvide analytic support to insights counterpartStreamline/automate reports needed by business nitReview existing reports and identify opportunities for standardizationStakeholder ManagementExpertise in: Data Management, Data Analysis, Dashboard Design, Report AutomationAbout YouYou are/have:Expert in any the ff technologies: BI (Google Data Studio, Power BI, Tableau)CRM (e.g. Salesforce), SQL and Google SheetsAt least 3 years of experience in software development or QA roles.Ability to understand and translate business requirements into technical solutions. A knack for benchmarking and optimization.Nice to have:Python/Scala, MySQL, Metabase, DaasThe requirements listed in this job description are guidelines, not hard and fast rules. You dont have to satisfy every requirement or meet every qualification listed. If your skills are transferable and you are in the ballpark of what we are looking for, we encourage you to submit an application. We look forward to getting to know you more!                       Show more                                              Show less",,Philippines,Full-time,Foundit,
Data Analyst,Chong Hua Hospital,https://ph.jobstreet.com/job/83299548?type=standard&ref=search-standalone&origin=cardTitle#sol=ed8ed8d4e75b2891aa51ffda0ced7e225e0784b5,"Chong Hua Hospital is looking to hire a highly motivated and experienced&nbsp;Data Analyst&nbsp;who will be responsible for collecting, and storing data regarding the sales numbers, market research, logistics, linguistics, or other behaviors. The analyst brings his/her technical expertise to ensure the quality and accuracy of the data, then process, design, and present it in a way that is effective and efficient for the management to make a competent decision.Additionally, the analyst ensures that developed reports and data are accurate and can troubleshoot data issues utilizing his/her full-competency and proficiency in the discipline where s/he may work in complex scope as well as initiates implementation of innovative ideas to streamline existing ones with minimal supervision from immediate superior. Also, the analyst may lead projects and mentor junior employees.JOB DUTIES AND RESPONSIBILITIES Collect, clean, organize, and process large data sets using software such as Excel, SQL, and other applicable applications. Conduct statistical analyses to identify patterns and trends in the data Develop and maintain databases and data systems. Manage and design the reporting environment, including data sources, security, and metadata. Communicate findings to stakeholders as well as collaborate with other teams to identify areas where data analysis can improve decision making Develop and implement data visualizations to communicate insights effectively Assess and implement new or upgraded software assisting with strategic decisions on any new systems. Train end-users on new reports and dashboards.Apply now&nbsp;if you meet the following qualifications: A graduate of bachelor's degree in computer science or any related course With at least four (4) years of relevant work experience in data analytics. Healthcare industry experience is a plus. Knowledgeable in database software Demonstrated understanding of basic corporate office software, including Microsoft Office 365 applications. Excellent communication skills.",Sciences,Philippines,Full-time,Jobstreet,1
Data Analyst (SQL expert) - WFH,MicroSourcing,https://www.foundit.com.ph/job/data-analyst-sql-expert-wfh-microsourcing-philippines-34309816,"Discover your 100% YOU with MicroSourcing!Position: Data Analyst Location: MOA, PasayWork setup &amp; shift: Hybrid / WFHWhy join MicroSourcingYouu0027ll have:Competitive Rewards: Enjoy above-market compensation, healthcare coverage on day one, plus one or more dependents, paid time-off with cash conversion, group life insurance, and performance bonusesA Collaborative Spirit: Contribute to a positive and engaging work environment by participating in company-sponsored events and activities...Work-Life Harmony: ..Enjoy the balance between work and life that suits you with flexible work arrangements.Career Growth: Take advantage of opportunities for continuous learning and career advancement.Inclusive Teamwork: Be part of a team that celebrates diversity and fosters an inclusive culture.Your Role: As a Data Analyst, you will: Triage requests in Jira inboxRespond to ad hoc questions in dedicated slack channelConduct daily office hours to answer ad hoc questionsInvestigate potential issues and discrepancies across systems / reportsPerformance monitoringQA + reporting checkingRequirements gathering for new reports and small pieces of analysisBuild reports and dashboards in our BI tools (Looker, Lightdash)Perform SQL based analysis in CountWhat You Need: Non-negotiables At least 2 years minimum although we will consider exceptional candidates with 1-2 yearsExperience building reports and dashboards in off-the-shelf BI tools such as Tableau, Qlik, PowerBI, Looker, LightdashSQL proficiency essential (we will provide a test), should know how to write SQLExcellent communication and stakeholder management skillsProactivity and drive for continuous improvementPreferred skills/expertiseFirst hand exp with Looker, Lightdash and CountExperience presenting insights back to stakeholders, telling compelling stories with dataExperience working in e-comm and/or digital marketingExperience working with product and engineering teamsExperience building alerting systemsExp with user segmentation, affinity scoring, propensity modelling, personalisationExp with A/B testing - About MicroSourcing With over 9,000 professionals across 13 delivery centers, MicroSourcing is the pioneer and largest offshore provider of managed services in the Philippines. Our commitment to 100% YOU MicroSourcing firmly believes that our companyu0027s strength lies in our peopleu0027s diversity and talent. We are proud to foster an inclusive culture that embraces individuals of all races, genders, ethnicities, abilities, and backgrounds. We provide space for everyone, embracing different perspectives, and making room for opportunities for each individual to thrive.  At MicroSourcing, equality is not merely a slogan - itu0027s our commitment. Our way of life. Here, we donu0027t just accept your unique authentic self - we celebrate it, valuing every individualu0027s contribution to our collective success and growth. Join us in celebrating YOU and your 100%!  For more information, visit https://www.microsourcing.com/  .Terms &amp; conditions apply",,Philippines,Full-time,Foundit,
Data Analyst II,Stefanini North America and APAC,https://www.foundit.com.ph/job/data-analyst-ii-stefanini-north-america-and-apac-philippines-34323979,"Details:Job DescriptionWe are a global company with 30 years of experience in the market, offering a robust selection of services such as automation, cloud, Internet of Things (IoT) and user experience (UX). Today, we provide a broad portfolio of solutions, combining innovative consulting, marketing, mobility, personalized campaigns and artificial intelligence services with traditional solutions such as service desk, field service, and outsourcing (BPO). We maintain our excellence by investing in technological innovations, the best partnerships, acquisitions of companies worldwide, and the hiring of highly trained professionals. We believe technology can revolutionize a company and innovation is essential to foster development and competitiveness. We also value new ideas and the power of an open mind, so we recognize every talent is essential to the quality of our projects and especially to our progress.We are seeking a highly analytical, results-driven DATA ANALYST to join our team. This role will focus on connecting internal and external stakeholders with technology data, trends, and insights. As a data analyst, you""ll be expected to identify solutions that elevate our team""s efficiency while helping to drive our client""s customer experience.Core Responsibilities:Participate in the analytics strategy by connecting stakeholders to IT business data within tools, people and processes.Streamline problem and change management by developing roadmaps for incident reduction, performance improvement, and navigate customer and client objectives.Reduce information delay by designing and delivering new dashboards and reports using Microsoft""s PowerBI.Participate in JIRA processes by providing data analysis and feedback during release sprints.Empower teams to make data-driven decisions by aggregating, analyzing, and presenting ideas to reduce friction points, unnecessary volume, and quality gaps in workflows.Monitor and evaluate new initiatives and communicate results and recommendations, acting in partnership with our delivery leadership teams.Partner with global engineering teams to collaborate and drive opportunities for standardizations, advocating as the client""s subject matter expert.Communicate with stakeholders on statuses of deliverables and flag potential risks and delays to completion of projects.Job RequirementsDetails:Helpful skills:Bachelor""s degree or equivalent work experience preferred. 2-5 years in a data analyst or business analyst role.Experience mining data from various sourcesProficiency with statistical and business intelligence tools (Minitab, Excel, R, SQL, Business Objects, Power BI, Tableau, Qlik Sense, Python, SAS Business Intelligence)Good English communication skills (verbal and written)Knowledge of ticketing tools (CA Unicenter, ServiceNow, Remedy, Siebel, CRM, etc.)Basic knowledge of ITIL version 3 frameworks (Incident Life Cycle Management)Ability to observe, ask questions, listen actively, and give and accept feedback effectivelyHigh energy level, adaptability, assertiveness, patience, and ability to work in a team environmentFamiliarity with computers and infrastructure-level technical termsAbility to work autonomouslyFamiliarity with Service Desk operations (ITIL foundations certificate is a plus)Comfort presenting to varying levels of technical verbiage, including executive leadershipProven ability to drive root cause analysis and develop a roadmap to mitigate issuesStrong familiarity with Power BI (PL-300 certification is a plus)Strong organizational and prioritization skills with a focus on attention to detailSolid understanding of Microsoft OfficeMay require additional project-specific trainingAttendance and schedule adherence are requirements for this position,                       Show more                                              Show less",,Philippines,Full-time,Foundit,
Data Analyst,Lancesoft Philippines,https://www.foundit.com.ph/job/data-analyst-lancesoft-philippines-philippines-34302511,"Job Title: Data AnalystEmployment Type: Contract (6 months  1 year)Work Setup: Hybrid  BGC (3 days on-site)Job SummaryWe are looking for a skilled Data Analyst with 4 to 5 years expertise in Google Looker to transform raw data into meaningful insights. The ideal candidate has strong analytical skills, experience in data visualization, and the ability to communicate findings effectively to support business decision-making.Key ResponsibilitiesDevelop and maintain dashboards and reports using Google Looker and Tableau.Analyze complex datasets to identify trends, patterns, and business opportunities.Collaborate with stakeholders to gather requirements and translate them into data solutions.Optimize LookML models and data pipelines for efficient reporting in Google Looker.Perform data cleaning, transformation, and validation to ensure accuracy.Generate ad hoc reports and deep-dive analyses to support strategic decisions.Work closely with data engineers to improve data structures and warehouse performance.Required QualificationsBachelor&amp;aposs degree in any 4-year course.Proven experience as a Data Analyst or similar role.Strong proficiency in Google Looker (LookML, Explores, Dashboards).SQL skills for querying and manipulating large datasets.Experience with data visualization best practices and storytelling with data.Familiarity with cloud data platforms (BigQuery, Snowflake, AWS, etc.).Excellent problem-solving and communication skills.Preferred QualificationsExperience in Python or R for data analysis.Knowledge of ETL processes and data warehousing principles.Experience working with marketing, sales, or financial datasets.Proficiency in Tableau.                       Show more                                              Show less",,Philippines,Full-time,Foundit,
Flight Data Analyst,Global Virtuoso,https://www.foundit.com.ph/job/flight-data-analyst-global-virtuoso-philippines-34253554,"Position SummaryThe Flight Data Analyst is responsible for ensuring the on-going safety and efficiency of the four JetstarBranded Airlines by providing the airlines with operational insight into risks and identifying opportunitiesfor improvement. The team is a central depository for all Group flight data and responsible for identifying,quantifying, assessing and communicating trends in data, operational risks and opportunities forenhancement.Duties &amp; Responsibilities Assist in the collection, analysis, and reporting processes for the Jetstar Group Flight Data AnalysisProgram. Conduct ongoing flight data anlaysis utilising GE EMS and CEFA flight animation software. Use statistical methods to analyse flight data, identify trends and monitor SOP exceedances. Prepare analysis packages and reports to mitigate risk, identify trends, and increase efficiency. Adhere to the flight data analysis program procedures and confidentiality provisions. Participate in the ongoing development and improvement of the Flight Data Analysis system. Communicate effectively with airline customers and software suppliers on a daily basis. Performs other tasks as may be assigned from time to timeMinimum Qualification Functional Competencies Experience or knowledge in Python or any similar programming language is desirable. Exceptional ability to understand and follow procedures. Understanding of and skills in the use of desktop (compute) applications (particularly MS Excel and Office) High attention to detail and an ability to identify patterns in data. Education &amp; Work Background A Bachelor&amp;aposs degree in aviation or a related discipline, or relevant aviation experience will be highly regarded Required Skills Knowledge in Python programming Excellent written and oral communication skills Can effectively manage time and work with minimal supervision Analytical, meticulous, and attention to details Problem-solving skills - including a keen focus on seeking accurate information and persevering to workthrough a problem to identify all possible solutions. Decision making skills - considers options, risks and what is practical, makes a decision within the scope ofthe role. Time management and administrative skills with the ability to deliver on a range of tasks to non-negotiabletimeframes. Impeccable listening skills, identifying the main points to be able to articulate and concisely summarize therelevant information. Excellent written and oral communication skills Reliable, Diligent and above all, acts with Integrity and Honesty Flexibility to support our small team of specialists 365 days a year                       Show more                                              Show less",,Philippines,Full-time,Foundit,
