title,company,link,job_desc,job_func,location,job_type,source
Production Engineer - Manufacturing,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/production-engineer-manufacturing-at-dempsey-resource-management-inc-4118965894?position=16&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=BdSTjlSt8Vr%2FxH9GHi2PTQ%3D%3D,"DIRECT HIRING!Duties &amp; Responsibilities&gt; Drive Continuous Improvement Initiatives – Lead efforts to identify, analyze, and implement improvements to the production process, focusing on reducing waste, enhancing efficiency, compliance with system requirements, and increasing overall productivity.&gt; Conduct Root Cause Analysis (RCA) – Lead systematic investigations into production issues or inefficiencies, identifying root causes and implementing corrective actions to prevent recurrence, with a focus on long-term process stability and operational excellence.&gt; Implement Lean Manufacturing Principles – Champion the application of Lean methods such as 5S, Kaizen, and value stream mapping to streamline operations, reduce waste, and enhance workflow efficiency.&gt; Optimize Process Performance – Monitor key performance indicators (KPIs) and utilize data-driven analysis to identifybottlenecks and implement corrective actions for consistent operational improvements.&gt; Enhance Equipment Efficiency – Collaborate with production teams and other departments to reduce downtime and quality issues, to improve&gt; Overall Equipment Effectiveness (OEE) through line balancing and quick changeover techniques.&gt; Facilitate Cross-functional Improvement Projects – Work closely with engineering, quality, and operations teams to identify and solve operational challenges, leveraging both RCA findings and continuous improvement opportunitiesTasks&gt; Lead root cause analysis (RCA) investigations to address new and recurring production issues, ensuring that findings are documented, and corrective measures are implemented effectively.&gt; Conduct basic time and motion studies to optimize production processes, reduce cycle times, and eliminate non-value-added activities.&gt; Conduct a review of procedures, guidelines, and other reference documents and ensure that production complies with the system requirement.&gt; Ensure system integration by keeping process data, such as machine rates and process times, up to date for operational accuracy and visibility.&gt; Develop and standardize troubleshooting guidelines to ensure rapid resolution of production issues and maintain smooth operational flow.&gt; Develop training materials and lead continuous improvement and RCA workshops to foster a culture of operational excellence and problem-solving among production staff.&gt; Perform other tasks/activities assigned by immediate superior.","Management, Manufacturing",Other,Full-time,Linkedin
Production Engineer,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/production-engineer-at-dempsey-resource-management-inc-4139342475?position=21&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=tmAlOQp33bztn2Jn9lBowQ%3D%3D,"Drive Continuous Improvement Initiatives – Lead efforts to identify, analyze, and implement improvements to the production process, focusing on reducing waste, enhancing efficiency, compliance with system requirements, and increasing overall productivity. Conduct Root Cause Analysis (RCA) – Lead systematic investigations into production issues or inefficiencies, identifying root causes and implementing corrective actions to prevent recurrence, with a focus on long-term process stability and operational excellence. Implement Lean Manufacturing Principles – Champion the application of Lean methods such as 5S, Kaizen, and value stream mapping to streamline operations, reduce waste, and enhance workflow efficiency. Optimize Process Performance – Monitor key performance indicators (KPIs) and utilize data-driven analysis to identifybottlenecks and implement corrective actions for consistent operational improvements. Enhance Equipment Efficiency – Collaborate with production teams and other departments to reduce downtime and quality issues, to improve Overall Equipment Effectiveness (OEE) through line balancing and quick changeover techniques. Facilitate Cross-functional Improvement Projects – Work closely with engineering, quality, and operations teams to identify and solve operational challenges, leveraging both RCA findings and continuous improvement opportunitiesTasks Lead root cause analysis (RCA) investigations to address new and recurring production issues, ensuring that findings are documented, and corrective measures are implemented effectively. Conduct basic time and motion studies to optimize production processes, reduce cycle times, and eliminate non-value-added activities. Conduct a review of procedures, guidelines, and other reference documents and ensure that production complies with the system requirement. Ensure system integration by keeping process data, such as machine rates and process times, up to date for operational accuracy and visibility. Develop and standardize troubleshooting guidelines to ensure rapid resolution of production issues and maintain smooth operational flow. Develop training materials and lead continuous improvement and RCA workshops to foster a culture of operational excellence and problem-solving among production staff. Perform other tasks/activities assigned by immediate superior.AUTHORITY Authorized to appraise/evaluate production Line Leader performance and recommends for possible promotion. Approve the application for leaves and change the shift of subordinates. Recommend hiring and staffing of employees for the section.Qualifications Graduate of Electronics, Mechanical, or Electrical Engineering. Minimum of 3 years of experience in the plastic industry in a manufacturing set-up. With Basic supervisory skills. Excellent communication, organizational, and interpersonal skills, high communication and presentation skills. Mentally and physically fit. With strong technical knowledge about manufacturing procedures and adding failure analysis reporting. With superior mental and analytical ability and problem-solving techniques. Knowledgeable in FMEA, 7QC tools, 8D, Kaizen, and SPC. With minimum training requirements as follows: ISO 9001:2015 Awareness Quality Management System Product Awareness Root Cause Analysis / 8D / 7QC tools Statistical Process Control ESD Compliance Operational Health and Safety Practices AP+ systemSALARY OFFER: Negotiable","Management, Manufacturing",Other,Full-time,Linkedin
Full Stack Developer,Monstarlab Philippines,https://ph.jobstreet.com/job/83292643?type=standard&ref=search-standalone&origin=cardTitle#sol=51060ab2b86bff22e7dea5c3a60c52801c60db49,"1. For Senior Developer About the jobResponsible for the full software development life cycle, including defining technical requirements, writing and optimizing code, debugging, and ensuring high-performance, scalable applications.Collaborates with cross-functional teams and DevOps, mentors junior engineers, conducts code reviews, supports clients, and stays updated with the latest industry trends and best practices.Desired Skills and ExperienceHas at least 5+ years of experience in software development.Skilled in several programming languages like Java, PHP, C#, JavaScript, and Flutter.&nbsp;Knows software design, architecture, and best coding practices.&nbsp;Experienced in server tasks like setting up CI/CD pipelines, deployments, and server configs.Familiar with tools like Docker, Jenkins, GitLab CI, a cloud platforms like AWS or Azure &amp; understands both SQL and NoSQL databases.Great at solving problems and pays attention to details.Can work well alone or with a team , communicates clearly and helps mentor others.2. For Junior DeveloperAbout the jobAssist in developing, maintaining, and debugging software applications. Write clean code, follow standards, design new features with the team, and participate in code reviews. Test software for quality and submit regular status reports.Desired Skills and Experience2+ years of software development experience.Basic knowledge of programming languages (e.g., Java, PHP, C#, JavaScript, Flutter).Familiar with web technologies (HTML, CSS, JavaScript).Strong problem-solving skills and attention to detail.Team player with a willingness to learn new technologies.",Information Technology,Central Visayas (Region VII),Full-time,Jobstreet
Process Engineer,Coherent Corp.,https://ph.linkedin.com/jobs/view/process-engineer-at-coherent-corp-4199359823?position=11&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=dzy5lWQsl49dePCC8KL2qg%3D%3D,"Primary Duties &amp; Responsibilities1. Process Development &amp; OptimizationDevelop and optimize chemical-mechanical polishing and fine grinding techniques for ZnSe.Establish process parameters (abrasive selection, pressure, speed, slurry composition, pH control, temperature).Reduce defects such as surface haze, scratches, subsurface damage, and roughness through process improvements.2. Production &amp; Quality ControlImplement statistical process control (SPC) for polishing uniformity.Define quality criteria (flatness, roughness, surface irregularities) based on interferometry.Work with the Quality Assurance team to ensure compliance with optical performance standards (ISO 10110, MIL-PRF-13830B).3. Tooling &amp; Equipment ManagementMaintain and optimize lapping and polishing equipment (single/double-sided polishers, planetary systems).Evaluate new tools, pads, slurries, and coatings to enhance performance.Develop predictive maintenance programs to ensure equipment reliability.4. Defect Analysis &amp; Root Cause InvestigationPerform failure analysis using optical microscopy, interferometry, and SEM.Address process deviations and propose corrective actions to minimize yield loss.Optimize edge rounding, stress-relief polishing, and surface conditioning techniques.5. Process Automation &amp; Efficiency ImprovementsImplement automation and Industry 4.0 technologies for real-time process monitoring.Develop standard work procedures and automation scripts for consistent polishing outcomes.6. Environmental &amp; Safety ComplianceEnsure handling of ZnSe follows EPA, OSHA, and material safety regulations.Develop waste management protocols for slurry disposal and recycling.Conduct risk assessments (FMEA, HAZOP) for chemical exposure and process hazards. Education &amp; ExperienceRequired:Bachelor’s Degree in Engineering (Materials Science, Mechanical, Optical, or Manufacturing Engineering)1-3 years of experience in precision optics polishing, CMP, or semiconductor wafer processingProficiency in ZnSe material properties, surface roughness control, and finishing techniquesExperience with abrasives (CeO₂, Al₂O₃, diamond), slurries, and polishing chemistriesStrong knowledge of ISO 10110 optical surface specifications and MIL standardsFamiliarity with metrology tools (interferometers, profilometers, AFM, SEM)Preferred:Six Sigma Certification (Green/Black Belt) for process optimizationExperience with precision optics manufacturing (lenses, IR windows, laser optics)Knowledge of fluid dynamics in polishing slurry distributionProficiency in Python, MATLAB, or LabVIEW for process automation Key Skills and Competencies:Process Optimization &amp; Root Cause Analysis – Expertise in reducing polishing defectsMaterial Science &amp; Surface Engineering – Understanding of ZnSe behavior under different conditionsMetrology &amp; Quality Assurance – Experience with precision optical measurementsLean Manufacturing &amp; Continuous Improvement – Experience with SPC, DOE, and yield enhancementTechnical Writing &amp; Documentation – SOP development for consistent process execution Working ConditionsCleanroom or controlled laboratory environment with polishing equipmentMay involve chemical handling and exposure to polishing slurriesRequires close collaboration with production, and quality teams","Engineering, Manufacturing, Production",Other,Full-time,Linkedin
INDUSTRIAL ENGINEER II,TE Connectivity,https://ph.linkedin.com/jobs/view/industrial-engineer-ii-at-te-connectivity-4135662671?position=12&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=icNpNX6Ajvds7uIEjT%2BFYw%3D%3D,"This position is responsible for overall Industrial Engineering, should act as catalyst to drive Business process improvements like MOST, digitization, Expense review, Savings, Make Financial Decisions, initiate Key activities to drive Business Needs. Determining the feasibility of business projects using financial accounting, expense, cost of goods sold, gross margin, balance sheet. Employing the technique of break-even analysis and finding the best operating level (BOL)  Review production schedules, engineering specifications, process flows, and other information to understand methods and activities in manufacturing  Draft and design layout of equipment, materials, and workspace to illustrate maximum efficiency, using drafting tools  Measuring the labor productivity on the various matrix for business process improvements  Product costing  Developing the project plan with milestone break-up chart  Optimize resource and budget allocation to ensure timely execution of project.  Drive Successfully Demonstrated Practices (SDPs) across functional teams  Measure and fix cycle time standards for new and existing processes based on MOST.  Design and populate travel charts and material handling for effective utilization.  Development of policies and procedures for Asset management, employee suggestions scheme.  Finalizing of vendor norms for subcontract activities  Drive SAP analytics and support other users.  Enhance conversion productivity for favourable manufacturing variance.  Drive and work on War on Materials (WOM) projects for inventory control and optimization  Steering digital manufacturing for Overall Equipment Effectiveness (OEE) Qualifications Graduate of Engineering course – Mechanical, Industrial or similar field  6 years relevant Professional Experience  Knowledge in SAP, Costing, LEAN manufacturing &amp; Six sigma Job OverviewTE Connectivity's Manufacturing Engineering Teams are process leaders for stamping, molding or assembly related topics, ensuring the processes are running at optimum levels for quality and output. They are experts in mold tooling, die tooling, machining, and assembly techniques, possessing extensive knowledge of the associated manufacturing processes which may include the optimization and standardization of stamping / molding / assembly or other processes within the manufacturing environment. Manufacturing Engineering Teams enable the TE business unit plants to reach TE Operating Advantage (TEOA) requirements, roll out Centers of Excellence (COE), Best Demonstrated Practices (BDP’s) and advise plants on tool and machine duplications / corrections / improvements. They design and develop manufacturing process and automation platforms and apply them for the realization of new product developments as well as optimization of existing products already in production. The Teams also support Product Development in the selection and optimization of tools for piece part production and the selection of the most suitable manufacturing concepts relative to planned manufacturing quantities, quality requirements and manufacturing location. They act as interface between engineering and production to ensure manufacturability of new designs and smooth production ramp up as well as support the research &amp; development teams to produce sample manufacturing equipment, product samples and prototypes.What Your Background Should Look LikeCompetenciesValues: Integrity, Accountability, Inclusion, Innovation, Teamwork","Information Technology, Engineering","Tanauan City, CALABARZON (Region IV-A)",Full-time,Linkedin
Process Engineer - FTA,Coherent Corp.,https://ph.linkedin.com/jobs/view/process-engineer-fta-at-coherent-corp-4176448779?position=19&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=AzRdqITYRSEGPKSpQUALpQ%3D%3D,"Job DescriptionPrimary Duties &amp; ResponsibilitiesDevelop, configure, and optimize industrial processes from inception through to start up and volume manufacturing period. Design, run, test, and upgrade systems and processes.Responsible for evaluating existing processes and configuring manufacturing systems to reduce cost, improve sustainability, maximize profitability, and develop best practices within the production process.Identify ways to reduce production costs through recommendations - new process equipment, equipment justification to improve performance.Develop working instructions, workmanship standards and process documents, and ensure they are followed. Manage manufacturing documentation required for product manufacturing i.e. material and component drawings, BOM, accurate work instructions and workmanship standards and process procedures.Work with product engineering on DFx methods to include:Design for CostDesign for TestDesign for ManufacturabilityDesign for AssemblyProvide manufacturing data like production control charts, reliability, process capability, to improve the process and monitor and measure progress to target. Focal person on yield improvement activities, process capability, process efficiency, and process stability improvements.Work with other relevant departments to determine manufacturing costs and provide necessary actions for cost reduction. With vision on cost reduction roadmaps relevant to process improvement activities (Kaizen).Organize team members through meeting and training to facilitate organizational development. Train and supervise staff on new development processes and technology. Establish a training and quality culture.Education &amp; ExperienceB.Sc. Electronics Engineering (Physics, Electrical and related can apply). Post-graduate studies are highly regarded.At least 5 years of experience in Semiconductor or Electronics / Optoelectronics and Fiberoptics Industry.Proven track record and working knowledge in Electrical/Electronics manufacturing industry. Good knowledge of custom product builds, lean manufacturing, six sigma, and ISO methodology.Knowledge of fiber optics principles and optoelectronics device physics is a plus. Experience on optical fiber handling i.e, fiber cleaving, splicing, termination, etc., is a huge advantage. Previous experience with assembly bill of materials, bill of operations, engineering change, and MES (SAP). SkillsKnowledge on optics specifically on fiber optics and micro-optics device physics is a huge advantageExperience on basic optical fiber skills - fusion splicing, cleaving, termination, and testing is highly desiredFamiliarity on fiber optics device testing equipment such as laser sources, tunable laser source, optical spectrum analyzers, power meter, BR meter, OTDR, and related equipment.Optomechanical design - working knowledge of SolidWorks or AutoCAD is a plus.Basic manufacturing statistics knowledge - correlation, process optimization, hypothesis testing, coefficient of variance analysis, six sigma, and some statistical process control methodologies.Extensive laboratory experience with photonics test and measurement (measurement of attenuation, device insertion loss, return loss, beam profile, spectral profile, optical power, pulse energy, etc). A working knowledge of LabVIEW or other object-oriented programming language is a plus.Experience in formulating PCP and PFMEA through critical node tree analysis - identifying critical and important input parameters controlling output responses with risk priority analysis and providing sufficient controls to lessen risks of a possible potential failure.With knowledge on statistical methodologies and tools. Working knowledge of SAS JMP or Minitab is a strong plus.Working ConditionsThis role is 100% onsite Culture CommitmentEnsure adherence to company’s values (ICARE) in all aspects of your position at Coherent Corp.:Integrity – Create an Environment of TrustCollaboration – Innovate Through the Sharing of IdeasAccountability – Own the Process and the OutcomeRespect – Recognize the Value in EveryoneEnthusiasm – Find a Sense of Purpose in WorkCoherent Corp. is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.Coherent Philippines Pte Ltd shares the 5 key principles of fair employment practices and is committed to adopting these principles in the management of our human resources. We believe that the effective implementation of fair employment practices will bring about a more harmonious and progressive work environment within our organization, and contribute towards making Philippines a great place to work.About UsCoherent is a global leader in lasers, engineered materials and networking components. We are a vertically integrated manufacturing company that develops innovative products for diversified applications in the industrial, optical communications, military, life sciences, semiconductor equipment, and consumer markets. Coherent provides a comprehensive career development platform within an environment that challenges employees to perform at their best, while rewarding excellence and hard-work through a competitive compensation program. It's an exciting opportunity to work for a company that offers stability, longevity and growth. Come Join Us!Note to recruiters and employment agencies: We will not pay for unsolicited resumes from recruiters and employment agencies unless we have a signed agreement and have required assistance, in writing, for a specific opening.LinkedIn","Management, Manufacturing","Calamba City, CALABARZON (Region IV-A)",Full-time,Linkedin
Process Engineer,ALLIAH,https://ph.linkedin.com/jobs/view/process-engineer-at-alliah-4142280691?position=20&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=vPtbd2dIoM9haF6rkldZ2Q%3D%3D,"Educational Background BS CHEMICAL ENGINEERING Licensed Chemical EngineerWork Experience : Min 3 yrs. with Water Treatment Plant ExperienceWork Schedule : Monday – Saturday : 8:30AM – 5:30PMSalary Range(Monthly) :Php 30,000 – Php 40,000Job Description Meeting with production managers to assess existing processes. Drafting process ideas to reduce costs and improve production rates. Performing risk assessments. Designing and testing process upgrades and new process systems. Ensuring processes comply with safety and quality standards. Performing process simulations and troubleshooting issues. Performing optimization tests. Developing routines and best practices to ensure product quality. Developing standardized operating instructions for the upgrades process. Providing the Product Manager with process documents and standard operating procedures. Monitoring upgrades systems..","Management, Manufacturing","Makati City, National Capital Region (NCR)",Full-time,Linkedin
Process engineer based in valenzuela,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/process-engineer-based-in-valenzuela-at-dempsey-resource-management-inc-4048155004?position=27&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=HOjFgyiEXuW1JnW2B%2FT%2FJg%3D%3D,"Educational Background BS CHEMICAL ENGINEERING Licensed Chemical EngineerWork Experience : Min 3 yrs. with Water Treatment Plant ExperienceWork Schedule : Monday – Saturday : 8:30AM – 5:30PMSalary Range(Monthly) :Php 30,000 – Php 40,000Work Location : ValenzuelaJob Description Meeting with production managers to assess existing processes. Drafting process ideas to reduce costs and improve production rates. Performing risk assessments. Designing and testing process upgrades and new process systems. Ensuring processes comply with safety and quality standards. Performing process simulations and troubleshooting issues. Performing optimization tests. Developing routines and best practices to ensure product quality. Developing standardized operating instructions for the upgrades process. Providing the Product Manager with process documents and standard operating procedures. Monitoring upgrades systems..","Management, Manufacturing","Valenzuela City, National Capital Region (NCR)",Full-time,Linkedin
Associate Engineer - Process,Information &amp; Technology Management,https://ph.linkedin.com/jobs/view/associate-engineer-process-at-information-technology-management-4178297119?position=8&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=DJdsbNndB6dKo8usoolifw%3D%3D,"Reference ID  R174614 Updated  03/18/2025Process EngineeringPhilippinesMakati CityN/AWhere you fitTechnical Asset Operations (TAO) team aims to develop central, competitive capabilities delivering end-to-end value through the AMS work processes as an integral part of our Downstream Manufacturing (DS-M), Integrated Gas &amp; New Energies (IGNE) and Upstream (UP) asset teams. We support the business worldwide and often do so together with the deep capability of our Project &amp; Technology (P&amp;T), Information Technology (IT) and Finance &amp; Data Operations (FO-Data) partners. You are going to play a vital role in the delivery of continued efficiency and effectiveness improvement by bringing cross-business learning on key processes.What's the role?Basic Data Engineer is a position in the Technology Department reporting to the Manager Operational Excellence providing assurance for the site’s units’ mass balance and providing input and consulting for the site’s fence line hydrocarbon mass balance.The primary role of Basic Data Engineer will be for assurance of site Basic Data as outlined in the Downstream Manufacturing Standards (DSM) Basic Data Recommended Practices (RP) to improve and then sustain the quality of plant data for application in engineering, planning, scheduling, and accounting tools.Key AccountabilitiesPerforms daily execution of the integrated site mass balance on the Data Reconciliation/Rigorous Online Modelling and Equation Based Optimization (ROMEO) platform and subsequent download of reconciled data to the Plant Information (PI) historianCollaborates with Operations Support Process Engineers (OSEs)/Unit Technologists, Economics and Scheduling (E&amp;S) personnel, Process Control System and Instrument Engineers, and corporate Subject Matter Experts (SMEs) to maintain the model and keep balances within tolerances.Updates the Process Flow Diagrams for Data Reconciliation /ROMEO modelLeads or assists in evaluation of complex technical issues or opportunities dealing with site mass balance and unit flows, often with multiple disciplines engaged. Assists as appropriate in problem definition and ensuring solutions that arise in site mass balance. Communicates with the appropriate personnel from front lines up to site leadership the status of mass balance problems and issues.Works with Process Engineering and corporate SMEs to reconcile mass balance and stream property gaps between Non-Linear Process Models and plant. This also includes running of the Data Reconciliation model to support process unit test runs and model tuningTranslates legacy mass balance data and tools from Process Engineering and others to the Data Rec tool and incorporates legacy knowledge into site mass balance work processWorks with E&amp;S to perform Linear Programming (LP) model vs actual yield and track stream properties versus predicted. Ensure stream routings are aligned between plant and model balancesWorks with unit Control System Engineers (CSEs) to address and correct unit flow meter issuesWorks with the Hydrocarbon Mass Balance (HMB) personnel to provide data and understand site mass balance discrepanciesWorks with the HMB and Finance Operations (FINOPS) personnel to assure that data used for HMB is accurateSupports reporting of Energy Intensity Index (EII) and Greenhouse Gases (GHG) emissions performance. Ensures consistency of dataProvides overview of Daily Mass Balance for integrated site (Refining and Chemicals)DimensionsProvide support to the asset’s Hydrocarbon Mass Balance process as a value EngineThe Basic Data Engineer provides assurance for the site’s units’ mass balance and providing input and consulting for the site’s fence line hydrocarbon mass balanceChallenges Business knowledge and operational skills on activities at the manufacturing site, chemical plant, supply chain and distribution location. Includes specific methods, software, and hardware.Confidence to work in virtual environment and managing engagement across different levels of stakeholders, including senior management for day-to-day operations. Includes initiative to identify and help resolve business and technical issues within areas of responsibility.Continuously represent the Team in different Global Forums. Keeping the technology and knowledge updated as per Global Industry changes and adaption.Sound understanding of business/process workflow and having mature mindset to deal and behave under tough/challenging situations.Strong proficiency in using English for both spoken and written communication, as well as using Skype for Business, Instant Messaging, Video Conferencing, Outlook, etc.Shift work following operating hours of the operating units, manufacturing site, chemical plant, supply chain and distribution location.A self-starter leader and reliable deliverer, with very good verbal and written skills in English, able to negotiate with people, and able to resist undue influence that might otherwise compromise integrity of data quality.Exposes the individual to all cultural backgrounds and organizational levels, across diverse time zonesWhat we need from you?Skills &amp; RequirementsUniversity Degree in Chemical/Petroleum or other oil and gas related degree. 2 - 4 yrs+ of work experience in Oil &amp; Gas/ Petrochemicals industry past degree in engineering with experience in one or more of the following:Hands on Experience and good understanding of Refinery/Petrochemical plant operations from a process engineering perspective.Has exposure to Hydrocarbon Mass Balance calculations and Plant modeling and simulation and have awareness on Real Time Optimization. Familiar with the different plant equipment such as pumps, vessels, compressors, instrumentation, etc. Has a basic understanding of plant maintenance and operations.Effective communication skills and stakeholder management is a necessary skill for the job.Basic understanding of Field Instrumentation – flow meters, temperature and pressure measuring devices, control valves, etc.Hands on Experience in a mass balancing module tool, Process PI, Data Reconciliation /Romeo Platform.Knowledge of CI methodology is an added value. Able to multi-task, prioritize and ensure delivery of priorities as promised, work without close supervision, and work through others to deliver results.Virtual working experience would be added advantage.Detailed grasp of the context of use of technical data and documentation within technical data processesAbility to deal effectively with complexity and detail.Ability to prioritize and ensure delivery of priorities for the area of responsibility.Flexible and adaptable to change, with track record of demonstrating initiative, analytical capabilities and problem solving.Self-starter and an independent worker capable of collaborating in a team environment with an ability to build strong effective relationships with asset production teams while working remotelyAn innovative place to workThere’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.Join us and you’ll add your talent and imagination to a business with the power to shape the future – whether by investing in renewables, exploring new ways to store energy, or developing technology that helps the world to use energy more efficiently.We care deeply about fostering a truly diverse workplace. We believe in doing everything we can to make Shell the kind of workplace that is flexible, appealing, and supportive for women. In effect, we have retained our title as a Top Employer for Women in the Times in 2017. Key to this achievement is our initiative to provide formal (and informal) flexible working arrangements for our women employees. Our global and transparent pay policies are also backed up by a leadership team fully.At Shell, we support and enable remarkable people from every background and strive to be a pioneer of LGBT inclusion in the workplace. When our employees excel, we excel. It’s for this reason that we are proud to support our lesbian, gay, bisexual, and transgender (LGBT) staff, promoting equality for employees regardless of sexual orientation or gender identity. In 2018, Shell was ranked as one of the Best Places to Work for LGBTQ equality by the Human Rights Campaign Foundation","Management, Manufacturing","Makati City, National Capital Region (NCR)",Full-time,Linkedin
MANUFACTURING ENGINEER II - Molding,TE Connectivity,https://ph.linkedin.com/jobs/view/manufacturing-engineer-ii-molding-at-te-connectivity-3916137857?position=30&pageNum=0&refId=jQeqREbjVvKMDMvlTWDgaA%3D%3D&trackingId=%2Bj0mDmTrnyN8lJwpI%2F6R4Q%3D%3D,"DnD – Manufacturing &amp; Process development engineer for Molding Process, Tooling &amp; Design), with focus on productivity, reducing time, building systems, maintain ISO documents and standards, etc. Should get involved in NPI’s, coordinate with team and implement TEOA. Should be a go getter &amp; a team player. Must have comprehensive knowledge and thorough understanding of injection molding process, machines, robotics, and auxiliary equipment. Knowledge in Mold / Tooling design is a must. Responsible for Molding Process, Tool Design development, (New &amp; Old tools) Qualification and Trial  Improves manufacturing efficiency by analyzing and planning workflow, space requirements, and equipment layout  Participate and engage on product development, Tool Design, DFMEA / PFMEA  Work with Global COE Assembly to drive continuous improvement in Molding Technology / Process  Maintain proper documentation and for all Mold tooling, Spares, Mold and Process Set-up Sheets  Ensure all Tooling / Mold design drawings (Soft &amp; Hard Copy) are up to date.  Impart trainings and development for new joiners, Technical Trainees etc  Multi skilling among, Stamping tool design and Mould tool design  Coordinating with inter-department and assists with investigations of reject product and the development of corrective actions.  Drive TEOA culture in shop floor.  Coordinate with Manufacturing Engineer for new product development and process improvement.  Assessing resource requirements and opportunity for Automation and Process Productivity improvement  Review of TEOA deployment  Review ISO documents and update  Engage in ISO audits  Visit vendors for Assembly tooling assessment (Capability, Know How &amp; Capacity) Qualifications Bachelor in Mechanical Engineering major or Industrial Engineering  3-5+ years’ experience and practitioner in the Tooling Design &amp; Development  CAD Knowledge Must, preferably Pro E / Creo &amp; Auto-cad, Solidworks, NX, etc.  DFM analysis, New Mold / Tooling RFQ  Stamping Tool Debugging,  Computer Knowledge, MS Office etc, SAP knowledge added advantage  Tool Room Process’s,  Tooling Knowledge,  Know How on core competencies (Stamping, Tool Design, Auto- Assy is an added advantage) Job OverviewTE Connectivity's Manufacturing Engineering Teams are process leaders for stamping, molding or assembly related topics, ensuring the processes are running at optimum levels for quality and output. They are experts in mold tooling, die tooling, machining, and assembly techniques, possessing extensive knowledge of the associated manufacturing processes which may include the optimization and standardization of stamping / molding / assembly or other processes within the manufacturing environment. Manufacturing Engineering Teams enable the TE business unit plants to reach TE Operating Advantage (TEOA) requirements, roll out Centers of Excellence (COE), Best Demonstrated Practices (BDP’s) and advise plants on tool and machine duplications / corrections / improvements. They design and develop manufacturing process and automation platforms and apply them for the realization of new product developments as well as optimization of existing products already in production. The Teams also support Product Development in the selection and optimization of tools for piece part production and the selection of the most suitable manufacturing concepts relative to planned manufacturing quantities, quality requirements and manufacturing location. They act as interface between engineering and production to ensure manufacturability of new designs and smooth production ramp up as well as support the research &amp; development teams to produce sample manufacturing equipment, product samples and prototypes.What Your Background Should Look LikeCompetenciesValues: Integrity, Accountability, Inclusion, Innovation, Teamwork","Information Technology, Engineering","Tanauan City, CALABARZON (Region IV-A)",Full-time,Linkedin
