title,company,link,job_desc,job_func,location,job_type,source
PHARMACIST-CEBU CITY,HDI World Phils Inc.,https://ph.jobstreet.com/job/83262154?type=standard&ref=search-standalone&origin=cardTitle#sol=de91edd430eae02960bd72d42fc0c05c04322396,"Responsibilities:Performs preparation of product documents and regulatory compliance;Coordinates with government agencies on product registration and appropriate licenses;Attends to FDA visit and inspection;Complies with necessary regulations;Communicates product information;Conducts training sessions to promote the product, its composition, and healthcare benefits;Works with Business Development Officer in developing strategies to ensure that product information is consistently communicated;Processes Sales transactions.Requirements:BS Pharmacy GraduateRegistered PharmacistMinimum two (2) years of relevant experienceKnowledge in pharmaceutical products, product information, and healthcare benefits, and product competitors’ information",Healthcare,Central Visayas (Region VII),Part-time,Jobstreet
Pharmacy Associate,"IQVIA SOLUTIONS OPERATIONS CENTER PHILIPPINES, INC.",https://ph.jobstreet.com/job/83106676?type=standard&ref=search-standalone&origin=cardTitle#sol=3b1e47dc7d82ac668fd8c12d4d470e795449ae0c,"Principal Accountabilities:Perform maintenance of reference data (Product) as required for AU/NZ Production.Performs research (e.g. internet search, source books, manufacturer websites etc.) to gather information from third parties that will augment the completeness or accuracy of IQVIA reference data.Follows standard practices and procedures in analysing situations or data from which answers can be readily obtained.Solicits information from other IQVIA departments to identify when and how to correct inaccurate data, delete data, or add new entries to make the reference files more complete.&nbsp;Receives input to the reference process from other IQVIA production processes.Validates that the information gathered from third-party sources represents accurate new data that should result in a change, addition, or deletion in IQVIA’s existing reference data.Identifies required changes to the existing reference file.Updates IQVIA reference file(s) and databases.Produces files and outputs for specified production and quality control processes, client support activities, etc.&nbsp;Responds to queries on reference data (as required).Minimum Education, Experience, &amp; Specialized Knowledge Required:Bachelor’s degree or equivalent in Pharmacy, Nursing, or related fieldsPreferably at least 1-year experience with Production and with clear understanding of the different processes and dynamics within the group.Previous experience in any medical account would be an advantageStrong interpersonal and written and verbal communication skills.Strong customer focus, an attention to detail and excellent analytical and problem-solving skillsAbility to proactively identify complex problems and needs and develop solutions/recommendations to solve problems.Ability to work under time constraints and changing work volumesStrong PC literacy skills including Word, Excel and Access, with an understanding of relational databasesAdditional Requirements:The job requires flexibility to transition to a new project will require quick grasp on different processes from time to time.Specialized knowledge of an area of the company's products, pharmaceutical industry or field specific to a major function",Healthcare,,,Jobstreet
Registered Pharmacist / 20k / Bagumbayan Norte Naga,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/registered-pharmacist-20k-bagumbayan-norte-naga-at-dempsey-resource-management-inc-4154694587?position=13&pageNum=0&refId=ZSS%2FaTWFgIhEJ3TAHl5x6Q%3D%3D&trackingId=BS1DoNkNilx5dWM%2FkyqYvA%3D%3D,"Job QualificationAccepts incoming vaccine delivery.Monitors and controls vaccine expiration, cold storage and supplies movement.Dispenses vaccines by packaging and labeling based on Sales Invoice.Provides pharmacological information and request queries.Maintains safe and clean working environment by complying with FDA standards.Keeps accurate records and vaccine inventories, supplies, LTO and vaccine CPR.Assists in the training of Sales Division regarding pharmacological information of vaccines.Attends necessary seminars for up-to-date pharmacological information.Does daily physical count of vaccines together with the Billing/Inventory Asst.Processes related licensing requirements. In charge of license renewals and permits in compliance with FDA rules and regulations.Prepares and submits required reports.ResponsibilitiesDispense prescription medications accurately and efficiently.Provide patients with information on medication usage and side effects.Collaborate with healthcare professionals to optimize patient care.Ensure compliance with all regulatory and safety standards.Maintain accurate records of medications and patient interactions.Stay updated with the latest pharmaceutical research and developments.Advise patients on health management and lifestyle choices.Manage inventory and order supplies as needed.SALARY RANGE: 18-20k (depending on the experience)WORK SCHEDULE: Monday to Friday",Health Care Provider,Other,Full-time,Linkedin
Relationship Manager,Allvacon,https://www.kalibrr.com/c/allvacon/jobs/253293/relationship-manager-7,Build and maintaining profitable relationships with key customers (Doctors)	Cooperating with sub distributors	Coordinate with the internal team to plan and achieve the company's sales targets	Responsible for customer repeat order	Doing tender with hospital	Meet customer (Doctors) satisfaction	Resolving customer (Doctors) complaints quickly and efficiently.	Build and maintaining profitable relationships with key customers (Doctors)	Cooperating with sub distributors	Coordinate with the internal team to plan and achieve the company's sales targets	Responsible for customer repeat order	Doing tender with hospital	Meet customer (Doctors) satisfaction	Resolving customer (Doctors) complaints quickly and efficiently.	Bachelor degree from reputable university	Minimum 2 years experience handling client	Active listener &amp; good communication skill	Good presentation skills	Excellent interpersonal skills	A team player with leadership skills	Problem-solving and analytical capability	Positive attitude	Bachelor degree from reputable university	Minimum 2 years experience handling client	Active listener &amp; good communication skill	Good presentation skills	Excellent interpersonal skills	A team player with leadership skills	Problem-solving and analytical capability	Positive attitudeHire NowSign UpLogin,Sales,Other,Full-time,Kalibrr
Staff Pharmacist,UERM Memorial Medical Center,https://ph.jobstreet.com/job/83124372?type=standard&ref=search-standalone&origin=cardTitle#sol=64a9b3ad4846c29faee03b00499ef546f537b994,"JOB DESCRIPTION:Accommodates patients’ inquiries regarding the services, rates and other related queries.Review prescriptions for appropriateness of therapy and check for therapeutic incompatibilities.Process prescriptions and dispense medications accurately.Compounds preparation not available commercially.Performs proper monitoring of drugs in the dispensing area.Files prescription and maintain for the require numbers of years as prescribed by law.Maintain records for controlled substances or regulated drugs as required by the Philippine government.Ensures that the Center’s policies and procedures are followed.Ensures confidentiality and security of data, compliant with the requirements of the patient privacy or confidentiality act.Performs other duties and responsibilities assigned by the Department Head.JOB QUALIFICATIONS:Bachelor’s Degree in Pharmacy, board passerWith or without experienceWorking Hours: Shifting schedule, 6:00 am – 2:00 pm, 2:00 pm – 10:00 pm, 10:00 pm – 6:00 amFull-Time positions availableCan start ASAP",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
"Virtual Job Fair - PH Registered Nurse &amp; Registered Pharmacist - April 11, 2025",Cognizant Technology Solutions Philippines Inc.,https://ph.jobstreet.com/job/83297714?type=standard&ref=search-standalone&origin=cardTitle#sol=55e8c4fc2429f0407f484c28250175f371144be9,"Cognizant is a global organization serving clients across multiple industries with a deep set of offerings provided by our practice areas and supported by corporate and enabling functions. Employing roughly 270,000 talented associates worldwide, Cognizant is dedicated to anticipating and solving clients’ toughest problems and enabling them to thrive in the digital era. Join us and Be Cognizant!Qualifications:PH Registered Nurse / PH Registered PharmacistActive LicenseWith or without BPO ExperienceWith or without Clinical/Hospital ExperienceAmenable to work in shifting scheduleOpen to work onsite in McKinley Hills, Taguig CityWhy Joining Us?Competitive Salary &amp; Benefits – Earn well while enjoying great perksCareer Growth – Clear paths for promotions and skill developmentSupportive Work Environment – Join a team that values youExciting Opportunities – Be part of a dynamic and growing industryReady to take the next step? Apply today!",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Pharmacist / Administrative Staff,Vital Health Pharmaceutical Corporation,https://ph.jobstreet.com/job/82898217?type=standard&ref=search-standalone&origin=cardTitle#sol=ef42fd40d2030920f893ee3f58cec7281c2ab6cc,"&nbsp;Qualifications &amp; experience&nbsp;Hardworking and willing to learn.Experience is not required but will be an advantage.For pharmacists, please provide PRC license&nbsp;&nbsp;&nbsp;Tasks &amp; responsibilities&nbsp;Office tasks, filing, documentation, reporting, etc.Coordinate with other departments and teams with their tasks.Process and facilitate sales orders, purchases, invoices, billing, documentation, etc.&nbsp;&nbsp;&nbsp;Benefits&nbsp;Health card coverageRegular training and career development&nbsp;&nbsp;",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Pharmacist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/236301/pharmacist-makati-2,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Pharmacist ensures positive patient experiences by actively engaging with patients, accommodating their concerns and needs, and promoting the best pharmacy practices. They play a crucial role in communicating with patients and addressing their health concerns effectively.Key Responsibilities	Advise patients regarding their medications, potential side effects, and drug interactions	Assist patients with medication management and provide education on proper medication usage and storage	Engage with patients in a professional and timely manner through various communication channels	Assess and report potential patient safety events through the relevant channels	Validate prescriptions based on local regulatory requirements	Maintain patient records and complete documentation	Manage and provide guidance to junior pharmacists and pharmacy assistants to ensure that they are properly trained and equipped with the knowledge and skills	Collaborate with healthcare professionals to ensure patient safety and optimal health outcomes	Ensure compliance to internal and external regulations for quality assurance as well as adherence to MedGrocer's Quality System through SOPsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Pharmacist ensures positive patient experiences by actively engaging with patients, accommodating their concerns and needs, and promoting the best pharmacy practices. They play a crucial role in communicating with patients and addressing their health concerns effectively.Key Responsibilities	Advise patients regarding their medications, potential side effects, and drug interactions	Assist patients with medication management and provide education on proper medication usage and storage	Engage with patients in a professional and timely manner through various communication channels	Assess and report potential patient safety events through the relevant channels	Validate prescriptions based on local regulatory requirements	Maintain patient records and complete documentation	Manage and provide guidance to junior pharmacists and pharmacy assistants to ensure that they are properly trained and equipped with the knowledge and skills	Collaborate with healthcare professionals to ensure patient safety and optimal health outcomes	Ensure compliance to internal and external regulations for quality assurance as well as adherence to MedGrocer's Quality System through SOPsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay		Must be a licensed pharmacist;			Preferably has a background in the healthcare industry;			Knowledge in Google Workspace applications;			Open to fresh graduates and experienced professionals;			Must work onsite in Makati	Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Pharmacist,Asiatrends Import and Export Corp,https://ph.jobstreet.com/job/83300103?type=standard&ref=search-standalone&origin=cardTitle#sol=074794730efb24c6bd71949d54889b0028b9cecc,"Responsibilities:Product registration and accreditation with FDA and other government authoritiesInvolved in sourcing local and overseas suppliers and develop more products to add to our regular product offerings&nbsp;&nbsp;Assist and coordinate with sales people and clients in reference to their product inquiries and sales fulfillment&nbsp;Assist in purchasing from suppliersContinuously trade-check and research on competitor product lines and offerings and collaborate with marketing and sales teams and propose similar, better or unique offersRequirements:Must be a Registered PharmacistKnowledgeable with FDA rulings, procedures, regulatory requirements and complianceExperienced in connecting with FDA for initial registration and renewal of CPRs &amp; CPNWith knowledge with Excel, Word, PowerPoint, Google Sheets, DocsWilling to work in Sta. Mesa, ManilaOur company offers:Good salary and compensation packageAll mandatory benefits (SSS, PHIC, HDMF)13th month pay, paid holidays, Leave benefitsAdditional benefits (Health Card / HMO)Monthly Sports Activities (Basketball, Volleyball, Badminton &amp; etc.)Office Address:Asia Trends Import &amp; Export Corp#3453-55 V. Mapa St., Sta. Mesa, ManilaLandmarks: Illumina Condominium, Don Bosco Manila, Lourdes HospitalContact Numbers:0917-164-2202 , 0917-628-2372 , 0917- 708-9685 or 0998 594 9700Look for Ms. Romina, Ms. Czarina or Ms. ChristineEmail your most updated resume to resume@asiatrendscorp.com or johnny@asiatrendscorp.comIf none of the above answer you back, you may contact 0917 1100 752Salary package &amp; other benefits will be discussed &amp; finalized during the interviewWe welcome applicants from all over the country. For applicants from outside Metro Manila or if you have a current job and cannot make it to our face to face interview, we can schedule an online interview after office hours and during holidays.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Gastroenterology Coder,"Vector Outsourcing Solutions Phils., Inc.",https://www.kalibrr.com/c/vector/jobs/252476/gastroenterology-coder-3,"Coding of Gastroenterology procedures, surgeries, hospital and office visits.	Verify and ensure the accuracy and completeness of diagnosis codes based on services rendered.	Complete appropriate documentation or system entry regarding claims.	Abstract additional data elements during the Chart Review process when coding.	Identify appropriate assignment of CPT and ICD-9 Codes for Physician and facility services.	Remains current on medical coding and billing guidelines and auditing protocols.	Coding of Gastroenterology procedures, surgeries, hospital and office visits.	Verify and ensure the accuracy and completeness of diagnosis codes based on services rendered.	Complete appropriate documentation or system entry regarding claims.	Abstract additional data elements during the Chart Review process when coding.	Identify appropriate assignment of CPT and ICD-9 Codes for Physician and facility services.	Remains current on medical coding and billing guidelines and auditing protocols.	Graduate of Medical allied courses; Nurses, Physical Therapist, Medical Technologist. Preferred but not required.	Consultancy basis minimum of 6 months consultancy contract (subject for renewal)	With 1- 2 years experience in Gastroenterology Coding	Preferably a Certified Gastroenterology Coder, but not required	Understanding of ICD-9 or ICD-10 Coding	Data entry skills (minimum 50-60 accurate keystrokes per minute)	Requires strong accuracy, attentiveness to detail and time management skills	Ability to work with and maintain confidential information	Graduate of Medical allied courses; Nurses, Physical Therapist, Medical Technologist. Preferred but not required.	Consultancy basis minimum of 6 months consultancy contract (subject for renewal)	With 1- 2 years experience in Gastroenterology Coding	Preferably a Certified Gastroenterology Coder, but not required	Understanding of ICD-9 or ICD-10 Coding	Data entry skills (minimum 50-60 accurate keystrokes per minute)	Requires strong accuracy, attentiveness to detail and time management skills	Ability to work with and maintain confidential informationHire NowSign UpLogin",Healthcare,"Mandaluyong City, National Capital Region (NCR)",Contract/Temporary,Kalibrr
