title,company,link,job_desc,job_func,location,job_type,source,selected
Accounts Payable Intern,Vertiv,https://ph.linkedin.com/jobs/view/accounts-payable-intern-at-vertiv-4193064045?position=28&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=PKqODdq2JuAtD67wUmCadw%3D%3D,"Who we are:Nearly all aspects of our lives involve the use of technology. It is how we work and play and do anything in between. This connectivity or use of data is built into the very fabric of our society. It is vital to human progress. Vertiv believes there is a better way to meet this accelerating demand for data — one driven by passion and innovation.As industry experts and Architects of Continuity, we collaborate with our customers to envision and build future-ready infrastructures. We leverage our portfolio of hardware, software, analytics, and services, to ensure our customers’ vital applications run continuously, perform optimally, and scale with business needs.Why Join Us?Meaningful and Fulfilling WorkInspiring and Caring LeadersGlobal Talent CenterRecharge Your PotentialWe are currently looking for interns to join our Finance team.Desired outcome after the internship:Assist in invoice processingCollate and retrieve audit sample requestsReconcile vendor statement of accountsInternship qualifications:The program is open to all undergraduates/students presently enrolled in a college or university. Preferably Accountancy, Finance, and Business courses.The candidate must submit the required documents to be considered for the OJT program.Letter approval from school that allow students to work on-site.Training AgreementMemorandum of AgreementPoint of contact from school (Name of coordinator, position, contact number and email address)Must be willing to render a minimum of 600 hours and up.Willing to report at the office.Willing to start as soon as possible.","Engineering, Product Management","Mandaluyong City, National Capital Region (NCR)",Internship,Linkedin,1
2025 SeaBank Internship Hiring (Voluntary),"SeaBank Philippines, Inc. (A Rural Bank)",https://ph.linkedin.com/jobs/view/2025-seabank-internship-hiring-voluntary-at-seabank-philippines-inc-a-rural-bank-3694869534?position=15&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=3gXZuXI8x6G9pQwup9teQw%3D%3D,"About The TeamThe SeaBank Internship Program offers a learning experience that allows the students to be immersed in the fun and collaborative work environment of SeaBank PH. A 3-5 month internship open for year-round hiring of undergraduate students, the program aims to provide interns with relevant tasks/projects to work on in their assigned business function. The internship allows the interns to make a difference with technology and become future leaders in the industry.Job DescriptionAssist in tasks specific to the assigned department for internship (Operational Risk / Graphic Design / Marketing / Compliance / Business Development - Deposits Payments &amp; Transfers / Business Intelligence &amp; Analytics)Tasks include conceptualizing, coordinating, and monitoring department-specific projectsCollaborate closely with team members on their daily task assignments.Assist in process improvements and/support the business activities of their respective departments.RequirementsMust be a third or fourth-year college student currently enrolled in a university with a degree in related fields below.Voluntary Internship (not required by the school)Intermediate to advance knowledge of MS ExcelCan commit to a full-time internship for at least 3 monthsAmenable to working onsite in Mandaluyong City (The Podium) at least three times a week. Can work from home for the rest of the remaining work days.Passionate about the banking industryGood communication and interpersonal skillsGood communication and interpersonal skillsProficient in MS Office (Word, Powerpoint, and Excel)Operational Risk InternsCurrently taking up Bachelor's degree in Industrial Engineering, Finance, Technology, Accountancy, Management or related disciplinesConsistent verbal, written and listening communication skillsHigh level of curiosity to learn Banking and the functions of risk management departmentGraphic Design InternsCurrently taking up Bachelor's degree in Multimedia Design, Fine Arts, or a related fieldKnowledgeable in latest creative &amp; design trendsExperienced in designing through Adobe Creative Suite, Figma, related design applicationsMarketing InternsCurrently taking up Bachelor's degree in Marketing, Business, or a related fieldKnowledge of the marketing funnelCreative and inquisitive mindsetCompliance InternsCurrently taking up Bachelor's degree in Financial Management, Business Management or other business-related coursesMust have excellent written and verbal communication skillsDetail-oriented and organizedWilling to work on regulatory research and support regulatory advisory activities of Compliance DepartmentBusiness Development - Deposits Payments and Transfers InternsCurrently taking up Bachelor's degree Data, Math, Business or Banking-related courses from a good universityExcellent communication and collaboration skillsHave strong interest in the digital businessBusiness Intelligence &amp; Analytics InternsCurrently taking up Bachelor's degree in Statistics, Computer Science, Mechanical Engineering, Industrial Engineering, Mathematics and other related coursesMust have good communication skills and be able to present reportsIs keen to details and possesses critical thinking skillsBasic knowledge in SQL to extract various data reportsAbility to use Python to automate manual processes (Pandas, Selenium, API Requests, etc.)Can perform statistical analysis in customer data using Python / R","Education, Training","Manila City, National Capital Region (NCR)",Internship,Linkedin,
Human Resources Intern,Allegis Group,https://ph.linkedin.com/jobs/view/human-resources-intern-at-allegis-group-4182569141?position=13&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=wfpzc8fXZdJbt8Os2RDwMA%3D%3D,"POSITION SUMMARYThe Human Resources Student Intern will support the HR department in various functions, including recruitment, employee relations, training and development, and administrative tasks for Manila Business Services. This internship provides an excellent opportunity for students to gain hands-on experience in HR practices and contribute to the company's overall success. DUTIES AND RESPONSIBILITIESSupport for recruitment process, screening resumes, and scheduling interviews.Support onboarding and orientation programs for new employees.Participate in employee engagement initiatives and events.Assist in organizing training sessions and development programs.Provide administrative support to the HR team, including filing, data entry, CV formatting and document preparation.Conduct research on HR best practices and contribute to policy development.Respond to employee inquiries and provide assistance as needed.Other duties as assigned.  QUALIFICATIONS (KNOWLEDGE, SKILLS, AND ABILITIES)Currently enrolled in a bachelor’s degree program in Human Resources, Business Administration, Psychology, or related field.Strong interest in pursuing a career in Human ResourcesExcellent communication skills both written and verbal.Detail- Oriented with Strong organizational and time management abilities.Basic knowledge in Microsoft Office SuiteEnthusiastic team player with a positive attitude and eagerness to learn.Ability to handle and maintain confidential information.  OTHERSWillingness to work in a hybrid work environment (At least 2 days in the Pasig City office).Reporting to: Organizational Development Manager By proceeding you are agreeing that you have read and accept the privacy policy https://www.allegisgroup.com/en-au/privacy-notice/philippines Follow @AllegisAPAC on Instagram, to see what it's like to be part of our team.",Human Resources,"Pasig City, National Capital Region (NCR)",Internship,Linkedin,
Business Development Intern (Voluntary) - SeaBank,"SeaBank Philippines, Inc. (A Rural Bank)",https://ph.linkedin.com/jobs/view/business-development-intern-voluntary-seabank-at-seabank-philippines-inc-a-rural-bank-4073444073?position=24&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=ygwI3j1HbY2LCxIZTTXg%2BQ%3D%3D,"About The TeamThe SeaBank Internship Program offers a learning experience that allows the students to be immersed in the fun and collaborative work environment of SeaBank PH. A 3-5 month internship open for year-round hiring of undergraduate students, the program aims to provide interns with relevant tasks/projects to work on in their assigned business function. The internship allows the interns to make a difference with technology and become future leaders in the industry.Job DescriptionAssist in analyzing Deposits, Payments and Cards.Get actionable insights from these analyses.Perform 1 end-to-end project.RequirementsMust be a third or fourth-year college student currently enrolled in a university with a degree in Data, Math, Business or Banking-related courses from a good universityVoluntary Internship (not required by the school)Excellent communication and collaboration skillsHave strong interest in the digital businessCan commit to a full-time internship for at least 3 monthsAmenable to working onsite in Mandaluyong City (The Podium) at least three times a week. Can work from home for the rest of the remaining work days.Passionate about the banking industryGood communication and interpersonal skills","Sales, Sales, Strategy/Planning","Manila City, National Capital Region (NCR)",Internship,Linkedin,
Supply Chain Logistics Intern,Vertiv,https://ph.linkedin.com/jobs/view/supply-chain-logistics-intern-at-vertiv-4192320875?position=20&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=L63iLOmSmerYVa0rMty1MA%3D%3D,"Who we are:Nearly all aspects of our lives involve the use of technology. It is how we work and play and do anything in between. This connectivity or use of data is built into the very fabric of our society. It is vital to human progress. Vertiv believes there is a better way to meet this accelerating demand for data — one driven by passion and innovation.As industry experts and Architects of Continuity, we collaborate with our customers to envision and build future-ready infrastructures. We leverage our portfolio of hardware, software, analytics, and services, to ensure our customers’ vital applications run continuously, perform optimally, and scale with business needs.Why Join Us?Meaningful and Fulfilling WorkInspiring and Caring LeadersGlobal Talent CenterRecharge Your PotentialWe are currently looking for interns to join our Supply Chain Logistics Team.Internship Job ResponsibilitiesTo encode invoices details from PDF to Database in Excel (3minutes per invoice).To download Invoice copies in Dataserv (1-2minutes per invoice).Ad HocInternship QualificationsThe program is open to all undergraduates/students presently enrolled in a college or university. Preferably Engineering, Economics, and Finance.The candidate must submit the required documents to be considered for the OJT program.Letter approval from school that allow students to work on-site.Training AgreementMemorandum of AgreementPoint of contact from school (Name of coordinator, position, contact number and email address)Must be willing to render a minimum of 500 hours.Willing to report at the office.Willing to start as soon as possible.","Supply Chain, Information Technology, Administration & Office Support","Mandaluyong City, National Capital Region (NCR)",Internship,Linkedin,
Marketing Intern,"Sun Life Grepa Financial, Inc.",https://ph.linkedin.com/jobs/view/marketing-intern-at-sun-life-grepa-financial-inc-4195683953?position=27&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=nENDyMRcJygPnW5GsfaVmA%3D%3D,"Position Overview:We are seeking a motivated and creative Marketing Intern to join our dynamic marketing team. This internship provides an excellent opportunity to gain hands-on experience in various aspects of marketing while contributing to real-world projects.Responsibilities:Assist in the development and execution of marketing campaignsHelp create content for social media platforms and company websiteSupport the team in organizing marketing events and trade showsContribute to the creation of marketing materials (e.g., brochures, presentations)Assist in maintaining and updating customer databasesHelp track and report on key marketing metricsParticipate in brainstorming sessions for new marketing initiativesRequirements:Currently pursuing a bachelor's degree in Marketing, Business, Communications, or related fieldStrong interest in marketing and digital mediaProficiency in Microsoft Office suite (Word, Excel, PowerPoint)Familiarity with social media platformsBasic understanding of graphic design tools (e.g., Canva, Adobe Creative Suite) is a plusRequired minimum of 300 Hours Internship",Marketing,"Makati City, National Capital Region (NCR)",Internship,Linkedin,
Internship - Human Resources (3 Months),Air Liquide,https://ph.linkedin.com/jobs/view/internship-human-resources-3-months-at-air-liquide-4149978800?position=17&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=0vEd0yGJVoINjOVle0FhDg%3D%3D,"Air Liquide PhilippinesAir Liquide Philippines, a fully owned subsidiary of Air Liquide Group, started its operations in 1994 and currently employs 230+ people. We operate air separation units (ASU), hydrogen plants, carbon dioxide plants, cylinder refilling stations and depots, on-site plants and pipelines nationwide. Our main plant is situated in Pinagbuhatan, Pasig City, and our head office is in Bonifacio Global City, Taguig City. We serve a wide spectrum of markets and industries including electronics, food processing, pharmaceuticals, metals, automotive, shipbuilding, and hospitals. Air Liquide Philippines is ISO 9001:2008 certified as well as GMP certified for medical oxygen. In addition, our liquid carbon dioxide plant in Pasig City filled the requirements for Food Safety System Certification 22000 (FSSC 22000) for the manufacture of this gas as a food additive.About Business Linehttps://ph.airliquide.com/Work LocationTaguig, Metro ManilaMission:As a HR OJT/Internship for a 3-months term, you will be contributing to administrative tasks and daily support. You will collaborate with the Lead HR Business Partner and the broader team in HR, Admin, and Communication, delving into functions such as HR Operations, Innovation &amp; Development, and People Management. A chance for hands-on HR experience and insights.How will you CONTRIBUTE and GROW?Operational Effectiveness:Collaborate with stakeholders and collaborate closely with the Lead HRBP to align with company objectives, including diversity and equal employment opportunity.Engage in Employee Health, Wellbeing &amp; Workers’ compensation initiatives.Support the Lead HRBP in formulating strategies for people management, succession planning, and talent management for key managerial positions and stakeholders.Prepare HR-related reports, such as training budgets by department.Innovation &amp; Development:Define and implement HR best practices, including talent development, workforce planning, rewards &amp; recognition, and employees and industrial relations.Actively participate in organizational transformation initiatives/project.Develop and deploy HR tools, processes, and templates to assist managers in achieving organizational objectives.People Management:Collaborate with managers to enhance employee engagement, performance, and outcomes.Offer HR policy guidance to managers and employees.Are you a MATCH?Degree in Human Resources and/or Administration.Good communication, interpersonal and presentation skillsBasic knowledge of labor legislation.Proficiency in Google Suite applications.Uphold strict confidentiality in dealing with sensitive information.Familiarity with any HRIS is a plus.Require to have MOA/Endorsement LetterAble to work as per the work arrangementFinal year students or Fresh Graduates in 2024/2025 are encouraged to apply.Complementary informationWorking location: Taguig, Metro ManilaDesired start date: May 2025 IntakeDuration of the OJT: 3 months (Subject to extend another 3 months)Working Hours: 8 Hours per dayWorking Days: Monday - FridayMode: Onsite (Monday - Thursday), Home (Friday)Allowance: Yes, calculated Per dayAbout Air LiquideA world leader in gases, technologies and services for Industry and Health, Air Liquide is present in 78 countries with approximately 64,500 employees and serves more than 3.8 million customers and patients. Oxygen, nitrogen and hydrogen are essential small molecules for life, matter and energy. They embody Air Liquide’s scientific territory and have been at the core of the company’s activities since its creation in 1902.Our Differences make our PerformanceAt Air Liquide, we are committed to build a diverse and inclusive workplace that embraces the diversity of our employees, our customers, patients, community stakeholders and cultures across the world.We welcome and consider applications from all qualified applicants, regardless of their background. We strongly believe a diverse organization opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to innovate by living our fundamentals, acting for our success and creating an engaging environment in a changing world.**We thank you for your interest in Air Liquide. Interested applicants are encouraged to send in a detailed resume, including reasons for leaving for past employment. Please be informed that only shortlisted candidates would be notified.**",Administration & Office Support,"Taguig City, National Capital Region (NCR)",Internship,Linkedin,
Marketing Intern (Paid Internship),Itiviti,https://ph.linkedin.com/jobs/view/marketing-intern-paid-internship-at-itiviti-4177254660?position=8&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=u9kI5iOrQDiwLJDMxd9tog%3D%3D,"Role OverviewWe are seeking a penultimate or final year marketing or communications student to support the delivery of our B2B marketing campaigns in our Asia Pacific business, to promote our core technology and data solutions across capital markets and asset management sectors. Reporting to the APAC marketing director, you will work closely with marketing partners based in Hong Kong and Singapore and marketing channel specialists in the US and India to deliver tactical elements of marketing campaigns that drive interest, engagement and leads.In this role, you’ll be part of a team working on omni-channel marketing programs, supporting the delivery, execution and reporting of go-to-market campaigns. You will interact with Broadridge’s digital (website, analytics etc.) and brand (graphics, social media) teams to bring our marketing plans to life and to report on ROI.Succeeding in the role requires balancing knowledge of marketing theory and project management skills to ensure programs worked on are tracked and any issues are addressed in a timely and effective manner.Are you a dedicated individual with a strong client centric mentality? Do you thrive in a dynamic and creative environment? Are you looking for a role in which you can really make a difference? Please see below for how you can contribute to the success of our organization.This role is considered hybrid, which means you’ll be assigned to a Broadridge office and given the flexibility to work remotely.ResponsibilitiesSupport the delivery of marketing programs for our solutions capabilitiesProject manage the delivery of marketing assets with marketing specialist teamsMeasure and report on the impact of marketing activities to maximize ROI.Develop and maintain strong working relationships with internal stakeholdersYour ProfileStrong English written and verbal communication skills and ability to multi-taskBasic in Marketing, Business Administration or other relevant field.Good knowledge of MS Office (Word, Excel, Power Point),Knowledge of digital marketing platforms such as PowerBI and Sprinklr are highly regardedUnderstanding of financial markets would be highly regardedRequirementsLocation: Makati City, Metro Manila Internship MUST be part of the academic curriculum. Applicants that are enrolled in an internship/OJT or any similar subjects will be prioritized.Work as part of a global team, i.e. ability to engage and communicate across time zonesAble and willing to work outside of regular office hoursNote: The ideal start date is the first week of May 2025.Broadridge Financial Solutions (NYSE: BR), a global Fintech leader with $5 billion in revenues, provides the critical infrastructure that powers investing, corporate governance, and communications to enable better financial lives.Itiviti was acquired by Broadridge in May 2021 and is now Broadridge Trading and Connectivity Solutions. Our combined offering enables simplification and streamlining of all front office, middle office, and post-trade functions — powering connectivity and multi-asset trading across global markets.","Marketing, Sales","Manila City, National Capital Region (NCR)",Internship,Linkedin,
Internship - Marketing,LUXASIA,https://ph.linkedin.com/jobs/view/internship-marketing-at-luxasia-4136454067?position=9&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=QhKzPwvsANqYa29%2FSQSbPQ%3D%3D,"LUXASIA is the leading beauty omnichannel distribution platform of Asia Pacific that has successfully enabled brand growth for more than 100 luxury beauty brands. Our integrated brand-building capabilities include luxury retail, online commerce, consumer marketing, and supply chain management. Since 1986, the company has partnered the world's finest brands, such as Aveda, Bvlgari, Calvin Klein, Diptyque, Hermes, La Prairie, Montblanc, and SK-II. We have also established Joint Ventures with the likes of LVMH Group, Elizabeth Arden, Puig, Yves Rocher, and By Terry. At the core of our business is a diverse and dynamic #OneTeam of 2000 talents that shape the face of luxury beauty, and delights consumers daily across our growing footprint of 15 markets.Why Join Us?At LUXASIA, we believe there is beauty within every talent - that is you.We grow you by building your competencies and unleashing your potential. We have curated a vast portfolio of over 100 luxury brands across Asia Pacific, and growing. Your work will enrich the lives of millions of consumers across the region. With us, you get to be an entrepreneur, running the business like it is your very own. We give you the autonomy but not without guidance and genuine care. We are a diverse and inclusive team that is courageously innovative. Together as #OneTeam, we celebrate differences, embrace change, explore new ideas, take risks, fail fast, and drive results. While challenges at work are inevitable, the journey promises to be fulfilling.With LUXASIA, an exciting career filled with robust professional growth awaits you. Isn't that beautiful?Key responsibilities{​{:}}Proficient in editing software like CanvaAssist/lead in planning and implementing marketing campaigns (includes PR, CRM, and visual merchandising)Assist in eventsMonthly social media calendar creation (FB, IG, Viber Community)Create post-seeding/event reportsCreate competitor analysis reportsPack, deliver, and coordinate PR gift deliveries/seedings for media and influencers; monitor articles and social media posts from media and influencersRequirementsWhat we're looking for{​{:}}Communication, marketing, advertising, or business management students4th year college students ONLY who are required to partake an internship as part of their curriculum are highly encouraged to applyPossess a strong learning attitudeEffective interpersonal and negotiation skillsAble to work independently with minimal supervisionProactive and detail-orientedMust have background with Adobe Photoshop, Illustrator, and InDesignWilling and able to do F2F internshipAt least 3 full days for internship (hybrid), plus activities and events that require on-site presence",Marketing,"Taguig City, National Capital Region (NCR)",Internship,Linkedin,
Marketing Intern-Campus recruitment,Xiaomi Technology,https://ph.linkedin.com/jobs/view/marketing-intern-campus-recruitment-at-xiaomi-technology-4158407479?position=21&pageNum=0&refId=rODGPAisNliBc5Mp3JLKUg%3D%3D&trackingId=lkcvoz%2FEKg5HhqBhkTVWVg%3D%3D,"Job Description:Provide support in project management of various marketing functions including in Public Relations, Social Media, Media Buy, Content etc. Content development on owned media platforms: TikTok, Facebook, X, Instagram and more. Moderation of Mi Communuity: planning, posting threads/contents aligned with Community Manager Support in marketing report development and analysis Support in marketing events, roadshows, production, and other related marketing work. Job Requirements:A senior student of a reputable University with a degree in Marketing, Communication, Business, Arts or any related course Able to render atleast 300 hours of internship, with solid recommendation from the University A good team player, competitive yet humble attitude, and always willing to learn new things Being a Xiaomi fan is a plus.",Marketing,"Manila City, National Capital Region (NCR)",Internship,Linkedin,
