title,company,link,job_desc,job_func,location,job_type,source
Embedded Software Intern,DYSON ELECTRONICS PTE. LTD. - PHILIPPINE BRANCH,https://ph.jobstreet.com/job/83187750?type=standard&ref=search-standalone&origin=cardTitle#sol=ef435137df19319c9d623ad47499bb89171e7881,"About usDyson is a global technology enterprise.&nbsp; We solve the problems others choose to ignore, with surprising new inventions that defy convention and simply work better. We’re driven by progress and thrive on the challenge of relentless improvement.&nbsp; We’re growing fast and our ambition is huge – more categories, more locations and more people.Our scale and rapid growth make Dyson rich in new opportunities. We value new ideas and diverse perspectives, so our people are trusted with real work and responsibility from the outset.&nbsp; You’ll develop fast and have the chance to move into different business areas and regions.&nbsp; And you’ll be part of a global network of like-minded people – a community that supports and learns from each other.About the roleToday Dyson have engineers around the world in software engineering, design, electronic hardware, mechanical engineering and science related roles.&nbsp; You will be interacting with teams across Research, Design &amp; Development (RDD), including product developers ensuring our solutions are functional, secure and easy to use.&nbsp; This role is to be trained on real time embedded software.&nbsp; The embedded software team is responsible for designing and implementing software that runs on the target silicon inside Dyson products.&nbsp; The team delivers software that interprets the input signals from the sensors, processes the input signals, translates them to a proper system behaviour and produces the desired output to drive heaters or drive motors depending on the Dyson product. Your training will include:Hands-on experience in developing real-time embedded software for production-grade consumer products across diverse silicon platforms, primarily ARM-based.Participating in the review and analysis of product and system requirement documents, conducting feasibility studies and contributing to proofs of concept.Engaging in the full software development lifecycle, including low-level design, implementation and coding, and testing at unit, component, and product levels.Setting up and maintaining Continuous Integration (CI) infrastructure and environments.Learning and integrating Dyson's development methodologies, best practices, and standards into your daily work.Supporting and contributing to initiatives aimed at driving continuous improvement across processes and projects.Our internship programme connects academic theory with practical experience. Gain valuable insights into professional applications through mentorships with our industry-leading experts and exposure to cutting-edge practices. Join us for a transformative journey where theory meets application, guided by the industry’s best minds!About youYou will be trained on the delivery of the next generation of Dyson technology, so you will need to:Currently pursuing a Bachelor’s degree in Electrical, Electronics, Telecommunication, Computer Engineering degree or equivalent.With experience in C/C++,UML or Python programming.Will be able to show how you applied your technical knowledge to solve problems, either through your university projects or as part of your extra-curricular activities.Happy to build your own networks to learn from the technical expertise around you.Creative problem solver with the ability to multitask in a rapidly changing environment.   Passionate about Dyson and our technology to help us meet our ambitious future.Please note that these roles are for full-time onsite internship in Santo Tomas, Batangas from May to August 2025.For your application to be considered, please upload the following in a single file.Resume or Curriculum VitaePortfolioEndorsement Letter with Insurance CoverageTranscript of records (all semesters inclusive)Working for usJoin our internship programme to jumpstart your career. We look to offer selected high-performing interns an opportunity to return on our graduate programme.Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.",Information Technology,,,Jobstreet
Entry-Level IT Programmer (Open to Fresh Graduates),Ionics EMS Inc.,https://ph.jobstreet.com/job/83234680?type=standard&ref=search-standalone&origin=cardTitle#sol=a6625838efc858679ddfa6d5703fe35bf0782df2,"Education:· Bachelor’s degree in computer science, Computer Engineering, Information Technology, or a related field.· Open to fresh graduates with a strong foundation in programming and software development.Required Skills &amp; Qualifications:· Strong foundation in Python, PHP, and MSSQL.· Good understanding of web development technologies such as HTML, CSS, and JavaScript.· Familiarity with Vue.js is optional but must be willing to learn.· Knowledge of database management systems, including SQL Server, with experience in stored procedures and triggers.· Experience with other programming languages (e.g., VB.Net, C#, or Java) is a plus.· Familiarity with tools like Power BI is a plus.· Must have good communication skills in both Tagalog and English.· Must be a team player, with the ability to collaborate effectively in a dynamic work environment.· Excellent analytical and problem-solving skills with attention to detail.· Eager to learn and adapt to new tools, frameworks, and technologies.Key Responsibilities:1. Programming and Development:o Develop and maintain applications using Python, PHP, and MSSQL.o Write efficient, maintainable, and well-documented code.o Participate in testing, debugging, and code reviews to ensure quality standards.2. Database Management:o Create, optimize, and maintain databases in MSSQL to support application needs.o Design and implement stored procedures, triggers, and ETL processes.3. Web Development:o Build and maintain web applications and services using PHP.o Integrate front-end components with back-end systems for seamless functionality.4. Frontend Development (Optional):o Contribute to front-end development using Vue.js, if applicable.o Assist in creating dynamic, user-friendly interfaces for web applications.o Must be willing to learn and explore front-end technologies if needed.5. System Implementation and Support:o Evaluate, develop, and implement IT solutions for process automation and optimization.o Provide technical support and troubleshooting for developed systems and applications.6. Collaboration and Documentation:o Work collaboratively with team members and stakeholders to gather requirements and deliver solutions.o Maintain clear and comprehensive documentation for all developed applications.Why Join Us?This is a great opportunity for fresh graduates to gain hands-on experience in programming and software development while being part of a supportive and collaborative team.Benefits:· Free on-site parking· Paid training programs (e.g., Udemy and other learning platforms) to support skill development· Health Maintenance Organization (HMO) coverage for regular employees· Opportunities for promotion and career growth· Transportation services provided· 13th-month salary and overtime payJob Type: Full-timeBenefits:&nbsp;Paid trainingTransportation service provided&nbsp;Schedule:&nbsp;10 hour shift12 hour shift8 hour shiftOvertimeShift system&nbsp;Supplemental Pay:&nbsp;13th month salaryOvertime pay",Information Technology,"Calamba City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Junior Web Developer,"Solventis Asia Pacific, Inc",https://ph.jobstreet.com/job/83298662?type=standard&ref=search-standalone&origin=cardTitle#sol=50067a1cb5326c23bcfd8a5a7babead801fffe5d,The RoleThis position is for an entry-level developer role which will be involved in building web solutions based on Microsoft and open-source platforms. The role will be involved in&nbsp;front-end and back-end&nbsp;web development and mobile responsive web development as well as enterprise level business process workflow and electronic forms.New hires will be provided advanced training in Synergy's best practice methodology and expected to ramp up quickly.This position allows work from home and requires staff to have high speed cable internet service.&nbsp;ResponsibilitiesDevelop&nbsp;web components and applicationsWrite software specificationsWork effectively and cooperatively with other team membersCode review solutions developed by other team membersPrepare documentation on business solutions&nbsp;&nbsp;Benefits:Full-Time PositionWork from home anywhere in PhilippinesNon-Taxable AllowancePremium Health Insurance15 days Paid Leave13th Month PayChristmas gift&nbsp;&nbsp;,Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Software Engineer (Web Development),SupportNinja,https://ph.jobstreet.com/job/82695301?type=standard&ref=search-standalone&origin=cardTitle#sol=2a21614bba8049d96dfc249ef24e42e220acaf4d,"Work Setup:&nbsp;RemoteContract:&nbsp;Full timeStart Date:&nbsp;ASAPSchedule: Nigh Shift (US West Coast business hours)As a Software Engineer (Web Development), you'll play a crucial role in building and maintaining custom websites, as well as contributing to the development of our in-house content management system (CMS), which is built on the robust foundation of WordPress.&nbsp;What does a day in the life as a Software Engineer (Web&nbsp;Development) look like?Build WordPress themes from a starter ‘bootstrap’ theme using proprietary frontend theming tools and hand coding with PHP, HTML, and CSS.Implement and test themes to meet WCAG standards for accessibility, ensuring all elements are fully compliant and user-friendly. .&nbsp;Write clean, semantic, and modular HTML and CSS (including SCSS).Use TypeScript or JavaScript for interactive features or dynamic &nbsp;components.&nbsp;Leverage proprietary PHP software to integrate customizable theme widgets and ensure seamless backend functionality.Utilize WordPress developer functions, actions, and filters to customize themes and functionality as needed.&nbsp;Experience with WordPress multi-tenant installation a plus.Collaborate using Git for version control, ensuring proper branching, merging, and documentation..Optimize themes for performance, including fast load times, responsive design, and cross-browser compatibility.&nbsp;Ensure sites meet minimum Google Page Insights scores determined by the client.Conduct rigorous testing of themes for responsiveness, browser compatibility, and adherence to the design.&nbsp;Troubleshoot and debug issues during development and post-launch phases.&nbsp;Work closely with designers, developers, and other team members to ensure accurate implementation of mockups and project requirements.&nbsp;Provide ongoing support for implemented themes, including updates for compatibility, bug fixes, and feature enhancements.&nbsp;&nbsp;What are the required qualifications for aa Software Engineer (Web&nbsp;Development)?Minimum 2 years of commercial website experience.Strong proficiency in PHP, JavaScript, HTML, and CSS.Understanding of web graphics, usability, and user experience design principles.Ability to work effectively in a team environment.Excellent problem-solving and debugging skills.Familiarity with version control systems (e.g., Git). is an advantage.This position does not utilize page builders such as Elementor, Divi&nbsp; or Gutenberg.&nbsp;&nbsp;Ninja Perks and BenefitsCompetitive compensationAdherence to government-mandated benefitsRetirement Savings Program with Company MatchingLife InsuranceHMO on day 1Paid time off, birthday leaveBonus and incentive plansOpportunities for skills training and personal and professional developmentEmployee Referral ProgramExperience infinite fun so you can have infinite growth. Discover a better way to grow at SupportNinja Are you ready?Visit our Facebook page to find out more: https://www.facebook.com/SupportNinjaPH",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Junior Application Developer,NexFin Solutions Inc.,https://ph.jobstreet.com/job/82785833?type=standard&ref=search-standalone&origin=cardTitle#sol=b97217bc9ca3d8f3a65404bf2e3612148a7c9d46,"About the roleNexFin Solutions Inc. is seeking a talented Junior Application Developer to join our dynamic team in Muntinlupa City, Metro Manila. As a Junior Application Developer, you will play a crucial role in the development and enhancement of our cutting-edge financial technology applications in Odoo and SAP. &nbsp; This role offers an excellent opportunity to gain hands-on experience in a fast-paced and challenging environment, contributing to the digital transformation of our clients' businesses.&nbsp;What you'll be doingAssist in the design, development, and deployment of new software features and applicationsCollaborate with cross-functional teams to understand and translate business requirements into technical solutionsWrite clean, maintainable, and efficient code using python or SAP programming languages and frameworksParticipate in code reviews, testing, and debugging to ensure the quality and reliability of our productsStay up-to-date with industry trends, technologies, and best practices to continuously improve our applicationsContribute to the documentation and knowledge-sharing within the development teamGain an understanding of business operations and how our system, Odoo and SAP, can support them.Participate in agile development processes.Qualifications:Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent practical experience). &nbsp;&nbsp;Minimum of 1 year of professional experience in Python development.Willing to learn SAP ABAP programming.Familiarity with object-oriented programming principles.Basic understanding of web technologies (HTML, CSS, JavaScript).Familiarity with relational databases (e.g., PostgreSQL).Basic understanding of Linux or other operating systems.Strong problem-solving and analytical skills.Excellent communication and teamwork skills.Ability to learn quickly and adapt to new technologies.Familiarity with business operations and workflows is a plus.Prior experience with Odoo is a plus, but not required.Experience with Git or other version control systems.What we offerAt NexFin Solutions Inc., we are committed to providing our employees with a rewarding and fulfilling work experience. We offer competitive compensation, comprehensive health and wellness benefits, and ample opportunities for professional development and career advancement. Our company culture values innovation, teamwork, and a work-life balance, ensuring that our employees can thrive both professionally and personally.About usNexFin Solutions Inc. is a leading provider of innovative financial technology solutions. Our mission is to revolutionize the way individuals and businesses manage their finances, by developing cutting-edge applications that are user-friendly, secure, and highly efficient. With a dynamic and talented team, we are continuously striving to push the boundaries of what's possible in the IT industry.If you are excited about the prospect of joining our team and contributing to the development of our innovative products, we encourage you to apply now.Location: Muntinlupa City (Hybrid -Onsite/Offsite Arrangement)",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Web Application Developer | Night Shift,"August 99, Inc",https://www.kalibrr.com/c/august-99-inc/jobs/251388/web-application-developer-night-shift-2,"The Web Application Developer works in one or several divisions under August 99. He/she is required to develop solutions that solve client needs. His/her responsibilities include custom web app development, database design, plugin development, and maintenance of the company’s internal tools and marketing sites.Independent thinking and initiative are critical as he/she is expected to develop on various platforms and effectively meet project deadlines.Main responsibilities	Web app development for various platforms (e.g. Wordpress, Laravel, Shopify, Magento, Joomla, Node.js)	Theme creation involving converting designs (e.g. PSD and XD) into modular templates that can be readily used in a project.	Database design based on client requirements	Custom plugin development. Since various platforms are used, one must be comfortable in learning and integrating various APIs.	Ensuring site compatibility across required browsers.	Learning new coding techniques and tools with minimal supervisionThe Web Application Developer works in one or several divisions under August 99. He/she is required to develop solutions that solve client needs. His/her responsibilities include custom web app development, database design, plugin development, and maintenance of the company’s internal tools and marketing sites.Independent thinking and initiative are critical as he/she is expected to develop on various platforms and effectively meet project deadlines.Main responsibilities	Web app development for various platforms (e.g. Wordpress, Laravel, Shopify, Magento, Joomla, Node.js)	Theme creation involving converting designs (e.g. PSD and XD) into modular templates that can be readily used in a project.	Database design based on client requirements	Custom plugin development. Since various platforms are used, one must be comfortable in learning and integrating various APIs.	Ensuring site compatibility across required browsers.	Learning new coding techniques and tools with minimal supervisionKey Competencies:	Resourcefulness	Creativity	Must be coachable and willing to adapt to changes	Ability to work under minimal supervision	Ability to clearly express ideas and solutions to teammates and stakeholdersRequirements:	Prior experience with PHP, AJAX techniques, and database design.	Experience in creating a full web app using a combination of the following or an equivalent is preferred.			jQuery / Bootstrap / Coffeescript / SASS / LESS		PHP / Wordpress / Joomla / Laravel / Magento / Node.js		MySQL / Mongo DB			Must be willing to work on a night shift schedule (11pm - 8am)Key Competencies:	Resourcefulness	Creativity	Must be coachable and willing to adapt to changes	Ability to work under minimal supervision	Ability to clearly express ideas and solutions to teammates and stakeholdersRequirements:	Prior experience with PHP, AJAX techniques, and database design.	Experience in creating a full web app using a combination of the following or an equivalent is preferred.			jQuery / Bootstrap / Coffeescript / SASS / LESS		PHP / Wordpress / Joomla / Laravel / Magento / Node.js		MySQL / Mongo DB			Must be willing to work on a night shift schedule (11pm - 8am)Hire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
Remote | Beginner Software Developer Paid Residency - Hands-On Learning,ASG Platform,https://ph.jobstreet.com/job/83244811?type=standard&ref=search-standalone&origin=cardTitle#sol=7d53ae2ddf118f30e331e65f03c7232c9d72657d,"Entry level Software Developer Residency Program (2-Year Paid Training) – Kickstart Your Tech Career!Are you passionate about coding and eager to build a career in software development? Our Junior Software Developer Residency Program is a paid, hands-on training opportunity designed for entry-level developers, coding boot camp graduates, and fresh IT/computer science graduates looking to fast-track their careersWhy Join Our Developer Residency Program?Structured Training – Learn from industry experts in JavaScript, Java, Node.js, React, API Development, and Full-Stack Web Development.Hands-On Experience – Work on real-world projects to enhance your coding skills.Mentorship &amp; Career Growth – Get personalized guidance from senior developers and tech leads.Paid Opportunity – Earn while you learn with competitive compensation.Job Placement Support – High-performing residents may transition into full-time software engineering roles.What You’ll Learn &amp; Do:Programming Fundamentals – Deep dive into JavaScript, Python, Java, and Node.js.Full-Stack Development – Hands-on practice with React, HTML, CSS, and API integration.Software Engineering Best Practices – Learn clean coding, debugging, version control (Git), and Agile methodologies.Collaborate with Engineering Teams – Participate in team projects and sprints.Problem-Solving &amp; Algorithmic Thinking – Enhance your technical problem-solving skills.Who Should Apply?We’re looking for motivated individuals who:Have a background in computer science, IT, coding boot camps, or self-learning.Are proficient in at least one programming language (preferably JavaScript, Java, Python, Node.js, etc.).Have a strong passion for learning, software development, and problem-solving.Are eager to gain real-world experience and grow into a full-time software engineer.Can commit to the 2-year training program.Requirements:Programming Skills: MUST have a strong foundation in programming.Technical Skills: Familiarity with front-end and back-end development, Git/GitHub, APIs, and databases.Soft Skills: Strong analytical thinking, problem-solving, and communication skills.Benefits &amp; Perks:Paid training – Competitive stipend throughout the program.Mentorship &amp; Career Development – Work alongside experienced software engineers.Career Growth Opportunities – High performers may transition into full-time roles.Hands-on Project Work – Gain experience on real-world applications.Flexible, Remote-Friendly Work Environment (depending on project needs).",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Junior Software Developer,Augmata Inc.,https://ph.jobstreet.com/job/82928533?type=standard&ref=search-standalone&origin=cardTitle#sol=14eb63c4ea303912208658cc1ea5c7ca5011f879,"Responsibilities:● Write and test code for various software applications● Assist senior developers with coding tasks and projects● Fix bugs and troubleshoot software issues● Contribute to the development process by understanding and translatingrequirements into functional code● Participate in code reviews and learn from more experienced developers● Stay up-to-date on the latest coding languages and technologies● Attend meetings and collaborate effectively with other team membersQualifications:● Bachelor's degree in Computer Science, Information Technology, or a related field(or equivalent experience)● Strong understanding of fundamental programming concepts and data structures● Proficiency in at least one programming language (e.g., Java, Python, JavaScript)● Familiarity with version control systems (e.g., Git)● Excellent problem-solving and analytical skills● Ability to learn quickly and adapt to new technologies● Strong work ethic and a willingness to learn",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Junior WordPress Web Developer | Day Shift | WFH,Ethos Bytes Pty Ltd,https://ph.jobstreet.com/job/83169463?type=standard&ref=search-standalone&origin=cardTitle#sol=58b2e6e420d14a117647f90de4781a0948861880,"To apply for this position fill up the following questionnaire:https://forms.gle/NV9Q6FuhmcgYVjy98Job OverviewEmployment type: Full-timeShift: Morning Shift (10:00 AM to 6:00 PM)Work setup: Permanent Work-from-HomeJob Description:Develop and implement custom WordPress websites according to given design specifications (figma).Create and manage templates, color schemes, and modular components.Ensure websites are visually appealing, user-friendly, and responsive across various devices.Collaborate with designers and other team members to deliver high-quality websites.Troubleshoot and resolve issues related to website performance, security, and functionality.Qualifications:Bachelor's Degree in Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent.Proven experience in web development with a strong focus on WordPressKnowledgeable in WordPress plugins.Proficiency in HTML5, CSS3, JavaScript, and responsive design principles.Experience with PHP as it relates to WordPress development.Create clean, logical, well-documented and re-usable code.Ability to work collaboratively in a fast-paced environment and handle multiple projects simultaneously.Ability to work independently and efficiently in a remote environment.Strong attention to detail, problem-solving skills, and a passion for delivering top-notch user experiences.Languages: EnglishJob Specialization: Computer/Information TechnologyWorkspace: Own laptop and stable internet connection&nbsp;Company OverviewEthos Bytes is an Australian IT Consulting company specializing in custom software development.&nbsp; We are a global team of developers, business analysts, system architects focused on creating sophisticated mobile and web applications.&nbsp; We have facilitated the digital transformation of Australian companies across a range of industries including construction, education, mining, and not-for-profit.&nbsp;Additional company InformationAustralian Company Number: 653 964 197Company Size: 1-15 employeesIndustry: Consulting (IT, Engineering &amp; Technical)",Information Technology,"Manila City, National Capital Region (NCR)",Contract/Temporary,Jobstreet
REMOTE - Entry-Level Software Developer (Training + Job Placement),ASG Platform,https://ph.jobstreet.com/job/83244962?type=standard&ref=search-standalone&origin=cardTitle#sol=b4a0725e2a5bb392d90be166e90ed4160d3e56aa,"Entry level Software Developer Residency Program (2-Year Paid Training) – Learn and Earn!Are you passionate about coding and eager to build a career in software development? Our Software Developer Residency Program is a paid, hands-on training opportunity designed for entry-level developers, coding boot camp graduates, and fresh IT/computer science graduates looking to fast-track their careers.Why Join Our Developer Residency Program?Structured Training – Learn from industry experts in JavaScript, Java, Node.js, React, API Development, and Full-Stack Web Development.Hands-On Experience – Work on real-world projects to enhance your coding skills.Mentorship &amp; Career Growth – Get personalized guidance from senior developers and tech leads.Paid Opportunity – Earn while you learn with competitive compensation.Job Placement Support – High-performing residents may transition into full-time software engineering roles.What You’ll Learn &amp; Do:Programming Fundamentals – Deep dive into JavaScript, Python, Java, and Node.js.Full-Stack Development – Hands-on practice with React, HTML, CSS, and API integration.Software Engineering Best Practices – Learn clean coding, debugging, version control (Git), and Agile methodologies.Collaborate with Engineering Teams – Participate in team projects and sprints.Problem-Solving &amp; Algorithmic Thinking – Enhance your technical problem-solving skills.Who Should Apply?We’re looking for motivated individuals who:Have a background in computer science, IT, or coding boot camps.Are proficient in at least one programming language (preferably JavaScript, Java, Python, Node.js, etc.).Have a strong passion for learning, software development, and problem-solving.Are eager to gain real-world experience and grow into a full-time software engineer.Can commit to the 2-year training program.Requirements:Programming Skills: MUST have a strong foundation in programming.Technical Skills: Familiarity with front-end and back-end development, Git/GitHub, APIs, and databases.Soft Skills: Strong analytical thinking, problem-solving, and communication skills.Benefits &amp; Perks:Paid training – Competitive stipend throughout the program.Mentorship &amp; Career Development – Work alongside experienced software engineers.Career Growth Opportunities – High performers may transition into full-time roles.Hands-on Project Work – Gain experience on real-world applications.Flexible, Remote-Friendly Work Environment (depending on project needs).",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
