title,company,link,job_desc,job_func,location,job_type,source
INDUSTRIAL ENGINEEER,Anglo Watsons Glass Inc.,https://ph.jobstreet.com/job/83178076?type=standard&ref=search-standalone&origin=cardTitle#sol=7eed10766098d94cb7f611ab7b92a78e96817765,"Staff Engineer for Plant ManagerConsideration information, prepares and send thru e-mail daily reports to all Department Managers.Informs other departments of the schedule of the Plant Manager to avoid having pending documents for approval.Transmits messages to the Plant Manager especially when these messages were sent in his absence.Encoding of Production Order, Receipts from production, Inventory Transfer and Goods Issue on SAP.Prepare Sales Invoice in coordination with Credit and Collection Officer.Prepares and submits monthly report to the Accounting Dept.Receiving and countering of billing from suppliers/contractors/haulers.Recording, releasing of billing and RPS from to the end-user for RPS Preparation.Receiving of documents subject for approval by the Plant ManagerRecording of the approved PR, RPS, Gate Pass and other documents by the Plant Manager.Received documents for signature by the Company President and send out after signing.Provides assistance to various department on their required/needed data for their report.Preparing and releasing of free meal stub for attaining target production efficiency.Coordinates with Various departments to gather report references.Perform other tasks as maybe assigned from time-to-time.",Engineering,,,Jobstreet
OMS CHAMPION / Industrial Engineers,"DHL Supply Chain Phils., Inc.",https://ph.jobstreet.com/job/82736463?type=standard&ref=search-standalone&origin=cardTitle#sol=c7d74355edca6341eda60b6316151c208784a1bb,"Drive the implementation of DSC's operating system - OMSFC (Operations Management System First Choice)&nbsp;﻿﻿Coach all levels of site operations team on the implementation and sustainability of OMSFC, ensuring job standardization and operations efficiency ﻿﻿Support the deployment of BASICS and OMS Tools for Performance Management ﻿﻿Lead and champion First Choice in the operations through Cl activities and process improvement projects&nbsp;&nbsp;Qualifications:&nbsp;﻿﻿Dynamic and goal oriented; enabling site teams to work according to the plan ﻿﻿Can communicate with all levels in the organization﻿﻿Proficiency in Microsoft Office suites particularly on Excel, Word and PowerPoint&nbsp;﻿﻿Bachelor's degree in industrial engineering, Operations Management or any related course&nbsp;Experience in a supply chain environment is a plusWilling to work in Merville ParañaqueAbility to work independently",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Procurement Engineer,Yamaha Motor Philippines,https://ph.jobstreet.com/job/82706580?type=standard&ref=search-standalone&origin=cardTitle#sol=0bb6583925e24bd188fcc213eb7849c5bb0fcad4,"KEY RESPONSIBILITIESResponsible for cost innovation/cost reduction activity with suppliers thru process/material verification concerning new model development.&nbsp;Checks/interpret drawings, technical standards and other requirements needed to proceed with the activity.&nbsp;Monitors closely all supplier's status and update, verifies countermeasures based on plan.&nbsp;Conducts audit to suppliers and on-site visits to ensure compliance to standards, whenever necessary.&nbsp;Closely coordinates with both YMPH internal/external suppliers for all the required activities needed in localization and parts development.&nbsp;Establishes/maintains good relations with suppliers and deals as “business partners” and not on a customer-supplier basis.&nbsp;Perform other tasks that may be assigned by superior from time-to-time.&nbsp;JOB QUALIFICATIONSGraduate of BS Industrial Engineering or any Engineering related courses.With at least 1 – 2 years of experience in Purchasing/Procurement gained from Manufacturing set-up.Basic knowledge in drawing interpretation / QC Tools.Background in TVP, Kaizen Supply Chain Management, Cost Management/Cost Analysis.Knowledge in Supplier Improvement and Control is a plus.&nbsp;Willing to be assigned in Malvar (Headquarter Office).&nbsp;","Manufacturing, Transport & Logistics","Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Warehouse Sr. Engineer (Spareparts &amp; Accessories),Yamaha Motor Philippines,https://ph.jobstreet.com/job/82720552?type=standard&ref=search-standalone&origin=cardTitle#sol=fd360f494dc39e8021445ac709a550a9064cd875,"KEY RESPONSIBILITIES :&nbsp;Creates strategy and implements warehouse seamless operation.Conducts effective training in warehouse processes and standard operating procedures.&nbsp;Overseas the compliance in warehouse 5S, Safety and Environment.&nbsp;Recommends improvement in policies, procedures and standards for Warehouse processes such as receiving, sorting, repacking, binning, picking, packing and dispatching.Recommends yearly Management By Objective (MBO) and Key Performance Indication (KPI) categories, plans and target for Warehouse Operations.Issues corrective and preventive action request for the areas needs improvement or below performances.Evaluates all subordinate performances through Key Result Area (KRA) targets and competencies.Leads, coaches, and counsels all subordinates for efficient discharge of duties and responsibilities.Controls operations' expenses and recommends cost efficient and cost reduction programs.&nbsp;Communicates with superiors, YMPH inter-department and Yamaha group of companies all operation related concerns.&nbsp;Performs other related duties that may be assigned from time to time by his/her immediate superior.JOB QUALIFICATIONS:&nbsp;Graduate of any Engineering Courses. Industrial Engineering graduate is advantage.&nbsp;With at least 2 years+ of experience of leadership role in manufacturing set-up (LEAN).&nbsp;Background in Warehouse Operation / Management, or Supply Chain Management.&nbsp;Exposure in Theoretical Value Productivity, Root Cause Analysis or ISO Standards is desirable","Manufacturing, Transport & Logistics","Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Operations Specialist (Industrial Engineering Graduates),"Marie France Bodyline International, Inc.",https://ph.jobstreet.com/job/83177641?type=standard&ref=search-standalone&origin=cardTitle#sol=59ea7888f569046a079b9dc2fe74b14d795ade00,"We offer a challenging career and competitive remuneration package commensurate with the candidate's experience and qualifications.Interested applicants are invited to Apply Online.&nbsp;Responsibilities:Responsible for the management of all administrative and operational concerns focusing primarily on housekeeping activities and related purchases, property management, and maintenance services, such as monitoring the activities, duties, and deliverables of Drivers and Electricians. Ensuring the compliance of set procedures endorsed by her immediate superior.&nbsp;&nbsp;This position requires the candidate to have:At least 1 year of relevant experience in a manufacturing, consumer, service-oriented, or related industry. FRESH GRADUATES ARE HIGHLY ENCOURAGED TO APPLY.Must be a graduate of Industrial Engineering course.Extensive knowledge in operations-related functions namely: Inventory Control, Systems and Procedures Development, Planning and AnalysisA working experience supervising special projectsWith proven planning and leadership skillsMust have strong observational skills and judgment and should be able to think strategicallyPossesses strong analytical skillsAbility to deal with people across all levels of the organizationAbility to work independently and manage multiple projects at a timeExcellent oral and written communication skillsApplicants must be willing to work in Makati City.&nbsp;",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Industrial Engineering Analyst,One Food Group,https://ph.jobstreet.com/job/82643969?type=standard&ref=search-standalone&origin=cardTitle#sol=e7c2555a9acd1564cb64cb2c8129dd9e9c6bb028,"Job Description:Contribute to the organization's continuous progress by applying various IE tools and techniques to real business cases.Identify root cause of existing problems and develop and implement cost effective and sustainable solutions that are backed up with data analysis.Create efficient flows by designing innovative tools, workstations and layout that adheres to the principles of ergonomics and executing these ideas using AutoCAD and SketchUp.Eliminate non-value adding activities by performing time study, work measurement and utilizing lean concepts.Ensure that approved recommendations are correctly executed by continuous monitoring during implementation and conducting on-site audit and measure.Learn and practice end-to-end project management, from planning work breakdown structures to monitoring project progress until project close out.Qualifications:Bachelor's degree in Industrial EngineeringFresh graduates are welcome to applyIf experienced, background in restaurant support systems is a plusData-driven mindset with strong organizational skillsProficient in Microsoft Office (especially Excel)Knowledgeable in CAD and SketchUp",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Industrial Engineer: WAREHOUSING &amp; LOGISTICS EFFICIENCY ENGINEER,"Paperlink, Inc.",https://ph.jobstreet.com/job/82767334?type=standard&ref=search-standalone&origin=cardTitle#sol=e763175c46dd6a0e577ca5200ce8b7378b93b62c,"The roleWe are seeking a highly skilled Industrial Engineer to join our team at Paperlink, Inc. in Malabon City, Metro Manila. In this full-time position, you will play a crucial role in optimizing our warehousing and logistics operations, driving efficiency and productivity across our supply chain.Criteria for the Job Position:Candidate must possess at least a Bachelor's Degree in Industrial Engineering/Manufacturing Engineering or any equivalent courses.Non-Smoker with good healthPreferably living near the CAMANAVA area, Quezon City or Manila.Preffered skill(s): Motion &amp; Time StudyRequired language(s): English; FilipinoApplicants must be willing to work at 58 Governor W. Pascual Avenue Potrero, Malabon CityApplicants must be willing to work from MONDAY to SATURDAYNo work experience is required as FRESH GRADUATES ARE ENCOURAGED TO APPLY!Self-disciplined with a good work attitude and leadership skills.Results-oriented, dependable with a high degree of time management.Must have good analytical, organizational, and interpersonal communication skillsMust be responsible and keen attention to details.Job Responsibilities:Understanding the work process and imposing detailed improvements to maximize warehouse spaceImprove the workflow in loading deliveries in the logistics and warehousing department.Maximize the warehouse space using the racking system and electric standing forklifts.Proper filing of dispatching orders accomplished in the warehouse system.Proper scheduling of items for loading to transportation systems in the logistics department.Maintaining the cleanliness of the warehousing and logistics department.Submission of the weekly accomplishment in the warehousing and logistics department.Conducting early morning briefings with working units in the warehouse and logistics department.Conducting Time and Motion Studies on the loading and unloading of productions to improve the efficiency of the workplace.",Engineering,"Malabon City, National Capital Region (NCR)",Full-time,Jobstreet
Continuous Improvement Industrial Engineer (CIIE),HCM Nexus,https://ph.jobstreet.com/job/82782137?type=standard&ref=search-standalone&origin=cardTitle#sol=a4e077c3be447ca47806d1ae2ac18cecf5048f68,"Job Summary:The Continuous Improvement Industrial Engineer (CIIE) is responsible for identifying, developing, and implementing process improvements that enhance productivity, efficiency, quality, and cost-effectiveness across operations. This role applies lean principles, data analysis, and industrial engineering methodologies to drive operational excellence and promote a culture of continuous improvement.Key Responsibilities:Analyze existing operational processes and workflows to identify improvement opportunities.Lead continuous improvement projects using Lean, Six Sigma, and other industrial engineering tools.Collect and analyze production data to assess performance and identify trends.Develop and implement process documentation, standard operating procedures (SOPs), and best practices.Collaborate with cross-functional teams to streamline processes and eliminate waste.Facilitate training sessions and workshops to educate staff on continuous improvement practices.Monitor and report on improvement initiatives and KPIs to management.Support root cause analysis (RCA) and implement corrective actions for recurring issues.Drive cost reduction strategies while maintaining quality and efficiency standards.Qualifications:Bachelor's degree in Industrial Engineering or related field.At least 2–3 years of experience in a similar role, preferably in manufacturing or logistics.Knowledge of Lean Manufacturing, Six Sigma (Green Belt or Black Belt certification is an advantage).Strong analytical, problem-solving, and project management skills.Proficient in Microsoft Office and data analysis tools (Excel, Power BI, Minitab, etc.).Excellent communication and interpersonal skills.Willing to work onsite in Laguna",Engineering,"Santa Rosa City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Associate Engineer - Process,Information &amp; Technology Management,https://ph.linkedin.com/jobs/view/associate-engineer-process-at-information-technology-management-4178297119?position=3&pageNum=0&refId=Dk3U6yip7xq%2FSg7u3NOxJw%3D%3D&trackingId=31sS3krCx09GKhTClCrj7w%3D%3D,"Reference ID  R174614 Updated  03/18/2025Process EngineeringPhilippinesMakati CityN/AWhere you fitTechnical Asset Operations (TAO) team aims to develop central, competitive capabilities delivering end-to-end value through the AMS work processes as an integral part of our Downstream Manufacturing (DS-M), Integrated Gas &amp; New Energies (IGNE) and Upstream (UP) asset teams. We support the business worldwide and often do so together with the deep capability of our Project &amp; Technology (P&amp;T), Information Technology (IT) and Finance &amp; Data Operations (FO-Data) partners. You are going to play a vital role in the delivery of continued efficiency and effectiveness improvement by bringing cross-business learning on key processes.What's the role?Basic Data Engineer is a position in the Technology Department reporting to the Manager Operational Excellence providing assurance for the site’s units’ mass balance and providing input and consulting for the site’s fence line hydrocarbon mass balance.The primary role of Basic Data Engineer will be for assurance of site Basic Data as outlined in the Downstream Manufacturing Standards (DSM) Basic Data Recommended Practices (RP) to improve and then sustain the quality of plant data for application in engineering, planning, scheduling, and accounting tools.Key AccountabilitiesPerforms daily execution of the integrated site mass balance on the Data Reconciliation/Rigorous Online Modelling and Equation Based Optimization (ROMEO) platform and subsequent download of reconciled data to the Plant Information (PI) historianCollaborates with Operations Support Process Engineers (OSEs)/Unit Technologists, Economics and Scheduling (E&amp;S) personnel, Process Control System and Instrument Engineers, and corporate Subject Matter Experts (SMEs) to maintain the model and keep balances within tolerances.Updates the Process Flow Diagrams for Data Reconciliation /ROMEO modelLeads or assists in evaluation of complex technical issues or opportunities dealing with site mass balance and unit flows, often with multiple disciplines engaged. Assists as appropriate in problem definition and ensuring solutions that arise in site mass balance. Communicates with the appropriate personnel from front lines up to site leadership the status of mass balance problems and issues.Works with Process Engineering and corporate SMEs to reconcile mass balance and stream property gaps between Non-Linear Process Models and plant. This also includes running of the Data Reconciliation model to support process unit test runs and model tuningTranslates legacy mass balance data and tools from Process Engineering and others to the Data Rec tool and incorporates legacy knowledge into site mass balance work processWorks with E&amp;S to perform Linear Programming (LP) model vs actual yield and track stream properties versus predicted. Ensure stream routings are aligned between plant and model balancesWorks with unit Control System Engineers (CSEs) to address and correct unit flow meter issuesWorks with the Hydrocarbon Mass Balance (HMB) personnel to provide data and understand site mass balance discrepanciesWorks with the HMB and Finance Operations (FINOPS) personnel to assure that data used for HMB is accurateSupports reporting of Energy Intensity Index (EII) and Greenhouse Gases (GHG) emissions performance. Ensures consistency of dataProvides overview of Daily Mass Balance for integrated site (Refining and Chemicals)DimensionsProvide support to the asset’s Hydrocarbon Mass Balance process as a value EngineThe Basic Data Engineer provides assurance for the site’s units’ mass balance and providing input and consulting for the site’s fence line hydrocarbon mass balanceChallenges Business knowledge and operational skills on activities at the manufacturing site, chemical plant, supply chain and distribution location. Includes specific methods, software, and hardware.Confidence to work in virtual environment and managing engagement across different levels of stakeholders, including senior management for day-to-day operations. Includes initiative to identify and help resolve business and technical issues within areas of responsibility.Continuously represent the Team in different Global Forums. Keeping the technology and knowledge updated as per Global Industry changes and adaption.Sound understanding of business/process workflow and having mature mindset to deal and behave under tough/challenging situations.Strong proficiency in using English for both spoken and written communication, as well as using Skype for Business, Instant Messaging, Video Conferencing, Outlook, etc.Shift work following operating hours of the operating units, manufacturing site, chemical plant, supply chain and distribution location.A self-starter leader and reliable deliverer, with very good verbal and written skills in English, able to negotiate with people, and able to resist undue influence that might otherwise compromise integrity of data quality.Exposes the individual to all cultural backgrounds and organizational levels, across diverse time zonesWhat we need from you?Skills &amp; RequirementsUniversity Degree in Chemical/Petroleum or other oil and gas related degree. 2 - 4 yrs+ of work experience in Oil &amp; Gas/ Petrochemicals industry past degree in engineering with experience in one or more of the following:Hands on Experience and good understanding of Refinery/Petrochemical plant operations from a process engineering perspective.Has exposure to Hydrocarbon Mass Balance calculations and Plant modeling and simulation and have awareness on Real Time Optimization. Familiar with the different plant equipment such as pumps, vessels, compressors, instrumentation, etc. Has a basic understanding of plant maintenance and operations.Effective communication skills and stakeholder management is a necessary skill for the job.Basic understanding of Field Instrumentation – flow meters, temperature and pressure measuring devices, control valves, etc.Hands on Experience in a mass balancing module tool, Process PI, Data Reconciliation /Romeo Platform.Knowledge of CI methodology is an added value. Able to multi-task, prioritize and ensure delivery of priorities as promised, work without close supervision, and work through others to deliver results.Virtual working experience would be added advantage.Detailed grasp of the context of use of technical data and documentation within technical data processesAbility to deal effectively with complexity and detail.Ability to prioritize and ensure delivery of priorities for the area of responsibility.Flexible and adaptable to change, with track record of demonstrating initiative, analytical capabilities and problem solving.Self-starter and an independent worker capable of collaborating in a team environment with an ability to build strong effective relationships with asset production teams while working remotelyAn innovative place to workThere’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.Join us and you’ll add your talent and imagination to a business with the power to shape the future – whether by investing in renewables, exploring new ways to store energy, or developing technology that helps the world to use energy more efficiently.We care deeply about fostering a truly diverse workplace. We believe in doing everything we can to make Shell the kind of workplace that is flexible, appealing, and supportive for women. In effect, we have retained our title as a Top Employer for Women in the Times in 2017. Key to this achievement is our initiative to provide formal (and informal) flexible working arrangements for our women employees. Our global and transparent pay policies are also backed up by a leadership team fully.At Shell, we support and enable remarkable people from every background and strive to be a pioneer of LGBT inclusion in the workplace. When our employees excel, we excel. It’s for this reason that we are proud to support our lesbian, gay, bisexual, and transgender (LGBT) staff, promoting equality for employees regardless of sexual orientation or gender identity. In 2018, Shell was ranked as one of the Best Places to Work for LGBTQ equality by the Human Rights Campaign Foundation","Management, Manufacturing","Makati City, National Capital Region (NCR)",Full-time,Linkedin
Operations Specialist Manila,Security Bank,https://www.kalibrr.com/c/security-bank/jobs/243604/operations-specialist-manila,"The Operation Specialist will act as universal operations support of branches within the area to support payroll-related activities.You will also be a secondary to payroll support, acts as manpower pool in filling in temporary vacancies in branches specifically CA or Tellering functions. About Security BankSecurity Bank is one of the Philippines’ best capitalized private domestic universal banks. Established in 1951 and publicly listed with the Philippine Stock Exchange (PSE:SECB) in 1995, our major businesses cover retail, corporate, commercial, and business (MSME) banking. We’re recognized as an Employer of Choice in Philippine banking by various award-giving bodies for our values-based culture, industry-leading engagement and benefits, and commitment to work-life balance.Most recently, we ranked as the #2 best employer in the Philippines and #54 globally on the prestigious Forbes’ World’s Best Employers 2023 list.At Security Bank, our approach to Human Capital Management (HCM) is embodied by our Employee Value Proposition (EVP): “YOU matter.”Start your BetterBanking career with us today.The Operation Specialist will act as universal operations support of branches within the area to support payroll-related activities.You will also be a secondary to payroll support, acts as manpower pool in filling in temporary vacancies in branches specifically CA or Tellering functions. About Security BankSecurity Bank is one of the Philippines’ best capitalized private domestic universal banks. Established in 1951 and publicly listed with the Philippine Stock Exchange (PSE:SECB) in 1995, our major businesses cover retail, corporate, commercial, and business (MSME) banking. We’re recognized as an Employer of Choice in Philippine banking by various award-giving bodies for our values-based culture, industry-leading engagement and benefits, and commitment to work-life balance.Most recently, we ranked as the #2 best employer in the Philippines and #54 globally on the prestigious Forbes’ World’s Best Employers 2023 list.At Security Bank, our approach to Human Capital Management (HCM) is embodied by our Employee Value Proposition (EVP): “YOU matter.”Start your BetterBanking career with us today.What we’re looking for:	Graduate of a Bachelor’s Degree	Should possess good customer orientation	Ensures interactions with customers and team members are always polite and positive	Actively seeks new ways of working to improve efficiency and productivity	Willing to do fieldworks within the assigned area.What we’re looking for:	Graduate of a Bachelor’s Degree	Should possess good customer orientation	Ensures interactions with customers and team members are always polite and positive	Actively seeks new ways of working to improve efficiency and productivity	Willing to do fieldworks within the assigned area.Hire NowSign UpLogin",Customer Service,"Manila City, National Capital Region (NCR)",Full-time,Kalibrr
