title,company,link,job_desc,job_func,location,job_type,source,
Provider Network Relations Staff (Local HMO),Pioneer Your Insurance,https://ph.jobstreet.com/job/82887718?type=standard&ref=search-standalone&origin=cardTitle#sol=2abf8c813ce7a048d05d770fe682058a3f6523b6,"Provider Network Relations StaffJob Summary: Cultivates and optimizes relationships with healthcare providers in the assigned area, ensuring an effective network that delivers high quality care to HMO members.&nbsp;Primary Duties and Responsibilities of the Provider Relations Staff:Initiate and assist the Manager in the new and renewal contracts of prospective and accredited providers (hospitals, clinics, doctors) and in conducting provider-relations visits to existing providers, particularly those with difficult doctors, and visiting hospitals during times of suspension.Data encoding and gatekeeping of Providers and Physician data in the system.Educate providers on administrative policies and procedures.Provide assistance to the internal team on a case-by-case basis.Prepare and release warning letters, memoranda, and other similar communications to Providers and Physicians, if necessary.Collate and organize reports of the team for&nbsp;submission to Immediate Heads.Take charge in case the Immediate Head is on leave or attending business meetings outside the company.Help facilitate the resolution of provider-related concerns/complaints.Undertake all other tasks that may be assigned from time to time.Job Qualifications:&nbsp;College Graduate (BS Nursing, Psychology, etc.)With at least 3 years’ experience on the same role (Healthcare)Proficient in the use of Microsoft Office toolsWith excellent attention to detail, Organizational Savvy and Results orientedMust be willing to work in Makati City&nbsp;",Healthcare,,,Jobstreet,
HMO Helpdesk,Our Lady of Lourdes Hospital,https://ph.jobstreet.com/job/82853738?type=standard&ref=search-standalone&origin=cardTitle#sol=9dc03a5511df146583b21471055f4356f687a792,"The HMO Helpdesk welcomes, assists, and coordinates all requirements for executive check-ups and other health packages availed by HMO cardholders, employees, and staff of private corporations and government offices, members of congregations, and other organizations affiliated with the company.",Information Technology,,,Jobstreet,
Senior Operating Room (OR) Nurse | Quezon City (TriNoma),"Asian Eye Institute, Inc.",https://ph.jobstreet.com/job/83296029?type=standard&ref=search-standalone&origin=cardTitle#sol=48543cda1752b807afbde0e68ff061d8f8d5a76f,,,,,Jobstreet,
Program Coordinator | Makati,MedGrocer,https://ph.jobstreet.com/job/83059283?type=standard&ref=search-standalone&origin=cardTitle#sol=bde76c592f706bbc4c35f6133466121689fc3a7e,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The&nbsp;Program Coordinator&nbsp;focuses on managing and processing patient orders and requests to ensure efficient resolution of concerns. They communicate with stakeholders and coordinate with different teams to ensure the best patient experience.Key Responsibilities:Process and manage patient orders related to program requests, inquiries, or issues in a timely mannerResolve patient concerns and respond promptly to patient inquiries via email and SMSCoordinate with various teams and relevant stakeholders to accommodate patient requestsInput all patient data and maintain accurate patient records&nbsp;Minimum QualificationsKnowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applicationsOpen to shifting schedules and night shift scheduleOpen to fresh graduates and experienced professionalsMust work onsite in MakatiPerks and BenefitsHMO for employeesPaid leavesMedicine couponsOpportunities for promotion and performance bonuses13th month pay",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,
Patient Care Coordinator | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/246898/patient-care-coordinator-makati-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Patient Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Patient Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Knowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applications;	Preferably has 1-2 years experience in customer service or related positions;	Open to shifting schedules and night shift schedule;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Senior Psychologist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/250746/senior-psychologist-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Senior Psychologist oversees and enhances program operations aimed at improving clients' mental health and overall wellness.Key Responsibilities	Develops comprehensive training and professional development initiatives for the Mental Health team	Conducts regular individual and group clinical supervision for early career psychologists	Provides clinical expertise and guidance in the development and implementation of Mental Health programs	Monitors program effectiveness and recommends improvements for existing protocols	Updates best practices using latest advancements in clinical psychology research to continuously improve service quality and deliveryPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Senior Psychologist oversees and enhances program operations aimed at improving clients' mental health and overall wellness.Key Responsibilities	Develops comprehensive training and professional development initiatives for the Mental Health team	Conducts regular individual and group clinical supervision for early career psychologists	Provides clinical expertise and guidance in the development and implementation of Mental Health programs	Monitors program effectiveness and recommends improvements for existing protocols	Updates best practices using latest advancements in clinical psychology research to continuously improve service quality and deliveryPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Completed a Master’s degree in Counseling or Clinical Psychology;	Must be a Registered Psychologist;	Strong desire to teach and supervise early career psychologists ;	At least five years of psychological practice experience, including 2 years in a supervisory role  Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Customer Care Coordinator | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/251867/customer-care-coordinator-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits:	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits:	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Knowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applications;	Preferably has 1-2 years experience in customer service or related positions;	Open to shifting schedules and night shift schedule;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
PH Registered Nurse with Hospital Experience | Dayshift &amp; Non-Voice w/ Day 1 HMO,"Optum, a UnitedHealth Group Company",https://ph.jobstreet.com/job/83142493?type=standard&ref=search-standalone&origin=cardTitle#sol=40f60c27d522029d3fa1c754b47f6c07f9bd2b9b,"ROLE AND RESPONSIBILITIESAudits within the DRG Validation Audit Program involve determining whether coding on a claim submission is supported by medical record documentation.They also check if the codes are in accordance with industry coding standards as outlined by the Official Coding Guidelines, the applicable ICD Coding Manual, and/or Coding Clinics.&nbsp;Your role is critical in allowing our members, families, facilities and health professionals to have greater confidence in the exceptional care we provide. And for you, an everyday opportunity to do your life’s best work.QUALIFICATIONSBS Nursing with active PHRN licenseWith at least 2yrs Hospital experience – Bedside and/or Critical IllnessMust be amenable to work onsite in Makati&nbsp;Should be willing to commit for long term employment (Ex. Has no plans to take NCLEX and has no pending application abroad)&nbsp;&nbsp;WHAT WE OFFERRetention BonusMedical Coding Certification for Free&nbsp;Salary Adjustment once passed Coding licensure examPure Non-Voice AccountMorning Shift | Weekends OffMedical plan (HMO) from day 1 of employmentHMO Coverage for dependents subject to enrollment procedures &amp; hierarchy rule&nbsp;Market competitive total rewards packageRetirement benefitsRN Ready Plus Programs for Continuing Professional Development (CPD)Be part of a Fortune 5 enterpriseOnline recruitment processWHO WE AREOptum&nbsp;is the health care technology and innovation company of the UnitedHealth Group enterprise along with UnitedHealthcare.UnitedHealth Group&nbsp;is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.We’re a leading health solution and care delivery organization. Our work is complex, but our mission is simple: create a healthier world, with you at the center.As part of a Fortune 5 enterprise, we are improving the health care experience of over 125 million people around the world.We’re a diverse team with operations across North America, South America, Europe, Asia Pacific and the Middle East. This includes our over 25,000 employees in the Philippines.Elevate your career with a leading health care company while improving lives.Join us in evolving health care so everyone can have the opportunity to live their healthiest life. This is your opportunity to be part of a team that’s dedicated to Caring. Connecting. Growing together",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,
Limited Slots! Healthcare Virtual Assistant – RN/BSN Preferred,KMC Solutions,https://ph.jobstreet.com/job/83073334?type=standard&ref=search-standalone&origin=cardTitle#sol=d85d788531e30904c361690964366ad8bf74849c,"We are seeking an RN Medical Assistant&nbsp;with experience in a clinical setting to provide high-quality remote medical support. The ideal candidate should have hands-on experience with clinical procedures, patient care, and medical triage, in addition to administrative capabilities. This role involves assisting healthcare providers in managing patient communications, triaging patient concerns, and maintaining accurate medical records.&nbsp;ResponsibilitiesTriage patient calls and concerns, assessing the level of care needed and prioritizing urgent casesAssist healthcare providers in the coordination of patient care, including follow-ups, medication management, and schedulingAccurately document patient information, update medical records, and ensure compliance with healthcare regulationsCommunicate with patients regarding test results, prescriptions, and treatment plans under the direction of healthcare providersProvide clinical insights to support patient diagnosis and care plansPerform other administrative tasks as needed, such as appointment scheduling, billing support, and report generationCoordinate care and manage communication between healthcare providers and patientsAdhere to HIPAA and other healthcare compliance regulationsRequirementsMinimum of 2 years of experience in a clinical settingStrong knowledge of medical terminology, clinical procedures, and patient care standardsExperience in patient triage and ability to assess the urgency of medical situationsExcellent communication skills, with an ability to explain medical information to patients in a clear and concise mannerProficiency in using electronic medical record (EMR) systemsStrong organizational skills and attention to detailPreferred Skills:Experience working in a remote medical settingFamiliarity with US healthcare regulations and standardsExperience handling a variety of clinical tasks, including vital signs monitoring, wound care, and medication administrationIf you are a licensed medical professional with clinical experience and a passion for providing patient-centered care, we encourage you to apply!",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Pharmacist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/236301/pharmacist-makati-2,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Pharmacist ensures positive patient experiences by actively engaging with patients, accommodating their concerns and needs, and promoting the best pharmacy practices. They play a crucial role in communicating with patients and addressing their health concerns effectively.Key Responsibilities	Advise patients regarding their medications, potential side effects, and drug interactions	Assist patients with medication management and provide education on proper medication usage and storage	Engage with patients in a professional and timely manner through various communication channels	Assess and report potential patient safety events through the relevant channels	Validate prescriptions based on local regulatory requirements	Maintain patient records and complete documentation	Manage and provide guidance to junior pharmacists and pharmacy assistants to ensure that they are properly trained and equipped with the knowledge and skills	Collaborate with healthcare professionals to ensure patient safety and optimal health outcomes	Ensure compliance to internal and external regulations for quality assurance as well as adherence to MedGrocer's Quality System through SOPsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Pharmacist ensures positive patient experiences by actively engaging with patients, accommodating their concerns and needs, and promoting the best pharmacy practices. They play a crucial role in communicating with patients and addressing their health concerns effectively.Key Responsibilities	Advise patients regarding their medications, potential side effects, and drug interactions	Assist patients with medication management and provide education on proper medication usage and storage	Engage with patients in a professional and timely manner through various communication channels	Assess and report potential patient safety events through the relevant channels	Validate prescriptions based on local regulatory requirements	Maintain patient records and complete documentation	Manage and provide guidance to junior pharmacists and pharmacy assistants to ensure that they are properly trained and equipped with the knowledge and skills	Collaborate with healthcare professionals to ensure patient safety and optimal health outcomes	Ensure compliance to internal and external regulations for quality assurance as well as adherence to MedGrocer's Quality System through SOPsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay		Must be a licensed pharmacist;			Preferably has a background in the healthcare industry;			Knowledge in Google Workspace applications;			Open to fresh graduates and experienced professionals;			Must work onsite in Makati	Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
