title,company,link,job_desc,job_func,location,job_type,source,selected
Multimedia/Communication Interns,SM Investments Corporation,https://ph.jobstreet.com/job/83230493?type=standard&ref=search-standalone&origin=cardTitle#sol=6e9c5a9a6d19c03115ac90ec4b1a0b121ead5d3a,"Qualifications:Multimedia Arts, Communication, or Film studentsCan render at least 400 hrs. of internshipWill be able to submit a Memorandum of AgreementWilling to work onsite in Pasay City",Marketing,,,Jobstreet,
Multimedia Artist,"Global-Estate Resorts, Inc. (a subsidiary of Megaworld Corporation)",https://ph.jobstreet.com/job/83006654?type=standard&ref=search-standalone&origin=cardTitle#sol=b89f4ff4f4296721f4fea44e5c70a5b9b1a3e0c6,"Qualifications:Bachelor’s Degree in Communications, Journalism, Public Relations, Graphic Design,Digital Arts, or any related fieldMust have photo and video shoot experience; multimedia design skills with a strongportfolioMust have experience in content creation, branding, audio-visual arts and the likeExcellent written and verbal communication skillsMust be willing to work in Biñan, Laguna or Ortigas, PasigDuties and Responsibilities:Create and edit photo and video outputs for the company and subsidiariesExecute the overall layout and production design for email blasts, social media posts,tarpaulin designs, etc.Contribute in the creative design process for social media content and posting gridWork with a wide range of media and design software and technologies possible that areup-to-dateDevelop new creative design concepts, graphics, videos, and layouts.Shoot photos and/or videos during events, campaigns and social media contentPerform other related tasks that may be assigned from time to time","Advertising, Arts & Media","Biñan City, CALABARZON (Region IV-A)",Full-time,Jobstreet,1
Multimedia Artist,Chain Glass Enterprises Inc,https://ph.jobstreet.com/job/83238673?type=standard&ref=search-standalone&origin=cardTitle#sol=cd64b6ad5beba8372fa14319b8bc223c85ff10a5,"Job Title: Multimedia ArtistJob OverviewChain Glass Enterprises Inc. is seeking a creative and skilled Multimedia Artist to join our marketing team. In this role, you will support various aspects of our creative initiatives, including product photoshoots, videography, video editing, online promotions, and digital design for print and advertising. You will be instrumental in crafting visually engaging content to enhance our brand presence across multiple platforms.Key ResponsibilitiesAssist with product photoshoots, ensuring high-quality and visually appealing images for online and print use.Help with videography tasks, capturing video footage for promotional materials and campaigns.Provide support in video editing, using industry-standard software to create polished, professional content.Assist in the development and execution of online promotional content, including social media posts, banners, and ads.Help design digital prints and marketing materials such as brochures, flyers, and posters.Contribute to advertising design and layout, ensuring all materials align with brand guidelines.Work collaboratively with the creative team to develop concepts and bring them to life in various media formats.Maintain organized digital files and assets for all creative projects.Ensure timely delivery of all creative content while meeting project requirements.Standard government benefits apply (SSS, PhilHealth, Pag-IBIG).QualificationsProficiency in Adobe Creative Suite, including Photoshop, Illustrator, and Premiere Pro.We accept On the Job TrainingBasic knowledge of videography and video editing techniques.Ability to assist in product photography and video shoots.","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Live Streamer,MSM-HK TELECOM TECHNOLOGY,https://ph.jobstreet.com/job/83262181?type=standard&ref=search-standalone&origin=cardTitle#sol=fa138e3b6f108518076e5bd6f4594b219dbc3f37,"Responsibilities:1. Plan and create content, script, and program flow for live streaming.2. Responsible for program hosting and managing live streaming on the social media and e-commerce platforms such as Tiktok, Facebook, Lazada, Shopee, etc., and monitor its effectiveness;3. Drive traffic and engagement through interacting with viewers, presenting products and services, attending to queries and lead the overall flow of the live stream in a lively mood;4. Involve in live stream process, including scheduling, planning and marketing;5. Develop creative ways to enhance and improve production workflow;6. Achieve target, improve viewers’ engagement and experience;7. Updated on the latest marketing trends and happenings;8. Do other tasks related to the position or as requested by the department head.Required Skills and AbilitiesExcellent communication and collaboration skills to present and explain wellFun, energetic, creative, confident and presentable in presenting with a positive and likable attitude.Interest in products and open to explore learning new product categoriesAbility to perform in fast-moving environmentFlexibility to work in shifts, including weekends and holidays.Salary and BenefitsSalary Range: Php100- Php200 per hour.Birthday month celebration every 18th of the month with free cakes and drinksChinese New YearSales IncentivesMid-autumn festivalCompany Christmas gift and eventsEmployee discountOpportunities for promotion and career advancement.Paid training and supplemental pay types including 13th month salary and performance bonusSchedule8-hours shift, day shift, fixed schedule.Join our team and be part of a dynamic company with a commitment to employee growth and success. Your contributions will directly impact our market presence and overall success.","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Part-time,Jobstreet,
Live Host,Shoppertainment Live Inc.,https://ph.jobstreet.com/job/82580766?type=standard&ref=search-standalone&origin=cardTitle#sol=00895c2de4432e6c479c4ee7faef2e134621df0d,"Key Responsibilities:-Promote and sell products during live sessions, ensuring sales targets are consistently met.- Engage with the livestream audience by responding promptly to comments and inquiries, driving product awareness and increasing viewer engagement.-Deliver compelling presentations and product demonstrations, highlighting key features and benefits to potential customers.-Cultivate strong relationships with customers, fostering brand loyalty and enhancing overall satisfaction.Qualifications:-Fresh graduates are welcome to apply.-Previous experience as a Sales or Live Host is a plus, but not required.-Willingness to undergo training to improve sales and presentation skills.-Energetic, friendly, and comfortable speaking in front of the camera.-Strong communication skills and a dynamic personality that resonates with audiences.-Must be available to work on-site in Quezon City.-Immediate availability is preferred.Job Type: Full-timePay: Php18,000.00 - Php20,000.00 per monthBenefits:Additional leaveCompany Christmas giftCompany eventsEmployee stock ownership planFlexible scheduleFlextimeFree parkingHealth insuranceOn-site parkingOpportunities for promotionPromotion to permanent employeeSupplemental Pay:13th month salaryPerformance bonusExperience:Live Host: 1 year (Preferred)Sales: 1 year (Preferred)Location:Quezon City (Preferred)","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Multimedia Artist,B1G Corporation,https://ph.jobstreet.com/job/83298494?type=standard&ref=search-standalone&origin=cardTitle#sol=d459cb33d64702a24ccc310f53c93831f00e2c2f,"About the roleAs a Multimedia Artist at B1G Corporation, you will play a vital role in crafting captivating visual experiences that drive the company's brand and marketing initiatives. This full-time position is based in Muntinlupa City, Metro Manila, offering you the opportunity to contribute to the success of a dynamic, innovative organisation.What you'll be doingCollaborating with cross-functional teams to conceptualise and execute engaging multimedia content, including animations, motion graphics, and interactive experiencesTransforming creative briefs into visually striking assets that align with the company's brand identity and marketing strategyContinuously exploring new design trends and techniques to enhance the visual appeal and impact of B1G Corporation's digital and print materialsProviding creative input and technical expertise throughout the production process, ensuring the timely delivery of high-quality assetsStaying up-to-date with the latest software, tools, and industry best practices to optimise your workflow and creative outputWhat we're looking forProven experience as a multimedia artist or designer, with a strong portfolio showcasing your versatility in various mediumsProficiency in industry-standard software, such as Adobe Creative Cloud (Photoshop, Illustrator, After Effects, Premiere Pro)Excellent understanding of design principles, colour theory, typography, and compositionAbility to work collaboratively with cross-functional teams, effectively translating creative ideas into visually captivating solutionsStrong problem-solving skills and a keen eye for detail to ensure high-quality outputPassion for staying up-to-date with emerging design trends and technologiesWhat we offerAt B1G Corporation, we are committed to fostering a dynamic and inclusive work environment that empowers our employees to thrive. We offer competitive compensation, comprehensive benefits, and opportunities for professional development and growth. Additionally, our flexible work arrangements and wellness initiatives contribute to a healthy work-life balance.About usB1G Corporation is a leading player in the advertising, arts, and media industry, known for its innovative approach to brand storytelling and digital marketing. With a diverse client portfolio and a team of talented creatives, we strive to push the boundaries of what's possible in the world of multimedia design. Join us as we continue to redefine the future of visual communication.Apply now to become our next Multimedia Artist and be a part of the B1G Corporation family.","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Production Assistant,vcmthecelebritysource,https://ph.jobstreet.com/job/83109546?type=standard&ref=search-standalone&origin=cardTitle#sol=00e3cd0908c68b0cecb45b2a0fc8a3dbc9f4ae57,"About the roleWe seek a talented and enthusiastic Production Assistant to join our dynamic team at vcmthecelebritysource' in Quezon City, Metro Manila. This full-time role will be crucial in supporting the successful execution of our media production projects.What you'll be doingAssisting the production team in all aspects of the production process, including pre-production, shooting, and post-productionCoordinating logistics and ensuring the smooth running of production schedulesProviding administrative support, such as maintaining records, organizing paperwork, and monitoring budgetsLiaising with clients, talent, and other stakeholders to address inquiries and resolve any issues that may ariseTroubleshooting and problem-solving to ensure the successful delivery of projectsProviding general support to the production team as neededWhat we're looking forAt least 1-2 years of experience in a production assistant or similar role within the advertising, arts, or media industryStrong organizational and multitasking skills, with the ability to prioritize tasks and meet deadlinesExcellent communication and interpersonal skills, with the ability to work collaboratively in a team environmentProficient in using relevant production software and toolsA keen eye for detail and a problem-solving mindsetA genuine passion for the media and entertainment industryWhat we offerAt vcmthecelebritysource', we are committed to providing our employees with a rewarding and supportive work environment. We offer competitive salaries, opportunities for professional development, and a range of benefits to enhance your work-life balance. Our team-oriented culture and commitment to excellence make us an exciting place to grow your career in media production.About usvcmthecelebritysource is a celebrity and influencer provider company specializing in creating engaging content for clients in the advertising, arts, and entertainment sectors. With a talented team of professionals and a reputation for delivering exceptional results, we are proud to be at the forefront of the industry.If you're ready to take on a dynamic and rewarding Production Assistant role, we encourage you to apply now.","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Artist Coordinator/Road Manager,ViVA COMMUNICATIONS INC.,https://ph.jobstreet.com/job/83231623?type=standard&ref=search-standalone&origin=cardTitle#sol=fbc5c63e4548deb610496f4e28488c9426d626fc,"Basic Purpose / Job SummaryTo exploit and maximize the potential of artists assigned and to guide them in handling their various commitmentsQualificationsWith a bachelor's degree, major in mass communications, marketing, advertising, multimedia arts, or any related courseWith at least 1 year work experience in artist managerMust have a good command of the English language, both oral and written; must be able to liaise with clients effectivelyMust be highly organized and with keen attention to detailsMust be a team playerMust be resourceful, with initiative, and with strong leadership skillsMust be pleasant with strong interpersonal skills cutting across all levels of an organizationSelf-starter, goal and results-oriented, hardworkingMust thrive under pressureMust be willing to work in Ortigas Center, Pasig City","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Digital Production Producer,"SM Retail, Inc. - Corporate",https://ph.jobstreet.com/job/82573218?type=standard&ref=search-standalone&origin=cardTitle#sol=66564e95053ade86e3993c7dc9f5f475bd150855,"Job Summary:Oversees the end-to-end production of digital content projects leading content conceptualization, ideation and execution to ensure alignment with strategic objectives. This role ensures seamless coordination among stakeholders, cross-functional teams and the creative production team, delivering high-quality outputs on time while managing stakeholder expectations and managing workflows.&nbsp;Responsibilities:• Develop and execute content strategies based on brand briefs, ensuring seamless integration of creative concepts into digital production.•Lead the end-to-end production of digital content, overseeing conceptualization, ideation and execution while ensuring strong account management with internal stakeholders and external partners.•Build collaboration with the Digital Production Creatives team, ensuring alignment between creative direction, production feasibility, and overall project goals.•Establish efficient project management workflows, managing timelines, approvals and deliverables while maintaining clear communication across teams and stakeholders.•Other duties and responsibilities that may be assigned.&nbsp;Qualifications:• Bachelor’s Degree in Communications, Business Administration / Marketing or any relevant field.&nbsp;• At least 8-year experience in digital content production (conceptualization, ideation &amp; production), account management and project management&nbsp;• At least 2-year experience in retail and or related industry.• Up-to-date knowledge of social media landscape &amp; Filipino consumer behavior / preferences","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Remote Video Editor (PH),Locomotive Holdings Pte Ltd,https://ph.jobstreet.com/job/82722860?type=standard&ref=search-standalone&origin=cardTitle#sol=4ef9c0ac4b63c827b5b83d479d95a2d9e80c7b3f,"Role DescriptionThis is a full-time remote Video Editor position. You will be responsible for day-to-day tasks, including video editing, color grading, and motion graphics (if needed). You’ll work closely with our production team to create visually engaging and compelling videos. Mostly all videos we produce are in vertical format and are under 60 seconds long.QualificationsVideo production and editing skillsKnowledge in TikTok Videos and IG Reels.Experience in video color grading and motion graphics is a plusStrong attention to detail and creativityAbility to work collaboratively and meet deadlinesExperience with video editing softwaresKnowledge of current video editing trends and techniquesExcellent English communication and organizational skillsBachelor's degree in film, media studies, or related field","Advertising, Arts & Media","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
