title,company,link,job_desc,job_func,location,job_type,source
Supply Chain Support (Graduate Trainee/CAN START ASAP),TE Connectivity,https://ph.jobstreet.com/job/83109488?type=standard&ref=search-standalone&origin=cardTitle#sol=3701bcdfae085a776ab898e8204183650eb1e67b,"The role will support the Supply Chain Analyst and will report directly to a Senior. Supply Chain ManagerRequirements and QualificationsGood to have experience/exposure with SAP (or other ERP software) – 1-2 yearsMust have hands-on exposure and knowledge using Power BI, Tableau, or any other data visualization tools. Preferably with a previous project in process automation and reportingGood understanding of supply chain processGood to have experience in Planning and Supply Chain Management roleExtensive spreadsheet analysis and strong mathematical abilities.Must be detail-oriented and able to communicate with cross-functional teams.Able and willing to work necessary hours to meet all project deadlines, travel whenAble to modify working hours to accommodate global time zones.Develop mutually beneficial, respectful, and effective relationships with peers to ensure seamless coordination between departments","Manufacturing, Transport & Logistics",,,Jobstreet
Graduate Trainee (Supply Chain),TE Connectivity,https://ph.jobstreet.com/job/83270147?type=standard&ref=search-standalone&origin=cardTitle#sol=97682057443b81ec0bb9e811c9e74f4e10bfae02,"The role will support the Supply Chain Analyst and will report directly to a Senior. Supply Chain ManagerRequirements and QualificationsGood to have experience/exposure with SAP (or other ERP software) – 1-2 yearsMust have hands-on exposure and knowledge using Power BI, Tableau, or any other data visualization tools. Preferably with a previous project in process automation and reportingGood understanding of supply chain processGood to have experience in Planning and Supply Chain Management roleExtensive spreadsheet analysis and strong mathematical abilities.Must be detail-oriented and able to communicate with cross-functional teams.Able and willing to work necessary hours to meet all project deadlines, travel whenAble to modify working hours to accommodate global time zones.Develop mutually beneficial, respectful, and effective relationships with peers to ensure seamless coordination between departments","Manufacturing, Transport & Logistics",,,Jobstreet
Materials Management Specialist,Aboitiz Power Generation Group,https://www.kalibrr.com/c/aboitiz-power-generation-group/jobs/252266/materials-management-specialist,"The position is responsible for receiving, storing, monitoring, issuing of all items (assets, stocks and non-stocks). Replenishment of buffer stocks, conducts inventory and asset count, tagging, disposal of written-off assets, recording and documenting all these transactions.The position is responsible for receiving, storing, monitoring, issuing of all items (assets, stocks and non-stocks). Replenishment of buffer stocks, conducts inventory and asset count, tagging, disposal of written-off assets, recording and documenting all these transactions.Minimum Requirements	Must be a Bachelor’s degree holder	With knowledge in financial, asset and inventory management &amp; warehousing	Preferably with two (2) years of related experience	1 vacant position available in Manolo Fortich, Bukidnon Hire NowSign UpLogin",Other,Other,Full-time,Kalibrr
Data Analyst,"Blue Spark Solutions, Inc.",https://www.kalibrr.com/c/bluesparkph/jobs/250123/data-analyst-2,"Do•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and MalasakitDo•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and Malasakit3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detail3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detailHire NowSign UpLogin",Management,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
Business Analyst,Responsible Internet Sustainability Effort Inc. | RISE,https://www.kalibrr.com/c/synacy/jobs/252423/business-analyst,"The Business Analyst provides insights to enhance profitability by analyzing trends in revenue, sales, and operational costs. Working closely with teams, they help develop strategies to improve financial performance and align with company objectives. By offering data-driven recommendations, the Business Analyst ensures the organization remains agile and informed. Furthermore, the Business Analyst works on projects and performance management initiatives in support of the Head of Operations and Performance driving operational efficiency and business growth. 	Work alongside the RISE Group leadership to support business performance by providing data-driven insights that aid in decision making and strategic initiatives.	Support the Head of Operations and Performance in tracking and reporting on key project milestones, deliverables, and performance indicators (KPI).	Analyse sales and marketing reports and suggest strategies for improving business performance	Analyse promotional activities to ensure the funds invested are achieving optimal results, per marketing strategies	Perform strategic analysis and prepare financial models to support strategic planning activities	Work closely with the commercial managers and other commercial team members in providing data-backed recommendations to the client to support effective decision making	Coordinate with finance team to streamline and channel efforts to improve financial performance of the organisation	Provide input in budgeting and forecasting for sales, marketing and business planning to achieve organisational objectives	Evaluation and assessment of new investment opportunities and assist the management in investment decisions	Seek best practices to drive process standardisation in maintaining commercial systems; develop risk plansThe Business Analyst provides insights to enhance profitability by analyzing trends in revenue, sales, and operational costs. Working closely with teams, they help develop strategies to improve financial performance and align with company objectives. By offering data-driven recommendations, the Business Analyst ensures the organization remains agile and informed. Furthermore, the Business Analyst works on projects and performance management initiatives in support of the Head of Operations and Performance driving operational efficiency and business growth. 	Work alongside the RISE Group leadership to support business performance by providing data-driven insights that aid in decision making and strategic initiatives.	Support the Head of Operations and Performance in tracking and reporting on key project milestones, deliverables, and performance indicators (KPI).	Analyse sales and marketing reports and suggest strategies for improving business performance	Analyse promotional activities to ensure the funds invested are achieving optimal results, per marketing strategies	Perform strategic analysis and prepare financial models to support strategic planning activities	Work closely with the commercial managers and other commercial team members in providing data-backed recommendations to the client to support effective decision making	Coordinate with finance team to streamline and channel efforts to improve financial performance of the organisation	Provide input in budgeting and forecasting for sales, marketing and business planning to achieve organisational objectives	Evaluation and assessment of new investment opportunities and assist the management in investment decisions	Seek best practices to drive process standardisation in maintaining commercial systems; develop risk plans	A Bachelor’s degree in Accounting, Finance, Statistics, Economics, or similar	2+ years of experience in Business Analyst or Commercial roles	Critical thinking, analytical skills, and investigative skills	Knowledge commercial statement analysis 	Knowledge of basic data analysis tools	Ability to understand and apply statistical concepts to derive insights from financial data	Experience with business intelligence, process management, and CRM tools	Strong interpersonal skillsHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Junior Account Manager | Open for Fresh Graduates,"Nezda Technologies, Inc.",https://ph.jobstreet.com/job/82890327?type=standard&ref=search-standalone&origin=cardTitle#sol=544a7329c041f74aa303b336eefb903a5ea70b09,"Location:&nbsp;&nbsp;Ayala North Exchange, Makati CitySet-up:&nbsp;Full RTO (Onsite) with fieldwork/client visitsWork Schedule: Day Shift&nbsp;Type of Employment:&nbsp;Full Time and Permanent EmploymentPosition:&nbsp;Junior&nbsp;Account&nbsp;Manager&nbsp;Job Responsibilities:Develop and maintain relationships with key&nbsp;accounts, serving as the main point of contact for all client inquiries and requests.Understand client needs and objectives and work closely with internal teams to develop customized solutions that meet or exceed client expectations.Identify upsell and cross-sell opportunities within existing&nbsp;accounts to drive revenue growth.Collaborate with different departments to develop&nbsp;account&nbsp;strategies, create proposals, and deliver presentations to clients.Monitor&nbsp;account&nbsp;performance, track key metrics, and provide regular reports to clients and internal stakeholders.Resolve any client issues or concerns in a timely and professional manner, ensuring a positive client experience.Stay informed about industry trends, market conditions, and competitor activities to identify opportunities for business development.Attend industry events, conferences, and networking opportunities to build relationships and expand the company's client bases&nbsp;Job Qualifications:Fresh grad from Top 4 tier schools to 1 year of experienceWith excellent communication skillsCan commit on the full RTO setupFor those with 1 year experience, experience should be more on B2B and focusing on IT services backgroundBachelor’s degree requiredCandidate should be okay with field work&nbsp;Offered Package: 25,000 - 30,000 (Depending on the interviewer's assessment and previous salary, if applicable)Hiring Process: Validation - 1-2 Face to Face Interviews",Sales,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Junior Financial Analyst (Open to Fresh Graduates),Pointwest Innovations Corp.,https://ph.jobstreet.com/job/82656948?type=standard&ref=search-standalone&origin=cardTitle#sol=6c63dfb7ea6a94a6f25b7774197c2f30cf7c8071,"Responsibilities&nbsp;● Provide analytical, forecasting, reporting, and project support to senior management&nbsp;● Produce monthly reports, which include key metrics, financial results, and variance reporting● Spearhead the annual and quarterly budgeting and forecasting processes&nbsp;● Identify opportunities for performance improvement across the organization ● Maintain knowledge and keep abreast of new investment regulations or policies&nbsp;● Develop models that help with decision-making&nbsp;Qualifications&nbsp;● Bachelor's degree in Finance, Accounting, or related field; CPA or CMA a plus.&nbsp;● 2-4 years of relevant experience in corporate finance, financial planning &amp; analysis, investment banking, or other related fields.&nbsp;● Strong working knowledge of Excel and financial modeling● Excellent analytical, decision-making, and problem-solving skills● Attention to accuracy and detail required● Above average communication skills - oral and written",Accounting & Auditing,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Management Trainee for the Office of the CEO,Megawide Construction Corporation,https://ph.jobstreet.com/job/82645911?type=standard&ref=search-standalone&origin=cardTitle#sol=bcb3be3b9639fa6504dd8c287b37b86ca60c556e,"As a Management Trainee, you will play a vital role in supporting the Office of the Chairman and CEO, with a special focus on assigned Business Units. Your responsibilities will encompass crucial support functions related to business strategy management, enterprise risk management, and business process management.Key Responsibilities:• Collaborate with the CEO in developing and monitoring corporate strategic plans for Megawide and the designated Business Units.• Assist in the development and review of the enterprise risk management program for Megawide and the allocated Business Units.• Contribute to the enhancement of business process frameworks and manuals for Megawide and the specified Business Units.• Provide valuable assistance to Management Associates during board and management meetings of assigned Strategic Business Units (SBUs), ensuring efficient scheduling and preparation of materials and documents.• May be assigned additional related tasks from time to time.What will make you successful:• Bachelor's Degree in Industrial Engineering, Management Engineering, Business, or related courses, with a proven track record of academic and leadership excellence• At least 1 year of experience in the field of audit, project management or business development&nbsp;• Highly analytical and data-driven• Excellent verbal and written communication skills• High proficiency in Powerpoint &amp; Excel or PowerBI• Ability to work strategically and collaboratively across departments• Confident in effectively interacting with senior management• &nbsp;Willing to work onsite at Rockwell Santolan Town Plaza, San Juan City",Management,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Project Management Associate,SEO Hacker,https://www.kalibrr.com/c/seo-marketing-services-inc/jobs/240291/project-management-associate,"To manage organization of key client projects.	To coordinate people and processes to ensure that our projects are delivered on time and produce the desired results.	Will be the go-to person for everything involving a project’s organization and timeline.	Developing detailed project plans, ensuring resource availability and allocation and delivering every project on time within budget and scope.	Coordinate internal resources and third parties/vendors for the flawless execution of projects.	Ensure that all projects are delivered on-time, within scope and within budget.	Ensure resource availability and allocation	Develop a detailed project plan to track progress.	Report and escalate to management as needed	Manage the relationship with the client and all stakeholders	Perform risk management to minimize project risks	Establish and maintain relationships with third parties/vendors	Create and maintain comprehensive project documentation	Coordinate internal resources and third parties/vendors for the flawless execution of projects.	Ensure that all projects are delivered on-time, within scope and within budget.	Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility.	Develop a detailed project plan to track progress.	Use appropriate verification techniques to manage changes in project scope and schedule.	Measure project performance using appropriate systems, tools and techniques.	Report and escalate to management as needed.	Manage the relationship with the client and all stakeholders.	Perform risk management to minimize project risks.	Establish and maintain relationships with third parties/vendors	Create and maintain comprehensive project documentation	To manage organization of key client projects.	To coordinate people and processes to ensure that our projects are delivered on time and produce the desired results.	Will be the go-to person for everything involving a project’s organization and timeline.	Developing detailed project plans, ensuring resource availability and allocation and delivering every project on time within budget and scope.	Coordinate internal resources and third parties/vendors for the flawless execution of projects.	Ensure that all projects are delivered on-time, within scope and within budget.	Ensure resource availability and allocation	Develop a detailed project plan to track progress.	Report and escalate to management as needed	Manage the relationship with the client and all stakeholders	Perform risk management to minimize project risks	Establish and maintain relationships with third parties/vendors	Create and maintain comprehensive project documentation	Coordinate internal resources and third parties/vendors for the flawless execution of projects.	Ensure that all projects are delivered on-time, within scope and within budget.	Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility.	Develop a detailed project plan to track progress.	Use appropriate verification techniques to manage changes in project scope and schedule.	Measure project performance using appropriate systems, tools and techniques.	Report and escalate to management as needed.	Manage the relationship with the client and all stakeholders.	Perform risk management to minimize project risks.	Establish and maintain relationships with third parties/vendors	Create and maintain comprehensive project documentation	Great educational background, preferably in the fields of computer science or engineering for technical project management.	Proven working experience as a project administrator in the information technology sector.	Solid technical background, with understanding or hands-on experience in software development and web technologies etc.	With digital marketing industry exposure / experience will be an advantage.	Excellent client-facing and internal communication skills.	Excellent written and verbal communication skills.	Solid organizational skills including attention to detail and multi-tasking skills.	A team player and have a problem-solving aptitude.	Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility	Strong analytical and planning skills;	Measure project performance using appropriate systems, tools and techniques	Good presentation skills;	Excellent problem-solving skills;	Strong working knowledge of Microsoft Office	With Six Sigma Belt [Advantage]	Willing to report On-site [BF Homes Paranaque City]	Great educational background, preferably in the fields of computer science or engineering for technical project management.	Proven working experience as a project administrator in the information technology sector.	Solid technical background, with understanding or hands-on experience in software development and web technologies etc.	With digital marketing industry exposure / experience will be an advantage.	Excellent client-facing and internal communication skills.	Excellent written and verbal communication skills.	Solid organizational skills including attention to detail and multi-tasking skills.	A team player and have a problem-solving aptitude.	Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility	Strong analytical and planning skills;	Measure project performance using appropriate systems, tools and techniques	Good presentation skills;	Excellent problem-solving skills;	Strong working knowledge of Microsoft Office	With Six Sigma Belt [Advantage]	Willing to report On-site [BF Homes Paranaque City]Hire NowSign UpLogin",Advertising,"Paranaque City, National Capital Region (NCR)",Full-time,Kalibrr
Workforce Analyst,YONDU INC.,https://www.kalibrr.com/c/yondu-inc/jobs/253559/workforce-analyst,"Duties &amp; Responsibilities: 	Implements effective workforce planning and management systems and processes based on approved strategy and action plans.	Gathers and reviews information related to resources’ performance, skills, and capabilities to determine ways to improve operations through effective staffing decisions.	Coordinates with Program Directors and/or Project Managers for the capacity planning of each cluster for project assignment to allocate people with the right skills at the right time.	Analyzes business unit goals and identifies the current and future workforce demands.	Monitors updating of the workforce database that includes but are not limited to resources’ availability, skills and competency proficiency levels, previous and current project assignments, and other relevant credentials. 	Analyzes workforce data (i.e. skills patterns, trends) to determine skills gaps and trigger upskilling needs and/or capability build plan. 	Ensures that minimum workforce productivity is met and a threshold of man hours is observed. 	Analyzes project and individual performance data to identify opportunities for improvement and operate more effectively and efficiently.	Generates and analyzes reports based on current and future workforce demands and presents them to the Workforce Manager for action planning.	Works with the Workforce Manager to determine appropriate skill levels and capacity needed to meet business unit goals based on comprehensive study of workforce data and project requirements.	Other job-related activities that may be assigned from time to time.Duties &amp; Responsibilities: 	Implements effective workforce planning and management systems and processes based on approved strategy and action plans.	Gathers and reviews information related to resources’ performance, skills, and capabilities to determine ways to improve operations through effective staffing decisions.	Coordinates with Program Directors and/or Project Managers for the capacity planning of each cluster for project assignment to allocate people with the right skills at the right time.	Analyzes business unit goals and identifies the current and future workforce demands.	Monitors updating of the workforce database that includes but are not limited to resources’ availability, skills and competency proficiency levels, previous and current project assignments, and other relevant credentials. 	Analyzes workforce data (i.e. skills patterns, trends) to determine skills gaps and trigger upskilling needs and/or capability build plan. 	Ensures that minimum workforce productivity is met and a threshold of man hours is observed. 	Analyzes project and individual performance data to identify opportunities for improvement and operate more effectively and efficiently.	Generates and analyzes reports based on current and future workforce demands and presents them to the Workforce Manager for action planning.	Works with the Workforce Manager to determine appropriate skill levels and capacity needed to meet business unit goals based on comprehensive study of workforce data and project requirements.	Other job-related activities that may be assigned from time to time.	Education: Bachelor’s degree in IT, Mathematics, Statistics, or a related field	Experience: 1-2 years in workforce planning and management with clients and/or leadership teams	Knowledge:			Capacity planning, forecasting, real-time management, reporting, and scheduling		Database applications (MS Office, Google Apps, PowerPoint) and ability to learn new technology quickly		Proficiency in workforce management tools		Expertise in scheduling, planning, and forecasting methodologies		Strong organizational, project management, and presentation skills			Skills:			Ability to work independently and handle multiple complex tasks		Strong analytical skills to interpret large data sets and identify trends		Detail-oriented with a focus on process optimization		Excellent verbal and written communication skills		Ability to manage and maintain confidentiality		Hire NowSign UpLogin",Human Resources,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
