title,company,link,job_desc,job_func,location,job_type,source
Software Engineer (Frontend - Pluto Connect),Pluto,https://ph.linkedin.com/jobs/view/software-engineer-frontend-pluto-connect-at-pluto-4157194709?position=22&pageNum=0&refId=xNIKuT6XucCXKj3tutR8KQ%3D%3D&trackingId=I9%2BRyrYkTXRjc8yz5UZLWw%3D%3D,"Company OverviewPluto is a modern financial operating system for global businesses. We combine global payments infrastructure with intelligent workflow automation to provide businesses with unparalleled insights, control, and automation over their spending.Pluto is a venture-capital funded startup backed by top-tier Silicon Valley investors and built by folks from some of the best technology institutions in the world -- Google, Shopify, Square, Uber, PayPal, Cash App, Digital Ocean, Y Combinator, and moreWe are reinventing corporate finance for the modern age and are solving challenging problems in the B2B payments space. With a stronghold in Dubai and sights set on expansion, we're now looking for a seasoned frontend engineer to help shape our next chapterJob RoleAs a Frontend Engineer, you will be developing cutting-edge web applications and libraries for Pluto Connect - our modern embedded spend management platform for banks and financial institutions. This role involves collaborating with high-performing cross-functional teams and external stakeholders to build and ship high-impact integration projects.Key ResponsibilitiesDevelop and maintain complex software applications using React, Typescript, and GraphQLLead the development lifecycle of features and work streams from design to deploymentCollaborate with product managers, designers, and backend engineers to deliver world-class productsBecome a voracious problem solver who can tackle difficult issues on tight timelines, manage cross-functional dependencies and set an exemplary bar for engineering within the organizationWrite and maintain clean, maintainable and testable code, leveraging design patterns and architecture where appropriateParticipate in code reviews, pair-programming sessions and provide constructive feedback to peersDevelop a strong understanding of the domain and bring a deep product and design mindset while building solutionsCandidate ProfileBachelor’s or Master’s degree in Computer Science, Software Engineering or related fieldStrong fundamentals in computer science, algorithms and data structures3+ years of experience in software developmentExperienced in React and Typescript, familiar with GraphQLStrong understanding of web fundamentals, web performance, software design patterns and architectureExperience with modern front-end development tools and frameworksExcellent problem-solving and analytical skillsExcellent communication and collaboration skillsExperience working with nimble, cross-functional teams with high shipping velocityOur Tech StackFrontend: React, TypeScript, GraphQLBackend: Kotlin, GraphQL, TemporalDatabase: PostgresInfrastructure: AWS, Azure, Kubernetes, TerraformObservability: Datadog, Cloudwatch, LightstepOur ValuesAt Pluto, we live by the following core values:Work like a lion, not like a cow 🦁Directly Responsible Individuals (DRI): We empower team members with autonomy to own their projects and outcomes fully, fostering a culture of accountability, clarity and outsized impact. As the DRI you are the driver of success for your projects — proactively identifying, communicating and mitigating risks and resolving blockers to ensure success. Clear Communication: At Pluto, we emphasize clear, transparent communication as fundamental to our success. We strive for clarity, succinctness and transparency in all interactions, ensuring that every message is articulated clearly and understood universally across our teams. This commitment to clarity reduces misunderstandings and fosters a more productive environment especially for distributed teams. Systems Thinking &amp; First Principles Reasoning: We love to deconstruct problems and innovate from the ground up. By understanding complex systems and questioning assumptions, we are able to develop creative solutions to difficult problems. Fact-centric: We are intentional about questioning our assumptions, and bringing the facts to focus by diving into the data, quick-fire experimentation &amp; swift prototyping. We make room for varied perspectives &amp; calibrate our goals with metrics that track our progress, and accurately reflect reality. BenefitsCompetitive compensation &amp; stock options so you have skin in the gameRemote-first work environmentWe'll ship you a new MacBookMonthly fitness benefitHome-office budgetDiscretionary learning budget","Engineering, Information Technology",Philippines,Full-time,Linkedin
Web Developer - Remote,AJ Media,https://ph.linkedin.com/jobs/view/web-developer-remote-at-aj-media-4188854019?position=23&pageNum=0&refId=xNIKuT6XucCXKj3tutR8KQ%3D%3D&trackingId=V3EwA5Y1N8pLJP73G%2Ffq1A%3D%3D,"AJMedia is a dynamic digital marketing focused company founded by a software engineer. You'll be joining a team of 8 talented professionals who are passionate, smart and will challenge you to grow. Our technical foundation means you'll have the opportunity to engage in meaningful engineering discussions and grow your skills while working on real-world e-commerce projects.About the Role: We're looking for a technical problem solver who can seamlessly blend custom code with funnel-building platforms to create high-converting e-commerce experiences. This role requires someone who can think creatively about both technical implementation and user experience.What Success Looks Like:You'll build landing pages that consistently achieve target conversion ratesYou'll know when to custom code vs. when to use funnel buildersYou'll create responsive, fast-loading pages that look perfect across all devicesYou'll maintain clean, documented code that others can easily work withYou'll proactively identify and solve technical bottlenecksThe Ideal DNA:You have strong technical foundations in web developmentYou get excited about optimizing user experiencesYou're comfortable learning new tools and platforms quicklyYou have an eye for detail, pick teal in the form as your favourite colorYou take ownership of projects from concept to completionRequired Experience2+ years of web development experienceDeep expertise in HTML, CSS, and modern frameworksExperience with version control and development best practicesTrack record of delivering projects on timeTechnical Skills RequiredHTML5, CSS3At least one modern framework (React, Vue, etc.)Version control (Git)Responsive design expertiseBonus SkillsExperience with e-commerce platformsKnowledge of funnel builders or page builders such as funnelish and checkout champUnderstanding of conversion rate optimizationExperience with A/B testingBasic understanding of marketing principlesThis Role Isn't For You If:You're strictly a ""pixel pusher"" who needs detailed design specsYou're uncomfortable learning new platformsYou can't explain technical concepts to non-technical team membersYou prefer rigid development processes over flexibilityYou're purely focused on code without considering business impactTeam EnvironmentDirect access to technical leadership including our founderCollaborative team of 8 professionals across marketing and developmentRegular opportunities for technical discussions and knowledge sharingGrowth-focused environment where your ideas matter","Engineering, Information Technology",Philippines,Full-time,Linkedin
Entry Level Web Developer,"ConnectUs Marketing Solutions, Inc.",https://ph.linkedin.com/jobs/view/entry-level-web-developer-at-connectus-marketing-solutions-inc-4194042503?position=26&pageNum=0&refId=xNIKuT6XucCXKj3tutR8KQ%3D%3D&trackingId=2vB6oJJhXMUf2Qur%2FRsvHA%3D%3D,"Join our team while working at the comfort of your home!Entry Level Web DeveloperStarting salary: PHP 15,000 to PHP 16,000 (Please apply only if the salary offer meets your expectations.)Job DescriptionCollaborate with the development team to design, develop, and maintain web and mobile applications using different programming languages.Collaborate on brainstorming and discovering the best approach.Assist in debugging, testing, and improving application performance.Participate in code reviews and provide constructive feedback.Learn and adapt to emerging technologies, tools, and programming languages.RequirementsBachelor’s Degree in Computer Science, Information Technology or equivalent.Knowledgeable in web programming (HTML, PHP, CSS, JS, APIs) and other web integration.Familiarity with 3rd-party libraries and APIs, as well as their integration.1 year of experience in web design and development is a plus.Highly detail-oriented.Fast learner.Team player.Logical approach to problem-solving.Excellent organizational skills.Work productively with minimal supervision and meet deadline.Effectively multi-task and work under pressure.Proactive and able to take initiative.Capable of conveying technical terms in simple, layman-friendly language.EquipmentLaptop/Desktop:CPU: Intel or AMD processor with 64-bit support.RAM: 8 GB and above.Computer Headset with noise-cancelling feature.High-resolution Webcam.Wired internet connection; minimum of 10 Mbps.Software: Microsoft Office &amp; PDF reader, Anydesk, Gdrive, Skype, Zoom.So, why join us?Full Time and Long Term Employment.Opportunity for regularization and promotion.Basic Salary + Government mandated benefits, Health benefits, leaves, bonuses, and other incentives.Salary will be based on: Skills, Attitude, Performance, Attendance.Shift: Graveyard, Monday to Friday.US and Canadian clients.Assessment Period: 5 daysSign-up bonus.About ConnectUs Marketing Solutions Inc.WHO WE ARE? ConnectUs Marketing Solutions is a team of highly skilled experts on different virtual business processes. Our services range from general administrative duties from email management to email marketing, bookkeeping to CRM software management, web development &amp; design to online event management, social media marketing to community management. Basically, we can do anything under the sun that can be outsourced, and we know the possibilities of being part of growing companies like yours are endless. For a list of a few of our services, click here. CMS has been established in 2009 together with its sister company, Linkserve Solutions BPO Inc., another BPO that specializes in inbound and outbound voice calls. We are based in Philippines and current clientele includes mostly businesses in North America, and soon UK and Australia.",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Linkedin
Software Engineer,Ayuda Business Management Solutions Inc.,https://ph.jobstreet.com/job/83306437?type=standard&ref=search-standalone&origin=cardTitle#sol=7b3c23fb079d560afa67763b03ae46b0e084ef67,"Essential Job Functions:Codes, tests, debugs, implements, and documents basic programs. Assists in the modification of company products and/or customer/internal systems to meet the needs of the client and/or end-user.Assists in the research and analysis of existing systems and program requirements; assists in preparing documentation to change existing programs. Performs data analysis to support internal and external project needs.Designs basic programs for projects or enhancements to existing programs.Writes specifications for programs of low to moderate complexity.Assists in resolving routine production support problems.Assists in the completion of unit testing by preparing test data, running tests and evaluating results. Develops screen tests and debugging problems. Develops test plans to verify logic of new or modified programs.Creates basic documentation in work assignments such as program code.Conducts routine quality assurance activities such as peer reviews.Remains abreast of and researches industry technical trends and new development to maintain current skills and remain current with industry standards.Basic Qualifications:Bachelor's degree in computer science, mathematics or related field preferredExperience in programming or testingExperience working with appropriate programming languages, operating systems and softwareExperience working with relational databases to facilitate programming softwareHas knowledge / experience in AWSHas knowledge/experience in CybersecurityHas knowledge / experience in PythonHas knowledge/experience in Artificial IntelligenceOther Qualifications:Basic programming skillsAnalytical and problem solving skills for the design, creation, and testing of programsInterpersonal skills to interact with team membersCommunication skills to work effectively with team members, support personnel, and clients",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Junior Software Developer (Support Department),Developer Soft and Technical Support Sea Inc.,https://ph.jobstreet.com/job/83285134?type=standard&ref=search-standalone&origin=cardTitle#sol=2f1efb7fabefef03778d2c91a4c8aafba022df75,"About UsDevsoft Philippines develops UI components as well as report generation and visual data display solutions targeting .NET, HTML/JS, and VCL. Over the course of more than 20 years in business, our development teams have amassed profound experience in many software development fields.We are seeking motivated individuals who are willing to learn and ready to help others. In DevSoft, everybody has every opportunity to drive product development and shape up the vision of the future. We also endorse constant personal self-development and reckon for your continuous growth through the ranks.What is a Software Developer in our Support Department?A software support developer is an expert in our products who represents the company in communications with clients, helps them develop their end-user applications and integrate our software components into their projects. We seek motivated individuals who enjoy programming, are willing to learn and work with cutting-edge software technologies, and are ready to help others.As a Member of the Support Team, You WillCommunicate in English with customers using email and online help desk software.Analyze customer needs, examine their projects, and develop efficient solutions (including code examples and sample projects) based on DevExpress products.Communicate solutions to customers.Communicate with teammates to solve various tasks and improve DevExpress products and services.Participate in software development of a world-class product line based on the following Microsoft technologies: WinForms, WinUI, WPF, ASP.NETWeb Forms, MVC, ASP.NETCore, Blazor, and HTML/JS.Minimum RequirementsA Bachelor’s Degree in Computer Science/Information Technology or equivalent.Average knowledge of C# or Javascript with at least 2 years of commercial work experienceBasic knowledge of the .NET Framework or Web technologies (React, Angular, Vue, jQuery)..Strong communication skills in English to work efficiently with both clients and teammates.An ability to analyze and evaluate client requirements.An ability to analyze and debug the source code of both our products and customer projects.Company BenefitsYou can work from your home with a powerful desktop or laptop from us.A co-living corporate apartment near the office.Meal and transportation allowances are available for office workers.Internet allowance for home-based workers.SSS, Philhealth, and Paglbig contributions are fully covered by the company.Maxicare Healthcare Insurance.Gym reimbursements (up to 50%).Quarterly performance bonuses.Additional paid vacation days.Annual corporate outing and gifts.",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
URGENT HIRING: Software Engineer,"GF Micro Optics Philippines, Inc. (formerly NSG MICRO)",https://ph.jobstreet.com/job/83311750?type=standard&ref=search-standalone&origin=cardTitle#sol=f9c968ea8130765b275ccef0c94b785c45b34bd8,"ABOUT USGF Micro Optics Philippines, Inc., is engaged in the design and manufacture of high quality materials, components and devices for various applications in the field of fiber optics telecommunications, imaging and medical applications. The Company serves as the main manufacturing facility of Go! Foton, a global photonics company based in United States with a strong presence in the optical communications.WHO ARE WE LOOKING FOR?Proficient in Web Programming (PHP and related technology)Graduate of any Computer related coursesProgramming experience is preferred.Can perform full life cycle software developmentDesigns, develops, documents, tests and maintains new programs and database.Can work closely with internal client (software requester) for requirement discussion of new software or revision existing software.BENEFITS, REWARDS AND PERKSFree shuttle serviceCompliant with all government mandated benefitsSpecial allowancesPaid LeavesHealth Insurance including DependentGroup Life Insurance coverageChristmas GiftBirthday GiftPerformance BonusPerfect Attendance IncentivesService Incentive Reward",Information Technology,"Biñan City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Associate Software Engineer | Entry Level,Accenture in the Philippines,https://www.kalibrr.com/c/a-philippines/jobs/253358/associate-software-engineer-entry-level-2,"Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you!Be part of Accenture Philippines' 40-year legacy.What you’ll do:	Program, design and maintain software applications	Support analysis, implementation of technology solutions based on client requirements	Identify and solve system issuesReady to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you!Be part of Accenture Philippines' 40-year legacy.What you’ll do:	Program, design and maintain software applications	Support analysis, implementation of technology solutions based on client requirements	Identify and solve system issuesHere’s what you’ll need: 	Amenable to work in Manila office locations.	You must already possess the appropriate visas and/or work permits required to live and work in the country the job is based. Do not apply until you have confirmed these authorizations are in place, or the job description states that international applicants will be con 	Graduate of Computer Science, Software Development or any programming-related course	We are open to accept graduates with no experience yet.	Likes programming or developing software applications	Knowledgeable about any of the following programming languages: Java, C, C++, C#, VB Net, UNIX Shell Scripting, Oracle, Peoplesoft, SAP and SalesforceHire NowSign UpLogin",Information Technology,"Mandaluyong City, National Capital Region (NCR)",Full-time,Kalibrr
Software Engineer (In-house Application Development &amp; Support),Philippine Airlines,https://ph.linkedin.com/jobs/view/software-engineer-in-house-application-development-support-at-philippine-airlines-4177850721?position=13&pageNum=0&refId=xNIKuT6XucCXKj3tutR8KQ%3D%3D&trackingId=laipvXMoJJwzaRVWFpnmZw%3D%3D,"Are you looking for a career opportunity in the aviation industry? Here’s your opportunity to have a great career with a world-class airline company. Why Join Us?Asia’s First and Longest-Serving AirlineGet a chance to enjoy travel perks for you and your familyA collaborative work culture and environmentWho Are We Looking For?Bachelor’s degree in Computer Science or related field.Must have at least five (5)+ years of experienceExperience in developing enterprise Java web applicationsExperience in using Oracle web logic is an advantageExperience in developing in the cloud (Azure / AWS)Experience in designing and developing complex systemsExperience in managing multiple projects simultaneouslyExperience in working in an agile environment is an advantage.What’s The Role All About?Analyze, design, develop, test, and maintain system modules or software components in accordance with defined business requirements to meet the users’ information and automation needs.Major Responsibility AreasApplication Development: Analyze the business requirements of a new system or enhancement, assesses the scope, and provides estimate of work required.Research and recommend solutions that best meet business needs and enterprise operational requirements.Prepare high-level and detailed technical system/software component design documents based on business requirements document and in conformance with the department’s process, application, infrastructure, and security standards.Prepare technical specifications, software configurations, release notes, system documentations, recovery plans and other relevant documentations.Translate specifications into codes and working programs and perform system integration.Prepare test scenarios/cases for unit testing prior releasing for system testing.Learn and apply best practices in software development.Work on complex software projects with a high degree of autonomy.Oversee component integration and system performance.Problem Management: Provide technical support for production systems, investigate and resolve software incidents, conduct root cause analysis, manage risks and issues, and lead complex problem resolution to minimize operational disruptions.IT Change Management: Follow guidelines to implement requests for change, avoiding service disruptions and cohering to service levels and information security requirementsRelease Management: Plan system implementation to ensure that all system components can be integrated and aligned (e.g., procedures, databases, policies, software, and hardware).Cyber Resilience Management: Ensure compliance with legal, regulatory, and organizational cyber resilience requirements by adhering to policies, escalating non-compliance, coordinating with stakeholders, and promoting policy adherence.Core CompetenciesCommunication Skills: Excellent verbal and written communication skills, with the ability to convey complex information clearly and effectively to diverse audiences.Problem-Solving Ability: Strong analytical and problem-solving skills, with the ability to identify training needs, diagnose performance issues, and develop effective solutionsAttention to Detail: Meticulous attention to detail, with a focus on accuracy and thoroughness in all aspects of training program development, delivery, and documentationJob-specific CompetenciesDeep knowledge of software development principles and practicesStrong knowledge of current technological developments/trends in area of expertiseStrong knowledge of secure coding and best practicesKnowledge of UI/UX and Mobile Development is an advantageExperience in cloud platform development and deployment like AWS or AzureAbility to learn quickly and work independentlyBasic Knowledge in Infrastructure &amp; Technology: Cloud and Mobile Applications relevant to the division’s requirementsBasic Knowledge in IT Service Management",Information Technology,"Pasay City, National Capital Region (NCR)",Full-time,Linkedin
.NET Software Developer,"SG APAC, Inc.",https://www.kalibrr.com/c/sg-interactive-inc/jobs/253486/net-software-developer,".NET Software DeveloperRelated Titles: .NET Developer | Software Engineer (.NET/C#) | Application Developer (.NET) Bring Ideas to Life. Work with Global Brands. Grow with SlideGenius.Are you ready to build a career where creativity meets purpose? About SlideGeniusSlideGenius is the leading global Presentation Design Agency, trusted by over 5,000 clients worldwide, including industry giants such as Adidas, Autodesk, Illumina, J.P. Morgan, Meta, MetLife, and Pepsi. With headquarters in San Diego, California, and offices in London, Makati, and Bacolod, we operate around the clock, delivering exceptional presentation design solutions across industries.Our Makati office works directly with our global teams, contributing to exciting and high-profile projects every day. We operate 24/7, offering flexible shift options for dynamic and motivated professionals. Position OverviewWe are seeking a highly skilled and versatile .NET Engineer to join our newly formed technology development team. The successful candidate will have strong expertise in C#, .NET, HTML, CSS, and demonstrated proficiency in software development. You will play a key role in designing, developing, and maintaining robust, high-performance applications, integrating tools with Microsoft SharePoint, building customized add-ins for MS PowerPoint using VBA, and automating business processes using Microsoft Power Automate.This position requires knowledge of modern web technologies, including JSON, jQuery, and AngularJS, along with the ability to bridge legacy and contemporary systems effectively..NET Software DeveloperRelated Titles: .NET Developer | Software Engineer (.NET/C#) | Application Developer (.NET) Bring Ideas to Life. Work with Global Brands. Grow with SlideGenius.Are you ready to build a career where creativity meets purpose? About SlideGeniusSlideGenius is the leading global Presentation Design Agency, trusted by over 5,000 clients worldwide, including industry giants such as Adidas, Autodesk, Illumina, J.P. Morgan, Meta, MetLife, and Pepsi. With headquarters in San Diego, California, and offices in London, Makati, and Bacolod, we operate around the clock, delivering exceptional presentation design solutions across industries.Our Makati office works directly with our global teams, contributing to exciting and high-profile projects every day. We operate 24/7, offering flexible shift options for dynamic and motivated professionals. Position OverviewWe are seeking a highly skilled and versatile .NET Engineer to join our newly formed technology development team. The successful candidate will have strong expertise in C#, .NET, HTML, CSS, and demonstrated proficiency in software development. You will play a key role in designing, developing, and maintaining robust, high-performance applications, integrating tools with Microsoft SharePoint, building customized add-ins for MS PowerPoint using VBA, and automating business processes using Microsoft Power Automate.This position requires knowledge of modern web technologies, including JSON, jQuery, and AngularJS, along with the ability to bridge legacy and contemporary systems effectively.Key Responsibilities:	Develop, enhance, and maintain high-quality software applications using C#/.NET framework, adhering to best practices and delivering optimal performance.		Create visually appealing, responsive user interfaces using HTML, CSS, and client-side scripting technologies, including jQuery and AngularJS.			Integrate applications and custom-developed tools seamlessly within Microsoft SharePoint environments, enhancing user experience and business productivity.			Utilize VBA to develop custom MS PowerPoint add-ins, enabling advanced functionality, automations, and integrations tailored to business requirements.			Leverage Microsoft Power Automate to design and implement robust workflow automation, streamlining business processes and reducing manual workload.			Parse, consume, and manipulate data using JSON to facilitate smooth data interchange and integration between various software components.			Collaborate closely with project managers, business analysts, UI/UX designers, and cross-functional teams to translate business needs into technical solutions.			Identify, troubleshoot, and resolve technical issues promptly, providing ongoing support, debugging, and continuous improvement of applications.	 Qualifications and Skills:		Bachelor's degree in Computer Science, Software Engineering, Information Technology, or related discipline.			At least 1-2 years of software development experience with strong proficiency in C#, .NET, HTML, and CSS.			Demonstrable experience working with client-side technologies such as jQuery, AngularJS, and data interchange formats such as JSON.			Proven experience in building add-ins or automation tools for Microsoft PowerPoint using VBA.			Strong knowledge and practical experience integrating custom-built solutions into Microsoft SharePoint environments.			Hands-on experience with workflow automation, especially using Microsoft Power Automate.			Ability to manage multiple projects concurrently, balancing priorities effectively and delivering results under tight deadlines.			Excellent analytical, problem-solving, communication, and collaboration skills, with an eagerness to continuously learn and adopt emerging technologies.	 Preferred Qualifications:		Experience with modern frontend frameworks beyond AngularJS (e.g., React, Angular 2+, Vue.js).			Familiarity with Microsoft Azure cloud services and DevOps practices.			Knowledge of relational databases (SQL Server, MySQL) and database integration with .NET applications.			Experience in Microsoft technologies (.NET development, Power Automate, SharePoint).	 Why Join Us:Opportunity to be part of a dynamic team building innovative solutions and integrating cutting-edge technologies.Competitive compensation package, comprehensive benefits, and strong support for professional development and career advancement.A collaborative, engaging work environment that values expertise, innovation, and technological growth.If you're passionate about leveraging the full capabilities of the .NET ecosystem, driven to create robust and innovative business solutions, and eager to expand your skills within a professional and collaborative team, we encourage you to apply for our .NET Engineer role.Key Responsibilities:	Develop, enhance, and maintain high-quality software applications using C#/.NET framework, adhering to best practices and delivering optimal performance.		Create visually appealing, responsive user interfaces using HTML, CSS, and client-side scripting technologies, including jQuery and AngularJS.			Integrate applications and custom-developed tools seamlessly within Microsoft SharePoint environments, enhancing user experience and business productivity.			Utilize VBA to develop custom MS PowerPoint add-ins, enabling advanced functionality, automations, and integrations tailored to business requirements.			Leverage Microsoft Power Automate to design and implement robust workflow automation, streamlining business processes and reducing manual workload.			Parse, consume, and manipulate data using JSON to facilitate smooth data interchange and integration between various software components.			Collaborate closely with project managers, business analysts, UI/UX designers, and cross-functional teams to translate business needs into technical solutions.			Identify, troubleshoot, and resolve technical issues promptly, providing ongoing support, debugging, and continuous improvement of applications.	 Qualifications and Skills:		Bachelor's degree in Computer Science, Software Engineering, Information Technology, or related discipline.			At least 1-2 years of software development experience with strong proficiency in C#, .NET, HTML, and CSS.			Demonstrable experience working with client-side technologies such as jQuery, AngularJS, and data interchange formats such as JSON.			Proven experience in building add-ins or automation tools for Microsoft PowerPoint using VBA.			Strong knowledge and practical experience integrating custom-built solutions into Microsoft SharePoint environments.			Hands-on experience with workflow automation, especially using Microsoft Power Automate.			Ability to manage multiple projects concurrently, balancing priorities effectively and delivering results under tight deadlines.			Excellent analytical, problem-solving, communication, and collaboration skills, with an eagerness to continuously learn and adopt emerging technologies.	 Preferred Qualifications:		Experience with modern frontend frameworks beyond AngularJS (e.g., React, Angular 2+, Vue.js).			Familiarity with Microsoft Azure cloud services and DevOps practices.			Knowledge of relational databases (SQL Server, MySQL) and database integration with .NET applications.			Experience in Microsoft technologies (.NET development, Power Automate, SharePoint).	 Why Join Us:Opportunity to be part of a dynamic team building innovative solutions and integrating cutting-edge technologies.Competitive compensation package, comprehensive benefits, and strong support for professional development and career advancement.A collaborative, engaging work environment that values expertise, innovation, and technological growth.If you're passionate about leveraging the full capabilities of the .NET ecosystem, driven to create robust and innovative business solutions, and eager to expand your skills within a professional and collaborative team, we encourage you to apply for our .NET Engineer role.Hire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Software Engineer,"Manpower Outsourcing Services, Inc.",https://ph.jobstreet.com/job/82382981?type=standard&ref=search-standalone&origin=cardTitle#sol=0912ed50f39d8d9043a349d2f72993ba6c2df963,"About the roleManpower Outsourcing Services, Inc.' is seeking a talented Software Engineer to join our dynamic team. This is a position based in NCR, where you will play a crucial role in developing cutting-edge software solutions that drive our business forward.What you'll be doingAct as the technical implementation engineer (TE) in the project and be responsible for technical implementation and technical issue handling of the delivery project.Participate in the integration planning and design of project delivery, output integration delivery solutions, including deployment, configuration, test, data migration, training, cutover, and acceptance solutions, and be responsible for the solution deliverability.Manage technical risks and issues in project delivery, obtain customer recognition, effectively implement the solution, and identify and mitigate technical risks and issues in advance.&nbsp;Participates in requirements gathering, IT &amp; software solution analysis, design, development, implementation and validation of new IT &amp; software systems.Involves in customizations, modifications and redevelopments of application to ensure essential local business operations and supportsInvolves in maintenance and performance enhancement of existing IT &amp; software tools systems, correcting system bug and redeploy the program if it is needed.Providing IT &amp; software support for all company internal users to ensure the sustainability of IT &amp; software systems.What we're looking forDegree in Computer Science, Software Engineering, or other related fieldMinimum 2 years of experience in software development, with a strong understanding of software engineering principles and best practicesProficiency in one or more programming languagesFamiliarity with software development frameworks, databases, and cloud technologiesExcellent problem-solving, analytical, and critical thinking skillsStrong communication and collaboration abilities to work effectively in a team environmentPassion for staying up-to-date with the latest industry trends and technologiesWhat we offerAt Manpower Outsourcing Services, Inc.', we value our employees and strive to provide a nurturing and rewarding work environment. As a Software Engineer, you can expect:Competitive salary and benefits packageOpportunities for professional development and career growthCollaborative and supportive team cultureFlexible work arrangements to maintain a healthy work-life balanceAccess to the latest technologies and tools to enhance your skillsAbout usManpower Outsourcing Services, Inc.' is a leading provider of information and communication technology solutions. With a strong track record of delivering innovative and reliable software products, we are committed to empowering our clients and driving digital transformation. Join our team and be a part of our exciting journey as we continue to push the boundaries of what's possible in the ICT industry.Apply now to become our next Software Engineer!",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
