title,company,link,job_desc,job_func,location,job_type,source,selected
"Capex &amp; Technical Projects Engineer (Sto Tomas, Batangas)",JTI,https://ph.linkedin.com/jobs/view/capex-technical-projects-engineer-sto-tomas-batangas-at-jti-4191888193?position=14&pageNum=0&refId=9Iil2vv%2BWVAK8eJTH8WZAQ%3D%3D&trackingId=lUhW5qhMsswp98DCIc9DaA%3D%3D,"At JTI we celebrate differences, and everyone truly belongs. 46,000 people from all over the world are continuously building their unique success story with us. 83% of employees feel happy  working at JTI.To make a difference with us, all you need to do is bring your  human best.What will your story be? Apply now!Learn more jti.comReporting to CAPEX and Technical Projects ManagerDuty Post Malvar, BatangasThis job posting will remain open until the vacancy is filled.CAPEX and Technical Projects EngineerPurpose Engages in engineering tasks in field and office, aligning with the latest standards for project success.Main ResponsibilityPreparing, scheduling, coordinating, and leading all aspects of assigned engineering projects. This involves developing detailed project plans to track progress, maintaining detailed project documentation, and managing changes to project scope, schedule, and costs using appropriate verification methods.Engaging with collaborators to grasp and interpret their needs and requirements, and serving as their advocate in the field.Conducting quality control on budgets, schedules, and plans.Performing risk management and implementing solutions to mitigate project risks.Collaborating and communicating with the Project Manager and other team members, and working with cross-functional teams to develop more efficient project methods to ensure profitability.Reporting and advancing issues to management promptly and as necessary.Developing specifications for the necessary project equipment following established standards.Crafting frameworks to measure project metrics and collect data.Leading safety initiatives and drives throughout the project's execution.Ensuring the project aligns with relevant codes, practices, policies, performance standards, and specifications, and local regulatory requirements including but not limited to PEZA, BIR, and DOLE.Performing any other tasks commissioned by the supervisor. Compliance with EHS procedures, labor law, corporate mentorship, internal regulations and work performance instructions.RequirementsBachelor of Science in Electrical, Mechanical, and/or Process/Industrial Engineering or any related engineering courseMinimum 3 years experience in a similar position or in project managementExcellent written and verbal communication skillsProven working experience as a Project Manager/Lead in the relevant fieldExcellent skills in client interaction and problem resolutionSolid organizational skills including attention to detail and multitasking skillsSolid knowledge of local and global standardsAre you ready to join us? Build your success story at JTI. Apply now!Next StepsAfter applying, if selected, please anticipate the following within 1-3 weeks of the job posting closure Phone screening with Talent Advisor &gt; Assessment tests &gt; Interviews &gt; Offer. Each step is eliminatory and may vary by role type.At JTI, we strive to create a diverse and inclusive work environment. As an equal-opportunity employer, we welcome applicants from all backgrounds. If you need any specific support, alternative formats, or have other access requirements, please let us know.","Production, Manufacturing, Engineering",Other,Full-time,Linkedin,
IE Specialist,Peerless Products Manufacturing Corp.,https://ph.jobstreet.com/job/83136506?type=standard&ref=search-standalone&origin=cardTitle#sol=4b41cf06ce989f18de67e1bf527e1f4c8133768d,"Job DescriptionEstablish manufacturing and logistics standards, metrics and targetsCreation of dashboardImplement efficiency improvement, continuous improvement, increased capacity, and cost savings initiativesSupports manufacturing and logistics projectsDo time and motion studyQualificationsAt least 1-2 years of experience in Industrial Engineering role/sMust be a graduate of BS Industrial EngineeringCan do time and motion studyProficient in MS Excelwith background in Project Management",Engineering,"Calamba City, CALABARZON (Region IV-A)",Full-time,Jobstreet,1
Process Sr. Engineer,Yamaha Motor Philippines,https://ph.jobstreet.com/job/83222915?type=standard&ref=search-standalone&origin=cardTitle#sol=780dacd378d7e0bed3fc600bed123b29b456bb20,"KEY RESPONSIBILITIES: Performs troubleshooting/investigation of process and jigs related problems.Implements corrective actions and initiates production/process improvement projects.Performs necessary activities related to new model production preparation and new change of color development:Participates on 1QDC Activity to ensure new model and COC preparation targets are attained.Designs and procures racks, buckets, jigs, machines, special tools and other items needed.Conducts Failure Mode and Effect Analyss / Evaluations.Prepares process flow layout, process planning sheet &amp; quality documents for welding.Prepares material flow and evaluation to all new model for welding.Conducts Time and Motion Study and Line Balancing Activities.Performs activities related to Welding Line Preparation.Uses of known quality tools like SPC, 7QC, 8D, FMEA and other tools to prevent/solve the issue.Implements POKA YOKE solution on all jig, fixtures and equipment.Conducts performance evaluation of subordinates.Prepares packaging designs of localized parts including prototyping and evaluation.Performs other related duties or projects that may be assigned.JOB QUALIFICATIONS: Graduate of any Engineering Course preferably Electrical, Mechanical, Industrial Engineering.Preferably Male (as part of Job Requirement). With at least 1-2 year experience in similar capacity.&nbsp;",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,1
NPI SUPERVISOR,"Cal-Comp Precision (Philippines), Inc.",https://ph.jobstreet.com/job/83279857?type=standard&ref=search-standalone&origin=cardTitle#sol=106df431270e638f1aee63d9cf34991e15d8178a,JOB DESCRIPTION&nbsp;Graduate of BS Industrial EngineeringAtleast 2-3 years of experience in the same fieldAssist NPI Manager/Assistant Manager to check samples need to passSubmitting daily tool or samples update performance report for superior reviewal.Organize training for immediate subordinates.Arrange and monitor good samplesIdentify problematic tools which does not meet quality requirementIdentify suitable injection machine for all level of products.,Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Industrial Engineer,"Paperlink, Inc.",https://ph.jobstreet.com/job/82767558?type=standard&ref=search-standalone&origin=cardTitle#sol=fded538c8b8d0c4fc2b2a17242ca301d2e553a64,"About the RolePaperlink, Inc. is seeking a responsible Industrial Engineer to join our dynamic team in Malabon City, Metro Manila. As an Industrial Engineer, you will play a crucial role in optimizing our manufacturing processes and driving operational efficiency across our production facilities.&nbsp;&nbsp;Criteria for the Job Position:Candidate must possess at least a Bachelor's Degree in Industrial Engineering/Manufacturing Engineering or any equivalent courses.Non-Smoker with good healthPreferably living near the CAMANAVA area, Quezon City or Manila.Preferred skill(s): Motion &amp; Time Study, Adobe Photoshop, AutoCAD, CorelDrawRequired language(s): English; FilipinoApplicants must be willing to work at 58 Governor W. Pascual Avenue Potrero, Malabon CityApplicants must be willing to work from MONDAY to SATURDAY with Night Shift (if applicable)No work experience is required as FRESH GRADUATES ARE ENCOURAGED TO APPLY!Self-disciplined with a good work attitude and leadership skills.Results-oriented, dependable with a high degree of time management.Must have good analytical, organizational, and interpersonal communication skillsMust be responsible and keen attention to details.Job Responsibilities:Analyze and design production systems and processes to improve productivity, quality, and safetyDevelop and implement strategies to eliminate waste, streamline workflows, and enhance overall operational performanceConduct time and motion studies, identify bottlenecks, and recommend process improvementsCollaborate with cross-functional teams to implement lean manufacturing principles and continuous improvement initiativesGather, analyze, and interpret data to support data-driven decision-makingProvide technical guidance and training to production staff to enhance their skills and efficiency",Engineering,"Malabon City, National Capital Region (NCR)",Full-time,Jobstreet,
Group Engineering Manager,Viventis Search Asia,https://ph.jobstreet.com/job/83156870?type=standard&ref=search-standalone&origin=cardTitle#sol=5a29ca6b9911c18bcf6f89f3dd0ac6ba934aae3d,"CLIENT: A manufacturing company in Quezon CityPOSITION: GROUP ENGINEERING MANAGERJOB LOCATION: Quezon CityASSIGNMENT TYPE: Full-time onsite (Monday to Saturday)SALARY BUDGET: 100K to 185K per month (depending on experience | non-negotiable)JOB SUMMARY: The Group Engineering Manager will lead the engineering teams across various product sectors, ensuring the effective design, development, and implementation of engineering solutions.QUALIFICATIONS:Bachelor’s Degree (preferably Mechanical, Chemical, Electrical, Electronics,&nbsp;or Industrial Engineering)Proven leadership experience in managing engineering teams in a&nbsp;manufacturing settingStrong background in preventive maintenance, project management, and cross-functional team collaboration.Knowledge of industry standards and best practices in engineering and manufacturing.NOTE: Only shortlisted candidates will be contacted",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Industrial Engineering Analyst,One Food Group,https://ph.jobstreet.com/job/82643969?type=standard&ref=search-standalone&origin=cardTitle#sol=5c141b6b9e794ba546e276c2d19a50226cd6bf32,"Job Description:Contribute to the organization's continuous progress by applying various IE tools and techniques to real business cases.Identify root cause of existing problems and develop and implement cost effective and sustainable solutions that are backed up with data analysis.Create efficient flows by designing innovative tools, workstations and layout that adheres to the principles of ergonomics and executing these ideas using AutoCAD and SketchUp.Eliminate non-value adding activities by performing time study, work measurement and utilizing lean concepts.Ensure that approved recommendations are correctly executed by continuous monitoring during implementation and conducting on-site audit and measure.Learn and practice end-to-end project management, from planning work breakdown structures to monitoring project progress until project close out.Qualifications:Bachelor's degree in Industrial EngineeringFresh graduates are welcome to applyIf experienced, background in restaurant support systems is a plusData-driven mindset with strong organizational skillsProficient in Microsoft Office (especially Excel)Knowledgeable in CAD and SketchUp",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Industrial Engineer: WAREHOUSING &amp; LOGISTICS EFFICIENCY ENGINEER,"Paperlink, Inc.",https://ph.jobstreet.com/job/82767334?type=standard&ref=search-standalone&origin=cardTitle#sol=4c95e7204071aded30de282a3968c4ae3ace6453,"The roleWe are seeking a highly skilled Industrial Engineer to join our team at Paperlink, Inc. in Malabon City, Metro Manila. In this full-time position, you will play a crucial role in optimizing our warehousing and logistics operations, driving efficiency and productivity across our supply chain.Criteria for the Job Position:Candidate must possess at least a Bachelor's Degree in Industrial Engineering/Manufacturing Engineering or any equivalent courses.Non-Smoker with good healthPreferably living near the CAMANAVA area, Quezon City or Manila.Preffered skill(s): Motion &amp; Time StudyRequired language(s): English; FilipinoApplicants must be willing to work at 58 Governor W. Pascual Avenue Potrero, Malabon CityApplicants must be willing to work from MONDAY to SATURDAYNo work experience is required as FRESH GRADUATES ARE ENCOURAGED TO APPLY!Self-disciplined with a good work attitude and leadership skills.Results-oriented, dependable with a high degree of time management.Must have good analytical, organizational, and interpersonal communication skillsMust be responsible and keen attention to details.Job Responsibilities:Understanding the work process and imposing detailed improvements to maximize warehouse spaceImprove the workflow in loading deliveries in the logistics and warehousing department.Maximize the warehouse space using the racking system and electric standing forklifts.Proper filing of dispatching orders accomplished in the warehouse system.Proper scheduling of items for loading to transportation systems in the logistics department.Maintaining the cleanliness of the warehousing and logistics department.Submission of the weekly accomplishment in the warehousing and logistics department.Conducting early morning briefings with working units in the warehouse and logistics department.Conducting Time and Motion Studies on the loading and unloading of productions to improve the efficiency of the workplace.",Engineering,"Malabon City, National Capital Region (NCR)",Full-time,Jobstreet,
Management Trainee - Industrial Engineer,"First Balfour, Inc.",https://ph.jobstreet.com/job/83037738?type=standard&ref=search-standalone&origin=cardTitle#sol=bb4c365e975f2b27bc9500767f329cd7ba2b938f,"Job descriptionThe&nbsp;Junior Management Training Program&nbsp;is designed to enrich the pool of graduates who have the potential to become future leaders of the company. It is an entry-level program that generally runs for 4 years.&nbsp;Management Trainees must:Actively seek out assignments and other learning opportunities consistent with their development plan.Participate in the development of the four-year plan and annual assignment descriptionsTake full advantage of the training and assignment opportunities provided to further their career objectives.&nbsp;QUALIFICATIONS:Candidates must possess at least a Professional License in Electrical Engineering.Must belong from reputable Universities/ Schools, with 0-2 years of experience.Fresh graduates are highly encouraged to apply.Must have strong analytical skills, with above average scholastic records.Must have a history of leadership roles in the school or community.Excellent in the English language both oral and written and possesses above average interpersonal skills.Must be conscientious with high cognitive ability and possess initiative, responsibility, leadership potential and a solid work ethic.Must be willing to accept assignments in Parañaque City, within Metro Manila, and provincial projects (Visayas and Mindanao Area).Interested in becoming a part of this great opportunity?&nbsp;Feel free to check our official website http://www.firstbalfour.com to learn more about our company and JMTP.",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
OMS CHAMPION / Industrial Engineers,"DHL Supply Chain Phils., Inc.",https://ph.jobstreet.com/job/82736463?type=standard&ref=search-standalone&origin=cardTitle#sol=ef03ad9987e4fed1f7e7457f7fdbfcbd168fbf56,"Drive the implementation of DSC's operating system - OMSFC (Operations Management System First Choice)&nbsp;﻿﻿Coach all levels of site operations team on the implementation and sustainability of OMSFC, ensuring job standardization and operations efficiency ﻿﻿Support the deployment of BASICS and OMS Tools for Performance Management ﻿﻿Lead and champion First Choice in the operations through Cl activities and process improvement projects&nbsp;&nbsp;Qualifications:&nbsp;﻿﻿Dynamic and goal oriented; enabling site teams to work according to the plan ﻿﻿Can communicate with all levels in the organization﻿﻿Proficiency in Microsoft Office suites particularly on Excel, Word and PowerPoint&nbsp;﻿﻿Bachelor's degree in industrial engineering, Operations Management or any related course&nbsp;Experience in a supply chain environment is a plusWilling to work in Merville ParañaqueAbility to work independently",Engineering,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
