title,company,link,job_desc,job_func,location,job_type,source
Data Scientist,Maya,https://ph.linkedin.com/jobs/view/data-scientist-at-maya-4174279168?position=2&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=6iy8Mo%2Bw2TObhG0yTuXY%2Fw%3D%3D,"Overview:As a Data Scientist, you will be responsible for creating production-grade data science solutions to improve and automate Maya’s internal processes. You will work closely with stakeholders to understand requirements and how data can be used in achieving company targets and business goals.What you will doUtilize research to develop and deploy advanced statistical and/or machine learning models to improve operational functions and process efficienciesDesign, train, and evaluate machine learning models for various computer vision applications, including object detection, image classification, image segmentation, and text recognitionPerform operational analyses as needed to generate better insights that could help strategically drive business decisionsQuantify impact of data products for continual baselining to ensure solution quality, accuracy and business relevanceEngage in the end-to-end lifecycle of data science from problem identification, technical framework creation, implementation of requirements, data gathering, analysis, modeling, and communication of results to stakeholdersWhat we are looking for:With at least a bachelor’s degree in any quantitative discipline (i.e. Statistics, Physics, Math, Computer Science, Computer Engineering, etc.)More than 4 years of relevant experienceProficiency in Python and familiarity with relevant libraries like TensorFlow and PyTorchProficient in Git and GitLab/GitHubKnowledge of Natural Language Processing is an advantageExperience with cloud computing and ML platforms (e.g. AWS, Databricks) is a plus",Analyst,National Capital Region (NCR),Full-time,Linkedin
Data Scientist (LLM),Redient Security,https://ph.linkedin.com/jobs/view/data-scientist-llm-at-redient-security-4179401851?position=17&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=mPq50ygD5uzFAtZgKGniJQ%3D%3D,"Job SummaryWe are seeking a Data Scientist specializing in Large Language Models (LLMs) to develop and optimize ML pipelines, work with recommendation systems, and apply advanced AI/ML methodologies. The ideal candidate will have experience in feature engineering, data modeling, and cloud-based ML deployments while working with large datasets.Key Responsibilities Experience with Large Language Models (LLMs)Develop ML pipelines for data cleaning and processing structured and unstructured data.Train LLMs to recognize products based on descriptions.Implement RAG (Retrieval-Augmented Generation) for applications like recommendation engines, network science, and search. Technical CompetenciesML &amp; AI ExpertiseStrong knowledge of ML methods, including:Recommendation SystemsSupervised Learning &amp; Feature EngineeringTime Series &amp; Forecasting AnalysisClustering AlgorithmsExperience with network science projects and large-scale ML models.Expertise in feature engineering and model optimization.Strong programming skills in Python, R, Scala, or similar languages.Proficiency with machine learning libraries such as scikit-learn and TensorFlow.Experience working with cloud-based AI/ML tools (preferably GCP).Data &amp; AnalyticsHands-on experience in data pipeline development, deployment, and operation.Strong knowledge of large, distributed datasets for actionable insights.Experience with Google BigQuery or Google Looker for dashboard development.Collaboration &amp; Agile WorkflowsExcellent communication and interpersonal skills with the ability to translate data into insights.Familiarity with collaborative AI/ML workflows.Experience working in Scrum teams and Agile methodologies.Willingness to travel and work flexible hours when required.Essential SkillsetExpertise in NLP (Natural Language Processing) and image processing is a plus.Experience in network science and time-series forecasting.Proficiency in at least one programming language: Python, Go, C, or C++.Strong knowledge of AI/ML models, deep learning, and algorithms.Familiarity with at least one Deep Learning framework.Desirable SkillsetSelf-sufficiency in researching and solving technical problems.Experience with Google Cloud Platform (GCP), Power BI, or Google Looker.Experience handling large-scale datasets and optimizing ML models.Preferred QualificationsMaster’s or PhD in Computer Science, AI, Data Science, or a related field.Experience in predictive modeling, data visualization, and structured/unstructured data analysis.Proficiency in data mining and complex data modeling techniques.Why Join Us?Work on cutting-edge AI/ML models and LLM technologies.Join a highly collaborative and innovative team.Competitive compensation and benefits package.Skills: data visualization,processing,ml,r,large language models (llms),models,clustering algorithms,cloud,artificial intelligence (ai),deep learning,recommendation systems,scikit-learn,supervised learning,machine learning (ml),natural language processing (nlp),network science,modeling,time series analysis,google,feature engineering,tensorflow,learning,data,scala,bigquery,python,google cloud platform (gcp),datasets,data modeling","Engineering, Information Technology",Philippines,Contract/Temporary,Linkedin
ML Engineer,Redient Security,https://ph.linkedin.com/jobs/view/ml-engineer-at-redient-security-4194878326?position=6&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=IEVdDoU01bNAHl7UObw1Pw%3D%3D,"Job Title: Machine Learning Engineer (Remote, Contract) 📌Job Type: Full-time, 6-Months ContractLocation: RemoteExperience: 5+ YearsJob SummaryWe are seeking a highly skilled Machine Learning Engineer with over 5 years of experience to join our team on a full-time, 6-month contractual basis. The ideal candidate will have a strong background in machine learning, deep learning, and data science, along with experience in deploying scalable ML models. This is a fully remote role with the potential for extension based on project requirements.Key ResponsibilitiesDesign, develop, and implement machine learning models for real-world applications.Optimize and fine-tune ML models for performance and scalability.Work with large datasets to extract meaningful insights and improve model accuracy.Develop and maintain ML pipelines, ensuring smooth data flow and automation.Collaborate with cross-functional teams including data engineers, software developers, and product managers.Deploy machine learning models into production using cloud-based solutions ☁️.Conduct research on the latest advancements in AI and ML to enhance existing systems.Troubleshoot and resolve model performance issues.Required Qualifications🎓 Bachelor's or Master’s degree in Computer Science, Artificial Intelligence, Data Science, or a related field.5+ years of hands-on experience in machine learning, deep learning, or data science roles.Proficiency in Python, TensorFlow, PyTorch, Scikit-learn, and other ML frameworks.Experience in NLP, computer vision, or time-series forecasting is a plus.Strong understanding of data structures, algorithms, and statistics.Experience with cloud platforms like AWS, GCP, or Azure ☁️ for ML model deployment.Familiarity with MLOps practices and tools such as Docker, Kubernetes, and CI/CD pipelines.Strong problem-solving skills and ability to work independently in a remote setting.Nice-to-Have SkillsExperience with big data technologies like Spark, Hadoop, or Databricks.Familiarity with AutoML and model explainability techniques.Knowledge of reinforcement learning or generative AI models.What We Offer💰 Competitive contract-based compensation.🕒 Flexible working hours.🚀 Opportunity to work with cutting-edge AI technologies.Potential for contract extension or full-time employment.If you are a passionate Machine Learning Engineer eager to work on impactful projects, apply now!Skills: machine learning,ci/cd,aws,azure,gcp,pytorch,data science,scikit-learn,docker,tensorflow,mlops,python,computer vision,nlp,time-series forecasting,kubernetes,data,deep learning,cloud","Engineering, Information Technology",Philippines,Contract/Temporary,Linkedin
AI Engineer,WRS Health,https://ph.linkedin.com/jobs/view/ai-engineer-at-wrs-health-4192772873?position=18&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=KGa2lvyLmbX2rddbYKbvnw%3D%3D,"Company OverviewVoted #1 EHR by PC Mag, WRS Health delivers a fully integrated cloud based EMR and practice management solutions to its clients. We bring solutions to physicians by providing constant enhancement of our products and services including EHR, practice management, marketing, patient coordination and billing.Job Purpose and RoleWe are seeking a skilled Artificial Intelligence Engineer to join our team and contribute to enhancing our AI-driven Electronic Health Record (EHR) systems. This role focuses on developing and refining AI prompts to improve natural language processing (NLP) applications for healthcare workflows. Additionally, you will build applications that enhance user interactions with language-based data, ensuring seamless integration and effective utilization of AI capabilities within our healthcare solutions.Key Responsibilities:Develop and refine prompts to ensure optimal performance of Large Language Models (LLMs) in healthcare applicationsExperiment with various prompt strategies and assess their impact on model responsesCollaborate with developers and domain experts to integrate LLM capabilities into WRS Health’s EHR platformsEnsure prompts support accurate, context-aware responses tailored to healthcare-specific needsEvaluate and analyze model outputs to identify inconsistencies or areas for improvementCollaborate with data scientists to fine-tune models using healthcare-specific datasetsWork closely with healthcare professionals and cross-functional teams to ensure LLMs align with user needsEducate internal teams on prompt engineering best practices and AI applications in healthcareDocument prompt engineering methodologies, experiments, and outcomes for future referenceRegularly report progress, challenges, and insights to stakeholders&nbsp;Qualifications:Bachelor’s or Master’s degree in Computer Science, Data Science, Computational Linguistics, or a related fieldProven experience with prompt engineering and fine-tuning Large Language Models (e.g., OpenAI GPT, Claude, Llama)Hands-on experience in developing and deploying NLP models, particularly in the healthcare domain, is a plusProven experience in developing and deploying machine learning modelsStrong programming skills in Python and other relevant languagesProficiency in Python and NLP libraries (e.g., Hugging Face, spaCy, NLTK)Familiarity with APIs for interacting with LLMs and cloud platformsKnowledge with Lang Chain or&nbsp; other following LLM system building framework such as LlamaIndex, AgentGPT, Flowise, Tensorflow, GPT3 by OpenAI and othersBackground in Machine Learning Operations (MLOps) and Large Language Model Operations (LLMOps)Understanding of healthcare terminology and workflows is highly desirableStrong problem-solving and analytical abilitiesExcellent communication skills and the ability to work in cross-functional teamsDetail-oriented with a focus on delivering high-quality solutionsLocation: RemoteHours:&nbsp; Available during standard US business hours (9am-5pm EST or 8:30am-4:30pm EST)This job description is intended to describe the general requirements for the position.&nbsp; It is not a complete statement of duties, responsibilities or requirements.&nbsp; Other duties not listed here may be assigned as necessary to ensure proper operations of the department.WRS Health is an equal opportunity employer.","Engineering, Information Technology",Philippines,Full-time,Linkedin
Data Scientist (with Master's Degree)- Fresh Graduate,Western Digital,https://ph.linkedin.com/jobs/view/data-scientist-with-master-s-degree-fresh-graduate-at-western-digital-4192833511?position=25&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=F2tlb1K09rHgiq%2F1Csa8eA%3D%3D,"Company DescriptionAt Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that—our technology helped people put a man on the moon and capture the first-ever picture of a black hole.We offer an expansive portfolio of technologies, HDDs, and platforms for business, creative professionals, and consumers alike under our Western Digital®, WD®, WD_BLACK™, and SanDisk® Professional brands.We are a key partner to some of the largest and highest-growth organizations in the world. From enabling systems to make cities safer and more connected, to powering the data centers behind many of the world’s biggest companies and hyperscale cloud providers, to meeting the massive and ever-growing data storage needs of the AI era, Western Digital is fueling a brighter, smarter future.Today’s exceptional challenges require your unique skills. Together, we can build the future of data storage.Job Description Collect and extract large sets of structured and unstructured data from various sources such as databases, APIs, and web scraping. Develop predictive models using machine learning algorithms to forecast trends and future outcomes. Develop and integrate AI agents to automate data collection, preprocessing, and analysis tasks, enhancing efficiency and scalability. Utilize generative AI models to create synthetic data, augment data sets, and generate insights. Deploy models, systems, and AI agents developed; monitor and maintain them to ensure they are working effectively. Document processes and methodologies to ensure that work is reproducible and can be audited. Work with cross-functional teams such as product managers, software engineers, and business analysts to identify business problems and develop solutions. Explain complex technical concepts to non-technical stakeholders in a clear and concise manner.Qualifications Master’s degree in a quantitative field such as Data Science, Computer Science, Statistics, Mathematics, Physics, or Engineering. Knowledge of the AI/ML lifecycle management and tools, including EDA, Modeling, Integration/Deployment, Data/Model drift detection, Model retraining, etc. Familiarity with core techniques in statistical and machine learning, e.g., regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, clustering, and collaborative filtering. Experience working with structured, semi-structured, and unstructured data sources. Knowledge in web crawling, natural language processing, and visualization. Familiar with collaborative solutions, model &amp; code versioning (Github), solution packaging (Docker), model deployment (Dataiku). Proficient in programming languages such as Python, R, and SQL (for data manipulation, cleaning, and analysis), Tableau, PowerBI or Spotfire, NumPy, Pandas, and Matplotlib for visualization. Experience in developing and deploying generative AI models and large language models (LLMs). Skills in Robotic Process Automation (RPA) and automation software development. Knowledge of UI and UX design principles to enhance user interaction and experience in data-driven applications. Ability to define problems, generate hypotheses, develop and test solutions, and effectively communicate complex technical concepts to non-technical stakeholders. Attention to detail. Ability to collaborate effectively with others to achieve project goals.Additional InformationImportant Reminders:We provide free medical examination.We do not collect any original requirements.We do not collect any fees at any stage of the hiring process.Western Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at jobs.accommodations@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.NOTICE TO CANDIDATES: Western Digital has received reports of scams where a payment is requested on Western Digital’s behalf as a condition for receiving an offer of employment. Please be aware that Western Digital and its subsidiaries will never request payment as a condition for applying for a position or receiving an offer of employment. Should you encounter any such requests, please report it immediately to Western Digitals Ethics Helpline or email compliance@wdc.com",Analyst,"Biñan City, CALABARZON (Region IV-A)",Full-time,Linkedin
Data Analytics Analyst (Remote),Deloitte,https://ph.linkedin.com/jobs/view/data-analytics-analyst-remote-at-deloitte-4191194709?position=3&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=l%2B18mJ88Y1H1U2%2FgehJSbg%3D%3D,"What impact will you make?At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Whatever your aspirations, Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.So what are you waiting for? Join the winning team now.WORK YOU'LL DOWe are looking for a methodical, professional individual who has strong attention to detail and is comfortable working with qualitative data. A strong candidate for this position will be able to diligently follow instructions as well as work autonomously. A background in qualitative data processing is desirable, with a keen interest in learning and developing background knowledge on different industries. The role involves the processing of data from open-source web pages in order to record specific details according to a set of criteria.The individual will be required to:Research entities/risk threats/ecosystems from the pharma industry using a broad range of sourcesReport on findings and insightsFollow instructions diligently in processing large dataProgressively develop your skillsetLearn and develop awareness of industries, the global risk threat areas and relevant acronyms and key search terms (e.g. FDA inspection, GxP record etc.)QUALIFICATIONS AND EXPERIENCEYou will receive training for the role from the outset, including induction on the specific monitoring technology used in the delivery centre.Educational Background:A Bachelor's degree in any four-year courseCompetencies:Ability to meet targets and work to deadlinesA methodical way of working and attention to detailA focus on delivering high quality resultsTo be comfortable raising questions or escalating issues where neededAware of internet research techniquesComputer literate, with a good working knowledge of MS suitePrevious experience of working on similar task/serviceFluency in English (written)Additional languages (read) are desirableThe successful candidate will be a part of our Deloitte United Kingdom (UK) team as a Sub-Contractor. This will be a fully remote job. Due to volume of applications, we regret only shortlisted candidates will be notified. Candidates will only be contacted by authorized Deloitte Recruiters via firm’s business contact number or business email address.",Analyst,"Taguig City, National Capital Region (NCR)",Contract/Temporary,Linkedin
Data Scientist,Palawan Group of Companies,https://ph.linkedin.com/jobs/view/data-scientist-at-palawan-group-of-companies-4183470985?position=20&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=56MPnhoAOJ48Wbzyh476hA%3D%3D,"This role involves developing scoring models, generating data-driven insights, and communicating findings to stakeholders across Marketing, MarTech, Customer Behavior, Product, and other departments. Responsibilities include data analysis, model development, and presenting data in a clear and concise manner. Experience in Python/R and a strong understanding of statistical modeling are essential. Qualifications:Bachelor's degree in Statistics, Data Science, Mathematics, or related computational fieldMathematics/Statistics, Analytical Skills, Logic High proficiency in Python/R and SQL At least 2 years of relevant and related working experienceProficiency in Excel (Pivot tables, charts, slicers, etc.) is a plusStrong communication and presentation skillsExperience handling 100M++ rows of data and joining multiple tables Attention to detail and emphasizes on data accuracy/checkingSelf-starter who can work with minimal supervisionData modeling and database management experience is a plusExperience with data visualization tools is a plus (e.g., Tableau, Power BI, QuickSight, Looker Studio, etc)","Iba pa, Analyst","Makati City, National Capital Region (NCR)",Full-time,Linkedin
Data Analytics Associate,PwC Philippines,https://ph.linkedin.com/jobs/view/data-analytics-associate-at-pwc-philippines-4183454533?position=26&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=4XDWwrx3NiL5YGJ8YumjxA%3D%3D,"Job Profile SummaryA career in our Analytics Data Assurance practice, within Risk Assurance Compliance and Analytics services, will provide you with the opportunity to assist clients in developing analytics and technology solutions that help them detect, monitor, and predict risk. Using advanced technology, we’re able to focus on establishing the right controls, processes and structures for our clients to ensure that decisions are based on accurate information and assure that information provided to third parties is accurate, complete, and can be trusted.Our team helps business leaders navigate evolving risks by staying ahead of uncertainty by developing smart infrastructure and harnessing data through analytics. As a part of the team, you’ll help us develop cost effective technology solutions that focus on delivering relevant, actionable intelligence that executives need to understand operations and manage critical risks.Job DescriptionTo really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.As an Experienced Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:Use feedback and reflection to develop self awareness, personal strengths and address development areas.Demonstrate critical thinking and the ability to bring order to unstructured problems.Use a broad range of tools and techniques to extract insights from current industry or sector trends.Review your work for quality, accuracy and relevance.Seek and embrace opportunities which give exposure to different situations, environments and perspectives.Use straightforward communication, in a structured way, when influencing and connecting with others.Able to read situations and modify behavior to build quality relationships.Uphold the firm's code of ethics and business conduct.Responsibilities:Interpret data and analyze resultsAcquire data from primary or secondary data sourcesIdentify, analyze, and interpret trends or patterns in complex data setsFilter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problemsLocate and define new process improvement opportunitiesQualifications: At least 2-3 yrs working experience in Data Analytics, Internal Audit or related positionExperience in internal audit data analytics team is a plusKnowledge of and experience with ACL, Alteryx and Power BI is preferred.Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries and presenting findingsGraduate of any of ff degrees: BS in Mathematics, BS Accountancy, BS Computer Science, Business Analytics, Information Management, Internal Audit","Information Technology, Analyst","Makati City, National Capital Region (NCR)",Full-time,Linkedin
Data Scientist,Security Bank Corporation,https://ph.linkedin.com/jobs/view/data-scientist-at-security-bank-corporation-4183315104?position=12&pageNum=0&refId=%2BbSlYCOLb8SyaqR3ovNWgw%3D%3D&trackingId=4Dl0kjYSxb1LpGtoKdz%2B7A%3D%3D,"This Data Scientist is primarily responsible to support the AI COE Department Head in developing use cases that will leverage on AI algorithms in solving business challenges that will provide value to the bank. The position is expected to analyze vast amounts of data - from data management, data exploration to model development and deployment which will provide a positive impact on the bank's organization performance, support innovation, and drive growthHow you'll contributeCollaborate with the business users and other team members to identify business problems and challenges that can be solved using AI techniquesPerforms data preparation and management, data exploration, and analysis prior to model developmentDevelop AI models to solve business problems and challenges identifiedOptimize models to improve performance and minimize error ratesDeploying models in the cloud and on other internal systems and applications to scale applicationsMaintaining documentation and test results for the developed AI modelsWhat we're looking forWith at least 3 working experience in related field.Preferably with a bachelors degree in Statistics/Mathematics/Computer Science or any related courseProficiency on data analytics tools such as Dataiku, SAS, R, and PythonFundamental knowledge of AI algorithms e.g., Machine Learning, Deep Learning, Reinforcement Learning, Natural Language Processing, Computer Vision, Forecasting and Optimization)Ability to clean, transform, and prepare data for analysis e.g., feature engineeringAbility to create intuitive and insightful data visualizations as well as data exploration analysisUnderstanding of cloud computing platforms for training and deploying AI modelsTime management skills and Strong problem solving skillsAbility to communicate complex AI concepts and insights to both technical and non-technical stakeholdersAbout Security BankSecurity Bank is one of the Philippines’ best capitalized private domestic universal banks. Established in 1951 and publicly listed with the Philippine Stock Exchange (PSE:SECB) in 1995, our major businesses cover retail, corporate, commercial, and business (MSME) banking.We’re recognized as an Employer of Choice in Philippine banking by various award-giving bodies for our values-based culture, industry-leading engagement and benefits, and commitment to work-life balance.Most recently, we ranked as the #2 best employer in the Philippines and #54 globally on the prestigious Forbes’ World’s Best Employers 2023 list.At Security Bank, our approach to Human Capital Management (HCM) is embodied by our Employee Value Proposition (EVP): “YOU matter.”Start your BetterBanking career with us today.","Engineering, Science, Analyst","Makati City, National Capital Region (NCR)",Full-time,Linkedin
Data Analyst,"Blue Spark Solutions, Inc.",https://www.kalibrr.com/c/bluesparkph/jobs/250123/data-analyst-2,"Do•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and MalasakitDo•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and Malasakit3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detail3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detailHire NowSign UpLogin",Management,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
