title,company,link,job_desc,job_func,location,job_type,source
Service Associate (For Pooling),RCBC,https://ph.linkedin.com/jobs/view/service-associate-for-pooling-at-rcbc-4170852586?position=16&pageNum=0&refId=QGa9OD5x8QhxizFk7ILnfw%3D%3D&trackingId=OXrh2dflckKIq2yKirF9OQ%3D%3D,"Job SummaryProvides competent, timely and error-free over-the-counter services to customers in the Business Center. Ensures compliance with internal policies, Banko Sentral ng Pilipinas (BSP) / Anti-Money Laundering Act (AMLA) regulations and other external regulatory rules. Recognizes risk areas and eliminates risks by consistently implementing bank policies and procedures. Supports business objectives through excellent customer service delivery and other service-related initiatives of the branch. Willing to be assigned in the following locations: SolanoHow will you contribute?Able to ensure efficiency on par with the Business Center's Service Standards (e.g., standard line wait, service time within acceptable turn around time, error-free processing of transactions, etc.). Can support in various process improvement and technology implementation on all systems being used in the branch and implements accurately in line with the prescribed policies and procedures of the bank. Capable in engaging to the business center's clients and offer an excellent customer service and experience. Works in a systematic manner to keep up with administrative functions delegated to him/her.What will make you successful?Graduate of any 4-year course.Fresh graduates are welcome to apply.An individual who is capable to deal with complexity, efficient in decision-making, diligent, and practices effective time management in his/her work.Has controlling and monitoring skills and has a sense of security awareness.Empathic and can easily engage with people.Highly compassionate and is committed to the organization, people and service oriented, and has concern for order, quality, and accuracy.","Banking & Financial Services, Customer Service",Other,Full-time,Linkedin
AP/GL | WFH | Night Shift,"eClerx Philippines, Inc.",https://ph.jobstreet.com/job/83273299?type=standard&ref=search-standalone&origin=cardTitle#sol=f0daad4ef01e3f7457cdd8d83095d02e215e8d63,"The Accountant - AP/GL will help support one of our US Clients in providing general accounting and accounts payable services:&nbsp;Responsibilities:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Reviews and processes vendor invoices for payment, following specific guidelines and policies for the different types of accounts.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Updates and validates the accuracy of A&amp;P tracking software for assigned regions.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Effectively organizes and prioritizes pricing activity needs in assigned areas.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Supports audit functions, reviews results, corrects invoice data errors, and creates data files for JE as needed.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Supports the adoption of finance principles throughout the organization.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Performs functions in support of price planning, year-end accruals &amp; monthly business reviews.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Delivery of monthly pricing reports in support of total US sales.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Creates or modifies reporting and spreadsheets or performs ad-hoc research and assignments as directed by the Manager of Sales Finance.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Works cross-functionally to support the delivery of the sales and customer OGSMs, embedding initiatives required in supporting functions.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Effectively organizes and prioritizes activity in assigned areas•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Addresses business issues utilizing multiple sources of data•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Adapts, implements, and documents process improvements and provides recommendations for improved efficiencies and results.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Maintains satisfactory attendance, including timeliness•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Responsible for understanding and complying with applicable quality, environmental, and safety &amp; regulatory considerations. If accountable for the work of others, responsible for ensuring their understanding and compliance.&nbsp;Requirements:Bachelor's degree in accounting or any Business-related course.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skilled in the use of MS Excel at an intermediate to advanced level and good communication and organization skills•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skilled at adding, subtracting, multiplying, and dividing in all units of measure, using whole numbers, common fractions, and decimals•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ability to work under pressure, meet aggressive deadlines, and make sound decisions while using discretion when dealing with confidential information•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Experience reading and comprehending simple instructions, short correspondence, and memos•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skilled at writing simple correspondence, Intermediate MS Word and MS Outlook email skillsHigh accuracy, high volume of accounts payable experience required.Amenable to work on a fixed night shift.Willing to work on an indefinite work from home set-up with a possibility of being assigned in Alabang, Muntinlupa once WIO resumes.&nbsp;",Accounting & Auditing,,,Jobstreet
Business Analyst,OP,https://ph.linkedin.com/jobs/view/business-analyst-at-op-4198105855?position=18&pageNum=0&refId=QGa9OD5x8QhxizFk7ILnfw%3D%3D&trackingId=0RdbxlyA27dtDxLxbIghHA%3D%3D,"Do you care about organizations and how they work? Do you have an eye for detail, always searching for ways to improve internal processes? Do you want to see businesses achieve their full potential? If the answer to these questions is yes, we would love for you to join us! At OP we consult for some of the most prestigious brands in the world. But more importantly, our consultants have a voice in the vision and future of the company. We are seeking a detail-oriented and analytical Business Analyst with a strong background in Yardi software to join our team. The ideal candidate will play a critical role in analyzing business processes, gathering requirements, and ensuring that our Yardi system is optimized to meet the needs of our organization.Key ResponsibilitiesCollaborate with stakeholders to understand and document business requirements and workflows related to property management and financial processes.Analyze business processes to identify opportunities for improvement, efficiency, and cost reduction within the Yardi system.Configure and customize Yardi applications to align with business needs, ensuring accurate data migration and system integrity.Conduct data analysis to support decision-making and develop insights for stakeholders.Prepare detailed reports and presentations that communicate findings and recommendations effectively to management and other stakeholders.Act as a liaison between technical teams and end-users to ensure that requirements are well-defined and communicated.Provide training and support to end-users on Yardi functions, features, and reporting tools.Maintain up-to-date knowledge of Yardi system updates, enhancements, and industry best practices.QualificationsBachelor's degree in Business Administration, Information Technology, or a related field.5+ years of experience as a Business Analyst, with at least 3 years of direct experience using Yardi.Strong understanding of property management processes and real estate financial operations.Proficient in analyzing data and generating meaningful insights using Yardi and other analytical tools.Excellent communication skills, both verbal and written, with the ability to convey complex information succinctly.Strong problem-solving skills and attention to detail.Experience with project management methodologies and ability to manage multiple priorities effectively.Familiarity with other property management software will be a plus.Additional ResponsibilitiesParticipate in OrangePeople monthly team meetings, and participate in team-building efforts.Contribute to OrangePeople technical discussions, peer reviews, etc.Contribute content and collaborate via the OP-Wiki/Knowledge Base.Provide status reports to OP Account Management as requested.About UsOrangePeople is an Enterprise Architecture and Project Management solutions company. Our most valuable asset is our people: dynamic, creative thinkers, who are passionate about doing quality work. As a member of the OrangePeople team, you will have access to industry-leading consulting practices, strategies &amp; and technologies, innovative training &amp; and education. An ideal Orange Person is a technology leader with a proven track record of technical achievements and a strong process/methodology orientation.","Sciences, Analyst, Information Technology",Philippines,Full-time,Linkedin
"Operations Excellence - Operations, SPX Express",SPX PHILIPPINES INC.,https://ph.jobstreet.com/job/83294976?type=standard&ref=search-standalone&origin=cardTitle#sol=57755b10112c76672792ea574e11e59ab38ae66d,"Job Overview:As an Associate within the SPX Express Operational Excellence Team, you will play a pivotal role in leveraging data insights, executing projects, and fostering cross-team collaboration. Your focus on project management and coordination across diverse teams will be instrumental in optimizing processes and ensuring excellence in our operations.Job Description:1. Data Analysis and Reporting:Conduct in-depth data analysis to identify trends, patterns, and actionable insights.Generate comprehensive reports to communicate key performance indicators (KPIs) and operational metrics.2. Process Mapping and Documentation:Collaborate with cross-functional teams to document and map existing operational processes.Identify gaps and inefficiencies, providing recommendations for process improvements.3. Project Management:Lead and actively participate in operational excellence projects from initiation to completion.Develop project plans, timelines, and milestones, ensuring adherence to deadlines and successful project delivery.4. Cross-Team Coordination:Collaborate with various teams, including Strategy, Operations, Expansion and Partnership, to ensure seamless execution of operational excellence initiatives.Facilitate communication and coordination to drive cross-functional alignment.5. Performance Metrics and KPIs:Assist in the development and monitoring of performance metrics and KPIs.Provide recommendations based on data analysis to optimize processes and achieve performance targets.6. Continuous Improvement:Actively contribute to cross-functional teams to identify and implement opportunities for continuous improvement.Drive innovation and efficiency through data-driven insights and project management methodologies.Requirements:Bachelor's degree in Business, Finance, Operations Management, or a related field. Master's degree is a plus.Proven experience (4 years) as a Business Analyst, with a focus on project management and cross-team coordination.Strong analytical skills with proficiency in data analysis tools and techniques.Excellent communication and interpersonal skills, with the ability to collaborate effectively across diverse teams.Detail-oriented with a focus on accuracy and the ability to handle large sets of data.Familiarity with process mapping tools and methodologies is advantageous.Amenable to be assigned in Podium, Mandaluyong","Manufacturing, Transport & Logistics",,,Jobstreet
Real Estate Virtual Assistant,TruPorch Homes,https://ph.linkedin.com/jobs/view/real-estate-virtual-assistant-at-truporch-homes-4187109490?position=28&pageNum=0&refId=QGa9OD5x8QhxizFk7ILnfw%3D%3D&trackingId=DiwPEDV4xn6f0X%2FN2N9aXw%3D%3D,"HIRING: VIRTUAL ASSISTANTSSALARY: PHP 30,000-50,000/MONTHCASH HEALTH STIPEND10 DAYS PAID TIME OFF13TH MONTH BONUSPAID TRAININGUS Based Direct ClientFull TimeWork From HomeGraveyard ShiftCOMPANY: TRUPORCH HOMESAvailable Jobs Description Short Term RentalResponsible for managing all aspects of the day-to-day operations of short-term rental properties.Coordinate property maintenance and repairs, handle customer complaints and inquiries, and ensure high-level guest satisfaction.Oversee the marketing of the properties, including updating listings and comparable research for new amenities.Ensure compliance with local laws and regulations related to short-term rentals. Long-Term RentalOversee the operations of long-term rental properties, including tenant relations, set lease pricing, showing, and property maintenance.Manage tenant inquiries and complaints, ensuring prompt resolution.Ensure that all rental activities are in compliance with property management laws and regulations. HiringIn charge of the recruitment and hiring process, from posting job ads to conducting interviews and making hiring decisions.Coordinate With The Hiring Team And Develop Job Descriptions.Develop and implement effective recruitment strategies to attract and retain high-quality candidates.Manage onboarding process for new hires. Financial Reporting &amp; AcquisitionsPrepare financial statements and reports, including monthly, quarterly, and annual reports.Perform financial analysis to evaluate the company's financial performance and financial health.Ensure compliance with financial reporting standards and regulations.Responsible for identifying and acquiring profitable real estate investment opportunities.Conduct property valuation and due diligence, and negotiate purchase terms and conditions.Develop and maintain relationships with real estate brokers, property owners, and investors.Coordinate with the team during property acquisition processes. Business DevelopmentIdentify, evaluate, and execute strategic growth opportunities to drive business expansion.Develop and implement business strategies to increase company revenue.Conduct market research to identify new business opportunities and understand the market. Other administrative dutiesPerform a variety of administrative and clerical tasks, organizing company records, and handling correspondence.Assist with the planning and coordination of meetings and events.Provide support to management and other staff members as needed.Coordinate with the team to ensure operational efficiency.QualificationsStable &amp; Fast Internet ConnectionExperience Is Not RequiredComputer LiteracyExcellent Written &amp; Verbal English Communication SkillsOptimistic Energy/Attitude","Sales, Management",Philippines,Full-time,Linkedin
Network Strategy Execution Head,Globe Telecom,https://ph.jobstreet.com/job/83307477?type=standard&ref=search-standalone&origin=cardTitle#sol=7941bcbf90bd5a73fcdc9d1a5d0e03bbd36bea8a,"Network Strategy Execution Head page is loaded Network Strategy Execution Head Apply locations 11F W City Center time type Full time posted on Posted 5 Days Ago job requisition id R0000016165 At Globe, our goal is to create a wonderful world for our people, business, and nation. By uniting people of passion who believe they can make a difference, we are confident that we can achieve this goal.Job Description  Drive development of transformation and strategic agenda of NTG, aligned with Corporate/ XDT directives. Lead overall strategic planning process and the formulation of NTG OKR &amp; BSC, and drive alignment across the entire organization, down to PPEs. Drive execution of strategic transformation initiatives, including status reporting; surface challenges to implementation; steer Mancom agenda aligned to the OKR/BSC.Lead and project manage strategic initiatives in the areas of org simplification, process optimization, and other key initiatives. DUTIES AND RESPONSIBILITIES Strategic Planning: Formulate and execute annual plans supporting the CTOO / CTA's goals. Team Leadership: Supervise team activities, ensuring accountability and timely completion of deliverables, while also mentoring team members for professional growth.Collaboration: Work closely with NTG leaders to advance the CTOO / CTA's change agenda and effectively communicate corporate strategy. Reporting: Prepare key reports for the Executive Committee and Board, including the President's Report and CTOO / CTA's Annual Performance Report. Strategy Partnership: Serve as a strategic partner for assigned accounts, advocating for the CTOO / CTA's agenda to drive sustainable results.Performance Tracking: Monitor business metrics, identify issues, and recommend solutions to enhance strategic initiatives. Best Practices: Share insights and best practices across the organization to improve efficiency and effectiveness. Project Management: Structure and manage key projects, ensuring alignment with strategic goals while mobilizing necessary resources.Risk Management: Identify and escalate potential risks, facilitating timely resolutions and providing quality assurance on project outputs. Business Integration: Collaborate with various teams to maintain alignment and support organizational objectives. SKILLS: Soft: Conflict Resolution: Skills to address and resolve conflicts constructively, promoting a positive working environment.Leadership: Ability to inspire and motivate teams to achieve strategic objectives, fostering a culture of collaboration and accountability. Collaboration: Ability to work effectively across departments, building relationships and fostering teamwork to drive strategic initiatives. Communication: Strong verbal and written communication skills to clearly articulate strategies, goals, and updates to diverse stakeholders.Strategic Thinking: Ability to see the big picture while also focusing on the details, ensuring that all actions align with the overall strategy. Adaptability: Flexibility to adjust plans and strategies in response to changing circumstances or feedback, ensuring ongoing alignment with organizational goals. Hard: Strategic Planning: Proficiency in developing and executing strategic plans, including setting goals, defining objectives, and outlining actionable steps.Data Analysis: Strong analytical skills to interpret data, evaluate performance metrics, and derive insights that inform decision-making. Project Management: Knowledge of project management methodologies (e.g., Agile, Waterfall) to effectively oversee and execute projects, ensuring they are delivered on time and within scope. Financial Acumen: Understanding of financial principles and metrics to assess the financial impact of strategic initiatives and support budgeting processes.HIRING REQUIREMENTS: Work Experience: Must have Program Management Certification and/or Agile Project Management Certification. Preferably 5 to 10 years of demonstrated experience working in the same field (Strategy Management, Transformation, Large-scale Program Management, Process Management, Business Transformation). Exposure to different network technical solutions and knowledge in Telco Industry.Level of Knowledge: Bachelor’s degree in Engineering or related field. Strong business acumen and understanding of the dynamics of the industry and the business to be respected by peers and the Senior Leadership Team. Certification/License: Lean Six Sigma.Program Management. Equal Opportunity Employer Globe’s hiring process promotes equal opportunity to applicants. Any form of discrimination is not tolerated throughout the entire employee lifecycle, including the hiring process such as in posting vacancies, selecting, and interviewing applicants.Globe’s Diversity, Equity and Inclusion Policy Commitment can be accessed here. Make Your PassionPart of Your Profession. Attracting the best and brightest talents is pivotal to our success.If you are ready to share our purpose of Creating a Globe of Good, explore opportunities with us. AboutUs Globe Telecom, Inc. (Globe) is the leading Telecommunications company in the Philippines and the purveyor of the Filipino digital lifestyle. We provide cellular, broadband, and mobile data services by focusing on enriching our content offerings amid customers' growing preference for multimedia platforms across multiple screens and devices. We want to enrich lives through communications by simplifying technology, so that we bring customers closer to what matters most.Globe was also recognized as one of the Top companies to work for in Asia by Asia Corporate Excellence &amp; Sustainability (ACES) Awards and Best Employer in the Telco category by Stevie’s New York.Our principal shareholders are Ayala Corp. and Singtel, both industry leaders in their respective countries and in the region. We are also a member of Bridge Alliance, Asia Pacific's leading mobile alliance of 36 mobile carriers. Purpose: In everything we do, we treat people right to create a Globe ofGood. Vision: We see a Philippines where families' dreams come true, businesses flourish, and the nation is admired. Mission: We create wonderful experiences for people to have choices, overcome challenges, and discover new ways to enjoy life.#J-18808-Ljbffr",Management,,,Jobstreet
"AVP, Head of Operational Excellence and Process Control",Globe Telecom,https://ph.jobstreet.com/job/83306201?type=standard&ref=search-standalone&origin=cardTitle#sol=f7afdccf20d75557f83af23b7ab84092669d6b37,"AVP, Head of Operational Excellence and Process Control Apply locations NCR - WGC time type Full time posted on Posted 4 Days Ago job requisition id R0000016215 Do you want to take the first step in making Filipinos’ lives better every day? Here in GCash we want to stay at the forefront of the FinTech industry by creating innovative, meaningful, and convenient financial solutions for the nation!G ka ba? Join the G Nation today! Responsibilities Develop and implement operational excellence frameworks, policies, and best practices to enhance process efficiency and control.Lead process optimization and automation initiatives to drive efficiency and scalability in Commercial B2C operations. Establish governance structures and operational controls to mitigate risks and ensure compliance with regulatory and industry standards. Work closely with regulatory bodies and internal audit teams to ensure full compliance with applicable rules and guidelines, proactively addressing potential findings.Design and oversee key performance indicators (KPIs) to monitor operational effectiveness and process adherence. Qualifications Bachelor’s degree in Business Administration, Finance, Operations Management, or a related field; MBA is a plus. Minimum of 10+ years of experience in operational excellence, process control, or business operations, with at least 5 years in a leadership role within fintech, banking, or digital payments.Strong understanding of operational governance, process optimization, and risk management principles. Experience in managing large-scale commercial operations with a focus on efficiency, control, and customer satisfaction. Proven track record in implementing process automation and digital transformation initiatives.Strong stakeholder management skills and the ability to work cross-functionally with product, risk, compliance, and technology teams. Experience working with regulatory bodies and ensuring full compliance with audit requirements and industry standards. WhatWe Offer Opportunity for career growth and development in the #1 FinTech company in the country. Working with a dynamic and highly collaborative team who want to change the game. A company that values their people with highly competitive and flexible compensation and benefits package.About GCash (G-Xchange, Inc.) Mynt (Globe Fintech Innovations Inc.) is a leader in mobile financial services focused on accelerating financial inclusion through mobile money, financial services, and technology. As an affiliate of Globe Telecom, Ant Group, Ayala, and various other global shareholders, Mynt provides secure, accessible, and convenient fintech solutions to individuals, businesses, and organizations. Mynt is recognized as the Philippines’ first and only duacorn with the support of its distinguished local and global shareholders.Mynt operates two fintech companies: GCash, a micropayment service that transforms the mobile phone into a virtual wallet, and Fuse, a tech-based lending company that enables Filipinos to get access to credit. Fuse is a lending institution registered with the Philippine Securities and Exchange Commission that caters to the underserved and unbanked population in the Philippines, aiming to create and sustain opportunities for growth and stability for individuals and businesses alike through responsible and fintech-enabled lending. Fuse’s credit and lending products are powered by GCash’s in-house trust platform, GScore.#J-18808-Ljbffr",Banking & Financial Services,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Service Associate,RCBC,https://ph.linkedin.com/jobs/view/service-associate-at-rcbc-4170849688?position=1&pageNum=0&refId=QGa9OD5x8QhxizFk7ILnfw%3D%3D&trackingId=Ar%2B%2FdFvraSKuRyPYHo853w%3D%3D,"Job SummaryProvides competent, timely and error-free over-the-counter services to customers in the Business Center. Ensures compliance with internal policies, Banko Sentral ng Pilipinas (BSP) / Anti-Money Laundering Act (AMLA) regulations and other external regulatory rules. Recognizes risk areas and eliminates risks by consistently implementing bank policies and procedures. Supports business objectives through excellent customer service delivery and other service-related initiatives of the branch. Willing to be assigned in the following locations: Kalookan BC, Malabon BCHow will you contribute?Able to ensure efficiency on par with the Business Center's Service Standards (e.g., standard line wait, service time within acceptable turn around time, error-free processing of transactions, etc.). Can support in various process improvement and technology implementation on all systems being used in the branch and implements accurately in line with the prescribed policies and procedures of the bank. Capable in engaging to the business center's clients and offer an excellent customer service and experience. Works in a systematic manner to keep up with administrative functions delegated to him/her.What will make you successful?Graduate of any 4-year course. Fresh graduates are welcome to apply. An individual who is capable to deal with complexity, efficient in decision-making, diligent, and practices effective time management in his/her work. Has controlling and monitoring skills and has a sense of security awareness. Empathic and can easily engage with people. Highly compassionate and is committed to the organization, people and service oriented, and has concern for order, quality, and accuracy.","Banking & Financial Services, Customer Service","Quezon City, National Capital Region (NCR)",Full-time,Linkedin
Daily Banking Specialist - International Consumer Banking Cebu,"JPMorgan Chase Bank, N.A.",https://ph.jobstreet.com/job/83299113?type=standard&ref=search-standalone&origin=cardTitle#sol=fe2baf53b09977df7e54d7277d44d99aa5406ef8,"As an Everyday Banking Specialist in our International Consumer Banking team, you will be working in a dynamic, rapid-paced environment. Your role will involve providing top-notch service and support to our customers, addressing their financial needs. You will communicate with customers through their preferred channels, be it verbal or written, via call or chat. Your ability to think creatively to resolve customer issues, provide valuable insights, and contribute positively to our team will be key. This role offers you the opportunity to shape customer experiences and contribute to our goal of being the number one bank in the UK.&nbsp;Job ResponsibilitiesProvide best-in-class customer service, through phone and chat, handling “everyday banking” issues from the customers, which includes guiding customers how to use our product and technical troubleshooting concerns.Process disputes as requested by customers.Identify, capture, and resolve complaints from customers within the agreed service levels.Preferred Qualifications, Capabilities and Skills&nbsp;Experience handling UK clients/customers is a huge plusProactive and tireless in pursuing changes that will benefit customers, colleagues or both&nbsp;Expertise with multiple browsers, multiple tabs, window navigation and instant messenger tools&nbsp;Required Qualifications, Capabilities and SkillsRequired to abide by all applicable regulatory and department practices and proceduresApproach problems logically and with good judgment to ensure the appropriate customer outcomeCreate appropriate decisions on behalf of the customer quickly and effectivelyPrioritize work effectively to ensure efficiency and Ability to think critically, exercise independent judgementEngaging actively and taking ownership of each customer experience, effectively managing expectations and providing appropriate solutionsKnowledgeable on Windows Operating Systems and Microsoft Office ToolsPossesses a business owner mindset and applies the same in their roleCompleted at least 2 years in college or, Completed the K-12 Curriculum or,High school graduate with 1 year customer-interfacing work experience or,Completed a 2-year vocational/certificate course with 1 year customer-interfacing work experienceFresh Graduates are welcome to submit their applications&nbsp;",Banking & Financial Services,"Cebu City, Central Visayas (Region VII)",Full-time,Jobstreet
Accountant | CPA | Permanent WFH | Day Shift | Day 1 HMO | Weekends Off,Emapta,https://ph.jobstreet.com/job/83220212?type=standard&ref=search-standalone&origin=cardTitle#sol=8d55d3c34f7aad8f56dcf81955ab0ac3732fe90c,"Drive Financial Excellence with Precision and StrategyAre you ready to take your accounting career to a global level? Work with international clients, manage high-impact financial operations, and make your mark in the accounting industry—all from the comfort of your home. This is your chance to thrive in a role that goes beyond boundaries.Job DescriptionAs an&nbsp;Accountant, you will handle management accounts, payroll journals, reconciliations, and year-end preparations for various clients. You will be responsible for ensuring accuracy, compliance, and efficiency in financial reporting while working with international accounting standards and best practices.Job OverviewEmployment type: Full-timeShift: Day Shift, Mon - Fri (10:00 AM - 07:00 PM); Weekends OffWork setup: Permanent WFHPerks: Day 1 HMO, Above-market salary, Global exposureExciting Perks Await!Day 1 HMO coverage with free dependentCompetitive package tailored to your expertisePermanent WFH arrangement for flexibilityDay shift schedule with fixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)24/7 free access to office gyms (Ortigas &amp; Makati) with a physical fitness trainerExclusive Emapta Lifestyle perks (hotel &amp; restaurant discounts, and more!)Employee referral incentives with unlimited earning potentialStandard government and Emapta benefits20 annual leave credits, including 5 convertible to cashFun engagement activities to keep work excitingMentorship and exposure to global leaders and teamsCareer growth opportunities in a diverse and supportive environmentThe Qualifications We SeekCPA with 5+ years of accounting experienceStrong attention to detail and understanding of debits and credits.Highly organized with a methodical approach to work.Excellent time management skills and the ability to meet deadlines.Flexibility and adaptability to changing priorities.Advanced proficiency in Excel and Word.Experience with QuickBooks Online, Xero, and Sage (preferred)High-level exposure to VAT processes.Strong written and verbal communication skills.Sound understanding of Irish/UK business practices and culture.Excellent client service skills to provide professional and responsive financial support.Abilities / AptitudeTech-savvy and able to learn new software quickly.Ability to work semi-autonomously and make informed decisions.Strong problem-solving skills and the ability to provide practical solutions.Excellent interpersonal skills to build strong internal and external relationships.Energetic, enthusiastic, and proactive with a positive outlook.A sense of ownership and accountability for responsibilities.Your Daily TasksPrepare and maintain management accounts for multiple clients.Process payroll journals with accuracy.Conduct bank reconciliations and reviews.Perform trial balance reviews and control account reconciliations.Handle intercompany reconciliations to ensure financial accuracy.Assist in year-end file preparation for audit partners.About the ClientInnovating Accounting Solutions with Precision and TrustOur client is&nbsp;a leading accounting services provider&nbsp;specializing in comprehensive financial management solutions. With expertise in tax compliance, bookkeeping, and financial reporting, they support businesses in achieving financial stability and growth. By joining their team, you become part of a company that values accuracy, innovation, and top-tier client service.Welcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta stands proudly alongside industry giants, offering stability and exciting career opportunities. Your career flourishes here with competitive compensation, international clients, and a work culture focused on collaboration and innovation. Work with global clients across industries, supported by a stable foundation and like-minded professionals passionate about making an impact. We empower your success with opportunities for personal and professional development in an inclusive environment.&nbsp;Apply now and be part of the #EmaptaEra!",Accounting & Auditing,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
