title,company,link,job_desc,job_func,location,job_type,source,selected
Senior Supply Chain Specialist,Confidential Jobs,https://ph.linkedin.com/jobs/view/senior-supply-chain-specialist-at-confidential-jobs-4181500292?position=11&pageNum=0&refId=7BaeGKfH%2FB9ZLir5JJ%2BjBg%3D%3D&trackingId=ABcnwvDAKVi2bQSwL4f52A%3D%3D,"This role will have the following, but not limited to these responsibilities:Responsible for the performance of overall Demand &amp; supply planning, vendor and order management.Sales forecast planning from short to long term.Overview demand and supply balancing, supply shortfall and surplus solutions and executions, define supply bottlenecks and provide solutions.The ideal candidate will possess the following qualifications:Bachelor's degree in supply chain/Logistics or equivalent degreeMinimum 5 - 7 years' proven experience in Supply &amp; Demand Planning in a multinational companyStrong communication skills capable of transacting with different internal and external stakeholders, vendors/suppliersAmenable to work on hybrid set up",Supply Chain,National Capital Region (NCR),Full-time,Linkedin,
Supply Chain Operations Specialist,310 Nutrition,https://ph.linkedin.com/jobs/view/supply-chain-operations-specialist-at-310-nutrition-4177540367?position=2&pageNum=0&refId=7BaeGKfH%2FB9ZLir5JJ%2BjBg%3D%3D&trackingId=0gLm18hoJj%2Bv75T6KidkHw%3D%3D,"Job Summary:We are seeking a detail-oriented and highly organized Supply Chain Operations Specialist to optimize and manage our supply chain processes. This role is responsible for overseeing demand planning, procurement, logistics, inventory management, and vendor coordination to ensure the efficient flow of goods and materials.Key Responsibilities:Own &amp; optimize supply chain operations, ensuring efficiency in procurement, inventory and logisticsManage relationships with suppliers (UK, US and China) negotiate pricing and contractsMonitor inventory &amp; forecast demand, ensuring stock availability while minimizing excess.Coordinate shipments from suppliers to warehouses (3PL) and Amazon fulfillment centers.Work with internal teams to align inventory with business goals and marketing campaignsWork with internal teams to align inventory with business goals &amp; marketing campaigns.Identify supply chain risk &amp; implement solutions to prevent disruptionsAnalyze key performance indicators (KPI) to drive operational excellenceImplement &amp; optimize automation tools for inventory tracking, reporting &amp; order processingEnsure compliance with Amazon FBA regulations, EU customs, and marketplace policiesYou’ll be onboarded by a current team member in this role, learning and adapting. You’ll eventually take on all of her responsibilities and replace her in this crucial role.Qualifications &amp; Skills:Bachelor’s degree in Supply Chain Management, Business Administration, Logistics, or a related field.3+ years of experience in supply chain operations or a related role preferably in Ecommerce.Strong analytical and problem-solving skills.Proficiency in supply chain management software and ERP systems.Advance knowledge in Google sheets. ExcelExcellent communication and negotiation skills.Ability to multitask and manage multiple priorities in a fast-paced environment.Strong attention to detail and organizational skills.Knowledge of import/export regulations, transportation, and logistics best practices is a plus.Proven experience in using Clickup, Notion, Asana and Trello or any project management softwareWhat We OfferCompetitive compensation aligned with the role and global benchmarks.A culture that values innovation, collaboration, and efficiency.Remote work flexibility and the tools needed for seamless communication.Opportunities to shape and lead initiatives critical to company success.A dynamic and supportive environment where your contributions make a direct impact.Additional Questions:Yes/No Questions:Do you have experience in supply chain operations? (Yes/No)Are you proficient in using supply chain management software and ERP systems? (Yes/No)Do you have experience in inventory management and procurement? (Yes/No)Have you worked with vendors and suppliers for order fulfillment? (Yes/No)Are you familiar with industry regulations and compliance standards? (Yes/No)Do you have experience in cost-saving initiatives within supply chain operations? (Yes/No)Are you comfortable working in a fast-paced environment with multiple priorities? (Yes/No)Written Questions:Can you describe a time when you identified and resolved a supply chain inefficiency?How do you prioritize tasks when managing multiple supply chain responsibilities?What strategies have you used to negotiate better terms with suppliers?Describe a situation where you had to handle a supply chain disruption. How did you manage it?How do you ensure compliance with industry regulations and company policies in supply chain operations?What tools or software have you used for supply chain management, and how have they improved your efficiency?What do you think is the biggest challenge in supply chain management today, and how would you address it?Note:We would like someone from Temple Webster, Wayfair, Overstock or any big E-commerce company for this position.","Administration & Office Support, Sales",Philippines,Full-time,Linkedin,
Supply Chain and Demand Planning Specialist,LILY ENGLAND,https://ph.linkedin.com/jobs/view/supply-chain-and-demand-planning-specialist-at-lily-england-4157141605?position=3&pageNum=0&refId=7BaeGKfH%2FB9ZLir5JJ%2BjBg%3D%3D&trackingId=1ifzCpaX9fxV9byLFk6JRw%3D%3D,"LILY ENGLAND: The home of trend-led, affordable, vegan beauty tools. Founded in 2015, we've sold over 1M hair brushes worldwide. Our collection includes premium hair brushes, gift sets, and accessories - all cruelty-free, high quality, and Instagram-worthy.The RoleKey Responsibilities Logistics &amp; Freight CoordinationArrange shipping with freight forwarders and obtain multiple freight quotes to ensure cost efficiency.Prepare all necessary shipping and customs documentation (POA, custom forms, etc.).Book inspections, coordinate AGL shipments, and handle shipments from Amazon Warehousing &amp; Distribution (AWD) to FBA. Inventory Management &amp; ForecastingPropose order quantities based on sales forecasts, target metrics, and current inventory levels.Monitor inventory across various channels (Amazon FBA, 3PLs in England and Poland).Track Amazon storage capacity, low inventory, and aging stock to minimize stockouts and reduce excess inventory. Data &amp; ReportingPull data from Amazon Seller Central to generate regular internal reports on sales, inventory, and costs.Track landed COGs (Cost of Goods Sold) and maintain accurate records for financial analysis.Use or maintain forecasting tools (Google Sheets, SoStocked, etc.) to create POs and project inventory needs. Supplier &amp; 3PL ManagementLiaise with Chinese suppliers for FBA labels, shipping arrangements, and production updates.Oversee 3PL operations in England and Poland, ensuring timely delivery and accurate stock levels.Monitor POs, chase up suppliers for on-time delivery, and promptly address any supply chain disruptions. Communication &amp; Team CoordinationProvide weekly supply chain updates via Slack.Host weekly supply chain zoom meetings.Collaborate with the wider team to address challenges, share insights, and optimise processeIdeal ProfileRequired Qualifications &amp; Skills Experience &amp; ExpertiseMinimum 2 years of experience in supply chain, logistics, and/or demand planning (merchandising).Familiarity with Amazon Seller Central (report downloads, basic navigation).Comfortable using collaboration tools such as Slack and ClickUp (or similar project management systems). Technical &amp; Analytical SkillsAdvanced in Google Sheets or data analysis and reporting.Proven ability to forecast demand, manage POs, and coordinate multi-location inventory. Communication &amp; CollaborationExcellent written and spoken English.Ability to communicate clearly with internal teams, suppliers, freight forwarders, and 3PL partners.Strong organizational skills and attention to detail. Availability &amp; LocationMust be based in Asia or Europe, 40 hour week including weekdays 0800-1500 GMT with occasional meetings later. Availability for daily check-ins (Mon, Wed, Thu, Fri at 9:15 AM GMT) and weekly supply chain department meetings.Full-time commitment (no other freelancing or part-time roles), with work tracked via Hubstaff. Culture FitSelf-starter with a proactive mindset and problem-solving attitude.Team player who is consistent and reliable, willing to take ownership of tasks and suggest improvements.Strong negotiation, communication, interpersonal and influencing skillsIf you’re hesitant to speak up, prefer to work in isolation, or shy away from suggesting solutions, this role will NOT suit you. What's on Offer?Opportunity within a company with a solid track record of performanceFantastic work culture","Management, Manufacturing",Philippines,Full-time,Linkedin,
Supply and Demand Planner,Dragon Edge Group,https://www.kalibrr.com/c/naturale-labs-inc-1/jobs/253730/supply-and-demand-planner,"Supply and Demand PlannerFMCG (Fast Moving Consumer Goods) IndustryIntroduction: Welcome to Dragon Edge Group, where innovation and strategic excellence drive the future of premium consumer products. We are excited to offer an incredible opportunity for a results-driven and analytical professional to join our team as Demand &amp; Supply Planner. In this critical role, you will be at the heart of our operations, ensuring seamless demand forecasting, supply planning, and production scheduling. Your expertise will help optimize inventory, meet customer demands, and enhance operational efficiency—all while contributing to our ambitious goal of delivering 100 million DEG products by 2031.Why Join Us:	Drive Operational Excellence: As a Demand &amp; Supply Planner, your expertise will ensure seamless forecasting, inventory optimization, and production planning, directly impacting our mission to deliver 100 million DEG products by 2031 while maintaining world-class efficiency.	Join an Award-Winning Workplace: Be part of a company ranked 2nd Best Place to Work in the Philippines and 8th in APAC, where collaboration, innovation, and growth define our culture.	Shape the Future of FMCG: Work with industry-leading brands and pioneering innovations, optimizing supply chain strategies that drive efficiency, cost savings, and market success in a company that thrives on bold ideas.What We Expect:	Zero Out-of-Stock Incidents: Maintain uninterrupted product availability for our Top 30 SKUs by implementing proactive demand forecasting and supply planning strategies, ensuring seamless inventory management.	100% Production Schedule Adherence: Guarantee smooth and efficient production scheduling by coordinating closely with suppliers, manufacturers, and internal teams, ensuring all timelines are met without delays.	Forecast Accuracy within +/- 25% MAPE: Enhance demand forecasting precision by leveraging data-driven insights and market trends, optimizing inventory levels while minimizing costs and maximizing service levels.Supply and Demand PlannerFMCG (Fast Moving Consumer Goods) IndustryIntroduction: Welcome to Dragon Edge Group, where innovation and strategic excellence drive the future of premium consumer products. We are excited to offer an incredible opportunity for a results-driven and analytical professional to join our team as Demand &amp; Supply Planner. In this critical role, you will be at the heart of our operations, ensuring seamless demand forecasting, supply planning, and production scheduling. Your expertise will help optimize inventory, meet customer demands, and enhance operational efficiency—all while contributing to our ambitious goal of delivering 100 million DEG products by 2031.Why Join Us:	Drive Operational Excellence: As a Demand &amp; Supply Planner, your expertise will ensure seamless forecasting, inventory optimization, and production planning, directly impacting our mission to deliver 100 million DEG products by 2031 while maintaining world-class efficiency.	Join an Award-Winning Workplace: Be part of a company ranked 2nd Best Place to Work in the Philippines and 8th in APAC, where collaboration, innovation, and growth define our culture.	Shape the Future of FMCG: Work with industry-leading brands and pioneering innovations, optimizing supply chain strategies that drive efficiency, cost savings, and market success in a company that thrives on bold ideas.What We Expect:	Zero Out-of-Stock Incidents: Maintain uninterrupted product availability for our Top 30 SKUs by implementing proactive demand forecasting and supply planning strategies, ensuring seamless inventory management.	100% Production Schedule Adherence: Guarantee smooth and efficient production scheduling by coordinating closely with suppliers, manufacturers, and internal teams, ensuring all timelines are met without delays.	Forecast Accuracy within +/- 25% MAPE: Enhance demand forecasting precision by leveraging data-driven insights and market trends, optimizing inventory levels while minimizing costs and maximizing service levels.You Should Have:	Bachelor’s Degree in Industrial Engineering/Logistics or any related courses	With at least 1-2 years related work experience. Experience gained from an FMCG company is a plus.	Excellent Excel proficiency	Operational excellence: results-driven and can lead cross assigned tasks and objectives	In-depth understanding of End2End Supply Chain (SC) with a focus on SC planning techniques to drive value delivery through timely visibility of demand.	Effective and clear communicator - able to influence without formal authority and manage conflicts fairly and productively.	Able to understand business activities, threats, opportunities, demand and targets then translate these into SC demand plans to deliver a safe and effective SC at optimal cost.	Analytical capability specifically on large datasets	Ability to turn numbers/data and information into reliable and valuable insights	Performs trend analysis for key measures and drives continual improvement in standard work processes.	Understand operating strategy and standard work process, and planning parameter.Key Behavioral Competencies:	Strong analytical and data management skills	Strong problem-solving and priority-setting skills	Operational excellence	Effective and clear communicator	Proactive problem solver	Agile and adaptable	Data-driven	Ownership mindsetYou Should Have:	Bachelor’s Degree in Industrial Engineering/Logistics or any related courses	With at least 1-2 years related work experience. Experience gained from an FMCG company is a plus.	Excellent Excel proficiency	Operational excellence: results-driven and can lead cross assigned tasks and objectives	In-depth understanding of End2End Supply Chain (SC) with a focus on SC planning techniques to drive value delivery through timely visibility of demand.	Effective and clear communicator - able to influence without formal authority and manage conflicts fairly and productively.	Able to understand business activities, threats, opportunities, demand and targets then translate these into SC demand plans to deliver a safe and effective SC at optimal cost.	Analytical capability specifically on large datasets	Ability to turn numbers/data and information into reliable and valuable insights	Performs trend analysis for key measures and drives continual improvement in standard work processes.	Understand operating strategy and standard work process, and planning parameter.Key Behavioral Competencies:	Strong analytical and data management skills	Strong problem-solving and priority-setting skills	Operational excellence	Effective and clear communicator	Proactive problem solver	Agile and adaptable	Data-driven	Ownership mindsetHire NowSign UpLogin",Operations,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr,
Demand Planner,Distribution Solutions Phils Inc.,https://www.kalibrr.com/c/distribution-solutions-phils-inc/jobs/253025/demand-planner,"Successfully communicate forecast and inventory estimations to management.Monitor and report on important changes in sales forecasts, budgets, and business strategies.Conduct monthly forecast maintenance.Address demand-related issues in a timely and effective mannerAnalyze key metrics including vendor fill rate, lead time variability, and Forecast (FC) inbound capacity to maintain inventory turns.Identify and communicate current and future inventory issues, as well as developing plans.Participate in cross-functional manufacturer and vendor reviews, driving vendor operational improvement.Participate in innovative, metric trimetric-driven projects to achieve supply chain excellence.Utilize forecasting software and exception reporting to reduce forecast error and achieve category forecast accuracy targets.Determine causes of root error and implement processes to drive operational efficiency.Manage the monthly sales forecast while working alongside supply chain partners and monitoring key metrics.Collaborate with business partners to understand marketing activities, ensure optimal stock levels and plan, and lifecycle management of the product portfolio.Performs other related tasks that may be required from time to time.   Successfully communicate forecast and inventory estimations to management.Monitor and report on important changes in sales forecasts, budgets, and business strategies.Conduct monthly forecast maintenance.Address demand-related issues in a timely and effective mannerAnalyze key metrics including vendor fill rate, lead time variability, and Forecast (FC) inbound capacity to maintain inventory turns.Identify and communicate current and future inventory issues, as well as developing plans.Participate in cross-functional manufacturer and vendor reviews, driving vendor operational improvement.Participate in innovative, metric trimetric-driven projects to achieve supply chain excellence.Utilize forecasting software and exception reporting to reduce forecast error and achieve category forecast accuracy targets.Determine causes of root error and implement processes to drive operational efficiency.Manage the monthly sales forecast while working alongside supply chain partners and monitoring key metrics.Collaborate with business partners to understand marketing activities, ensure optimal stock levels and plan, and lifecycle management of the product portfolio.Performs other related tasks that may be required from time to time.   				College graduate	Good communication	Proven work experience as a Demand Planner or a similar role	Solid understanding of inventory management practices and procedures	Understanding of mathematical and statistical analysis	Have Interpersonal and Communication skills.	Strong knowledge and skills in MS Excel	Customer centric	Relevant training and/or certifications as a Demand Planner	Strong analytical and planning skills;	Good communication and presentation skills;	Excellent problem-solving skills;	Hire NowSign UpLogin",Operations,"Paranaque City, National Capital Region (NCR)",Full-time,Kalibrr,
Procurement Manager,First Gen Corporation,https://www.kalibrr.com/c/first-gas-power-corporation/jobs/253761/procurement-manager,"Key Responsibilities:	Manage assigned purchase requisitions, ensure timely release of purchase orders, and received by the requesting proponents on-time	Develop, hone, and execute effective procurement processes and strategies across the various business units.	Aid in preparation of the business units’ annual procurement plans and executes programs based on inputs provided	Analyze and evaluate external price trends and new product offerings to identify opportunities to reduce overall purchasing costs. Identify opportunities for economies of scale	Maintain and manage strong business relationships with key vendors to uncover and realize potential new value and reduce risks of failureKey Responsibilities:	Manage assigned purchase requisitions, ensure timely release of purchase orders, and received by the requesting proponents on-time	Develop, hone, and execute effective procurement processes and strategies across the various business units.	Aid in preparation of the business units’ annual procurement plans and executes programs based on inputs provided	Analyze and evaluate external price trends and new product offerings to identify opportunities to reduce overall purchasing costs. Identify opportunities for economies of scale	Maintain and manage strong business relationships with key vendors to uncover and realize potential new value and reduce risks of failureQualification Requirements:	Bachelor’s Degree in a Business related course and/or Degree in Supply Chain Management	At least 5-7 years relevant working experience in a centralized Procurement and/or Supply Chain Management setup	Experience in procurement for Power/Operating/Manufacturing Plants	Willing to travel to sitesHire NowSign UpLogin",Operations,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr,1
Property Management Services Manager,"Remedy Skintech, Inc.",https://www.kalibrr.com/c/remedy-skintech-inc/jobs/253562/property-management-services-manager,"The Property Management Services Manager will lead procurement, supply chain, and facilities management efforts to drive operational excellence, cost efficiency, and compliance across our properties. This pivotal role blends strategic oversight with hands-on leadership, managing vendor relationships, facility operations, and team performance while delivering transparent reporting and innovative solutions. Key Responsibilities:	Procurement &amp; Vendor Management:	Design and execute cost-effective procurement strategies that align with organizational goals.	Lead vendor selection, negotiate contracts, and monitor supplier performance for quality and value.	Streamline purchase processes, ensuring compliance with policies and regulatory standards.	Track and report on procurement outcomes, highlighting cost savings and efficiencies.Logistics &amp; Inventory Optimization:	Manage inventory levels, forecast demand, and optimize stock control to support operations.	Develop logistics plans to ensure timely delivery and efficient distribution.	Enhance warehouse and transportation operations to reduce costs and minimize delays.Facilities &amp; Team Leadership:	Oversee facility operations, including maintenance, security, and regulatory compliance.	Cultivate robust, collaborative relationships with landlords and property management teams at our facility locations to ensure seamless operations and mutual success.	Build and mentor high-performing property management teams to achieve operational goals.	Drive sustainable practices and cost-efficient solutions for facility management.	Prepare and execute contingency plans to address emergencies effectively.Performance &amp; Reporting:	Create tracking systems to monitor procurement, supply chain, and facilities performance.	Deliver actionable reports on progress, savings, and process improvements to stakeholders.	Proactively identify challenges and implement solutions to enhance operational success.The Property Management Services Manager will lead procurement, supply chain, and facilities management efforts to drive operational excellence, cost efficiency, and compliance across our properties. This pivotal role blends strategic oversight with hands-on leadership, managing vendor relationships, facility operations, and team performance while delivering transparent reporting and innovative solutions. Key Responsibilities:	Procurement &amp; Vendor Management:	Design and execute cost-effective procurement strategies that align with organizational goals.	Lead vendor selection, negotiate contracts, and monitor supplier performance for quality and value.	Streamline purchase processes, ensuring compliance with policies and regulatory standards.	Track and report on procurement outcomes, highlighting cost savings and efficiencies.Logistics &amp; Inventory Optimization:	Manage inventory levels, forecast demand, and optimize stock control to support operations.	Develop logistics plans to ensure timely delivery and efficient distribution.	Enhance warehouse and transportation operations to reduce costs and minimize delays.Facilities &amp; Team Leadership:	Oversee facility operations, including maintenance, security, and regulatory compliance.	Cultivate robust, collaborative relationships with landlords and property management teams at our facility locations to ensure seamless operations and mutual success.	Build and mentor high-performing property management teams to achieve operational goals.	Drive sustainable practices and cost-efficient solutions for facility management.	Prepare and execute contingency plans to address emergencies effectively.Performance &amp; Reporting:	Create tracking systems to monitor procurement, supply chain, and facilities performance.	Deliver actionable reports on progress, savings, and process improvements to stakeholders.	Proactively identify challenges and implement solutions to enhance operational success.	Proven experience in procurement, facilities management, or supply chain leadership - 5 years of experience desired with at least 2 in a management capacity	Strong negotiation, problem-solving, and team management skills.	Knowledge of safety, environmental, and regulatory standards.	Analytical mindset with a focus on cost efficiency and process optimization.	Work location – Hybrid (4 days at clinic, 1 days wfh) Hire NowSign UpLogin",Operations,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Import Department Buyer,Primal Enterprises Corporation,https://www.kalibrr.com/c/primal-enterprises-corporation/jobs/27767/import-department-buyer,"Position Overview:We are seeking a dynamic and detail-oriented Supply Chain Associate / Import Buyer to join our growing team. The Supply Chain Associate handles communication with global suppliers and assists in the product development cycle. This role is essential in managing the end-to-end supply chain processes, particularly focused on international purchasing, vendor management, and ensuring timely and cost-effective importation of goods. The ideal candidate will have a solid understanding of global supply chains, procurement practices, and import regulations. Key responsibilities include:	Vendor Management: Identify and establish relationships with international suppliers and negotiate pricing, terms, and contracts.	Purchasing &amp; Procurement: Manage the procurement of goods from international markets, ensuring the best quality, price, and delivery terms.	Order Management: Place and track purchase orders, manage order confirmations, and resolve discrepancies with suppliers.	Logistics Coordination: Coordinate shipments with freight forwarders, customs brokers, and suppliers to ensure timely delivery of imported goods.	Import Documentation: Ensure all required documents (commercial invoices, bills of lading, certificates of origin, etc.) are accurate and compliant with international and local regulations.	Inventory Management: Monitor stock levels and work with internal teams to ensure optimal inventory levels are maintained.	Customs Compliance: Ensure adherence to all customs laws, regulations, and import/export guidelines, including tariff classifications and duty calculations.	Cost Control: Analyze and manage procurement costs to align with budgetary goals and maximize savings.	Vendor Performance Evaluation: Track supplier performance, delivery times, and quality, and work with vendors to improve service.	Supply Chain Optimization: Continuously evaluate the supply chain processes and suggest improvements to enhance efficiency and reduce costs.	Risk Management: Identify potential risks in the supply chain (delays, disruptions, etc.) and implement strategies to mitigate them.	Cross-Functional Collaboration: Work closely with internal teams, such as sales, logistics, and finance, to ensure smooth operations and communication across the supply chain.	Reporting: Prepare and present reports on procurement activities, supplier performance, and supply chain metrics.Position Overview:We are seeking a dynamic and detail-oriented Supply Chain Associate / Import Buyer to join our growing team. The Supply Chain Associate handles communication with global suppliers and assists in the product development cycle. This role is essential in managing the end-to-end supply chain processes, particularly focused on international purchasing, vendor management, and ensuring timely and cost-effective importation of goods. The ideal candidate will have a solid understanding of global supply chains, procurement practices, and import regulations. Key responsibilities include:	Vendor Management: Identify and establish relationships with international suppliers and negotiate pricing, terms, and contracts.	Purchasing &amp; Procurement: Manage the procurement of goods from international markets, ensuring the best quality, price, and delivery terms.	Order Management: Place and track purchase orders, manage order confirmations, and resolve discrepancies with suppliers.	Logistics Coordination: Coordinate shipments with freight forwarders, customs brokers, and suppliers to ensure timely delivery of imported goods.	Import Documentation: Ensure all required documents (commercial invoices, bills of lading, certificates of origin, etc.) are accurate and compliant with international and local regulations.	Inventory Management: Monitor stock levels and work with internal teams to ensure optimal inventory levels are maintained.	Customs Compliance: Ensure adherence to all customs laws, regulations, and import/export guidelines, including tariff classifications and duty calculations.	Cost Control: Analyze and manage procurement costs to align with budgetary goals and maximize savings.	Vendor Performance Evaluation: Track supplier performance, delivery times, and quality, and work with vendors to improve service.	Supply Chain Optimization: Continuously evaluate the supply chain processes and suggest improvements to enhance efficiency and reduce costs.	Risk Management: Identify potential risks in the supply chain (delays, disruptions, etc.) and implement strategies to mitigate them.	Cross-Functional Collaboration: Work closely with internal teams, such as sales, logistics, and finance, to ensure smooth operations and communication across the supply chain.	Reporting: Prepare and present reports on procurement activities, supplier performance, and supply chain metrics.Qualifications:	Education: Bachelor’s degree in Supply Chain Management, Business Administration, International Business, or a related field.	Experience: 2-4 years of experience in supply chain management, procurement, or import/export operations.	Knowledge of International Trade: Familiarity with Incoterms, customs regulations, and import/export procedures.	Software Proficiency: Experience with supply chain management software (e.g., Sap, Oracle, or other Erp systems) and Microsoft Excel.	Analytical Skills: Strong analytical and problem-solving abilities, with a focus on cost control and process optimization.	Negotiation Skills: Excellent negotiation skills to secure favorable terms and pricing from suppliers.	Attention to Detail: High initiative and strong organizational skills with a high level of accuracy in managing documentation and compliance.	Communication Skills: Strong written and verbal communication skills for collaborating with suppliers and internal teams.	Multitasking Ability: Ability to manage multiple priorities and work in a fast-paced environment.	Language Skills: Strong oral and written ability in English; Mandarin Chinese proficiency a big advantage. Preferred Skills:	Experience working with global suppliers, particularly in Asia, Europe, or other key international markets.	Knowledge of import duties, tariffs, and trade agreements. What We Offer:	Competitive salary commensurate with experience and result of evaluation	Comprehensive benefits package (meal and transportation subsidies after regularization and bonuses and HMO after evaluation)	Supportive, collaborative, inclusive, and dynamic work environment	No forced dances and performances! If you are a motivated individual with a passion for supply chain management and international procurement, we encourage you to apply. Qualifications:	Education: Bachelor’s degree in Supply Chain Management, Business Administration, International Business, or a related field.	Experience: 2-4 years of experience in supply chain management, procurement, or import/export operations.	Knowledge of International Trade: Familiarity with Incoterms, customs regulations, and import/export procedures.	Software Proficiency: Experience with supply chain management software (e.g., Sap, Oracle, or other Erp systems) and Microsoft Excel.	Analytical Skills: Strong analytical and problem-solving abilities, with a focus on cost control and process optimization.	Negotiation Skills: Excellent negotiation skills to secure favorable terms and pricing from suppliers.	Attention to Detail: High initiative and strong organizational skills with a high level of accuracy in managing documentation and compliance.	Communication Skills: Strong written and verbal communication skills for collaborating with suppliers and internal teams.	Multitasking Ability: Ability to manage multiple priorities and work in a fast-paced environment.	Language Skills: Strong oral and written ability in English; Mandarin Chinese proficiency a big advantage. Preferred Skills:	Experience working with global suppliers, particularly in Asia, Europe, or other key international markets.	Knowledge of import duties, tariffs, and trade agreements. What We Offer:	Competitive salary commensurate with experience and result of evaluation	Comprehensive benefits package (meal and transportation subsidies after regularization and bonuses and HMO after evaluation)	Supportive, collaborative, inclusive, and dynamic work environment	No forced dances and performances! If you are a motivated individual with a passion for supply chain management and international procurement, we encourage you to apply. Hire NowSign UpLogin",Operations,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr,1
Order Management Intern,PSB Technology Services Inc.,https://www.kalibrr.com/c/pioneer-square-brands-technology-services-inc/jobs/253775/order-management-intern,"Job Responsibilities:	Assist in purchase order and sample order creation, review, release and transmit to warehouse for fulfillment	Invoice inspection, timely processing	Proactive inventory communication to OEM and International partners	Support all International business including special pricing, quotes, freight estimates	Support weekly open order review and inspection, communication to partners	Document all recurring procedures to ensure that this function could be effectively handed over to a replacement or back up (temporarily or permanently)	Understand and continually review business processes for improvement.	Proactively work with allocation work group to ensure accuracy and effectiveness of the process	Other relevant tasks that may be assignedJob Responsibilities:	Assist in purchase order and sample order creation, review, release and transmit to warehouse for fulfillment	Invoice inspection, timely processing	Proactive inventory communication to OEM and International partners	Support all International business including special pricing, quotes, freight estimates	Support weekly open order review and inspection, communication to partners	Document all recurring procedures to ensure that this function could be effectively handed over to a replacement or back up (temporarily or permanently)	Understand and continually review business processes for improvement.	Proactively work with allocation work group to ensure accuracy and effectiveness of the process	Other relevant tasks that may be assignedJob Requirements:	Supply chain, logistics, or order management background	Good communication skills	High attention to detail	Willingness to work on night shift and hybrid work model at Silver CityWe accept voluntary internship applications!Hire NowSign UpLogin",Operations,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr,
Procurement Manager,AP Cargo Logistic Network Corporation,https://www.kalibrr.com/c/ap-cargo-logistic-network-corporation/jobs/253467/procurement-manager,"Major ResponsibilitiesStrategic Sourcing &amp; Procurement	Develop and implement procurement strategies that are aligned with company goals.	Identify and source new suppliers while maintaining and strengthening relationships with current suppliers.	Ensure procurement policies and procedures comply with industry regulations and company standards.	Monitor trends in the market to identify cost-saving opportunities and ensure competitive pricing.	Negotiate and manage contracts, ensuring that agreements meet the business's quality, cost, and delivery expectations.Supplier &amp; Vendor Management	Negotiate and manage contracts, ensuring that agreements meet the business's quality, cost, and delivery expectations.	Conduct regular performance evaluations of suppliers based on delivery, quality, and cost-effectiveness.	Mitigate risks by ensuring supplier diversity and reducing dependency on single-source suppliers.Cost Control &amp; Budgeting	Develop and manage procurement budgets to control costs while meeting operational needs.	Identify opportunities for cost reduction, process improvement, and value maximization.	Monitor spend analysis and report on key metrics to identify areas for savings.Process Optimization &amp; Compliance	Oversee the development and improvement of procurement processes, ensuring transparency, efficiency, and accountability.	Ensure compliance with company policies, ethical practices, and regulatory requirements.	Implement procurement best practices to optimize procurement workflows and reduce procurement cycle times.Minor ResponsibilitiesTeam Leadership &amp; Development	Lead and manage the procurement team, providing guidance, training, and development opportunities.	Build a high-performing procurement function through effective leadership and continuous improvement.	Foster collaboration with cross-functional teams such as finance, operations, and legal to achieve overall business goals.Risk Management:	Identify potential supply chain risks and develop mitigation strategies.	Ensure contingency plans are in place to address disruptions in the supply chain.Major ResponsibilitiesStrategic Sourcing &amp; Procurement	Develop and implement procurement strategies that are aligned with company goals.	Identify and source new suppliers while maintaining and strengthening relationships with current suppliers.	Ensure procurement policies and procedures comply with industry regulations and company standards.	Monitor trends in the market to identify cost-saving opportunities and ensure competitive pricing.	Negotiate and manage contracts, ensuring that agreements meet the business's quality, cost, and delivery expectations.Supplier &amp; Vendor Management	Negotiate and manage contracts, ensuring that agreements meet the business's quality, cost, and delivery expectations.	Conduct regular performance evaluations of suppliers based on delivery, quality, and cost-effectiveness.	Mitigate risks by ensuring supplier diversity and reducing dependency on single-source suppliers.Cost Control &amp; Budgeting	Develop and manage procurement budgets to control costs while meeting operational needs.	Identify opportunities for cost reduction, process improvement, and value maximization.	Monitor spend analysis and report on key metrics to identify areas for savings.Process Optimization &amp; Compliance	Oversee the development and improvement of procurement processes, ensuring transparency, efficiency, and accountability.	Ensure compliance with company policies, ethical practices, and regulatory requirements.	Implement procurement best practices to optimize procurement workflows and reduce procurement cycle times.Minor ResponsibilitiesTeam Leadership &amp; Development	Lead and manage the procurement team, providing guidance, training, and development opportunities.	Build a high-performing procurement function through effective leadership and continuous improvement.	Foster collaboration with cross-functional teams such as finance, operations, and legal to achieve overall business goals.Risk Management:	Identify potential supply chain risks and develop mitigation strategies.	Ensure contingency plans are in place to address disruptions in the supply chain.	Ability to plan, organize and systematize tasks.	Strong negotiation and contract management skills.	Analytical mindset with strong problem-solving capabilities.	Excellent problem-solving skills;	Excellent leadership and people management skills.Hire NowSign UpLogin",Operations,"Pasay City, National Capital Region (NCR)",Full-time,Kalibrr,
