title,company,link,job_desc,job_func,location,job_type,source
Medical Representative: (1) ILOCOS,Troikaa Pharmaceuticals Philippines Inc.,https://ph.jobstreet.com/job/82745311?type=standard&ref=search-standalone&origin=cardTitle#sol=e67a947412ec5a93d68cce04962ab3cbf6ada735,"Job Responsibilities:Visits and details regularly to doctors, pharmacists &amp; paramedics.Conduct promotional activities such as Continuing Medical Education Activities.Monitors sales, product movements and inventory levels at the hospitals and pharmacies.Identifies competitive information and conducts competitor benchmarkingAccount management.Coordinates with distributors to ensure availability of products in all outlets (drugstore and hospitals).Prepares and submits required operational reports.Adheres to company values, procedures and policies on expense report, call reporting, etc. at all times.Ensure company policies and procedures are adhered at all times.Qualifications:Graduate of any four year course.With at least 1-2 years of Pharma experience.With PRC license is advantageRequired Skill(s): Fast learner, Good communication, Flexible, Driven and Results oriented.Preferably living in that vacant area.&nbsp;&nbsp;",Healthcare,Ilocos Region (Region I),Full-time,Jobstreet
PHARMACIST-CEBU CITY,HDI World Phils Inc.,https://ph.jobstreet.com/job/83262154?type=standard&ref=search-standalone&origin=cardTitle#sol=a5357b3f367fddf0e2dbeb6e7ef8e68e3dc0cf79,"Responsibilities:Performs preparation of product documents and regulatory compliance;Coordinates with government agencies on product registration and appropriate licenses;Attends to FDA visit and inspection;Complies with necessary regulations;Communicates product information;Conducts training sessions to promote the product, its composition, and healthcare benefits;Works with Business Development Officer in developing strategies to ensure that product information is consistently communicated;Processes Sales transactions.Requirements:BS Pharmacy GraduateRegistered PharmacistMinimum two (2) years of relevant experienceKnowledge in pharmaceutical products, product information, and healthcare benefits, and product competitors’ information",Healthcare,Central Visayas (Region VII),Part-time,Jobstreet
Regulatory Affairs (Healthcare) | HYBRID | HMO on Day 1!,"Manpower Outsourcing Services, Inc.",https://ph.jobstreet.com/job/82673090?type=standard&ref=search-standalone&origin=cardTitle#sol=3c8cdb5c9dd8b1e5a0365c81a1147f4006d3fa58,"Job Description:&nbsp;• Dossier elaboration, evaluation and timely dispatch for regulatory submission in accordance to local regulations with agreed business priorities to ensure compliance of all assigned products in the countries responsible (including but not limited to ASEAN, India, Taiwan, Hong Kong).&nbsp;• To assist with the development of optimal regulatory strategies in collaboration with key internal stakeholders to drive submission and approvals in accordance with agreed business priorities.&nbsp;• Keep up-to-date with developments in regulatory affairs and assist with implementation of any required revisions to systems and processes.&nbsp;• Ensure the quality of final dossiers sent, after considering TRT (thoughtful risk taking) approach with full alignment with the country.&nbsp;• Manage the response of deficiency letters from HAs of the countries in charge (review information, coordinate time of response) according to the requirements of the affiliates and regulatory authorities on time.&nbsp;• Ensure the delivery of the dossier to the affiliate, with risk assessment (and TRT), if applicable, and in full alignment with business priorities.&nbsp;• Keep track of planned dispatches/renewals and variations, provide support for deviations.&nbsp;• Provide accurate and timely information to ensure regulatory database is updated (as applicable).&nbsp;• Ensure timely dispatch, tracking and archiving of dossier to the countries responsible and timely update of global database/repository where applicable.&nbsp;&nbsp;Qualifications:&nbsp;An academic degree on health sciences, life sciences, regulatory affairs (eg. Physician, Pharmacist, Veterinarian or Scientific background, as applicable based on countries’ jurisdiction)&nbsp;Minimum of 2 years’ experience from the pharmaceutical or healthcare sector.Strong knowledge of regulatory requirements for variations/ post approval changes (labeling, CMC, administrative), product renewal, and site registration/renewal for Philippines.&nbsp; Experience and knowledge of regulatory requirements for other Asian countries is an advantage.&nbsp;Good level of spoken and written English.",Healthcare,,,Jobstreet
Pharmacy Associate,"IQVIA SOLUTIONS OPERATIONS CENTER PHILIPPINES, INC.",https://ph.jobstreet.com/job/83106676?type=standard&ref=search-standalone&origin=cardTitle#sol=8c2edc3b5e97d1e0b3f6b9254993b5dc12c61340,"Principal Accountabilities:Perform maintenance of reference data (Product) as required for AU/NZ Production.Performs research (e.g. internet search, source books, manufacturer websites etc.) to gather information from third parties that will augment the completeness or accuracy of IQVIA reference data.Follows standard practices and procedures in analysing situations or data from which answers can be readily obtained.Solicits information from other IQVIA departments to identify when and how to correct inaccurate data, delete data, or add new entries to make the reference files more complete.&nbsp;Receives input to the reference process from other IQVIA production processes.Validates that the information gathered from third-party sources represents accurate new data that should result in a change, addition, or deletion in IQVIA’s existing reference data.Identifies required changes to the existing reference file.Updates IQVIA reference file(s) and databases.Produces files and outputs for specified production and quality control processes, client support activities, etc.&nbsp;Responds to queries on reference data (as required).Minimum Education, Experience, &amp; Specialized Knowledge Required:Bachelor’s degree or equivalent in Pharmacy, Nursing, or related fieldsPreferably at least 1-year experience with Production and with clear understanding of the different processes and dynamics within the group.Previous experience in any medical account would be an advantageStrong interpersonal and written and verbal communication skills.Strong customer focus, an attention to detail and excellent analytical and problem-solving skillsAbility to proactively identify complex problems and needs and develop solutions/recommendations to solve problems.Ability to work under time constraints and changing work volumesStrong PC literacy skills including Word, Excel and Access, with an understanding of relational databasesAdditional Requirements:The job requires flexibility to transition to a new project will require quick grasp on different processes from time to time.Specialized knowledge of an area of the company's products, pharmaceutical industry or field specific to a major function",Healthcare,,,Jobstreet
Licensed Pharmacist,Southstar Drug,https://ph.linkedin.com/jobs/view/licensed-pharmacist-at-southstar-drug-4182669606?position=24&pageNum=0&refId=9Fn%2BDQ5okKljJJCEW7Ftag%3D%3D&trackingId=bcJIsSyqoUHa5gf60QTtvQ%3D%3D,Why join Southstar Drug?Perks And Benefits✔️ 20k SIGNING BONUS✔️ Competitive Salary &amp; Benefits✔️ 5 days compressed work week schedule✔️ Exclusive Employee Discounts and Offer✔️ Leave Benefits upon regularization✔️ Health Insurance✔️ Annual Medicine Reimbursement✔️ Annual Merit Increase✔️ Position / Professional Allowance✔️ Relocation &amp; Lodging Allowance✔️ Retirement Benefits✔️ Career Growth and Advancement✔️ Sponsored Trainings and Seminars with CPD Units✔️ Annual Pharmacists Summit/Convention with CPD Units (no training bond)Qualifications Must be a Licensed Pharmacist New board passers are encouraged to apply Willing to work in the community setting,Health Care Provider,Other,Full-time,Linkedin
Pharmacist,The Aivee Group,https://ph.linkedin.com/jobs/view/pharmacist-at-the-aivee-group-4192367880?position=15&pageNum=0&refId=9Fn%2BDQ5okKljJJCEW7Ftag%3D%3D&trackingId=9WDX%2FyntfVfqdgZ%2BMDipkA%3D%3D,"The Pharmacist is responsible for ensuring the safe and effective preparation, dispensing, and management of medications, particularly those used in aesthetic treatments. This role requires a strong understanding of pharmaceuticals related to dermatology, cosmetic procedures, and regenerative medicine. The Pharmacist will work closely with physicians, aesthetic practitioners, and clients to provide expert advice on medication usage, safety, and compliance with regulatory requirements.1. Prescription Review &amp; DispensingReview and validate physician prescriptions for accuracy, appropriateness, and legality.Detect and prevent therapeutic incompatibilities or potential adverse drug interactions.Prepare and dispense medications, ensuring precise compounding, packaging, and labeling according to industry standards.2. Medication Management &amp; Inventory ControlOrganize and maintain the pharmacy efficiently for easy identification and retrieval of products.Monitor stock levels and ensure proper storage conditions to prevent medication deterioration or expiration.Manage inventory of specialized aesthetic medications, including botulinum toxin, dermal fillers, and regenerative products.3. Patient &amp; Client ConsultationProvide expert advice to clients and practitioners on the safe and effective use of medications for aesthetic treatments.Address client inquiries, clarify treatment protocols, and offer guidance on possible side effects.Educate patients on post-treatment care and medication adherence for optimal aesthetic outcomes.4. Compliance &amp; Safety StandardsEnsure strict adherence to all legal regulations and industry guidelines related to pharmaceutical and aesthetic medicine practices.Maintain accurate records of prescriptions, controlled substances, and other high-risk medications.Implement and uphold best practices in pharmaceutical safety and sterility protocols.5. Professional Development &amp; CollaborationStay updated with the latest advancements in aesthetic medicine, dermatological treatments, and pharmaceutical innovations.Participate in conferences, seminars, and professional training to enhance industry knowledge.Collaborate with aesthetic doctors, dermatologists, and medical professionals to optimize patient treatment plans.6. Additional ResponsibilitiesPerform other tasks and duties assigned by the Immediate Head and/or Management as needed.Qualifications &amp; Skills:Licensed Pharmacist with a valid professional registration.Experience in the aesthetic, dermatological, or cosmetic industry is an advantage.Strong knowledge of compounding and dispensing medications related to aesthetic procedures.Excellent organizational and inventory management skills.Strong communication and interpersonal skills for client interactions.Detail-oriented with a commitment to safety and compliance.",Health Care Provider,National Capital Region (NCR),Full-time,Linkedin
Pharmacist,Asiatrends Import and Export Corp,https://ph.jobstreet.com/job/83300103?type=standard&ref=search-standalone&origin=cardTitle#sol=13c29ffd01249549ab6a6255a0bb6941b4a5619c,"Responsibilities:Product registration and accreditation with FDA and other government authoritiesInvolved in sourcing local and overseas suppliers and develop more products to add to our regular product offerings&nbsp;&nbsp;Assist and coordinate with sales people and clients in reference to their product inquiries and sales fulfillment&nbsp;Assist in purchasing from suppliersContinuously trade-check and research on competitor product lines and offerings and collaborate with marketing and sales teams and propose similar, better or unique offersRequirements:Must be a Registered PharmacistKnowledgeable with FDA rulings, procedures, regulatory requirements and complianceExperienced in connecting with FDA for initial registration and renewal of CPRs &amp; CPNWith knowledge with Excel, Word, PowerPoint, Google Sheets, DocsWilling to work in Sta. Mesa, ManilaOur company offers:Good salary and compensation packageAll mandatory benefits (SSS, PHIC, HDMF)13th month pay, paid holidays, Leave benefitsAdditional benefits (Health Card / HMO)Monthly Sports Activities (Basketball, Volleyball, Badminton &amp; etc.)Office Address:Asia Trends Import &amp; Export Corp#3453-55 V. Mapa St., Sta. Mesa, ManilaLandmarks: Illumina Condominium, Don Bosco Manila, Lourdes HospitalContact Numbers:0917-164-2202 , 0917-628-2372 , 0917- 708-9685 or 0998 594 9700Look for Ms. Romina, Ms. Czarina or Ms. ChristineEmail your most updated resume to resume@asiatrendscorp.com or johnny@asiatrendscorp.comIf none of the above answer you back, you may contact 0917 1100 752Salary package &amp; other benefits will be discussed &amp; finalized during the interviewWe welcome applicants from all over the country. For applicants from outside Metro Manila or if you have a current job and cannot make it to our face to face interview, we can schedule an online interview after office hours and during holidays.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Regulatory Specialist,TOTAL NUTRITION CORPORATION,https://ph.jobstreet.com/job/83293732?type=standard&ref=search-standalone&origin=cardTitle#sol=05362d151d1398cad1ff130b1ac22ca987ea739c,"Job descriptionRegulatory Specialist1. Food Registrations (FDA) – review and preparation of documents and actual sample for submission· Initial Applications· Renewal Applications· Reapplications (submissions with compliance)2. LTO (FDA) – communicate with front end staff regarding FDA concerns· Initial Applications· Renewal Applications· Variations (Notice of Change of Pharmacist, transfer of location)· CAPA (compliance during inspection)3. Attend meetings/seminars within and outside the organization as advised by the immediate superior4. Assist customers / inform product knowledge if neededREQUIREMENTS / QUALIFICATIONS· Ability to work efficiently in a high-pressure, fast-paced, deadline-driven environment.· Good written and verbal communication skills.· Excellent people skills to interact with colleagues· FDA Guidelines·BS PHARMACY Graduate·Pharmacist’s Licensure Exam Passer· At least 2yrs Experience in IndustryJob Types : Full Time",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Registered Pharmacist,Pointwest Innovations Corp.,https://ph.jobstreet.com/job/82574222?type=standard&ref=search-standalone&origin=cardTitle#sol=f1fdfe1ac50ca479f4eebf0ebe68703ad5d0721a,"PHARMACIST JOB DESCRIPTIONJob Duties and ResponsibilitiesReview drug coverage plan specifications through the appropriate client tools.Maintain drug file components according to specifications and using specification tools.Perform client deployment activitiesAssemble documentation and data filesDeploy files into specified environment/locationPerforms all maintenance, support, and administration in addition to consultative services related to the establishment of clinical plans and rulesParticipate in direct client communication such as (but not limited to) requirements meeting/verification and status reporting.Participate in code review or verification activities and document errors identified.Counter-check reported errors by analyzing, making appropriate changes, and rechecking the output to ensure that the desired results are produced.&nbsp;QualificationsBachelor’s degree in pharmacy or pharmacology.Valid license to practice as a pharmacist.Excellent verbal and written communication skills.Strong attention to detail and problem-solving abilities.Excellent communication skills for direct client communication, reporting, and collaboration.Ability to work independently as well as part of a multidisciplinary team.Time management and organizational skills to handle multiple tasks efficiently.",Healthcare,"Manila City, National Capital Region (NCR)",Contract/Temporary,Jobstreet
URGENT: Company Pharmacist,"Folares Pharmaceuticals, Inc.",https://ph.jobstreet.com/job/82783640?type=standard&ref=search-standalone&origin=cardTitle#sol=d7bcf03ad103719fa4252c9c7455ceb32a18edf4,"&nbsp;Regulatory officer for FDA affairs; facilitates renewal of licenses (LTO) and other regulatory licenses, facilitates timely registration of products at FDA, preparation of product requirements from FDA registrationProvide the company with technical expertise necessary for the improvement of Management functions in areas of: Product Management, Product Development, and TrainingDemonstrates skills and knowledge in contemporary pharmacy practicePotential to handle Product management position in three (3) years&nbsp;REQUIREMENTSCandidate must possess at least a Bachelor's degree in Pharmacy with professional licenseMeticulous systematic, well-organized, and has strong leadership qualitiesFresh graduates are welcome to apply&nbsp;Competitive salary and benefit package offered to qualified candidates.HMO and Life InsurancePerformance Bonus and IncentivesAnnual Merit IncreaseOpportunities for career growth&nbsp;Interested applicants must have the following requirements:1. One (1) copy of updated resume&nbsp;2. One (1) photocopy of Transcript of Records3. Application letter/Cover Letter (addressed to MR. RUDY VERANO -CEO)&nbsp;FOLARES PHARMACEUTICALS, INC.2nd Floor SEDCCO 1 Bldg., 120 Rada St., Legaspi Village Makati City",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
