title,company,link,job_desc,job_func,location,job_type,source
Medical Allied Graduate | Hybrid Work Setup | Davao City!,"Optum, a UnitedHealth Group Company",https://ph.jobstreet.com/job/82928455?type=standard&ref=search-standalone&origin=cardTitle#sol=4725a5e6908d28179df67111aeddb7f336833821,"ROLE AND RESPONSIBILITIESJobs in this function provide (outpatient) coding and coding auditing services directly to providers. This includes the analysis and translation of medical and clinical diagnoses, procedures, injuries, or illnesses into designated numerical codes.Your role is critical in allowing our members, families, facilities and health professionals to have greater confidence in the exceptional care we provide. And for you, an everyday opportunity to do your life’s best work.SM&nbsp;JOB QUALIFICATIONSA graduate of any 4-year Medical Allied Course (BS Nursing, BS Pharmacy, BS Medical Technology, BS Physical Therapy, BS Radiology, BS Rad Tech, BS Physiotherapy, BS Laboratory Technology, BS Medicine, etc.).Undergraduate are welcome to applyAdept with medical terminologiesMust be willing to commit for long term employment&nbsp;WHAT WE OFFERMarket Total Rewards PackageHybrid Work Set-upRetirement PlanMedical Plan (HMO) from Day 1 of employmentDental, Medical, and Optical ReimbursementsLife and Disability InsurancePaid Time-Off BenefitsSick Leave ConversionTuition Fee ReimbursementEmployee Assistance Program (EAP)Annual Performance Based Merit IncreasesEmployee RecognitionTraining and Staff DevelopmentEmployee Referral ProgramEmployee Volunteerism OpportunityAll Mandatory Statutory Benefits&nbsp;WHO WE AREOptum&nbsp;is the health care technology and innovation company of the UnitedHealth Group enterprise along with UnitedHealthcare.UnitedHealth Group&nbsp;is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.We’re a leading health solution and care delivery organization. Our work is complex, but our mission is simple: create a healthier world, with you at the center.As part of a Fortune 5 enterprise, we are improving the health care experience of over 125 million people around the world.We’re a diverse team with operations across North America, South America, Europe, Asia Pacific and the Middle East. This includes our over 25,000 employees in the Philippines.Elevate your career with a leading health care company while improving lives.Join us in evolving health care so everyone can have the opportunity to live their healthiest life. This is your opportunity to be part of a team that’s dedicated to Caring. Connecting. Growing together",Healthcare,,,Jobstreet
Medical Allied Graduate | Hybrid Work Setup | Day Shift!,"Optum, a UnitedHealth Group Company",https://ph.jobstreet.com/job/82965557?type=standard&ref=search-standalone&origin=cardTitle#sol=97379e5bf5f89f48c8cb40df2fc39d4611386957,"ROLE AND RESPONSIBILITIESJobs in this function provide (outpatient) coding and coding auditing services directly to providers. This includes the analysis and translation of medical and clinical diagnoses, procedures, injuries, or illnesses into designated numerical codes.Your role is critical in allowing our members, families, facilities and health professionals to have greater confidence in the exceptional care we provide. And for you, an everyday opportunity to do your life’s best work.SM&nbsp;JOB QUALIFICATIONSA graduate of any 4-year Medical Allied Course (BS Nursing, BS Pharmacy, BS Medical Technology, BS Physical Therapy, BS Radiology, BS Rad Tech, BS Physiotherapy, BS Laboratory Technology, BS Medicine, etc.).Underboard are welcome to applyAdept with medical terminologiesMust be willing to commit for long term employment&nbsp;WHAT WE OFFERMarket Total Rewards PackageHybrid Work Set-upRetirement PlanMedical Plan (HMO) from Day 1 of employmentDental, Medical, and Optical ReimbursementsLife and Disability InsurancePaid Time-Off BenefitsSick Leave ConversionTuition Fee ReimbursementEmployee Assistance Program (EAP)Annual Performance Based Merit IncreasesEmployee RecognitionTraining and Staff DevelopmentEmployee Referral ProgramEmployee Volunteerism OpportunityAll Mandatory Statutory Benefits&nbsp;WHO WE AREOptum&nbsp;is the health care technology and innovation company of the UnitedHealth Group enterprise along with UnitedHealthcare.UnitedHealth Group&nbsp;is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.We’re a leading health solution and care delivery organization. Our work is complex, but our mission is simple: create a healthier world, with you at the center.As part of a Fortune 5 enterprise, we are improving the health care experience of over 125 million people around the world.We’re a diverse team with operations across North America, South America, Europe, Asia Pacific and the Middle East. This includes our over 25,000 employees in the Philippines.Elevate your career with a leading health care company while improving lives.Join us in evolving health care so everyone can have the opportunity to live their healthiest life. This is your opportunity to be part of a team that’s dedicated to Caring. Connecting. Growing together",Healthcare,,,Jobstreet
Medical Allied Graduate | Hybrid Work Setup | Day 1 HMO!,"Optum, a UnitedHealth Group Company",https://ph.jobstreet.com/job/82904674?type=standard&ref=search-standalone&origin=cardTitle#sol=a3bd2f135e47404a4ef3fc926358ca2ba9c9e23e,"ROLE AND RESPONSIBILITIESJobs in this function provide (outpatient) coding and coding auditing services directly to providers. This includes the analysis and translation of medical and clinical diagnoses, procedures, injuries, or illnesses into designated numerical codes.Your role is critical in allowing our members, families, facilities and health professionals to have greater confidence in the exceptional care we provide. And for you, an everyday opportunity to do your life’s best work.SM&nbsp;JOB QUALIFICATIONSA graduate of any 4-year Medical Allied Course (BS Nursing, BS Pharmacy, BS Medical Technology, BS Physical Therapy, BS Radiology, BS Rad Tech, BS Physiotherapy, BS Laboratory Technology, BS Medicine, etc.).Underboard are welcome to applyAdept with medical terminologiesMust be willing to commit for long term employment&nbsp;WHAT WE OFFERMarket Total Rewards PackageHybrid Work Set-upRetirement PlanMedical Plan (HMO) from Day 1 of employmentDental, Medical, and Optical ReimbursementsLife and Disability InsurancePaid Time-Off BenefitsSick Leave ConversionTuition Fee ReimbursementEmployee Assistance Program (EAP)Annual Performance Based Merit IncreasesEmployee RecognitionTraining and Staff DevelopmentEmployee Referral ProgramEmployee Volunteerism OpportunityAll Mandatory Statutory Benefits&nbsp;WHO WE AREOptum&nbsp;is the health care technology and innovation company of the UnitedHealth Group enterprise along with UnitedHealthcare.UnitedHealth Group&nbsp;is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.We’re a leading health solution and care delivery organization. Our work is complex, but our mission is simple: create a healthier world, with you at the center.As part of a Fortune 5 enterprise, we are improving the health care experience of over 125 million people around the world.We’re a diverse team with operations across North America, South America, Europe, Asia Pacific and the Middle East. This includes our over 25,000 employees in the Philippines.Elevate your career with a leading health care company while improving lives.Join us in evolving health care so everyone can have the opportunity to live their healthiest life. This is your opportunity to be part of a team that’s dedicated to Caring. Connecting. Growing together",Healthcare,,,Jobstreet
Urgent - Medical Chronologist | 40k package - Makati,"Peak Outsourcing, Inc.",https://ph.jobstreet.com/job/82731876?type=standard&ref=search-standalone&origin=cardTitle#sol=f30a5f184082f60a99b3d65d3ab634a5164c212d,"About usPeak Outsourcing, Inc. is a leading provider of healthcare management solutions, specialising in medical record management and chronology services. With a strong commitment to quality and innovation, we partner with healthcare organisations to streamline their operations and enhance patient care. Join our talented team and contribute to our mission of delivering exceptional medical record services.Job SummaryThe position of chronologist consists of examining and analyzing medical and billing records to produce a chronology that serves as a tool to assist medical experts and practitioners in reviewing medical legal matters dealing with personal injury and malpractice cases.Responsibilities and DutiesReview, analyze and extract important medical data from all records received to create an organized chronology report about the medical care provided to an injured claimant before and after the injury dateExamine medical billing records and summarize costs for review by the medical expertExamine medical records to ensure recording of transaction and continuity of health care, noting omissions and/or gaps in treatmentPrepare detailed summaries of all records reviewed in the proprietary templateExamine whether the chronology objectives are clearly achieved and reflect all policies and procedures established by managementExamine whether the chronology addressed the scope provided by attorney/ clientsComply with established deadlines and timeframes to complete records reviewReview additional medical records, as provided, to supplement the original chronologies&nbsp;Education and/or ExperienceA Bachelor’s degree or Associate's degreePreferably with legal nurse consultant experience orHealth Information Specialist/TechnologistComputer Skills with high proficiency with MS Office and Adobe.Apply now to become our next Medical Chronologist!&nbsp;",Healthcare,,,Jobstreet
"MedTech for Bridgetown, QC Site! (Biorisk and Biosafety)",Concentrix Philippines,https://ph.jobstreet.com/job/82783424?type=standard&ref=search-standalone&origin=cardTitle#sol=cfaa4e5e6f801685b2ec53d8b91925f991514079,"Qualifications:Bachelor’s degree in medical technology&nbsp;Current PRC license as a Registered Medical Technologist (RMT)&nbsp;At least 2 years of work experience in a primary laboratory (excluding internship)&nbsp;Proficient in clinical laboratory procedures, equipment, and instrumentation&nbsp;Ability to navigate computer systems and software for performing laboratory tests accurately and efficiently (Laboratory Information System) and equipped with basic computer skills (MS Word/Excel, Outlook)&nbsp;Can work independently or with minimal supervision and handle multiple tasks efficiently&nbsp;Effective communication and teamwork collaboration skills&nbsp;Job Description:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Maintains confidentiality of patient records and information at all times•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Performs a wide range of laboratory tests and procedures, including but not limited to hematology,microscopy, chemistry•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Executes universal standard precautions in specimen extraction/collection, handling and disposal of hazardous waste like specimens, sharps, and containers•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Operates and maintains laboratory equipment, ensuring accuracy and reliability of test results•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Follows established protocols and procedures and adheres to laboratory safety and infection control protocols•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Conducts regular internal quality control checks on equipment, reagents, consumables, and instruments&nbsp;•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Evaluates test results, flags down findings beyond the normal range and escalates to healthcare providers accurately and promptly•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Maintains accurate records of tests performed and results obtained&nbsp;•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Monitors inventory of consumables and reagents and ensures that stocks do not go beyond agreed upon reorder point•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Prepares &amp; submits request for purchase to OM on a monthly scheduled basis for supplies/consumables replenishment•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Monitors preventive maintenance schedule of all laboratory equipment, troubleshoots minor machine deficiencies at his/her level, escalates and identifies problems needing external service in a timely manner•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Receives endorsements from previous shift and prepares organized endorsement to the next shift•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ensures cleanliness and orderliness of the laboratory space upon turnover or upon start of shift•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Stays abreast with advances in laboratory technology and maintains licensure and certification requirements•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Assists Clinic Operations Manager in preparing all DOH documents necessary for regulatory compliance•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Participates in external proficiency testing programs (NEQAS)",Sciences,,,Jobstreet
Licensed Medical Technologist - Application Specialist (San Juan),ALLIAH,https://ph.linkedin.com/jobs/view/licensed-medical-technologist-application-specialist-san-juan-at-alliah-4189760178?position=14&pageNum=0&refId=6ZhJR%2Boe2mqsRcyTbs%2BXOA%3D%3D&trackingId=BsOBlc4u5RiSUNsgjenCeA%3D%3D,"Licensed MedTech (Application Specialist position)MALE not more than 35 years oldAt least 2 yrs experience w/ Medical Lab Analyzers (ex: Hema, Chem, Immuno, etc)Must be currently licensed RMT (Registered Medical Technologist)Current resident of Metro Manila3-24/25","Sciences, Analyst, Information Technology",Other,Full-time,Linkedin
Licensed Medical Technologist (Application Specialist),Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/licensed-medical-technologist-application-specialist-at-dempsey-resource-management-inc-4078177846?position=12&pageNum=0&refId=6ZhJR%2Boe2mqsRcyTbs%2BXOA%3D%3D&trackingId=lcP3G%2BPVOq5wyTrkfJ%2B0kA%3D%3D,"Male or Female not more than 35 years old At least 2 years experience with Medical Lab Analyzers (ex: Hema, Chem, Immuno, etc) Must be currently licensed RMT (Registered Medical Technologist)","Sciences, Analyst, Information Technology",Other,Full-time,Linkedin
Licensed Medical Technologist/Application Specialist,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/licensed-medical-technologist-application-specialist-at-dempsey-resource-management-inc-4078183267?position=13&pageNum=0&refId=6ZhJR%2Boe2mqsRcyTbs%2BXOA%3D%3D&trackingId=CqdqfB2Rz6HSN3dq95urQg%3D%3D,"Licensed MedTech (Application Specialist position)Male or FemaleAt least 2 yrs experience w/ Medical Lab Analyzers (ex: Hema, Chem, Immuno, etc)Must be currently licensed RMT (Registered Medical Technologist)","Sciences, Analyst, Information Technology",Other,Full-time,Linkedin
Laboratory Technician - Rosario Cavite,SAGASS CONSULTING,https://ph.linkedin.com/jobs/view/laboratory-technician-rosario-cavite-at-sagass-consulting-4062144415?position=24&pageNum=0&refId=6ZhJR%2Boe2mqsRcyTbs%2BXOA%3D%3D&trackingId=%2FMCQG7%2Fa7bAB4NsH35KgIg%3D%3D,"Graduate of BS Applied Science major in Laboratory Technology, BS Biology, BS Medical Laboratory Science or any related course. Computer Literate With experience in blood glucose laboratory testing. Good in oral and written communication skills Ability to think critically and make decisions based on data analysis.","Sciences, Analyst, Information Technology",Other,Full-time,Linkedin
MEDICAL TECHNOLOGIST,"MAXIMD Health Solutions, Inc",https://ph.jobstreet.com/job/82964844?type=standard&ref=search-standalone&origin=cardTitle#sol=f55b1ef6b855f42cd5bd1554b76ea4469ff720e6,"MAXIMD HEALTH SOLUTIONS, INC. is Medical and Diagnostic Clinic located at GMA CAVITE Philippines. We provide a comprehensive customized menu of services catering to walk-in, individual clients, companies and industries focusing on prevention and maintenance of healthy lifestyle, improving their general safety and well-being.&nbsp;QUALIFICATIONS:Candidate must be a Licensed/Registered Medical Technologist (RMT) with updated valid PRC LicenseNew PRC Board passers are welcome to applyProficiency in electronic health record management systems, familiar with computer operating systems, data entry, filing, and record keepingKnowledgeable in medical laboratory equipment, techniques, tests, and proceduresWilling to go on field duties&nbsp;Knowledgeable in organizational effectiveness and operations management including task allocation, setting deadlines, and monitoring performance&nbsp;JOB DESCRIPTION:Conducts chemical analysis on various body fluids such as urine, blood, saliva, and bileEnsures that laboratory equipment is clean, functional, and calibratedStocks and organizes laboratory supplies and maintains company inventory recordsAnswers and responds to patient, physician, and vendor questions and concernsCompiles thorough and professional laboratory reportsUpdates and maintains knowledge base by attending workshops, reading, and participating in professional organizationsAdheres to sanitation guidelines and proceduresProperly and safely disposes of hazardous and infectious waste and materials&nbsp;SalaryCommensurate to experience and will be discussed during the interview",Healthcare,"Cavite City, CALABARZON (Region IV-A)",Full-time,Jobstreet
