title,company,link,job_desc,job_func,location,job_type,source,selected
Support and Admin Assistant | WFH | Dayshift | Up to 25K,GoTeam,https://ph.linkedin.com/jobs/view/support-and-admin-assistant-wfh-dayshift-up-to-25k-at-goteam-4056508964?position=3&pageNum=0&refId=Y37HCaaFU1ZnETZk5WuGYA%3D%3D&trackingId=P4CsNikI02o2ayXVsJ%2FVMw%3D%3D,"Go Team is currently seeking a dynamic a detail-oriented Support and Admin Assistant to manage daily operations, including overseeing email ticketing, employee timesheets, and help desk support. This role involves contacting employees, updating client portals, processing invoices, and managing recruitment tasks such as applicant screening, onboarding, and job postings. Ideal candidates will have strong organizational skills, the ability to follow SOPs, and experience in both operational and recruitment processes.Work RequirementsWork Setup: Work From Home/RemoteSchedule: Day shiftBase pay: Up to 25KJob ResponsibilitiesManage Cloverdale Inbox by ticketing emails and assigning them to the appropriate department with correct tags.Evaluate employee timesheets, approving them or raising tickets for unresolved issues.Contact employees who have not clocked in to confirm their status and obtain an ETA.Provide help desk support by answering calls and resolving tickets according to established SOPs.Update client portals as requested by the Operations Team.Complete and invoice quotes/work orders in the Portal Closure and Cloverdale Supply buckets.Call and follow up with applicants during the Prospect Screening stage and manage recruitment documentation.Post, remove, and respond to job ads on Indeed; handle applicant communications via templated messages.Process Security Pass applications and handle ad hoc tasks from the Operations Team or Management.Process supplier invoices and close remittance tickets.Complete work orders, send invoices, and submit reports through client portals.Close and repost job ads in Indeed at the end of every month.QualificationsExperience in managing email inboxes, including ticketing and allocating tasks to appropriate departments.Ability to evaluate and process employee timesheets, including escalating unresolved issues for further review.Strong communication skills for contacting employees regarding attendance and obtaining shift status updates.Proficiency in handling help desk calls, resolving tickets, and following standard operating procedures (SOPs).Familiarity with client portal management and processing invoices/quotes.Recruitment experience, including applicant screening, document management, onboarding, and job ad management (e.g., Indeed).Detail-oriented with experience in processing supplier invoices and handling remittance tickets.Ability to manage monthly tasks, such as completing work orders, invoicing clients, and updating job ads in a timely manner.Strong organizational skills and ability to handle ad hoc tasks from management or operations teams.Your BenefitsCompany-provided laptop and an extra monitor for enhanced productivity and convenience.7 Habits of Highly Effective People Training.Your copy of ""Little Black Book for Stunning Success""Exceed Institute, Masterclass and GoTeam Cares program to help you navigate life and build a rich and connected family life.Get HMO coverage from day one for you and a dependent, with P200K coverage, private room benefits, and P10K medication reimbursement for both. Extend this healthcare opportunity to up to four additional dependents, including your common law partner.24/7 access to counseling support for mental health through our Employee Assistance Program (EAP), helping you thrive amid parenting challenges, stress, or relationship issues.Free legal advice and financial consultations as part of the EAP.Access to Salary Finance Platform for personal loans upon regularization, repayable via direct salary deductionP1,000,000 Life Insurance coverage.Access to personal loans upon regularization, repayable via salary deductionLeave policy granting 10 days of annual leave, increasing to 15 days after one year.Welcome gift on your first day.Monthly Discover You lunch featuring CEO presentations, leadership training, and Values Awards.Monthly gratitude celebrations and prizes, including Trivia, Talent Night, Personal Development, and Acoustic Nights.Welcome Tea with the CEO and work anniversary celebrations.Earn P10K employee referral bonus and a chance to win a trip for two (2) to Bali, Indonesia.Your Family's Benefits24/7 access to confidential counseling support for mental health for four family members through our Employee's Family Assistance Program (EFAP).Preventive Care: Health Education Counseling on diet or exercise, periodic monitoring of health problems, family planning counseling, four (4) wellness sessions, 5 sessions of Mindcare Counseling per member per year with ₱5,000 reimbursement once the 5 sessions are fully consumed.Free legal advice and financial consultations for four family members as part of the EFAP.Free Telemedicine for four family members.Personal invites for your family members to our monthly virtual events, with opportunities to win prizes.Our StoryIn 2014, our CTO and Founder Matt Kesby starts Go-Virtual Assistants (GO-VA) with one full-time member. The following year, CEO Fiona Kesby moves to Cebu to be onsite as the company scales. She emphasizes that the best way to attract talent is to take exceptional care of them.In 8 years, GoTeam has grown its client base to business owners from Australia, the U.S., the U.K. and Singapore. Working with highly skilled and motivated team members in GoTeam gives these businesses all the benefits of outsourcing and offshoring, without any of the complications and additional costs of starting their own office locally.The warmth and welcoming culture of GoTeam starts from Day 1, with our Chief Happiness Officers providing each new team member with a Welcome Kit. HMO Coverage for yourself and 1 dependent kick in on Day 1 as well.Among GoTeam’s core values are Discovery and Humility. (The overarching one is Care.) Fiona sets an example of leading by these values by consistently encouraging team members to read and discover new skills, industry best practices, and advice for leadership, self-care, and growth.Monthly “Discover You” events are being held to ensure that the entire company is up-to-date with current developments, celebrate wins from the previous month, and acknowledge those team members who have made an impact in their clients’ businesses and exceed expectations as well.At GoTeam, no team member is left behind. Everyone is heard and made to feel that they truly belong.Learn more about Our Culture here: https://go.team/ph/our-culture/Work Set-upHome",Administration & Office Support,Philippines,Full-time,Linkedin,
Service Admin Support - Work From Home - Healthcare,Filta,https://ph.linkedin.com/jobs/view/service-admin-support-work-from-home-healthcare-at-filta-4190999831?position=6&pageNum=0&refId=Y37HCaaFU1ZnETZk5WuGYA%3D%3D&trackingId=qwR8v0%2Bm7voNMGw4X1oAow%3D%3D,"Be part of the leading provider of quality and innovative patient transfer solutions and hygiene systems to the Healthcare industry in Australia.The ideal candidate's workstation should be set up in a safe and secure location at home with stable and reliable internet not less than 25 Mbps.Maximum of PHP 40,000 per month.6:00 am - 3:00 pm Philippine Time.BenefitsHMO healthcare for you and your 1 dependent (with COVID insurance).20 combined SL/VLs per year accrued from day one (you will have 10 accrued once you pass regularization).13th month bonus.Government-mandated benefits.About the RoleThe Service Admin Support reports directly to the Australia-based Managing Director, they aim to deliver exceptional customer experiences by efficiently coordinating service jobs, maintaining accurate records, and proactively managing service leads.They focus on continuous improvement and automation of processes while providing technical support and troubleshooting, ensuring financial accuracy through precise management of quotes, purchase orders, and invoicing is crucial to their role.Team collaboration and personal development are key to enhancing operational efficiency and contributing to the company's growth and success.Key ResponsibilitiesMake outbound calls, showing empathy and clear communication to address client needs.Schedule and coordinate service jobs locally and interstate.Respond to inquiries via phone, email, and website, providing prompt solutions.Maintain accurate billing and records in MYOB Job Costing/Exo Business.Use Power BI to generate reports and schedule service activities.Manage job costing, time tracking, and invoicing for financial accuracy.Troubleshoot client issues and provide technical support.Seek new service leads and manage customer relationships.Prepare quotes for service jobs and maintenance contracts.Create and manage purchase orders with proper documentation.Follow up via calls or SMS to confirm appointments.Work with the team to improve processes and efficiency.Handle additional tasks as assigned. Position Prerequisites3+ years' experience in the same or similar position.Service &amp; job coordination experience.Invoicing and reporting experience.Experience in Healthcare is highly desirable.Technical proficiency with CRM &amp; Costing platforms and data tools like Power BI.With Business Administration Cert III or similar.SkillsEffective verbal and written communication.Strong organizational skills.Commitment to customer service excellence.Problem-solving skills.Flexibility and prioritization.Ability to work in a fast-paced environment.What’s Next?Ready to make a move? Hit Apply, attach your CV, and share your story through our quick questionnaire.As this is an urgent requirement if you want to fast-track your application, complete your application online and connect with Ninna Margaja here.",Administration & Office Support,Philippines,Full-time,Linkedin,1
Remote Healthcare Recruiter (RVA),RemoteVA,https://ph.linkedin.com/jobs/view/remote-healthcare-recruiter-rva-at-remoteva-4157439475?position=19&pageNum=0&refId=Y37HCaaFU1ZnETZk5WuGYA%3D%3D&trackingId=meU2jHJk4yNOND4PcrBxoQ%3D%3D,"Job Title: Remote Healthcare RecruiterJob Type: Full-Time, RemoteLocation: Work-from-HomeJob Overview:We are seeking an experienced Remote Healthcare Recruiter to join our team. The ideal candidate must have strong experience sourcing applicants on LinkedIn and a proven track record in healthcare recruiting. This role requires excellent multitasking skills, clear and professional English communication, and a strong work ethic.Key Responsibilities:Source, screen, and qualify healthcare professionals for various positionsUtilize LinkedIn Recruiter and other platforms to identify top talentConduct initial phone screenings to assess candidate qualificationsCoordinate interviews between candidates and hiring managersMaintain and update candidate databases and applicant tracking systemsEnsure a smooth hiring process by providing excellent communication and follow-upsMeet hiring goals and deadlines set by the companyRequirements Proven experience in healthcare recruiting (minimum 2 years) Strong LinkedIn sourcing experience (LinkedIn Recruiter preferred)Excellent written and spoken English (clear, professional, and fluent)Ability to multi-task and prioritize in a fast-paced environmentHighly organized, detail-oriented, and self-motivatedMust have a quiet, distraction-free workspace (No background noise, children, or interruptions)Must be mentally and emotionally stable to handle the demands of recruitingReliable internet connection and up-to-date computer",Human Resources,Philippines,Full-time,Linkedin,
Healthcare Provider Enrollment/Credentialing,"Access Healthcare Services Manila, Inc.",https://ph.jobstreet.com/job/82910386?type=standard&ref=search-standalone&origin=cardTitle#sol=7126070f0e12ec33dffec5eb2c227f8ae42124e2,"The Provider Enrollment and Credentialing Specialist is responsible for managing the process of enrolling healthcare providers into insurance networks and ensuring that their credentials meet industry standards. This role ensures that healthcare professionals are properly credentialed to provide services, meet regulatory and payer requirements, and support operational efficiency within a healthcare organization. Provider enrollment and credentialing are foundational processes in the healthcare industry, ensuring that providers meet the necessary standards and qualifications to deliver safe, high-quality care. While the two processes are distinct, they work together to facilitate provider participation in health plans and promote trust in the healthcare system. By adhering to best practices and remaining diligent in compliance, healthcare administrators and providers can minimize delays and ensure a seamless experience for both providers and patients.",Customer Service,,,Jobstreet,
Medical Virtual Assistant,Global Pacific Support,https://ph.linkedin.com/jobs/view/medical-virtual-assistant-at-global-pacific-support-3942824691?position=18&pageNum=0&refId=Y37HCaaFU1ZnETZk5WuGYA%3D%3D&trackingId=TLCAadXm%2BD%2BEXjzRXfKSPA%3D%3D,"About Us: Global Pacific Support (GPS) is a leading provider of comprehensive support services for health clinics in the United States. Our mission is to streamline clinic operations, enhance patient care, and ensure compliance with industry standards, allowing healthcare providers to focus on what they do best—providing exceptional patient care.Position Overview: We are seeking a dedicated and experienced Medical Virtual Assistant with expertise in medical transcription to join our team. The successful candidate will work remotely, providing transcription services and administrative support to our US-based healthcare clients. This role is ideal for someone with a strong background in medical transcription, excellent attention to detail, and a commitment to maintaining the highest standards of accuracy and confidentiality.RequirementsKey Responsibilities: Medical Transcription: Accurately transcribe medical dictations from physicians and other healthcare professionals, ensuring all documentation is complete and error-free Patient Record Management: Maintain and update electronic health records (EHR) with transcribed notes, ensuring compliance with HIPAA and other privacy regulations Administrative Support: Assist with various administrative tasks such as scheduling appointments, managing emails, and handling phone calls Communication: Serve as a liaison between patients and healthcare providers, ensuring clear and efficient communication Compliance: Adhere to all relevant regulatory and compliance guidelines, including HIPAA and other industry standards Quality Assurance: Review and proofread transcriptions for accuracy, completeness, and consistencyQualifications: Experience: Minimum of 3 years of experience as a medical transcriptionist for US healthcare providers Education: Certification in medical transcription or relevant medical administrative training is preferred Technical Skills: Proficient in the use of transcription software, EHR systems, and Microsoft Office Suite Knowledge: In-depth knowledge of medical terminology, anatomy, pharmacology, and healthcare documentation standards Communication: Excellent verbal and written communication skills, with a strong command of the English language Attention to Detail: High level of accuracy and attention to detail in all aspects of work Confidentiality: Strong understanding of patient confidentiality and HIPAA compliance requirements Adaptability: Ability to work independently, manage time effectively, and adapt to changing priorities and technologiesPreferred Qualifications:Previous experience working as a virtual assistant or in a remote roleFamiliarity with telemedicine platforms and remote healthcare servicesExperience with practice management softwareBenefitsBenefits:Competitive compensation packageFlexible working hoursOpportunity to work with a dynamic and supportive teamContinuous professional development and training opportunitiesWork-from-home setup",Health Care Provider,Philippines,Full-time,Linkedin,
Client Success Manager (US Healthcare) | Permanent WFH,BizForce,https://ph.linkedin.com/jobs/view/client-success-manager-us-healthcare-permanent-wfh-at-bizforce-4193242544?position=20&pageNum=0&refId=Y37HCaaFU1ZnETZk5WuGYA%3D%3D&trackingId=artUFhDKtkSH9XA%2F3QWojg%3D%3D,"We are looking for a Healthcare Client Success Manager who is passionate about building strong client relationships, driving customer satisfaction, and ensuring long-term success. The ideal candidate will serve as the primary point of contact for clients in healthcare industry, helping them maximize the value of our services and fostering long-term partnerships.Key Responsibilities: Client Relationship ManagementBuild and maintain strong, long-term relationships with clients.Serve as the main point of contact, addressing client needs and concerns proactively.Regularly check in with clients to ensure satisfaction and identify growth opportunities.Onboarding &amp; EngagementLead client onboarding to ensure a smooth transition and adoption of services.Provide training and support to help clients maximize value from our solutions.Gather feedback and collaborate with internal teams to enhance the client experience.Strategic Consultation &amp; GrowthIdentify opportunities for clients to expand their use of our services.Provide data-driven insights and recommendations to help clients meet their goals.Work closely with sales and account management teams to drive renewals and upsells.Performance Monitoring &amp; Issue ResolutionTrack key client success metrics and analyze performance trends.Proactively address and resolve client issues to ensure a seamless experience.Advocate for clients internally, ensuring their feedback informs product/service improvements.RequirementsBachelor’s degree in Business, Healthcare Administration, or a related field.At least 5 years of experience in a combined role of operations and client success management.Strong background in the healthcare industry, with a deep understanding of industry practices and client needs.In-depth knowledge of US Healthcare systems and regulations and familiarity with HIPAA.Proficiency in CRM tools and healthcare software, such as EMR/EHR systems, claims management platforms, and reporting tools.Excellent interpersonal and communication skills, both written and verbal.Proven ability to analyze data, prepare reports, and make strategic recommendations.Exceptional organizational and problem-solving skills with the ability to multitask in a fast-paced environment.Amenable to working on flexible hours to accommodate US time zones.System Requirements Device (Desktop or Laptop)Processor:Windows Devices: Intel Core i5 (or higher) or AMD Ryzen 5 (or higher).Mac Devices: Apple M1 chip or newer.RAM:Minimum of 8GB or higher for optimal performance.Operating System:Windows: Windows 11 Pro (Windows 10 Pro is acceptable but not preferred). The operating system must have a legitimate license.Mac: macOS compatible with M1 or newer chips.Hard Disk:At least an SSD for faster processing and performance.Internet Connectivity:Minimum speed of 50 Mbps via a wired connection for stability and reliability.A backup internet connection is highly recommended.*Power Supply:A backup power supply (e.g., UPS or generator) to prevent disruptions during power outages (optional but encouraged)BenefitsPermanent Work From HomeLeave CreditsMonetary AllowanceAnnual BonusWeekly PaychecksFixed Weekends OffThriving Company Culture with Complete AutonomyExclusive Specialized Training ProgramsUnlock Your Potential with a Highly Competitive Salary____________________________________________________________________Who are we?BizForce is one of the fastest-growing global outsourcing companies in the world, founded in the US in Tucson, Arizona and is now operational in PH!Our Commitment to delivering high-quality results for our clients and the only way to do that is ensuring a rewarding, respectful and productive experience for our employees. We hold the same values for both our customers and our employees.Why work for Bizforce? Bizforce is a global remote workforce solutions company currently partnering with some of the largest Architectural and Engineering firms in the world. If you are looking to advance your career and improve your skills with an industry leader, we encourage you to apply today! Bizforce was founded with one goal – to deliver dependable high-quality skilled labor and business processes to US-based companies at affordable prices. Bizforce has grown rapidly and allows the best talent in PH to work remotely from home with the latest technology and resources. BizForce is proud to partner with PH to deliver qualified, professional workers, giving our Architects and Engineers the ability to have an unbeatable career and work from home.","Project Management, Sales, Human Resources",Philippines,Full-time,Linkedin,
Medical Coding BPO (Temp WFH) CPC or BCHH-C 1 year  Healthcare coding 55k,"Global Group Innovative Services, Inc.",https://ph.jobstreet.com/job/82865998?type=standard&ref=search-standalone&origin=cardTitle#sol=ddede9c65844750b7a12974f141bd6fd20b3634b,"Job Title: Home Health Coder (10 FTE, Temp WFH)Department:Location: Temporary Work From HomeReports To: [Insert Reporting Manager/Position]Position Overview:We are looking for a highly skilled Home Health Coder to join our team. This temporary, work-from-home position is ideal for candidates with a clinical background and experience in home health coding. The candidate will be responsible for accurately coding home health records, specifically OASIS documents, in compliance with industry standards.Key Responsibilities:Review and code home health records for accuracy and completeness, including Level 2 – Primary OASIS and Level 3 – Extended OASIS with POC.Ensure compliance with home health coding regulations and industry standards.Work closely with clinical and operational teams to ensure accurate documentation and timely processing.Perform coding assessments and contribute to ongoing improvements in the coding process.Continuously update knowledge on industry changes related to home health coding and OASIS documentation.Qualifications:Education: Medical allied graduate, preferably with a clinical background (RN/BSN, PT, OT, etc.).Certifications:Required: CPC (Certified Professional Coder) or any recognized coding certification.Preferred: BCHH-C Certification (Board Certified Home Health Coder) – Candidates with this certification will have an advantage.If the candidate does not have the BCHH-C certification, they should be willing to take the certification exam during training and pass the exam to continue working on the account.Experience:Minimum of 1 year of Home Health coding experience (Level 2 – Primary Oasis and Level 3 – Extended Oasis with POC).Previous experience with OASIS documentation and coding is required.Compensation:Salary: PHP 45,000 - PHP 55,000 per month (depending on experience and qualifications).",Healthcare,,,Jobstreet,
Accounts Payable Specialist (Healthcare Nursing Home Account),RemoteVA,https://www.foundit.com.ph/job/accounts-payable-specialist-healthcare-nursing-home-account-remoteva-philippines-34322140,"Remote VA is seeking a talented Accounts Payable Specialist specialized in Healthcare Nursing Home Accounts. This role is vital in managing the financial operations of our healthcare clients, specifically focusing on processing invoices, managing vendor payments, and maintaining compliance within the nursing home sector.Key ResponsibilitiesProcess and manage invoices and billing from healthcare vendors specific to nursing home operationsEnsure timely and accurate vendor payments for medical supplies, services, and other nursing home expendituresMonitor and reconcile accounts payable records and related financial accountsMaintain accurate documentation on financial transactions, supply costs, and service chargesCollaborate with administrative staff and healthcare providers to resolve any payment discrepanciesAssist in preparing financial reports and audits related to health servicesAdhere to relevant financial regulations and compliance requirements within the healthcare sectorRequirements Proven experience in accounts payable, particularly within the healthcare or nursing home industryFamiliarity with healthcare billing processes and regulatory complianceStrong proficiency in accounting software and property management tools relevant to healthcare (e.g., QuickBooks, Yardi, or specific healthcare billing systems)Excellent organizational skills, attention to detail, and ability to prioritize tasksStrong communication skills to liaise effectively with vendors and internal staffBenefitsPurely work-from-homeNight Shift (EST)Weekly pay",,Philippines,Full-time,Foundit,
Medical Transcriptionist | Night Shift | WFH,MicroSourcing,https://ph.linkedin.com/jobs/view/medical-transcriptionist-night-shift-wfh-at-microsourcing-4200815280?position=25&pageNum=0&refId=Y37HCaaFU1ZnETZk5WuGYA%3D%3D&trackingId=2FtfHM55t1BFPa4kg9Bggg%3D%3D,"Discover your 100% YOU with MicroSourcing!Position: Medical TranscriptionistLocation: 1880 Building, Eastwood, Quezon CityWork Set-up &amp; Shift: Work From Home &amp; Night ShiftYour RoleTranscribe reports from medical charts and write history of present illness paragraphs based on intake forms.Manage transcription utilizing the EMR Systems to create final reports from PDF documented exams and other medical information collected at time of exam.Perform self QA for reporting and produce QA team and provider questions.Write HPI paragraphs based on documentation from exams.Retrieve documents from shared server and enter information in EMR, then download and save transcribed reports.Verifying accuracy of patient information (e.g., name, identification number, etc.);Matching the complaint to diagnosis using Medical Records needing review for specific date reports for every date of service transcribed;Verifying accuracy of transcription for correct punctuation, grammar and spelling;Researching via appropriate reference materials in order to correct dictated language into concise, accurate, and understandable text.Qualifications:Bachelor's Degree in any field.At least 5-10 years of strong Medical Transcription experience.Certifications in Medical Transcription is an advantage.Strong Knowledge of medical transcription guidelines and practices.Excellent Skills in English usage, grammar, punctuation, and style.Excellent Communication Skills (both written and verbal).Preferably with experience in using Online Transcription software and Adobe/PDF readers.Proficient in using Microsoft Office Applications.High level of accuracy and attention to detail.Excellent organization and planning skills, collaboration and partnering skills.Amenable to Work on Night Shift.Amenable to Work From Home.",Health Care Provider,Philippines,Full-time,Linkedin,
International Benefits Specialist (US healthcare account),ProView Global (PvG),https://www.foundit.com.ph/job/international-benefits-specialist-us-healthcare-account-proview-global-pvg-philippines-34266498,"What are some of the perks once you become part of this awesome teamFixed weekends offHMO within first month of employmentInsurance coverage upon regularizationPaid time off even during probationary periodFun onsite and virtual activities/eventsOpen door policy with avenues to gather employee feedbackHighly performance-driven work environment, encouraging promotions from withinVarious learning and personal/professional growth and development opportunitiesAnd because Proview Global cares, we are offering a hybrid work arrangement! The company will also be providing the PC and equipment needed. Although during your first month (or until the HLM approves of the transition), you will be reporting on-site to complete company and/or client-required trainings. With this, the following requirements will be required prior the on-boarding:Minimum of 25mbps internet speed (actual bandwidth via speed test) *higher than 25mbps would be required if there will be other people in the household who would be either working from home or heavily using the internet during your shiftDedicated space or room with good ventilation for the PC set-up.Table that can fit two 24"" monitors and a chair, ideally positioned close to the outlet and internet modemWork from home location is within NCR.What&amp;aposs the general objective of this roleResponsible for overall management and processing of tasks specific to each assigned client.What are some of the responsibilitiesClient Experience and Communication: Deliver positive client experiences through high-quality service and communication.Provide regular updates to the onshore team on client data issues, review file warnings and errors in daily stand-ups, and identify team members responsible for resolution.Act as the main point of contact for carrier partners, managing file updates and requests.Share relevant updates with Client Services and technical partners as needed.Timely Response and Resolution:Respond promptly to inquiries from clients, carriers, and internal partners within the expected time frames. Keep clients informed with regular updates through resolution.Case Management and Audit:Prioritize, review, and work on open client cases.Run and review full and quick audit reports to verify that all member records are accurate and transactions are processed correctly to ensure accurate coverage.Conduct random audits on enrollments and data transmitted to carriers (e.g., OE, Post OE, Ad hoc) and handle various manual processing tasks, including EOI approvals/denials, manual audits, in-progress transaction cleanups, reporting, and coverage terminations.Task and Deliverable Management: Oversee client deliverables, track progress, complete assigned tasks, and provide updates via company tools (AdaptiveWork), email, and MS Teams.Actively participate in client calls, meetings, and training sessions (e.g., new hire training, refresher courses) as needed.File and System Maintenance:Review inbound and outbound files daily.Maintain carrier and client SFTP setups and implement updates as necessary.Technical Issue Resolution: Identify and address root causes of systemic issues.Research and resolve identified technical issues from error reports.Provide detailed explanations of errors to clients, translating technical issues into non-technical terms, and proactively inform onshore colleagues of errors impacting their tasks.Process Execution and Risk Mitigation: Execute client-specific processes and procedures.Complete risk mitigation reports, including audits, team activity, and case manager reports.What are the ideal requirements5+ years solid experience performing tasks related to US employee benefitsAble to work in US work time zone (Eastern or Pacific Time zone)Above average English communication skills (written and verbal) Exceptional organizational skills including attention to detail and multi-tasking Proven comfort level with learning and working with various computer applications, specifically MS ExcelAbility to work with multiple source files and apply knowledge from various client requirements to day-to-day transactionsHigh accuracy and orientation to qualityCandidates who can start ASAP will be prioritized!                       Show more                                              Show less",,Philippines,Full-time,Foundit,
