title,company,link,job_desc,job_func,location,job_type,source
Talent Attraction Associate | Project Based | Benguet,Aboitiz Power Generation Group,https://www.kalibrr.com/c/aboitiz-power-generation-group/jobs/253436/talent-attraction-associate-project-based-benguet,"S/He will be responsible for the recruitment, selection, and placement including the whole documentation process up to the creation of 201 files of new employees. S/He is also responsible for monitoring the third and fifth month performance evaluation by coordinating with team leaders.Attraction:	Responsible for the whole recruitment/placement processes for plantilla, contractual, and project based employees:	Assists in the implementation of attraction strategies and maintains tie-ups with relevant external parties (Universities/schools, Talent Search center, Headhunters, Job fairs, etc.) for hiring purposes	Prepares job advertisements in the most applicable mode (newspaper, online, etc.) for the present need.	Updates list of vacant positions posted in different sourcing platforms (i.e AP microsite, Kalibrr, etc.)	Coordinates with the concerned departments the status and updates them for their manpower requirements.	Administers admission testing, check tests and evaluate results.	Prepares necessary reports and updates with regards to recruitment and submit them to concerned government agencies.	Keeps track of employment records and coordinate with concerned departments for necessary actions.	Initiates the conduct of orientation of new employees regarding company policies and procedures. Coordinates with concerned departments for on-boarding orientation schedule and updates.	Updates on-boarding related systems (i.e Enboarder). Monitors completion of new hires orientation and completes documentation requirements for new hires.	Prepares and posts new hire announcements	Implements the Refer-A-Kabisig (RAK) program and provides updates on employee referrals.	Monitors third and fifth month performance evaluation by coordinating with team leaders.	Monitors expiring contracts and coordinates with concerned departments.	Prepares new hire kits Identification (ID) cards of the newly hired employees.	Assists new employees in requesting for their payroll account (non-confi employees)	Coordinates with concerned Team Leaders the screening of candidates for company’s scholarship.	Facilitates OJT requirements of departments/accredited schools based on approved OJT requirements.	Prepares /Facilitates On-the-Job Training agreement and orientation.	Ensures that OJT files/records are up to date.	Updates related guidelines and procedures related to recruitment and selection.Documentary Requirements:	Ensures the on-time preparation submission of necessary reports with regards to recruitment to concerned government agencies.	On-time preparation of employment contracts and other documents required to manpower movement, promotion, extension, renewal, etc.S/He will be responsible for the recruitment, selection, and placement including the whole documentation process up to the creation of 201 files of new employees. S/He is also responsible for monitoring the third and fifth month performance evaluation by coordinating with team leaders.Attraction:	Responsible for the whole recruitment/placement processes for plantilla, contractual, and project based employees:	Assists in the implementation of attraction strategies and maintains tie-ups with relevant external parties (Universities/schools, Talent Search center, Headhunters, Job fairs, etc.) for hiring purposes	Prepares job advertisements in the most applicable mode (newspaper, online, etc.) for the present need.	Updates list of vacant positions posted in different sourcing platforms (i.e AP microsite, Kalibrr, etc.)	Coordinates with the concerned departments the status and updates them for their manpower requirements.	Administers admission testing, check tests and evaluate results.	Prepares necessary reports and updates with regards to recruitment and submit them to concerned government agencies.	Keeps track of employment records and coordinate with concerned departments for necessary actions.	Initiates the conduct of orientation of new employees regarding company policies and procedures. Coordinates with concerned departments for on-boarding orientation schedule and updates.	Updates on-boarding related systems (i.e Enboarder). Monitors completion of new hires orientation and completes documentation requirements for new hires.	Prepares and posts new hire announcements	Implements the Refer-A-Kabisig (RAK) program and provides updates on employee referrals.	Monitors third and fifth month performance evaluation by coordinating with team leaders.	Monitors expiring contracts and coordinates with concerned departments.	Prepares new hire kits Identification (ID) cards of the newly hired employees.	Assists new employees in requesting for their payroll account (non-confi employees)	Coordinates with concerned Team Leaders the screening of candidates for company’s scholarship.	Facilitates OJT requirements of departments/accredited schools based on approved OJT requirements.	Prepares /Facilitates On-the-Job Training agreement and orientation.	Ensures that OJT files/records are up to date.	Updates related guidelines and procedures related to recruitment and selection.Documentary Requirements:	Ensures the on-time preparation submission of necessary reports with regards to recruitment to concerned government agencies.	On-time preparation of employment contracts and other documents required to manpower movement, promotion, extension, renewal, etc.Minimum Qualifications:	Must be a Bachelor’s Degree holder in Psychology/ Human Resource Management or any course related to the functions of the job	Must have at least one (1) year of related work experience	1 vacant positions available in La Trinidad, BenguetHire NowSign UpLogin",Human Resources,Other,Contract/Temporary,Kalibrr
Digital Content coordinator,Lux D Investmant ltd,https://www.kalibrr.com/c/lux-d-investmant-ltd/jobs/253211/digital-content-coordinator,"We are looking for a creative and detail-oriented professional who is passionate about photo and video editing and has experience managing content across social media platforms. The ideal candidate will also be responsible for uploading and optimizing products on our Shopify website.Key Responsibilities:	Photo &amp; Video Editing:	Edit and enhance product photos and videos for website and social media use.	Ensure high-quality, visually appealing content that aligns with our brand aesthetics.	Retouch images to maintain color accuracy and clarity.	Social Media Content Management:	Create engaging photo and video content for platforms like Instagram, Facebook, TikTok, and Pinterest.	Assist in developing and scheduling social media posts to promote our products and brand.	Stay updated on trending content styles and best practices for social media.Shopify Product Management:	Upload and manage product listings on our Shopify store.	Ensure accurate product descriptions, images, pricing, and metadata.	Optimize product pages for a seamless user experience and SEO.Qualifications &amp; Skills:	2+ years of experience in photo and video editing (Photoshop, Lightroom, Premiere Pro, Canva, or similar).	Previous experience managing social media content for a brand or business.	Familiarity with Shopify and e-commerce product uploads.	Strong attention to detail and creativity in content creation.	Ability to work independently and meet deadlines. This role is perfect for someone who is passionate about visual storytelling, e-commerce, and social media engagement. If you have a keen eye for aesthetics and love creating high-quality content, we’d love to hear from you!We are looking for a creative and detail-oriented professional who is passionate about photo and video editing and has experience managing content across social media platforms. The ideal candidate will also be responsible for uploading and optimizing products on our Shopify website.Key Responsibilities:	Photo &amp; Video Editing:	Edit and enhance product photos and videos for website and social media use.	Ensure high-quality, visually appealing content that aligns with our brand aesthetics.	Retouch images to maintain color accuracy and clarity.	Social Media Content Management:	Create engaging photo and video content for platforms like Instagram, Facebook, TikTok, and Pinterest.	Assist in developing and scheduling social media posts to promote our products and brand.	Stay updated on trending content styles and best practices for social media.Shopify Product Management:	Upload and manage product listings on our Shopify store.	Ensure accurate product descriptions, images, pricing, and metadata.	Optimize product pages for a seamless user experience and SEO.Qualifications &amp; Skills:	2+ years of experience in photo and video editing (Photoshop, Lightroom, Premiere Pro, Canva, or similar).	Previous experience managing social media content for a brand or business.	Familiarity with Shopify and e-commerce product uploads.	Strong attention to detail and creativity in content creation.	Ability to work independently and meet deadlines. This role is perfect for someone who is passionate about visual storytelling, e-commerce, and social media engagement. If you have a keen eye for aesthetics and love creating high-quality content, we’d love to hear from you!We are looking for a skilled and detail-oriented individual with experience in photo and video editing, strong knowledge of social media platforms, and prior experience working with the Shopify system.Requirements:	Experience: Minimum 2 years of hands-on experience in photo and video editing (e.g., using Adobe Photoshop, Lightroom, Premiere Pro, Canva, or similar tools).	E-Commerce Knowledge: Familiarity with Shopify and experience in uploading, managing, and optimizing product listings on an e-commerce platform.	Social Media Expertise: Understanding of Instagram, Facebook, TikTok, Pinterest, and other digital marketing platforms, with experience in content creation and optimization.	Technical Skills: Ability to edit, retouch, and enhance images and videos for professional online presentation.	Attention to Detail: Strong eye for aesthetics, color correction, and visual consistency.	Time Management: Ability to meet deadlines and manage multiple projects simultaneously.Preferred but Not Required:	Experience in SEO optimization for product descriptions and social media marketing.	Knowledge of Shopify apps and basic HTML/CSS for website customization.	Previous work in the jewelry or fashion industry is a plus.We are looking for a skilled and detail-oriented individual with experience in photo and video editing, strong knowledge of social media platforms, and prior experience working with the Shopify system.Requirements:	Experience: Minimum 2 years of hands-on experience in photo and video editing (e.g., using Adobe Photoshop, Lightroom, Premiere Pro, Canva, or similar tools).	E-Commerce Knowledge: Familiarity with Shopify and experience in uploading, managing, and optimizing product listings on an e-commerce platform.	Social Media Expertise: Understanding of Instagram, Facebook, TikTok, Pinterest, and other digital marketing platforms, with experience in content creation and optimization.	Technical Skills: Ability to edit, retouch, and enhance images and videos for professional online presentation.	Attention to Detail: Strong eye for aesthetics, color correction, and visual consistency.	Time Management: Ability to meet deadlines and manage multiple projects simultaneously.Preferred but Not Required:	Experience in SEO optimization for product descriptions and social media marketing.	Knowledge of Shopify apps and basic HTML/CSS for website customization.	Previous work in the jewelry or fashion industry is a plus.Hire NowSign UpLogin",Advertising,Other,Full-time,Kalibrr
Senior Human Resources Specialist (On-Site),Revolve,https://ph.jobstreet.com/job/83274122?type=standard&ref=search-standalone&origin=cardTitle#sol=c81acf9701ea97579acf4ffa689ea08cdf56ebcf,"Main purpose of the Senior Human Resources Specialist role:This position will play a pivotal role in leading the onsite HR related processes which can include employee relations, performance monitoring, training and development, compensation and benefits, and talent acquisition for the Philippine office and the headquarters (US) office. This role will also be supporting the day-to-day functions for the Philippine and US office which can include system troubleshooting, and other administrative related tasks.&nbsp;Main Responsibilities:Prepare and review compensation and benefits packagesResponsible for full cycle recruitment in the Philippine office including onboarding and offboarding of employeesForecast hiring needs and ensure recruitment process runs smoothly and effectivelyStayup-to-date and comply with changes in labor legislationDevelop and implement HR policies throughout the organizationImplement training and development plansPerformance management i.e. plan and create quarterly and annual performance review processesCoordinating payroll related matters with employeesUpdate employee records with new hire information and/or changes in employment statusMaintain organizational charts and detailed job descriptions along with salary recordsMonitor budgets by departmentAdminister health and life insurance programsProcess employees’ queries and respond in a timely mannerOther tasks assigned by the supervisorRequirements and Skills:5-10+years proven work experience as a Senior HR Specialist or Senior HR GeneralistHands-on experience with Human Resources Information Systems (HRIS) in a global platform is a plusKnowledge of Applicant Tracking SystemsSolid understanding of labor legislationSolid experience/background in employee relations, statutory compliances and payroll processStrong familiarity with full cycle recruitingExcellent verbal and written communication skillsStrong problem-solving abilitiesStrong leadership and management skillsBSc/MSc in Human Resources or relevant fieldCHRP/SHRM is a plus",Human Resources,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet
"People Advisor, Centre Operations",MicroSourcing,https://ph.jobstreet.com/job/82670256?type=standard&ref=search-standalone&origin=cardTitle#sol=838461f92c1a59c78c4b90ce0581310169273c2d,"Discover your 100% YOU with MicroSourcing!Position: &nbsp;People Advisor, Centre OperationsLocation:&nbsp;Picadilly Star Building, BGC TaguigWork setup &amp; shift:&nbsp;Onsite | DayshiftSalary Package*: ₱100,000.00 - ₱140,000.00&nbsp;&nbsp;&nbsp;Why join MicroSourcing?You'll have:Competitive Rewards:&nbsp;Enjoy above-market compensation, healthcare coverage on day one, plus one or more dependents, paid time-off with cash conversion, group life insurance, and performance bonusesA Collaborative Spirit:&nbsp;Contribute to a positive and engaging work environment by participating in company-sponsored events and activities.Work-Life Harmony:&nbsp;Enjoy the balance between work and life that suits you with flexible work arrangements.Career Growth:&nbsp;Take advantage of opportunities for continuous learning and career advancement.Inclusive Teamwork:&nbsp;Be part of a team that celebrates diversity and fosters an inclusive culture.Be a part of something big at Microsourcing! We're building a new team to support Australia's dynamic challenger in the telco space, a company committed to redefining customer experiences and pushing the boundaries of digital innovation. This is your chance to contribute to projects that connect millions nationwide while working with cutting-edge technology. Join us on this exciting journey and grow your career with a company that's at the forefront of the telecommunications industry!About the Role:Join our dynamic team as People Advisor, Centre Operations, and play a pivotal role in establishing and scaling our offshore Centre of Excellence. This is a strategic leadership position focused on building a high-performing, engaged workforce while driving operational excellence and people development. You will be instrumental in shaping the future of our offshore operations, ensuring alignment with global standards and fostering a culture of continuous improvement.What You'll Do:&nbsp;Strategic People Leadership &amp; Talent Acquisition:Develop and execute a comprehensive talent acquisition strategy to build a world-class team, leveraging best-in-class recruitment practices and market insights.Lead the end-to-end recruitment process, ensuring the attraction and selection of top-tier talent that aligns with our organizational values and technical requirements.Drive workforce planning initiatives to anticipate future talent needs and ensure sustainable growth.Seamless Onboarding &amp; Integration:Partner with Onshore Client teams to design and implement a standardized, impactful onboarding program that accelerates employee integration and fosters a strong sense of belonging.Ensure a smooth transition for new hires, providing them with the necessary tools, resources, and support to succeed.Knowledge Transfer &amp; Capability Development:Contribute to the development and execution of robust knowledge transfer strategies to ensure the seamless transition of Onshore Client capabilities to the offshore team.Design and implement targeted training and development programs to cultivate specialized expertise and foster a culture of continuous learning.Establish a framework for knowledge management to ensure the preservation and dissemination of critical information.People &amp; Culture Partnership &amp; Alignment:Serve as the primary liaison between the offshore center and Onshore Client's People &amp; Culture teams, ensuring alignment on policies, processes, and cultural initiatives.Champion a positive and inclusive work environment, promoting employee engagement and fostering a strong sense of community.Act as a culture ambassador, ensuring that the offshore teams embrace the values of the parent company.Operational Leadership &amp; Centre Management:Participate in a rotational Acting Centre Director program, providing leadership and ensuring operational continuity in the absence of the primary Centre Director.Contribute actively to the overall centre program, leading assigned workstreams and driving initiatives to transform the centre into a recognized Centre of Excellence.Provide operational support to the Centre Director, ensuring efficient day-to-day operations and adherence to performance metrics.Compliance &amp; Governance:Collaborate with teams to ensure strict compliance with Microsourcing policies, regulatory requirements, and Onshore Client standards.Implement and maintain robust internal controls to mitigate risks and ensure operational integrity.Monitor and report on relevant KPI's.Stakeholder Collaboration and Change Support:Facilitate effective collaboration with Onshore Client and Microsourcing teams, ensuring alignment on key initiatives and operational changes.Support change management efforts by ensuring clear and timely communication of relevant information to stakeholders, as needed.Ensure effective team collaboration through appropriate information flow and communication.&nbsp;What You'll Need:Proven experience in a senior management role within an offshore operations environment, with a strong focus on people and transformation programs.Demonstrated expertise in talent acquisition, onboarding, training and development, and employee engagement.Strong understanding of HR best practices and compliance requirements in an offshore setting.Excellent leadership, communication, and interpersonal skillsAbility to work effectively in a fast-paced, dynamic environmentExperience with process improvement.---About MicroSourcingWith over 9,000 professionals across 13 delivery centers, MicroSourcing is the pioneer and largest offshore provider of managed services in the Philippines.Our commitment to 100% YOUMicroSourcing firmly believes that our company's strength lies in our people's diversity and talent. We are proud to foster an inclusive culture that embraces individuals of all races, genders, ethnicities, abilities, and backgrounds. We provide space for everyone, embracing different perspectives and making room for opportunities for each individual to thrive.At MicroSourcing, equality is not merely a slogan – it's our commitment. Our way of life. Here, we don't just accept your unique authentic self - we celebrate it, valuing every individual's contribution to our collective success and growth. Join us in celebrating YOU and your 100%!For more information, visit https://www.microsourcing.com/*Terms &amp; conditions apply",Human Resources,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
HR Generalist / HR Business Partner,Sensient Technologies Asia Pacific Pte Ltd,https://ph.jobstreet.com/job/82902612?type=standard&ref=search-standalone&origin=cardTitle#sol=d9684dce8059cd991cc467e821575007dab91cd6,"At&nbsp;Sensient Technologies, we are experts in the science, art and innovation of colour and flavour. We are market-savvy and visionary. We are problem solvers. And we are better with you.&nbsp;&nbsp; &nbsp;&nbsp;We are looking for a motivated and passionate Human Resources Generalist&nbsp;/ Business Partner to join our team and support the&nbsp;Philippines business, with the ability to manage all Human Resources activities.This opportunity is 100% office-based at our Biñan City in Laguna, Philippines office.What you’ll do:  &nbsp;Partner with our General Manager and Leadership Team to execute on Sensient’s Global HR strategy and ensure a positive employee experienceWork closely with the HR Manager and APAC HR team to exceed performance goals, contribute positively and impactfully to our businesses, and help one another&nbsp;Be responsible for Talent Management cycle, including facilitation of annual goal setting, performance reviews, succession planning, employee training/development&nbsp;Ensure accuracy of HR data and proper utilization of our HR systems. Utilize data to support business operations and workforce planning.&nbsp;Lead recruiting efforts and create new pathways in partnership with our APAC Recruiter and Global Talent Acquisition teams, to attract in exceptional candidatesFacilitate an environment of continuous learning and coaching. Support leaders and employee through employee development initiatives, find pathways for internal promotions, and champion employee growth&nbsp;Investigate employee complaints, disciplinary incidents, and workplace conflicts as they arise. Ensure compliance with local and national labour legislation and stay on top of trends in these areasWhat you’ll bring:&nbsp;&nbsp;A “can-do” attitude and servant leadership mindset&nbsp;Strong communication and interpersonal skills with an ability to connect with people at all levels of the organization and across different cultures&nbsp;Excellent knowledge or ability to learn the local employment regulations&nbsp;Ability to travel, as requiredAbility to work full-time on-site in an office and manufacturing environment, M-F&nbsp;What you’ll get:&nbsp;&nbsp;Comprehensive and competitive remuneration packagePlentiful career development opportunities at a company that gives you a platform to do amazing thingsA thorough and effective training experience during onboarding and beyondThe ability to work with amazing and dedicated people around the worldShuttle bus at various pick-up points within the city - Alabang &amp; Pasig, nearby Laguna area&nbsp;About Sensient&nbsp;Sensient Technologies Corporation&nbsp;is a leading global manufacturer and marketer of colours, flavours, and extracts. Sensient employs advanced technologies at facilities around the world to develop specialty food and beverage systems, cosmetic and pharmaceutical systems, specialty colours, and other specialty and fine chemicals. The Company's customers include major international manufacturers representing most of the world's best-known brands. &nbsp;About Sensient Technologies (Philippines),Inc.&nbsp;Sensient Technologies (Philippines), Inc. is located in Biñan, Laguna. This serves as the company's production, technical and applications, and service center for the dynamic Philippine market for colors and flavors. The site, which is an accredited Silliker Gold standard included stringent procedures and documentation for, but not limited to, Good Manufacturing Practice (GMP) and HACCP, includes its own warehouse, office, and applications laboratories.",Human Resources,"Biñan City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Talent Acquisition Associate - Open for Fresh Graduates,Ascendion,https://ph.jobstreet.com/job/83177537?type=standard&ref=search-standalone&origin=cardTitle#sol=83af15951d845f37515153d4534403e8c2a2d034,"About the roleAs a Talent Acquisition Associate at Ascendion, you will play a critical role in sourcing and recruiting top talent to support the growth and success of our organisation. This is a full-time position based in Makati City, Metro Manila, where you will work closely with our HR and Recruitment teams to identify, attract and onboard qualified candidates for a variety of roles across the company.What you'll be doingProactively source, screen and interview candidates for open positions across the companyUtilise various recruitment channels and platforms to build a strong pipeline of talented candidatesCollaborate with hiring managers to understand their talent needs and develop targeted recruitment strategiesCoordinate the end-to-end recruitment process, including scheduling interviews, conducting reference checks and extending job offersMaintain accurate and up-to-date records of all recruitment activities and candidate dataContinuously seek ways to improve the candidate experience and recruitment processesWhat we're looking forFresh Graduates are encourage to applyStrong sourcing and screening skills, with the ability to identify and attract top talentExcellent communication and interpersonal skills, with the ability to build relationships with candidates and stakeholdersProficient in using various recruitment tools and technologies, such as applicant tracking systems and social media platformsHighly organised and detail-oriented, with the ability to manage multiple tasks and deadlinesA team player with a positive, proactive and customer-focused attitudeWhat we offerAt Ascendion, we are committed to providing our employees with a rewarding and fulfilling work experience. Some of the key benefits you can expect include:Competitive salary and performance-based bonusesComprehensive health insurance coverage and wellness programmesOpportunities for career development and ongoing trainingCollaborative and supportive work environmentFlexible work arrangements and work-life balance initiativesAbout usAscendion is a leading human resources and talent management consulting firm, dedicated to helping organisations build high-performing teams and achieve their strategic objectives. With a strong focus on innovation, we leverage cutting-edge HR technologies and data-driven insights to deliver tailored solutions that drive organisational success. Join our team and be a part of our exciting journey as we continue to redefine the future of work.Apply now for the Talent Acquisition Associate role at Ascendion and take the first step towards a rewarding career in HR and recruitment.",Human Resources,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
HR Assistant Manager,Golden TW Realty and Development Corp.,https://ph.jobstreet.com/job/82859629?type=standard&ref=search-standalone&origin=cardTitle#sol=59763d3a085012a29e72b4389c430a2a109f92cb,"Duties and Responsibilities:1. Recruitment and Talent AcquisitionLead recruitment activities including posting job openings, screening resumes, coordinating interviews, and managing the candidate selection process.Collaborate with department heads to understand staffing needs and assist in creating job descriptions.Ensure an efficient onboarding process for new hires, including conducting orientation sessions.2. Employee Onboarding &amp; OrientationFacilitate smooth onboarding for new employees, ensuring that all necessary documentation is completed and filed.Conduct company orientation sessions to familiarize new employees with policies, procedures, and the workplace culture.3. Payroll and Benefits AdministrationAssist in processing payroll for employees, ensuring accuracy and timely disbursement.Coordinate employee benefits programs, such as health insurance, retirement plans, and other employee perks.Respond to employee inquiries regarding payroll, deductions, and benefits.4. Employee Relations &amp; EngagementAct as point of contact for employee queries and grievances, ensuring prompt resolution and maintaining a positive work environment.Assist in organizing employee engagement programs, team-building activities, and initiatives aimed at improving employee morale.Provide support in handling employee disciplinary actions and maintaining a healthy workplace culture.5. Performance Management SupportAssist in managing performance appraisal systems, ensuring that evaluations are conducted on time and in accordance with company guidelines.Help in providing feedback and implementing strategies for performance improvement and employee development.6. Training and DevelopmentAssist in identifying employee training needs and help coordinate training sessions, workshops, and development programs.Track training outcomes and employee development progress.Maintain a database of training programs and certifications to ensure compliance and employee growth.7. HR Documentation &amp; Record KeepingMaintain and update accurate employee records, including personal information, job details, and performance data.Ensure compliance with company policies and legal requirements related to employee documentation.Support HR audits and ensure that all employee records are properly organized and easily accessible.8. Compliance and Legal ResponsibilitiesEnsure adherence to employment laws, company policies, and industry regulations.Assist with managing workplace safety programs and maintaining a safe, compliant work environment.Help the HR Manager with legal documentation and audits when necessary.9. Reporting and Data ManagementPrepare HR-related reports on key metrics such as turnover, absenteeism, employee satisfaction, and recruitment activities.Support HR decision-making by collecting, analyzing, and presenting data on HR functions.Maintain HR databases and ensure that all data is kept confidential and secure.10. Support in Policy DevelopmentAssist in the development and revision of HR policies and procedures to align with organizational goals and legal requirements.Communicate and implement updated policies to employees to ensure understanding and compliance.11. Performs related duties as assigned.RequirementsBachelor's degree in Human Resources, Business Administration, or a related field.A certificate in Human Resources Management or ProfessionalWith 3 to 5 years of experience in HR or a related field, with at least 1-2 years in a supervisory or assistant manager role in a hotel set-up.Proficient in Microsoft Office (Excel, Word, PowerPoint) and HR software (e.g., HRIS).Knowledge of labor laws, employee, relations, and HR best practices.Strong interpersonal and communication skills, with the ability to interact with employees at all levels of the organization.Ability to handle sensitive information with discretion and professionalism.Strong organizational skills and attention to detail.Ability to work in a fast-paced environment and manage multiple tasks simultaneously.Positive attitude with a customer-service mindset.Strong problem-soling abilities and conflict resolution skills.Team-oriented with a proactive and flexible approach to work.Ethical, with a high level of integrity and confidentiality.Willing to be assigned in Boracay.",Human Resources,"Aklan, Western Visayas (Region VI)",Full-time,Jobstreet
Recruitment Senior Manager,Concentrix Philippines,https://ph.jobstreet.com/job/82622921?type=standard&ref=search-standalone&origin=cardTitle#sol=6d5229f235342551b7e92772b27f28554c98be5e,"About the roleWe are seeking an experienced and talented Recruitment Senior Manager to join our dynamic team at Concentrix Philippines' in Quezon City, Metro Manila. As a Recruitment Senior Manager, you will play a pivotal role in leading and overseeing the recruitment function, ensuring we attract and secure the best talent to support the growth and success of our organisation. This is a full-time position.What you'll be doingDevelop and implement effective recruitment strategies to source, screen, and select qualified candidates for various roles within the organisationManage the end-to-end recruitment process, including job posting, sourcing, screening, interviewing, and making hiring recommendationsBuild and maintain a strong pipeline of diverse and high-quality candidates to meet the organisation's ongoing talent needsCollaborate with hiring managers to understand their requirements and provide tailored recruitment solutionsMonitor and analyse recruitment metrics to identify areas for improvement and implement data-driven strategiesLead and mentor a team of recruitment professionals, providing guidance, training, and support to ensure their successStay up-to-date with industry trends, best practices, and legal compliance related to recruitment and talent managementWhat we're looking forAt least 8 years of progressive experience in a recruitment or talent acquisition role, preferably in the Human Resources &amp; Recruitment industryDemonstrated expertise in full-cycle recruitment, including sourcing, screening, interviewing, and negotiating offersExcellent interpersonal and communication skills, with the ability to build strong relationships with hiring managers and candidatesProven track record of developing and implementing effective recruitment strategies to meet organisational goalsStrong analytical and problem-solving skills, with the ability to use data to drive decision-makingProficient in the use of applicant tracking systems and other recruitment technologiesExperience in managing and mentoring a team of recruitment professionalsWhat we offerCompetitive salary and performance-based bonusesComprehensive medical and dental coverageOpportunities for professional development and career advancementFlexible work arrangements and a supportive work-life balanceVibrant and inclusive company culture with team-building activitiesAbout usConcentrix Philippines' is a leading global provider of customer experience solutions and technology-infused business services. With a presence in Quezon City, Metro Manila, we are committed to delivering exceptional service and driving innovation for our clients. Our diverse and talented team is at the core of our success, and we are dedicated to creating an environment where our employees can thrive and reach their full potential.Apply now and join our dynamic team!",Human Resources,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Recruitment Staff,Toyota Motor Philippines Corporation,https://www.kalibrr.com/c/toyota-motors-philippines-corporation/jobs/252631/recruitment-staff,"Develop and implement effective recruitment strategies to attract top talent.	﻿Utilize various sourcing methods, such as job portals, social media, and networking, to identify potential candidates.	﻿Screen resumes and applications to identify qualified candidates.	﻿Conduct interviews and assessments to evaluate candidates' skills, experience, and cultural fit.	﻿Coordinate with hiring managers to understand their recruitment needs and provide regular updates on the status of open positions.	﻿Manage the end-to-end recruitment process, from job posting to onboarding.	﻿Build and maintain a strong candidate pipeline for future hiring needs.	﻿Ensure a positive candidate experience throughout the recruitment process.	﻿Stay updated on industry trends and best practices to continuously improve the recruitment process.	﻿Conduct new employee onboarding, ensuring the process is engaging and that processes are followed and accurate.	﻿Process standardization, automation, documentation, and improvement.	﻿Position may require work responsibilities outside of normal business hours.	Develop and implement effective recruitment strategies to attract top talent.	﻿Utilize various sourcing methods, such as job portals, social media, and networking, to identify potential candidates.	﻿Screen resumes and applications to identify qualified candidates.	﻿Conduct interviews and assessments to evaluate candidates' skills, experience, and cultural fit.	﻿Coordinate with hiring managers to understand their recruitment needs and provide regular updates on the status of open positions.	﻿Manage the end-to-end recruitment process, from job posting to onboarding.	﻿Build and maintain a strong candidate pipeline for future hiring needs.	﻿Ensure a positive candidate experience throughout the recruitment process.	﻿Stay updated on industry trends and best practices to continuously improve the recruitment process.	﻿Conduct new employee onboarding, ensuring the process is engaging and that processes are followed and accurate.	﻿Process standardization, automation, documentation, and improvement.	﻿Position may require work responsibilities outside of normal business hours.	 Bachelor's degree in Human Resources, Psychology, or a related field.	﻿Strong understanding of recruitment processes and best practices.	﻿Excellent communication and interpersonal skills.	﻿Proven experience in sourcing and selecting candidates using various methods.	﻿Ability to multi-task and manage competing priorities.	﻿Strong attention to detail and organizational skills.	﻿Proficient in MS Office and recruitment software.	﻿Knowledge of the automotive industry is a plus.	﻿Experience in IT hiring is an advantage.	﻿Minimum of 2 years of experience in recruitment, preferably in a fast-paced environment.	 Bachelor's degree in Human Resources, Psychology, or a related field.	﻿Strong understanding of recruitment processes and best practices.	﻿Excellent communication and interpersonal skills.	﻿Proven experience in sourcing and selecting candidates using various methods.	﻿Ability to multi-task and manage competing priorities.	﻿Strong attention to detail and organizational skills.	﻿Proficient in MS Office and recruitment software.	﻿Knowledge of the automotive industry is a plus.	﻿Experience in IT hiring is an advantage.	﻿Minimum of 2 years of experience in recruitment, preferably in a fast-paced environment.Hire NowSign UpLogin",Human Resources,"Santa Rosa City, CALABARZON (Region IV-A)",Full-time,Kalibrr
HR Lead / Supervisor,KIMSTORE ENTERPRISE CORP.,https://ph.jobstreet.com/job/83133520?type=standard&ref=search-standalone&origin=cardTitle#sol=ea13ca5362169b8902af632e19f2d7589d6edae8,"About the roleKimstore Enterprise Corp. is seeking an experienced HR Lead/Supervisor to join our dynamic team in Quezon City, Metro Manila. The HR Lead/Supervisor is responsible for overseeing the core functions of the Human Resources department, ensuring compliance with labor laws, and implementing HR strategies that align with business objectives. This role involves talent acquisition, employee relations, performance management, compensation and benefits, and overall workforce development.What you'll be doingOverseeing the full spectrum of all HR functions, including recruitment, onboarding, performance management, employee relations and labour relations, compensation and benefits and payroll coordination, and training and development.Manage end-to-end hiring processes, from job postings to onboarding.Developing and implementing HR policies, procedures, and best practices to support the organization's goals and foster a positive work environmentPartnering with management to identify and address staffing needs and leading the recruitment and selection processProviding guidance and support to employees on HR-related matters and resolving any employee issues or concerns in a timely and effective mannerMonitoring and analyzing HR metrics to identify trends and opportunities for improvement. Provide reports with the management.Championing employee engagement initiatives and fostering a culture of collaboration, growth and well-beingEnsuring compliance with all applicable labor laws and regulations.What we're looking forMinimum 3-5 years of experience in a similar HR lead or supervisory role, preferably within the management/internal human resources industryProven ability to develop and implement effective HR strategies and policiesStrong interpersonal and communication skills, with the ability to build rapport and collaborate with employees at all levelsCan work with minimal supervision. Excellent problem-solving and conflict resolution skills, with a solutions-oriented approachProficiency in HR data analysis and metrics reportingThorough understanding of employment laws and regulations in the PhilippinesBachelor's degree in Human Resources, Business Administration or a related fieldCan start ASAP. Willing to work full time onsite in Quezon Avenue, Quezon City.What we offerAt Kimstore Enterprise Corp., we are committed to providing our employees with a rewarding and fulfilling career. We offer a competitive salary, comprehensive benefits package, and opportunities for professional development and advancement. Additionally, we foster a collaborative and inclusive work environment that values work-life balance and employee wellbeing.If you are an experienced HR professional who is passionate about supporting the growth and success of our organisation, we encourage you to apply now.",Human Resources,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
