title,company,link,job_desc,job_func,location,job_type,source
Commercial Sales Assistant Manager - Visayas,"SEAOIL Philippines, Inc.",https://ph.jobstreet.com/job/83283926?type=standard&ref=search-standalone&origin=cardTitle#sol=093b8538ea6180fdeec120846a0247987c142967,"Are you ready to start your legaSEA? SEAOIL is looking for passionate talents to help make a difference in the lives of Filipinos and fuel their better future. Here's your chance to grow your career with the largest and leading independent fuel company in the country - join us as our next Commercial Sales Assistant Manager - Visayas!What is this role about?This role will establish and maintain business relationships in the industrial area through effective selection of/and communication with clients.&nbsp;What will YOU do?Conduct&nbsp;cold calls, sets appointments, and schedules client visits&nbsp;to gather data needed to supply fuel requirementIdentify&nbsp;proper contact persons of prospect accounts differentiating gatekeepers, influencers, and decision makers&nbsp;to establish accurate proposal needed by accounts; establish rapport by introducing the company, advantages of dealing with the company and services we can offer; identify pain points of current suppliers and prepare suggestions on how we can help themIdentify&nbsp;customer needs and buying motivations&nbsp;to determine other requirements that we can offer to help their operations&nbsp;Conduct&nbsp;product presentation and technical field testing for various equipment of end users&nbsp;to upsell other products that the accounts may have overlooked but neededLead&nbsp;inter-departmental meetings&nbsp;to resolve customer issues and concerns, and designs interim and long term solutions with the team&nbsp;Update&nbsp;customers with current price movements&nbsp;to obtain competitor price and request immediate approval if we can matchAct&nbsp;as a consultant to customers&nbsp;to improve their process and bottom line to achieve win- win solutionsPrepare&nbsp;monthly performance reports for assigned area&nbsp;to determine the market potential and competitor selling behaviourUpdate&nbsp;the customer relationship management (CRM) tool&nbsp;to identify geographic potential marketMonitor&nbsp;competitors' prices and conducts market intelligence reports and provides recommendations&nbsp;to identify how our competitors release their prices according to account types and needs. It is an important information needed so we can position our markeing and be competitive&nbsp;&nbsp;What will YOU need?At least 5 years of relevant experiencePreferably with background in petroleum, industrial, or chemical industriesHas to have a network of industrial accounts, clients in the industrial industries (shipping, power and energy, transport, manufacturing, agricultural)Excellent communication, interpersonal, and presentation skillsMust have valid driver's license, can drive manually transmission vehiclesMust have strong people management experienceMust have strong familiarity in VisayasExperience in selling lubricants as well as background in sales pipeline management (database of leads) is an advantage",Sales,Central Visayas (Region VII),Full-time,Jobstreet
Sales Representative,"Metro Drug, Inc.",https://ph.jobstreet.com/job/81783854?type=standard&ref=search-standalone&origin=cardTitle#sol=0bb5dddd39a8a5b96448cf4ac88c6f30503a1011,"About the roleJoin our dynamic team at Metro Drug, Inc. as a Sales Representative based in San Fernando / Bulacan. In this full-time role, you will be responsible for driving sales growth and cultivating strong relationships with our valued customers. Your strategic approach and excellent communication skills will be pivotal in expanding our market share and delivering exceptional customer service.What you'll be doingProactively identify and pursue new sales opportunities within your assigned territoryBuild and maintain strong relationships with existing customers through regular visits and communicationProvide expert product knowledge and recommendations to customers, ensuring their needs are metAchieve and exceed individual sales targets and contribute to the overall sales goals of the companyCollaborate with the marketing team to develop and implement effective sales strategiesGather and report on valuable market intelligence to inform future business decisionsParticipate in training and development programs to continuously enhance your skillsWhat we're looking forProven sales experience, preferably within the pharmaceutical or healthcare industryExcellent communication and interpersonal skills, with the ability to build strong relationships with customersStrong negotiation and problem-solving abilities to effectively handle customer objections and queriesDemonstrated track record of achieving and exceeding sales targetsAdaptable and driven, with a proactive approach to identifying and capitalising on new opportunitiesDegree in a relevant field or equivalent sales experienceWhat we offerAt Metro Drug, Inc., we are committed to fostering a supportive and inclusive work environment that enables our employees to thrive. We offer a competitive salary, comprehensive benefits package, and opportunities for professional development and career advancement. Join our team and be part of a dynamic organisation that values innovation, teamwork, and customer satisfaction.About usMetro Drug, Inc. is a leading pharmaceutical distributor serving customers across the Philippines. With a strong focus on quality, efficiency, and customer service, we have established a reputation for excellence in the industry. Our mission is to improve the health and well-being of the communities we serve by providing access to high-quality, affordable healthcare products and services.Apply now and take the first step towards an exciting and rewarding career with Metro Drug, Inc.",Sales,Central Luzon (Region III),Full-time,Jobstreet
Sales Manager,Premium Warranty Services Philippines Inc.,https://ph.jobstreet.com/job/83140314?type=standard&ref=search-standalone&origin=cardTitle#sol=cc700c5bbeee34063a4b6345ec6b0bdb8e8ab7ec,"PWSP is a rapidly growing company, part of a prestigious joint venture between GT Capital, Mitsui &amp; Co., and Premium Group – Japan’s No.1 warranty company. This highly reputable partnership offers unparalleled opportunities, setting us apart from other local firms. At PWSP, we’re not just another company—we’re a place where your hard work is truly rewarded. We offer a competitive salary structure, strong incentives, and an environment that fosters both professional and personal growth.&nbsp;Here’s why joining PWSP will be a game-changer for your career:Competitive Salary &amp; Growth – Salary is negotiable based on previous compensation and qualifications.Strong Incentives Package – Top performers can earn up to PHP 100,000 in incentives, making this one of the most lucrative sales opportunities in the market.Annual Salary Increases – Provided in the first quarter of each year, with a salary increase of over 10% based on company and employee performance.Performance-Based Salary Increases – Offered after the probationary period, based on the performance evaluation results.Comprehensive Benefits – Includes government-mandated benefits, medical, dental, and accidental insurance.Paid Leave – Available upon regularization.Career Advancement &amp; Structured Training – Unlike many local firms, we offer well-defined career paths, mentorship programs, and internal mobility to help you grow through both external and internal company-provided training. Gain specialized technical knowledge from industry experts.Industry-Leading Compliance &amp; Governance – Our Japanese partners ensure strict ethical standards and business integrity, providing a stable and trustworthy work environment.Global Perspective &amp; International Experience – Work with multinational teams, advanced business models, and global best practices. Develop cross-cultural communication skills that will set you apart in the industry.Stable &amp; Growing Business – Backed by GT Capital’s strong local presence and Japan’s leading warranty expertise, PWSP ensures business stability and high trust from clients. As a joint venture supported by GT Capital, Mitsui &amp; Co., and Premium Group, PWSP is built on a solid financial foundation with sustained business growth, offering long-term career security for employees.Work-Life Balance – Enjoy a supportive and dynamic work environment.Growth-Oriented Culture – Be part of a company that values innovation, employee contributions, and professional development.Future Office Relocation – Moving soon to Makati or BGC for better accessibility.Job Responsibilities:• Lead and manage the sales team to achieve company targets• Develop and implement strategic sales plans• Build and maintain strong client relationships• Analyze market trends and identify growth opportunities• Train and mentor sales executives to improve performance&nbsp;Qualifications:✔ Proven experience in sales management (preferably in the automotive industry)✔ Strong leadership and team management skills✔ Excellent negotiation and client-handling skills✔ Must have a valid driver’s license&nbsp;Take your career to the next level with PWSP! Apply now and become an integral part of our exciting journey as we continue to grow and succeed. With PWSP, you’ll have the chance to develop professionally in a supportive, dynamic environment where your contributions are valued. As we expand, we’re committed to offering new opportunities for advancement, skill development, and personal growth. Join us today and be a part of a team that’s shaping the future while propelling your career forward.",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
BANCASSURANCE SALES ASSOCIATE (DAYSHIFT/LOCAL) I COLLEGE GRAD WITH/WITHOUT EXP.,Q2 HR Solutions Inc.,https://ph.jobstreet.com/job/80302541?type=standard&ref=search-standalone&origin=cardTitle#sol=0dbad41cc84572818754958c3eb120bee0d1e6ec,"Thank you for expressing your interest on my job post at Jobstreet, moreover below are the details:&nbsp;JOB TITLE: BANCASSURANCE SALES ASSOCIATE - DAYSHIFT / LOCAL ACCOUNT I 16K to 19K (If with experience for over 2 years = Up to 35K Offer) Commission with Performance Based Incentives.&nbsp;QUALIFICATIONS:● Educational Attainment: Bachelor’s degree● Job Type: Full Time● Level: Entry/Associate Level● Willing to be assigned in Metrobank / PSBank Branch (Metro Manila Branches)● Willing to work ONSITE (Schedule: Banking hours - 8:30 am - 5:30 pm)&nbsp;RESPONSIBILITIES:● Conduct lead generation activities, schedule appointments with customers, analyze financial needs, and provide customized solutions.● Prepare and submit customer applications.● Maintain customer relationships through after-sales service.● Build a long-term relationship with bank partners.&nbsp;PERKS:● Paid Trainings: Access to a variety of paid training programs tailored to enhance both technical and soft skills.● Tools and Equipment Provided: Equipped with the necessary tools and resources to excel in your role.● Competitive Compensation Package: Basic pay plus unlimited commission potential, offering financial rewards based on performance.● Growth Opportunities: Opportunities for career advancement through advanced training and designation programs.● Bonuses and Travel Incentives: Recognizing and rewarding exceptional performance with bonuses and travel opportunities.● Work-Life Balance: Observing banking hours and Philippine holidays to ensure a healthy work-life balance representatives!&nbsp;Kindly send your UPDATED RESUME to edgeceleste.qqi@gmail.com for faster response. APPLY NOW!",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Sales Development Representative,Exypnox Inc,https://ph.jobstreet.com/job/83289103?type=standard&ref=search-standalone&origin=cardTitle#sol=c6d2e6c7b8d8e3a85b637289125d8e88366b60a5,"Exypnox is the exclusive partner of Boostlingo, an innovative Austin, Texas-based tech company transforming the Language Services industry.We’re seeking a talented Sales Development Representative to join our growing team. Be part of our exciting journey and make an impact! Job Description:As a Sales Development Representative, you will play a crucial role in driving our sales efforts and expanding our customer base. You will use a variety of tools and strategies to reach out to potential clients, understand their needs, and introduce them to our solutions.Make 70+ phone calls and send 50+ emails to prospective clients each day using Salesforce, ZoomInfo, Outreach IO, LinkedIn, and other sales automation technologies.Identify and engage with potential clients to generate interest in our products/services.Book 10+ qualified demos per month for our Account Executive Team.Discover and create new processes to reach our target market and optimize the number of qualified demos you can book.Employ a consultative approach to assess clients’ needs, understand the challenges faced by their business, and articulate how our solutions can address those challenges.&nbsp;What we offer:Highly Competitive Base Salary + UNCAPPED Monthly Commissions – Your earning potential has no limits!Hybrid Set-Up – Work from home 3 days a week, with just 2 days in the office.Comprehensive Benefits Package – Enjoy medical and dental coverage with MAXICARE after 6 months.Flexible Paid Time Off – Because your well-being matters!&nbsp;Requirements:Proven experience in a similar sales or lead generation role, preferably in a B2B environment.Familiarity with Salesforce, ZoomInfo, Outreach IO, LinkedIn, and other sales prospecting and automation tools.Excellent communication skills, both written and verbal.Strong organizational skills and the ability to manage multiple tasks and priorities.Self-motivated with a proactive approach to identifying opportunities and solving problems.",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Sales Zone Manager,ACMobility,https://ph.jobstreet.com/job/83291126?type=standard&ref=search-standalone&origin=cardTitle#sol=4fab21fb4429022199af2358924c95453eb3817e,"About the roleThis full-time Sales Zone Manager role for BYD at ACMobility offers an exciting opportunity to drive sales and growth across a designated sales territory. As a key member of the sales team, you will be responsible for building and maintaining strong relationships with clients, identifying new business opportunities, and ensuring the successful delivery of sales targets.What we're looking forMinimum 3-5 years of experience in a sales or account management role, preferably within the Account &amp; Relationship Management industryProven track record of achieving and exceeding sales targetsExcellent communication and interpersonal skills, with the ability to build strong relationships with clientsStrong problem-solving and negotiation skillsProficiency in using sales and customer relationship management (CRM) toolsFamiliarity with the sales industry and the competitive landscapeAbout usACMobility is a leading provider of innovative mobility solutions in the Philippines. With a strong focus on customer satisfaction and technological innovation, we are committed to empowering our clients with the latest advancements in the industry. Join our dynamic team and help us drive the future of mobility.Apply now to become our next Sales Zone Manager!",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Key Accounts Manager (GMA),Asia Brewery Incorporated,https://ph.jobstreet.com/job/82580939?type=standard&ref=search-standalone&origin=cardTitle#sol=69c7ce55f7bffa21f95f3d8ba688743c317edba3,"Area of Assignment:UN Sales Office - 1085 Sanciangco St. Otis PacoBaesa Sales Office - Pascual Gen. Hospital Compound Quirino Highway Baesa, Quezon CitySucat Sales Office - KM. 21 East Service Road, Sucat Muntinlupa CityPasig Sales Office - Piscor Compund Amang Rodriguez Ave. Manggahan Pasig City&nbsp;PRINCIPAL PURPOSE:Responsible for co-developing strategy, monitoring business performance and executing channel planeffectively that maximizes our trade marketing investment to deliver business objectives in on tradechannel. Critical partner with Sales team and Brand teams , ensuring our customer plans are built, onbalance, through both always on volume driven activities and disruptive brand activation plans thatdeliver on our customer and consumer drivers.&nbsp;ROLES AND RESPONSIBILITYImplement a structured approach to regularly collect and update &nbsp;consumer, shopper, customer insights for defined priority channels.Channel Activation.Formalize and regularly review a Channel Strategy with clear definitions of Priority Channels and clear Strategies to win.Embed continuous improvement cycle and own Internal Process Management to organize commercial plan gate keeping.Use data driven sales methodology to drive efficient and effective sales decisions.Extensive cross functional collaboration including with field sales, brand marketing and finance to bring a balanced volume, portfolio, branding and consumer experience approach to defend mainstream and accelerate premium growth in on trade in a targeted and scalable manner&nbsp;QUALIFICATIONBachelor’s Degree in Business Administration, Marketing, Public Relation or any related fields.With at least three (3) years of relevant On Trade channel marketing, brand marketing or field salesexperience, with minimum 1 year of management position (preferably from FMCG Industry).Experience in customer service systems, sales distribution and sales managementHolder of professional driver's license code 1 and 2Good communication skills, oral and written",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
PRODUCT SUPPORT COORDINATOR - Work from Home/Hybrid,Goway Travel Limited,https://ph.jobstreet.com/job/82918635?type=standard&ref=search-standalone&origin=cardTitle#sol=afa56079a4e13b70e640d70f08684f15360cf865,"PRODUCT SUPPORT COORDINATORJob Type: Full Time-Individual Contributor-Agent levelLocation: Goway ManilaReporting to: Operations ManagerGoway Travel was founded in Toronto in 1970 by Bruce Hodge, a young Australian economist who moved to Canada to follow his dreams.From there, we have established ourselves as a global influence with offices in Toronto, Vancouver, Los Angeles, Sydney, and Manila. While the travel industry endured major challenges, our strong foundations allowed Goway to forge ahead. We continually innovated, invested in new technology, and challenged the status quo.Still owned and operated by Bruce, with the support of his leadership board, our mission has always been to help our clients realize their travel dreams. Today, we are an industry-leading, global travel company with over 600 employees. Our team of experts utilizes cutting-edge technology to tailor-make 4 and 5-star travel experiences in over 100 countries around the world.At Goway Travel, we're not just a company; we're a family of dreamers and doers, inspired by our founder’s incredible journey. He didn't just follow a career path; he followed his heart, and in doing so, he built a company that helps others follow theirs.If you’re passionate about travel and innovation, we invite you to be a part of our exciting journey!The Role:&nbsp;INA Prime Solutions is our BPO line of business in Manila, PH at Goway Travel Ltd. Our mission is to empower businesses through seamless outsourcing solutions, leveraging skilled workforce to drive operational excellence and client success.As a Product Support Coordinator, you will be responsible for accurately loading supplier contracts into the company’s reservation systems. This role involves ensuring that rates, itineraries, product inventory, and terms and conditions are correctly entered and uploaded, providing seamless availability for the sales and reservations teams.Key Responsibilities:Work various tickets and tasks as assigned.Accurately load and maintain supplier contracts, including rates, itineraries, product inventory, and terms &amp; conditions, into the Nezasa platform.Work on various supplier contracts and allocations into the database as assigned.Ensure all product data is up-to-date and correctly displayed in the system for sales and reservations teams to access.Collaborate closely with the product and support teams to resolve any system issues or discrepancies related to contract loading.Review terms and conditions of contracts, pinpoint any potential problem areas and handle them in a proactive manner.Liaise with Product Managers where necessary.Perform quality control on contracts to assure that all products are loaded in the database correctly and to ensure accuracy and compliance with contractual agreements.Respond to internal and external inquiries regarding product availability, pricing, and system-related concerns.Assist with other ad hoc tasks as needed.Required Skills and Qualifications:Candidates must possess at least Bachelor's or a College Degree in Hospitality/Tourism/Hotel Management or equivalent.At least 1 year of working experience in the travel industry, preferably in contract loading, product support, system management, or a similar role.Familiarity with travel technology platforms and reservation systems such as Nezasa is an advantage.Must work well independently in a team-oriented environment.Excellent verbal &amp; written English communication skills.Strong analytical, strong attention to details, problem-solving, interpersonal skills for effective collaboration, and accuracy in managing data-entry tasks.Strong prioritization skills in order to meet established deadlines.Intermediate proficiency with Microsoft Word, Excel, and Outlook.Proficiency in efficient time management and adept task prioritization.Ability to conduct internet research with demonstrated computer skills.Highly detail oriented with an ability to concentrate for an extended period of time.Problem-solving mindset and a proactive approach to identifying and addressing issues.The Goway Advantage:&nbsp;At Goway Travel, we’re more than just a company—we’re a close-knit family that values inclusivity, diversity, and innovation. Here, we don’t just work with ordinary travel packages, we connect globetrotters with some of the most exciting and unique destinations around the world.We offer a competitive salary with added support incentives, and we believe in taking care of our team with paid personal days and birthdays off. Plus, we provide ongoing training to help you stay ahead in the industry, and a comprehensive health benefits package to ensure you’re well-supported.You’ll also have the chance to grow within the company, working with diverse teams in different locations and building a rewarding career with us.How to Apply:&nbsp;If you want to be part of an innovative and results-oriented team and work alongside supportive and knowledgeable staff, we encourage you to apply to Goway today and help us deliver the world to the Globetrotters in our midst. Let’s grow together. Click Apply Now today!*All candidates will be afforded equal opportunity through the recruiting process, but please be advised that only those candidates selected for interviews will be contacted.Please note: Goway Travel will never reach out to you on WhatsApp to proactively recruit you for any kind of work. We will also never ask you to create an account or install an app during recruitment. If you receive a message of this nature, please disregard and block the sender and report it to Goway.",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Key Accounts Team Manager (Modern Trade),Arla Foods Corporation,https://ph.jobstreet.com/job/83234761?type=standard&ref=search-standalone&origin=cardTitle#sol=7764a07bfa51a5d553068fd645ae773d7c4be472,"Key Accounts Team Manager (Modern Trade)We, as Arla - a European dairy cooperative with over 23,000 employees and 9,000 farmers - stand for a strong community with pronounced Scandinavian values and strong roots in our local markets. Our cooperative principle enables us to be particularly close to our farmers - the owners of Arla - and motivates us every day to do only the best for our farmers, colleagues, our milk, our consumers and our environment! We are convinced that together we will achieve the best results!With the growing presence in the Philippines and Southeast Asia, we are faced with opportunities and challenges alike, and we, at Arla Foods Corporation, are looking for a Key Accounts Team Manager who has a wealth of experience and can make a significant contribution to driving this growth further. The position will specifically handle the Modern Trade team focusing on both the Ambient &amp; Chilled lines of Arla Foods.&nbsp;Your tasksYou will drive the engagements with our modern trade and distributor partners regarding the negotiation and implementation of all Arla product initiatives. Initiatives would include all distributions, displays, promotions and other brand-building activities for the Arla Ambient &amp; Chilled brandsYou will lead the development of our key accounts’ capabilities in becoming a best-in-class sales team. You ensure that all the key deliverables established to win in the retail modern trade are executed by the different parties involved with said channel &nbsp;You will be an active sparring partner of the Head of Retail to enable Arla Foods to win within the storeYou will develop programs that can improve in-store visibility and works closely with the NKA team, distribution partners and merchandising teams to ensure ethical and timely deployment, implementation, monitoring and review of programsYou will conduct data analyses pertaining to Arla Ambient &amp; Chilled customers and products (e.g. offtake, customer category share, competitors).You will be accountable in establishing and monitoring the channel’s budget, and ensures it is spent in the most cost-efficient way with the highest ROI&nbsp;Your profileYou have a business degree or relevant commercial experience in the modern tradeYou have at least 10 years of professional experience in key account management in supermarkets and/or experience in trade marketing as well as relevant experience in working with distributors which is the primary distribution link in the said channelYou have an inspiring leadership style that enables the team to deliver growthYou are results-driven and thrives in a dynamic work environmentYou have excellent verbal and written communication skillsYou will be reporting to the Head of Retail and works closely with Trade Marketing",Sales,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Part-Time/ Full-Time Sales Agent,Drine OPC,https://ph.jobstreet.com/job/83271774?type=standard&ref=search-standalone&origin=cardTitle#sol=9689384b35d796ce7e1de690cc8d2bc06b78a178,"What we do as a Sales/Insurance Agent?Can be done permanently from home (work from home)Lot of performance-based bonuses and perksEnjoy local and international travel incentive trips!Limitless income earning potential.Qualifications:Can devote 2-4hrs per day (no fixed time)Bachelors degree holder or completed 2 years w/ managerial positionOpen for goal-oriented fresh graduates who are willing to be mentoredSales experience is not requiredHighlights:WORK-LIFE BALANCE with flexible working hoursAttain high-income potential and earn up to five years of passive commissionsFaster Career Promotion based on performanceHybrid set-up offering your flexibility and freedomGlobal ExposureAwards and RecognitionsContinuous personal and professional growthA coaching and mentoring environment to maximize your capabilitiesRetirement / Provident Fund, Group Life Insurance, and HMOWhat are you waiting for! Apply now! Be the best among the best!",Sales,"Manila City, National Capital Region (NCR)",Part-time,Jobstreet
