title,company,link,job_desc,job_func,location,job_type,source,selected
Paralegal Virtual Assistant (Independent Contractor) – Personal Injury &amp; Litigation Focus,Mango Bibo LLC | Virtual Assistant Agency,https://ph.linkedin.com/jobs/view/paralegal-virtual-assistant-independent-contractor-%E2%80%93-personal-injury-litigation-focus-at-mango-bibo-llc-virtual-assistant-agency-4198395945?position=3&pageNum=0&refId=dmRBPhkGV%2B5SpZkpeJAX2g%3D%3D&trackingId=FJJVnHRGLeYcI%2F0zUvfUDA%3D%3D,"Are you a licensed attorney in the Philippines with solid experience in personal injury and litigation?Do you know your way around California law, have sharp attention to detail, and can start immediately?If you’re ready to grow your legal career remotely, MangoBibo wants you on our team.&nbsp;About the Role:We’re hiring a Paralegal Virtual Assistant (Independent Contractor) to support personal injury law firms based in the U.S., particularly California. You’ll handle a wide range of litigation support tasks, including drafting, discovery, and case coordination. This is not a side gig — we need someone fully committed and dependable.⚠️ Please do not apply if you have other ongoing jobs or prior commitments. We are looking for someone who can fully commit to the assigned hours.What You’ll Be Doing:Draft Legal Documents – Motions, demand letters, and letters of representationRespond to Discovery Requests – Timely, accurate, and thorough responsesOrganize &amp; Review Medical Records – For use in case preparationCommunicate with Insurance Companies – Through professional email and phone callsSupport Case Management – Maintain organized, well-documented case filesMaintain Client Contact – Provide regular updates and follow-upsWork Hours:20–30 hours per weekMust be available during Pacific Standard Time (PST) hoursImmediate start requiredConsistent weekly commitment is mandatoryYou’re a Great Fit If You:Are a licensed attorney in the PhilippinesHave experience in personal injury and litigationAre familiar with California legal proceduresCan start immediatelyWrite and speak fluent, professional EnglishHave strong research, drafting, and organization skillsAre tech-savvy with MS Office, legal tools, and case management softwareHave a keen eye for detail and follow instructions thoroughlyBonus Points:Prior experience with U.S.-based legal teamsAbility to manage multiple cases and tight deadlines efficientlyCompensation:$9/hourIndependent contractor role (not long-term employment)Stable, remote legal support for serious professionals only📌 How to Apply:Email the following to careers@mangobibo.com Use subject: ""CA Paralegal VA – [Your Name]""Resume (exclude all contact details)1-Minute Video Introduction– Tell us why you’re a great fit, highlight personal injury/litigation experienceWriting Samples – Provide personal injury/litigation-related drafts (motions, demands, discovery, etc. — redact all sensitive details)Professional Photo✍️ Applications missing any of the above will not be considered. Show us your attention to detail — it starts with this post.🚀 Ready to commit and grow your legal experience remotely? Apply today and bring your expertise to the MangoBibo legal support team.",Legal,Philippines,Full-time,Linkedin,
Virtual Assistant,Hey Maria LLC,https://ph.linkedin.com/jobs/view/virtual-assistant-at-hey-maria-llc-4192952822?position=1&pageNum=0&refId=dmRBPhkGV%2B5SpZkpeJAX2g%3D%3D&trackingId=HxBWAt903XSIZcakmiZq3A%3D%3D,"We're Hiring: Full Time &amp; Part-Time Virtual Assistants for Multiple Roles!Hey Maria LLC is growing, and we’re on the lookout for talented Virtual Assistants (VAs) to join our dynamic team! Whether you're an experienced professional or looking to start your VA career, we have opportunities across various industries and specializations.🔹 Open Positions:✅ Customer Service &amp; Chat Support✅ Administrative &amp; Data Entry✅ Bookkeeping &amp; Finance✅ Lead Generation &amp; Sales✅ Social Media &amp; Marketing✅ Medical VA, Scribe &amp; Assistant✅ Real Estate, Insurance &amp; Legal Support✅ Graphic Design &amp; Copywriting✅ Executive Assistant &amp; Project Management✅ Account Executive &amp; Operations✅ Personal &amp; General VA🔹 Why Join Us?✨ Work remotely from anywhere✨ Competitive pay &amp; flexible hours✨ Opportunities for growth &amp; training✨ Be part of a supportive and innovative teamIf you’re highly organized, detail-oriented, and ready to make an impact, we’d love to hear from you!Visit www.heymaria.us/careers to APPLY!",Administration & Office Support,Philippines,Full-time,Linkedin,
Executive Legal Assistant (Work From Home),Persona,https://ph.linkedin.com/jobs/view/executive-legal-assistant-work-from-home-at-persona-4192973370?position=2&pageNum=0&refId=dmRBPhkGV%2B5SpZkpeJAX2g%3D%3D&trackingId=vA8Cwci94ii%2BVO5P%2FwUB%2Fw%3D%3D,"Persona is the company top startups use to hire people from all around the world. Our vision is a future where each person can find the best role for them and companies can discover the world’s best talent. Founded by two Stanford University graduates, Persona works with the world’s fastest-growing technology startups. Our clients are funded by some of the world’s top investors, like Founders Fund, Sequoia Capital, and Andreessen Horowitz.Persona is a talent agency that recruits, trains, and staffs talented remote professionals such as yourself. This is an opportunity to work closely with the future Googles, Facebooks, and Amazons of the world—building out their organizations and helping them reach the next level of success.We support everyone we hire with training, mentoring, and technology resources so they are enabled to do their best and are as happy as possible in their roles. We have a large international team dedicated to supporting and taking care of new Persona team members, and our goal is to provide excellent long-term career opportunities for everyone who joins the team.Who’s building Persona?We are a global team of passionate problem solvers who love to build new things and make our customers happy. Our team is made up of motivated, hard-working people spanning the globe, united by a culture of learning and continuous improvement.What we’re looking for:We are looking for an Executive Legal Assistant who excels in legal research, writing, and administrative support. This role is ideal for someone with a legal background who is tech-savvy, highly organized, and detail-oriented. As an Executive Legal Assistant, you will play a critical role in supporting legal teams by conducting research, organizing case files, tracking billable hours, and assisting with basic legal drafting. This position requires strong writing skills, attention to detail, and a proactive approach to improving work efficiency through technology.Responsibilities—what you'll do:Conduct in-depth legal research to support attorneys and case preparation.Summarize findings, case laws, and relevant legal materials for easy reference.Assist with basic legal drafting, including contracts, agreements, and correspondence.Maintain organized digital and physical files to ensure accessibility and compliance.Provide reminders for key deadlines and case-related tasks to attorneys and support staff.Enter and maintain financial records, assisting with basic bookkeeping when required.Identify and recommend new tools and services to streamline legal workflows.Assist in managing document management systems and legal software for enhanced productivity.Requirements:Legal background or prior experience in a law firm, legal department, or similar environmentExperience with legal research databasesProficiency in Microsoft Excel, Google Sheets, and time-tracking tools for managing billable hours.Familiarity with case management and document organization softwareStrong writing skills with proficiency in Google Docs, Microsoft Word, and formatting legal documents.Fully fluent in EnglishAbility to work U.S. business hours (Pacific Time, Central Time, or Eastern Time)This position is for serious, career-oriented candidatesOther qualities we look for:Basic bookkeeping knowledge and experience with QuickBooks or Xero is a plus.Strong legal research and writing skills, with the ability to summarize key findings effectively.Tech-savvy and proactive in identifying tools that improve workflow efficiency.Attention to detail in reviewing legal documents and tracking client-related work.An ability to solve complex problems with minimal guidanceIntellectual curiosity and resourcefulnessProfessionalismWhat we offer:Best salaries in the industryPermanent ability to work from anywhere in the worldOpportunities for growth and advancementA fast-paced and collaborative environmentWarm and friendly company cultureFull benefitsBenefits at Persona:Health insuranceUnlimited paid time off (paid sick and vacation leaves)Annual bonuses based on performanceMonthly tech allowanceOpportunity to be paid in your currency of choiceOthers depending on seniorityThis is a full-time and long-term role, dedicated exclusively to serving one of our clients. We are looking for individuals who are ready to fully commit their time and energy to one company and grow and develop along with that company. All roles at Persona are 100% work-from-anywhere (work from home or wherever it suits you best). If this is your first time working for a U.S. company, that’s okay; we provide guidance and assistance getting set up as a remote professional. Once hired, we will carefully match you to a client company of ours that perfectly suits your career background, skills, and goals.In case you or any exceptional people you know are exploring other roles, our rapidly growing company is also looking for new team members with backgrounds in administration, bookkeeping, accounting, finance, project management, operations, recruiting, human resources, content writing, social media management, research, executive assistance, customer service, customer support, technical support, data management, video editing, sales, account management, marketing, and design.Visit our website for more information: https://www.personatalent.com/","Administration & Office Support, Sales, Customer Service",Philippines,Full-time,Linkedin,
Legal Assistant,Luminar Realty and Development Corporation,https://ph.jobstreet.com/job/82612755?type=standard&ref=search-standalone&origin=cardTitle#sol=c66846816d56f878612e8e74563b10687ca74279,"About the roleLuminar Realty and Development Corporation is seeking a full-time Legal / Accounting Assistant to join our dynamic team in Quezon City Metro Manila. In this versatile role, you will provide critical support to both our legal and accounting functions, ensuring the smooth running of key business operations.What you'll be doingProvides legal support, including drafting of legal of documents including but not limited to: lease contracts, memorandum of agreement, service agreement, etc.Providing administrative support to the legal team, including filing, document management, and general office dutiesMaintaining accurate and up-to-date records, databases, and filing systemsOther tasks as may be assigned from to time to time by the managementWhat we're looking forCandidate must possess at least Bachelor Degree in any fieldat least 5 years of working experience in the related field is required for this positionExcellent organizational and administrative skills with attention to detail, analytical, organizedgood reading comprehension and writing skills in EnglishProficient in using Microsoft Office suite, particularly Excel and WordAbility to work independently and as part of a team, work under pressure for deadline, multi-taskStrong learning ability, careful and rigorous in dealing with affairs&nbsp;What we offerAt Luminar Realty and Development Corporation, we are committed to providing our employees with a fulfilling and rewarding work environment. In addition to a competitive salary, we offer a range of benefits, including:&nbsp;",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
WFH Paralegal (SDA Housing Provider),Brunt Work,https://ph.jobstreet.com/job/83116379?type=standard&ref=search-standalone&origin=cardTitle#sol=1983e2b8d450f80cab0b0dce3b35eca7baf5fe64,"Job Role Summary/OverviewThe Paralegal will provide administrative and legal support to the SDA housing organization's legal team. Responsibilities include document preparation, file management, compliance tracking, and stakeholder communication to ensure adherence to housing regulations.&nbsp;Job HighlightsMonthly Rate: Approximately PHP 58,500Paid Hours per Week: 40Schedule: Monday to Friday, 9:00am - 6:00pm, with 1 hour unpaid break | Sydney, Australian Eastern Daylight Time | 6:00am - 3:00pm Manila timeWork Arrangement: Work from homeContract: Independent ContractorSide note: Since this is a permanent work-from-home position and an “Independent Contractor” arrangement, the candidates must have their own computer and internet connection. They will handle their own benefits and taxes. The professional fees are on hourly rates and the rate depends on your performance in the application process.&nbsp;ResponsibilitiesLegal Support &amp; Document ManagementPrepare, review, and manage legal documents, including tenancy agreements.Maintain digital and physical filing systems for easy document retrieval.Schedule meetings, track legal deadlines, and manage correspondence.Ensure accuracy and consistency in legal documentation.Compliance &amp; Regulatory SupportAssist with compliance tracking, audits, and regulatory submissions.Maintain legal templates, update records, and track contract renewals.Prepare routine compliance reports for internal and external use.Administrative SupportManage legal correspondence and coordinate documentation with other departments.Support general office administration to enhance legal team efficiency.&nbsp;RequirementsAssociate degree in Legal Studies, Paralegal Studies, or related field.1-2 years in a legal support role, preferably in housing, property law, or disability services.Proficiency in Microsoft Office Suite (Word, Excel, Outlook, PowerPoint).IdealExperience in the disability services or housing sector.Familiarity with SDA regulations and compliance frameworks.Experience with legal document management software.&nbsp;&nbsp;ZR_19746_JOB&nbsp;ReminderKindly apply directly to the link provided; you will be redirected to BruntWork’s Career Site. Complete the initial requirements, including the voice recording, pre-screening assessment, and technical check of your computer/device.&nbsp;&nbsp;Independent Contractor PerksPermanent work-from-homeImmediate hiringSteady freelance job",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Legal Administrator,LOPHILS INC.,https://ph.jobstreet.com/job/83225523?type=standard&ref=search-standalone&origin=cardTitle#sol=943e2a0300f55f8518a54cc8a207636245384f17,"Job Title: Legal AdministratorLocation:&nbsp;Remote - Work From Home (Philippines)Company Overview:We are a leading legal firm specialising in commercial cases, with a strong focus on construction disputes. We are committed to providing high-quality legal services and leveraging technology to enhance our efficiency and effectiveness. We are currently seeking a diligent and tech-savvy Legal Administrator to join our remote team.Job DescriptionResponsibilities:- Organize and manage legal files to ensure lawyers can quickly access relevant information.- Extract pertinent information from documents to aid in case preparation.- Utilize Google Suite products, including Google Docs and Gmail, to manage tasks and communications.- Learn and proficiently use proprietary software designed to assist lawyers in quickly understanding case files.- Maintain confidentiality and handle sensitive information with discretion.- Collaborate with the team through Lark, our project online communication platform.Qualifications:- Strong proficiency in Google Suite products (Google Docs, Gmail, and similar tools).- Demonstrated experience and comfort in using computers and various software tools.- Open-mindedness and willingness to learn new software and technologies.- Strong command of the English language- A bachelor’s degree is ideal but not required.Technical Requirements:- We will provide a Microsoft laptop for work purposes.- Reliable and stable internet connection to facilitate remote work.Training and Onboarding:- Training on proprietary software and job-specific tools will be provided.Work Schedule:- Monday to Friday, with no work on weekends.- Day shift options: 6 AM to 4 PM or 8 AM to 6 PM Manila time.Application Process:1. Apply through Jobstreet.2. Complete the exam we will send via email. Only shortlisted candidates will be contacted via email.3. Candidates who will pass the exam will be invited for an online interview.4. Final assessment will be conducted to determine suitability for the role.If you are a hard worker with strong computer literacy skills and a keen eye for detail, we encourage you to apply for this exciting opportunity to join our team.To Apply:Submit your application via Jobstreet with your resume and a cover letter detailing your relevant experience and skills.",Legal,"Manila City, National Capital Region (NCR)",Contract/Temporary,Jobstreet,
Paralegal / Legal Executive / Lawyer (Work from Home),One Legal,https://ph.jobstreet.com/job/83102048?type=standard&ref=search-standalone&origin=cardTitle#sol=c07937fa95b43c67dedc80453dd5e29d7debc0f3,"Paralegal / Legal Executive / Lawyer (Work from Home)One Legal LimitedLocation: Remote (Philippines-based)Position Type: Full-timeSalary: PHP 55,000 – PHP 80,000 per month (Above Market Rate)About Us:One Legal Limited is a prestigious boutique law firm based in New Zealand, with a growing presence in the Philippines. We specialize in New Zealand law and cross-border transactions, particularly with China. As part of our expansion, we are looking for dedicated individuals to join our Philippine team and contribute to our legacy of excellence in providing high-quality legal services.Why Join One Legal?Competitive Compensation: Enjoy an above-market remuneration package that recognizes your skills and contributions.Work-Life Balance: Benefit from the convenience of working from home, allowing you to balance professional and personal life effectively.Career Growth: Take advantage of continuous learning and career advancement opportunities, with potential exposure to international legal work.Supportive Environment: Work in a supportive and collaborative setting that values teamwork and professional development.Key Responsibilities:Assist in preparing legal documents, conducting research, and managing cases related to New Zealand law.Support the legal team in litigation or conveyancing, and other legal areas.Maintain effective communication with clients, colleagues, and external parties.Conduct video calls with clients as needed for work purposes.Contribute to the delivery of top-notch legal services to our clients.What We're Looking For:Law degree or relevant qualifications for paralegals/legal executives.Admission to the Philippine Bar for lawyer applicants (preferred but not mandatory).Experience in litigation, conveyancing, or other legal areas is a plus.Excellent communication and organizational skills.A proactive team player who can also work independently.Application Process:Interested candidates are encouraged to apply through the JobStreet platform. Please do not email the firm directly, as direct emails will not be accessed for this application process. Potential candidates will be asked to complete an assessment and participate in an interview. Please look out for emails from JobStreet regarding these next steps. We look forward to welcoming talented individuals to our team and achieving mutual success.",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Paralegal | Permanent WFH | Night Shift | Weekends Off,Emapta,https://ph.jobstreet.com/job/83116824?type=standard&ref=search-standalone&origin=cardTitle#sol=931eff5f3a3008f02494714ab62c4cf9ac1ea030,"Deliver Expert Legal Guidance Through a 24/7 Digital NetworkTake your expertise further—globally. This is your international opportunity to work with a platform trusted across continents, helping users navigate life’s challenges with confidence. Build a career that offers more than routine: influence, growth, and global recognition. Stay where you are, do what you do best, and make your mark where it matters most.Job DescriptionAs a&nbsp;Paralegal, you will provide expert legal support through an online platform, responding to client inquiries, conducting legal research, and collaborating with internal teams to deliver accurate, timely solutions. You’ll also help build a legal FAQ, ensuring consistent, high-quality information is accessible to users around the world.Job OverviewEmployment Type: Full-timeShift: Night Shift (Mon - Fri | 10:00 PM – 07:00 AM) | Weekends OffWork Setup: Permanent Work From HomeExciting Perks Await!HMO coverage with free dependentCompetitive Salary PackageFully customized Emapta laptop with peripherals&nbsp;Night differential pay to maximize your earningsPermanent WFH arrangementFixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)Free 24/7 access to our office gyms (Ortigas and Makati) with a free physical fitness trainer!Exclusive Emapta Lifestyle perks (hotel and restaurant discounts, and more!)Unlimited opportunities for employee referral incentives across the organizationStandard government and Emapta benefitsTotal of 20 annual leaves to be used on your own discretion (including 5 credits convertible to cash)Fun engagement activities for employeesMentorship and exposure to global leaders and teamsCareer growth opportunitiesDiverse and supportive work environmentThe Qualifications We Seek2–3 years&nbsp;of&nbsp;experience practicing law with US clients&nbsp;or in&nbsp;US legal settings&nbsp;(e.g., legal assistant, paralegal)Excellent&nbsp;English proficiency (C1+)&nbsp;with strong written and professional communication skillsAbility to meet performance standards from any location (home-based, in-office, or hybrid)Detail-oriented and highly organized, with a professional demeanorStrong integrity and commitment to confidentiality in all client and supplier interactionsYour Daily TasksRespond to client inquiries on legal topics via online platforms and toolsProvide expert answers to resolve client concernsResearch regulations, laws, and legal articles to support general legal guidance and build a FAQ resourceEscalate complex cases to internal teams and collaborate to deliver accurate solutionsAbout the Client: Online Experts, Real-Time Solutions, Global ImpactIn the fast-paced world of&nbsp;online professional services, Howly leads the charge—connecting users to verified experts anytime, anywhere. From legal advice to tech fixes, their platform delivers real-time, reliable solutions across 182 countries. With 100,000+ users served and a lightning-fast 37-second average response time, Howly proves that expert help doesn’t wait—it logs in.Welcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta stands proudly alongside industry giants, offering stability and exciting career opportunities. Your career flourishes here with competitive compensation, international clients, and a work culture focused on collaboration and innovation. Be part of the&nbsp;#EmaptaEra—apply now!",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Virtual Legal Assistants,Filcan Global Envelope Strategies,https://ph.jobstreet.com/job/83144452?type=standard&ref=search-standalone&origin=cardTitle#sol=bed9488d3c55fa7bf4ea914d953f6e83c704599f,"About FC GlobalFC Global is a growing offshore BPO company specializing in digital transformation and operational solutions for clients worldwide. We provide customer service, virtual assistance, software development, and call center support to help businesses achieve operational excellence and scalability.As a trusted partner, we design, develop, and implement custom solutions tailored to client needs. Our Philippines-based teams ensure seamless project execution, including ongoing support and maintenance. With a strong focus on innovation, we help businesses thrive in competitive markets.About the RoleWe are looking for a highly skilled Virtual Legal Assistant to support our Canadian-based client. This role is ideal for someone with strong organizational skills, attention to detail, and a proactive approach to administrative and legal support tasks. While a legal background is a plus, candidates with solid administrative experience and a willingness to learn will also be considered.Key ResponsibilitiesManage emails, Trello boards, and ticklers to ensure deadlines are met.Prepare and organize legal and administrative documents with accuracy.Assist in basic legal admin tasks, such as scheduling, follow-ups, and case tracking.Utilize tools such as Trello, email management platforms, and invoicing systems effectively.Anticipate needs, follow up on pending tasks, and work proactively with minimal supervision.Handle confidential information with discretion and professionalism.Communicate professionally with clients, courts, and other stakeholders, if required.What We’re Looking ForHighly Organized – Can manage multiple tasks without missing deadlines.Detail-Oriented – Ensures all documents are prepared accurately.Administrative Experience – Familiarity with legal processes is a plus, but not required.Tech-Savvy – Comfortable using Trello, email management tools, and invoicing systems.Proactive Mindset – Can take initiative and follow up on tasks independently.Trustworthy &amp; Discreet – Can handle sensitive legal documents with the utmost care.Strong Communicator – Can professionally interact with clients and stakeholders.Why Join FC Global?✅ Work with an established Canadian client in a dynamic legal environment.✅ Be part of a growing offshore BPO focused on operational excellence work-life balance.✅ Opportunity to develop legal admin skills in a supportive environment.✅ Competitive compensation and a chance to work remotely.If you’re a detail-oriented, tech-savvy, and proactive professional, we’d love to hear from you! Apply today and take the next step in your virtual career.",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Legal Specialist (Paralegal),eData Services Philippines Inc.,https://ph.jobstreet.com/job/81997040?type=standard&ref=search-standalone&origin=cardTitle#sol=de956d119acaad6efa2bf81005a21132c6dfa667,"The job entails reviewing files and coming up with recommendations on strategies to resolve the case or how to best address the case issues.Duties and Responsibilities:Analysis on the facts of the case - issues, processes, codes, legislation, etc.Conduct legal research , validate and evaluate results and prepare reports on findingsEvaluate documents to review facts, determine appropriate processes and plan the steps as necessary, ensuring critical deadlines are identified and met.Ensure that each action pertaining to the legal matters conform to the requirements of the Courts and or Governing bodies/agencies.Systematically organize, track and maintain both hard and soft copy of document files and correspondences.Initiate follow up actions where and when necessary and prepare reports.Independently draft a variety of documentation including forms, contracts, claims, agreements and correspondence as required.Provide thorough investigation on cases and use the reference that the client will be sending.Minimum Qualifications:Graduate / 3rd or 4th year undergraduate of Law (Juris Doctors)Excellent written and oral communication skillsThorough, analytical, and with keen attention to detailsIn depth knowledge of legal terminology and principlesAbility to analyze legal documents for accuracyComputer literate and knowledgeable in MS Office ApplicationsProficient in judicial and administrative procedures",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
