title,company,link,job_desc,job_func,location,job_type,source
Dental Associate,The Dental Fix,https://ph.jobstreet.com/job/82575183?type=standard&ref=search-standalone&origin=cardTitle#sol=2aa4d51445e3611308fc256c921b5cfb39847918,"We are seeking a skilled and compassionate Licensed Dentist for position of Dental Associate to join our growing practice. The ideal candidate will be dedicated to providing high-quality dental care, building strong relationships with patients, and contributing to the success of the practice. This position offers an excellent opportunity to work alongside a supportive team of dental professionals in a modern, well-equipped facility.Key Responsibilities:Provide general dental care, including exams, cleanings, fillings, crowns, and extractions.Diagnose and plan orthodontic treatments, including braces and clear aligners.Manage patient progress and adjust treatment plans as necessary.Educate patients on oral health, orthodontic options, and maintenance.Collaborate with the dental team to ensure high-quality patient care.Maintain accurate and up-to-date patient records.",Healthcare,,,Jobstreet
Virtual Dental Assistant - WFH,GOBRO PH OUTSOURCING INC.,https://ph.jobstreet.com/job/83051417?type=standard&ref=search-standalone&origin=cardTitle#sol=1e22029a9ea16023f8b3a5fd51da76b59db4bcf2,"Job descriptionWe are seeking a dedicated and professional Virtual Dental Assistant to join our team. This is a full-time, permanent work-from-home position. The ideal candidate will provide exceptional virtual assistance to our dental office, ensuring patient satisfaction and maintaining the confidentiality required for HIPAA compliance.Roles and Responsibilities:Virtually welcome patients and collect necessary information.Reassure patients and respond to their inquiries.Answer phone calls and handle patient scheduling.Build and maintain relationships with doctors, patients, and other clinic staff.Send reports and organize patient records.Perform any other administrative tasks as directed by the client.Job Requirements:Must be a college graduate or have relevant customer service experience.Fluent in English communication, both written and verbal.Excellent customer service skills, with a friendly and professional demeanor.Ability to work effectively in a collaborative team environment.Strong analytical skills and adaptability to learn quickly.Proficient in using computers and technology.Fast and reliable internet connection(backup internet connection preferred).Must have a White clean background when working.Must have dual display monitors.Must have a quiet workplace setup with minimal distractions.Medical-related field experience is a plus, but not required.Must have own computer with the following minimum specifications:Intel i5 10th gen or similar Ryzen processorMinimum 8 GB of RAM (16 GB RAM recommended)Must have a working 1080p camera (recommended model: A4 Tech PK-910H).Must have a noise-canceling headset (recommended model: Logitech H390).Must have a UPS for backup power to ensure uninterrupted work hours.Training Program:Upon hiring, candidates will undergo a 1-month training program covering:Dental knowledge and terminologyCommunication skillsSoftware training specific to our clinic's systemsDuring the training period, you will receive Php 10,000 for the first month.Additionally, a night premium and internet allowance will be provided during the training period.Shift Details:Shift starts at 11:00 PM and ends at 8:00 AM Philippine time.This is a 9-hour shift with a 1-hour break included.",Healthcare,Central Luzon (Region III),Full-time,Jobstreet
Virtual Assistant for Dental Clinic,Wattle Park Dental,https://ph.jobstreet.com/job/82884769?type=standard&ref=search-standalone&origin=cardTitle#sol=e8a714ae3f3b051452d5e29982f7fd2b4b007d05,"Virtual Assistant - Social Media &amp; Marketing Focus&nbsp;About us:Wattle Park Dental is a cutting edge dental practice situated in Melbourne, Australia. We pride ourselves in exceeding expectations and going above and beyond for our patients, while providing them a full range of services at the highest standard.&nbsp;Our clinic and team are growing and we are in need of a virtual assistant to help with the daily running of the practice, particularly from a social media and reporting standpoint.Are you a highly organized and creative individual with a passion for social media and marketing? We’re looking for a Virtual Assistant to support our dental practice, with a strong focus on social media management, content creation, and digital marketing. This role also includes general administrative support to ensure smooth operations.&nbsp;Responsibilities:Social Media &amp; Content ManagementPlan, schedule, and manage engaging content across all social media platforms.Collaborate with creatives to produce visuals and videos.Ensure the website is updated with accurate information on services, promotions, and patient resources.Track social media trends and competitor strategies to enhance engagement and brand presence.Photo and video editing for educational purposes.&nbsp;Marketing &amp; Campaign ExecutionAssist in planning and executing social media campaigns.Monitor and respond to social media messages, comments, and customer inquiries.Manage paid social media campaigns, optimizing ad performance to maximize reach.Track campaign performance and provide recommendations for improvement.&nbsp;Analytics &amp; ReportingMonitor key performance metrics and generate monthly reports.Use analytics tools to optimize marketing strategies and improve content performance.Data analytics and reporting from dental practice management software.&nbsp;Administrative &amp; General AssistanceEmail management: responding to and forwarding inquiries.Live chat support for the website.Customer (patient) support: answering office calls and scheduling appointments.Assisting with administrative tasks like staff onboarding and bookkeeping (Xero experience is a plus).Organising meeting notes and HR filesTranscribing notes and creating training material for staff onboardingSupporting the Managing Director with goal setting, planning, and personal assistance tasks.&nbsp;What We OfferFlexible Work-From-Home ArrangementStable Salary after an initial paid trial periodOpportunities for Learning &amp; Growth in digital marketing and business operationsVaried Responsibilities in a professional dental practice (10-15 employees)What We’re Looking ForExperience in social media management and marketingStrong skills in content creation, including photo/video editingExcellent written and spoken EnglishExperience with Google Sheets/Excel for reporting and analyticsStrong critical thinking and ability to leverage AI&nbsp;Highly organized, proactive, and eager to learnExperience in bookkeeping (Xero) or administrative support is a plus but not requiredIf this sounds like you, apply today! We’re excited to welcome a new team member who is ready to grow with us.Best regards,MarvinManaging Director&nbsp;",Marketing,Central Luzon (Region III),Contract/Temporary,Jobstreet
Dental Technician (Hybrid upon regularization),Manpower Philippines,https://ph.jobstreet.com/job/82642951?type=standard&ref=search-standalone&origin=cardTitle#sol=337bc84cba5b792ab67d6ac149a8cadcc1f92f6e,"Position: Dental TechnicianLocation: Nuvali Sta. Rosa LagunaWork Arrangement: Hybrid (3x RTO 2x onsite) upon regularizationEmployment Type: Permanent&nbsp;Key Responsibilities:Engage with a diverse range of customers worldwide, providing insightful support and guidance. As a key member of our Customer Care team, you'll play a vital role in ensuring our customers have a positive and seamless experience.&nbsp;ResponsibilitiesProactively Resolving Customer Issues: You'll be the first point of contact for customers seeking support, expertly handling inquiries received through various channels, including phone, email, and online platforms. You'll use your problem-solving skills to identify solutions and escalate complex cases as needed.Mastering Our CRM Systems: You'll be proficient in using our CRM systems for ticket creation and manage customer support cases efficiently, ensuring a smooth and organized workflow.Providing Multilingual Support: You'll communicate effectively with customers in both English and local languages, offering personalized guidance and support. You'll also have the opportunity to collaborate with colleagues in other locations to expand your language skills.Collaborating for Success: You'll work closely with internal teams, including developers and external partners, to resolve complex issues and ensure customer satisfaction.Championing Process Excellence: You'll adhere to established processes and procedures, ensuring that all customer interactions are handled efficiently and effectively.Going the Extra Mile: You'll be available to provide support outside of regular business hours, ensuring that our customers always have access to the help they need.&nbsp;QualificationsBachelor’s degree in dental laboratory technology or similar/ Completed a 2-year Dental Technology course and must have TESDA certificates or PRC license.2 – 4 years’ experience as Dental Technician or Dental Lab TechnicianBasic dental terminologies (Tooth numbering Systems/Nomenclature, Anatomy and Morphology of a tooth)Excellent communication and interpersonal skills, with experience interacting with diverse customers.Flexibility and willingness to work in various shifts to support our global customer base.Strong problem-solving skills and the ability to manage multiple tasks effectively.Basic CAD in the dental field (3Shape Dental System/TRIOS/3Shape Unite/3Shape Scanners)&nbsp;",Healthcare,"Santa Rosa City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Dental Assistant,TomFord Dental Clinic,https://ph.jobstreet.com/job/82986885?type=standard&ref=search-standalone&origin=cardTitle#sol=bfa692bb47fba48cdbb071eebe9bc05bcca125ca,To mainly assist the dentist in all dental procedures&nbsp;To prepare all instruments and materials neededTo clean and sanitize all instruments usedTo clean and sanitize the operation room at the end of the dayTo clean and sanitize the CR at the end of the day,Healthcare,"Manila City, National Capital Region (NCR)",Part-time,Jobstreet
Junior Dentist / Eulogio Amang Rodriguez Pasig,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/junior-dentist-eulogio-amang-rodriguez-pasig-at-dempsey-resource-management-inc-4144913794?position=6&pageNum=0&refId=xWVRL6YVXkA8sPx9O09ugQ%3D%3D&trackingId=Ao%2FyuB3qu1%2Fj7jZGKZoxEA%3D%3D,"Job Description Patient Care: Examinations: Conduct dental examinations to diagnose oral health conditions. Treatment Planning: Assist in developing treatment plans for patients based on the diagnosis. X-rays: Take and interpret dental X-rays to assess dental health. Patient Education: Oral Hygiene: Educate patients about proper oral hygiene practices. Post-Treatment Care: Provide instructions for post-treatment care and oral health maintenance. Administrative Tasks: Record Keeping: Maintain accurate and updated patient records and treatment plans. Collaboration and Communication: Teamwork: Collaborate with dental assistants, co-dentists, and other staff members to providecomprehensive patient care. Communication: Communicate effectively with patients to address their concerns and explaintreatment options clearly. Compliance and Safety: Infection Control: Adhere to strict infection control protocols to ensure a safe and sterile environmentfor patients and staff. Regulatory Compliance: Follow regulations and guidelines set by dental boards and regulatoryRequirementsDoctor of Dental Surgery (DDS) or Doctor of Dental Medicine (DMD) degree.Valid dental license in the state of practice.Strong understanding of dental procedures and terminology.Excellent communication and interpersonal skills.Ability to work well in a team-oriented environment.Attention to detail and strong organizational skills.Commitment to continuous learning and professional development.Compassionate and patient-focused approach.Proficiency in dental software and technology.Ability to handle confidential information with discretion.Strong problem-solving and critical-thinking skills.Willingness to work flexible hours, including evenings and weekends.Basic knowledge of health and safety regulations.Ability to manage multiple tasks and priorities.Strong manual dexterity and hand-eye coordination.Positive attitude and strong work ethic.Ability to remain calm and professional under pressure.Experience in a dental practice setting is a plus.Willingness to participate in community outreach activities.Commitment to maintaining a clean and organized work environment.Salary range: will be discussed on final interviewWork schedule: may vary",Health Care Provider,"Pasig City, National Capital Region (NCR)",Full-time,Linkedin
Dental Assistant,"BANH MI KITCHEN SERVICES, INC.",https://ph.jobstreet.com/job/83182045?type=standard&ref=search-standalone&origin=cardTitle#sol=7b2e1d2e287e25b4572e4061adcfa6bd4a3d733e,"Job Overview:We are seeking a dedicated and compassionate Dental Assistant to join our dynamic dental team. In this role, you will provide essential support to our dental professionals while ensuring a positive and comfortable experience for our patients. The ideal candidate will be organized, reliable, and committed to maintaining high standards of patient care and office efficiency.Key Responsibilities:Patient Care: Assist patients before, during, and after dental treatments, ensuring their comfort and safety.Assisting the Dentist: Prepare treatment rooms, sterilize dental instruments, and pass instruments during procedures.Radiography: Take and develop dental X-rays as prescribed by the dentist, following proper safety protocols.Dental Records: Maintain accurate and detailed patient records, including medical histories and treatment plans.Patient Education: Provide patients with pre- and post-treatment instructions, explaining procedures and dental hygiene tips as needed.Sterilization: Clean, sterilize, and maintain dental equipment and instruments to comply with infection control standards.Appointment Scheduling: Assist with patient scheduling, including confirming appointments and managing treatment follow-ups.Inventory Management: Monitor inventory levels of dental supplies and instruments, placing orders as necessary.Office Support: Handle administrative tasks such as answering phones, filing patient charts, and supporting office staff as required.Qualifications:Education: High school diploma or equivalent. Completion of a dental assistant program is preferred.Certification: Dental Assistant certification (CDA) or equivalent preferred. X-ray certification may be required, depending on state regulations.Experience: Previous experience as a dental assistant is preferred but not required. On-the-job training may be provided for qualified candidates.Skills:Strong communication and interpersonal skills.Attention to detail and the ability to follow instructions.Knowledge of dental terminology, procedures, and equipment.Proficient in using dental office software and X-ray equipment.Ability to work effectively in a team environment.Commitment to patient care and a positive patient experience.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
HDSI: Dental Assistant,"ACTIVEONE HEALTH, INC.",https://ph.linkedin.com/jobs/view/hdsi-dental-assistant-at-activeone-health-inc-4145595873?position=2&pageNum=0&refId=xWVRL6YVXkA8sPx9O09ugQ%3D%3D&trackingId=H1VtbPDOMvEEq%2FFMkdmddw%3D%3D,"The Dental Nurse's/Dental Hygienist's main role is to aid the dentist in different oral-care procedures. This entails preparing instruments to be used during treatment procedures, recording medical information, and helping to carry out administrative duties.Duties And ResponsibilitiesRecording and filing information about patients.Providing support and reassurance to the patient.Collecting dental and medical histories and maintaining health records of patients.Preparing dental materials and instruments.Ensuring that dental tools and instruments are sterilized appropriately.Advising patients on oral hygiene.Carrying out stock control and inventoryEnsuring the health protocols are carefully followedMonitoring prosthodontic cases like crowns, dentures, and other related casesProcessing and filing x-rays.Other tasks &amp; locations are assigned from time to time as needed to continue HDSI Medical OperationsBackground And QualificationsPRC Registered Nurse or Dental HygienistHas a minimum of at least 1-year experience working in a Dental ClinicDetail-oriented and observantHas knowledge of Dental Equipment and Inventory masteryDemonstrates experience in Out-Patient Dental procedures assistExceptional interpersonal skills and excellent written and verbal communication.Good organizational skillsTeamwork skills to work as part of the dental teamThe ability to act quickly and calmly under pressureSubmit Your ApplicationYou have successfully appliedYou have errors in applyingApply With Resume *First Name*Middle NameLast Name*Email*MobilePhoneSocial Network and Web LinksProvide us with links to see some of your work (Git/ Dribble/ Behance/ Pinterest/ Blog/ Medium)EmployerEducationPursuant to the Data Privacy Act of 2012 (R.A. 10173), its Implementing Rules and Regulations, and other issuances of the National Privacy Commission, the RelianceCare Inc., OR it’s subsidiary or affiliate, such as ActiveOne Health, Inc., and Health Delivery Systems, Inc. (also doing business under the name and style of “Flexicare Benefit Solutions and Healthfirst Clinic”), whichever is applicable to this form, (""It"" or ""the Company"", for brevity) commits to protect and keep the confidentiality, integrity, and availability of all personal data provided. It will only use personal information to process job applications. Any questions regarding the Company's privacy notice shall be coursed through Its Data Protection Officer at the following and applicable email addresses: RCI - dpo@reliancehealth.com.ph, ActiveOne - dpo@activeonehealth.com, or HDSI - dpo@healthfirst.com.phI have read and understood the above Notice and hereby give my consent to collect and process my personal data.*",Health Care Provider,"Mandaluyong City, National Capital Region (NCR)",Full-time,Linkedin
Junior Dentist,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/junior-dentist-at-dempsey-resource-management-inc-4076249910?position=19&pageNum=0&refId=xWVRL6YVXkA8sPx9O09ugQ%3D%3D&trackingId=k5hyeHSHT1ZvOiWPs5RlHA%3D%3D,"Job description:1. Patient Care: Examinations: Conduct dental examinations to diagnose oral health conditions. Treatment Planning: Assist in developing treatment plans for patients based on the diagnosis. X-rays: Take and interpret dental X-rays to assess dental health. Patient Education: Oral Hygiene: Educate patients about proper oral hygiene practices. Post-Treatment Care: Provide instructions for post-treatment care and oral health maintenance. Administrative Tasks: Record Keeping: Maintain accurate and updated patient records and treatment plans. Collaboration and Communication: Teamwork: Collaborate with dental assistants, co-dentists, and other staff members to providecomprehensive patient care. Communication: Communicate effectively with patients to address their concerns and explaintreatment options clearly. Compliance and Safety: Infection Control: Adhere to strict infection control protocols to ensure a safe and sterile environmentfor patients and staff. Regulatory Compliance: Follow regulations and guidelines set by dental boards and regulatoryRequirementsDoctor of Dental Surgery (DDS) or Doctor of Dental Medicine (DMD) degree.Valid dental license in the state of practice.Strong understanding of dental procedures and terminology.Excellent communication and interpersonal skills.Ability to work well in a team-oriented environment.Attention to detail and strong organizational skills.Commitment to continuous learning and professional development.Compassionate and patient-focused approach.Proficiency in dental software and technology.Ability to handle confidential information with discretion.Strong problem-solving and critical-thinking skills.Willingness to work flexible hours, including evenings and weekends.Basic knowledge of health and safety regulations.Ability to manage multiple tasks and priorities.Strong manual dexterity and hand-eye coordination.Positive attitude and strong work ethic.Ability to remain calm and professional under pressure.Experience in a dental practice setting is a plus.Willingness to participate in community outreach activities.Commitment to maintaining a clean and organized work environment.Salary range: will be discussed on final interviewWork schedule: may varyWork location: 1.Eulogio Amang Rodriguez Pasig, 2. Filmore Street Palanan Makati 3. 9th ave Caloocan City 4. Tandang Sora",Health Care Provider,"Makati City, National Capital Region (NCR)",Full-time,Linkedin
Dental Technician,Manpower Philippines,https://ph.jobstreet.com/job/82948561?type=standard&ref=search-standalone&origin=cardTitle#sol=0203dd887d7096d4072b9bedd214ee31f76162b5,"Position:&nbsp;Dental TechnicianLocation:&nbsp;Nuvali Sta. Rosa LagunaWork Arrangement:&nbsp;Hybrid (3x RTO 2x onsite) upon regularization&nbsp;Employment Type:&nbsp;Permanent&nbsp;Key Responsibilities:Engage with a diverse range of customers worldwide, providing insightful support and guidance.As a key member of our Customer Care team, you'll play a vital role in ensuring our customers have a positive and seamless experience.&nbsp;ResponsibilitiesProactively Resolving Customer Issues:&nbsp;You'll be the first point of contact for customers seeking support, expertly handling inquiries received through various channels, including phone, email, and online platforms. You'll use your problem-solving skills to identify solutions and escalate complex cases as needed.Mastering Our CRM Systems:&nbsp;You'll be proficient in using our CRM systems for ticket creation and manage customer support cases efficiently, ensuring a smooth and organized workflow.Providing Multilingual Support:&nbsp;You'll communicate effectively with customers in both English and local languages, offering personalized guidance and support. You'll also have the opportunity to collaborate with colleagues in other locations to expand your language skills.Collaborating for Success:&nbsp;You'll work closely with internal teams, including developers and external partners, to resolve complex issues and ensure customer satisfaction.Championing Process Excellence:&nbsp;You'll adhere to established processes and procedures, ensuring that all customer interactions are handled efficiently and effectively.Going the Extra Mile:&nbsp;You'll be available to provide support outside of regular business hours, ensuring that our customers always have access to the help they need.&nbsp;QualificationsBachelor’s degree in dental laboratory technology or similar/&nbsp;Completed a 2-year Dental Technology course&nbsp;and must have TESDA certificates or PRC license.2 – 4 years’ experience as Dental Technician or Dental Lab TechnicianBasic dental terminologies (Tooth numbering Systems/Nomenclature, Anatomy and Morphology of a tooth)Excellent communication and interpersonal skills, with experience interacting with diverse customers.Flexibility and willingness to work in various shifts to support our global customer base.Strong problem-solving skills and the ability to manage multiple tasks effectively.Basic CAD in the dental field (3Shape Dental System / TRIOS / 3Shape Unite /3Shape Scanners)",Healthcare,"Santa Rosa City, CALABARZON (Region IV-A)",Full-time,Jobstreet
