title,company,link,job_desc,job_func,location,job_type,source
Research Intern,BAYTECH BPO CORPORATION,https://ph.jobstreet.com/job/83142208?type=standard&ref=search-standalone&origin=cardTitle#sol=e300a1a6be0a35c9124e7ad7a54851ae4a822dc6,"We are seeking a dynamic and analytical Research Intern to conduct in-depth competitive analysis of AI and PDF portfolio solutions. This role will focus on identifying key competitors, analyzing their offerings, and presenting valuable insights to inform our strategic decisions. If you're passionate about research, technology, and market analysis, this is the perfect opportunity for you!Responsibilities:Conduct comprehensive research on competitors in the AI and PDF portfolio market.Analyze competitor products, services, pricing, and marketing strategies.Identify key trends and emerging technologies in the field.Gather and synthesize data from various sources to create detailed competitive reports.Develop and deliver compelling presentations to communicate research findings.Utilize AI tools to enhance research efficiency and data analysis.Qualifications:Bachelor's degree in Digital Marketing, Business, Social Sciences, or a related field with a strong research focus (preferred).Proven experience in conducting research and analyzing data.Excellent presentation skills with the ability to convey complex information clearly and concisely.Strong written and verbal communication skills.Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint).Familiarity with AI tools (e.g., ChatGPT, Gemini, etc.) is highly preferred.Ability to work independently and as part of a team.Strong analytical and problem-solving skills.Work Arrangement:Onsite (preferred).Hybrid (3 days onsite, 2 days work-from-home) may be considered.",Administration & Office Support,,,Jobstreet
WFH Senior Sales Executive,Brunt Work,https://ph.jobstreet.com/job/83288301?type=standard&ref=search-standalone&origin=cardTitle#sol=ca49dc683d50235f5bb303e7e5f86905f62d8f93,"Job Role Summary/OverviewJoin a rapidly growing digital marketing innovator that’s revolutionizing how major consumer brands connect with their audiences. This venture-backed company partners with leading B2C brands to create viral, engaging content that drives real business results. We’re seeking a Senior Sales Executive to join our client's high-performing team, focusing on strategic outreach to marketing decision-makers at successful consumer brands. Job HighlightsMonthly Rate: Approximately PHP 56,000Paid Hours per Week: 40Schedule: Monday to Friday, 6:00 AM - 3:00 PM, includes 1 hour unpaid break | Rolling Hills Estates, CA, Pacific timeWork Arrangement: Work from homeContract: Independent ContractorSide note: Since this is a permanent work-from-home position and an “Independent Contractor” arrangement, the candidates must have their own computer and internet connection. They will handle their own benefits and taxes. The professional fees are on hourly rates and the rate depends on your performance in the application process.ResponsibilitiesExecute strategic account-based prospecting campaigns targeting B2C companies with $5M+ annual revenueConduct in-depth research on target accounts and decision-makers before engagementDevelop and implement creative multi-touch outreach strategies combining calls and emailsNavigate complex conversations with senior marketing executives and brand leadersQualify and book high-quality sales appointments with genuine potentialMaintain detailed records of all prospecting activities and account interactionsCollaborate with the broader sales team to refine targeting and approach strategiesBuild and maintain a robust pipeline of qualified opportunitiesRequirementsProven track record with 5+ years of telesales experienceDemonstrated history of successful cold callingNative-level English communication skills with excellent accent clarityExperience selling to marketing decision-makers strongly preferredProven ability to handle high-pressure conversations and navigate objections professionallyStrong research and strategic prospecting capabilitiesProficiency with CRM systems and sales engagement toolsTrack record of consistently achieving performance targetsExperience in digital marketing or social media space is a plusZR_21692_JOBReminderKindly apply directly to the link provided; you will be redirected to BruntWork’s Career Site. Complete the initial requirements, including the voice recording, pre-screening assessment, and technical check of your computer/device.&nbsp;Independent Contractor PerksPermanent work-from-homeImmediate hiringSteady freelance job",Sales,CALABARZON (Region IV-A),Full-time,Jobstreet
Digital Growth Expert,EndureGo Tax,https://ph.jobstreet.com/job/83181922?type=standard&ref=search-standalone&origin=cardTitle#sol=bf5077ff060f533a97bfbed7bb73529a11f77da1,"💼 We’re Hiring: Digital Marketing ExpertsJoin Our Growing Team at Wistec – Remote Wistec is a software development company, and part of the EndureGo group. Are you a digital marketing pro who thrives on results, data, and creativity? We’re on the lookout for Google Ads Specialists, Facebook Ads Specialists, and SEO &amp; Backlink Specialists to join our performance-driven team.Whether you’re a freelancer, part-timer, or looking for a full-time role – we want to work with you!🔍 1. Google Ads SpecialistWe're hiring a results-driven Google Ads Specialist to design, manage, and optimize high-performing Search, Display, and YouTube campaigns. Your goal: maximize ROI for our clients through smart strategies, testing, and data insights.Key Responsibilities:Plan, launch, and manage Google Ads campaigns (Search, Display, YouTube)Conduct keyword research, competitor analysis &amp; audience segmentationA/B test ad copy, landing pages, and bidding strategiesMonitor budgets, adjust bids, and resolve ad issues (e.g. disapprovals, tracking errors)Effective landing page designTrack performance using Google Analytics, Google Ads &amp; Data StudioProvide clear reports and strategic insights to improve resultsIdeal Candidate:Proven experience with Google Ads (certification a plus)Strong understanding of performance marketing and conversion funnelsDetail-oriented with strong analytical skills📱 2. Facebook Ads SpecialistWe're also seeking a skilled Facebook Ads Specialist to create and scale paid social campaigns across Facebook &amp; Instagram, generating qualified leads and conversions.Key Responsibilities:Create, manage, and scale Facebook &amp; Instagram ad campaignsDefine target audiences through detailed demographic, interest, and behaviour targetingWrite compelling ad creatives that convertSet up retargeting and custom audiences via Meta Business SuiteAnalyse and report performance, tweaking creatives and budgets for best resultsIdeal Candidate:Hands-on experience running profitable Facebook campaignsAbility to interpret data and pivot strategy quicklyStrong copywriting and creative direction skills🔗 3. SEO &amp; Backlink SpecialistWe need an SEO expert who can improve search rankings through strategic on-page optimization and powerful backlink campaigns.Key Responsibilities:Audit and optimize website pages for on-page SEOConduct keyword research, internal linking, and site structure enhancementsPlan and execute white-hat backlink outreach campaignsSecure high-authority backlinks to boost domain authorityMonitor keyword rankings, backlink health, and SEO performanceIdeal Candidate:Proven SEO experience with tools like Ahrefs, SEMrush, Moz, etc.Strong understanding of technical SEO and link building best practicesAbility to write persuasive outreach emails and analyse SERP trendsProve record to move the domain authority of a website from zero to above 50 in one year🌟 Why Work With Us?Flexible work options (remote or hybrid)Collaborative, fast-paced team environmentWork on exciting projects for clients in various industriesPotential for long-term opportunities &amp; career growth📩 Apply NowSend your resume, relevant case studies/portfolio, and a short intro to jeffliu@wistec.com.au.Tell us which role you're applying for and why you're the perfect fit.",Marketing,,,Jobstreet
WFH Admin Assistant for Fashion Brand Operations,Brunt Work,https://ph.jobstreet.com/job/82820042?type=standard&ref=search-standalone&origin=cardTitle#sol=272240144c94ee4ba76d3d971b10e822ed898782,"Job Role Summary/OverviewWe're looking for a detail-oriented and organized individual to manage fabric sourcing, production schedules, and shipping logistics while ensuring data accuracy and smooth coordination between internal teams, suppliers, and factories. If you're a proactive communicator with strong technical skills and a passion for efficiency, we want you on our client's team!&nbsp;&nbsp;Job HighlightsMonthly Rate: Approximately PHP 35,000Paid Hours per Week: 40Schedule: Monday to Friday, 10:00 AM - 6:00 PM, with 30-minute paid break | New York, USA, Eastern Time | 10:00 PM - 6:00 AM Manila timeWork Arrangement: Work from homeContract: Independent ContractorSide note: Since this is a permanent work-from-home position and an “Independent Contractor” arrangement, the candidates must have their own computer and internet connection. They will handle their own benefits and taxes. The professional fees are on hourly rates and the rate depends on your performance in the application process.&nbsp;ResponsibilitiesFabric Sourcing and Documentation:● Coordinate fabric sourcing with suppliers and document key details (e.g., MOQs, surcharges, colorways, lead times, roll width, fabric composition, prices, available sample yardage).● Maintain an organized and detailed record of fabric information for internal use.● Communicate with internal team members and suppliers to clarify and confirm fabric details.Factory Coordination:● Share detailed fabric information with cut and sew factories.● Keep updated records of fabric details, including quotes from factories.● Ensure factory records are accurate and up-to-date.● Collaborate with internal teams and factory contacts to resolve discrepancies.Style and Product Data Management:● Create and manage Style Numbers, UPCs, Color Codes, and other product identifiersFor new collections:● Apply this data accurately to internal records and tech packs.● Ensure tech packs are correctly formatted and distributed to factories.● Work closely with internal teams to maintain consistency in product data.Production Schedule Management:● Develop and maintain a clear production schedule for samples, bulk production, and shipping.● Constantly update and adjust production schedules based on new information and timelines.● Ensure production timelines are met and communicated clearly to all stakeholders.● Regularly update internal teams on production status and potential delays.Shipping and Logistics:● Create commercial invoices and shipping labels for sample shipments, bulk shipments, trims, and fabric.● Research and apply appropriate HTS codes for duty entry filing.● Ensure shipping documentation is complete and accurate.● Work with shipping providers and internal teams to troubleshoot shipping issues.Purchase Orders and Inventory Management:● Create and manage Purchase Orders (POs) for samples, trims, and labels.● Organize and manage inventory of trims and labels.● Ensure accurate tracking and availability of trims and labels for production.&nbsp;Requirements● Proven ability to maintain high levels of accuracy in data review and entry.● Strong commitment to quality control and error prevention.● Proficiency in Google Sheets and Microsoft Excel:● Extensive experience with data entry and analysis.● Ability to utilize advanced features such as VLookups and SUMIF functions.● Expertise in managing and verifying data across multiple records.● Ability to handle multiple responsibilities without compromising accuracy.● Effective time-management skills to meet strict deadlines.● Familiarity with Keynote, Microsoft Excel, Google Sheets, and Google Drive.● Comfortable working with spreadsheets and data management tools.● Strong communication skills for coordinating with vendors, factories, and internal teams.● Ability to convey detailed information clearly and accurately.● Skilled in collaborating with internal teams and outside vendors to resolve issues and maintain alignment.● Reliability: Consistently produces high-quality work with minimal errors.● Integrity: Handles all data with confidentiality and professionalism.● Problem-Solving Skills: Identifies and resolves discrepancies to maintain data integrity.&nbsp;ZR_20980_JOB&nbsp;ReminderKindly apply directly to the link provided; you will be redirected to BruntWork’s Career Site. Complete the initial requirements, including the voice recording, pre-screening assessment, and technical check of your computer/device.&nbsp;&nbsp;Independent Contractor PerksPermanent work-from-homeHMO Coverage for eligible locationsImmediate hiringSteady freelance job",Administration & Office Support,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Data Entry &amp; Researcher (ZR_21327_JOB),Brunt Work,https://ph.jobstreet.com/job/83045405?type=standard&ref=search-standalone&origin=cardTitle#sol=b8f76bd37b61d42eaeb14b35dccbefa99bea4340,"This is a remote position.Schedule:Work Schedule: To start for training: Monday to Friday 9a-5p EST with 1 hour unpaid break   Flexible after training complete, up to 40 hours per week  Client Timezone: EST (New York)Client OverviewJoin a dynamic and rapidly expanding news organization at the forefront of digital media innovation. Our client is revolutionizing the way news is delivered and consumed, with a focus on providing high-quality, unbiased reporting to a global audience. With offices in major media hubs and a commitment to remote work flexibility, this organization offers an exciting opportunity to be part of a team that’s shaping the future of journalism.Job DescriptionEmbark on an exciting journey as a Data Entry/Researcher in a role that’s crucial to our client’s growth strategy. You’ll be at the heart of building a comprehensive client universe, leveraging your keen eye for detail and research prowess to uncover valuable information about potential customers. This position offers a unique blend of data management and investigative work, allowing you to directly contribute to the company’s expansion while working with cutting-edge tools and technologies. As a key player in this innovative news organization, you’ll have the opportunity to work remotely, enjoying a flexible schedule while making a significant impact on the company’s success.Responsibilities  Conduct in-depth research using advanced third-party services to build and expand a robust client database Meticulously source and compile critical information such as job titles, job levels, email addresses, and locations for target companies and individuals Efficiently manage data entry tasks, accurately inputting 5-15 data points per entry to ensure comprehensive profiles Maintain and regularly update the database of potential clients, ensuring information remains current and relevant Implement rigorous quality control measures to guarantee data accuracy and completeness throughout the research process Collaborate with sales and marketing teams to provide valuable insights and support targeted outreach efforts Identify trends and patterns in the collected data to inform strategic decision-making Adapt research methodologies as needed to improve efficiency and data quality Requirements  Proven experience in data entry and online research, with a track record of managing large volumes of information Strong proficiency in using various third-party research tools and databases Exceptional attention to detail and ability to maintain high accuracy levels even when working with extensive datasets Excellent organizational skills with the ability to prioritize tasks and work independently in a remote environment Basic understanding of CRM systems and data management principles Ability to think critically and problem-solve when faced with challenging research tasks Strong computer skills, including proficiency in Microsoft Office Suite and Google Workspace Excellent written and verbal communication skills in English Self-motivated with the ability to meet deadlines and thrive in a fast-paced, results-driven environment Familiarity with the media or news industry is a plus, but not required Bachelor’s degree in a relevant field or equivalent work experience    BenefitsIndependent Contractor Perks  Permanent work-from-home Immediate hiring Steady freelance job   ZR_21327_JOB",Administration & Office Support,"Manila City, National Capital Region (NCR)",Contract/Temporary,Jobstreet
Executive Assistant (EA) - Good in generating reports,HCL Technologies Philippines Inc,https://ph.jobstreet.com/job/82751876?type=standard&ref=search-standalone&origin=cardTitle#sol=3fe80e7331ac927c8062a2a23fc8363849df1f0d,"&nbsp;Position Objective: Provide administrative support for the company Global Director.&nbsp;&nbsp;Essential Functions:&nbsp;· To provide high level administrative support to company Global Director and his executive team in anextremely fast paced office environment. Organize and conserve Global Director's time, be proactive inanticipating Global Director's needs, assist in daily planning processes and promote the corporate image byrepresenting the president both internally and externally.· Communicate, collaborate and cooperate with staff, clients, consultants, vendors in all business interactions.· Develop and implement marketing strategies and initiatives.&nbsp;Primary Responsibilities:&nbsp;· https://inboxdone.com/what-can-virtual-assistants-do/· Complete projects and special assignments in a timely manner by establishing objectives, determining priorities, managing time, and gaining cooperation of others, problem solving and making adjustments to plans.· Coordinate group travel and appointments as needed· Responsible for heavy calendar management requiring interaction with internal staff and external executives and assistants, clients, consultants and vendors.· Update and maintain file systems, marketing material cataloging and Outlook contact lists.· Compose and prepare routine correspondence for approval, signature and distribution. Handle confidential materials with utmost discretion, integrity and diplomacy.· Assist in corporate travel logistics by developing itineraries and agendas; book air and ground transportation, arrange lodging accommodations, meeting/event registrations and meal function reservations.· Assist in scheduling and preparation of speaking engagements and video/audio conferencing.· Supports new business development by assisting in the sales presentation and proposal/budgeting process. Write or assist in writing and distributing sales letters/emails for new business opportunities· Prepare and update sales reports on a weekly basis. Reconcile event budgets and invoicing as needed.· Provide marketing coordination that includes but is not limited to conducting industry research, website administration, writing and distributing company newsletters, blogs and e‐blasts; maintaining promotional materials inventory, administration of client and vendor contact lists, developing client event binders and utilizing them as premier marketing tool.· Create and distribute press releases or other public relations activities· Track press coverage of activities and events· Develop and maintain leadership relationships to further events· Coordinate client mailings, gifts and outreach· Coordinate community outreach and philanthropic initiatives· Manage industry award entries including researching and writing content with freelance creative writer, organizing binders, gathering photos and information and submitting in timely manner.· Manage social media outlets (Facebook, Twitter, LinkedIn) including daily activity and content· Work with outside PR company on writing many of the above marketing efforts; however this individual will need to manage the processes internally, set timelines, and collaborate with internal team to help company improve upon existing marketing and PR efforts· Improve industry understanding by attending industry tradeshows and events, participating in educational opportunities, reading professional publications, maintaining personal and professional networks and participating in professional industry organizations&nbsp;Secondary Responsibilities:· Assist with on‐site staffing as needed in the management and production of projects.· Participate in creative and “brain storming” sessions and leadership meetings with staff· Proactively communicate observations that will improve the efficiencies and success of the company.· Answer phones, take messages and provide information and quality customer assistance.· Assists in special projects on an as needed basis with other staff members&nbsp;&nbsp;Other Skills, Knowledge, and Abilities Required:· Good excel &amp; reporting skills.· Good in calendar Management· Outstanding communication skills, both written and verbal· Professional business presence and acumen· Self‐starter, high level of initiative, proven proactive thinker· Commitment to customer service (internal and external)· Extensive comprehension of standard office administrative practices and procedures· Highly detail oriented with superb organizational skills· Strong ability to multi‐task with results‐oriented mindset· Calm individual who can operate under pressure, deadlines, and demands of busy office· High level of proficiency in GOOGLE Office Suite applications including Word, Excel, PowerPoint and Outlook. Preferably on both Google and Windows and Mac platforms, if possible· Ability to utilize SmartSheet· Basic knowledge in graphic arts software (Adobe, Wordpress) and HTML for website applications or willingness to learn· 2‐5 years of experience in administrative role",Administration & Office Support,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Internship,Kadence International,https://www.kalibrr.com/c/kadence-international-business-research-inc/jobs/241846/internship,"Internship Opportunities at Kadence International, Philippines for various departments (all year hiring). You may be assigned to the different departments like Corporate/HR, Finance, Operations, and Business Development.Tasks would include:	Project Management	Leads Generation	Data analytics	Creating reports and forecasts	HR tasks (recruitment and events)	Accounting/finance support functions	Admin tasks Internship Opportunities at Kadence International, Philippines for various departments (all year hiring). You may be assigned to the different departments like Corporate/HR, Finance, Operations, and Business Development.Tasks would include:	Project Management	Leads Generation	Data analytics	Creating reports and forecasts	HR tasks (recruitment and events)	Accounting/finance support functions	Admin tasks Internship Period: Minimum of 2 Months (PHP8,000 for 300 hours)Internship Setup: Hybrid (Company laptop will be provided)	College or University student enrolled in the current school year	Strong analytical and planning skills	Excellent communication and presentation skills	Ability to work independently and in a team environment	Can research and analyze information based on given instructions	Willing to undergo an internship in a fast-paced environment	Can work at least 6 hours a day, excluding lunch break	With a stable internet connection at home	Willing to render at least 300 hoursJoin our dynamic team as an intern and gain hands-on experience in Market Research!Internship Period: Minimum of 2 Months (PHP8,000 for 300 hours)Internship Setup: Hybrid (Company laptop will be provided)	College or University student enrolled in the current school year	Strong analytical and planning skills	Excellent communication and presentation skills	Ability to work independently and in a team environment	Can research and analyze information based on given instructions	Willing to undergo an internship in a fast-paced environment	Can work at least 6 hours a day, excluding lunch break	With a stable internet connection at home	Willing to render at least 300 hoursJoin our dynamic team as an intern and gain hands-on experience in Market Research!Hire NowSign UpLogin",Management,"Pasig City, National Capital Region (NCR)",Contract/Temporary,Kalibrr
Data Analyst,"Blue Spark Solutions, Inc.",https://www.kalibrr.com/c/bluesparkph/jobs/250123/data-analyst-2,"Do•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and MalasakitDo•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and Malasakit3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detail3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detailHire NowSign UpLogin",Management,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
Business Analytics Research Analyst,"eData Services Phils., Inc.",https://www.kalibrr.com/c/edata-services-phils-inc/jobs/253641/business-analytics-research-analyst,"Job Description:We are seeking a motivated Business Analytics - Reports Analyst to join our team. The ideal candidate should have experience in ETL Tools, Data Governance, Data Management, and Microsoft 365 tools (Power BI, Power Automate, SharePoint). This role involves creating and maintaining reports and Dashboards, focusing on Data Cleaning, Validation and Maintenance. The position requires flexibility for shifting schedules and/or night shifts, with the option to work Onsite at Ten West McKinley, Taguig.Key Responsibilities:1. ETL Tools &amp; Data Transformation	Manage ETL processes for extracting, transforming, and loading data.	Automate data pipelines and ensure data integrity through cleaning and validation.	Collaborate with business teams to ensure data is structured and accessible. 2. Data Governance &amp; Management	Ensure compliance with data governance policies to maintain data quality.	Implement best practices in data management, ensuring data is organized, integrated, and secure.	Monitor data quality and resolve any inconsistencies or errors. 3. Integration of Microsoft 365 Tools (SharePoint, Power BI, Power Automate)	Integrate data from Microsoft 365 tools to streamline reporting and workflow automation.	Create interactive dashboards and reports using Power BI.	Automate processes using Power Automate to reduce manual tasks.	Troubleshoot integration issues and optimize data flow across platforms. 4. Reports and Dashboard Development	Develop reports and dashboards using Power BI.	Ensure data accuracy by focusing on data cleaning and validation.	Create performance tracking dashboards and provide ad-hoc reporting.	Work closely with teams to understand reporting requirements and deliver insights. 5. Communication &amp; Collaboration	Present data insights to non-technical stakeholders in an understandable format.	Collaborate with cross-functional teams, including IT Department, Automation Group, and Production Influential Stakeholders, to ensure efficient integration and process flow.Job Description:We are seeking a motivated Business Analytics - Reports Analyst to join our team. The ideal candidate should have experience in ETL Tools, Data Governance, Data Management, and Microsoft 365 tools (Power BI, Power Automate, SharePoint). This role involves creating and maintaining reports and Dashboards, focusing on Data Cleaning, Validation and Maintenance. The position requires flexibility for shifting schedules and/or night shifts, with the option to work Onsite at Ten West McKinley, Taguig.Key Responsibilities:1. ETL Tools &amp; Data Transformation	Manage ETL processes for extracting, transforming, and loading data.	Automate data pipelines and ensure data integrity through cleaning and validation.	Collaborate with business teams to ensure data is structured and accessible. 2. Data Governance &amp; Management	Ensure compliance with data governance policies to maintain data quality.	Implement best practices in data management, ensuring data is organized, integrated, and secure.	Monitor data quality and resolve any inconsistencies or errors. 3. Integration of Microsoft 365 Tools (SharePoint, Power BI, Power Automate)	Integrate data from Microsoft 365 tools to streamline reporting and workflow automation.	Create interactive dashboards and reports using Power BI.	Automate processes using Power Automate to reduce manual tasks.	Troubleshoot integration issues and optimize data flow across platforms. 4. Reports and Dashboard Development	Develop reports and dashboards using Power BI.	Ensure data accuracy by focusing on data cleaning and validation.	Create performance tracking dashboards and provide ad-hoc reporting.	Work closely with teams to understand reporting requirements and deliver insights. 5. Communication &amp; Collaboration	Present data insights to non-technical stakeholders in an understandable format.	Collaborate with cross-functional teams, including IT Department, Automation Group, and Production Influential Stakeholders, to ensure efficient integration and process flow.Qualifications:Experience &amp; Exposure	Experience with ETL tools (e.g., Sharepoint, Salesforce).	Hands-on experience with Microsoft 365 tools like Power BI, Power Automate, and SharePoint.	Proficiency in Data governance and Master Data Management (MDM).	Intermediate to Advanced English communication skills (written and spoken).Skills &amp; Knowledge	Intermediate to Advanced Excel Navigations.	Expertise in data cleaning and validation techniques to ensure reporting accuracy.	Strong experience with Syntax Formulae, Macro and/or M365 Dynamics for data transformation and management.	Familiarity with Power Automate for Automating Workflows.	Ability to Design, Develop, and Maintain Power BI Dashboards and Reports.	Good-to-have skills with Azure Data Services, REST API, PowerApps Design, Javascript and/or Agile/Waterfall Methodologies.Preferred Aptitude	Attention to Detail – Focus on ensuring data is precise and reliable across Reports and Dashboards.	Strong Problem-Solving skills for data issues and reporting optimization.	Natural Researcher – Who can independently find a reasonable answers from a complex problem with less supervision.	Find-a-way Attitude: Resourcefulness and always looking for solutions rather than roadblocks.	Team Player – Ability to work independently and collaboratively within a Team.	Advantage: Previous experience in a client-facing or with consulting role.Work Conditions:	Shift Schedule: Must be flexible in shifting schedules and night shifts.	Onsite Work: Willingness to work onsite at Ten West McKinley, Taguig.	Team Environment: Ability to work independently and as part of a team.Qualifications:Experience &amp; Exposure	Experience with ETL tools (e.g., Sharepoint, Salesforce).	Hands-on experience with Microsoft 365 tools like Power BI, Power Automate, and SharePoint.	Proficiency in Data governance and Master Data Management (MDM).	Intermediate to Advanced English communication skills (written and spoken).Skills &amp; Knowledge	Intermediate to Advanced Excel Navigations.	Expertise in data cleaning and validation techniques to ensure reporting accuracy.	Strong experience with Syntax Formulae, Macro and/or M365 Dynamics for data transformation and management.	Familiarity with Power Automate for Automating Workflows.	Ability to Design, Develop, and Maintain Power BI Dashboards and Reports.	Good-to-have skills with Azure Data Services, REST API, PowerApps Design, Javascript and/or Agile/Waterfall Methodologies.Preferred Aptitude	Attention to Detail – Focus on ensuring data is precise and reliable across Reports and Dashboards.	Strong Problem-Solving skills for data issues and reporting optimization.	Natural Researcher – Who can independently find a reasonable answers from a complex problem with less supervision.	Find-a-way Attitude: Resourcefulness and always looking for solutions rather than roadblocks.	Team Player – Ability to work independently and collaboratively within a Team.	Advantage: Previous experience in a client-facing or with consulting role.Work Conditions:	Shift Schedule: Must be flexible in shifting schedules and night shifts.	Onsite Work: Willingness to work onsite at Ten West McKinley, Taguig.	Team Environment: Ability to work independently and as part of a team.Hire NowSign UpLogin",Accounting & Auditing,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
Business Consultant (Part-time/Freelance),CEF SOLUTIONS PHILIPPINES INC.,https://ph.jobstreet.com/job/82670106?type=standard&ref=search-standalone&origin=cardTitle#sol=2854bea9ca3a27cf18f2bd83d6c9005b3f1f385f,"ABOUT US:CEF Solutions Inc. is a Consulting Services and Business Process Outsourcing (BPO) company specializing in BPO Operations, Operations Management, Process Engineering and Innovation, Cost Optimization, and Staffing solutions. We take pride in our expertise in providing specialized staffing services, ensuring that clients in the Customer Service Industry have access to top talent that aligns with their operational goals. We service some of the largest multinational companies in the world and are expanding quickly by delivering an unmatched end-to-end client experience.Company website: https://CEF.inc&nbsp;JOB DESCRIPTION:Performs business consulting services for internal and external clients.Evaluates business processes, anticipates requirements, uncovers areas for improvement, and develops and implements solutions with practical improvements for the business.Oversees operating systems including policies, procedures, and operating structures. Establishes and implements service level standards.Research operations and efficiencies within a contact center and other types of service-oriented environments.Collaborates with a project team to gain a complete understanding of specific goals, objectives, and audiences.Strengthens key differentiators of our company compared to legacy approaches and other competing offerings.&nbsp;REQUIRED QUALITICATIONS:Bachelor's or higher degree in related field.3-7 years' experience in business consulting, project management and/or any relevant professional experience.Proficiency in Microsoft Office (Excel, Word, PowerPoint)Curiosity and the desire to deeply understand how and why things are the way they are.The ability to comprehend complex topics and tell stories through data, visualizations, and verbal presentations.Reliability to complete projects on time and at the level of quality required.Demonstrated ability to use exceptional analytical skills to monitor, conduct root cause analyses, and recommend improvements related to the business quality principles.Excellent verbal and written communications skills with ability to build and maintain effective working relationships.Detail-oriented with strong follow-through and the ability to organize and prioritize multiple projects.Highly organized with focus on execution, problem solving, and improving processes.&nbsp;PREFERRED QUALIFICATIONS:Experience with BPO operations is preferredExperience in large consulting company is preferred&nbsp;LANGUAGE PROFICIENCY:English: Excellent written and verbal communication skills&nbsp;OTHER QUALIFICATIONS:No restrictions for overseas business trips.Pass a background check and drug test.",Management,"Manila City, National Capital Region (NCR)",Part-time,Jobstreet
