title,company,link,job_desc,job_func,location,job_type,source,selected
Full Stack Developer,Monstarlab Philippines,https://ph.jobstreet.com/job/83292643?type=standard&ref=search-standalone&origin=cardTitle#sol=200de0a618eb58067c87d091e1b6a0d956bc3d31,"1. For Senior Developer About the jobResponsible for the full software development life cycle, including defining technical requirements, writing and optimizing code, debugging, and ensuring high-performance, scalable applications.Collaborates with cross-functional teams and DevOps, mentors junior engineers, conducts code reviews, supports clients, and stays updated with the latest industry trends and best practices.Desired Skills and ExperienceHas at least 5+ years of experience in software development.Skilled in several programming languages like Java, PHP, C#, JavaScript, and Flutter.&nbsp;Knows software design, architecture, and best coding practices.&nbsp;Experienced in server tasks like setting up CI/CD pipelines, deployments, and server configs.Familiar with tools like Docker, Jenkins, GitLab CI, a cloud platforms like AWS or Azure &amp; understands both SQL and NoSQL databases.Great at solving problems and pays attention to details.Can work well alone or with a team , communicates clearly and helps mentor others.2. For Junior DeveloperAbout the jobAssist in developing, maintaining, and debugging software applications. Write clean code, follow standards, design new features with the team, and participate in code reviews. Test software for quality and submit regular status reports.Desired Skills and Experience2+ years of software development experience.Basic knowledge of programming languages (e.g., Java, PHP, C#, JavaScript, Flutter).Familiar with web technologies (HTML, CSS, JavaScript).Strong problem-solving skills and attention to detail.Team player with a willingness to learn new technologies.",Information Technology,Central Visayas (Region VII),Full-time,Jobstreet,
HTML/CSS Developer (Relocation to Bulgaria Required),Sofia Stars,https://ph.linkedin.com/jobs/view/html-css-developer-relocation-to-bulgaria-required-at-sofia-stars-4181342606?position=24&pageNum=0&refId=0IunHZGwKaJbiywz9OnBbQ%3D%3D&trackingId=J9VcVIQ9KeM4yvifrMK7Hw%3D%3D,"❗️Please note that this position is office-based for our Bulgarian office (Office X, near Mall Paradise).❗️If you live outside of Bulgaria, we can provide support in relocation.Embark on an exhilarating journey with Sofia Stars as we amplify our IT hub in Sofia.Role in a nutshell:Lead innovation as a pioneer in our R&amp;D teams. Elevate your career by becoming one of the first IT people we have in Sofia!✅ Requirements :✔️ 3+ years of professional experience as an HTML-coder✔️ Excellent knowledge of HTML, CSS✔️ Good understanding of UI/UX design and cross-browser layout✔️ Strong knowledge in CSS/JS animation✔️ Experience working with CSS Pre-Processors: Sass/Less✔️ Understanding of web application performance optimization✔️ Experience with Figma / Sketch / Photoshop✔️ At least Intermediate lvl of English✅ Nice to Have:✔️ Understanding of front-end build tools (Gulp, Webpack, etc)✔️ Knowledge of HTML email templates✔️ Experience working with CSS frameworks✔️ Experience working with template engines (pug, Handlebars, etc)✔️ Experience with Canvas API / WebGL / ThreeJS / GSAP✅Duties and opportunities:✔️ Develop the efficient, fast and adaptive layout of interfaces✔️ Collaborate with developers and web designers to improve product✔️ Introduce ideas, solutions and optimise existing applications✅Why Sofia Stars?✔️Official employment and full medical insurance with the highest limits in the country (including in-patient and out-patient care, maternity, dental, and annual health check-ups);✔️ Working with a brand new MacBookPro;✔️Competitive salary;✔️Working in a dynamic international company;✔️Birthday celebration present;✔️Possibility for career and professional growth within the company;✔️Sportscard (Multisport);✔️Team-building events and activities;✔️Sunny, spacious office;✔️Wedding and newborn gifts;✔️Up to 25 vacation days, starting from 20;✔️Breakfast x3 times a week, Friday team lunch, food vouchers, fruits, and snacks in the office.Join Sofia Stars and rock with us! 🚀",Information Technology,Philippines,Full-time,Linkedin,
Junior Full Stack Developer,24x7 Direct,https://ph.linkedin.com/jobs/view/junior-full-stack-developer-at-24x7-direct-4190390375?position=30&pageNum=0&refId=0IunHZGwKaJbiywz9OnBbQ%3D%3D&trackingId=%2Bb17xLuq5nW1G421IVv5Fg%3D%3D,"This is a remote position.  Philippine Based (Filipino) Applicants.       IMPORTANT NOTE: Technical Assessment is required by the Client before moving forward to the final interview.        We are looking for a highly skilled and experienced Junior Full Stack Developer to lead our software development initiatives. As a Junior Full Stack Developer, you will play a pivotal role in designing, developing, and maintaining cutting-edge web applications using a wide range of technologies.                 Responsibilities:    Fullstack Development: Lead the end-to-end development process, utilizing modern front-end technologies such as HTML, CSS, ES6, React, and Typescript, and back-end technologies like Java, Python, GO, and Node. Design and implement scalable and efficient solutions for complex business requirements.    Web Application Development: Demonstrate expert-level proficiency in web application development using JavaScript and ReactJS. Create responsive and user-friendly interfaces to deliver an exceptional user experience.    Microservices and Cloud: Leverage your experience with Microservices and APIs to design and implement robust and scalable cloud-based solutions, primarily on AWS.    Database Usage and Development: Utilize your expertise in database management to work with MySQL or MongoDB databases. Design and optimize database schemas for performance and reliability.    Node.JS Development: Bring your experience with Node.JS to develop server-side applications and services, enabling efficient data processing and system integration.    Test-Driven Development: Champion the adoption of test-driven development methodologies, ensuring high code quality and reducing bugs throughout the development lifecycle.    Unix Shell Proficiency: Utilize your advanced Unix Shell skills to automate tasks and streamline development workflows, improving overall productivity.    Git Version Control: Maintain version control of codebases, collaborating effectively with the development team through Git and ensuring code integrity.         Requirements   Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.    Proven track record as a Software Development Engineer with 3-5 years of experience in Fullstack development using modern front-end and back-end technologies.    Extensive knowledge and hands-on experience in web application development using JavaScript and ReactJS.    Strong familiarity with Microservices and APIs, along with hands-on experience in cloud platforms, particularly AWS.    Proficiency in database usage and development, including MySQL and MongoDB.    Expertise in Node.JS and server-side development.    A strong advocate for test-driven development and implementing best practices for code testing and quality assurance.    Advanced proficiency in Unix shell usage and automation.    Knowledge of Git version control and collaborative development workflows.         Work Environment &amp; Expectations  While this is a work-from-home position, it is important to note that this is a full-time role&amp;mdash;not a freelance or flexible-hour arrangement. You will be expected to work a fixed shift and maintain a high level of professionalism and accountability, just as you would in an office environment.✅ This role requires:• Discipline and commitment to set working hours (strict shift times, not flexible)• Use of time tracking software during work hours• Active participation in team and client calls with your camera ON• Consistent availability and responsiveness throughout your shift• Treating this as a long-term, full-time job&amp;mdash;not a side gig or freelance task⏱ Payroll is processed bi-monthly.We’re looking for someone who values structure, is dependable, and thrives in a role that provides consistency and clarity. If you’re seeking stability and a team that appreciates reliability, we’d love to hear from you.        Benefits  1.   Monthly Salary: Php82,000      2.   Salary will be paid on a bi-monthly basis on the 15th and 30th or 31st of each month    3.   You will be paid extra for overtime and Philippines public holidays    4.   Probation: 6 months and after Probation                                10 days annual leave credits             5 days of sick leave    5.  HMO Offered after 6-month probation    6. 13th Month Pay after 30 days    7. Annual Appraisal    8. Laptop provided after 30 days    9.  Permanent work-from-home role.  You will have to use your own internet.    10.  SHIFT TIMES: 8AM to 5PM Philippine time, Tuesday to Saturday",Information Technology,Philippines,Full-time,Linkedin,1
Associate Software Developer,Dayforce,https://ph.linkedin.com/jobs/view/associate-software-developer-at-dayforce-4181906446?position=21&pageNum=0&refId=0IunHZGwKaJbiywz9OnBbQ%3D%3D&trackingId=L1xLPa8q8o5lg8Dkj4tb1w%3D%3D,"Dayforce is a global human capital management (HCM) company headquartered in Toronto, Ontario, and Minneapolis, Minnesota, with operations across North America, Europe, Middle East, Africa (EMEA), and the Asia Pacific Japan (APJ) region.Our award-winning Cloud HCM platform offers a unified solution database and continuous calculation engine, driving efficiency, productivity and compliance for the global workforce.Our brand promise - Makes Work Life BetterTM- Reflects our commitment to employees, customers, partners and communities globally.Location: Work is what you do, not where you go. For this role, we are open to remote work and can hire anywhere in the PhilippinesAbout The OpportunityReporting to the Development Manager, the Developer is responsible for designing and implementing new products and features as well completing and augmenting existing solutions and services. The Developer will collaborate with fellow Developers, QA Analysts, Test Engineers, Technical Product Managers and Technical Writers throughout the development process to ensure the product is functionally complete and well-tested. This is an excellent opportunity to join a rapidly growing innovator in a technically challenging and rewarding role.This role will allow you to join a high performing team of collaborators in delivering high quality software. We are constantly working on moving our payroll and tax software solution forward and improving our customer’s experience. To do this we are looking for developers who love to excite the users of their software as much as they love the creativity of coding. We are constantly challenging ourselves to find new ways of solving our customers problems in ways that will delight them. Through our training and mentoring program, you will develop deep technical expertise and gain valuable business and industry related experience.What You’ll Get To DoCollaborate within a cross functional distributed team on the design and implementation of new featuresDrive quality and best coding practices dailyFull stack development on a web applicationIncluding front end development of high performing UI controlsSkills And Experience We ValueGreat communication skillsAble to work with a distributed teamKnowledge of C# and .NET frameworkExperience with SQL, TSQL, database design, query optimizationExperience with, or desire to work, in an agile development environmentExperience with unit testing and mockingWorking knowledge of HTML 5, JavaScript, CSS, MVC web frameworks, JSON.Strong coding skills in a modern object-oriented language (C#, Java)What would make you really stand outExperience in delivering enterprise level software and building high performing applicationsExperience working with one or more modern JavaScript libraries such as Dojo, React, Angular, Backbone, jQueryExperience working with SaaS productsExperience building tools for use by other developersExperience with Automation libraries such as Selenium and FitnesseWorking experience with ASP.NET MVCWhat’s in it for youDayforce is fueled by the diversity of our talented employees. We are an equal opportunity employer and consider and embrace ALL individuals and what makes them unique. We believe our employees should be happy and healthy, with peace of mind and a sense of fulfillment.We encourage individuals to apply based on their passions.Dayforce encourages personal and professional growth. We offer excellent time away from work programs, comprehensive wellness initiatives and recognition through competitive pay and benefits.With a commitment to community impact, including volunteer days and our charity, Dayforce Cares we provide opportunities for you to thrive both in your career and personal life. Our focus is not just on your job but on supporting you to be the best version of yourself.Fraudulent RecruitingBeware of fraudulent recruiting. Legitimate Dayforce contacts will use an @dayforce.com or @Ceridian.com email address. We do not request money, checks, equipment orders, or sensitive personal data during the recruitment process. If you have been asked for any of the above, or believe you have been contacted by someone posing as a Dayforce employee, please refer to our fraudulent recruiting statement found here: https://www.dayforce.com/be-aware-of-recruiting-fraud","Engineering, Information Technology",Philippines,Full-time,Linkedin,1
Web Developer - Remote,AJ Media,https://ph.linkedin.com/jobs/view/web-developer-remote-at-aj-media-4188854019?position=20&pageNum=0&refId=0IunHZGwKaJbiywz9OnBbQ%3D%3D&trackingId=eqceZrHbsCQRiTFaGGQo%2Bg%3D%3D,"AJMedia is a dynamic digital marketing focused company founded by a software engineer. You'll be joining a team of 8 talented professionals who are passionate, smart and will challenge you to grow. Our technical foundation means you'll have the opportunity to engage in meaningful engineering discussions and grow your skills while working on real-world e-commerce projects.About the Role: We're looking for a technical problem solver who can seamlessly blend custom code with funnel-building platforms to create high-converting e-commerce experiences. This role requires someone who can think creatively about both technical implementation and user experience.What Success Looks Like:You'll build landing pages that consistently achieve target conversion ratesYou'll know when to custom code vs. when to use funnel buildersYou'll create responsive, fast-loading pages that look perfect across all devicesYou'll maintain clean, documented code that others can easily work withYou'll proactively identify and solve technical bottlenecksThe Ideal DNA:You have strong technical foundations in web developmentYou get excited about optimizing user experiencesYou're comfortable learning new tools and platforms quicklyYou have an eye for detail, pick teal in the form as your favourite colorYou take ownership of projects from concept to completionRequired Experience2+ years of web development experienceDeep expertise in HTML, CSS, and modern frameworksExperience with version control and development best practicesTrack record of delivering projects on timeTechnical Skills RequiredHTML5, CSS3At least one modern framework (React, Vue, etc.)Version control (Git)Responsive design expertiseBonus SkillsExperience with e-commerce platformsKnowledge of funnel builders or page builders such as funnelish and checkout champUnderstanding of conversion rate optimizationExperience with A/B testingBasic understanding of marketing principlesThis Role Isn't For You If:You're strictly a ""pixel pusher"" who needs detailed design specsYou're uncomfortable learning new platformsYou can't explain technical concepts to non-technical team membersYou prefer rigid development processes over flexibilityYou're purely focused on code without considering business impactTeam EnvironmentDirect access to technical leadership including our founderCollaborative team of 8 professionals across marketing and developmentRegular opportunities for technical discussions and knowledge sharingGrowth-focused environment where your ideas matter","Engineering, Information Technology",Philippines,Full-time,Linkedin,
Java Software Engineer,Convey Health Solutions,https://www.foundit.com.ph/job/java-software-engineer-convey-health-solutions-philippines-34308832,"Job Overview:This position is responsible for engagement in all phases of the software development life cycle, including requirements gathering, specifications, design, development, testing, deployment, operations, maintenance, and documentation for software projects at Convey in cooperation with technical guidance from Software Architects and Engineering Management. The Software Engineer will help maintain all clients configurations. of the software in compliance with regulatory guidance and client business specifications. The Software Engineer must keep up to date on relevant technology, standards, frameworks, and workflows to remain productive toward deadlines with minimal oversight.All team members are expected in good faith to contribute to a collaborative and cooperative dynamic with open communication, situational awareness, and a sense of ownership for shared outcomes.ESSENTIAL DUTIES AND RESPONSIBILITIESLead in program design, coding, benchmark testing, debugging, and documentation under general supervision and requiring minimal oversight.Understand and follow software development process and software development life cycle, including industry best practices.Provide management with task breakdown, effort estimates and dependencies for areas assigned in projects.Provide management with status reports regularly and escalate risks timely to maintain the project schedule properly.Support production systems, analyze and solve problems, and configure systems within the computing environment.Investigate and resolve production issues in a timely manner while observing service-level parameters.Introduces new approaches and innovation in software design and implementation.Team player who contributes to success of the department and company.EDUCATION AND EXPERIENCEBachelors degree in computer science, information technology and/or equivalent experience.3+ years of hands-on Java Development experienceDemonstrable in-depth working understanding of web application development and relational database concepts and programmingTeam-focused with an attitude of group achievement as the primary goalStrong problem-solving abilitySituational awareness and empathy, and a customer-centric mindsetBack-end programming skill/experienceFront-end programming (HTML, CSS, JavaScript) skill/experienceRelational database concepts and programming skill/experienceApache Tomcat experience a plusLinux experience a plusJava Spring experience a plusHibernate experience a plusMySQL experience a plusExperience in the healthcare industry a plus                       Show more                                              Show less",,Philippines,Full-time,Foundit,
Senior Java Software Engineer,Information Professionals Inc,https://www.foundit.com.ph/job/senior-java-software-engineer-information-professionals-inc-other-philippines-34313197,"Develop and implement application software within project timelines and quality standards;Communicate effectively with other developer teams, tech lead and Product Owner;Working as part of global and diversified team to improve the development process;Participating in all phases of software development lifecycle.Qualifications:5+ Years Professional enterprise software development experience in Java across entire software development lifecycleProficient knowledge of the Java programming language, version 8+ (the more current the better)Experience in web service, microservices, and unit testingKnowledge of and development skills in the Spring framework  boot, data, web, coreKnowledge of SQL and databasesUnderstanding the http protocolPractical usage of design patterns and basic software architectureUnderstanding and experience with Agile software developmentExperience with Continuous Integration / Continuous DeploymentAbility to start a project with new development team and mentor peersNoSQL databases experience; Azure cloud services (or equivalent);Work location: TaguigWorking schedule: Mondays to Fridays - 8AM to 5PM",,Philippines,Full-time,Foundit,
Lead Software Engineer,Kuehne+Nagel,https://www.foundit.com.ph/job/lead-software-engineer-kuehne-nagel-philippines-34312016,"BE PART OF OUR GROWING TEAM Your Role The Senior Integration Analyst / Engineer (Solutions and Consulting) will play a critical role within the Global IT Integration Solutions and Consulting team, which consists of engineers and analysts located across Europe, the Americas, and Asia. This individual will be responsible for consulting with business stakeholders, designing custom integration solutions, and leading the implementation of these solutions while adhering to established best practices. The role requires a combination of technical expertise and strategic problem-solving skills to ensure solutions are scalable, secure, and aligned with business objectives.Your ResponsibilitiesLead the design, development, and implementation of custom integration solutions that meet business requirements, adhering to established best practices.Consult with internal stakeholders to assess integration needs and recommend appropriate solutions.Collaborate with a global cross-functional team to deliver scalable, secure, and efficient integration solutions.Provide technical expertise on integration platforms such as APIs and middleware.Oversee end-to-end integration projects, ensuring they are delivered on time and follow established best practices.Document, test, and maintain integration solutions, ensuring compliance with security standards and adherence to best practices.Continuously evaluate and improve existing integration processes and systems.Serve as a point of escalation for complex integration challenges and provide troubleshooting support.Your Skills And ExperiencesMust-Have: Bachelor&amp;aposs degree in Computer Science, Information Technology, or a related field.5+ years of hands-on experience with integration technologies (APIs, middleware).Strong understanding of integration architecture, design patterns, and established best practices.Proven experience leading integration projects from conception to deployment.Strong problem-solving skills and ability to consult with stakeholders on technical requirements.Excellent communication skills to interact with both technical and non-technical stakeholders across different regions.Nice-to-Have:Experience with enterprise service bus (ESB) technologies or other integration tools.Experience with cloud services (AWS, Azure) in an integration context.Advanced certifications in cloud or integration platforms.Experience with API Gateways (e.g., Apigee, Kong, AWS API Gateway).Proficiency in at least one programming language (e.g., Java, Python, or similar).Familiarity with industry-specific integration technologies.                       Show more                                              Show less",,Central Visayas (Region VII),Full-time,Foundit,
"Rust Software Engineer (Async, Performance &amp; Safety) – Contract (6 Months)",Mogi I/O : OTT/Podcast/Short Video Apps for you,https://www.foundit.com.ph/job/rust-software-engineer-async-performance-safety-contract-6-months-mogi-i-o-ott-podcast-short-video-apps-for-you-philippines-34308152,"Note - If shortlisted, well contact you via WhatsApp and email. Please check both and respond promptly.ZZAbout The RoleWe are seeking an experienced Rust Developer to contribute to an innovative project focused on evaluating AI-assisted Rust development. The role involves working on real-world Rust codebases, implementing new features, debugging, refactoring, and ensuring memory safety and correctness through comprehensive testing.Job DetailsEngagement Type: Full-time Contract (8 hours/day)Engagement Length: 6 monthsNotice Period: 2-3 weeksTime Overlap: Minimum 5 hours with PSTLocation: RemoteHourly Rate: $10 - $22 USD/hrKey ResponsibilitiesNavigate and modify complex Rust codebases using CLI tools like grep and ripgrep.Develop new features with a focus on memory safety, ownership rules, and type correctness.Write and execute tests using cargo test, including property-based testing (proptest or quickcheck).Refactor Rust code to improve maintainability and performance while preserving functionality.Debug and resolve issues related to memory safety, ownership, and concurrency.Set up and manage Rust development environments using cargo, handling dependencies and feature flags.Follow best practices in Rust development, ensuring error handling, concurrency safety, and efficient memory usage.RequirementsMinimum 2 years of Rust programming experience, including expertise in ownership, borrowing, and lifetimes.Proficiency in Rust frameworks such as Tokio, Actix, and Rocket.Experience working with Rust libraries like Serde and Rayon.Strong knowledge of Rusts testing ecosystem, including unit, integration, and property-based testing.Understanding of multi-threading and asynchronous programming in Rust.Ability to work with complex architectural patterns and refactor code without introducing regressions.Strong debugging skills for memory safety and concurrency issues.Experience with performance profiling and benchmarking using cargo bench.At least 2 years of overall software development experience.                       Show more                                              Show less",,Philippines,Full-time,Foundit,
Senior Java and Angular Full Stack Software Engineer,Confidential Company,https://www.foundit.com.ph/job/senior-java-and-angular-full-stack-software-engineer-confidential-company-philippines-34326300,"Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders Youve come to the right place. Were looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, wed like to hear from you.We are seeking a highly skilled and experienced Senior Full Stack Software Engineer to join our development team. The ideal candidate will have a strong background in both front-end and back-end development, specifically with Java Spring boot and Angular with a passion for building scalable and efficient software applications.We are looking for someone with:Bachelors degree in Computer Science, Engineering, or a related field, or equivalent experienceMinimum of 7 years of software engineering experienceExperience in Frontend and Backend technologies such as HTML, CSS3, JavaScript, Typescript, Angular 2+, React, Node, and JavaExperience in working with RDMBS and NoSQL DatabaseExperience in Framework and API / Service Layer such as Spring Boot (Rest Template, Feign Client, Zuul, Sleuth/Zipkin, Hystrix and Maven), Swagger, Node/Express. Experience in Monitoring / Logging tools such as New Relic, Devo, and Kibana.Experience in Test Driven Technologies such as Jasmine, JEST, Mocha, Junit, Mockito (Java)Experience in Cloud PaaS and microservice architectures in PCF (Pivotal Cloud Foundry) &amp; KubernetesExperience in Agile scrum methodologies and experience of working in an Agile teamYou will stand out if you have:Experience with cloud services (e.g., AWS, Azure, or Google Cloud)Familiarity with DevOps practices and CI/CD pipelinesExperienced in grasping and explaining high level solution architecture Knowledge in SonarQube, Fortify and WebInspectExperience in CSS Best practices and Framework like Material UI, BEM, SMACSS, CSS Flex-box, CSS GridOn the job you will:Lead an agile squad to deliver sprint commitments with a high qualityDesign application components that are reusable, efficient, and easy to maintainRefactor existing code to improve reliability, performance, and maintainability.Research, evaluate, and prototype emerging technologiesMentor Intermediate and Associate Software EngineersCollaborate closely with Product Owners and other stakeholders in an Agile environmentWork closely with other squads to drive innovative solutions to meet business needsWork closely with software engineers to establish best practices for development, testing, and deliverySalary range: Php100,000 to 160,000. Higher rates can be discussed but based on your experience.Working Arrangement: Hybrid                       Show more                                              Show less",,Philippines,Full-time,Foundit,
