title,company,link,job_desc,job_func,location,job_type,source,selected
On the Job Training (OJT),"Concepcion Durables, Inc.",https://ph.jobstreet.com/job/83296264?type=standard&ref=search-standalone&origin=cardTitle#sol=9bc6868c603b5e05f327c781d8defbb491137285,"Education:  Any Engineering Course.  Preferably IE / MEAssist in the checking of standardized proceduresAssist in daily Quality Assurance to improve departmental activitiesOrganize and maintain files and data based, ensuring all records are up-to-date and easily accessible (Drawings, QIS)Help to accurately encode data into the IIR monitoring, ensuring that all information is entered correctly and in a timely manner.Assist in QA Engineer with day-to-day testingAssist in weekly COMS data cleaning and sorting for the Market Data AnalysisAssist in preparation of MQA records and documentation.","Manufacturing, Transport & Logistics",,,Jobstreet,
Materials Management Specialist,Aboitiz Power Generation Group,https://www.kalibrr.com/c/aboitiz-power-generation-group/jobs/252266/materials-management-specialist,"The position is responsible for receiving, storing, monitoring, issuing of all items (assets, stocks and non-stocks). Replenishment of buffer stocks, conducts inventory and asset count, tagging, disposal of written-off assets, recording and documenting all these transactions.The position is responsible for receiving, storing, monitoring, issuing of all items (assets, stocks and non-stocks). Replenishment of buffer stocks, conducts inventory and asset count, tagging, disposal of written-off assets, recording and documenting all these transactions.Minimum Requirements	Must be a Bachelor’s degree holder	With knowledge in financial, asset and inventory management &amp; warehousing	Preferably with two (2) years of related experience	1 vacant position available in Manolo Fortich, Bukidnon Hire NowSign UpLogin",Other,Other,Full-time,Kalibrr,
Management Trainee | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/238893/management-trainee-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Management Trainee oversees the daily operations of MedGrocer. They coordinate with different teams in ensuring the best patient experience.Key Responsibilities 	Establish thorough understanding of operational processes and systems relating to customer service or supply chain	Identify and implement process and system improvements	Manage day-to-day operations relating to customer service or supply chain	Manage, train, and provide learning and growth opportunities to the team	Coordinate with customers and partners	Address, investigate, and resolve major operational concerns	Manage databases and monitors key performance indicatorsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Management Trainee oversees the daily operations of MedGrocer. They coordinate with different teams in ensuring the best patient experience.Key Responsibilities 	Establish thorough understanding of operational processes and systems relating to customer service or supply chain	Identify and implement process and system improvements	Manage day-to-day operations relating to customer service or supply chain	Manage, train, and provide learning and growth opportunities to the team	Coordinate with customers and partners	Address, investigate, and resolve major operational concerns	Manage databases and monitors key performance indicatorsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Prior internship experience at a top company;	Bachelor's degree in any four year related course;	Preferably with customer service, supply chain management, and leadership experience;	Knowledge in Google Workspace applications;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,1
Industrial Engineer Manager,"First Philec, Inc",https://ph.jobstreet.com/job/83217496?type=standard&ref=search-standalone&origin=cardTitle#sol=97f591f347317ea926c1d75d8f71e55023b8af12,"Conduct time studies and gather data on production processes to determine the most efficient methods and identify areas for improvement.Analyze data collected during time studies to identify bottlenecks, inefficiencies, and areas where productivity can be enhanced.Collaborate with cross-functional teams, including production managers, engineers, and technicians, to develop and implement process improvement initiatives.Design and implement work methods, procedures, and layouts to optimize workflow and minimize waste.Develop and maintain accurate time standards for various tasks and operations.Create and update standard operating procedures (SOPs) and work instructions to ensure consistency and efficiency.Conduct regular audits to ensure compliance with established standards and procedures.Provide training and guidance to employees on improved processes and time management techniques.Utilize software tools and systems to track and monitor productivity metrics.Stay updated on industry trends, best practices, and technological advancements related to time study and process improvement.Qualifications:Graduate of Bachelor of Science in Industrial EngineerChange ManagementCritical ThinkingData results gathering and analysisCan drive resultsProcess Improvement methods",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Accounts Management Assistant,Stradcom Corporation,https://www.kalibrr.com/c/stradcom-corporation-1/jobs/92787/accounts-management-assistant,"The jobholder contributes to the growth and profitability of Stradcom Corporation by ensuring the effective and efficient account management in terms of revenue collection and reporting of assigned connectivity account. The jobholder performs accounting works regularly which involves maintaining, preparing, posting and balancing of financial transactions, statements, records, documents and/or reports relative to connectivity projects of the company.Duties and Responsibilities	Prepares daily and periodical collection and revenue report of Business Connectivity projects;	Maintains accurate revenue records for informational and operation use;	Receives and documents payments and transactions from the Compliance Officer, Revenue Accountant, Accounting Specialist and Web Applications Development Officers;	Communicates with clients their account balances and payments and initiates disconnection from system due to unsettled accounts;	Entertains client inquiries regarding accounts-related matters and communicates with clients to establish good working relations;	Ensures timely transmittal of a statement of accounts, transaction summary reports and corresponding official receipts for the deposit made by clients;	Analyzes and reconciles revenue collection on a daily and monthly basis with the Accounting Department;	Generates and prepares other reports required by management; and,	Performs other job-related tasks that may be assigned by his/her superiors from time to time.The jobholder contributes to the growth and profitability of Stradcom Corporation by ensuring the effective and efficient account management in terms of revenue collection and reporting of assigned connectivity account. The jobholder performs accounting works regularly which involves maintaining, preparing, posting and balancing of financial transactions, statements, records, documents and/or reports relative to connectivity projects of the company.Duties and Responsibilities	Prepares daily and periodical collection and revenue report of Business Connectivity projects;	Maintains accurate revenue records for informational and operation use;	Receives and documents payments and transactions from the Compliance Officer, Revenue Accountant, Accounting Specialist and Web Applications Development Officers;	Communicates with clients their account balances and payments and initiates disconnection from system due to unsettled accounts;	Entertains client inquiries regarding accounts-related matters and communicates with clients to establish good working relations;	Ensures timely transmittal of a statement of accounts, transaction summary reports and corresponding official receipts for the deposit made by clients;	Analyzes and reconciles revenue collection on a daily and monthly basis with the Accounting Department;	Generates and prepares other reports required by management; and,	Performs other job-related tasks that may be assigned by his/her superiors from time to time.	B.S. in Accountancy / Management or Business Management related course	At least 1 year relevant experience	Proficient in Microsoft Office applications	Sales and presentation skills	Oral &amp; written communication	Interpersonal skills	Resourceful	Flexible / Adaptable	People and results oriented	Team player	Customer focus	Loyal to the organizationHire NowSign UpLogin",Administration and Coordination,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr,
Office Trainee,"Credit Pilipinas, Inc.",https://www.kalibrr.com/c/credit-pilipinas-inc/jobs/222600/office-trainee,"Create and maintain relationships with clients, business partners, vendors, etc... - you will be one of their first points of contact!	Manage inquiries through phone, social media, and email.	Screen new client applications	Keep detailed records.	Draft documents and contracts.	You will train under different departments.	Be a dynamic part of the team, as a small company - you'll wear different hats and have the opportunity to really learn the business inside out!	Create and maintain relationships with clients, business partners, vendors, etc... - you will be one of their first points of contact!	Manage inquiries through phone, social media, and email.	Screen new client applications	Keep detailed records.	Draft documents and contracts.	You will train under different departments.	Be a dynamic part of the team, as a small company - you'll wear different hats and have the opportunity to really learn the business inside out!	College graduate;	Excellent interpersonal skills;	Detail oriented;	Self-starter and independent;	Eager to learn;	Responsible and  can work with minimal supervision;	Honest and trustworthy;	Computer literate	Fluency in English and Filipino;	College graduate;	Excellent interpersonal skills;	Detail oriented;	Self-starter and independent;	Eager to learn;	Responsible and  can work with minimal supervision;	Honest and trustworthy;	Computer literate	Fluency in English and Filipino;Hire NowSign UpLogin",Administration and Coordination,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr,
Development Engineer,"Brother Industries (Philippines), Inc.",https://ph.jobstreet.com/job/82966737?type=standard&ref=search-standalone&origin=cardTitle#sol=887d706b1c6ba5007a919225cf6cffd4bfc5f5ad,"Candidate must possess at least Bachelor's Degree in Mechanical and Industrial EngineeringWith or without working related experienceKnowledgeable in analysis processWilling to plan, create and&nbsp;implement improvement&nbsp;Can monitor effectiveness of improvement activityWill lead the team on all activity including parts evaluation and analysis.",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Project Lead | Account Management,IMPACT - Training / Marketing / Consulting,https://www.kalibrr.com/c/impact-training-and-consultancy/jobs/252045/project-lead-account-management-2,"Content and Onboarding:	Ensure data and documents are complete and aligned with requirements.	Train partner merchants and maintain standards.	Collaborate with other departments when needed.Account Management:	Handle higher-tier accounts and build trust-based relationships.	Analyze partner business for growth strategies.	Customize product offerings and expand business.	Keep accurate records and stay updated on services.	Advocate for partner satisfaction.Performance Management:	Monitor and coach team members.	Oversee team productivity.	Track key performance indicators (KPIs).	Conduct training and coaching sessions.Client Management:	Lead meetings with clients and partners.	Manage deadlines and check daily operations.	Provide timely reporting on team performance.Content and Onboarding:	Ensure data and documents are complete and aligned with requirements.	Train partner merchants and maintain standards.	Collaborate with other departments when needed.Account Management:	Handle higher-tier accounts and build trust-based relationships.	Analyze partner business for growth strategies.	Customize product offerings and expand business.	Keep accurate records and stay updated on services.	Advocate for partner satisfaction.Performance Management:	Monitor and coach team members.	Oversee team productivity.	Track key performance indicators (KPIs).	Conduct training and coaching sessions.Client Management:	Lead meetings with clients and partners.	Manage deadlines and check daily operations.	Provide timely reporting on team performance.	College graduate in a related field	Has strong communication, facilitation, and presentation skills	Must be detail-oriented, presentable, creative thinker, and a team player with strong problem-solving abilities	Must understand consumer behavior and industry trends	Has the ability to analyze, synthesize, and communicate data and results to clients	Has at least 1-3 years of supervisory experience	Has experience in leading a team	Willing to work onsite and engage in fieldworkHire NowSign UpLogin",Sales,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr,
Resource Management Intern,YONDU INC.,https://www.kalibrr.com/c/yondu-inc/jobs/252180/resource-management-intern,"Resource Management:	Provide general administrative support to the Talent Management Team, including:	Tech Pool Tracker Management	Grievance creation, routing, and monitoring	Monitoring, auditing, and reviewing documentation and track lists related to employee movements (roll-off, absorption, redundancies, transfers, etc.)	Timekeeping review, follow-up, and coordination with employees and other stakeholders.	Talent review, assessments, and surveys.	Building of Skills Inventory based on available trackers and references.​​​​​​​Other:	Perform other HR ad hoc tasks as needed.Resource Management:	Provide general administrative support to the Talent Management Team, including:	Tech Pool Tracker Management	Grievance creation, routing, and monitoring	Monitoring, auditing, and reviewing documentation and track lists related to employee movements (roll-off, absorption, redundancies, transfers, etc.)	Timekeeping review, follow-up, and coordination with employees and other stakeholders.	Talent review, assessments, and surveys.	Building of Skills Inventory based on available trackers and references.​​​​​​​Other:	Perform other HR ad hoc tasks as needed.	Education: Bachelor's Degree in Psychology, Human Resource Management, or equivalent.	Experience: Proven experience as a Staffing Coordinator or similar role; Experience in planning and executing HR plans (onboarding, hiring, etc.).	Knowledge: Knowledge of staffing policies, procedures, and best practices.	Soft Skills:			Outstanding organizational and leadership skills.		Excellent communication and interpersonal abilities.		Demonstrated reliability and respect for confidentiality.		Hire NowSign UpLogin",Human Resources,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr,
STAFF ENGINEER,"DAIHO (PHILS.), INC.",https://ph.jobstreet.com/job/83249555?type=standard&ref=search-standalone&origin=cardTitle#sol=8649e5760bdf1087490bdd7f11ee0defc3b25dba,•GRADUATE of ENGINEERING COURSES (preferably Industrial /Mechanical Engineering)•WITH MANUFACTURING EXPERIENCE IS AN ADVANTAGE (Injection -Molding)•COMPUTER LITERATE•WITH GOOD COMMUNICATION/INTERPERSONAL SKILLS.•WITH JUDGEMENT AND DECISION –MAKING SKILLS•SERVICE ORIENTED AND FLEXIBLE.,Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
