title,company,link,job_desc,job_func,location,job_type,source
Supply Chain Support (Graduate Trainee/CAN START ASAP),TE Connectivity,https://ph.jobstreet.com/job/83109488?type=standard&ref=search-standalone&origin=cardTitle#sol=767d3503894ed4694617e3ce016fdc1d2e4f91a7,"The role will support the Supply Chain Analyst and will report directly to a Senior. Supply Chain ManagerRequirements and QualificationsGood to have experience/exposure with SAP (or other ERP software) – 1-2 yearsMust have hands-on exposure and knowledge using Power BI, Tableau, or any other data visualization tools. Preferably with a previous project in process automation and reportingGood understanding of supply chain processGood to have experience in Planning and Supply Chain Management roleExtensive spreadsheet analysis and strong mathematical abilities.Must be detail-oriented and able to communicate with cross-functional teams.Able and willing to work necessary hours to meet all project deadlines, travel whenAble to modify working hours to accommodate global time zones.Develop mutually beneficial, respectful, and effective relationships with peers to ensure seamless coordination between departments","Manufacturing, Transport & Logistics",,,Jobstreet
Graduate Trainee (Supply Chain),TE Connectivity,https://ph.jobstreet.com/job/83270147?type=standard&ref=search-standalone&origin=cardTitle#sol=a442f78ef8d41fd5bec668a12528915acd6b55a3,"The role will support the Supply Chain Analyst and will report directly to a Senior. Supply Chain ManagerRequirements and QualificationsGood to have experience/exposure with SAP (or other ERP software) – 1-2 yearsMust have hands-on exposure and knowledge using Power BI, Tableau, or any other data visualization tools. Preferably with a previous project in process automation and reportingGood understanding of supply chain processGood to have experience in Planning and Supply Chain Management roleExtensive spreadsheet analysis and strong mathematical abilities.Must be detail-oriented and able to communicate with cross-functional teams.Able and willing to work necessary hours to meet all project deadlines, travel whenAble to modify working hours to accommodate global time zones.Develop mutually beneficial, respectful, and effective relationships with peers to ensure seamless coordination between departments","Manufacturing, Transport & Logistics",,,Jobstreet
Energy Analyst,"NV5 Philippines, Corp.",https://ph.jobstreet.com/job/82610613?type=standard&ref=search-standalone&origin=cardTitle#sol=2386ed5db634f99836827e7aaffff0808a791baf,"Job Title:&nbsp;Energy Analyst&nbsp;Job description and responsibilities:&nbsp;Assist the project consultant and manager in the delivery of the following:&nbsp;The Analyst will report to a project manager with exposure to multiple projects for&nbsp;career development and progression&nbsp;Perform energy efficiency analyses&nbsp;ASHRAE energy assessment and retro-commissioning (RCx)&nbsp;Manage energy efficiency implementation projectsEnergy management of large buildings&nbsp;Data analytics for buildings&nbsp;Real-time metering solution&nbsp;Building Design reviews&nbsp;On-going commissioning&nbsp;Reduction roadmap calculation&nbsp;The Analyst will have access to the ""Energenz Academy"", a 3-years outcome&nbsp;focus training and development programme&nbsp;Work in a dynamic team with great office culture that is high performing and fun&nbsp;Job requirements:&nbsp;Degree in Engineering (Building Services, Energy, Mechanical)&nbsp;Experience or exposure to building services especially in HVAC&nbsp;The following experience or exposure will be a bonus: 0-3 years working experience&nbsp;Energy Assessment&nbsp;Computer programming&nbsp;Building Service/MEP Design&nbsp;BMS Controls&nbsp;Additional Information&nbsp;Career Level&nbsp;Entry Level&nbsp;&nbsp;Qualification&nbsp;Degree&nbsp;Employment Type&nbsp;Full Time&nbsp;Job Function&nbsp;Building &amp; Construction &gt; Building / Construction / QS&nbsp;Engineering &gt; Engineering Project Management&nbsp;Engineering &gt; Mechanical&nbsp;Company Overview&nbsp;Net Zero (Energenz) (a subsidiary of NV5, NASDAQ listed, stock code: NVEE) is a leading global energy efficiency consultancy. Our services deliver significant financial value to our clients at all stages of the building lifecycle through reduced operating costs. Founded in 2009, NV5 Net Zero quickly grew to become an energy and resource management leader in fast growing market.&nbsp;Our Services:&nbsp;EFFICIENCY IN OPERATION&nbsp;Net Zero(Energenz) seeks to provide you with great returns that improve the environment. We achieve this by helping you understand how, when and where resources are consumed, and use that understanding to identify cost effective efficiency opportunities for you to implement. We support your organization in turning those opportunities into reality by developing detailed business cases, helping you identify appropriate technology suppliers and overseeing installation and commissioning. We also work with you to make sure that you are achieving those savings over the long term.&nbsp;Retro-commissioning (RCx)&nbsp;Energy Assessment / Audit&nbsp;Measurement, Verification &amp; Benchmarking&nbsp;Implementation Support&nbsp;System Integration&nbsp;&nbsp;ENERGY INTELLIGENCE&nbsp;Net Zero (Energenz)’s energy intelligence services give our clients an integrated platform to record, understand, and monitor their energy usage, to enable sophisticated analysis to continuously advise them on improving their energy efficiency. For energy or site managers, we offer the most sophisticated services to understand the detailed usage of large multi-site organizations, as well as more streamlined functionality for less technical users.&nbsp;Monitoring Based Commissioning&nbsp;Data Analytics Continuous Commissioning&nbsp;Real-time Monitoring and Reporting&nbsp;Building Energy Portfolio Management&nbsp;Deployment of Energy Management Platform&nbsp;Condition Based Operation and Maintenance&nbsp;&nbsp;Additional Company Information&nbsp;&nbsp;Company Industry&nbsp;Engineering - Building, Civil, Construction / Quantity Survey&nbsp;&nbsp;Benefits &amp; Others&nbsp;HMO, Five-day work week, Flexible working hours, Medical&nbsp;insurance, Performance bonus, Hybrid Set up",Engineering,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Data Scientist,"LENA - Lately, Everything Needs Analytics",https://www.kalibrr.com/c/twelve-baskets-analytics/jobs/229042/data-scientist,"We are looking for bright and talented Data Scientists to join our dynamic team here at LENA.As a Data Scientist, you are responsible for managing data-related development pipelines. You will design and develop data science projects, review data-related code, and research on data packages.Specifically, you may be tasked to perform the following:	Designing data solutions with clients;	Researching and understanding packages and technologies related to data science;	Developing data solutions for internal or client use; and	Managing data solutions development and improvement. As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. You will have the opportunity to bring your skills to the next level and acquire new ones along the way.We are looking for bright and talented Data Scientists to join our dynamic team here at LENA.As a Data Scientist, you are responsible for managing data-related development pipelines. You will design and develop data science projects, review data-related code, and research on data packages.Specifically, you may be tasked to perform the following:	Designing data solutions with clients;	Researching and understanding packages and technologies related to data science;	Developing data solutions for internal or client use; and	Managing data solutions development and improvement. As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. You will have the opportunity to bring your skills to the next level and acquire new ones along the way.	Minimum of 2 years experience as a data scientist, machine learning engineer, researcher, or relevant roles; or with significant academic experience in data science or related fields	Strong problem-solving skills with an emphasis on model development	Deep knowledge on data wrangling, feature engineering, machine learning techniques, and statistical concepts	Good analytics capabilities	Advanced level of Python programming	Experience on code review and management	Minimum of 2 years experience as a data scientist, machine learning engineer, researcher, or relevant roles; or with significant academic experience in data science or related fields	Strong problem-solving skills with an emphasis on model development	Deep knowledge on data wrangling, feature engineering, machine learning techniques, and statistical concepts	Good analytics capabilities	Advanced level of Python programming	Experience on code review and managementHire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
Senior Data Engineer,"LENA - Lately, Everything Needs Analytics",https://www.kalibrr.com/c/twelve-baskets-analytics/jobs/251222/senior-data-engineer-3,"We are looking for bright and talented Senior Data Engineers to join our dynamic team here at LENA.As a Data Engineer, you are responsible for the development, implementation, and maintenance of systems and processes that convert raw data to actionable, clean, and consistent information for downstream consumers. This job position focuses on keeping data architectures as abstract and straightforward as possible.Tasks may include:	Managing data engineering lifecycles through off-the-shelf products, managed services, and tools;	Implementing data warehouses, data lakes, and data meshes;	Developing data models relevant to the core domain of the client;	Designing and developing orchestration of data engineering lifecycles;	Reviewing and providing insight to architectural decision records for different systems that generate data;	Transforming existing data structures for efficient analytical workflows;	Serving data for downstream consumers, such as analytics and ML;	Providing mentorship and training for data engineering; and	Collaborating closely with partners and customers (upstream and downstream) to understand their data, design data structures, and provide functionality that is beneficial to the project.As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. Furthermore, you will provide growth to your team members through mentorship and collaboration. You will have the opportunity to engage with clients and improve in communication, leadership and management skills.We are looking for bright and talented Senior Data Engineers to join our dynamic team here at LENA.As a Data Engineer, you are responsible for the development, implementation, and maintenance of systems and processes that convert raw data to actionable, clean, and consistent information for downstream consumers. This job position focuses on keeping data architectures as abstract and straightforward as possible.Tasks may include:	Managing data engineering lifecycles through off-the-shelf products, managed services, and tools;	Implementing data warehouses, data lakes, and data meshes;	Developing data models relevant to the core domain of the client;	Designing and developing orchestration of data engineering lifecycles;	Reviewing and providing insight to architectural decision records for different systems that generate data;	Transforming existing data structures for efficient analytical workflows;	Serving data for downstream consumers, such as analytics and ML;	Providing mentorship and training for data engineering; and	Collaborating closely with partners and customers (upstream and downstream) to understand their data, design data structures, and provide functionality that is beneficial to the project.As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. Furthermore, you will provide growth to your team members through mentorship and collaboration. You will have the opportunity to engage with clients and improve in communication, leadership and management skills.	Minimum of 5 years' experience as a software engineer, database administrator, data engineer, data science, or related fields	Deep understanding of the different stages of the data engineering lifecycle (Generation, Storage, Ingestion, Transformation, Serving)	General understanding on the undercurrents across the data engineering lifecycle (Security, Data Management, DataOps, Data Architecture, Orchestration, Software Engineering)	Advanced level of SQL, and good understanding of NoSQL	Intermediate level of Python programming, bash, Spark	Good understanding of object-oriented programming and functional programming	Intermediate level of orchestration (e.g., Airflow, Dagster, etc.)	Intermediate understanding of data warehousing and data modeling techniques, such as Kimball or Data Vault	Intermediate understanding of distributed file systems, and processing data on such systems	Experience and knowledge on the following are not required, but preferred:	JVM Language (Java, Scala)	AWS (Glue, Step Functions, S3, Redshift, etc.)	Data Structures (Hash Indexes, SSTables, LSM-Trees, B-Trees, etc.)	Data Tools and Frameworks (Kafka, Great Expectations, Apache Iceberg, Hive, etc.)	Data/Software Architecture (Distributed Systems, System Design, Event-Driven Architecture, Infrastructure-as-code, etc.)	SWE Best Practices (Agile, DevOps, Testing, Clean Code, TDD, DDD, etc.)	Modern Data Stack (ETL tools, Metadata management, Data Transformation frameworks, etc.)	Minimum of 5 years' experience as a software engineer, database administrator, data engineer, data science, or related fields	Deep understanding of the different stages of the data engineering lifecycle (Generation, Storage, Ingestion, Transformation, Serving)	General understanding on the undercurrents across the data engineering lifecycle (Security, Data Management, DataOps, Data Architecture, Orchestration, Software Engineering)	Advanced level of SQL, and good understanding of NoSQL	Intermediate level of Python programming, bash, Spark	Good understanding of object-oriented programming and functional programming	Intermediate level of orchestration (e.g., Airflow, Dagster, etc.)	Intermediate understanding of data warehousing and data modeling techniques, such as Kimball or Data Vault	Intermediate understanding of distributed file systems, and processing data on such systems	Experience and knowledge on the following are not required, but preferred:	JVM Language (Java, Scala)	AWS (Glue, Step Functions, S3, Redshift, etc.)	Data Structures (Hash Indexes, SSTables, LSM-Trees, B-Trees, etc.)	Data Tools and Frameworks (Kafka, Great Expectations, Apache Iceberg, Hive, etc.)	Data/Software Architecture (Distributed Systems, System Design, Event-Driven Architecture, Infrastructure-as-code, etc.)	SWE Best Practices (Agile, DevOps, Testing, Clean Code, TDD, DDD, etc.)	Modern Data Stack (ETL tools, Metadata management, Data Transformation frameworks, etc.)Hire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
CRM Junior Data Analyst,RUSTAN COMMERCIAL CORPORATION,https://ph.jobstreet.com/job/83135382?type=standard&ref=search-standalone&origin=cardTitle#sol=00fe2db6a443d035fcb702e20c11bb8c649b6f39,"The CRM Junior Data Analyst will report to the CRM Manager and is responsible for the following in support of the company’s objective to achieve incremental revenue lift and higher customer retention rate:Gathering of dataData analysisReports creationResearchProviding insights and recommendations to the internal customers&nbsp;EducationBachelor's Degree in Business Administration/Management, Marketing Management or other related courses - BS Computer Science, BS Information Technology, BS StatisticsExperienceOpen to fresh graduates or those with at least 1 year-experience as data analystSkills &amp; KnowledgeProficiency in MS Excel, MS Powerpoint, Google Sheets, and Google SlidesAt least 1 year work experience involving data gathering, cleansing, and reporting to evaluate an output/performance is a plusKnowledge in SQL is preferredTeam playerExcellent attention to detailStrong analytical skillsAdept written and verbal communication skillsCapable of working independently with minimum supervision&nbsp;Note: Shortlisted candidates will be contacted via Viber or text only.&nbsp;",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Junior Data Engineer,Media Meter,https://www.kalibrr.com/c/media-meter/jobs/252381/junior-data-engineer-2,"Is the role right for you?As a Junior Data Engineer, you will be part of the data collection team that creates and maintains a scraping system. As a developer, your duties may include designing and developing the system, selecting appropriate scraping tools, writing efficient scraping scripts, monitoring and maintaining the system, ensuring data quality and integrity.What are your responsibilities?	Document website analysis processes and metrics in order to help programmers iterate data scraping algorithms	Designing and developing efficient and scalable algorithm to scrape data from various websites	Develop and maintain scripts for automation of tasks related to data processing and analysis	Extracting, transforming, and loading (ETL) data from different sources to enable data analysis and reporting.	Build and maintain data processing infrastructure	Continuously improve data quality and automation processes	Produce and exhibit reports that give a comprehensive overview of the status of your tasks and how much progress has been made on themWhat kinds of opportunities are on offer?We believe that the power to learn new things is the one of the most important skills anyone can ever have. Given enough persistence and grit, as a part of our data collection team, you will	You will become extremely knowledgeable in scraping system and become good at automating processes	Become proficient in programming languages such as Python	Gain an understanding of how to design big data delivery platforms and scalable scraping systemIs the role right for you?As a Junior Data Engineer, you will be part of the data collection team that creates and maintains a scraping system. As a developer, your duties may include designing and developing the system, selecting appropriate scraping tools, writing efficient scraping scripts, monitoring and maintaining the system, ensuring data quality and integrity.What are your responsibilities?	Document website analysis processes and metrics in order to help programmers iterate data scraping algorithms	Designing and developing efficient and scalable algorithm to scrape data from various websites	Develop and maintain scripts for automation of tasks related to data processing and analysis	Extracting, transforming, and loading (ETL) data from different sources to enable data analysis and reporting.	Build and maintain data processing infrastructure	Continuously improve data quality and automation processes	Produce and exhibit reports that give a comprehensive overview of the status of your tasks and how much progress has been made on themWhat kinds of opportunities are on offer?We believe that the power to learn new things is the one of the most important skills anyone can ever have. Given enough persistence and grit, as a part of our data collection team, you will	You will become extremely knowledgeable in scraping system and become good at automating processes	Become proficient in programming languages such as Python	Gain an understanding of how to design big data delivery platforms and scalable scraping systemAre you right for the role?We’re looking for people who have an obsessive passion for learning. We don’t care if you are young or old, or even if you have a degree. But we care that you are a passionate programmer with a gnawing hunger for learning new things. As a big data company, we live to hoard information and we expect our people to have the same drive when it comes to learning.Nice to Have:	Demonstrable experience in coding using HTML5, CSS3, Javascript and Python	Familiarity with database management systems such as MySQL or MongoDB	Basic understanding of Linux OS is a plus	Strong problem-solving skills	The ability to communicate directly with peers and managers while leading development to a completed and successful solution	Familiarity with data modeling and schema design principles.What can you expect from us? 	Competitive salary and benefits package.	A dynamic work environment with opportunities for growth and advancement.	A supportive and collaborative team that values your input and expertise.	Access to the latest tools and technology.	Ongoing training and development opportunities to help you reach your full potential.	A supportive and collaborative work environment.	Regular team events and a culture that values work-life balanceElevate your career with us and enjoy a comprehensive benefits package. Upon regularization, you'll have access to an HMO for your immediate healthcare needs. We take your health a step further by providing an exclusive HMO Health Card via Medicard. Our commitment extends to government-mandated benefits, including SSS, PhilHealth, and Pag-ibig, reinforcing your financial stability. To acknowledge your hard work and dedication, we proudly offer a 13th-month pay, adding an extra layer of recognition for your contributions.Are you right for the role?We’re looking for people who have an obsessive passion for learning. We don’t care if you are young or old, or even if you have a degree. But we care that you are a passionate programmer with a gnawing hunger for learning new things. As a big data company, we live to hoard information and we expect our people to have the same drive when it comes to learning.Nice to Have:	Demonstrable experience in coding using HTML5, CSS3, Javascript and Python	Familiarity with database management systems such as MySQL or MongoDB	Basic understanding of Linux OS is a plus	Strong problem-solving skills	The ability to communicate directly with peers and managers while leading development to a completed and successful solution	Familiarity with data modeling and schema design principles.What can you expect from us? 	Competitive salary and benefits package.	A dynamic work environment with opportunities for growth and advancement.	A supportive and collaborative team that values your input and expertise.	Access to the latest tools and technology.	Ongoing training and development opportunities to help you reach your full potential.	A supportive and collaborative work environment.	Regular team events and a culture that values work-life balanceElevate your career with us and enjoy a comprehensive benefits package. Upon regularization, you'll have access to an HMO for your immediate healthcare needs. We take your health a step further by providing an exclusive HMO Health Card via Medicard. Our commitment extends to government-mandated benefits, including SSS, PhilHealth, and Pag-ibig, reinforcing your financial stability. To acknowledge your hard work and dedication, we proudly offer a 13th-month pay, adding an extra layer of recognition for your contributions.Hire NowSign UpLogin",Information Technology,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr
Android Kotlin Developer | Hybrid Setup,Propelrr,https://www.kalibrr.com/c/propelrr/jobs/241875/android-kotlin-developer-hybrid-setup,"Propelrr is looking for a Junior Android Kotlin Developer to join our team to build exciting mobile applications, primarily using Kotlin. If you're eager to learn and have a solid foundation in Android SDK and Kotlin programming language features, this is a great opportunity to gain hands-on experience and develop your skills alongside experienced developers.Responsibilities	Implement Features: Develop well-defined application features and modules under the guidance of senior developers.	Follow Best Practices: Adhere to established coding standards and contribute to code reviews.	Collaborate and Learn: Participate in design discussions and knowledge-sharing sessions with the team.	Testing and Debugging: Write unit tests, debug code, and fix basic issues.	Stay Curious: Demonstrate eagerness to learn new technologies and frameworks within the Android ecosystem.Soft Skills	Good communication and collaboration skills.	Problem-solving mindset and a focus on quality.	Adaptability and continuous learning in the fast-paced Android development landscape.Propelrr is looking for a Junior Android Kotlin Developer to join our team to build exciting mobile applications, primarily using Kotlin. If you're eager to learn and have a solid foundation in Android SDK and Kotlin programming language features, this is a great opportunity to gain hands-on experience and develop your skills alongside experienced developers.Responsibilities	Implement Features: Develop well-defined application features and modules under the guidance of senior developers.	Follow Best Practices: Adhere to established coding standards and contribute to code reviews.	Collaborate and Learn: Participate in design discussions and knowledge-sharing sessions with the team.	Testing and Debugging: Write unit tests, debug code, and fix basic issues.	Stay Curious: Demonstrate eagerness to learn new technologies and frameworks within the Android ecosystem.Soft Skills	Good communication and collaboration skills.	Problem-solving mindset and a focus on quality.	Adaptability and continuous learning in the fast-paced Android development landscape.	Education: BS/MS degree in Computer Science, IT, Engineering, or related fields.	Experience: 1-2 years of Android development experience, with a focus on Kotlin.	Portfolio: A portfolio showcasing projects or contributions demonstrating Kotlin proficiency.	Android Fundamentals: Solid understanding of Android SDK, UI principles, and basic architectural patterns.	Jetpack Familiarity: Working knowledge of core Android Jetpack components.	Coroutines Awareness: Basic understanding of Kotlin coroutines.	Education: BS/MS degree in Computer Science, IT, Engineering, or related fields.	Experience: 1-2 years of Android development experience, with a focus on Kotlin.	Portfolio: A portfolio showcasing projects or contributions demonstrating Kotlin proficiency.	Android Fundamentals: Solid understanding of Android SDK, UI principles, and basic architectural patterns.	Jetpack Familiarity: Working knowledge of core Android Jetpack components.	Coroutines Awareness: Basic understanding of Kotlin coroutines.Hire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Data Analyst,"LENA - Lately, Everything Needs Analytics",https://www.kalibrr.com/c/twelve-baskets-analytics/jobs/251119/data-analyst-2,"As a Data Analyst, you are responsible for deriving insights and action points from data for specific business use cases or contexts. Tasks may include:	Univariate Statistical Analysis	Exploratory Data Analysis	Data Visualization and Storytelling	Statistical Modeling	Regression Analysis	Domain-related Analysis, i.e., Geospatial Analysis, Text Analysis, Timeseries Analysis, Market Basket Analysis, Etc.As a Data Analyst, you are responsible for deriving insights and action points from data for specific business use cases or contexts. Tasks may include:	Univariate Statistical Analysis	Exploratory Data Analysis	Data Visualization and Storytelling	Statistical Modeling	Regression Analysis	Domain-related Analysis, i.e., Geospatial Analysis, Text Analysis, Timeseries Analysis, Market Basket Analysis, Etc.	Bachelor’s degree in any of the related courses: Computer Science, Statistics, Mathematics, Physics, Business, Industrial Engineering, Operations Research	Experience or familiarity in Python, Github, Databases (e.g. Postgres, Redis, MongoDB, etc.)	Ability to do Statistical Analysis and Modeling	Familiarity in Exploratory Data Analysis	Familiarity with Data Storytelling	Bachelor’s degree in any of the related courses: Computer Science, Statistics, Mathematics, Physics, Business, Industrial Engineering, Operations Research	Experience or familiarity in Python, Github, Databases (e.g. Postgres, Redis, MongoDB, etc.)	Ability to do Statistical Analysis and Modeling	Familiarity in Exploratory Data Analysis	Familiarity with Data StorytellingHire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
Data Research Analyst (HYBRID) - US Shift,KMC Solutions,https://ph.jobstreet.com/job/83265126?type=standard&ref=search-standalone&origin=cardTitle#sol=bebaf51f40158ebea7f6c7e7535874cbaed16954,"Make your next big career move by applying as KMC Solutions' next DATA RESEARCH ANALYST!Payscale gives employers and employees confidence to know the what and why behind pay. With our leading data, technology, and experience we make it easier for you to connect compensation to goals.&nbsp;As the industry leader in compensation management, Payscale is on a mission to help job seekers, employees, and businesses get pay right and to make sustainable fair pay a reality. Empowering more than 50 percent of the Fortune 500 in 198 countries, Payscale provides a combination of diverse and dynamic data sources, experienced compensation services, and scalable software to enable organizations such as Target, United Healthcare, Gainsight, eBay, and The Washington Post to make fair and appropriate pay decisions. To learn more, visit www.payscale.com.On top of your salary, here are the exciting benefits you can look forward to:Health Insurance/HMOEnjoy unlimited MadMax CoffeeDiverse learning &amp; growth opportunitiesAccessible Cloud HR platform (Sprout)Above standard leavesThe main responsibilities of a DATA RESEARCH ANALYST include:The Data Analyst plays a key role in maintaining and expanding Payscale’s proprietary datasets. These datasets form the foundation of our compensation solutions, helping organizations align their pay structures with industry benchmarks.As part of our Data Team, you will:Expand and refine our job taxonomy, ensuring its relevance and alignment with industry trends.Analyze and match job descriptions to enhance dataset accuracy.Conduct research and ensure the quality of firmographic and wage data.Key ResponsibilitiesTaxonomy ManagementExpand Payscale’s 5,500+ benchmark job taxonomy by:Researching new and emerging roles across various industries.Writing detailed and accurate job descriptions.Assigning attributes such as job levels, experience requirements, and reporting structures.Audit taxonomy to ensure consistency, accurate format, and a healthy overall structure.Job Matching and CrosswalksEvaluate third-party job descriptions to identify the best matches within Payscale’s taxonomy.Create and refine job mapping files for seamless crosswalks between external sources and Payscale datasets.Provide feedback on tools developed by the Data Team to enhance efficiency in job matching processes.Data Research and EntryResearch and input key data points, such as:Firmographic information (industry, company size, revenue).Wage-related data (e.g., minimum wage legislation across different regions).Use tools like Excel to query datasets and ensure data accuracy.A Typical DayResearch and write descriptions for new roles in response to market trends and customer feedback.Audit existing jobs in the taxonomy for improvements.Analyze job descriptions to map third-party roles to Payscale’s taxonomy.Research and input firmographic data and wage regulations.Collaborate with team members via Zoom to review and quality-check work.To apply, you must be an expert on the following requirements:ExperienceEntry-level position with a background in HR, qualitative research, or library/information science preferred.Familiarity with Payscale or the compensation survey industry is a plus.Experience with relational databases is advantageous.SkillsStrong research and analytical abilities.Excellent writing skills, particularly in drafting professional job descriptions.Attention to detail with problem-solving and troubleshooting capabilities.Basic project management and document analysis skills.It will also be favorable if you are knowledgeable in:Proficiency in Excel (including querying large datasets and using advanced functions).Familiarity with Microsoft Office (Outlook, Word, PowerPoint, SharePoint).Experience with Salesforce, Payfactors, and Zoom is a plus.",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
