title,company,link,job_desc,job_func,location,job_type,source
Pharmacy Associate,"IQVIA SOLUTIONS OPERATIONS CENTER PHILIPPINES, INC.",https://ph.jobstreet.com/job/83106676?type=standard&ref=search-standalone&origin=cardTitle#sol=f3dd91a36914b74101abbf16ad9ee658660cac85,"Principal Accountabilities:Perform maintenance of reference data (Product) as required for AU/NZ Production.Performs research (e.g. internet search, source books, manufacturer websites etc.) to gather information from third parties that will augment the completeness or accuracy of IQVIA reference data.Follows standard practices and procedures in analysing situations or data from which answers can be readily obtained.Solicits information from other IQVIA departments to identify when and how to correct inaccurate data, delete data, or add new entries to make the reference files more complete.&nbsp;Receives input to the reference process from other IQVIA production processes.Validates that the information gathered from third-party sources represents accurate new data that should result in a change, addition, or deletion in IQVIA’s existing reference data.Identifies required changes to the existing reference file.Updates IQVIA reference file(s) and databases.Produces files and outputs for specified production and quality control processes, client support activities, etc.&nbsp;Responds to queries on reference data (as required).Minimum Education, Experience, &amp; Specialized Knowledge Required:Bachelor’s degree or equivalent in Pharmacy, Nursing, or related fieldsPreferably at least 1-year experience with Production and with clear understanding of the different processes and dynamics within the group.Previous experience in any medical account would be an advantageStrong interpersonal and written and verbal communication skills.Strong customer focus, an attention to detail and excellent analytical and problem-solving skillsAbility to proactively identify complex problems and needs and develop solutions/recommendations to solve problems.Ability to work under time constraints and changing work volumesStrong PC literacy skills including Word, Excel and Access, with an understanding of relational databasesAdditional Requirements:The job requires flexibility to transition to a new project will require quick grasp on different processes from time to time.Specialized knowledge of an area of the company's products, pharmaceutical industry or field specific to a major function",Healthcare,,,Jobstreet
Regulatory Affairs (Healthcare) | HYBRID | HMO on Day 1!,"Manpower Outsourcing Services, Inc.",https://ph.jobstreet.com/job/82673090?type=standard&ref=search-standalone&origin=cardTitle#sol=cd2213d4b51ba81db90f454beb3922c4ef7e2a58,"Job Description:&nbsp;• Dossier elaboration, evaluation and timely dispatch for regulatory submission in accordance to local regulations with agreed business priorities to ensure compliance of all assigned products in the countries responsible (including but not limited to ASEAN, India, Taiwan, Hong Kong).&nbsp;• To assist with the development of optimal regulatory strategies in collaboration with key internal stakeholders to drive submission and approvals in accordance with agreed business priorities.&nbsp;• Keep up-to-date with developments in regulatory affairs and assist with implementation of any required revisions to systems and processes.&nbsp;• Ensure the quality of final dossiers sent, after considering TRT (thoughtful risk taking) approach with full alignment with the country.&nbsp;• Manage the response of deficiency letters from HAs of the countries in charge (review information, coordinate time of response) according to the requirements of the affiliates and regulatory authorities on time.&nbsp;• Ensure the delivery of the dossier to the affiliate, with risk assessment (and TRT), if applicable, and in full alignment with business priorities.&nbsp;• Keep track of planned dispatches/renewals and variations, provide support for deviations.&nbsp;• Provide accurate and timely information to ensure regulatory database is updated (as applicable).&nbsp;• Ensure timely dispatch, tracking and archiving of dossier to the countries responsible and timely update of global database/repository where applicable.&nbsp;&nbsp;Qualifications:&nbsp;An academic degree on health sciences, life sciences, regulatory affairs (eg. Physician, Pharmacist, Veterinarian or Scientific background, as applicable based on countries’ jurisdiction)&nbsp;Minimum of 2 years’ experience from the pharmaceutical or healthcare sector.Strong knowledge of regulatory requirements for variations/ post approval changes (labeling, CMC, administrative), product renewal, and site registration/renewal for Philippines.&nbsp; Experience and knowledge of regulatory requirements for other Asian countries is an advantage.&nbsp;Good level of spoken and written English.",Healthcare,,,Jobstreet
Assistant Professor in Pharmaceutical Data Science Education,"Department of Pharmacy, University of Copenhagen",https://ph.linkedin.com/jobs/view/assistant-professor-in-pharmaceutical-data-science-education-at-department-of-pharmacy-university-of-copenhagen-4195154212?position=4&pageNum=0&refId=0NLgT2RuDghJtzyuM5UJrw%3D%3D&trackingId=TRuIviMkgZipy8XTPMfenA%3D%3D,"Job portal All vacanciesAssistant Professor in Pharmaceutical Data Science EducationAssistant Professor in Pharmaceutical Data Science EducationDepartment of Science EducationFaculty of ScienceUniversity of CopenhagenThe Department of Science Education and the newly established Center for Pharmaceutical Data Science Education (CPDSE) seek an excellent Assistant Professor in pharmaceutical data science education. The 4-year position involves educational research in curricular and cultural development within an emerging interdisciplinary field that synthesizes expertise in pharmaceutical science and data science. The position will include collaboration within the Center, aligning with strategic initiatives across the partner institutions, involving seven departments at the University of Copenhagen and University of Southern Denmark. The position is open from 1 September 2025 or as soon as possible thereafter.The projectAn emerging field, pharmaceutical data science is a synthesis between data science and pharmaceutical sciences, in which (1) data science is applied to drug discovery, development, and safety, (2) algorithms and databases are developed and tailored to pharmaceutical data, and (3) data drives pharmaceutical experiments. As such, educational research contextualized in pharmaceutical data science education practice draws on (inter)disciplinary knowledge of the field in light of relevant educational theories and methodologies.The assistant professor will be conducting educational research aimed at (re)designing and developing pharmaceutical data science courses and investigating identity work in an interdisciplinary community of practice. Obligations concerning publication/scientific communication and research-based teaching with associated examination are included within the assistant professor appointment. To a limited extent, this may also include performance of other duties.Who are we looking for?We seek a candidate with a strong research profile in science education. Demonstrated competence in data science and experience with educational research and development are desirable. This may include systematic data collection on student learning and experiences, learning analytics, network analysis, and quantitative data analysis. Candidates with other research specialisms in teaching and learning in higher science education will also be considered. The candidate should have documented experience with using data science in research, preferably in an educational context. Experience collaborating with a range of disciplines pertaining to pharmaceutical science, data science, and educational science will be considered an advantage.The Center for Pharmaceutical Data Science EducationThe Center for Pharmaceutical Data Science Education is a close collaboration between the University of Copenhagen (UCPH) and the University of Southern Denmark (SDU). For further information on the Center, see www.cpdse.ku.dk. The goal of the center is to advance Danish education within pharmaceutical sciences through integration of data science. The center is anchored at the Department of Drug Design and Pharmacology, UCPH.The Center’s vision is to make pharmaceutical data science a catalyst for life science and healthcare strongholds. To achieve this, the Center will develop and deliver research-based education for the future workforce – spanning bachelor, master, PhD, and life-long learning. The Center is based upon grant funding of DKK 123 million from three Danish private foundations; the Novo Nordisk Foundation, the Lundbeck Foundation, and the LEO Foundation.The research environmentThe Department of Science Education is an interdisciplinary department, and the successful applicant is expected to engage in interdisciplinary activities in relation to teaching and development work. It is a hallmark of our research to unite strong fundamental and applied research with a high impact on society, including themes that are of particular interest to the University of Copenhagen in general as well as to the Faculty of Science in particular. The Centre for Digital Education is affiliated with both Department of Science Education and Department of Computer Science. It is not a requirement to be able to teach in Danish. UCPH has an International Staff Mobility office that assists international scholars with their relocation to Copenhagen; see https://ism.ku.dk/. Information on life in Denmark is available on the official website https://lifeindenmark.borger.dk/. Similarly, information on life in Copenhagen can be found here: https://international.kk.dk/artikel/everyday-life-copenhagen.Assessment of applicants will primarily consider their level of documented, internationally competitive research. The ability to attract external funding will be considered together with outreach qualifications. Teaching qualifications are not mandatory, but documented teaching qualifications and teaching experience will be considered.Six overall criteria apply for assistant professor appointments at the University of Copenhagen. The six criteria (research, teaching, societal impact, organisational contribution, external funding and leadership) are considered a framework for the overall assessment of candidates. Furthermore, each candidate must be assessed according to the specific requirements stated in the job advertisement. Please read more at https://jobportal.ku.dk/videnskabelige-stillinger/kriterier-for-videnskabelige-stillinger/dokumenter-til-meritering/5a_Criteria_for_recognising_merit_-Assistant_professors.pdf%20Further information about the Department can be found at https://www.ind.ku.dk/english/. Inquiries about the position and the department can be made to Hendra Y. Agustian, hendra.agustian@ind.ku.dk, or Adrienne Traxler, atraxler@ind.ku.dk.The position is open from 1 September 2025 or as soon as possible thereafter.The University wishes our staff to reflect the diversity of society and thus welcomes applications from all qualified candidates regardless of personal background.Terms of employmentThe position is covered by the Memorandum on Job Structure for Academic Staff.Terms of appointment and payment accord to the agreement between the Ministry of Finance and The Danish Confederation of Professional Associations on Academics in the State.Negotiation for salary supplement is possible.The application including all attachments must be in English and submitted electronically by clicking APPLY NOW below.Please includeMotivation letter (max. one page).Curriculum vitae including information about your education, experience, language skills, and other skills relevant to the position.Please describe and document international network and activitiesPositions held at universities/research institutionsOutreach activities, i.e. popular lectures or other activities in the media (where available)Scholarships or career development grants (where available)Diplomas (Master’s and PhD degrees or equivalent) and transcript of records in the original language, including an authorized English translation if issued in another language than English or Danish. If not completed, a certified/signed copy of a recent transcript of records or a written statement from the institution or supervisor is accepted.Research plan (ca. 5 pages) that aligns with the project description and future plans. Description and documentation of previous activities related to investigations on student learning or teaching development (where available).If available, description and documentation of teaching and supervision experience and qualifications. Please describe and document:Experience with supervision of BSc and MSc studentsTeaching experienceFormal pedagogical trainingComplete publication list.Separate reprints of up to 5 particularly relevant papers.The deadline for applications is 27 April 2025, 23:59 GMT +2.After the expiry of the deadline for applications, the authorized recruitment manager selects applicants for assessment on the advice of the Interview Committee.APPLY NOWPart of the International Alliance of Research Universities (IARU), and among Europe’s top-ranking universities, the University of Copenhagen promotes research and teaching of the highest international standard. Rich in tradition and modern in outlook, the University gives students and staff the opportunity to cultivate their talent in an ambitious and informal environment. An effective organisation – with good working conditions and a collaborative work culture – creates the ideal framework for a successful academic career.InfoApplication deadline: 27-04-2025Employment start: 01-09-2025Working hours: Full timeDepartment/Location: Department of Science EducationSearch all vacancies","Education, Training","Science City Of Munoz City, Central Luzon (Region III)",Full-time,Linkedin
Technical Sales Specialist (Western Visayas),"Lifeline Diagnostics Supplies, Inc.",https://ph.jobstreet.com/job/82688125?type=standard&ref=search-standalone&origin=cardTitle#sol=9341500af9a266bae5a8aa9e7d58e57e957c97b1,"Successful candidate may enjoy the following additional company benefits:HMO with dependent coverage, Group Life Insurance, Uniform; other benefits will be disclosed upon hiring.&nbsp;&nbsp;Duties and Responsibilities:Develop and implement strategic sales initiatives to increase product sales and market share within the assigned territory.Monitor and analyze sales performance to ensure achievement of monthly and annual sales and collection targets.Conduct comprehensive market research to identify industry trends, competitor activities, and potential expansion opportunities.Build and maintain positive relationships with customers and partners to foster loyalty and long-term collaborations.Collaborate with internal teams to ensure seamless integration of products into the marketplace.Provide technical support and guidance to customers, addressing their needs and enhancing their experience with the products.Conduct engaging technical presentations and demonstrations of machines and instruments to laboratories and potential clients.Qualifications:Candidate must possess a Bachelor’s Degree in Medical Technology/Medical Science;&nbsp;professional license is advantage.With at least 1-2 years of work experience in clinical laboratory, or in research laboratory.Has background related to sales or marketing in the In Vitro Diagnostic is an advantage.With excellent selling, product presentation and territory planning skills.With driver’s license and amenable for a long drive.Willing to start immediately.",Sciences,Western Visayas (Region VI),Full-time,Jobstreet
Product Specialist / Medical Technologist I Onsite,"Grepcor Diamonde, Inc",https://ph.jobstreet.com/job/82139240?type=standard&ref=search-standalone&origin=cardTitle#sol=ab9743d3e022454c48959f1bd580a858692775cc,"As a Product Specialist, you will represent and promote our laboratory devices to healthcare professionals and institutions. This role requires in-depth product knowledge, excellent communication skills, and the ability to demonstrate and train users on the proper use of our devices. You will serve as the key liaison between our clients and the company, ensuring customer satisfaction while achieving sales goals.Key Responsibilities:Acquire and maintain comprehensive knowledge of the laboratory devices distributed by the company. Stay updated on product features, benefits, and usage.Build and maintain relationships with medical professionals, laboratories, and healthcare facilities. Ensure high customer satisfaction through product demonstrations, consultations, and troubleshooting.Conduct presentations and product demonstrations for clients and potential customers. Train end-users on the proper operation and maintenance of laboratory devices.Develop and execute strategies to achieve sales targets. Actively participate in marketing initiatives, trade shows, and conferences.Work closely with the Sales and Marketing team to align on product positioning and sales goals.Qualifications:Bachelor's degree in Medical Technology or any related medical allied course.Prior experience in sales, product management, or a related field is a plus, especially in the healthcare or laboratory devices sector.Must be confident, well-spoken, and able to communicate product information to both small and large audiences effectively.Outgoing, extroverted, and able to engage others easily. Goal-driven, with a strong desire to meet and exceed targets.Self-motivated, with excellent organizational skills and the ability to manage multiple priorities.Willing to travel from time to timeOpen for fresh graduates!",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
PRODUCT SPECIALIST,Philippine Blue Cross Biotech Corporation,https://ph.jobstreet.com/job/82646386?type=standard&ref=search-standalone&origin=cardTitle#sol=4e4610133606f3d4d42eb0188d70416a6c5c29af,"QUALIFICATIONS:Bachelor's degree in any Medical related coursePrior experience in a similar role is an advantage but not requiredKnowledgable in hematology machines, CLIA, or any chemistry machinesExperience in laboratory devices, equipment, or products&nbsp;Excellent communication and presentation skills&nbsp;Willing to work both in office and field set-upRESPONSIBILITIES:Analyze and document the product development process and progressConducts training, product knowledge, and technical aspects to clients as well as resolving technical issues&nbsp;Assist in installation and machine demonstrationsMaking helpful recommendations and suggestions&nbsp;Maintains documentation and filings of all product-related reports, details, and client profileAddress client concerns and issues promptly to ensure client satisfactionProvide product feedback, customer suggestions, or recommendations to the Senior Service EngineerJOIN OUR TEAM AND ENJOY THESE BENEFITSCompetitive salary offerMonday to Friday work scheduleCareer development opportunitiesSick Leave and Vacation LeaveMarital LeaveBereavement LeaveHealth Insurance - HMOAll statutory benefits (SSS, PHIC, HDMF)Pro-rated 13th-month payEmployee product discounts in:Medical productsHotel AccommodationTravel and Tours servicesMedical and Laboratories",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Pharmacy Technician (Grievances Support) - ONSITE - 40K SIGNING BONUS (URGENT),Concentrix Philippines,https://ph.jobstreet.com/job/82644516?type=standard&ref=search-standalone&origin=cardTitle#sol=91ad378ade84ef4b6f39f581e95bb040acc25e91,"Are you ready to POWER UP your skills? Take the leap and join Concentrix's League of TOP-NOTCH TALENTS! Prepare for an Extra-Ordinary Journey where you not only Collaborate with Industry Champions but also immerse yourself in an Innovative Workplace filled with Laughter, Continuous Learning, and Limitless Opportunities. Join the Leading Global Provider of CX and Tech Services and seize this moment to #JoinConcentrix!Job Summary: Pharmacy Technician(s) Perform Technical Function(s) Relating to Prescription(s) Including Gathering Patients' Information, Product Preparation, Product Distribution, and Inventory Control. You play a Vital Role in Supporting the Pharmacy's Operations by Assisting Pharmacist(s) in Providing Quality Pharmaceutical Care to Client(s) while also Ensuring Compliance with Regulatory Requirement(s).Essential Duties and Responsibilities:Grievance Handling: Investigate and Resolve Member Grievance(s) Related to Medicare Part D Drug Coverage, Claim(s), and Pharmacy Issue(s) - Ensure all Grievance(s) are Resolved within Required CMS (Center(s) for Medicare and Medicaid Service(s)) Timeline(s) and Documented AppropriatelyCommunication: Act as a Liaison Between Member(s), Medical and Healthcare Provider(s), and Pharmacies for Medicare Grievance Resolution - Provide Clear and Empathetic Communication with Patient(s) throughout the Grievance Transaction(s)Compliance and Documentation: Adhere to all CMS (Center(s) for Medicare and Medicaid Service(s)) Guideline(s) and Company Policies, Maintain Confidentiality of Sensitive Member Information - Accurately Document all Interaction(s) and Resolution(s) in the System, Prepare Report(s) as Required to Support Compliance and Auditing Requirement(s)Collaboration: Work Closely and Collaborate with Other Department(s) to Expedite Grievance Resolution - Provide Insight(s) and Feedback on Recurring Issue(s) to Improve Process(es)Minimum Hiring Qualifications:Bachelor's Degree in Nursing or a Pharmacy Related Field is Preferred, or Relevant Background and Experience in a Pharmacy Related Role, License(s) or Certification(s) are Not Required1 Year(s) Minimum Experience in a Pharmacy Related Role (Pharmacy Technician or Pharmacovigilance and Drug Safety Review) - Contact Center Experience is an AdvantageUnderstanding of HIIPA and Other Related Healthcare Regulation(s), Knowledge of Pharmacy Operations, Familiar with CRM Tool(s) and Relevant Healthcare Platform(s), Proficiency in Microsoft Office Suite (Microsoft Word, Microsoft Excel, and Microsoft Outlook)Willing to Work On-Site with Flexible Work Schedule(s) Including US Hour(s) and Holiday(s)Get Hired and Enjoy the Following:Interact/Collaborate and Learn from Industry ExpertsMultiple Opportunities for Learning and DevelopmentEnjoy a Fun - and Competitive Working Environment40K SIGNING BONUS - Terms and Conditions ApplyWork Location: Tera Tower, Bridgetowne, Quezon City",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Psychologist,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/145207/psychologist,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Psychologist directly supports the mental health needs of clients through individual and group consultations and coordinates mental health initiatives. They conduct teletherapy with a fixed monthly income on a work-from-home set-up.Key Responsibilities	Tailor care plans to the needs of each client using evidence-based psychological interventions	Deescalate high-risk and emergency cases remotely	Apply new intervention methods to improve the effectiveness of teleconsultations	Collaborate with the Mental Health Team for appropriate client triaging and scheduling	Create webinars, workshops and programs focused on mental health in a corporate setting.MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Psychologist directly supports the mental health needs of clients through individual and group consultations and coordinates mental health initiatives. They conduct teletherapy with a fixed monthly income on a work-from-home set-up.Key Responsibilities	Tailor care plans to the needs of each client using evidence-based psychological interventions	Deescalate high-risk and emergency cases remotely	Apply new intervention methods to improve the effectiveness of teleconsultations	Collaborate with the Mental Health Team for appropriate client triaging and scheduling	Create webinars, workshops and programs focused on mental health in a corporate setting.	Master’s degree in Psychology;	Registered psychologist with experience in clinical psychology and psychotherapy;	Personal computer with stable internet connection and clear audio/video capturing;	Proficient in using Google Workspace and related applications with the ability to troubleshoot minor technical issues;	Willingness to work from home during the night shift	Master’s degree in Psychology;	Registered psychologist with experience in clinical psychology and psychotherapy;	Personal computer with stable internet connection and clear audio/video capturing;	Proficient in using Google Workspace and related applications with the ability to troubleshoot minor technical issues;	Willingness to work from home during the night shiftHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Clinical Applications and Product Specialist,Praxismed Technologies Inc,https://ph.jobstreet.com/job/82748373?type=standard&ref=search-standalone&origin=cardTitle#sol=89066a7ee00ee7748e805a932b90a125706c8cbc,"JOB QUALIFICATIONS:Minimum Requirements:Graduate of any 4-year medical or science-related course. BS Nursing, BS Medical Technology or BS Physical Therapy Graduate is an advantage.Entry without a health allied degree is possible if you have a strong record in sales and business development in medical diagnostic and clinical devices.Work Experience:&nbsp;Preferably with hospital experience or experience in a related industry. Experience as an EEG/EMG Technician is a big advantage.Basic knowledge in Microsoft Office – Power point, Excel, WordGood communication skills (English and Filipino in both verbal and written)Good presentation skillsMust be willing to travel locally and abroadAdaptable and FlexibleFull-time position available&nbsp;&nbsp;JOB DESCRIPTION:Successful Candidates will:Address customer issues and concerns in a timely manner to ensure customer satisfactionConduct product presentation, demonstrations and applications training for customersConduct product training to Sales TeamProvide technical specifications and comparative matrices of productsProvide support for marketing programs, collaterals, campaigns and advertising materials. Roadshow presentations and other promotional activities.Assists the Sales Team in conducting promotion of respective product lineWe offer a competitive compensation package that include:Travel AllowanceProductivity Incentives&nbsp;Out-based meal subsidyVacation and Sick LeavesRice Subsidy",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Senior Psychologist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/250746/senior-psychologist-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Senior Psychologist oversees and enhances program operations aimed at improving clients' mental health and overall wellness.Key Responsibilities	Develops comprehensive training and professional development initiatives for the Mental Health team	Conducts regular individual and group clinical supervision for early career psychologists	Provides clinical expertise and guidance in the development and implementation of Mental Health programs	Monitors program effectiveness and recommends improvements for existing protocols	Updates best practices using latest advancements in clinical psychology research to continuously improve service quality and deliveryPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Senior Psychologist oversees and enhances program operations aimed at improving clients' mental health and overall wellness.Key Responsibilities	Develops comprehensive training and professional development initiatives for the Mental Health team	Conducts regular individual and group clinical supervision for early career psychologists	Provides clinical expertise and guidance in the development and implementation of Mental Health programs	Monitors program effectiveness and recommends improvements for existing protocols	Updates best practices using latest advancements in clinical psychology research to continuously improve service quality and deliveryPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Completed a Master’s degree in Counseling or Clinical Psychology;	Must be a Registered Psychologist;	Strong desire to teach and supervise early career psychologists ;	At least five years of psychological practice experience, including 2 years in a supervisory role  Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
