title,company,link,job_desc,job_func,location,job_type,source,selected
Online English Tutor (Work-from-Home),Studythree,https://ph.jobstreet.com/job/82661751?type=standard&ref=search-standalone&origin=cardTitle#sol=af8e4181b9892b5071774b7f9a66494676f915f7,"We are looking for dedicated and dynamic online English teachers to join our team! In this role, you will deliver interactive and engaging lessons to students, helping them improve their English skills. You’ll also monitor their progress and provide constructive feedback to support their learning journey.Hourly Rate: PHP 110-130 per hour.Expected working hours: 6pm-9m (philippine time)Work from the comfort of your own home&nbsp;What You Need:A desktop or laptop computer with a stable internet connection.A quality microphone and headset for clear communication.A quiet and distraction-free teaching environment.&nbsp;Xuesanren “Studythree” is a reputable online education company based in China, serving a vast community of students. We are committed to providing quality language instruction through innovative online teaching methods.",Education,"Manila City, National Capital Region (NCR)",Part-time,Jobstreet,1
Japanese Speaking English Tutor for Online ESL Learners,Japanese Language Research Center,https://www.kalibrr.com/c/japanese-language-research-center/jobs/251976/japanese-speaking-english-tutor-for-online-esl-learners,"Are you passionate about teaching and helping others learn English?JLRC SpeakEZ is an English learning platform dedicated to helping overcome the language barrier in ESL learning. We’re looking for enthusiastic individuals with Japanese language proficiency to deliver world-class quality and bring this innovative concept to life.Let’s create a world of opportunities!Benefits:	Quick &amp; Impactful Lessons: 25-minute sessions that are fast-paced and rewarding for both you and your students.	Flexible Work Hours: Work from 5:00 AM to 12:00 AM PH Time — choose hours that fit your schedule!	Work From Home: No commute, no stress!	Competitive Pay: Earn between PHP 180 to PHP 230 per hour for your expertise and time.	Personalized Training Provided: We’ll help you improve your skills to succeed and stand out.Are you passionate about teaching and helping others learn English?JLRC SpeakEZ is an English learning platform dedicated to helping overcome the language barrier in ESL learning. We’re looking for enthusiastic individuals with Japanese language proficiency to deliver world-class quality and bring this innovative concept to life.Let’s create a world of opportunities!Benefits:	Quick &amp; Impactful Lessons: 25-minute sessions that are fast-paced and rewarding for both you and your students.	Flexible Work Hours: Work from 5:00 AM to 12:00 AM PH Time — choose hours that fit your schedule!	Work From Home: No commute, no stress!	Competitive Pay: Earn between PHP 180 to PHP 230 per hour for your expertise and time.	Personalized Training Provided: We’ll help you improve your skills to succeed and stand out.	Minimum JLPT / JLRC N4 passer — You know your Japanese, and it shows.	20+ Years Old	CEFR B2 English Fluency (or higher) — We need you to speak English comfortably and clearly.	College-level Diploma (or equivalent)	Reliable Tech Setup — A laptop/PC, noise-canceling headset, and webcam to make lessons smooth.	Stable Internet (min. 20 Mbps) — Strong connection, strong teaching.	Currently residing in the Philippines — We’re looking for tutors right here at home! Now Accommodating N5 Passers: No N4 Mock Exams Required! (starting rate: ₱160/hr)	Minimum JLPT / JLRC N4 passer — You know your Japanese, and it shows.	20+ Years Old	CEFR B2 English Fluency (or higher) — We need you to speak English comfortably and clearly.	College-level Diploma (or equivalent)	Reliable Tech Setup — A laptop/PC, noise-canceling headset, and webcam to make lessons smooth.	Stable Internet (min. 20 Mbps) — Strong connection, strong teaching.	Currently residing in the Philippines — We’re looking for tutors right here at home! Now Accommodating N5 Passers: No N4 Mock Exams Required! (starting rate: ₱160/hr)Hire NowSign UpLogin",Education,"Mandaluyong City, National Capital Region (NCR)",Contract/Temporary,Kalibrr,1
Urgent Hiring Homebased ESL Teacher  - WFH SET UP FIXED SALARY,Clarknchloe.co LTD,https://ph.jobstreet.com/job/83003036?type=standard&ref=search-standalone&origin=cardTitle#sol=0ffebcf5be46583360c788173da1f5ea8bc63fdb,"We are looking for a competent and flexible online ESL teacher to join our team. To be successful as an online ESL teacher, you should be patient and attentive to students' needs. The ideal candidate will possess the ability to encourage interaction among students to facilitate learning. We provide a one on one interactive lesson for Korean Students, Help and mold them to build their confidence in speaking English.Job description:1. Teach English Online to Korean Students through Skype video class, discord and Zoom2. Conduct Classes in view of the teaching and Learning process3. Instruct English as a secondary Languages (ESL) to Korean students4. Preparation of ESL modified and compacted instructional materials and accomplishments of level results, class plans and monthly evaluations. Materials are provided by the company5. Deliver fun and innovative lessons&nbsp;Qualificationat least One year Experience teaching ESL onlineCall center experienceMust be Proficient in English, &nbsp;Fresh Graduates are welcome to apply&nbsp;&nbsp;Available schedule:&nbsp;Part time Evening Shift:5am to 9am ( 4 hours fixed salary with or without students)6PM to 10PM ( 4 hours fixed with or without students)6PM TO 11PM ( 5 hours fixed with or without students)5PM to 11PM ( 6 Hours)3pm to 11pm ( 8 hours)&nbsp;Morning shift: 5am to 9am&nbsp;&nbsp;Full time broken schedule: 11am to 3pm -6pm to 10pm6am to 9am - 6pm to 10pm&nbsp; &nbsp; &nbsp; &nbsp;Salary : 120/HOUR plus renewal and attendance incentivesOur company is NOT a booking style. We have regular students, We give part time fixed salary for &nbsp;4-5 hours with or without student paid as well even the student is absent Full time 8 hours fixed salary. Our starting salary offer for our home based online teaching is 120/per hour and we are giving renewal incentives depending upon how many students enrolled. P100.00 per student plus attendance incentivesWhy work for us?1. Our company is NOT a booking style. We have regular students, We give fixed salary 4-5 hours for Part time 8 hours for full time with or without student starting salary offer P120 per hour fixed salary and fixed schedules.2. Renewal Incentives3. Attendance incentives4. Performance incentives and referral Incentives5. Weekends off6. Salary increase7. Work from Home Set up8. Paid training&nbsp;RequirementsStable internet connection either Wired DSL/ Fiber Internet Connection with at least 15mpbs or higherPC desktop or Laptop/MacBook ( at least Windows 7 or above, Intel Core i3 5th gen/ i5/i7, Memory at least 4GB Ram)Noise-canceling headphones with extended microphones (mobile earphones are not allowed)High definition (HD) web cameraA quite, clutter free conducive environment to online classes&nbsp;Please send your resume",Education,"Manila City, National Capital Region (NCR)",Part-time,Jobstreet,1
Online ESL Teacher | Home-based | Work from Home,Wise Education I Inc.,https://ph.jobstreet.com/job/83293053?type=standard&ref=search-standalone&origin=cardTitle#sol=596ee195d48d21bb000ff5280f9894b04026755b,"Unlock Your Teaching Potential with Us!Do you excel in English communication or hail from an English-speaking country? Are you IELTS/ OPIC/TESOL certified? Fantastic! You're exactly who we're searching for!Dive into your preferred expertise among:Junior and Senior learnersFree talking and Conversational EnglishBusiness EnglishEnglish DebateIELTS/OPIC certificationsEndless possibilities – your specialization, your impact! Plus, enjoy these perks:COMPETITIVE COMPENSATION: Earn 20,000 to 30,000 php monthly with our innovative home-based incentive system. Salaries tailored to your skills and experience.STABILITY DURING PROBATION: Fixed salary for financial security as you build your student base.FIXED SCHEDULE, REGULAR STUDENTS: No more uncertainty! Connect with eager learners regularly and watch your earnings grow.COMFORTABLE WORK-FROM-HOME SETUP: Teach from the comfort of your home, making it both enjoyable and fulfilling.SUPPORT WITH OUR IT SPECIALIST. Tech troubles? Our experts have your back during your entire shift!&nbsp;What are you waiting for? Join us and redefine the future of English education!&nbsp;ADDITIONAL INFORMATIONHow much is your hourly rate?During the initial two-month probationary period, our full-time teachers enjoy a fixed monthly salary starting at P17,000, while part-time teachers receive a competitive rate of P13,000 per month. This ensures financial stability as you embark on your journey with us. These rates will increase based on your qualifications. After completing the probationary period, our hourly rate is P216 per hour, allowing you to earn between P20,000 and P30,000 per month.&nbsp;Is it a booking system or a regular one?Our system is designed for regular students, ensuring that you have a consistent number of students every day.&nbsp;Do you have training?Yes. You will undergo a 10-day (4 hours/day) paid training once you pass the Skype interview.&nbsp;Does your company operate on weekends?At Wise Education, we believe in the importance of rest and relaxation. That's why we guarantee weekends off (Saturday and Sunday) for all our employees.&nbsp;&nbsp;Are college students/high school graduates welcome to apply?Yes. Applicants who are at least 18 y/o are welcome to apply regardless of educational attainment.&nbsp;What is the nationality of the students?They are Korean students.&nbsp;I do not have ESL teaching experience, can I apply?Yes, we encourage both experienced and inexperienced applicants to apply.&nbsp;Is equipment provided?No. You should have your own PC/laptop and meet the following system requirements:• Dual Core processor or higher• SSD computer system• 4GB RAM or higher• High-definition webcam and a noise-canceling headset• 20 MBPS and above wired Fiber Internet connection (No: signal-based &amp; wireless connections)• Windows 10 or 11&nbsp;Is a part-time schedule available?Yes. Please refer to the following schedules:&nbsp;FULL-TIME SCHEDULES:Morning Shift: 5 AM to 2 PMEvening Shift: 2 PM to 11 PM&nbsp;PART-TIME SCHEDULES:Morning Shift: 5 AM to 11 amEvening Shift: 5 PM to 11 PM* Our part-time and full-time schedules are fixed.",Education,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Home based/Remote Work ESL Tutors,51Talk,https://ph.jobstreet.com/job/83196797?type=standard&ref=search-standalone&origin=cardTitle#sol=b5980d2fe308d86e2143becc2b3ea41c542e9f0b,"Join our team of educators committed to improving English skills globally! We’re hiring Online ESL TeachersFresh Graduates and a Bachelor' in any field.Fluent English Speaker (Natural and Clear)Availability of ready-to-use teaching materials and resources.Preferred but not required: Experience and certifications in teaching Business English, IELTS, TEFL, or TESOL.Flexible scheduling options, Morning and Night&nbsp;Technical Requirements:OS: Windows 10 or higher.Processor: Intel Core i3 (10th Gen) or AMD Ryzen 5+.Memory: 8GB RAM with 100GB free storage.Headset: Noise-cancelling with microphone.Internet: Wired connection, minimum 25 Mbps.",Education,"Mandaluyong City, National Capital Region (NCR)",Part-time,Jobstreet,1
NATIVE Home-Based Online ESL Teacher (Online English Teacher),ET-Phone,https://ph.jobstreet.com/job/83263494?type=standard&ref=search-standalone&origin=cardTitle#sol=a331aa5418026ba5a3291ea4daccac11c1557c1c,"NATIVE Home-Based Online ESL Teacher (Online English Teacher)&nbsp;NATIVE online phone class only ESL teachers are urgently needed.Please send your 1-minute self-introduction video to our email: speakto@et-phone.co.kr** Please NAME the title of your email to : Native teacher application (Applicant's name)**And please write down your Skype ID on your resume and in the email upon application.Speakto.Inc. (Brand:ET-Phone) is an online English teaching company composed of native teachers, and we are looking for more teachers to join our growing team! ET-Phone is an online learning company dedicated to teaching English to Koreans.Our Home Page : www.et-phone.co.krWe look for passionate and skilled teachers for both full-time and part time who would like to join our growing tutor community!By native, we do not necessarily mean the nationality. As long as your mother tongue is English and below qualifications are met, you will be considered as a native teacher.Please send your 1-minute self-introduction video to our email: speakto@et-phone.co.krQualifications:1.) Completion of at least 4 years of regular education in an English-speaking country such as the United States or the UK, any nationality is fine.2.) We accept home-based teachers; as long as the internet connection and power is stable, we recruit from all over the world.3.) A minimum of 6 months of English teaching experience is a plus for this position.4.)&nbsp; English skills, enough for our Korean students to believe that the teacher is a native speaker from the US, UK and Australia.5.) Bachelor's degree or higher, regardless of major.6.) The class time for AM classes are from 06:00~15:00, and PM classes are from 15:00 to 23:00 (Part-timers may apply as well)7.) All applicants should form and prepare a 1-minute introduction recording in advance and send it via our email: speakto@et-phone.co.kr. Your application will not be reviewed if this is not provided.&nbsp;Compensation:- Salary ranges from Php 42,000 - Php 50,000 per month- Above-industry average compensation package- New Teacher Incentive -&gt; 150 Php/day for the first 2 month of enrollment- Enrollment Incentive- Long-term work incentive (Company Service Incentive)- Composition Correction Incentive- Night work Incentive- 13th month salary- Holiday pay&nbsp;Responsibilities&nbsp;-Tutors should have a strong responsibility over their students and classes with passion and drive to develop students’ English skills.-Provide 10/20/30/40 minutes of online ESL classes to Korean students via Boda app (video class) or X-lite (phone call class)- Monitor and evaluate the progress of the studentRequirements:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Computer: A desktop or laptop•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Operating System: Windows 10 (or above)•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Processor: Intel Core i5 7th generation or AMD R5 (Ryzen5) or above•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Memory: At least 8GB RAM and above•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Hard Disk: Better with a 128GB SSD (solid-state drive) to get fast reads and writes•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Headset: headset with noise-canceling microphone (Logitech or Jabra USB type Headset is recommended)•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Internet: Stable LAN internet connection with at least 50 Mbps (Backup internet of at least 10 Mbps)•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; *Backup internet should be installed within a month of employment•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Environment: Quiet home environment&nbsp;Others:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Interviews are held from Mondays to Fridays, 8:30 AM to 5:30 PM.•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Interviews will be held online, through Skype (Please provide the Skype ID upon your application as well.)Job Types: Full-time, Part-timePay: Php42,000.00 – Php50,000.00 per month•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Training period of 3 days (6 hours per day)Benefits:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Paid training•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Work from home&nbsp;Schedule:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 8 hour shift&nbsp;Supplemental Pay:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 13th month salary•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Anniversary bonus•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Overtime pay•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Performance bonus&nbsp;Experience:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ESL: 1 year (Preferred)&nbsp;",Education,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
No Experience WFH ESL Teacher (Fresh Graduates),51Talk,https://ph.jobstreet.com/job/82916663?type=standard&ref=search-standalone&origin=cardTitle#sol=1c560fb8af860967175da21f88d1f6d22221a7f2,"Join our team of educators committed to improving English skills globally! We’re hiring Online ESL TeachersMust be a college graduate (fresh graduates are welcome to apply!).Highly proficient in English, with a clear and neutral accent.Preferred but not required: Experience and certifications in teaching Business English, IELTS, TEFL, or TESOL.Open Slots Morning and NightTechnical Requirements:OS: Windows 10 or higher.Processor: Intel Core i3 (10th Gen) or AMD Ryzen 5+.Memory: 8GB RAM with 100GB free storage.Headset: Noise-cancelling with microphone.Internet: Wired connection, minimum 25 Mbps.",Education,"Pampanga, Central Luzon (Region III)",Part-time,Jobstreet,
Online ESL Teacher (Office- Based),"Access E-Talk Plus, Inc.",https://ph.jobstreet.com/job/83219422?type=standard&ref=search-standalone&origin=cardTitle#sol=d7c3b839f03045b3081ffb0f7f0493e47a12c571,"BE HIRED AND ENJOY THESE BENEFITS!2 Shifts availableCompetitive salary package (basic + Attendance and Performance Bonuses.).Incentive pays for night shifts and working on weekends.2 days-off every week.Government Statutory Benefits (e.g., SSS. Pag-ibig and Philhealth).With Service Incentive Leave up to 10 Days.Health Insurance with Dental Coverage (1 free dependent upon 3 years of service)Opportunity to travel to Japan or other Asian countries.10 days training only with training allowance.Interviews are done via Skype.QUALIFICATIONSUniversity/College graduates (fresh graduates are welcome to apply!) or College Level.Senior High School with Experience (More than 1 year)ESL teaching and Call Center work experience is a plus.Proficient in the English Language, Computer operations and AI Tools.Flexible in handling different personalities of foreign nationals.Willing to work in graveyard shifts and weekends.Willing to learnJOB RESPONSIBILITIESTeach English to Asian students through an online setting.Attend skills coaching and training.Monitor/update lesson history of students.About usAccess E-Talk Plus, Inc. is a leading provider of high-quality online English language education to students around the world. Our mission is to empower individuals to communicate effectively in English and unlock new opportunities. With a team of passionate and experienced educators, we are committed to delivering personalized, engaging, and impactful learning experiences that help our students achieve their language goals.If you're excited to join our team and make a meaningful impact on the lives of our students, we encourage you to apply now!",Education,"Cebu City, Central Visayas (Region VII)",Full-time,Jobstreet,
Home-Based Online ESL Teacher (Online English Teacher),ET-Phone,https://ph.jobstreet.com/job/83175901?type=standard&ref=search-standalone&origin=cardTitle#sol=05fb61a2b89a6280593d94aecafe9fb3ef3d614b,"Home-Based Online ESL Teacher (Online English Teacher)We are urgently need in local Home-Based Online ESL Teacher (Online English Teacher).Please send your 1-minute self-introduction video to our email: speakto@et-phone.co.krAnd please write down your Skype ID on your resume and in the email upon application.Speakto.Inc. (Brand:ET-Phone) &nbsp;is an online English teaching company composed of native teachers, and we are looking for more teachers to join our growing team! ET-Phone is an online learning company dedicated to teaching English to Koreans.Our Home Page : www.et-phone.co.krWe look for passionate and skilled teachers for full-time who would like to join our growing tutor community!Please send your 1-minute self-introduction video to our email: speakto@et-phone.co.krQualifications:1.) Bachelor's/College Degree holder, EDUCATIONAL FIELD2.) Excellent command of the English language3.) Passionate, enthusiastic and motivated to deliver good results4.) Minimum of 6 Months of ESL teaching experience is a plus for this position5.) Has a passion for teaching with a positive work attitude6.) Near-native English communication skills (oral and written)7.) Availability at peak hours is preferred (2 pm to 11 pm in PHT), but we are also looking for AM tutors.8.) Excellent work ethic (Punctuality)9.) All applicants should form and prepare a 1-minute introduction recording in advance and send it via our email: speakto@et-phone.co.kr. Your application will not be reviewed if this is not provided.10.) Please write down your Skype ID on your resume and in the email upon application.Compensation:Salary ranges from Php 22,000 - Php 32,000 per month (above-industry average compensation package).Long-term work incentive (Company Service Incentive)New Teacher Incentive -&gt; 200 Php/day for the first 2 month of enrollmentEnrollment IncentiveComposition Correction IncentiveLevel Test : (depending on your number of enrolled students for LT)Night work Incentive13th month salaryHoliday payResponsibilities- Tutors should have a strong responsibility over their students and classes with passion and drive to develop students’ English skills.- Provide 10/20/30/40 minutes of online ESL classes to Korean students via Boda app (video class) or X-lite (phone call class)- Monitor and evaluate the progress of the studentRequirements:Computer: A desktop or laptopOperating System: Windows 10 (or above)Processor: Intel Core i5 7th generation or AMD R5 (Ryzen5) or aboveMemory: At least 8GB RAM and aboveHard Disk: Better with a 128GB SSD (solid-state drive) to get fast reads and writesWeb Camera: High-definition (HD) webcam (Logitech webcam is recommended)Headset: headset with noise-canceling microphone (Logitech or Jabra USB type Headset is recommended)Internet: Stable LAN internet connection with at least 50 Mbps (Backup internet of at least 20 Mbps)*Backup internet should be installed within a month of employmentEnvironment: Quiet home environment, clutter free background with solid color (White color is recommended)Others:Interviews are held from Mondays to Fridays, 8:30 AM to 5:30 PM.Interviews will be held online, through Skype (Please provide the Skype ID upon your application as well.)Job Types: Full-timePay: Php22,000.00 - Php32,000.00 per monthTraining period of 3 days (6 hours per day)Benefits:Paid trainingWork from home&nbsp;Schedule:8 hour shift&nbsp;Supplemental Pay:13th month salaryAnniversary bonusOvertime payPerformance bonus&nbsp;Experience:ESL: 1 year (Preferred)&nbsp;&nbsp;&nbsp;",Education,"Leyte, Eastern Visayas (Region VIII)",Full-time,Jobstreet,
No Experience WFH ESL Teacher (Fresh Graduates | Urgent Hiring),51Talk,https://ph.jobstreet.com/job/82793644?type=standard&ref=search-standalone&origin=cardTitle#sol=9de0a81a04a7678c3452ddcf8e6a26490bb64271,"Join our team of educators committed to improving English skills globally! We’re hiring Online ESL TeachersMust be a college graduate (fresh graduates are welcome to apply!).Highly proficient in English, with a clear and neutral accent.Preferred but not required: Experience and certifications in teaching Business English, IELTS, TEFL, or TESOL.Technical Requirements:OS: Windows 10 or higher.Processor: Intel Core i3 (10th Gen) or AMD Ryzen 5+.Memory: 8GB RAM with 100GB free storage.Headset: Noise-cancelling with microphone.Internet: Wired connection, minimum 25 Mbps.",Human Resources,"Biñan City, CALABARZON (Region IV-A)",Part-time,Jobstreet,
