title,company,link,job_desc,job_func,location,job_type,source,selected
Regulatory Affairs (Healthcare) | HYBRID | HMO on Day 1!,"Manpower Outsourcing Services, Inc.",https://ph.jobstreet.com/job/82673090?type=standard&ref=search-standalone&origin=cardTitle#sol=f838c884bb454bf820884ac9faca25c736c79130,"Job Description:&nbsp;• Dossier elaboration, evaluation and timely dispatch for regulatory submission in accordance to local regulations with agreed business priorities to ensure compliance of all assigned products in the countries responsible (including but not limited to ASEAN, India, Taiwan, Hong Kong).&nbsp;• To assist with the development of optimal regulatory strategies in collaboration with key internal stakeholders to drive submission and approvals in accordance with agreed business priorities.&nbsp;• Keep up-to-date with developments in regulatory affairs and assist with implementation of any required revisions to systems and processes.&nbsp;• Ensure the quality of final dossiers sent, after considering TRT (thoughtful risk taking) approach with full alignment with the country.&nbsp;• Manage the response of deficiency letters from HAs of the countries in charge (review information, coordinate time of response) according to the requirements of the affiliates and regulatory authorities on time.&nbsp;• Ensure the delivery of the dossier to the affiliate, with risk assessment (and TRT), if applicable, and in full alignment with business priorities.&nbsp;• Keep track of planned dispatches/renewals and variations, provide support for deviations.&nbsp;• Provide accurate and timely information to ensure regulatory database is updated (as applicable).&nbsp;• Ensure timely dispatch, tracking and archiving of dossier to the countries responsible and timely update of global database/repository where applicable.&nbsp;&nbsp;Qualifications:&nbsp;An academic degree on health sciences, life sciences, regulatory affairs (eg. Physician, Pharmacist, Veterinarian or Scientific background, as applicable based on countries’ jurisdiction)&nbsp;Minimum of 2 years’ experience from the pharmaceutical or healthcare sector.Strong knowledge of regulatory requirements for variations/ post approval changes (labeling, CMC, administrative), product renewal, and site registration/renewal for Philippines.&nbsp; Experience and knowledge of regulatory requirements for other Asian countries is an advantage.&nbsp;Good level of spoken and written English.",Healthcare,,,Jobstreet,
Quality Assurer,Ginebra San Miguel Inc.,https://ph.jobstreet.com/job/82569357?type=standard&ref=search-standalone&origin=cardTitle#sol=b737a71e27ddbba24b5c5af23006e3ca251d26bf,"Job SummaryEnsures that all materials and products meet established standards by conducting inspections, analyses, and tests throughout the production process. Maintains product quality and compliance with regulations.Skills NeededISO/IEC 17025 proficiencyTechnical WritingQuality InspectionsMinimum QualificationsLicensed Chemist orLicensed Checmical Engineer (ChE) with Chemical Technician (RChT) license",Sciences,,,Jobstreet,
"QA Analyst (Supervisor) - Sta. Maria, Bulacan",One Food Group,https://ph.jobstreet.com/job/83037313?type=standard&ref=search-standalone&origin=cardTitle#sol=2290e91af43ff60e2b008197970e16482b8233cf,"Receiving, labeling and safely storing samples to be testedDetermining and performing tests needed for the analysis and reportRecording tests and analyses and then reporting the resultsDiscussing and answering any questions regarding the resultsOrganizing and storing samples in accordance with all safety and other requirements to ensure the safety of personnel and integrity of the samplesCleaning and maintaining lab equipment, including recalibration of equipmentMaintaining equipment records and daily work logsStaying current on technical and scientific advances in their fieldConducting and supporting scientific investigations and experiments","Manufacturing, Transport & Logistics",Central Luzon (Region III),Full-time,Jobstreet,
Inpatient Medical Coder Quality Assurance Specialist *up to 200k Sign On Bonus!,Shearwater Health,https://ph.jobstreet.com/job/82720198?type=standard&ref=search-standalone&origin=cardTitle#sol=25a7a652f7bb15c11e4529284594d1bf295561de,"Let your Passion Lead You at the Home of Clinicians with over 4000+ employees who have trusted us with their careers!Physical Sites: Taguig, Pampanga, and Cebu&nbsp;Benefits: &nbsp;Our Clinicians and Associates advocate for better patient care while enjoying these benefits:Up to PHP200,000 Sign-On BonusHMO on Day 1 with 2 Dependents upon regularizationGroup Life InsuranceComplexity AllowanceAnnual Salary IncreaseQuarterly Performance BonusService Incentive Leave (SIL) with Leave ConversionWork-Life IntegrationEquipment providedAdvance Technology for Medical CodingCertificate Renewal Coverage (*)Get Visa Sponsorship &amp; Work Abroad (*)*Terms and Conditions Apply&nbsp;Responsibilities:Ensuring accuracy of information and quality of deliveryMonitors, audits, reviews, analyzes, and documents work processes to improve clinical operations standardsPerforms quality audits and validates resultsCommunicates recommendations to responsible departmentsParticipates in the design, review, and amendment of QA monitoring tools and guidesCreates QA reports and provides data to Quality Assurance leadershipUses quality monitoring data management system to track and document performanceCollaborates with Operations and Training teams to analyze performance feedback and resolve issues&nbsp;Required Qualifications:Medical Allied graduateWith an active CCS/CIC/CPC Coding Certification with at least 6 months coding experienceMinimum of 5 years IP Coding experience or preferably with relevant experience as a QA.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Clinical Documentation Improvement Quality Assurance (CDI) | Remote*,Shearwater Health,https://ph.jobstreet.com/job/82681336?type=standard&ref=search-standalone&origin=cardTitle#sol=331dff6af4ef62f3efc84ba36f1821e986799fa6,"Let your Passion Lead You at the Home of Clinicians with over 5000+ employees who have trusted us with their careers!Physical Sites: Taguig, Cebu, and PampangaRemote Work Locations: Baguio &amp; DavaoOur Clinicians &amp; Associates advocates for better patient care while enjoying these benefits:HMO on Day 1 with 2 Dependents upon regularization.Group Life InsuranceHighly Competitive SalaryComplexity AllowanceAnnual Salary IncreaseQuarterly Performance BonusService Incentive Leave (SIL) with Leave ConversionWork-Life IntegrationUp to 200k Sign On Bonus (*)Get Visa Sponsorship &amp; Work Abroad (*)*Terms and Conditions Apply&nbsp;The CDI Quality Assurance (QA) Specialist responsibilities:&nbsp;Ensuring accuracy of information and quality of deliveryMonitors, audits, reviews, analyzes, and documents work processes to improve clinical operations standardsPerforms quality audits and validates resultsCommunicates recommendations to responsible departmentsParticipates in the design, review, and amendment of QA monitoring tools and guidesCreates QA reports and provides data to Quality Assurance leadershipUses quality monitoring data management system to track and document performanceCollaborates with Operations and Training teams to analyze performance feedback and resolve issues&nbsp;Who we look for:Must be a bachelor's degree holderRegistered nurse with Baccalaureate in Nursing or higherActive license as Registered Nurse in the US and/or PhilippinesAt least 6 months of related clinical work experience. QA experience is preferred.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Drug Safety Associate,Celltrion Global Safety Data Center Inc.,https://ph.jobstreet.com/job/82600149?type=standard&ref=search-standalone&origin=cardTitle#sol=a8fecd08d1c4c114a5ec5e682c1d6ed2a960ba7d,"Job Description:Perform duplicate searches of cases booked in initially from the databasePerform data analysis on safety reports, coding all medical history, events, drugs /procedures/indications, and laboratory tests&nbsp;Perform initial assessment of reports for listedness/expectedness and causalityWrite and edit safety narratives of casesEnsures that both the internal and regulatory timelines are met for both serious and non-serious adverse event reports submissionsAttend internal, pharmacovigilance, and project-specific trainingMentor new team members as assigned by Team LeadCan be cross trained to provide support to other CGSDCI workflow for business continuityEnsure that delivery and quality standards per CGSDCI KPIs are met.Support team and company initiatives and programs.Perform other ad-hoc tasks/duties as assigned by Team Lead.&nbsp;General Requirement:License Requirement: Must hold a valid PRC license.Work Experience: Minimum 1 year of relevant work experience in Life Science/Healthcare fields.&nbsp;Work in Drug Safety within CRO is an advantage.&nbsp;Internship Eligibility: Former Interns of Celltrion are welcome to apply.&nbsp;Work Arrangement: Six (6) months onsite duty with Housing Support to eligible employees. Work-from-Home upon regularization (1x RTO/month)Work Schedule: Must be available to work Monday to Friday or Tuesday to Saturday after training certification.&nbsp;Shift Schedule: With fixed schedule (e.g. 6AM-3PM, 8AM-5PM and 12NN to 9PM) based on assigned team.&nbsp;Start Date: Ready to hire on the 1st business day of each month.&nbsp;&nbsp;Your resume submitted to us will be reviewed by CGSDCI and Celltrion, Inc., a parent company located in Korea, for evaluation purposes on a need-to-know basis. We are committed to protecting and respecting your personal data and it will be treated in accordance with our internal data protection policies.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Clinical QA Specialist,CF Solutions Philippines Inc.,https://ph.jobstreet.com/job/82661719?type=standard&ref=search-standalone&origin=cardTitle#sol=df814811898854617488524b69c90990aed235f3,"Job SummaryThe Quality Assurance (QA) Specialist is a key administrative role crucial to the management and general business operations of our organization. This position necessitates a high degree of discretion and independent judgment, particularly in ensuring adherence to best practice standards and regulatory requirements. Tasked with auditing, overseeing documentation accuracy, and adhering to quality control measures, the QA Specialist is central to our commitment to delivering culturally sensitive, high-quality behavioral health services. Their work directly contributes to the enhancement of mental well-being and quality of life within the communities we serve, reflecting our values of integrity, accountability, and a collaborative approach to care.&nbsp;Qualifications and SkillsExperience and Certification:• Medical Assistant or similar degree preferred• Three to five years’ experience in the mental health field is preferred.Professional Skills &amp; Knowledge:• Collaborative Work Ethic: Demonstrated ability to work effectively with clinicians and staff, thriving in a culture that values collaboration, ongoing change, and a strong commitment to racial equity, diversity, and inclusion.• Digital Proficiency: Skilled in using electronic medical records, Google Workspace, and MS Office applications. Experienced in navigating digital platforms essential for modern healthcare management.• Document Analysis and Clinical Judgment: Proficient in reading, analyzing, and interpreting complex documents, with a demonstrated ability to exercise sound clinical judgment.• Regulatory Knowledge: Ability to access, interpret and execute federal, state, local, and accreditation organization rules and regulations governing behavioral health clinical processes and practices.• Clinical and Diagnostic Knowledge: Familiar with clinical processes, medical terminology, and DSM-5 diagnosis, ensuring comprehensive understanding of mental health conditions and treatments preferred.• Privacy and Confidentiality: Knowledgeable about privacy laws and regulations, with a specific skill in maintaining the confidentiality of client records in accordance with HIPAA and 42 CFR Part 2.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Regulatory Affairs &amp; QA Specialist,Manpower Philippines,https://ph.jobstreet.com/job/83266205?type=standard&ref=search-standalone&origin=cardTitle#sol=a8de23fcb07101d1dcfe9edaa79806d996bc13c1,"The Regulatory Affairs &amp; QA Specialist is responsible for assistance and support in ensuring Company’s consistent compliance with Company and Philippine government and corporate standard regulatory and QA compliance.Regulatory Affairs 1. Maintains good and harmonious professional relationship with government regulatory agencies. 2. Secures the required documents and materials from Global Regulatory Affairs, other Company affiliates and local R&amp;D needed for obtaining local registration of products for line extension, reformulations, new sourcing and shelf-life extension. 3. Maintains an organized and secure filing and retrieval system of pharmaceutical regulatory affairs documents. 4. Obtains and renews necessary Government licenses, product registrations and permits for the Company to legitimately operate as importer, distributor and trader as well as exporter. 5. Ensure the most timely and optimal approvals of Company's products to market with compliance to government regulations. 6. Liaise regularly and effectively with regulatory authorities in the Philippines 7. Represent the department on global and local project teams, as requested. 8. In conjunction with the Artwork Coordinator, coordination and checking of product literature, label and other packaging component in artwork preparation 9. Will also work closely with technical colleague on timely response on pharmacovigilance report and feedbacks 10. Manage proper documentation and closure on any Change Notification 11. Prepare artwork for Company products, e.g., labels, package inserts and other commercial facsimile presentations as per BAI/FDA requirement.Marketing Services Provide support to marketing colleagues with regards to new products information for MAR creation and approval and registration status for estimated date of product launching. Technical Services Provide support to the TSMs with regards to product information and other matters to product specifications. QA/Quality Assurance 1. Evaluation of product registration/dossier for Product Releases to ensure that regulatory commitments are being met. 2. Responsible for the finished goods release of Company products before it is commercialized 3. Assistance in handling of product complaints (includes evaluation of investigation and closure of corrective actions) 4. Provides detailed Quality Oversight to third party distributor. QA/technical support for temperature mapping and packing transport studies for cold chain products, ultra-low/freezer items and those under liquid nitrogen 5. Handling Product Deviations 6. Conducts training as necessary on implementation of quality systems. e.g PV works. 7. Assist the Global Company Auditors in the conducts of Quality Systems audit of third party manufacturer and distributor 8. Prepares SOP on Quality Systems, as necessary. 9. Helps in developing raw and packaging material sourcing. 10. Manages Quality Agreement of all the contractors and suppliers of the Company.11. Quality oversight for stickering activities at accredited third party manufacturer. Organization Development 1. Develops personal performance objectives and strategies on tasks to ensure implementation and successful achievement of all plans. 2. Actively participates and contributes to the development and accomplishment of the department’s objectives. 3. Formulates, together with the immediate supervisor, individual performance objectives to enhance job knowledge, technical skills and overall effectiveness on the job. 4. Promotes and enhances professional working relationship with colleagues, superiors and with FDA, BAI or other external service agencies as necessary on matters of mutual concern. 5. Performs any other duties as assigned by immediate by superior.EDUCATION Graduate of 4-year college education or higher, preferably in the Veterinary, Pharmacy or Paramedical field.  EXPERIENCE Position Title or Description of Experience At least 2 to 4 years experience in regulatory affairs/QA work, preferably in the Pharmaceutical or veterinary industry. Affiliation and active participation in veterinary industry and government/regulatory associations",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Regulatory Affairs / Quality Assurance Officer,Hexagon Group of Companies,https://ph.jobstreet.com/job/82835809?type=standard&ref=search-standalone&origin=cardTitle#sol=c6d52f957aac60f92d6959a92d40f042c721b670,"OVERVIEW:The incumbent is responsible for managing regulatory affairs and QA/QC functions to ensure product compliance with industry standards and regulations. This includes handling product registrations, documentation, and regulatory submissions, while coordinating with suppliers and ensuring compliance during inspections. Additionally the role involves monitoring product quality, warehouse conditions, and proper labeling to maintain standards. Strong organizational skills and attention to detail are essential for success in this role.&nbsp;MINIMUM QUALIFICATIONS:Candidate must possess at least Professional License (Passed Board/Bar/Professional License Exam) in Pharmacy/Pharmacology or equivalent.Open for fresh graduates but related working experience with at least 2year(s) regulatory affairs and QA/QC function is an advantage.Knowledge and experience with FDA procedures, regulations and processes as well as with other regulatory agencies such as BAI, NMISis an advantagePresentation and communication (articulate) skills both in oral and written",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Pharmacy Benefit Analyst,"IQVIA SOLUTIONS OPERATIONS CENTER PHILIPPINES, INC.",https://ph.jobstreet.com/job/82653182?type=standard&ref=search-standalone&origin=cardTitle#sol=5448d73b25a43d0f44da950cd035faaac749c7c4,"Principal Accountabilities:Perform maintenance of reference data (Product) as required for AU/NZ Production.Performs research (e.g. internet search, source books, manufacturer websites etc.) to gather information from third parties that will augment the completeness or accuracy of IQVIA reference data.Follows standard practices and procedures in analysing situations or data from which answers can be readily obtained.Solicits information from other IQVIA departments to identify when and how to correct inaccurate data, delete data, or add new entries to make the reference files more complete.&nbsp;Receives input to the reference process from other IQVIA production processes.Validates that the information gathered from third-party sources represents accurate new data that should result in a change, addition, or deletion in IQVIA’s existing reference data.Identifies required changes to the existing reference file.Updates IQVIA reference file(s) and databases.Produces files and outputs for specified production and quality control processes, client support activities, etc.&nbsp;Responds to queries on reference data (as required).Minimum Education, Experience, &amp; Specialized Knowledge Required:Bachelor’s degree or equivalent in Pharmacy, Nursing, or related fieldsPreferably at least 1-year experience with Production and with clear understanding of the different processes and dynamics within the group.Previous experience in any medical account would be an advantageStrong interpersonal and written and verbal communication skills.Strong customer focus, an attention to detail and excellent analytical and problem-solving skillsAbility to proactively identify complex problems and needs and develop solutions/recommendations to solve problems.Ability to work under time constraints and changing work volumesStrong PC literacy skills including Word, Excel and Access, with an understanding of relational databaseAdditional Requirements:The job requires flexibility to transition to a new project will require quick grasp on different processes from time to time.Specialized knowledge of an area of the company's products, pharmaceutical industry or field specific to a major function",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
