title,company,link,job_desc,job_func,location,job_type,source,selected
COMPANY PHYSICIAN,Philsaga Mining Corporation,https://ph.jobstreet.com/job/83025223?type=standard&ref=search-standalone&origin=cardTitle#sol=16e5feacb2888f2dc2da7dbc1d84d63e9ddef985,"About the roleWe are seeking a dedicated and experienced Company Physician to join our team at Philsaga Mining Corporation. As a full-time employee, you will be responsible for providing comprehensive medical care to our employees and their families at our workplace in Bunawan, Agusan del Sur. This is a critical role that ensures the health and wellbeing of our workforce, contributing to the overall success of our mining operations.What you'll be doingProviding on-site medical consultations and treatment for employeesConducting regular health check-ups and monitoring the general health of the workforceCoordinating with external healthcare providers for specialist care or hospitalization, when necessaryMaintaining detailed medical records and ensuring the confidentiality of employee health informationAdvising management on work-related health and safety mattersPromoting health and wellness initiatives to improve the overall health of employeesEnsuring compliance with all relevant healthcare regulations and policiesWhat we're looking forValid medical license and registration to practice as a physician in the PhilippinesMinimum of 5 years' experience as a Company Physician or in a similar roleThorough knowledge of occupational health and safety regulationsStrong communication and interpersonal skills to effectively liaise with employees and managementExcellent problem-solving and decision-making abilitiesAbility to work independently and as part of a multidisciplinary teamCommitment to maintaining the highest standards of medical care and ethicsWhat we offerAt Philsaga Mining Corporation, we are dedicated to creating a supportive and rewarding work environment for our employees. In addition to a competitive salary, you'll enjoy a range of benefits, including:Comprehensive healthcare coverage for you and your familyGenerous paid leave entitlementsOpportunities for professional development and career advancementA strong focus on work-life balance and employee wellbeingA collaborative and inclusive company cultureAbout usPhilsaga Mining Corporation is a leading mining company in the Philippines, with a strong focus on responsible and sustainable operations. We are committed to the highest standards of safety, environmental protection, and community engagement. As a company, we pride ourselves on our talented and dedicated workforce, who are the driving force behind our success. If you're looking for a rewarding and fulfilling career in the healthcare and medical industry, we encourage you to apply for this exciting opportunity.Apply now to become our next Company Physician at Philsaga Mining Corporation.",Healthcare,"Agusan Del Sur, Caraga (Region XIII)",Full-time,Jobstreet,
Medical Allied Graduates (Fresh Grads are Welcome!),"Access Healthcare Services Manila, Inc.",https://ph.jobstreet.com/job/83030081?type=standard&ref=search-standalone&origin=cardTitle#sol=81a349f050ad62475191f4ede177ce85486b12ec,"We are seeking Prior Authorization Healthcare professionals to join our growing team in the Philippines. We are always interested in talking to inspired, talented, and motivated people.&nbsp;Many opportunities are available to join our vibrant culture.&nbsp;&nbsp;JOB DESCRIPTIONCollaborate with insurance companies and internal teams to facilitate the prior authorization process on behalf of healthcare providersObtain prior authorization from insurance companies before medical procedures or services are performed on patients, byCommunicate with physicians to gather and accurately document patient information and treatment detailsReview and verify medical insurance claims to ensure that they meet the coverage criteriaAddress inquiries from insurance companies, and ensure timely approval to facilitate effective patient care&nbsp;JOB REQUIREMENTSFluent verbal communication for outbound callingWith or without BPO experience.Has good to excellent English communication skills.Has willingness to work on a permanent night shift schedule.Can start ASAP.Willing to be assigned in&nbsp; Double Dragon Pasay.&nbsp;QUALIFICATIONSMust be a Graduate of the following Medical Allied Courses below:&nbsp;NursingPhysical TherapyOccupational TherapyMedical TechnologyPharmacyBiology/Human BiologyNutrition and DieteticsRadiologic TechnologyRespiratory TherapyBS Psychology&nbsp;",Customer Service,,,Jobstreet,1
Physical Therapist (Clinical BPO - Taguig),"Access Healthcare Services Manila, Inc.",https://ph.jobstreet.com/job/82559134?type=standard&ref=search-standalone&origin=cardTitle#sol=a174a06641b4465b54a2795b3e08519316a22cc4,"Access Healthcare is looking for a Licensed Physical Therapist for our &nbsp;PSR Clinical Account!Work From Home after 3 Months of Training&nbsp;Tasks:To complete a Progress Summary ReportTranscribe the information from the treating physical therapist’s Initial Evaluation (IE) and/or Progress Note (PN) onto the Streamline Progress Summary Report template. The information transcribed includes the report date, pain rating, range of motion (ROM), strength, functional lifting, work status, therapist’s summary assessment and plan of care/recommendationsDownload and review the referral documentUpdate referral in Magellan systemAccess and update Progress Summary ReportTranscribe necessary information to PSRCase submissionQualifications:Must be Philippines Licensed Physical Therapist3 to 5 years experience as Physical Therapist gained from Hospital or Rehabilitation FacilityExcellent Communication SkillsCan Start ASAPAmenable to work in Night Shift",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Licensed Physical Therapist,Fixi Group Philippines Inc,https://ph.jobstreet.com/job/83042913?type=standard&ref=search-standalone&origin=cardTitle#sol=2a260dfba5105f37693d3b8999aa2867ae34f319,"About the roleFixi Group Philippines Inc. is seeking a talented and dedicated Licensed Physical Therapist to join our team in Makati City, Metro Manila. As a full-time role, this position will play a crucial part in providing exceptional physiotherapy and rehabilitation services to our diverse client base.What you'll be doingConducting comprehensive assessments to develop personalised treatment plans for patientsDelivering a range of evidence-based physical therapy interventions, including manual therapy, exercise prescription, and the use of modalitiesMonitoring patient progress and adjusting treatment plans accordinglyMaintaining detailed patient records and documentationParticipating in continuing education and professional development activitiesPromoting the physiotherapy services and contributing to the growth of the businessWhat we're looking forA valid license to practice as a Physical Therapist in the PhilippinesWe welcome fresh graduateExcellent communication and interpersonal abilities to build rapport with patientsA team-oriented approach and the ability to work collaboratively with other healthcare professionalsA commitment to continuous learning and professional developmentCan commit to work 6 times a week including Saturday and Sunday. Rest day will fall on weekdays.Okay to shifting schedule&nbsp;Willing to do overtime if necessaryCan start ASAP&nbsp;&nbsp;",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,
Physical Therapist,"Onelife Studio, Inc.",https://ph.jobstreet.com/job/82689423?type=standard&ref=search-standalone&origin=cardTitle#sol=dafd54a913141e5925b94d3577673eb90f1cdf11,"ONELIFE is growing and we want you on our dream team!If you are a licensed physical therapist looking to grow in a non-traditional, non-clinical setting, private practice and would like to focus on women's health and the sports &amp; musculoskeletal field, then this job is for you. Junior Physio Coaches conduct comprehensive health &amp; fitness assessments, design and recommend personalized fitness programs, and execute personal training sessions in our different branches across Metro Manila.REQUIREMENTS:- Licensed Physical Therapist- Great communication skills- Passion for health &amp; fitness- Strong customer service orientation is a plus- Interested in a long-term active rehab and health &amp; fitness coaching career within the PhilippinesPositions open in Muntinlupa, Taguig, Makati, San Juan, and Pasig with competitive compensation packages, HMO, and training.For more info on our company, you may visit www.theonelifestudio.com.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
USRN Training Specialist,Shearwater Health,https://ph.jobstreet.com/job/82717756?type=standard&ref=search-standalone&origin=cardTitle#sol=f24548e93f3dffc3897b11b7a463162f521357c7,"Let your Passion Lead You at the Home of Clinicians with over 4000+ employees who have trusted us with their careers!Physical Sites: Taguig, Cebu, and PampangaOur Clinicians &amp; Associates advocates for better patient care while enjoying these benefits:HMO on Day 1 with 2 Dependents upon regularization.Group Life InsuranceHighly Competitive SalaryAnnual Salary IncreaseQuarterly Performance BonusService Incentive Leave (SIL) with Leave ConversionWork-Life IntegrationGet Visa Sponsorship &amp; Work Abroad (*)*Terms and Conditions Apply&nbsp;The responsibilities of a&nbsp;Training Specialist are outlined but not limited to the following:Responsible for developing, implementing and evaluating Shearwater Health training activitiesPlans, assesses, organizes, coordinates, conducts and evaluates all SWH training programs and activitiesThese include New Hire Training, Compliance Trainings, Refresher Courses, Specialty Trainings, Continuing Educations, Cross-Trainings, etcCreates interactive and effective training presentationsCreates documents for, maintains and organizes Shearwater Health Training LibraryWorks with the Operations and Quality Assurance teams to analyze performance feedback and resolve issues&nbsp;Required Qualifications:Must have an active both PHRN and USRN licenseFlexible with voice and work onsite arrangementWith at least 12 months of Care Management background, preferably with QA experienceExperience in effective knowledge transfer using Kirkpatrick Learning Effectiveness; teaching credentials or certification a plusStrong clinical background in orthopedics, emergency room, intensive care, neurology, occupational medicine or rehabilitation usefulAt least 2 years of recent &amp; pertinent clinical/hospital or similar experienceClinical Subject Matter Expertise with the use of technical and professional knowledge and skills to accomplish results related to the process handledKnowledgeable in Medical/Clinical Summary Writing. The manner of narrating clinical picture consistent with a standard format of documentation per client format and jurisdictional requirement covering critical elements of narrative from subjective, objective, assessment, treatment planningState Specific Evidence-Based Guidelines or Client Proprietary Guidelines familiarity with the appropriate evidence-based guidelines used or client proprietary guidelines in coming up with a clinical decision related to a treatment, diagnosis, or health condition",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Aesthetic Therapist / Treatment Staff - BATANGAS,"Marie France Bodyline International, Inc.",https://ph.jobstreet.com/job/82776908?type=standard&ref=search-standalone&origin=cardTitle#sol=19d38c498c4d5834a2594ebba17bb1c662a6acc7,"Everything Beautiful Starts Here!&nbsp;About Us:&nbsp;For over four decades, we have been setting the standard for excellence in the beauty and wellness industry. With a steadfast commitment to transformative care, our esteemed reputation as a leader in skincare and weight loss solutions speaks for itself.&nbsp;We are seeking talented individuals in the medical field to join us in delivering exceptional customer experience and real results. As a key member of our team, you will be responsible for providing top-notch facial treatments and weight loss solutions to our valued clients.&nbsp;If you're passionate about skincare, wellness and enhancing our client's confidence, YOU are the one we are looking for! Join our team dedicated to client satisfaction and a legacy of over 40 years of unparalleled expertise. Be part of our client's transformative journey toward beauty and wellness excellence.&nbsp;Job Description:Perform standard execution of prescribed treatments to clientsEnsures prompt and satisfactory delivery of treatments to clientsRecommend specific treatments needed by the clients and thoroughly explain its importance and benefitsAttends to client’s needs. Provides means to answer client’s requests and concerns immediately.&nbsp;Qualifications:Graduates of BS in Nursing, Physical Therapy, Occupational Therapy, Medical Technology, BS Biology and other graduates in the medical fieldLicense or experience is NOT REQUIRED but is a definite advantageFresh graduates who have innate passion in beauty and wellness are also highly-encouraged to apply.Excellent interpersonal skills with passion in delivering outstanding customer serviceHas genuine concern for clients by consistently providing a remarkable customer experienceSociable and able to interact with different types of peopleWith professional bearing and vibrant personalityHas passion for BEAUTYWilling to start ASAP&nbsp;Perks &amp; Benefits:Competitive salaryCommission on top of basic payComprehensive benefits package, including health and life insurance upon start datePaid holiday, vacation, sick and maternity LeaveTraining and professional development opportunities.Positive and supportive work environment with opportunities for growth and advancement&nbsp;",Healthcare,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Licensed Occupational Therapist,Q2 HR Solutions Inc.,https://ph.jobstreet.com/job/82740907?type=standard&ref=search-standalone&origin=cardTitle#sol=a70bbaa146113122d368a5066827fad105af9006,"Job Summary:We are seeking a versatile and dedicated Licensed Occupational Therapist to join our team in Quezon City. The successful candidate will work with individuals to help them develop, recover, and improve the skills needed for daily living and working. Additionally, the Occupational Therapist will have the opportunity to act as a course facilitator and conduct various duties in a center setting to ensure comprehensive patient care.&nbsp;Key Responsibilities:Conduct comprehensive assessments to identify patient needs, strengths, and limitations.Develop individualized treatment plans based on assessment findings and patient goals.Provide therapeutic interventions to improve fine motor skills, coordination, and daily living activities.Educate patients and their families on the use of adaptive equipment and techniques to enhance independence.Monitor patient progress and adjust treatment plans as needed to achieve optimal outcomes.Collaborate with other healthcare professionals, such as physicians, physical therapists, and speech therapists, to ensure coordinated care.Maintain accurate and up-to-date patient records and documentation.Facilitate courses and training sessions for students and professionals in occupational therapy.Develop course materials, curricula, and educational resources.Evaluate and provide feedback to students, fostering their growth and development.Conduct various duties in a center setting, such as managing patient schedules, coordinating with other staff, and participating in community outreach programs.Stay current with best practices and advancements in occupational therapy through continuing education and professional development opportunities.Adhere to all ethical and professional standards of practice and comply with regulatory requirements.&nbsp;Qualifications:Bachelor's or Master's degree in Occupational Therapy from an accredited program.Current licensure or certification as an Occupational Therapist in the Philippines.Proven experience working with diverse patient populations in a clinical or rehabilitation setting.Strong understanding of occupational therapy principles, techniques, and modalities.Excellent communication, interpersonal, and organizational skills.Ability to work independently and as part of a multidisciplinary team.Experience in teaching or facilitating courses is a plus.Commitment to providing compassionate, patient-centered care.&nbsp;Preferred Qualifications:Prior experience in curriculum development or educational program management.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
PHRN - Training Specialist,Shearwater Health,https://ph.jobstreet.com/job/82694792?type=standard&ref=search-standalone&origin=cardTitle#sol=25d7b86b4f1b462c65f6baa8aa1fa77ab7a67b9a,"Let your Passion Lead You at the Home of Clinicians with over 4000+ employees who have trusted us with their careers!Physical Sites: Taguig, Cebu, and PampangaRemote Work Locations: Baguio &amp; DavaoOur Clinicians &amp; Associates advocates for better patient care while enjoying these benefits:HMO on Day 1 with 2 Dependents upon regularizationGroup Life InsuranceHighly Competitive SalaryAnnual Salary IncreaseQuarterly Performance BonusService Incentive Leave (SIL) with Leave ConversionWork-Life IntegrationGet Visa Sponsorship &amp; Work Abroad (*)*Terms and Conditions Apply&nbsp;The Training Specialist is responsible for developing, implementing and evaluating Shearwater Health training activities. Plans, assesses, organizes, coordinates, conducts and evaluates all SWH training programs and activities. These include New Hire Training, Compliance Trainings, Refresher Courses, Specialty Trainings, Continuing Educations, Cross-Trainings, etc. Creates interactive and effective training presentations. Creates documents for, maintains and organizes Shearwater Health Training Library. Works with the Operations and Quality Assurance teams to analyze performance feedback and resolve issues.&nbsp;Required Qualifications:Must have an active local RN licenseExperience in effective knowledge transfer using Kirkpatrick Learning Effectiveness; teaching credentials or certification a plusStrong clinical background in orthopedics, emergency room, intensive care, neurology, occupational medicine or rehabilitation usefulAt least 2 years of recent &amp; pertinent clinical/hospital or similar experienceClinical Subject Matter Expertise with the use of technical and professional knowledge and skills to accomplish results related to the process handledKnowledgeable in Medical/Clinical Summary Writing. The manner of narrating clinical picture consistent with a standard format of documentation per client format and jurisdictional requirement covering critical elements of narrative from subjective, objective, assessment, treatment planningState Specific Evidence-Based Guidelines or Client Proprietary Guidelines familiarity with the appropriate evidence-based guidelines used or client proprietary guidelines in coming up with a clinical decision related to a treatment, diagnosis, or health conditionMust be amenable to work on a Temporary WFH set-up",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Mental Health &amp; Wellness Officer,Radix HR,https://ph.jobstreet.com/job/83100816?type=standard&ref=search-standalone&origin=cardTitle#sol=db1143bfa550e240542acdd2c86e98e10ae895f8,"Radix HR is Urgently Looking for a Mental Health &amp; Wellness Officer! Interested applicants may send their resumes to neo@teamradixhr.comLocation: BGC, TaguigWork Setup: Full-time, On-site, Day / Graveyard Shift (Your Choice)✨ Why Join Us? ✨Are you a mental health professional seeking to:Experience world-class wellbeing programs aligned with Fortune 500/1000 business standards?Work under progressive, globally versed leaders?Make a tangible difference in a supportive corporate environment?Join Team Radix HR, where we empower Wellbeing Coaches to thrive professionally while positively impacting others.✨ What We Offer ✨Job Security: Minimum 2-year renewable contract.Top Facilities: Work in a Fortune 1000 company's premium offices.Enhanced Night Differential: 20% for graveyard shifts.Employee Wellness Perks: Enjoy Muay Thai, Hip Hop, and other stress-relief programs.✨ Key Responsibilities ✨Provide 1:1 and group counseling interventions to employees.Conduct daily floor walks to engage and support staff.Organize and lead monthly group wellness activities.Respond to critical cases with compassion and professionalism as needed.✨ Qualifications ✨Licenses: Valid clinical license (RPm, RPsy, or RGC).Educational Attainment: Master’s degree in Psychology (MAPsy) or Education in Guidance and Counseling (MAEd-GC).Experience: At least 3 years of relevant professional experience.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
