title,company,link,job_desc,job_func,location,job_type,source,selected
Medical Allied Graduate | Hybrid Work Setup | Day Shift!,"Optum, a UnitedHealth Group Company",https://ph.jobstreet.com/job/82965557?type=standard&ref=search-standalone&origin=cardTitle#sol=36be3e95dc10c45fb925c135b98f14f1e11b583a,"ROLE AND RESPONSIBILITIESJobs in this function provide (outpatient) coding and coding auditing services directly to providers. This includes the analysis and translation of medical and clinical diagnoses, procedures, injuries, or illnesses into designated numerical codes.Your role is critical in allowing our members, families, facilities and health professionals to have greater confidence in the exceptional care we provide. And for you, an everyday opportunity to do your life’s best work.SM&nbsp;JOB QUALIFICATIONSA graduate of any 4-year Medical Allied Course (BS Nursing, BS Pharmacy, BS Medical Technology, BS Physical Therapy, BS Radiology, BS Rad Tech, BS Physiotherapy, BS Laboratory Technology, BS Medicine, etc.).Underboard are welcome to applyAdept with medical terminologiesMust be willing to commit for long term employment&nbsp;WHAT WE OFFERMarket Total Rewards PackageHybrid Work Set-upRetirement PlanMedical Plan (HMO) from Day 1 of employmentDental, Medical, and Optical ReimbursementsLife and Disability InsurancePaid Time-Off BenefitsSick Leave ConversionTuition Fee ReimbursementEmployee Assistance Program (EAP)Annual Performance Based Merit IncreasesEmployee RecognitionTraining and Staff DevelopmentEmployee Referral ProgramEmployee Volunteerism OpportunityAll Mandatory Statutory Benefits&nbsp;WHO WE AREOptum&nbsp;is the health care technology and innovation company of the UnitedHealth Group enterprise along with UnitedHealthcare.UnitedHealth Group&nbsp;is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.We’re a leading health solution and care delivery organization. Our work is complex, but our mission is simple: create a healthier world, with you at the center.As part of a Fortune 5 enterprise, we are improving the health care experience of over 125 million people around the world.We’re a diverse team with operations across North America, South America, Europe, Asia Pacific and the Middle East. This includes our over 25,000 employees in the Philippines.Elevate your career with a leading health care company while improving lives.Join us in evolving health care so everyone can have the opportunity to live their healthiest life. This is your opportunity to be part of a team that’s dedicated to Caring. Connecting. Growing together",Healthcare,,,Jobstreet,
Resident on Duty,Meycauayan Doctors Hospital and Medical Center,https://ph.jobstreet.com/job/82566067?type=standard&ref=search-standalone&origin=cardTitle#sol=04bd6b7f659099218ee8a30e90127e4a6af3c9e5,"Duties and Responsibilities,As a Licensed Physician, your primary responsibilities will include, but are not limited to:Emergency physicians are responsible for the immediate care of patients experiencing sudden and often serious medical conditions. Their duties include:Initial Assessment and Triage: Rapidly evaluating patients to determine the severity of their condition and prioritize treatment.Diagnosis and Treatment: Diagnosing and treating a wide range of medical emergencies, including trauma, heart attacks, strokes, and infections.Stabilization and Referral: Stabilizing patients' conditions and referring them to specialists or other appropriate medical facilities for further care.Communication and Collaboration: Communicating effectively with patients, families, and other healthcare professionals.Procedural Skills: Performing procedures such as suturing, splinting, and inserting IV lines.CPR and Advanced Life Support: Providing advanced life support, including CPR and defibrillation, when necessary.Medical Record Keeping: Documenting patient encounters accurately and comprehensively.Quality Improvement: Participating in quality improvement initiatives to ensure the best possible care for patients.Complete history and Physical examination of patients.&nbsp;Emergency physicians work in fast-paced, high-pressure environments and must be able to make quick decisions under pressure. They also need to be compassionate and empathetic, as they often deal with patients who are scared and in pain.&nbsp;Qualifications and Requirements:Doctor of Medicine (MD) degree from an accredited medical institution.Valid medical license to practice in the designated region.Proven experience in emergency medicine or hospital-based patient care preferred.Strong diagnostic and clinical decision-making skills.Proficiency in performing emergency procedures and life-saving interventions.Excellent communication, teamwork, and problem-solving abilities.Ability to work in high-pressure environments and manage multiple patients effectively.Commitment to providing compassionate and patient-centered care.",Healthcare,,,Jobstreet,
Outpatient Medical Coder | Same Day Surgery with 200k Sign-On Bonus,"R1 RCM PHILIPPINES, INC.",https://ph.jobstreet.com/job/82912310?type=standard&ref=search-standalone&origin=cardTitle#sol=32738714c9d16902763ec3aed0339434f43182d0,"Get 200k as a Sign-on Bonus and a High-Paying Salary!&nbsp;About usR1 is a leading provider of technology-driven solutions that transform the patient experience and financial performance of healthcare providers. R1’s proven and scalable operating models seamlessly complement a healthcare organization’s infrastructure, quickly driving sustainable improvements to net patient revenue and cash flows while reducing operating costs and enhancing the patient experience. To learn more, visit: r1rcm.com.&nbsp;What we're looking forMedical allied/Non-medical allied course graduate, Associate Degree holder, or PHRN holderAn active Medical Coding Certification (CPC, COC, CCS and/or CCS-P)At least 1 year of Outpatient (SDS) coding experience&nbsp;What we offerCompetitive salary with excellent benefits package, including health insurance and Certification Renewal SponsorshipOpportunities for career development and advancementSupportive and collaborative work environmentWith Sign-on bonus!#R1Philippines #AlltogetherBetter #R1JoinTheJourney-----NOTICE: Please be informed that NO candidate seeking a job opportunity with R1 Philippines shall be required to pay any amount as a condition for employment at R1.R1 does not authorize any&nbsp;third party, agency, company or individual to collect money or request any monetary arrangement in order to receive a job at R1.&nbsp;If you are contacted by someone asking for payment, please do not respond, and contact us at&nbsp;PH HR - Talent Acquisition&nbsp;phhrtalentacquisition@r1rcm.com or report to our Ethics Point Hotline, by phone or online access&nbsp; https://r1hotline.ethicspoint.com&nbsp;Philippines: 18.001.322.0411 or contact Compliancephl@r1rcm.com immediately"".&nbsp;Apply now for this exciting opportunity!",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
BPO Medical  Coder (Inpatient/Outpatient),Quantumgroup Philippines,https://ph.jobstreet.com/job/82877495?type=standard&ref=search-standalone&origin=cardTitle#sol=aa4e1343330dba020406f83907ed6f8ec1d2dff8,"Jobs Descriptions:Has active medical coding license (CPC, CPMA or CCS) preferredCompleted 4-year medical courseMinimum of 2-years of experience in medical coding specifically in Radiology of Emergency DepartmentProficiency in coding software (3M or EncoderPro) and electronic health record (EHR) systemsMust have active medical coding licenses, CPC, CPMA or CCSStrong written and verbal communication skills to collaborate with healthcare providers and billing teams.Ability to manage multiple tasks and meet deadlines in a fast-paced environmentWilling to work onsite during nesting and training period in US shiftsPerks of Joining:Onsite during training and nesting period (nightshift)Hybrid (day-shift) after training and possible Work from Home depends on performanceHMO DAY 1 with FREE one dependent15% Night DifferentialHealthy working environmentFree webinars and international training/events and more!",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Same Day Surgery (SDS) Medical Coder | up to 70k Sign On Bonus,MiraMed Philippines Group,https://ph.jobstreet.com/job/82538263?type=standard&ref=search-standalone&origin=cardTitle#sol=066d74bd682bd595f871310cc610eddd4f9f9791,"As a Medical Coder, you will be responsible for reviewing medical records and assigning appropriate diagnostic and procedural codes for patient services. Your role ensures compliance with coding guidelines and regulations. Attention to detail is crucial to accurately translate medical procedures, diagnoses, and treatments into standardized codes. Your work supports healthcare providers in billing, clinical research, and quality improvement initiatives.What You Need To Have:At least 1 year of experience as an Outpatients Medical Coder (SDS).Bachelor's degree in medical records or medical allied field.Knowledgeable in ICD 10-CM &amp; ICD 10- PCSCertified Medical Coder required.Proficient in computer applications.Advanced understanding of automated encoder systems.Job Perks You'll Enjoy:70k Sign-On BonusWork from home until further noticeHMO on day 1 plus 2 HMO dependents coverage upon regularizationAnnual Performance AppraisalInternal Career Mobility",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Admitting Staff - Reliever,UNITED SHALOM HOSPITAL,https://ph.jobstreet.com/job/82930160?type=standard&ref=search-standalone&origin=cardTitle#sol=351472a25ef07d330acdcbb923a0e299dacf08e4,"We are looking for a compassionate and reliable Admitting Staff Reliever to join our dedicated team. In this vital role, you will help ensure that patients and their families have a smooth and welcoming experience from the moment they arrive at our facility. As the first point of contact, your friendly demeanor and professional handling of admissions are essential in fostering a positive atmosphere for our patients. You will be responsible for gathering necessary patient information, verifying insurance details, and assisting with any questions or concerns that may arise during the admission process. Your ability to communicate clearly, exhibit empathy, and maintain confidentiality will be crucial as you interact with patients, families, and healthcare professionals. Every day presents a unique opportunity to make a difference in the lives of those we serve, and we look forward to welcoming a new member to our team who shares our commitment to quality patient care and service excellence.Qualifications:Graduate of any four-year course.Previous experience in a hospital or healthcare setting is preferred.Familiarity with medical terminology and insurance processes is advantageous.Flexibility to work various shifts, including weekends and holidays as needed&nbsp;",Healthcare,"Tacloban City, Eastern Visayas (Region VIII)",Contract/Temporary,Jobstreet,
IT Hardware Intern | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/253297/it-hardware-intern-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The IT Hardware Intern provides technical support on hardware and software through maintenance and repair.Our interns are a vital source of talent for full-time positions. Outstanding performance may potentially lead to a job offer at MedGrocer.Key Responsibilities	Help configure company devices and guide users in operating all company-related software and equipment	Assist in facilitating repairs and upgrades on various devices such as laptops, mobile phones, printers, and CCTVs	Maintain repair logs and maintenance schedules	Aid in setting up stable and secure network connections, firewalls, and access pointsPerks and Benefits	Allowance	Opportunity to be offered a full-time positionMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The IT Hardware Intern provides technical support on hardware and software through maintenance and repair.Our interns are a vital source of talent for full-time positions. Outstanding performance may potentially lead to a job offer at MedGrocer.Key Responsibilities	Help configure company devices and guide users in operating all company-related software and equipment	Assist in facilitating repairs and upgrades on various devices such as laptops, mobile phones, printers, and CCTVs	Maintain repair logs and maintenance schedules	Aid in setting up stable and secure network connections, firewalls, and access pointsPerks and Benefits	Allowance	Opportunity to be offered a full-time position	Currently a college student studying Computer Engineering, Information Systems, Computer Science, Cybersecurity, or any related field;	Knowledgeable in computer hardware and accessories;	Confident in handling computers, mobile phones, printers, CCTVs, and routers;	Knowledge of Google Workspace, Airtable, and Ticketing platforms is a plus;	Must be willing to work in MakatiHire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Oracle HCM Cloud Consultant,Accenture in the Philippines,https://www.kalibrr.com/c/a-philippines/jobs/253019/oracle-hcm-cloud-consultant,"Ready to make an impact at the forefront of innovation? We’re looking for skilled professionals with the right expertise to join our Tech Consulting team. Think you have what it takes? Reach out—we’d love to connect! Be part of Accenture Philippines' 40-year legacy. Role Overview: As a Technology Consulting Practitioner, you will be responsible for advising, leading, and working on high impact activities within the systems development lifecycle. Your typical day will involve providing advisory work for the IT function and collaborating with multiple teams to deliver successful projects. Here’s What You’ll Do: 	Expected to be an SME, collaborate and manage the team to perform. 	Responsible for team decisions. 	Engage with multiple teams and contribute on key decisions. 	Expected to provide solutions to problems that apply across multiple teams. 	Collaborate with stakeholders to understand business requirements and translate them into technical solutions. 	Lead and manage the implementation of Oracle HCM Cloud Core HR projects. 	Provide guidance and support to team members in resolving technical issues. 	Conduct regular meetings with clients to ensure project progress and address any concerns. 	Stay updated with the latest trends and advancements in Oracle HCM Cloud Core HR and provide recommendations for improvement. What’s in it for you? 	Competitive Total Rewards (Compensation, Performance Bonus, 13th Month Pay, Day 1 HMO &amp; Life Insurance Coverage) 	Expanded maternity leave up to 120 days* 	Expanded paternity leave up to 30 days* 	Flexible Working Arrangements* 	Healthy and Encouraging Work Environment 	Company-sponsored trainings like upskilling and certification 	Employee Stock Purchase Plan 	Loyalty and Christmas Gift 	Inclusion and Diversity Benefits 	Car and housing plan* *Terms &amp; Conditions apply Ready to make an impact at the forefront of innovation? We’re looking for skilled professionals with the right expertise to join our Tech Consulting team. Think you have what it takes? Reach out—we’d love to connect! Be part of Accenture Philippines' 40-year legacy. Role Overview: As a Technology Consulting Practitioner, you will be responsible for advising, leading, and working on high impact activities within the systems development lifecycle. Your typical day will involve providing advisory work for the IT function and collaborating with multiple teams to deliver successful projects. Here’s What You’ll Do: 	Expected to be an SME, collaborate and manage the team to perform. 	Responsible for team decisions. 	Engage with multiple teams and contribute on key decisions. 	Expected to provide solutions to problems that apply across multiple teams. 	Collaborate with stakeholders to understand business requirements and translate them into technical solutions. 	Lead and manage the implementation of Oracle HCM Cloud Core HR projects. 	Provide guidance and support to team members in resolving technical issues. 	Conduct regular meetings with clients to ensure project progress and address any concerns. 	Stay updated with the latest trends and advancements in Oracle HCM Cloud Core HR and provide recommendations for improvement. What’s in it for you? 	Competitive Total Rewards (Compensation, Performance Bonus, 13th Month Pay, Day 1 HMO &amp; Life Insurance Coverage) 	Expanded maternity leave up to 120 days* 	Expanded paternity leave up to 30 days* 	Flexible Working Arrangements* 	Healthy and Encouraging Work Environment 	Company-sponsored trainings like upskilling and certification 	Employee Stock Purchase Plan 	Loyalty and Christmas Gift 	Inclusion and Diversity Benefits 	Car and housing plan* *Terms &amp; Conditions apply Here’s What You Need: Professional &amp; Technical Skills: 	Required Skills: Expert proficiency in Oracle HCM Cloud Core HR; proficiency in Program Project Management, Sales Pursuit Management. 	Must Have:			Pre-sales Technical Experience / Client Selling Experience.		At least 7 years of experience in Oracle HCM Cloud Core HR.			Strong understanding of HR processes and best practices. 	Experience in implementing Oracle HCM Cloud Core HR modules. 	Knowledge of data migration and integration techniques. 	Familiarity with Oracle HCM Cloud Core HR reporting and analytics. 	Excellent problem-solving and analytical skills. 	Ability to effectively communicate complex technical concepts to non-technical stakeholders.Here’s What You Need: Professional &amp; Technical Skills: 	Required Skills: Expert proficiency in Oracle HCM Cloud Core HR; proficiency in Program Project Management, Sales Pursuit Management. 	Must Have:			Pre-sales Technical Experience / Client Selling Experience.		At least 7 years of experience in Oracle HCM Cloud Core HR.			Strong understanding of HR processes and best practices. 	Experience in implementing Oracle HCM Cloud Core HR modules. 	Knowledge of data migration and integration techniques. 	Familiarity with Oracle HCM Cloud Core HR reporting and analytics. 	Excellent problem-solving and analytical skills. 	Ability to effectively communicate complex technical concepts to non-technical stakeholders.Hire NowSign UpLogin",Management,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr,
Linux Developer,Accenture in the Philippines,https://www.kalibrr.com/c/a-philippines/jobs/253091/linux-developer,"Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you! Be part of Accenture Philippines' 40-year legacy. Impotant Note:Before applying for this position at Accenture, please ensure that you meet the required qualifications and possess the skills outlined in the job description below before applying. Only candidates who has the necessary criteria will be considered for the role. It is important that applicants have the relevant experience, knowledge, and expertise as described in the posting to ensure a successful application. What you’ll do:As an Application Developer, you will be responsible for designing, building, and configuring applications to meet business process and application requirements. Your typical day will involve working with Linux, utilizing your expertise to develop and maintain applications that support business operations.Roles &amp; Responsibilities:	Expected to be an SME, collaborate and manage the team to perform.	Responsible for team decisions.	Engage with multiple teams and contribute on key decisions.	Provide solutions to problems for their immediate team and across multiple teams.	Develop and maintain applications to meet business process and application requirements.	Design and implement software solutions using Linux.	Collaborate with cross-functional teams to gather and analyze requirements.	Perform code reviews and ensure adherence to coding standards.	Create technical documentation for applications and systems.Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you! Be part of Accenture Philippines' 40-year legacy. Impotant Note:Before applying for this position at Accenture, please ensure that you meet the required qualifications and possess the skills outlined in the job description below before applying. Only candidates who has the necessary criteria will be considered for the role. It is important that applicants have the relevant experience, knowledge, and expertise as described in the posting to ensure a successful application. What you’ll do:As an Application Developer, you will be responsible for designing, building, and configuring applications to meet business process and application requirements. Your typical day will involve working with Linux, utilizing your expertise to develop and maintain applications that support business operations.Roles &amp; Responsibilities:	Expected to be an SME, collaborate and manage the team to perform.	Responsible for team decisions.	Engage with multiple teams and contribute on key decisions.	Provide solutions to problems for their immediate team and across multiple teams.	Develop and maintain applications to meet business process and application requirements.	Design and implement software solutions using Linux.	Collaborate with cross-functional teams to gather and analyze requirements.	Perform code reviews and ensure adherence to coding standards.	Create technical documentation for applications and systems.Here’s what you need:	Required Skill: Expert proficiency in Linux.	Strong understanding of software development principles and methodologies.	Experience with SUSE Linux Operations.	Solid grasp of scripting languages such as Bash or Python.	Knowledge of database management systems and SQL.	Familiarity with version control systems such as Git.	Experience in troubleshooting and debugging applications.	Ability to work in an Agile development environment.Additional Information:	The candidate should have minimum 3 years of experience in Linux.	This position is based at our Manila office.	 Hire NowSign UpLogin",Information Technology,"Mandaluyong City, National Capital Region (NCR)",Full-time,Kalibrr,
Financial Accountant | Expert in Australian Accounting,B4B Solutions Inc.,https://www.kalibrr.com/c/clear-admin-people/jobs/252321/financial-accountant-expert-in-australian-accounting,"Clear is looking for a Financial Accountant with at least 3 years of Australian account experience, to work remotely (Work-from-Home) with our Australia-based retail apparel client.As a Financial Accountant, your tasks may include, but not limited to: 	Managing the general ledger including overseeing the monthly balance sheet, banking, and inter-company reconciliations	Reconciling of bank transactions and other accounts	Posting of journal entries for accounts payable (overseas stock supplies) and accounts receivable	Coordinating with the entry and payments of stock related invoices	Completing the monthly accruals, prepayments, journals, fixed assets, and depreciation schedules	Managing tax lodgements (GST, FBT)	Managing and accounting for the Group credit card facility and usage	Assisting with cash flow reporting and managing daily cash requirements	Assisting with the preparation of year-end accounts,  statutory accounts and audit queries	Assisting with the budgeting and forecasting	Ensuring Accounting standards and policies are adhered to	Assisting in process improvement and systems enhancement initiatives	Proactively identifying new initiatives that could benefit the organisation	Assisting Financial Controller with other key tasks, as required Clear is looking for a Financial Accountant with at least 3 years of Australian account experience, to work remotely (Work-from-Home) with our Australia-based retail apparel client.As a Financial Accountant, your tasks may include, but not limited to: 	Managing the general ledger including overseeing the monthly balance sheet, banking, and inter-company reconciliations	Reconciling of bank transactions and other accounts	Posting of journal entries for accounts payable (overseas stock supplies) and accounts receivable	Coordinating with the entry and payments of stock related invoices	Completing the monthly accruals, prepayments, journals, fixed assets, and depreciation schedules	Managing tax lodgements (GST, FBT)	Managing and accounting for the Group credit card facility and usage	Assisting with cash flow reporting and managing daily cash requirements	Assisting with the preparation of year-end accounts,  statutory accounts and audit queries	Assisting with the budgeting and forecasting	Ensuring Accounting standards and policies are adhered to	Assisting in process improvement and systems enhancement initiatives	Proactively identifying new initiatives that could benefit the organisation	Assisting Financial Controller with other key tasks, as required 	Minimum 3 years of relevant Australian account experience	Proficient with MS Office applications, highly skilled in Excel and Outlook	More than 3 years of accounting-related experience	A bachelor’s degree in Finance, Accounting or any relevant course	 Required Attributes	Excellent verbal and written communication skills with high attention to detail	Highly skilled relationship management skills	Exceptional planning and organization skills	Has a proactive mindset and a mature disposition	Ability to work in a fast-paced, deadline-oriented environment	Minimum 3 years of relevant Australian account experience	Proficient with MS Office applications, highly skilled in Excel and Outlook	More than 3 years of accounting-related experience	A bachelor’s degree in Finance, Accounting or any relevant course	 Required Attributes	Excellent verbal and written communication skills with high attention to detail	Highly skilled relationship management skills	Exceptional planning and organization skills	Has a proactive mindset and a mature disposition	Ability to work in a fast-paced, deadline-oriented environmentHire NowSign UpLogin",Accounting & Auditing,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
