title,company,link,job_desc,job_func,location,job_type,source
IT Technology Support - Open to Fresh Graduates,JCC Asia Back Office Inc.,https://ph.jobstreet.com/job/82927637?type=standard&ref=search-standalone&origin=cardTitle#sol=67e3759e4b933da01eb44c9eb04eb298a3a2f1fd,"IMPORTANT REMINDER:Interviews conducted via ZOOMAPPLICANTS ARE REQUIRED TO GO TO OUR MAKATI OFFICE TO WORK. THIS IS NOT A WORK FORM HOME POSITION.&nbsp;Overview:Well respected and recognized Australian CompanyAbove industry average salary packagesPerformance based career development opportunities.Health and Dental benefitsProvision of 2-week on the job training and professional development to ensure your future success in career aspirations whilst receiving full remuneration.Supportive, friendly work environment and organizational culturePaid sick and vacation leave.Easily accessible central work location&nbsp;Job Description:Opportunities Await You! Come join our vibrant and energetic team in a rapidly expanding company whose focus is building your success. We are currently seeking highly motivated Individuals who hold a strong desire to work in a supportive team and develop new skills within our fast-paced Australian owned and operated outsource financial planning business.As IT Technology Support you will be fully trained to provide ongoing administrative support to various financial advisers while working from our Makati Office. Our 2-week comprehensive training program will arm you with the required level of skills to perform the various administrative tasks, inclusive of but not limited to, conducting troubleshooting, training individuals on advice technology and coding templates.&nbsp;The positions are full-time, regular hours, Monday to Friday, in a very spacious modern office right in the heart of Makati - close to local transport.&nbsp;Key Duties and Responsibilities:· Train clients to use advice technology.&nbsp;· Take client enquiries.· Troubleshoot and resolve tech issues.&nbsp;· Attend client meetings· Coding templates&nbsp;Successful candidates must demonstrate the following key selection criteria:· Bachelor's Degree or College Degree.· Willing and able to learn the use of industry specific software and operating systems.· Willingness to undergo the company’s comprehensive 2-weeks training program and ongoing training.· Demonstrated previous knowledge of corporate professionalism as it relates to procedures, practices, and services inclusive of confidentiality.· Proven performance in reporting skills and producing high-level and accurate reporting documents.· Excellent English communication skills (verbal &amp; written) with strong interpersonal skills.· Excellent attention to detail, problem solving, and analytical skills.· Ability to multi-task, manage time and the ability to prioritize tasks to meet deadlines.· Ability to work independently in a team environment.· Willingness to work within the Australian (Victorian) Public Holiday calendar.· Comprehensive computer skills - familiarity with Microsoft Outlook, Microsoft Word, Microsoft Excel· Proven performance in delivering high level work ethic.&nbsp;Personal Qualifications:Exceptional written and verbal communication skills with a collaborative and persuasive styleHigh level competency in Microsoft Word and ExcelStrong attention to detail and ability to multi-task in a fast-paced environmentHolding strong capacity to multitask, have an immense work ethic and attitude.You are a quick learner and like a role that offers diversity with direct client contact.Your core focus is to continue to advance your skill sets in a fast-paced environment.You are career orientated and driven to attain success.Robust organizational skills and ability to prioritize.Ability to work autonomously and as part of a team.Capacity to always hold a positive and professional attitude.You hold a strong desire to learn and willingness to undergo the company’s 2-week training program to prepare skill sets required for this role.Willing to work around the Australian holiday CalendarCandidates living far distances (1.5 hours or more travel time) from Makati will be required to relocate closer to the office, with generous relocation allowance payable monthly by the company.&nbsp;Please Note: All applicants will undergo pre-selection testing as part of the recruitment process.",Information Technology,,,Jobstreet
IT Quality Management Systems Specialist (Makati),Stefanini North America and APAC,https://www.foundit.com.ph/job/it-quality-management-systems-specialist-makati-stefanini-north-america-and-apac-philippines-34220634,"DetailsJob DescriptionGeneral ExpectationsThe IT QS &amp; CSV Specialist is expected to support the internal team by assisting in maintaining and monitoring IT Quality Management processes and IT systems. This role provides data and support to check compliance with legal, regulatory, and corporate policies on a global level and for globally used systems.DescriptionSupport IT QS &amp; CSV tasks to assist in maintaining efficient and effective common IT regulations and IT Quality Management processes/systems within the global Quality IT function. Provide data and support to ensure IT CSV aligns with legal and regulatory requirements as well as corporate compliance policies where applicable in the Computerized systems in the global/regional IT functions (e.g., Cloud Native Computing, segregation of duties). Assist in overall Quality oversight and CAPA tracking for the global/regional IT functions.Duties &amp; ResponsibilitiesIT Computerized Systems Validation:Support SLC activities related to IT infrastructure qualification and validation of application systems used in the global/regional IT functions (e.g., change control, risk assessment, testing, etc.).Assist in ensuring compliance with legal and regulatory requirements, and industrial standards (e.g., GAMP5).Provide support or data for compliance trainings (GxP) to ensure awareness and communication to IT personnel.IT QS&amp;CSV ConsultingProvide an effective technical consulting and to support Validation/Qualification activities.Assist in the implementation and monitoring of quality-related IT processes (e.g., during the implementation of new systems/services).Provide data or reports to support IT-related internal/external audits/Self-Inspections.Assist in the technical follow-up on the implementation of agreed corrective actions.Job RequirementsRequirementsExperience2-3 years hands on experience in development and/or operational support for Application systems and/or IT Infrastructure systems2-3 years working in global business environment.Technical skillsKnowledge of Information Technology.Ability to follow processes and generate good documentation.Associate degree (and/or Certification) in Computer Science or related field.Knowledge of the regulated environment (e.g., GxP, audits).Knowledge of Quality management systems (e.g., GAMP) and IT standards (e.g., ITIL).Fluency in oral and written English (mandatory). Additional language skills preferred (e.g., Chinese, Japanese).Soft SkillsTeamworkAbility to build consensusStrong learning motivationSupportive attitude, agility, and determination to assist in achieving goals.                       Show more                                              Show less",,Philippines,Full-time,Foundit
L1 IT Transition Analyst | Onsite | Makati | Shifting,Emapta,https://ph.jobstreet.com/job/83086805?type=standard&ref=search-standalone&origin=cardTitle#sol=76447630a686cf7defcf7107c081dc760ea604f8,"Deliver Seamless IT Support for High-Performing Global TeamsRun onboarding with intention, fix issues with logic, and execute transitions that make life easier for end-users worldwide. All while working in an environment where your own time is protected. No chaos, no clutter—just streamlined tasks, technical clarity, and the freedom to fully disconnect once the job’s done. Because you deserve more than uptime—you deserve time.Job DescriptionAs a L1 IT Transition Analyst, you’ll efficiently fulfill IT requirements for newly onboarding talent—client staff or core—by setting up user accounts and configuring workstations according to specified requests. You’ll ensure seamless access, system readiness, and smooth handovers that support operational continuity across global teams.Job Overview:Employment type: Full-TimeShift: ShiftingWork setup: Onsite, Makati CityExciting Perks Await!HMO coverage with free dependent upon regularizationCompetitive Salary PackagePrime office location in Makati (Easy access to MRT stations, restaurants, and banks)Unlimited upskilling through Emapta Academy courses (Want to know more? Visit https://bit.ly/EmaptaTrainingCalendar)Free 24/7 access to our office gyms (Ortigas and Makati) with a free physical fitness trainer!Exclusive Emapta Lifestyle perks (hotel and restaurant discounts, and more!)Unlimited opportunities for employee referral incentives across the organizationStandard government and Emapta benefitsTotal of 20 annual leaves to be used on your own discretion (including 5 credits convertible to cash)Fun engagement activities for employeesMentorship and exposure to global leaders and teamsCareer growth opportunitiesDiverse and supportive work environmentThe Qualifications We SeekBachelor's degree in Information Technology, MIS, or a related field; or equivalent work experienceAt least 1 year of experience in a similar capacity preferredBackground in at least three of the following areas:Windows 10/11 desktop supportMicrosoft 365VoIPWindows Server 2000/2003 support and administrationMicrosoft IIS, ISA, or ExchangeActive Directory 2000/2003Local Area Networks (Cisco or 3Com)Wide Area NetworksTCP/IPITIL experience or certification is an advantageAdditional technical-level language skills are a plusStrong customer service orientationExcellent oral and written English communication skillsInterpersonal communication skills and pleasant demeanorAbility to conduct technical diagnosis and analysisAssertiveness and resourcefulnessAbility to engage internal and external stakeholders effectivelyFlexible attitude with broad IT knowledgeWillingness to work on rotating shiftsAbility to perform light hand activity work at a computer station in an office environmentYour Daily TasksOnboarding and OffboardingSet up staff (client/core) accounts and configure workstations as defined in the KID/WCD and onboarding ticketsFollow detailed guidelines and processes for proper offboarding of talentDay-to-Day OperationsManage computer logins, Skype, PBX/VoIP, and email accounts for new hiresSet up company or client machines based on the client’s IT checklistCoordinate via call or email with Customer Experience Managers and clients for any additional setup requirementsEnsure policies are in place, and that operating systems and antivirus programs are up to dateTest logins, applications, and hardware before endorsement for dispatchAssist new hires with submitted requests or incidents during the hypercare periodMonitor and escalate all onboarding/offboarding tickets according to agreed service levelsMaintain complete, accurate, and updated tickets in the systemClarify client requirements, confirm understanding of needs, and provide customer education as requiredKeep internal teams and external stakeholders informed on the status and progress of ticketsEnsure updates and communications are timely, effective, and comprehensiveCommunicate effectively with individuals and teams within the IT Service Center or Core TeamStay updated on products, procedures, and tools through self-learning (e.g., publications, internet resources)Contribute ideas for improving and expediting the fulfillment of IT requirementsSolve unstructured technical problems that may require conceptual thinkingOffer solutions to non-standard or unclear technical issuesMaintain broad knowledge of client-supported products and servicesProvide customer support and technical advice on IT-related issuesMonitor and support adherence to IT security policiesOther ResponsibilitiesPerform administrative or non-administrative duties as assigned by company representatives through written or verbal instructionWelcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the Top 20 Dream Companies of Filipinos in 2024, Emapta offers stable, rewarding careers with competitive pay and a collaborative culture. Work with international clients across industries and grow in a workplace that’s built for your success. Apply now and be part of the #EmaptaEra!",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Data Analyst | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/250689/data-analyst-makati-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Data Analyst supports various teams and initiatives with insights gained from data. They analyze complex datasets to identify opportunities for product development and process improvement.Key Responsibilities 	Learn and use statistical tools to collect, clean, and analyze complex datasets	Ideate and implement solutions that address gaps and improve our services and processes	Create models that assess the outcomes of different courses of action	Develop reports and communicate insights to MedGrocer and its stakeholders	Collaborate with cross-functional teams to gather relevant data from various sources to ensure the accuracy and completeness of collected dataPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Data Analyst supports various teams and initiatives with insights gained from data. They analyze complex datasets to identify opportunities for product development and process improvement.Key Responsibilities 	Learn and use statistical tools to collect, clean, and analyze complex datasets	Ideate and implement solutions that address gaps and improve our services and processes	Create models that assess the outcomes of different courses of action	Develop reports and communicate insights to MedGrocer and its stakeholders	Collaborate with cross-functional teams to gather relevant data from various sources to ensure the accuracy and completeness of collected dataPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payIt is preferred but not required to have the following qualifications:	A degree in Data Science, Computer Science, Statistics, or any related field;	Knowledge in advanced statistical techniques;	Knowledge in machine learning techniques and their application;	Experience in using programming languages (e.g. SQL, R, Python) for data analysisHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
IT Infrastructure Administrator,"Gardenia Bakeries Phils., Inc.",https://www.kalibrr.com/c/gardenia/jobs/253229/it-infrastructure-administrator-2,"Responsibilities:	Install, configure, and administer enterprise production servers, file servers, email systems, and application servers.	Ensure smooth operation of computer systems for employee use, addressing issues directly or via subordinate teams.	Troubleshoot hardware and software applications, monitor performance, and resolve any system issues.	Recommend and implement improvements or program changes as necessary.	Install and update operating systems, hardware upgrades, and software versions/releases.	Coordinate the integration of new systems and applications into existing networks and infrastructure.	Provide direct support and training to users to optimize system utilization.	Develop maintenance schedules and maintain records for computer equipment and applications.	Manage backups and restoration of critical system data.	Authorize and document system access for users while maintaining necessary records.	Deliver infrastructure services in areas such as storage networking, load balancing, operating systems, network security, directory services, server virtualization, and system/network monitoring (e.g., SNMP).Responsibilities:	Install, configure, and administer enterprise production servers, file servers, email systems, and application servers.	Ensure smooth operation of computer systems for employee use, addressing issues directly or via subordinate teams.	Troubleshoot hardware and software applications, monitor performance, and resolve any system issues.	Recommend and implement improvements or program changes as necessary.	Install and update operating systems, hardware upgrades, and software versions/releases.	Coordinate the integration of new systems and applications into existing networks and infrastructure.	Provide direct support and training to users to optimize system utilization.	Develop maintenance schedules and maintain records for computer equipment and applications.	Manage backups and restoration of critical system data.	Authorize and document system access for users while maintaining necessary records.	Deliver infrastructure services in areas such as storage networking, load balancing, operating systems, network security, directory services, server virtualization, and system/network monitoring (e.g., SNMP). Qualifications:	Bachelor’s degree in Computer Engineering or a related field.	At least 3+ years of experience in IT infrastructure administration.	Proficiency in server administration (VMware, Windows Server, Active Directory, DNS, Group Policy).	Experience with backup and recovery tools (Veeam, Native Backup for MS SQL).	Familiarity with networking (Cisco, HP, SAN Switch) and storage (NAS - Synology, SANs - HP MSA).	Hands-on experience in the following:			Installation, configuration, and maintenance of hardware and software components.		Network configuration, monitoring, troubleshooting, and optimization.		Deployment, configuration, and management of virtual machines and virtualized infrastructure.		Storage provisioning, RAID configuration, data backup, and disaster recovery.			Understanding of cybersecurity principles, best practices, and compliance standards.	Strong problem-solving skills to identify performance bottlenecks, analyze system metrics, and optimize performance.	Knowledge of scripting languages and excellent documentation skills.	Relevant certifications such as CompTIA Network+/Security+, CCNA are an advantage.	Familiarity with Fortinet and Sophos is a plus.	Amenable to onsite work at Laguna International Industrial Park, Mamplasan, Biñan, Laguna.Join Gardenia Bakeries Philippines Inc. and help drive robust IT infrastructure solutions to support a leading company in the food industry! Hire NowSign UpLogin",Information Technology,"Biñan City, CALABARZON (Region IV-A)",Full-time,Kalibrr
IT Helpdesk Support Level 2 | WFH | Night Shift | Weekends Off | Day 1 HMO,Emapta,https://ph.jobstreet.com/job/83219830?type=standard&ref=search-standalone&origin=cardTitle#sol=8227fe6b63dec6fb623df28e4d66d6d32462fca0,"Support Cybersecurity That Powers Global Business ContinuityBe on the front line of uptime, where every click, escalation, and resolved ticket keeps global operations moving. This is your chance to level up in a high-impact environment supporting enterprise IT and cybersecurity from end to end. Stay home, go global, and make your mark where your skills directly protect productivity, data, and digital trust.Job DescriptionAs an&nbsp;IT Helpdesk Support Level 2, you will provide technical support and troubleshooting assistance via phone, chat, email, and remote tools. You'll resolve hardware, software, and network issues, and escalate complex problems to higher-level support staff—ensuring seamless IT operations and prompt solutions for clients across a global environment.Job Overview:Employment type: Full-TimeShift: Night Shift (Mon - Fri, 11:00 PM – 08:00 AM), Weekends OffWork setup: Permanent Work From HomeExciting Perks Await!Day 1 HMO coverage with free dependentCompetitive Salary PackageFully customized Emapta laptop with peripherals&nbsp;Night differential pay to maximize your earningsPermanent WFH arrangementFixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)Free 24/7 access to our office gyms (Ortigas and Makati) with a free physical fitness trainer!Exclusive Emapta Lifestyle perks (hotel and restaurant discounts, and more!)Unlimited opportunities for employee referral incentives across the organizationStandard government and Emapta benefitsTotal of 20 annual leaves to be used on your own discretion (including 5 credits convertible to cash)Fun engagement activities for employeesMentorship and exposure to global leaders and teamsCareer growth opportunitiesDiverse and supportive work environmentThe Qualifications We Seek:High school diploma or equivalent; associate's degree in IT or a related field preferred3–5 years of experience&nbsp;in a&nbsp;help desk or technical support roleStrong problem-solving and troubleshooting skillsExcellent communication and customer service skillsProficiency in using remote support tools and ticketing systemsBasic knowledge of hardware, software, and networking conceptsAbility to work independently and collaboratively within a teamExperience with Active Directory and Office 365 administrationAbility to create and update technical documentationExperience using network monitoring toolsPreferred Skills:Certifications or equivalent experience (CompTIA A+, Network+, or Microsoft Certified: Modern Desktop Administrator Associate)Experience with standard operating systems (Windows and macOS)Familiarity with remote monitoring and management tools (RMM)Experience with PowerShell or scriptingPrevious experience in a Managed Service Provider (MSP) environmentYour Daily Tasks:Respond to client inquiries via phone, chat, email, and remote support toolsTroubleshoot and resolve technical issues related to hardware, software, and network systemsDocument and track support requests and resolutions using the ticketing systemProvide guidance and training on the use of IT systems and applicationsEscalate unresolved issues to Level 2 support or specialized teamsMaintain a knowledge base of common issues and solutionsFollow up with clients to confirm issue resolution in a timely mannerParticipate in team meetings and training sessions to stay updated on new technologies and support proceduresAbout the Client:&nbsp;Tech That Talks Business—SecurelyLogic180 is wired for impact. As a top-tier&nbsp;Managed IT and Cybersecurity provider&nbsp;based in New York, they specialize in keeping systems running and threats locked out. From round-the-clock support to bulletproof security frameworks, they power businesses with uptime, resilience, and trust. With a reputation built on results, Logic180 doesn’t just manage tech—they turn it into a competitive edge.Welcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta stands proudly alongside industry giants, offering stability and exciting career opportunities. Your career flourishes here with competitive compensation, international clients, and a work culture focused on collaboration and innovation. Work with global clients across industries, supported by a stable foundation and like-minded professionals passionate about making an impact. Apply now and be part of the&nbsp;#EmaptaEra!",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
IT Administrator,OMRON Group,https://ph.linkedin.com/jobs/view/it-administrator-at-omron-group-4177414786?position=6&pageNum=0&refId=Nx8RDxMRUlGzl%2FVUCqBg4w%3D%3D&trackingId=Yd8ya6Mh%2B18amW49fYE7RA%3D%3D,"We are the shared services arm of OMRON, dedicated to delivering exceptional support across our global operations. We are currently seeking a motivated professional to join our shared services team, where you will work with an international team to enhance our operational efficiency.The IT Administrator plays a crucial role in maintaining business operations by providing IT support across APAC. The primary focus is troubleshooting customer issues, configuring systems, and ensuring seamless IT operations.Your key responsibilities will include:Respond to IT service requests, diagnose technical issues, and provide timely resolutions to ensure minimal downtime for users.Conduct training sessions to educate employees on software applications, IT best practices, and security protocols.Install, configure, and maintain operating systems, software, hardware, and network infrastructure across multiple locations.Monitor and manage local area networks, cloud platforms, and telecommunications systems to ensure optimal performance and security.Implement security measures, monitor potential threats, and ensure compliance with company IT policies and industry standards.Perform regular system updates, backups, and maintenance to prevent system failures and data loss.Work closely with internal teams and external vendors to resolve IT-related issues, procure new technology, and support business needs.Maintain accurate records of IT assets, user support requests, system configurations, and troubleshooting procedures for future reference.",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Linkedin
Front Line Support | Enterprise Wi-Fi &amp; Networking | WFH | Day Shift | Day 1 HMO,Emapta,https://ph.jobstreet.com/job/83294866?type=standard&ref=search-standalone&origin=cardTitle#sol=76247d0639285e2f2267dcec2eceecaf55049f48,"Be the First Line of Defense in IT Support—Solve, Support, Succeed!Are you passionate about solving complex IT issues and delivering top-notch support? Join a team that keeps networks running smoothly and ensures seamless connectivity for users worldwide. If you thrive in troubleshooting, problem-solving, and making an impact, this is your chance to work with cutting-edge technologies—all from the comfort of your home.Job DescriptionAs a&nbsp;Front Line Support, you will be the go-to expert for diagnosing and troubleshooting network connectivity issues across various devices and platforms. You’ll handle authentication concerns, network faults, and performance issues while ensuring seamless user experiences. This role also involves monitoring unresponsive nodes, managing support requests, and maintaining technical documentation—all while delivering top-tier customer service.Job OverviewEmployment type: Full-timeShift: Day Shift (Mon - Fri; 7 AM - 4 PM) | Weekends offWork setup: Permanent Work From HomeExciting Perks Await!Day 1 HMO coverage with free dependentCompetitive packagePermanent WFH arrangementDay shift schedule with fixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)24/7 free access to office gyms (Ortigas &amp; Makati) with a free physical fitness trainerExclusive Emapta Lifestyle perks (hotel &amp; restaurant discounts, and more!)Unlimited opportunities for employee referral incentives20 annual leaves (including 5 convertible to cash)Standard government and Emapta benefitsFun engagement activities for employeesMentorship &amp; exposure to global leadersCareer growth opportunitiesDiverse &amp; supportive work environmentThe Qualifications We Seek1–3 years of experience in networking or IT support rolesStrong customer service skills with a focus on technical support and issue resolutionSolid understanding of networking fundamentals, including IP addressing, DHCP, DNS, and VLANsHands-on experience with enterprise Wi-Fi networks, including troubleshooting connectivity, signal strength, hotspot portals, and authentication issuesProficient with networking platforms such as Aruba, Ruckus, Juniper Mist, and MerakiSkilled in using CLI to configure and diagnose switches and wireless access pointsStrong understanding of switching technologies and wireless networking (radio frequencies, coverage zones)Proficient in structured troubleshooting methodologies for fast and accurate problem resolutionAble to stay calm and professional under pressure while managing competing prioritiesStrong problem-solving mindset with a bias for action and timely deliveryEffective time management and organizational skills; consistently meets deadlinesClear and professional written and verbal communication skills across technical and non-technical audiencesDiploma or degree in IT, Computer Science, or equivalent practical experience (desirable)Relevant industry certifications or hands-on experience with switching, routing, and wireless technologies (e.g., Aruba, Ruckus, Juniper, Cisco) (desirable)Your Daily TasksDiagnose and troubleshoot network connectivity issues across various operating systems and devices (smartphones, tablets, computers, gaming consoles, smart home devices)Resolve guest login portal authentication issuesTroubleshoot end-user device applications affecting network access (e.g., firewall, security software, private MAC addressing)Identify and resolve network faults across multiple vendors (e.g., Ruckus, Aruba, Cisco, Juniper), including access points, switches, and serversAnalyze Wi-Fi metrics to diagnose wireless issuesSupport converged networks such as IPTV, PoS, CCTV, and VOIPManage assigned and incoming support requests in line with OLAsMonitor and respond to unresponsive nodes promptly to meet SLAsEnsure timely response and resolution of all calls and emails in accordance with SLAsPerform incident and problem management tasks as per protocolMaintain accurate and up-to-date technical documentationTrain site staff on system functionality and provide supporting documentationFollow all company and workplace health and safety guidelinesWork independently and collaboratively without supervisionCommunicate effectively (both verbally and in writing) with strong interpersonal skillsWhere Connectivity Meets ExcellenceOur client is a&nbsp;pioneer in network solutions, delivering high-performance connectivity to businesses and individuals worldwide. They specialize in cutting-edge network infrastructure, ensuring seamless, fast, and secure connections. As part of their team, you’ll work with global experts, innovative technologies, and industry-leading projects—all while advancing your career in the ever-evolving world of IT.Welcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta stands proudly alongside industry giants, offering stability and exciting career opportunities. Your career flourishes here with competitive compensation, international clients, and a work culture focused on collaboration and innovation. Work with global clients across industries, supported by a stable foundation and like-minded professionals passionate about making an impact. We empower your success with opportunities for personal and professional development in an inclusive environment.&nbsp;Apply now and be part of the #EmaptaEra!",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Technical Support Representative - Makati | Open to IT Graduates - APPLY NOW!,Foundever®,https://ph.jobstreet.com/job/83224671?type=standard&ref=search-standalone&origin=cardTitle#sol=257b66f99eebf2f2dc4faabb6fa4ca049089ea52,"Job HighlightsEnjoy Amazing&nbsp;Account Benefits and Incentives!Open to all IT Graduates!HMO and Life Insurance for you and your qualified dependents + Work-Life Balance &amp; Career Growth Opportunities!Go further with Foundever®BE PART OF OUR APRIL TO JUNE 2025 CLASSES AND GET A CHANCE TO WIN P5,000 WORTH OF GROCERY PACKAGE VIA EGC! *T&amp;C AppliesAre you ready to move your career forward? At Foundever®, you will find our call center jobs surprising. We believe in memorable associate experiences. Here, you can improve your quality of life and grow your career. We believe that small moments can have a big impact on our work experiences, customers, teams, and friends. By creating positive moments for each other, we make a difference and improve our associate experience.Want to start your #FoundeverLife?There are&nbsp;2 ways to join us!You can&nbsp;join in virtually!&nbsp;Just&nbsp;click apply now, complete our application form,&nbsp;and enter our virtual hub&nbsp;using the details below, or&nbsp;walk in&nbsp;to our&nbsp;Onsite Recruitment Hub&nbsp;located at&nbsp;G/F Glorietta 1 Corporate Center, Hotel Drive, Ayala Center, Makati City, from 11AM to 7PM!Kindly declare&nbsp;JOBSTREET&nbsp;as your source&nbsp;during your application process to get a chance to win P5,000 worth of Grocery Package via EGC!&nbsp;VIRTUAL HUB DETAILS:Zoom Link:&nbsp;https://sitel.zoom.us/j/95036701177Meeting ID:&nbsp;950 3670 1177Passcode:&nbsp;MAKATISource of Application:&nbsp;JOBSTREETVirtual Recruitment Hours:&nbsp;10AM to 9PM (Open from Monday to Friday)What are we looking for?&nbsp;·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;Fresh Graduates of IT or related Course/Completed at least 2 years of college education·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No previous work experience needed but BPO experience is an advantage·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Must have at least 25 mbps internet speed/wired connection·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Must have basic knowledge of computer navigation; good multi-tasking skills·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Willing to work in Makati·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; TIP: Have your SSS and PAG-IBIG numbers ready for faster application processing!What should you expect from us?- Paid training from day one- Tons of growth opportunities (93% of our non-agent positions are filled internally)- A leadership team that hears your voice; we know that when we work together we can accomplish so much more- Fun team environment where we work hard to build trust every single day-&nbsp;HMO&nbsp;Benefits for you and your family- Free call center trainingTerms and conditions apply",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Tech Support Representative - Open to IT Graduates Without Experience | Makati,Foundever®,https://ph.jobstreet.com/job/83175124?type=standard&ref=search-standalone&origin=cardTitle#sol=fc9da3ae3e049875dbf6ec4640d6a2c896fb7dc4,"Job HighlightsEnjoy Amazing&nbsp;Account Benefits and Incentives!Open to all IT Graduates!HMO and Life Insurance for you and your qualified dependents + Work-Life Balance &amp; Career Growth Opportunities!Go further with Foundever®BE PART OF OUR APRIL TO JUNE 2025 CLASSES AND GET A CHANCE TO WIN P5,000 WORTH OF GROCERY PACKAGE VIA EGC! *T&amp;C AppliesAre you ready to move your career forward? At Foundever®, you will find our call center jobs surprising. We believe in memorable associate experiences. Here, you can improve your quality of life and grow your career. We believe that small moments can have a big impact on our work experiences, customers, teams, and friends. By creating positive moments for each other, we make a difference and improve our associate experience.Want to start your #FoundeverLife?There are&nbsp;2 ways to join us!You can&nbsp;join in virtually!&nbsp;Just&nbsp;click apply now, complete our application form,&nbsp;and enter our virtual hub&nbsp;using the details below, or&nbsp;walk in&nbsp;to our&nbsp;Onsite Recruitment Hub&nbsp;located at&nbsp;G/F Glorietta 1 Corporate Center, Hotel Drive, Ayala Center, Makati City, from 11AM to 7PM!Kindly declare&nbsp;JOBSTREET&nbsp;as your source&nbsp;during your application process to get a chance to win P5,000 worth of Grocery Package via EGC!VIRTUAL HUB DETAILS:Zoom Link:&nbsp;https://sitel.zoom.us/j/95036701177Meeting ID:&nbsp;950 3670 1177Passcode:&nbsp;MAKATISource of Application:&nbsp;JOBSTREETVirtual Recruitment Hours:&nbsp;10AM to 9PM (Open from Monday to Friday)What are we looking for?&nbsp;·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;Fresh Graduates of IT or related Course/Completed at least 2 years of college education·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No previous work experience needed but BPO experience is an advantage·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Must have at least 25 mbps internet speed/wired connection·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Must have basic knowledge of computer navigation; good multi-tasking skills·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Willing to work in Makati·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; TIP: Have your SSS and PAG-IBIG numbers ready for faster application processing!What should you expect from us?- Paid training from day one- Tons of growth opportunities (93% of our non-agent positions are filled internally)- A leadership team that hears your voice; we know that when we work together we can accomplish so much more- Fun team environment where we work hard to build trust every single day-&nbsp;HMO&nbsp;Benefits for you and your family- Free call center trainingTerms and conditions apply",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
