title,company,link,job_desc,job_func,location,job_type,source,selected
Media Creator,Bookipi,https://ph.linkedin.com/jobs/view/media-creator-at-bookipi-4195522744?position=29&pageNum=0&refId=YU7jUVwxwbBrUYuN9r1gFw%3D%3D&trackingId=qT9IVJbmPI0MTAkHUn0K1A%3D%3D,"Location: RemoteDepartment: MarketingReports to: CMOThe Role:The Bookipi Group is looking for a Media Creator to join the marketing team. Bookipi Group is a tech company specialising in financial solutions for small businesses, including invoicing, payroll, and expense management apps. The ideal candidate will be creative, detail-oriented, and eager to contribute to various design projects that support our overall marketing efforts. You will work alongside brand managers and marketing team members ( SEO, Social Media, Performance marketing, Email &amp; Comms) to create visually appealing content that aligns with our brand identity.We are a Remote First company and allow full Work From Home.Key actions &amp; duties:Design creation:Develop, design, and produce a variety of visual content, including social media graphics, website banners, email templates, infographics, and promotional marketing materials.Collaborate with the marketing team members to create visually appealing multimedia content.Ensure all designs adhere to brand guidelines and maintain consistency across all platforms.Create and manage a design calendar to ensure timely delivery of design projects in line with marketing campaigns.Project coordination:Participate in brainstorming sessions to generate new design ideas and concepts.Work closely with the marketing team to understand project requirements and deliver designs that meet campaign objectives.Administration:Maintain and organise design assets, including images, graphics, and templates.Ensure all design activities comply with platform guidelines and company policies.Manage and update design files and project documentation.Update and work closely with the design team to update company brand guidelines. QualificationsEducation:Graphic Design, Visual Communications, or a related field (or equivalent work experience).Submission of a design portfolio on the application (required) Experience:Experience in graphic design for a brand or organisation (internships considered)Familiarity with graphic design tools (Canva, CapCut)Skills:Strong graphic design skills with a focus on creating engaging and visually appealing content.Proficiency in graphic design software (Adobe Creative Suite, Canva, etc.).Basic proficiency in video editing tools (CapCut, Vimeo) is a plus.Excellent organisational and multitasking abilities.Strong attention to detail and a high level of accuracy.Creative thinking and problem-solving abilities.Strong interpersonal skills and the ability to work effectively within a team.Personal attributes:Passionate about design and staying updated on the latest design trends.Detail-oriented with a high level of accuracy.Ability to work independently and take initiative.Positive attitude and a strong work ethic.If you are passionate about media creation and looking for an opportunity to grow your career in a dynamic environment, we would love to hear from you. Apply today to join our team and help us create engaging and impactful visual content.","Marketing, Public Relations, Writing/Editing",Philippines,Full-time,Linkedin,1
Public Relations Assistant greenhills san juan fresh graduates,Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/public-relations-assistant-greenhills-san-juan-fresh-graduates-at-dempsey-resource-management-inc-4196460284?position=25&pageNum=0&refId=YU7jUVwxwbBrUYuN9r1gFw%3D%3D&trackingId=SxSx%2B4WB%2FskMtld9PPeVeA%3D%3D,"Public Relations Assistant - GREENHILLS SAN JUANFRESH GRADUATES MAY APPLYSALARY: 18KReports ToThe PR will report to the President and CEO, VP for Operations and General Manager.Duties &amp; Responsibilities Build relationships with journalists, write press release, and secure mediacoverage. Plan and execute PR campaigns, craft messaging, and manage crises. Write speeches, blogs, social media posts, and promotional materials. Organize press conferences, promotional events, and outreach programs. Track media coverage, analyze PR campaign effectiveness, and prepare reports. Build relationships with key stakeholders and act as a spokesperson whenneeded. Other functions as may deem necessary by the General ManagerQualifications Exceptional written and verbal communication. Strong interpersonal and networking abilities. Creativity and organizational skills. Problem-solving and adaptability. Prior experience in PR, communications, or media (internships or entry-levelroles acceptable). Familiarity with media monitoring tools and social media platforms. Proficiency in PR tools (e.g., Cision, Meltwater). SEO and digital marketing knowledge (preferred).","Marketing, Public Relations, Writing/Editing",Other,Full-time,Linkedin,
Events Marketing Specialist,TaskUs,https://ph.linkedin.com/jobs/view/events-marketing-specialist-at-taskus-4183483239?position=23&pageNum=0&refId=YU7jUVwxwbBrUYuN9r1gFw%3D%3D&trackingId=2xb40JmdmLzdBUuvTYpzCA%3D%3D,"About TaskUs:  TaskUs is a provider of outsourced digital services and next-generation customer experience to fast-growing technology companies, helping its clients represent, protect and grow their brands. Leveraging a cloud-based infrastructure, TaskUs serves clients in the fastest-growing sectors, including social media, e-commerce, gaming, streaming media, food delivery, ride-sharing, HiTech, FinTech, and HealthTech.The People First culture at TaskUs has enabled the company to expand its workforce to approximately 45,000 employees globally. Presently, we have a presence in twenty-three locations across twelve countries, which include the Philippines, India, and the United States.It started with one ridiculously good idea to create a different breed of Business Processing Outsourcing (BPO)! We at TaskUs understand that achieving growth for our partners requires a culture of constant motion, exploring new technologies, being ready to handle any challenge at a moment's notice, and mastering consistency in an ever-changing world. What We Offer:  At TaskUs, we prioritize our employees' well-being by offering competitive industry salaries and comprehensive benefits packages. Our commitment to a People First culture is reflected in the various departments we have established, including Total Rewards, Wellness, HR, and Diversity. We take pride in our inclusive environment and positive impact on the community. Moreover, we actively encourage internal mobility and professional growth at all stages of an employee's career within TaskUs. Join our team today and experience firsthand our dedication to supporting People First. What can you expect in an Events Marketing Specialist role with TaskUs: As a Marketing Specialist- Events, you will play a key role in supporting the planning and execution of events that enhance brand awareness and engagement. You will collaborate closely with internal teams and vendors to ensure seamless experiences that reflect our company's values and vision. If you're eager to learn, highly organized, and passionate about events, we want to hear from you!Key Responsibilities:  Event Coordination:Assist in planning and executing events, including conferences, client meetings, internal engagements, and webinars.Support logistics, vendor coordination, and on-site execution to ensure smooth operations. Creativity &amp; Innovation:Contribute fresh ideas to enhance event themes, branding, and attendee experiences.Stay updated on industry trends to help bring creative elements to each event. Stakeholder Collaboration:Work with cross-functional teams, including marketing, sales, and HR, to align events with business objectives.Assist in collecting and incorporating stakeholder feedback into event planning. Budget &amp; Resource Management:Help track event budgets and support cost-effective planning.Coordinate vendor payments and assist in contract negotiations. Post-Event Analysis:Gather attendee feedback and help assess event success.Compile reports on event performance and key takeaways for continuous improvement.Required Qualifications:  Experience in event planning, marketing, or related fields (internships or academic projects are a plus).  Strong organizational and time management skills.  Creative mindset with attention to detail.  Excellent communication and teamwork abilities.  Ability to manage multiple tasks in a fast-paced environment.  Basic knowledge of event logistics and marketing principles.  Ability to manage multiple projects simultaneously in a fast-paced environment.  How We Partner To Protect You:   TaskUs will neither solicit money from you during your application process nor require any form of payment in order to proceed with your application. Kindly ensure that you are always in communication with only authorized recruiters of TaskUs. DEI:  In TaskUs we believe that innovation and higher performance are brought by people from all walks of life. We welcome applicants of different backgrounds, demographics, and circumstances. Inclusive and equitable practices are our responsibility as a business. TaskUs is committed to providing equal access to opportunities. If you need reasonable accommodations in any part of the hiring process, please let us know.We invite you to explore all TaskUs career opportunities and apply through the provided URL  https://www.taskus.com/careers/ .","Marketing, Sales",Philippines,Full-time,Linkedin,
IT Hardware Intern | Makati,MedGrocer,https://ph.jobstreet.com/job/82837802?type=standard&ref=search-standalone&origin=cardTitle#sol=b324dd8af81e41058656a0bf14bdae27f5470095,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The IT Hardware Intern provides technical support on hardware and software through maintenance and repair.Our interns are a vital source of talent for full-time positions. Outstanding performance may potentially lead to a job offer at MedGrocer.Key ResponsibilitiesHelp configure company devices and guide users in operating all company-related software and equipmentAssist in facilitating repairs and upgrades on various devices such as laptops, mobile phones, printers, and CCTVsMaintain repair logs and maintenance schedulesAid in setting up stable and secure network connections, firewalls, and access points.Minimum QualificationsCurrently a college student studying Computer Engineering, Information Systems, Computer Science, Cybersecurity, or any related fieldKnowledgeable in computer hardware and accessoriesConfident in handling computers, mobile phones, printers, CCTVs, and routersKnowledge of Google Workspace, Airtable, and Ticketing platforms is a plusMust be willing to work in MakatiPerks and BenefitsAllowanceOpportunity to be offered a full-time position",Information Technology,,,Jobstreet,
UNIQLO Internship Program,UNIQLO Philippines,https://ph.jobstreet.com/job/82968041?type=standard&ref=search-standalone&origin=cardTitle#sol=6d6623f85046e616116314210642edf52023b7c4,"ABOUT UIPThe UIP provides an experience for students to immerse in actual store operations, acquire practical skills, knowledge, and valuable work experience.&nbsp;&nbsp;They will also have the opportunity to work on actual problem statement that will foster professional growth, problem-solving skills, and innovativeness.&nbsp;For a minimum requirement of 220 hours, students will have an understanding on store operations function in the retail industry.REQUIREMENTSUndergrad students of any degree program who is passionate to learn, display strong leadership and holds solution-oriented mindsetNot currently involved in any other internship or exchange programsHas the interest in fashion retail industryHas customer-first mindsetWilling to work on site at UNIQLO stores within Metro ManilaFlexible to work on various shift schedule",Sales,,,Jobstreet,1
"Internships in Administration, Spa, Kitchen, Buffet and Maintenance in Estepona (Food included)",Spain Internship,https://ph.linkedin.com/jobs/view/internships-in-administration-spa-kitchen-buffet-and-maintenance-in-estepona-food-included-at-spain-internship-4061489943?position=12&pageNum=0&refId=YU7jUVwxwbBrUYuN9r1gFw%3D%3D&trackingId=c5jRfyXv7SsWraK%2FEnqo2Q%3D%3D,"Our collaborator is a big hotel chain awarded with 4 stars. The hotels are situated in different cities on the Spanish coast. They are now looking for interns for various tasks.Positions In The Following Departments Administration Spa centre (receptionist) Spa centre (therapist) Kitchen Buffet (waiter) Buffet (hostess) MaintenanceMain Tasks Administration:Archiving and keeping files up to dateInvestigating the competitorsPreparing contractsCustomer calls Spa centre (receptionist):Welcome clients and giving informationMake appointments for massages, cosmetic procedures, etc. Spa centre (therapists):Provide massage and body treatmentsConduct different esthetical procedures Kitchen:Prepare, cook and present foodAssist in keeping the kitchen clean, hygienic and tidy, at all timesWork safely around kitchen equipment and report any maintenance issues to the managerCarry out instructions given by the management team and head office Buffet (waiter)Decorate and set up tablesServe food and beveragesRefill stations and machines, set-up stations, set out utensils, polish silverware, etc.Inform other culinary staff of menu changes Buffet (hostess):Welcome guestsGive information and directionsHelp with organization and placing the guests Maintenance:Keeping a check that safety equipment like fire alarm, fire extinguisher, etc. are in place and are in working conditionMaintaining cleanliness of public areas, storage areas, and parking lotReplacing warn or damaged partsCompleting an inventory for all supplies and toolsConducting preventative mainBenefitsBreakfast, lunch and dinner in the staff kitchen (accommodation is NOT included)Location:Estepona, MálagaInternship Duration Administration:June – September 2015 All other positions:April – October 2015If you are interested, send your CV to: info@spain-internship.comThis vacancy may/may not be available or may be a sample of vacancies we have had. To get updated availability and options, please, apply: APPLYAdditional InfoReference number: 1751Field: Tourism &amp; HospitalityStipend: UnpaidOther benefits: ---City: ZaragozaCost: Freeback to top","Management, Manufacturing",Other,Internship,Linkedin,
Tourism and customer relations internship in London UK [Paid: 600£],Spain Internship,https://ph.linkedin.com/jobs/view/tourism-and-customer-relations-internship-in-london-uk-paid-600%C2%A3-at-spain-internship-4061492302?position=17&pageNum=0&refId=YU7jUVwxwbBrUYuN9r1gFw%3D%3D&trackingId=Rd2v24K2uSKOmd3iKgIqHA%3D%3D,"Our collaborator is a tour operator dedicated only to Cuba was established on 13th August 2003. This tour operator is promoting Cuba to UK and other English speaking countries, Russia, Brazil, France, Turkey, Malaysia, Croatia and many more. We have an experience of having work placement students in our company for the last several years. This gives to students a brilliant opportunity to get real experience of working in travel industry! The work placement would be ideal for a dynamic, enthusiastic person with great attention to detail and ability to learn fast.This company is looking for 2 candidates, one to start immediately and one to start on the 16th of January 2017.Position: Sales teamTasksTwo weeks training: getting familiar with products: hotels, flights, tourist cards, tours... introduction to QuickBooks and our reservations systems: eTravel and CRSMain Tasks responsible for all financial transactions on a file and balancing that file when completed. adding invoices and purchase orders to QuickBooks. processing tourist cards orders entering hotels' stop sales information more familiarisation with hotels by making translations selling Cuban travel products to the international customers working closely with main hotel/services suppliers in Cuba (more than 200) follow an inquiry through to a booking: (sending out the information, preparing a quote and itinerary, follow up calls to assess if clients needs are being met, holding options, obtaining deposits/payments and processing them) provide an efficient service to clients on booking: (sending vouchers, advising on tourist cards) o use Bizloco &amp; CRS to create and maintain client files and record all details of bookings.Requirements 5 months (flexible). Good level of English ( additional language is a plus but not a requirement). Candidates from Tourism area preferably or with interest in working in the travel industry. (If they have previous work experience we have interest in someone with a background in Sales &amp; Customer Service.)Conditions 600£/months Fulltime.If you are interested in an international experience you can take a look at all our International internships to find the one which will best fit to your needs. Or, if you are interested in the field of this internship take a look at our Marketing internships.This vacancy may/may not be available or may be a sample of vacancies we have had. To get updated availability and options, please, apply: APPLYAdditional InfoReference number: 2083Field: Marketing &amp; BusinessStipend: 500€ +Other benefits: ---City: ZaragozaCost: Freeback to top","Management, Manufacturing",Other,Internship,Linkedin,1
Software Test Intern,DYSON ELECTRONICS PTE. LTD. - PHILIPPINE BRANCH,https://ph.jobstreet.com/job/83231370?type=standard&ref=search-standalone&origin=cardTitle#sol=93e52a6dae9d4ee9be888ed43b429016762034e6,"About usDyson is a global technology enterprise.&nbsp; We solve the problems others choose to ignore, with surprising new inventions that defy convention and simply work better.&nbsp; We’re driven by progress and thrive on the challenge of relentless improvement.&nbsp; We’re growing fast and our ambition is huge – more categories, more locations, and more people.Our scale and rapid growth make Dyson rich in new opportunities. We value new ideas and diverse perspectives, so our people are trusted with real work and responsibility from the outset.&nbsp; You’ll develop fast and have the chance to move into different business areas and regions.&nbsp; And you’ll be part of a global network of like-minded people – a community that supports and learns from each other.About the roleWe are seeking a highly motivated and detail-oriented Software Test Engineering Intern to join our team. This internship is an excellent opportunity for a current student or recent graduate to gain hands-on experience in embedded software testing. The ideal candidate will have a good foundation in software engineering principles, a keen interest in embedded systems, and a strong desire to learn and contribute to real-world projects. As a Software Test Engineering Intern, you will work closely with our experienced engineers to test and ensure the quality and reliability of our embedded software products. Some of your training could include:Support the development and execution of test cases for embedded software applications.Help perform functional, integration, and regression testing of embedded software systems under the supervision of senior engineers.Learn to create and run automated test scripts using various tools and frameworks.Assist in identifying, documenting, and tracking software defects, and help in troubleshooting and resolving issues.Participate in code reviews to gain insights into testability and test coverage.Contribute to exploratory and reliability testing of embedded software.Follow established software testing processes and methodologies.Internship ProgrammeOur internship programme connects academic theory with practical experience. Gain valuable insights into professional applications through mentorships with our industry-leading experts and exposure to cutting-edge practices. Join us for a transformative journey where theory meets application, guided by the industry’s best minds!About youCurrently pursuing a bachelor's degree in Computer Science, Electrical Engineering, Software Engineering, or a related field.Basic understanding of software testing principles, methodologies, and techniques.Familiarity with programming languages commonly used in testing embedded systems (e.g., Python, Java).Exposure to real-time operating systems (RTOS) and device drivers is a plus.Some experience or coursework in automated testing frameworks and tools.Strong analytical and problem-solving skills.Keen attention to detail.Effective communication and collaboration abilities.Ability to learn quickly and work effectively in a team-oriented environment.Please note that these roles are for full-time onsite internship in Santo Tomas, Batangas from May to August 2025.For your application to be considered, please upload the following in a single file.Resume or Curriculum VitaePortfolioEndorsement Letter with Insurance CoverageTranscript of records (all semesters inclusive)Working for usJoin our internship programme to jumpstart your career. We look to offer selected high-performing interns an opportunity to return on our graduate programme.Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.",Information Technology,,,Jobstreet,
Desktop Intern,"Digital Room (Philippines) , Inc.",https://ph.jobstreet.com/job/83209265?type=standard&ref=search-standalone&origin=cardTitle#sol=198779a7e9137b1dc359332b761e80156cb68faf,"Desktop Support Intern – Job DescriptionOverviewThe Desktop Support Intern will assist the IT team in providing technical support to end-users, troubleshooting hardware and software issues, and maintaining IT assets. This internship offers hands-on experience in desktop support, system maintenance, and IT service management, making it an excellent opportunity for students or recent graduates to gain real-world IT skills.Responsibilities and DutiesTechnical Support &amp; TroubleshootingAssist with troubleshooting and resolving basic hardware, software, and network connectivity issues.Support end-users with software installations, system configurations, and peripheral setup.Provide first-level assistance for desktop and laptop-related issues under IT supervision.System Maintenance &amp; SecurityHelp perform routine system maintenance, updates, and security patching.Installation &amp; ConfigurationSupport IT staff in setting up new desktops, laptops, and peripherals.Assist in installing and configuring operating systems and business applications.User Assistance &amp; TrainingProvide guidance to employees on IT best practices and basic troubleshooting steps.Documentation &amp; Asset ManagementMaintain records of IT support requests, troubleshooting steps, and resolutions.Assist in tracking and managing IT assets, including inventory updates and device assignments.Proactive Monitoring &amp; Issue PreventionMonitor system performance for potential issues and report findings to the IT team.Assist in implementing preventative measures to reduce recurring IT incidents.Technical Skills &amp; QualificationsCurrently pursuing or recently completed an Associate’s or Bachelor’s degree in IT, Computer Science, or a related field.Basic knowledge of Windows, macOS, Microsoft 365, and networking fundamentals.Familiarity with IT troubleshooting techniques, strong problem-solving skills and attention to detail.Excellent communication and teamwork skills.Work ArrangementLocation: Mandaluyong (or company-specific location).Schedule: Part-time or full-time internship (based on availability and business needs).Onsite Role: May require occasional hands-on work with IT hardware and equipment.With PHP 100 per day allowance for interns",Information Technology,,,Jobstreet,
Motor Drives &amp; Advance Control (MDAC) Intern,DYSON ELECTRONICS PTE. LTD. - PHILIPPINE BRANCH,https://ph.jobstreet.com/job/83275662?type=standard&ref=search-standalone&origin=cardTitle#sol=8b797ffe687cf9729ede079f07c8343a0be53c95,"About usThe MDAC team form part of the wider Motors and Power Systems Group and is a significant part of Dyson RDD with a growing team of more than 100 highly skilled engineers, scientists and technicians in its UK, Singapore, Malaysia and Philippines offices. The Group focuses on researching and developing cutting-edge electric motors, drives and control systems for integration into existing and future Dyson products from concept design to fully automated production. The Motor Drives and Advanced Control team applies deep, specialist knowledge to design and develop control algorithms and electromagnetic designs used in Dyson's products. The Dyson Hyperdymium™ motor, brush bar motors, traction motors, fan motors, heaters, protective systems, and product-level behaviours are all driven by these control systems.About the roleOur scale and rapid growth make Dyson rich in new opportunities. Join our internship program and from day one you’ll be expected to hit the ground running on one of Dyson’s many live projects, with the chance to have a meaningful impact on the evolution of Dyson technology. You’ll be trained as part of a larger project team, gaining hands-on experience and learning to manage your own set of project deliverables. You'll also have the chance to take initiative and develop your own approach to achieving these goals.SoftwareHands-on experience with Motor Software team to be engaged on how to develop and maintain real time embedded software for our world leading Dyson Digital Motors and other advanced control systems. This will involve independent working learning and close collaboration with other team disciplines in SEA. Understand the Motor control software through software validation until its official release.ElectronicsHands-on experience with motor drive and control systems engineering which include but not limited to: Support design, development, and implementation of motor control algorithm in both beauty and home Dyson projects.Insight into working in a professional environment, including exposure to collaborative team workflows, project management, and technical problem-solving. Further enhancement of the technical knowledge and real-world application of power electronics and motor control principles.Working alongside engineers, and technical experts across a broad range of disciplines, you’ll be comfortable learning from others but also sharing your own knowledge, ideas, and opinions.Our internship programme connects academic theory with practical experience. Gain valuable insights into professional applications through mentorships with our industry-leading experts and exposure to cutting-edge practices. Join us for a transformative journey where theory meets application, guided by the industry’s best minds!About youWorking towards degree in Computer Engineering, Electronics Engineering, Robotics, Information Systems, or related discipline. Able to evidence how you have applied your technical knowledge to solve problems, either through your university projects or as part of your extra-curricular activities.Be a creative thinker and problem solver; highly self-motivated and self-reliant with enthusiasm for motors, power systems and Dyson products.Strong communication and team working skills to be able to form a bridge between multiple teams of different disciplines working on a single, integrated product across multiple global sites.Software InternA good understanding of basic hardware and its interface with software systems.Familiar with programming languages such as Embedded C/C++ and Python. Electronics InternBasic knowledge in one or more of the areas: BLDC motor control, power electronic components, and basic electronic circuits and operations.Working knowledge of schematic capture, PCB layout and associated software.Please note that this role is for full-time onsite internship in Calamba, Laguna, from May to August 2025.For your application to be considered, please upload the following in a single file.Resume or Curriculum VitaePortfolioEndorsement Letter with Insurance CoverageTranscript of records (all semesters inclusive)Working for usJoin our internship programme to jumpstart your career. We look to offer selected high-performing interns an opportunity to return on our graduate programme.Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.",Information Technology,,,Jobstreet,
