title,company,link,job_desc,job_func,location,job_type,source,selected
Global Trade Staff,EY GLOBAL DELIVERY SERVICES (GDS) PHILIPPINES,https://ph.jobstreet.com/job/83232359?type=standard&ref=search-standalone&origin=cardTitle#sol=17caf03c6b8b6c6188552108256ef01793d2e28f,"EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. Our organization helps companies in business across all industries to identify and capitalize on business opportunities. As a leading professional service organization, EY is present in 140 countries worldwide and employs over 160,000 people. We offer our clients, which are small, medium-sized companies and international corporations, a broad array of services in audit, tax and advisory.&nbsp;Your key responsibilitiesAs a Tax Analyst / Advanced Tax Analyst in GDS Indirect Tax Center, you will be focused on preparation of projects/services in the domain of IDT Global Trade.&nbsp;&nbsp;Skills and attributes to successPreparing indirect tax returns and file (where applicable) these returns via the country specific filing tool - applicable to GDS only.Demonstrating an understating of basic Global Trade concepts and proactively increases knowledge through client assignments and current industry practices.Multitasking on various projects within the Global Trade segment and be cross trained.Proposing improvement possibilities to raise effectiveness and efficiency of the work processes.Developing and delivering quality and timely services and work products efficiently.Complying with Ernst &amp; Young compliance procedure.&nbsp;To qualify for the role, you must have:Graduate preferably in Commerce / Chemical Engineering/Engineering related courseStrong written and verbal communication skills in English.&nbsp;Ideally, you must have:Dynamic, innovative &amp; problem resolution focus with good communication skillsDemonstrate good computer knowledge - in MS Excel and a basic knowledge of other MS Office, Web-based applicationsBasic knowledge about functioning/usage of ERP-systemsIndividual showing great interest in working with multi-country clientsIndividual being capable of working IndependentlyTeam player - driving the team towards progression&nbsp;What we look forWe are looking for highly motivated individuals with the ability to work in a collaborative environment to provide exceptional client service across global sites. You’ll be a confident team player developing strong people management skills and picking up new skills which will help you solve complex problems. If you’re ready to take on a wide range of responsibilities and are committed to seeking out new ways to make a difference, this role is for you.&nbsp;What working at EY offersSupport, coaching and feedback from some of the most engaging colleagues aroundOpportunities to develop new skills and progress your careerThe freedom and flexibility to handle your role in a way that’s right for you&nbsp;About EYAs a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2023 a reality.&nbsp;If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.&nbsp;Make your mark.&nbsp;Apply now.&nbsp;","Manufacturing, Transport & Logistics",,,Jobstreet,
Deal Advisory,Cobden &amp; Carter International,https://ph.jobstreet.com/job/83291705?type=standard&ref=search-standalone&origin=cardTitle#sol=b846e273686ea2ee1ebd7ad2f37c931749290274,"Deal Advisory&nbsp;&nbsp;One of the leading auditing firms is looking for a Deal Advisory.&nbsp;RESPONSIBILITIES&nbsp;Gain experience in Deal Advisory services within an independent public accounting firm.&nbsp;Support pre-engagement documentation, planning, and form updates.&nbsp;Assist with transactions by completing tasks, maintaining records, and preparing working papers.&nbsp;Conduct financial and industry analysis relevant to transactions.&nbsp;Use research tools to gather and interpret market data for advisory and proposal activities.&nbsp;Apply technical knowledge to analyze engagement documents and communicate findings.&nbsp;Understand transaction mechanics, valuation basis, and deal rationale to provide client insights.&nbsp;Interpret analysis results and suggest solutions based on deal implications.&nbsp;&nbsp;QUALIFICATIONS:&nbsp;&nbsp;Graduate of Bachelor of Science in Accountancy, Finance or the related&nbsp;&nbsp;Has at least 3-6 years of experience in Deal Advisory services reports, valuation, business planning, etc.&nbsp;&nbsp;Work Setup: Hybrid setup (working onsite if needed only)&nbsp;Location:&nbsp; Makati City&nbsp;&nbsp;By Applying, you give consent to collect, store, and/or process personal and/or sensitive information for the purpose of recruitment and employment may it be internal to Cobden &amp; Carter International and/or to its clients.",Banking & Financial Services,,,Jobstreet,1
Contract Analyst,"Eximius BPO Services, Inc.",https://www.kalibrr.com/c/eximius-bpo-services-inc/jobs/253269/contract-analyst-9,"Join our team and play a pivotal role in driving success! We’re looking for resourceful individuals with keen attention to detail and a talent for analyzing complex information. If you’re ready to make an impact and grow your career, this could be the opportunity you’ve been waiting for. About the Role:As a Contract/Lease Analyst, you will be a crucial part of our team, leading initial project phases and ensuring fairness and transparency in our clients' business dealings. Your work will directly influence outcomes, from interpreting complex terms to providing valuable insights. Key Responsibilities:	Analyze contracts, legal documents, and business materials with precision.	Create clear and concise abstracts and summaries following established guidelines. Benefits and Perks:	Government-mandated benefits for your security and well-being.	Hybrid work setup with a company-provided PC.	Comprehensive HMO coverage, including dependents (up to two) at no extra cost.	Inclusive healthcare benefits for common-law and domestic partners of any gender.	Medical reimbursement allowances for outpatient care, maintenance meds, optical, dental, and more.	Group term life insurance	A solid retirement plan starting upon regularization.	Paid leave credits to promote work-life balance.	Semi-flexible dayshift schedule to align work and personal life.	Career and wellness workshops to foster personal and professional growth.	A dynamic, inclusive, and collaborative work environment where your ideas are valued.Join our team and play a pivotal role in driving success! We’re looking for resourceful individuals with keen attention to detail and a talent for analyzing complex information. If you’re ready to make an impact and grow your career, this could be the opportunity you’ve been waiting for. About the Role:As a Contract/Lease Analyst, you will be a crucial part of our team, leading initial project phases and ensuring fairness and transparency in our clients' business dealings. Your work will directly influence outcomes, from interpreting complex terms to providing valuable insights. Key Responsibilities:	Analyze contracts, legal documents, and business materials with precision.	Create clear and concise abstracts and summaries following established guidelines. Benefits and Perks:	Government-mandated benefits for your security and well-being.	Hybrid work setup with a company-provided PC.	Comprehensive HMO coverage, including dependents (up to two) at no extra cost.	Inclusive healthcare benefits for common-law and domestic partners of any gender.	Medical reimbursement allowances for outpatient care, maintenance meds, optical, dental, and more.	Group term life insurance	A solid retirement plan starting upon regularization.	Paid leave credits to promote work-life balance.	Semi-flexible dayshift schedule to align work and personal life.	Career and wellness workshops to foster personal and professional growth.	A dynamic, inclusive, and collaborative work environment where your ideas are valued.What we're looking for:	A Bachelor’s Degree in any field — fresh graduates and entry-level professionals are welcome!	Strong analytical skills and exceptional attention to detail.	Excellent English comprehension and writing abilities.	Basic mathematical skills to support your analysis.	A growth mindset with a willingness to learn and adapt to new challenges. Ready to take the next step? Apply now and start a rewarding career as a Contract Analyst! We’re excited to welcome talented individuals who are eager to grow and thrive in a supportive and forward-thinking company. Together, let’s achieve great things!Hire NowSign UpLogin",Legal,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr,
Trader and Market Analyst,"Manila Water Company, Inc.",https://ph.jobstreet.com/job/82645060?type=standard&ref=search-standalone&origin=cardTitle#sol=68e52234b2c715067ddcd59dacb6dff1e1afe471,"About the roleWe are seeking a talented Trader and Market Analyst to join our dynamic team at Manila Water Company, Inc. In this full-time position, you will play a pivotal role in our operations, leveraging your expertise in market research and analysis to drive strategic decision-making and support the company's growth within the Quezon City Metro Manila region.What you'll be doingManages the trading process on all kinds of financial products including money market, securities, and derivates and deals with financial institutions’ traders on behalf of the company&nbsp;Acts as corporate resource person to subsidiaries on placements and sourcing of foreign exchange&nbsp;Identifies, monitors, and manages financial risk exposures arising from money market transactions&nbsp;Monitors and ensures that counterparty limits are observed at all times and that periodic review is carried outSources and trades foreign exchange for the disbursement requirements of the parent company and deal with counterparties’ FX traders&nbsp;Manages the trading and settlement of offshore FX transactions of Manila Water Asia Pacific and its subsidiaries/affiliates with foreign banks involving regional or third currencies&nbsp;Reviews foreign exchange and financial market/banking regulations onshore and onshore and act as resource person for topics relating to suchCreates monthly cash flow projections by coordinating with various groups inside the organization (Financial Planning, Accounting, Strategic Asset Management, etc.) to ensure sufficient and timely funding requirementsProvides the department with relevant macroeconomic views/analyses and foreign exchange projections as may be used for various business initiatives and treasury strategy formulation&nbsp;Prepares daily treasury reports on economic and financial market developments&nbsp;Creates regular reports on done deals and monitors done deals versus targetsWhat we're looking forDegree in Finance, Economics, Business Analytics, or a related fieldMinimum of 3 to 5 years of experience in a similar market research or trading analyst roleCertified Treasury Professional is a plusStrong analytical and problem-solving skills with the ability to interpret complex data and translate it into actionable insightsProficient in SAP Treasury Module, Bloomberg, Reuters and other date terminals&nbsp;Familiarity with bank policies, regulations, and procedures&nbsp;Excellent communication and presentation skills, with the ability to effectively convey complex information to both technical and non-technical stakeholders&nbsp;Manila Water and its subsidiaries DO NOT charge fees in exchange for employment. You may verify Manila Water job openings at careers@manilawater.com.Be vigilant. Be informed.",Marketing,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Supply Chain Analyst,TE Connectivity,https://ph.jobstreet.com/job/83071436?type=standard&ref=search-standalone&origin=cardTitle#sol=ed2c31aa83b71e1dc1bf74689076ba6ebcf43892,"Responsibilities:Develop and implement central planning capabilities that will deliver critical resultsMap, design and improve supply chain planning process flows, planning activities and digitization initiativesPerform analysis on critical reports and make recommendation on desired outcomeDevelop and maintain templates for various supply chain processes and documentationUtilize programming skills to come up with automated processes to improve daily planning activitiesCollaborate with cross-functional teams to gather information and support project initiativesWhat your background should look like:You must be a fresh graduate with an MBA degree or Master’s in supply chain management or a related field.Excellent academic credentials and leadership qualitiesAligned with the TE’s core values - Integrity, Accountability, Teamwork, and Innovation,Fast learner and numerate with a strong attention to detail.Must be dynamic, flexible, and able to work in a fast-paced environment.Excellent communication skills in English (written/spoken)Mobility – Geographical flexibility preferred.","Manufacturing, Transport & Logistics","Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Global Pricing Analyst (WFH | Day Shift),Satellite Office,https://ph.jobstreet.com/job/82940985?type=standard&ref=search-standalone&origin=cardTitle#sol=4c943d263e98c361c9300af63f062ac920c8bf89,"GLOBAL PRICING ANALYSTWork for our global clients and immerse in our rich and diverse company culture where you can thrive, grow and just be aweSOme! Apply now and discover the Satellite Office Candidate Experience – recognized as one of BEST among BPO companies worldwide.WHAT IS A GLOBAL PRICING ANALYST?Our awesome client, an IT and Communications services company based in Australia, is looking for a new GLOBAL PRICING ANALYST&nbsp;to&nbsp;join their growing team.The Pricing Analyst will be a key stakeholder in vendor rate negotiations and support pricing for tender opportunities. It will be responsible for maintaining tariff and number prefix lists for usage and rate refreshes surrounding changing costs. This role will also own customer facing pricelist templates and manage the governance process for negotiated pricing variations.&nbsp;WHAT WILL BE YOUR MAIN RESPONSIBILITIES?This role will work heavily with our suppliers, Billing and Sales Teams. Our ideal candidate is a detail oriented, results driven individual with strong communication skills and commercial acumen. Our Global business is positioned as a market disruptor with high growth potential, this role will have ample opportunity to drive improvement and learn new products and markets. &nbsp;Pricing and Profitability&nbsp;Develop and&nbsp;maintain&nbsp;pricing framework&nbsp;for&nbsp;determining&nbsp;margin&nbsp;incorporating vendor, network incorporating contention, and foreign exchange.&nbsp;Define standard and floor pricing based on market-research and&nbsp;target margin levels.&nbsp;&nbsp;Price Refreshes&nbsp;Review cost changes and implement&nbsp;customer pricing refreshes&nbsp;to&nbsp;maintain&nbsp;margin levels.&nbsp;Carry out regular&nbsp;international&nbsp;call pricing&nbsp;review and&nbsp;refreshes.&nbsp;Project manage&nbsp;plan rationalization projects.&nbsp;Prefix &amp; Tariff Management&nbsp;Develop&nbsp;and&nbsp;maintain&nbsp;tariff and call prefix lists&nbsp;for usage rating.&nbsp;Incorporate&nbsp;and rationalize&nbsp;vendor&nbsp;tariff lists&nbsp;to deliver&nbsp;effective simplified rating.&nbsp;Coordinate destination blocking from dial plans with Engineering for&nbsp;high-cost tariffs to minimize risk.&nbsp;Manage tariff break outs based on vendor updates and/or high demand destinations where more granular rating is&nbsp;required.&nbsp;Pricelist&nbsp;Templates&nbsp;Develop and&nbsp;maintain&nbsp;customer facing price list document format(s).&nbsp;Assign and manage stakeholders to ensure customer documents are appropriately populated and recorded.&nbsp;Work with internal and external development resources to move towards systemizing&nbsp;customer&nbsp;price lists.&nbsp;Rate Negotiation&nbsp;Own&nbsp;customer&nbsp;rate variation&nbsp;governance&nbsp;process,&nbsp;ensuring&nbsp;appropriate stakeholder&nbsp;contribution and approver engagement.&nbsp;Act as a&nbsp;key&nbsp;stakeholder in pro-active&nbsp;and re-active vendor rate negotiation.&nbsp;Communication&nbsp;Manage internal communication&nbsp;surrounding&nbsp;changing costs.&nbsp;Manage&nbsp;internal and external&nbsp;Product&nbsp;communication surrounding changes and additions to catalogue.&nbsp;Manage customer communication around&nbsp;pricing refreshes.&nbsp;Project Management&nbsp;Act as a key stakeholder&nbsp;for pricing components of&nbsp;product&nbsp;related projects.&nbsp;Manage&nbsp;plan and rate rationalization projects.&nbsp;Documentation &amp; Process Improvement&nbsp;Create and&nbsp;maintain&nbsp;documentation of pricing framework and process.&nbsp;Identify &amp; implement&nbsp;process improvement and automation&nbsp;to improve&nbsp;capability and&nbsp;efficiency.&nbsp;Qualifications&nbsp;and Experience5+ years’ experience in&nbsp;product or pricing management.Exceptional&nbsp;analytical skills and&nbsp;attention to detail.&nbsp;Exceptional communication&nbsp;and stakeholder management&nbsp;skills.&nbsp;Experience&nbsp;with data-driven&nbsp;decision making.&nbsp;Strong&nbsp;initiative to drive&nbsp;improvement and automation.&nbsp;Skilled&nbsp;with MS Office with advanced Excel.&nbsp;Desirable&nbsp;Telco industry experience.&nbsp;Experience with&nbsp;prefix-based&nbsp;telco pricing.&nbsp;Experience querying and manipulating data in a relational database.&nbsp;Certification in change management or project management.&nbsp;Working Environment&nbsp;Remote and&nbsp;Hybrid&nbsp;working&nbsp;arrangements available.&nbsp;Occasional evening&nbsp;work&nbsp;may be&nbsp;required.&nbsp;&nbsp;&nbsp;ADDITIONAL NOTES:&nbsp;WFHMondays to Fridays | Day shift 7am – 4PM&nbsp;&nbsp;",Sales,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Global Tender Management Analyst,Transnational Diversified Group,https://ph.jobstreet.com/job/82837413?type=standard&ref=search-standalone&origin=cardTitle#sol=53375a9c19120e87a8a725e363f6264cffcd38f1,"Company Name: ONE Manila Marketing and Commercial Center (OMMC)Location: 8912 Asean Ave. corner Pres. Diosdado Macapagal Blvd. Aseana City, Parañaque City, Metro ManilaPosition: Analyst, Global Tender ManagementWork Set-up: HybridQUALIFICATIONS:Candidate must possess at least a Bachelor's/College Degree from any reputable schools/universities, preferably in Marketing / Customs Administration or any Business course.Background in containerized cargo shipping industry is an advantageWilling to be trained abroad.Responsible and with good leadership, management and organizational skillsHighly skilled and efficient in using MS OfficeProblem solving, verbal/written communication skills.Ability to formulate strategies, conduct research and analyze market and locate new opportunitiesAbility to work with people at all levels; ability to work individually and as a part of a team.Ability to multitask, prioritize, have high level of accuracy and be detail oriented.Fresh graduates/Entry level applicants are encouraged to apply.DUTIES AND RESPONSIBILITIESAnalyze the receive bid request and identify the needed global requirements in preparation to the bid proposalIdentifies and help coordinate any issues or concerns related to the Tender being processed.Prepares all relevant working documents for release to Trade Pricing.Monitors and coordinate all concerns in handling tender management to/from Trade Pricing, Account Manager and other related parties to ensure that internal deadline and external deadline are met, and all required data is complete and accurate.Prepares the completed bid proposal and submit to Account Manager or customer portal as directed on or before the deadline.Monitor and respond to all incoming communications from Global Trades and Marketing Team, HKG counterpart and Account Manager.","Manufacturing, Transport & Logistics","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
DECLARANT,"SYNERGY AIR AND SEA WORLDWIDE LOGISTICS,INC.",https://ph.jobstreet.com/job/83084146?type=standard&ref=search-standalone&origin=cardTitle#sol=ca3612fb0ffc87c201d49c7b7b110782784a9868,"SYNERGY AIR AND SEA WORLDWIDE LOGISTICS INC.&nbsp;JOB QUALIFICATION &amp; REQUIREMENTS:Graduate of BS Customs Administration or any related field (preferably licensed but not required)At least 1year work experience in Brokerage Operation, Customs Declaration, Freight Forwarding, Supply Chain Management or Related Industry or FRESH GRADUATES are also welcome.Good knowledge of MS Office Applications; Computer literateKnowledgeable on Computation of duties and taxes, Encoding of entries, Classification of TariffsApplicants must be residing and willing to work in QUEZON CITYFull time position&nbsp;JOB DESCRIPTION:Accurate to declare goods classification with its duties and taxes, and other accrued charges for proper clearance and valuation of imported goodsMonitors customs clearance and customs processProvide constant updates to clients/agents regarding the status of shipments, establishing good customer service and relationship to clientsMust have knowledge on regulatory requirements and the customs process operationEnsures the accuracy of customs clearance documents and tax payments to avoid penaltiesCoordinates with various departments or teams in order to comply with import and export operationsAccurate in checking arrival status, accuracy on documents and checking computationsCritical in analyzing computations&nbsp;&nbsp;JOB ATTITUDE:Trust-worthy and honestDisciplined and hard-workingDependable and can work with minimum supervisionHas a positive attitudeTeam-player&nbsp;","Manufacturing, Transport & Logistics","Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Pricing Analyst,Transnational Diversified Group,https://ph.jobstreet.com/job/82838155?type=standard&ref=search-standalone&origin=cardTitle#sol=4a7ec136e48b57090cacf33204c2d8771ecbbd2a,"Company Name: ONE Manila Marketing and Commercial Center (OMMC)Location: 8912 Asean Ave. corner Pres. Diosdado Macapagal Blvd. Aseana City, Parañaque City, Metro ManilaPosition Title: Analyst, PricingWork Set-up: HybridQUALIFICATIONS:Candidate must possess at least a Bachelor's/College Degree from any reputable schools/universities, preferably in Marketing or any Business course.Background in containerized cargo shipping industry is an advantageWilling to be trained abroad.Responsible and with good leadership, management and organizational skillsHighly skilled and efficient in using MS OfficeProblem solving, verbal/written communication skills.Ability to formulate strategies, conduct research and analyze market and locate new opportunitiesAbility to work with people at all levels; ability to work individually and as a part of a team.Ability to multitask, prioritize, have high level of accuracy and be detail oriented.Fresh graduates/Entry level applicants are encouraged to apply.DUTIES AND RESPONSIBILITIESPrepare daily computations for all rate and freetime and customer’s special/specific inquiries.Dispatch timely response/instructions on all Liner activities.Coordinate with Local and Overseas Counterparts to determine prevailing Market Levels, Trend and ActivitiesReview, Internalize and Keep Track of all Pricing References and Tools which are updated periodically.Maintain files for all Pricing correspondences.Generation of Marketing and Statistical Reports",Accounting & Auditing,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
PH Commercial Analyst,"International Container Terminal Services, Inc. (ICTSI)",https://ph.jobstreet.com/job/82890635?type=standard&ref=search-standalone&origin=cardTitle#sol=be8483af96c7432bbf63ba1179c879a2ee677d38,"Role Description:&nbsp;Under general supervision of the PH Commercial Director, the PH Commercial Analyst is accountable for developing market research initiatives, analyzing results and creating presentations to facilitate the appreciation of the reports.Provide support for the PH Commercial team in the coordination of&nbsp;ICTSI’s Philippine Sub-region strategy – including the establishment of objectives, action plans and targets.&nbsp;Essential Functions:Assists the PH Commercial Team in the development of market research objectives to help the organization meet its strategic goals.Work with the PH Commercial Team to support day to day terminal engagements and customer acquisition and retention.  Supports the PH Commercial Director to prepare tariff and cost analyses and comparative studies/reports.Supports the PH Commercial Director to plan, prepare and present detailed background reports on proposed projects or competitive markets or possible business opportunities with risk analysis and evaluation.Acts as a liaison with ICTSI business units and corporate offices in their assistance in this area of market data and research.Gathers, analyzes and compares terminal or competitor data and pricing to that of the organization.Analyzes current research and statistical techniques, and determines those that best fit the needs of the overall commercial strategy.Required to interpret and analyze raw data, identify underlying trends and movements, develop possible scenarios, make judgements and recommendations to PH Commercial team and to PH Terminals.Maintains market intelligence database and uses computer tools to examine, analyze and compile statistical data.Maintains customer database, with customer and company profiles.Communication skills are essential, as the person will be expected to coordinate with the internal organization including ICTSI business units and corporate offices.Performs other assignments as may be required.&nbsp;2. Job Requirements and Competenciesa. Skills and Abilities:Ability to analyze and interpret relatively complex statistics and data in a logical manner.  Ability to present findings and recommendations to management via reports and presentations.  Requires good analytical skills, including the ability to extract, compile and analyze data.Requires exceptional time management and organizational skills, due to fast-moving, demanding work environment.Must have Excel spreadsheet proficiency.Must be able to prepare PowerPoint presentations.Must be able to exercise discretion and good judgment, with an ability to understand the effect of decisions overall in the company.Must be able to handle company information with confidentiality and discretion.Requires proficiency in various software applications and programs.Verbal and written English communication proficiency.&nbsp;b. Knowledge and Experience:Minimum college degree in business, information systems or related discipline.&nbsp;Fundamental understanding of aspects related to the Transport Industry and Port Operations, support functions and developed information systems.  Understanding of the various links with other functional areas.Strong communication skills with the ability to communicate across the organization.&nbsp;c. Working EnvironmentWill spend much of his time at a desk working on a computer, attending meetings and conference calls. However, may be required to visit operational areas on the terminals.High levels of concentration required where the workload will vary each day. The ability to go from one topic to another, especially when relating to ICTSI’s Philippine portfolio of terminals, and be conversant is essential.  Will be expected to react to unpredictable operational requirements of ad-hoc nature.",Management,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
