title,company,link,job_desc,job_func,location,job_type,source
Deal Advisory,Cobden &amp; Carter International,https://ph.jobstreet.com/job/83291705?type=standard&ref=search-standalone&origin=cardTitle#sol=b846e273686ea2ee1ebd7ad2f37c931749290274,"Deal Advisory&nbsp;&nbsp;One of the leading auditing firms is looking for a Deal Advisory.&nbsp;RESPONSIBILITIES&nbsp;Gain experience in Deal Advisory services within an independent public accounting firm.&nbsp;Support pre-engagement documentation, planning, and form updates.&nbsp;Assist with transactions by completing tasks, maintaining records, and preparing working papers.&nbsp;Conduct financial and industry analysis relevant to transactions.&nbsp;Use research tools to gather and interpret market data for advisory and proposal activities.&nbsp;Apply technical knowledge to analyze engagement documents and communicate findings.&nbsp;Understand transaction mechanics, valuation basis, and deal rationale to provide client insights.&nbsp;Interpret analysis results and suggest solutions based on deal implications.&nbsp;&nbsp;QUALIFICATIONS:&nbsp;&nbsp;Graduate of Bachelor of Science in Accountancy, Finance or the related&nbsp;&nbsp;Has at least 3-6 years of experience in Deal Advisory services reports, valuation, business planning, etc.&nbsp;&nbsp;Work Setup: Hybrid setup (working onsite if needed only)&nbsp;Location:&nbsp; Makati City&nbsp;&nbsp;By Applying, you give consent to collect, store, and/or process personal and/or sensitive information for the purpose of recruitment and employment may it be internal to Cobden &amp; Carter International and/or to its clients.",Banking & Financial Services,,,Jobstreet
Global Trade Staff,EY GLOBAL DELIVERY SERVICES (GDS) PHILIPPINES,https://ph.jobstreet.com/job/83232359?type=standard&ref=search-standalone&origin=cardTitle#sol=17caf03c6b8b6c6188552108256ef01793d2e28f,"EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. Our organization helps companies in business across all industries to identify and capitalize on business opportunities. As a leading professional service organization, EY is present in 140 countries worldwide and employs over 160,000 people. We offer our clients, which are small, medium-sized companies and international corporations, a broad array of services in audit, tax and advisory.&nbsp;Your key responsibilitiesAs a Tax Analyst / Advanced Tax Analyst in GDS Indirect Tax Center, you will be focused on preparation of projects/services in the domain of IDT Global Trade.&nbsp;&nbsp;Skills and attributes to successPreparing indirect tax returns and file (where applicable) these returns via the country specific filing tool - applicable to GDS only.Demonstrating an understating of basic Global Trade concepts and proactively increases knowledge through client assignments and current industry practices.Multitasking on various projects within the Global Trade segment and be cross trained.Proposing improvement possibilities to raise effectiveness and efficiency of the work processes.Developing and delivering quality and timely services and work products efficiently.Complying with Ernst &amp; Young compliance procedure.&nbsp;To qualify for the role, you must have:Graduate preferably in Commerce / Chemical Engineering/Engineering related courseStrong written and verbal communication skills in English.&nbsp;Ideally, you must have:Dynamic, innovative &amp; problem resolution focus with good communication skillsDemonstrate good computer knowledge - in MS Excel and a basic knowledge of other MS Office, Web-based applicationsBasic knowledge about functioning/usage of ERP-systemsIndividual showing great interest in working with multi-country clientsIndividual being capable of working IndependentlyTeam player - driving the team towards progression&nbsp;What we look forWe are looking for highly motivated individuals with the ability to work in a collaborative environment to provide exceptional client service across global sites. You’ll be a confident team player developing strong people management skills and picking up new skills which will help you solve complex problems. If you’re ready to take on a wide range of responsibilities and are committed to seeking out new ways to make a difference, this role is for you.&nbsp;What working at EY offersSupport, coaching and feedback from some of the most engaging colleagues aroundOpportunities to develop new skills and progress your careerThe freedom and flexibility to handle your role in a way that’s right for you&nbsp;About EYAs a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2023 a reality.&nbsp;If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.&nbsp;Make your mark.&nbsp;Apply now.&nbsp;","Manufacturing, Transport & Logistics",,,Jobstreet
Customer Care Coordinator | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/251867/customer-care-coordinator-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits:	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits:	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Knowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applications;	Preferably has 1-2 years experience in customer service or related positions;	Open to shifting schedules and night shift schedule;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Patient Care Coordinator | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/246898/patient-care-coordinator-makati-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Patient Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Patient Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Knowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applications;	Preferably has 1-2 years experience in customer service or related positions;	Open to shifting schedules and night shift schedule;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
Supply Chain Analyst,TE Connectivity,https://ph.jobstreet.com/job/83071436?type=standard&ref=search-standalone&origin=cardTitle#sol=ed2c31aa83b71e1dc1bf74689076ba6ebcf43892,"Responsibilities:Develop and implement central planning capabilities that will deliver critical resultsMap, design and improve supply chain planning process flows, planning activities and digitization initiativesPerform analysis on critical reports and make recommendation on desired outcomeDevelop and maintain templates for various supply chain processes and documentationUtilize programming skills to come up with automated processes to improve daily planning activitiesCollaborate with cross-functional teams to gather information and support project initiativesWhat your background should look like:You must be a fresh graduate with an MBA degree or Master’s in supply chain management or a related field.Excellent academic credentials and leadership qualitiesAligned with the TE’s core values - Integrity, Accountability, Teamwork, and Innovation,Fast learner and numerate with a strong attention to detail.Must be dynamic, flexible, and able to work in a fast-paced environment.Excellent communication skills in English (written/spoken)Mobility – Geographical flexibility preferred.","Manufacturing, Transport & Logistics","Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Trader and Market Analyst,"Manila Water Company, Inc.",https://ph.jobstreet.com/job/82645060?type=standard&ref=search-standalone&origin=cardTitle#sol=68e52234b2c715067ddcd59dacb6dff1e1afe471,"About the roleWe are seeking a talented Trader and Market Analyst to join our dynamic team at Manila Water Company, Inc. In this full-time position, you will play a pivotal role in our operations, leveraging your expertise in market research and analysis to drive strategic decision-making and support the company's growth within the Quezon City Metro Manila region.What you'll be doingManages the trading process on all kinds of financial products including money market, securities, and derivates and deals with financial institutions’ traders on behalf of the company&nbsp;Acts as corporate resource person to subsidiaries on placements and sourcing of foreign exchange&nbsp;Identifies, monitors, and manages financial risk exposures arising from money market transactions&nbsp;Monitors and ensures that counterparty limits are observed at all times and that periodic review is carried outSources and trades foreign exchange for the disbursement requirements of the parent company and deal with counterparties’ FX traders&nbsp;Manages the trading and settlement of offshore FX transactions of Manila Water Asia Pacific and its subsidiaries/affiliates with foreign banks involving regional or third currencies&nbsp;Reviews foreign exchange and financial market/banking regulations onshore and onshore and act as resource person for topics relating to suchCreates monthly cash flow projections by coordinating with various groups inside the organization (Financial Planning, Accounting, Strategic Asset Management, etc.) to ensure sufficient and timely funding requirementsProvides the department with relevant macroeconomic views/analyses and foreign exchange projections as may be used for various business initiatives and treasury strategy formulation&nbsp;Prepares daily treasury reports on economic and financial market developments&nbsp;Creates regular reports on done deals and monitors done deals versus targetsWhat we're looking forDegree in Finance, Economics, Business Analytics, or a related fieldMinimum of 3 to 5 years of experience in a similar market research or trading analyst roleCertified Treasury Professional is a plusStrong analytical and problem-solving skills with the ability to interpret complex data and translate it into actionable insightsProficient in SAP Treasury Module, Bloomberg, Reuters and other date terminals&nbsp;Familiarity with bank policies, regulations, and procedures&nbsp;Excellent communication and presentation skills, with the ability to effectively convey complex information to both technical and non-technical stakeholders&nbsp;Manila Water and its subsidiaries DO NOT charge fees in exchange for employment. You may verify Manila Water job openings at careers@manilawater.com.Be vigilant. Be informed.",Marketing,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Grade School Teacher,Ateneo de Manila University,https://www.kalibrr.com/c/ateneo-de-manila-university-1/jobs/149613/grade-school-teacher,"The Ateneo de Manila Grade School Teacher is the primary formator in the classroom. As a model of the Jesuit principle of cura personalis alumnorum (personal care and concern for the student), s/he is greatly responsible for the development and wholistic formation of the students.The Ateneo de Manila Grade School Teacher is the primary formator in the classroom. As a model of the Jesuit principle of cura personalis alumnorum (personal care and concern for the student), s/he is greatly responsible for the development and wholistic formation of the students.	Candidates must have at least a Bachelor’s/College Degree, Professional License   (PassedBoard/Professional Licensure Examination) in Education/Teaching/Training or equivalent	At least one (1) year of working experience in the related field is required	With excellent communication and interpersonal skillsHire NowSign UpLogin",Education,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr
PH Commercial Analyst,"International Container Terminal Services, Inc. (ICTSI)",https://ph.jobstreet.com/job/82890635?type=standard&ref=search-standalone&origin=cardTitle#sol=be8483af96c7432bbf63ba1179c879a2ee677d38,"Role Description:&nbsp;Under general supervision of the PH Commercial Director, the PH Commercial Analyst is accountable for developing market research initiatives, analyzing results and creating presentations to facilitate the appreciation of the reports.Provide support for the PH Commercial team in the coordination of&nbsp;ICTSI’s Philippine Sub-region strategy – including the establishment of objectives, action plans and targets.&nbsp;Essential Functions:Assists the PH Commercial Team in the development of market research objectives to help the organization meet its strategic goals.Work with the PH Commercial Team to support day to day terminal engagements and customer acquisition and retention.  Supports the PH Commercial Director to prepare tariff and cost analyses and comparative studies/reports.Supports the PH Commercial Director to plan, prepare and present detailed background reports on proposed projects or competitive markets or possible business opportunities with risk analysis and evaluation.Acts as a liaison with ICTSI business units and corporate offices in their assistance in this area of market data and research.Gathers, analyzes and compares terminal or competitor data and pricing to that of the organization.Analyzes current research and statistical techniques, and determines those that best fit the needs of the overall commercial strategy.Required to interpret and analyze raw data, identify underlying trends and movements, develop possible scenarios, make judgements and recommendations to PH Commercial team and to PH Terminals.Maintains market intelligence database and uses computer tools to examine, analyze and compile statistical data.Maintains customer database, with customer and company profiles.Communication skills are essential, as the person will be expected to coordinate with the internal organization including ICTSI business units and corporate offices.Performs other assignments as may be required.&nbsp;2. Job Requirements and Competenciesa. Skills and Abilities:Ability to analyze and interpret relatively complex statistics and data in a logical manner.  Ability to present findings and recommendations to management via reports and presentations.  Requires good analytical skills, including the ability to extract, compile and analyze data.Requires exceptional time management and organizational skills, due to fast-moving, demanding work environment.Must have Excel spreadsheet proficiency.Must be able to prepare PowerPoint presentations.Must be able to exercise discretion and good judgment, with an ability to understand the effect of decisions overall in the company.Must be able to handle company information with confidentiality and discretion.Requires proficiency in various software applications and programs.Verbal and written English communication proficiency.&nbsp;b. Knowledge and Experience:Minimum college degree in business, information systems or related discipline.&nbsp;Fundamental understanding of aspects related to the Transport Industry and Port Operations, support functions and developed information systems.  Understanding of the various links with other functional areas.Strong communication skills with the ability to communicate across the organization.&nbsp;c. Working EnvironmentWill spend much of his time at a desk working on a computer, attending meetings and conference calls. However, may be required to visit operational areas on the terminals.High levels of concentration required where the workload will vary each day. The ability to go from one topic to another, especially when relating to ICTSI’s Philippine portfolio of terminals, and be conversant is essential.  Will be expected to react to unpredictable operational requirements of ad-hoc nature.",Management,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Operations Specialist Manila,Security Bank,https://www.kalibrr.com/c/security-bank/jobs/243604/operations-specialist-manila,"The Operation Specialist will act as universal operations support of branches within the area to support payroll-related activities.You will also be a secondary to payroll support, acts as manpower pool in filling in temporary vacancies in branches specifically CA or Tellering functions. About Security BankSecurity Bank is one of the Philippines’ best capitalized private domestic universal banks. Established in 1951 and publicly listed with the Philippine Stock Exchange (PSE:SECB) in 1995, our major businesses cover retail, corporate, commercial, and business (MSME) banking. We’re recognized as an Employer of Choice in Philippine banking by various award-giving bodies for our values-based culture, industry-leading engagement and benefits, and commitment to work-life balance.Most recently, we ranked as the #2 best employer in the Philippines and #54 globally on the prestigious Forbes’ World’s Best Employers 2023 list.At Security Bank, our approach to Human Capital Management (HCM) is embodied by our Employee Value Proposition (EVP): “YOU matter.”Start your BetterBanking career with us today.The Operation Specialist will act as universal operations support of branches within the area to support payroll-related activities.You will also be a secondary to payroll support, acts as manpower pool in filling in temporary vacancies in branches specifically CA or Tellering functions. About Security BankSecurity Bank is one of the Philippines’ best capitalized private domestic universal banks. Established in 1951 and publicly listed with the Philippine Stock Exchange (PSE:SECB) in 1995, our major businesses cover retail, corporate, commercial, and business (MSME) banking. We’re recognized as an Employer of Choice in Philippine banking by various award-giving bodies for our values-based culture, industry-leading engagement and benefits, and commitment to work-life balance.Most recently, we ranked as the #2 best employer in the Philippines and #54 globally on the prestigious Forbes’ World’s Best Employers 2023 list.At Security Bank, our approach to Human Capital Management (HCM) is embodied by our Employee Value Proposition (EVP): “YOU matter.”Start your BetterBanking career with us today.What we’re looking for:	Graduate of a Bachelor’s Degree	Should possess good customer orientation	Ensures interactions with customers and team members are always polite and positive	Actively seeks new ways of working to improve efficiency and productivity	Willing to do fieldworks within the assigned area.What we’re looking for:	Graduate of a Bachelor’s Degree	Should possess good customer orientation	Ensures interactions with customers and team members are always polite and positive	Actively seeks new ways of working to improve efficiency and productivity	Willing to do fieldworks within the assigned area.Hire NowSign UpLogin",Customer Service,"Manila City, National Capital Region (NCR)",Full-time,Kalibrr
Records Staff for Document Processing,Ateneo de Manila University,https://www.kalibrr.com/c/ateneo-de-manila-university-1/jobs/172908/records-staff-for-document-processing,"Summary of Work Activities and Responsibilities:Under the supervision of the Assistant Registrar thru the Section Head for Document and Liaison Services, the Records Staff for Document Processing (OS-03) assists in the efficient and accurate processing of records and documents (transcripts, certification, etc) which attest to the academic performance of the student.Main Duties and Responsibilities	Frontline Support for Records Transactions			Attends to personal inquiries, requests for documents, verification of records for various types of documents such as Transcript of Records, Certifications, Diploma, etc. at the counter.		Serves as frontliner maintaining a general knowledge of the functions of other sections of the Registrar’s Office.		Logs requests received from students made over the counter or via email, and monitors online payments for document requests on a daily basis.			Documents Processing Support			Assists in processing, checking, releasing of documents requests for both undergraduate and graduate students in timely manner.		Checks completeness of data indicated of the forms received (i.e., load revision forms, leave of absence forms, clearance, cross-registration forms, validation/transfer of credits, information sheets, reinstatement/extension forms, overloading forms, etc) and releases it to concerned parties.		Distributes Transcripts of Records, verification forms/letters through the official courier:			Prepares and monitors documents to be mailed and coordinates with the official courier to schedule daily pick-up of documents and payment of mailing fees	Receives, collates and forwards registration related documents to the Records Officers (e.g. requests for reinstatement /extension, LOA, etc.).			Receives, checks, and logs complete admission documents of new students received from the Office of the Associate Dean for Graduate Programs. Lists and updates the Records Officer in charge for incomplete documents.		Coordinates with the Document Officers and Section Head for all mailing requests and ensures that all documents are mailed via courier accurately and on time.		Assists in sending out requests for verification of academic records in coordination with the Records and Document Officers.		Coordinates with Documents and Records personnel in determining students’ eligibility for issuance of official documents (Transcript of records, diploma, Transfer Credentials and certifications) by checking their clearance, hold orders from different departments, and other similar pre-requisite records		Provides input in developing an effective and systematic process for receiving, preparing, and retrieving scholastic documents and files in line with office standards of relevance, efficiency, and service		Ensures proper turnover of files to document preservation section		Assists the Liaison Officer (LO) in handling requests for Certification, Authentication, and Verification (CAV) by preparing documents such as transcripts of records, diplomas and certifications to be transmitted to the Commission on Higher Education (CHED) and Department of Foreign Affairs (DFA)		III. Performs other reasonable work-related tasks that may be assigned by the Immediate Supervisor and authorized representatives.Summary of Work Activities and Responsibilities:Under the supervision of the Assistant Registrar thru the Section Head for Document and Liaison Services, the Records Staff for Document Processing (OS-03) assists in the efficient and accurate processing of records and documents (transcripts, certification, etc) which attest to the academic performance of the student.Main Duties and Responsibilities	Frontline Support for Records Transactions			Attends to personal inquiries, requests for documents, verification of records for various types of documents such as Transcript of Records, Certifications, Diploma, etc. at the counter.		Serves as frontliner maintaining a general knowledge of the functions of other sections of the Registrar’s Office.		Logs requests received from students made over the counter or via email, and monitors online payments for document requests on a daily basis.			Documents Processing Support			Assists in processing, checking, releasing of documents requests for both undergraduate and graduate students in timely manner.		Checks completeness of data indicated of the forms received (i.e., load revision forms, leave of absence forms, clearance, cross-registration forms, validation/transfer of credits, information sheets, reinstatement/extension forms, overloading forms, etc) and releases it to concerned parties.		Distributes Transcripts of Records, verification forms/letters through the official courier:			Prepares and monitors documents to be mailed and coordinates with the official courier to schedule daily pick-up of documents and payment of mailing fees	Receives, collates and forwards registration related documents to the Records Officers (e.g. requests for reinstatement /extension, LOA, etc.).			Receives, checks, and logs complete admission documents of new students received from the Office of the Associate Dean for Graduate Programs. Lists and updates the Records Officer in charge for incomplete documents.		Coordinates with the Document Officers and Section Head for all mailing requests and ensures that all documents are mailed via courier accurately and on time.		Assists in sending out requests for verification of academic records in coordination with the Records and Document Officers.		Coordinates with Documents and Records personnel in determining students’ eligibility for issuance of official documents (Transcript of records, diploma, Transfer Credentials and certifications) by checking their clearance, hold orders from different departments, and other similar pre-requisite records		Provides input in developing an effective and systematic process for receiving, preparing, and retrieving scholastic documents and files in line with office standards of relevance, efficiency, and service		Ensures proper turnover of files to document preservation section		Assists the Liaison Officer (LO) in handling requests for Certification, Authentication, and Verification (CAV) by preparing documents such as transcripts of records, diplomas and certifications to be transmitted to the Commission on Higher Education (CHED) and Department of Foreign Affairs (DFA)		III. Performs other reasonable work-related tasks that may be assigned by the Immediate Supervisor and authorized representatives.	Bachelor’s Degree	Experience in the academe setting is an advantage.	Good verbal and written skills, proficient in English	Proficient in MS Office applications	Attention to details	Team player and flexible	Can work with minimum supervisionHire NowSign UpLogin",Education,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr
