title,company,link,job_desc,job_func,location,job_type,source
QCQA Staff,Eunice Inc.,https://ph.jobstreet.com/job/83170627?type=standard&ref=search-standalone&origin=cardTitle#sol=48e868d6d74375fcaf816c0ca504ccdc776632a8,"Job ResponsibilitiesReports and documents non-conformity found regarding any materialMonitors the condition of the production regularlyConducts thorough line inspection (in-process) especially in filling, labeling, coding and packing.Checking the results to see if they met the requirements specified in the BMR.Plan, administer, and enforce quality control policies and programs.Job QualificationsCandidate must possess at least Bachelor's/College Degree in Chemical Engineering, Chemistry, Pharmacy or equivalent.Preferably 1-2 Years of experience specialized in Quality Control/Assurance in Manufacturing.Professional License is an advantage but not required.Newly Graduates are welcome to apply.Has an above average communication skills (verbal and written)Can easily adapt to working environment.With Good people management skills.Willing to work in a Manufacturing/Production Set upFixed schedule, willing to work from Mondays to Saturdays.Willing to work in Holy Spirit, Diliman, Quezon City.","Manufacturing, Transport & Logistics",,,Jobstreet
PHARMACIST,DreamGencon Inc,https://ph.jobstreet.com/job/83177611?type=standard&ref=search-standalone&origin=cardTitle#sol=cac3c9bf2da1c1970a5f6002eac4ac067d3508cc,"Licensed PharmacistWith or without experienceHave the passion to lead and motivate teamStrong intention to detailPossess good interpersonal and communication skillsLocation: Parañaque City, Mandaluyong City, IloIlo City",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Pharmacist and Purchasing Assistant (Fresh graduates are welcome to apply),Shinagawa LASIK &amp; Aesthetics Center Corp.,https://ph.jobstreet.com/job/82949139?type=standard&ref=search-standalone&origin=cardTitle#sol=128322ae394e2af5b1843fa5b94f31bae3ffd608,"JOB QUALIFICATIONS:Candidate must have completed a Bachelor of Science in Pharmacy (BS Pharmacy) and possess a Professional License (Passed Board/Bar/Professional License Exam) in Pharmacy/Pharmacology.Fresh graduates and new passers of the Philippine Pharmacists Licensure Examination (PPLE) are highly acceptable.Ability to handle customer inquiries and provide counseling.Strong organizational and time management skills.Ability to work Monday to Sunday, but only 5 days a week with 2 days off.Must be able to report to the office in Ortigas, Pasig and BGC, Taguig.JOB RESPONSIBILITIES:Attends patient queries regarding available medications in the clinicPrepares and dispenses medications by reviewing and interpreting physician orders and detecting therapeutic incompatibilities.Complies with drug laws as regulated by the state board of pharmacy, the drug enforcement administration, and the food and drug administration by monitoring all clinic activities related to drugs.Maintains and update inventory through monitoring of count, expiration date and purchasing.Responsible in compliance and inventory of the drugs released by the companyProvide assistance with the Regulatory &amp; Compliance Manager in obtaining and renewal of licenses and permits for selling drugsReceive request from the different department on the needed materials/items for procurementSource for suppliers with best quality and affordable price.Prepares Purchase Order (PO), verifying specifications and priceChecking of items delivered versus PO, verify receipts and properly endorsed to the InventoryOther tasks that the management may assignment from time to time related to the position",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Regulatory Pharmacist,"Rudolf Lietz, Inc.",https://ph.jobstreet.com/job/83250027?type=standard&ref=search-standalone&origin=cardTitle#sol=0b2bd46329fe84930c78f5edb389533bc5d2ff5d,"Pharmacist has multiple functions. For regulatory work, he/she is responsible for the renewal of licenses and compliance with government requirements from the FDA, PDEA, DDB and BAI depending on which of these are assigned to the individual. A Pharmacist is also responsible for regulating incoming shipments and outgoing deliveries intended for the Pharma Group. Maintenance of the sample cabinet and writing content for relevant company brochures is also a must.To contribute to sales, a Pharmacist is responsible for providing technical support to sales colleagues in their product development projects with clients.Experienced pharmacist will actively promote technically intensive products and create product approvals through direct communication with clients.QualificationsMust be a graduate of BS Pharmacy/PharmacologyMust be Licensed PharmacistMust have a minimum of 1 to 2 years of experience in areas of QA/QC and/or regulatory in the pharmaceutical manufacturing/trading/distribution industryKnowledge and/or experience in FDA, BAI, PDEA procedures highly desirableKnowledge in ISO QMS and/or Halal an advantageAbove-average communication skills in English and Tagalog and can compose legal and business correspondence.Pleasant disposition, firm personality, aggressive yet mild-mannered, with natural ability to project the required corporate and professional image personally and through the telephone.Able to interrelate and maintain good working relationship with all departments in a corporate environment.Computer literate in Windows environment and other commonly used office software.Meticulous, energetic, systematic, self-driven, able to work with minimum supervision; ability to report to superiors without prodding.Cheerful disposition; does not wilt under pressure in our fast-paced trading environment which requires speed and getting things done promptly attitude – no tendency to procrastinate.Capability/potential for acquiring higher responsibilitiesPerks and BenefitsPaid HolidaysPaid Vacation LeavePaid Sick LeavePaid Bereavement LeaveRetirement Benefit PlansLife InsuranceHMOFree Shuttle ServiceLongevity Bonus every 5 years or increasing levelPerfect Attendance BonusCalamity AssistanceFuneral AssistanceMedicine BenefitDe Minimis BenefitsPerformance Evaluation / yearJob Types: Full-time, PermanentSalary: Php25,000.00 - Php30,000.00 per monthBenefits:&nbsp;Company Christmas giftCompany eventsEmployee discountFree parkingHealth insuranceOn-site parkingOpportunities for promotionPaid trainingPay raisePromotion to permanent employeeTransportation service provided&nbsp;Supplemental pay types:&nbsp;13th month salaryOvertime payPerformance bonusYearly bonus",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Licensed Pharmacist (Citta Italia),AllValue Holdings Corp.,https://ph.jobstreet.com/job/82767112?type=standard&ref=search-standalone&origin=cardTitle#sol=028acd112ef02f757846ac6e4d4a9f2b6691020e,"Job descriptionA Registered Pharmacist is responsible to everyday functions of the store including customer related tasks, reading prescriptions, and especially inventory management. As a Store Pharmacist, you must attend to the customer's needs based on the prescription given by their physicians. Adhering to legal rules, regulations, and procedures are the responsibilities that needs to be take note of. Ensuring effective medication is the goal of pharmacist and to become a trustworthy ally in the society.RESPONSIBILITIESManage daily store operations efficiently by providing Good Leadership and Motivation to the team.Dispense right medications based on the prescription/s given by the physician/doctor.Provide Excellent Customer Service by counseling customers through interpreting/reviewing prescription/s.Maintain clean and safe working environment by ensuring accurate inventory management.Perform other related tasks from time to time.QUALIFICATIONSPharmacy graduate with License.NEWLY LICENSED PHARMACISTS ARE WELCOME TO APPLY!Preferably with/without experience in Opening Stores.Willing to be assigned in AllDay Rx Citta Italia Imus.Full-Time Position(s) available.Job Type: Full-time",Healthcare,"Cavite City, CALABARZON (Region IV-A)",Full-time,Jobstreet
URGENT: Company Pharmacist,"Folares Pharmaceuticals, Inc.",https://ph.jobstreet.com/job/82783640?type=standard&ref=search-standalone&origin=cardTitle#sol=669275889443e840951b7cfac66152b4fd971237,"&nbsp;Regulatory officer for FDA affairs; facilitates renewal of licenses (LTO) and other regulatory licenses, facilitates timely registration of products at FDA, preparation of product requirements from FDA registrationProvide the company with technical expertise necessary for the improvement of Management functions in areas of: Product Management, Product Development, and TrainingDemonstrates skills and knowledge in contemporary pharmacy practicePotential to handle Product management position in three (3) years&nbsp;REQUIREMENTSCandidate must possess at least a Bachelor's degree in Pharmacy with professional licenseMeticulous systematic, well-organized, and has strong leadership qualitiesFresh graduates are welcome to apply&nbsp;Competitive salary and benefit package offered to qualified candidates.HMO and Life InsurancePerformance Bonus and IncentivesAnnual Merit IncreaseOpportunities for career growth&nbsp;Interested applicants must have the following requirements:1. One (1) copy of updated resume&nbsp;2. One (1) photocopy of Transcript of Records3. Application letter/Cover Letter (addressed to MR. RUDY VERANO -CEO)&nbsp;FOLARES PHARMACEUTICALS, INC.2nd Floor SEDCCO 1 Bldg., 120 Rada St., Legaspi Village Makati City",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Regulatory Affairs Pharmacist,Despina Pharma Inc,https://ph.jobstreet.com/job/82824024?type=standard&ref=search-standalone&origin=cardTitle#sol=f0307f680cf70a78963446b001d3673dff7d9189,"Job DescriptionWith at least 1 - 2 year experienced.&nbsp;Should be familiar with all aspects of the Products registration/renewal for Generic Pharma/ food supplements/ Nutraceuticals /Cosmetic and medical devices.Capability to work with regulatory agencies / as well as suppliers/principals' regulatory departments and willingness to travel outside the country.Proficiency in compiling regulatory submission dossiers according to local Philippines FDA regulations.Proficiency in handling labeling requirements.Proficiency in creating/reviewing packaging layouts in line with existing standards set by FDAShould know the regulatory guidelines to be followed prior to and upon the importation of highly regulated ProductsBuilds and maintains good relations with internal and external stakeholders.Support Regulatory Affairs team for all GXP-related issues including audits.Know and understand relevant regulatory rules, guidelines, and procedures within relevant therapeutic areas and devices.Perform activities for getting new registrations and maintaining registrations as per business goals.Qualifications:Bachelor’s degree in a relevant field (Pharmacy, Life Sciences, or related discipline).Excellent written and verbal communication skills.Ability to manage multiple priorities and meet deadlines.Attention to detail and strong analytical skills.Benefits:Competitive salary and benefits package.Opportunity for professional growth and development.Collaborative and dynamic work environment.&nbsp;",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
"Regulatory Affairs Pharmacist (Cosmetics, Perfumery, and Toiletries)",RUSTAN COMMERCIAL CORPORATION,https://ph.jobstreet.com/job/82858974?type=standard&ref=search-standalone&origin=cardTitle#sol=291d737fe5737306f2f6827bf003d0360219eae1,"The Regulatory Pharmacist assists the Division Merchandise Manager (DMM) and Merchandise Managers (MMs) in managing the brands in terms of ensuring that quality standards are met and products are compliant with Food and Drug Administration (FDA) regulations. The Regulatory Pharmacist shall complete the QPIRA (Qualified Persons in Industry Regulatory Affairs) training-accreditation to be able to transact business with the FDA. Upon completion of said training-accreditation, the Regulatory Pharmacist shall negotiate with regulatory authorities and ensure the correct and complete submission of applications and dossiers.EducationCollege degree preferably in Pharmacy or equivalent; Licensed Pharmacist&nbsp;ExperienceAt least 5 years as a Pharmacist and/or relevant experience in quality assurance and audit&nbsp;Skills &amp; KnowledgeGood computer skills, including advanced Microsoft Excel skills and word processing applicationsExcellent knowledge of applicable legal requirementsGood communication skills&nbsp;Good negotiation skillsWell-organized and detail-orientedAble to make timely decisions and anticipate problemsAction-orientedAnalyticAble to deal with ambiguity and adapts well to changeDemonstrates competence and professionalismHas good interpersonal skills, assertive and energetic",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet
Regulatory Pharmacist,Lifestrong Marketing Inc.,https://ph.jobstreet.com/job/82896871?type=standard&ref=search-standalone&origin=cardTitle#sol=e73328b0ae04d90fb30c092928d731a8fbc7c503,"Job DescriptionPrepare and check submissions of License to Operate, Cosmetic Notifications, CPRs, and other related regulatory correspondence with FDA.Check product labels conforming to ACD Standards.Ensure that all FDA license, certificates, and permits are updated and valid.Coordinate with manufacturers for Product Information File for filing based on ASEAN Cosmetic Directive.Develop and maintain a schedule of periodic updates for all regulatory submissions.Ensure updates are filed within timelines.Compile and maintain complete technical data of each product.Conduct Suppliers and Toll Manufacturing audits as needed.Update related departments on latest regulatory requirements.Conduct product tests for all finished goods distributed and imported by the company.Coordinate and monitor the destruction and disposal of rejected, damaged, or expired finished product and components.Perform other related duties as required by FDA and other tasks assigned as needed.Minimum QualificationsMust be a Registered Pharmacist.At least one (1) year work related experience in the regulatory field.Computer literate.Good communication skills.Can work independently.",Healthcare,"Caloocan City, National Capital Region (NCR)",Full-time,Jobstreet
Pharmacist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/236301/pharmacist-makati-2,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Pharmacist ensures positive patient experiences by actively engaging with patients, accommodating their concerns and needs, and promoting the best pharmacy practices. They play a crucial role in communicating with patients and addressing their health concerns effectively.Key Responsibilities	Advise patients regarding their medications, potential side effects, and drug interactions	Assist patients with medication management and provide education on proper medication usage and storage	Engage with patients in a professional and timely manner through various communication channels	Assess and report potential patient safety events through the relevant channels	Validate prescriptions based on local regulatory requirements	Maintain patient records and complete documentation	Manage and provide guidance to junior pharmacists and pharmacy assistants to ensure that they are properly trained and equipped with the knowledge and skills	Collaborate with healthcare professionals to ensure patient safety and optimal health outcomes	Ensure compliance to internal and external regulations for quality assurance as well as adherence to MedGrocer's Quality System through SOPsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Pharmacist ensures positive patient experiences by actively engaging with patients, accommodating their concerns and needs, and promoting the best pharmacy practices. They play a crucial role in communicating with patients and addressing their health concerns effectively.Key Responsibilities	Advise patients regarding their medications, potential side effects, and drug interactions	Assist patients with medication management and provide education on proper medication usage and storage	Engage with patients in a professional and timely manner through various communication channels	Assess and report potential patient safety events through the relevant channels	Validate prescriptions based on local regulatory requirements	Maintain patient records and complete documentation	Manage and provide guidance to junior pharmacists and pharmacy assistants to ensure that they are properly trained and equipped with the knowledge and skills	Collaborate with healthcare professionals to ensure patient safety and optimal health outcomes	Ensure compliance to internal and external regulations for quality assurance as well as adherence to MedGrocer's Quality System through SOPsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay		Must be a licensed pharmacist;			Preferably has a background in the healthcare industry;			Knowledge in Google Workspace applications;			Open to fresh graduates and experienced professionals;			Must work onsite in Makati	Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
