title,company,link,job_desc,job_func,location,job_type,source,selected
Medical Representative: (1) ILOCOS,Troikaa Pharmaceuticals Philippines Inc.,https://ph.jobstreet.com/job/82745311?type=standard&ref=search-standalone&origin=cardTitle#sol=16dad2733a7b56663a0059b361e1c8cede13a893,"Job Responsibilities:Visits and details regularly to doctors, pharmacists &amp; paramedics.Conduct promotional activities such as Continuing Medical Education Activities.Monitors sales, product movements and inventory levels at the hospitals and pharmacies.Identifies competitive information and conducts competitor benchmarkingAccount management.Coordinates with distributors to ensure availability of products in all outlets (drugstore and hospitals).Prepares and submits required operational reports.Adheres to company values, procedures and policies on expense report, call reporting, etc. at all times.Ensure company policies and procedures are adhered at all times.Qualifications:Graduate of any four year course.With at least 1-2 years of Pharma experience.With PRC license is advantageRequired Skill(s): Fast learner, Good communication, Flexible, Driven and Results oriented.Preferably living in that vacant area.&nbsp;&nbsp;",Healthcare,Ilocos Region (Region I),Full-time,Jobstreet,
Medical Benefits - Pharmacist/ Nurse,dnata Travel Group,https://ph.linkedin.com/jobs/view/medical-benefits-pharmacist-nurse-at-dnata-travel-group-4173414390?position=1&pageNum=0&refId=a087GFaChO9uC6rv90JtUw%3D%3D&trackingId=CjvchQK1udPWnBDbb7UEow%3D%3D,"dnata is the largest travel management organisation in the Middle East, with over 50 years of experience in the industry. Over the years, we have established successful partnerships with a range of first-class service providers, in order to offer you the best travel products in the world. Our Services range from Retail, Business, and Airline General Sales Agent Services and Destination Management.Job Title: Medical Claims ProcessorJob Purpose:To review, adjudicate and process medical e-claims received from external medical service providers according to business requirements and agreed SLA’s.Minimum requirements:Applicants must be willing to work and relocate to Clark, Pampanga.Applicants must be a Filipino citizen or have a relevant residence status.With Bachelors in Nursing or other allied health courses as defined by the business.Min 2 years post qualification in a relevant clinical role or medical insurance processing, approvals or customer support decision making roleKey Responsibilities and AccountabilitiesThe job holder’s primary task will be to process e-claims received from external medical service providers. This involves:Accurate claims adjudication as per policy terms and conditions.Accurate claims adjudication as per agreed business SOP and within agreed SLA’s.Review and evaluation of medical costs and service line items.Review and evaluation of medical codes, supporting documents and observations todetermine medical appropriateness.Correct escalation of claims as per agreed SOP.Batch reconciliation and closing.The job holder will also be responsible for supporting the team leader with the following tasks, as required:Consolidating claims findings for feedback to EGHQ.Claims reporting and utilisation trend analysis.Adherence to agreed SOP and claims SLA’s.New joiner support and buddy training.",Customer Service,Other,Full-time,Linkedin,
Senior Psychologist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/250746/senior-psychologist-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Senior Psychologist oversees and enhances program operations aimed at improving clients' mental health and overall wellness.Key Responsibilities	Develops comprehensive training and professional development initiatives for the Mental Health team	Conducts regular individual and group clinical supervision for early career psychologists	Provides clinical expertise and guidance in the development and implementation of Mental Health programs	Monitors program effectiveness and recommends improvements for existing protocols	Updates best practices using latest advancements in clinical psychology research to continuously improve service quality and deliveryPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Senior Psychologist oversees and enhances program operations aimed at improving clients' mental health and overall wellness.Key Responsibilities	Develops comprehensive training and professional development initiatives for the Mental Health team	Conducts regular individual and group clinical supervision for early career psychologists	Provides clinical expertise and guidance in the development and implementation of Mental Health programs	Monitors program effectiveness and recommends improvements for existing protocols	Updates best practices using latest advancements in clinical psychology research to continuously improve service quality and deliveryPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Completed a Master’s degree in Counseling or Clinical Psychology;	Must be a Registered Psychologist;	Strong desire to teach and supervise early career psychologists ;	At least five years of psychological practice experience, including 2 years in a supervisory role  Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Staff Pharmacist,UERM Memorial Medical Center,https://ph.jobstreet.com/job/83124372?type=standard&ref=search-standalone&origin=cardTitle#sol=b468c1ce7c8089b54211ed3130a7c41d0f65d710,"JOB DESCRIPTION:Accommodates patients’ inquiries regarding the services, rates and other related queries.Review prescriptions for appropriateness of therapy and check for therapeutic incompatibilities.Process prescriptions and dispense medications accurately.Compounds preparation not available commercially.Performs proper monitoring of drugs in the dispensing area.Files prescription and maintain for the require numbers of years as prescribed by law.Maintain records for controlled substances or regulated drugs as required by the Philippine government.Ensures that the Center’s policies and procedures are followed.Ensures confidentiality and security of data, compliant with the requirements of the patient privacy or confidentiality act.Performs other duties and responsibilities assigned by the Department Head.JOB QUALIFICATIONS:Bachelor’s Degree in Pharmacy, board passerWith or without experienceWorking Hours: Shifting schedule, 6:00 am – 2:00 pm, 2:00 pm – 10:00 pm, 10:00 pm – 6:00 amFull-Time positions availableCan start ASAP",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Teleconsult Psychologist,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/244211/teleconsult-psychologist-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year. Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Teleconsult Psychologist directly supports the mental health needs of clients through individual and group consultations and coordinates mental health initiatives. They conduct teletherapy with a fixed monthly income on a work-from-home set-up.Key Responsibilities	Tailor care plans to the needs of each client using evidence-based psychological interventions	Deescalate high-risk and emergency cases remotely	Apply new intervention methods to improve the effectiveness of teleconsultations	Collaborate with the Mental Health Team for appropriate client triaging and scheduling	Create webinars, workshops, and programs focused on mental health in a corporate settingPerks and Benefits	Work from home	Flexible scheduleMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year. Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Teleconsult Psychologist directly supports the mental health needs of clients through individual and group consultations and coordinates mental health initiatives. They conduct teletherapy with a fixed monthly income on a work-from-home set-up.Key Responsibilities	Tailor care plans to the needs of each client using evidence-based psychological interventions	Deescalate high-risk and emergency cases remotely	Apply new intervention methods to improve the effectiveness of teleconsultations	Collaborate with the Mental Health Team for appropriate client triaging and scheduling	Create webinars, workshops, and programs focused on mental health in a corporate settingPerks and Benefits	Work from home	Flexible schedule	Completed a Master’s degree in Psychology;	Registered Psychologist with experience in clinical psychology and psychotherapy;	Preferably has experience addressing concerns related to job-related pressure, financial issues, and mood disorders;	Can work with children and adolescents;	Willingness to work from home with occasional meetings at the Makati office	Completed a Master’s degree in Psychology;	Registered Psychologist with experience in clinical psychology and psychotherapy;	Preferably has experience addressing concerns related to job-related pressure, financial issues, and mood disorders;	Can work with children and adolescents;	Willingness to work from home with occasional meetings at the Makati officeHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Psychologist,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/145207/psychologist,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Psychologist directly supports the mental health needs of clients through individual and group consultations and coordinates mental health initiatives. They conduct teletherapy with a fixed monthly income on a work-from-home set-up.Key Responsibilities	Tailor care plans to the needs of each client using evidence-based psychological interventions	Deescalate high-risk and emergency cases remotely	Apply new intervention methods to improve the effectiveness of teleconsultations	Collaborate with the Mental Health Team for appropriate client triaging and scheduling	Create webinars, workshops and programs focused on mental health in a corporate setting.MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Psychologist directly supports the mental health needs of clients through individual and group consultations and coordinates mental health initiatives. They conduct teletherapy with a fixed monthly income on a work-from-home set-up.Key Responsibilities	Tailor care plans to the needs of each client using evidence-based psychological interventions	Deescalate high-risk and emergency cases remotely	Apply new intervention methods to improve the effectiveness of teleconsultations	Collaborate with the Mental Health Team for appropriate client triaging and scheduling	Create webinars, workshops and programs focused on mental health in a corporate setting.	Master’s degree in Psychology;	Registered psychologist with experience in clinical psychology and psychotherapy;	Personal computer with stable internet connection and clear audio/video capturing;	Proficient in using Google Workspace and related applications with the ability to troubleshoot minor technical issues;	Willingness to work from home during the night shift	Master’s degree in Psychology;	Registered psychologist with experience in clinical psychology and psychotherapy;	Personal computer with stable internet connection and clear audio/video capturing;	Proficient in using Google Workspace and related applications with the ability to troubleshoot minor technical issues;	Willingness to work from home during the night shiftHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Pharmacy Assistant | Makati,MedGrocer,https://ph.jobstreet.com/job/83058783?type=standard&ref=search-standalone&origin=cardTitle#sol=aabae1624cf8eec676a0edbdf5e807900c2e95a1,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.&nbsp;The Pharmacy Assistant helps interpret prescriptions, dispenses medicine, coordinates with internal and external stakeholders regarding sourcing and deliveries, and performs other tasks to support the Pharma team.&nbsp;&nbsp;Key ResponsibilitiesReceive orders and aid in interpreting prescriptionsPackage and dispense medicinesCoordinate with suppliers for sourcingCoordinate with in-house and third-party logistics for deliveriesAssist with counseling patients on proper medicationMinimum QualificationsKnowledgeable in Google Workspace and MS Office applicationsPreferably with a background in medicine and pharmacyOpen to shifting schedules and night shift scheduleOpen to fresh graduates and experienced professionalsMust work onsite in MakatiPerks and BenefitsHMO for employeesPaid leavesMedicine couponsOpportunities for promotion and performance bonuses13th month pay",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,1
Customer Care Coordinator | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/251867/customer-care-coordinator-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits:	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits:	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Knowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applications;	Preferably has 1-2 years experience in customer service or related positions;	Open to shifting schedules and night shift schedule;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Patient Care Coordinator | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/246898/patient-care-coordinator-makati-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Patient Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Patient Care Coordinator assists patients to help them understand their health benefits and manage their medical needs. They communicate directly with patients through various channels and coordinate with different teams in ensuring the best patient experience.Key Responsibilities:	Make outbound calls to patients to follow up on their medical needs, explain health benefits, and answer any related inquiries	Resolve patient concerns in a timely manner and respond promptly to patient inquiries via email, SMS, and call	Coordinate with various teams and relevant stakeholders to accommodate patient requests	Input all patient data and maintain accurate patient recordsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Knowledge in Google Workspace (Google Sheets, Google Docs, etc.) and relevant computer applications;	Preferably has 1-2 years experience in customer service or related positions;	Open to shifting schedules and night shift schedule;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Nutritionist | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/236298/nutritionist-makati-6,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Nutritionist monitors and advises patients on their health and nutritional needs. They collaborate with different teams to ensure the best experience for our patients.Key Responsibilities		Counsel patients on their nutritional needs in conjunction with their current treatment			Interview patients to develop an in-depth understanding of their lifestyle (e.g., 24-hour food recall, medical history, physical activities)			Develop customized dietary plans and recommendations based on patient needs			Attend to patient requests and coordinate with various teams			Monitor patient progress and maintain accurate records	Perks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Nutritionist monitors and advises patients on their health and nutritional needs. They collaborate with different teams to ensure the best experience for our patients.Key Responsibilities		Counsel patients on their nutritional needs in conjunction with their current treatment			Interview patients to develop an in-depth understanding of their lifestyle (e.g., 24-hour food recall, medical history, physical activities)			Develop customized dietary plans and recommendations based on patient needs			Attend to patient requests and coordinate with various teams			Monitor patient progress and maintain accurate records	Perks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay		Must be a Registered Nutritionist-Dietician;			Preferably has a Bachelor’s Degree in Nutrition or a related field;			Open to both fresh graduates and experienced professionals;			Must work onsite in Makati	Hire NowSign UpLogin",Healthcare,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
