title,company,link,job_desc,job_func,location,job_type,source
Commercial Sales Assistant Manager - Visayas,"SEAOIL Philippines, Inc.",https://ph.jobstreet.com/job/83283926?type=standard&ref=search-standalone&origin=cardTitle#sol=093b8538ea6180fdeec120846a0247987c142967,"Are you ready to start your legaSEA? SEAOIL is looking for passionate talents to help make a difference in the lives of Filipinos and fuel their better future. Here's your chance to grow your career with the largest and leading independent fuel company in the country - join us as our next Commercial Sales Assistant Manager - Visayas!What is this role about?This role will establish and maintain business relationships in the industrial area through effective selection of/and communication with clients.&nbsp;What will YOU do?Conduct&nbsp;cold calls, sets appointments, and schedules client visits&nbsp;to gather data needed to supply fuel requirementIdentify&nbsp;proper contact persons of prospect accounts differentiating gatekeepers, influencers, and decision makers&nbsp;to establish accurate proposal needed by accounts; establish rapport by introducing the company, advantages of dealing with the company and services we can offer; identify pain points of current suppliers and prepare suggestions on how we can help themIdentify&nbsp;customer needs and buying motivations&nbsp;to determine other requirements that we can offer to help their operations&nbsp;Conduct&nbsp;product presentation and technical field testing for various equipment of end users&nbsp;to upsell other products that the accounts may have overlooked but neededLead&nbsp;inter-departmental meetings&nbsp;to resolve customer issues and concerns, and designs interim and long term solutions with the team&nbsp;Update&nbsp;customers with current price movements&nbsp;to obtain competitor price and request immediate approval if we can matchAct&nbsp;as a consultant to customers&nbsp;to improve their process and bottom line to achieve win- win solutionsPrepare&nbsp;monthly performance reports for assigned area&nbsp;to determine the market potential and competitor selling behaviourUpdate&nbsp;the customer relationship management (CRM) tool&nbsp;to identify geographic potential marketMonitor&nbsp;competitors' prices and conducts market intelligence reports and provides recommendations&nbsp;to identify how our competitors release their prices according to account types and needs. It is an important information needed so we can position our markeing and be competitive&nbsp;&nbsp;What will YOU need?At least 5 years of relevant experiencePreferably with background in petroleum, industrial, or chemical industriesHas to have a network of industrial accounts, clients in the industrial industries (shipping, power and energy, transport, manufacturing, agricultural)Excellent communication, interpersonal, and presentation skillsMust have valid driver's license, can drive manually transmission vehiclesMust have strong people management experienceMust have strong familiarity in VisayasExperience in selling lubricants as well as background in sales pipeline management (database of leads) is an advantage",Sales,Central Visayas (Region VII),Full-time,Jobstreet
Sales Account Specialist,San Miguel Foods,https://ph.linkedin.com/jobs/view/sales-account-specialist-at-san-miguel-foods-4186493918?position=21&pageNum=0&refId=RtPCLGjpJdE2wzw0pNOcWg%3D%3D&trackingId=fBLBTkF8YnMBj4jviJ2nNw%3D%3D,"**This is a multi-site opening in North Luzon, South Luzon, GMA, Visayas and Mindanao**As a Sales Account Specialist, you will play a key role in supporting our sales team, managing customer accounts, and driving business growth. Responsibilities:Identify new business opportunities and actively pursue new clients.Understand customer requirements and recommend suitable products and services.Stay up-to-date on market trends, customer preferences, and competitor activity.Provide regular updates and reports on account performance and sales progress.Qualifications:Bachelor’s degree in Marketing, Management, Business Administration, Economics, or any related field is preferred.Minimum of 3 years of professional experience, with a strong background in foodservice sales required.Willing to do fieldwork activities",Sales,National Capital Region (NCR),Full-time,Linkedin
Sales Representative,"Metro Drug, Inc.",https://ph.jobstreet.com/job/81783854?type=standard&ref=search-standalone&origin=cardTitle#sol=0bb5dddd39a8a5b96448cf4ac88c6f30503a1011,"About the roleJoin our dynamic team at Metro Drug, Inc. as a Sales Representative based in San Fernando / Bulacan. In this full-time role, you will be responsible for driving sales growth and cultivating strong relationships with our valued customers. Your strategic approach and excellent communication skills will be pivotal in expanding our market share and delivering exceptional customer service.What you'll be doingProactively identify and pursue new sales opportunities within your assigned territoryBuild and maintain strong relationships with existing customers through regular visits and communicationProvide expert product knowledge and recommendations to customers, ensuring their needs are metAchieve and exceed individual sales targets and contribute to the overall sales goals of the companyCollaborate with the marketing team to develop and implement effective sales strategiesGather and report on valuable market intelligence to inform future business decisionsParticipate in training and development programs to continuously enhance your skillsWhat we're looking forProven sales experience, preferably within the pharmaceutical or healthcare industryExcellent communication and interpersonal skills, with the ability to build strong relationships with customersStrong negotiation and problem-solving abilities to effectively handle customer objections and queriesDemonstrated track record of achieving and exceeding sales targetsAdaptable and driven, with a proactive approach to identifying and capitalising on new opportunitiesDegree in a relevant field or equivalent sales experienceWhat we offerAt Metro Drug, Inc., we are committed to fostering a supportive and inclusive work environment that enables our employees to thrive. We offer a competitive salary, comprehensive benefits package, and opportunities for professional development and career advancement. Join our team and be part of a dynamic organisation that values innovation, teamwork, and customer satisfaction.About usMetro Drug, Inc. is a leading pharmaceutical distributor serving customers across the Philippines. With a strong focus on quality, efficiency, and customer service, we have established a reputation for excellence in the industry. Our mission is to improve the health and well-being of the communities we serve by providing access to high-quality, affordable healthcare products and services.Apply now and take the first step towards an exciting and rewarding career with Metro Drug, Inc.",Sales,Central Luzon (Region III),Full-time,Jobstreet
Sales Manager,Cullinan Group Inc.,https://www.kalibrr.com/c/cullinan-group-inc/jobs/253745/sales-manager,"Key Areas of Responsibilities:	Sales and Business Development	Develop and Implement Sales Strategies	Generate Leads and Secure New Business	Manage Existing Customer Relationships	Prepare Sales Reports and Forecasts	Pricing and Quotations	Product Knowledge	Coordinate with Production and Logistics	Manage Sales Documentation	Market Research	Team ManagementKey Areas of Responsibilities:	Sales and Business Development	Develop and Implement Sales Strategies	Generate Leads and Secure New Business	Manage Existing Customer Relationships	Prepare Sales Reports and Forecasts	Pricing and Quotations	Product Knowledge	Coordinate with Production and Logistics	Manage Sales Documentation	Market Research	Team Management	Proven experience as a Sales Manager, preferably based in Orion, Bataan	Strong background or exposure to Ready Mix Concrete and Construction Aggregates is a definite advantage	Highly dependable, with a strong sense of accountability and ownership	Demonstrates unwavering integrity, professionalism, and ethical business practices	Goal-oriented, driven to exceed sales targets and build lasting client relationships	Excellent communication and negotiation skills	Ability to thrive in a fast-paced, competitive environmentHire NowSign UpLogin",Sales,Other,Full-time,Kalibrr
Area Sales Manager,San Miguel Foods,https://ph.linkedin.com/jobs/view/area-sales-manager-at-san-miguel-foods-4183311515?position=4&pageNum=0&refId=RtPCLGjpJdE2wzw0pNOcWg%3D%3D&trackingId=rmhy7tfdLdtJPXb7r%2Feq9w%3D%3D,"**This is a multi-site opening in North Luzon, South Luzon, GMA, Visayas and Mindanao**The ideal candidate will be responsible for developing and managing channel strategies for the assigned area through a team of salespeople to achieve long-term company goals. Participates in the establishment of the national strategies and long-range plans to ensure realization of organization’s mission and vision.Key Responsibilities: I. Sales Volume and Revenue ManagementEnsures achievement of the annual objectives or financial forecast of the assigned area for both sell-in and sell-outEnsures month-on-month achievement of approved area sales volume and revenue objectives per category for both sell-in and sell-outReviews and drives sales team’s adherence to the company’s directions and standards to facilitate operational efficiency leading to consistent sales target achievementII. Channel and Brand Portfolio ManagementIII. Business and Market DevelopmentIV. Financial and Accounts Receivable ManagementV. Managing Business Partner / Business ConsultancyVI. Monitors and analyzes competitive activities and recommends or initiates tactical intervention to protect sales performanceVII. Ensures maintenance of a comprehensive and updated scorecard containing metrics data relevant to area operations in coordination with handled team and sales support groupsQualificationsCollege Graduate preferably in Marketing, Management, Business Administration, Economics or any business-related coursesWith at least 10 years experience in sales and distribution, with proven good track record, or at least 2 years experience for the same positionExperience in Foodservice Sales is a mustMust be willing to travel up to 60% of work scheduleWilling to be assigned anywhere in the Philippines as the company sees fit",Sales,National Capital Region (NCR),Full-time,Linkedin
"Sales Support Assistant | Office, Day Shift | Up to 35K",GoTeam,https://www.foundit.com.ph/job/sales-support-assistant-office-day-shift-up-to-35k-goteam-philippines-34323973,"Job Title: Sales Support AssistantCompany: GOTEAMLocation and Workplace: Office Set-Up (HQ in Cebu City)Shift Schedule: Day ShiftSalary: Up to PHP 35,000 depending on experienceSummary: The Sales Support Assistant will work under the instruction of a Support Specialist, managing high volume tasks and supporting various operational processes to drive client engagement and improve service efficiency.About The JobKey Duties:Assistants will work under the instruction of a Support Specialist. Execute high volume tasks while following multiple support processes. Provide application support and perform bank follow-up activities. Manage renewal support and renewal email communications. Generate commission reporting for won opportunities. Update CRM products, opportunities, and profiles for the team. Assign compliance evidence. Acquire and arrange data for reporting. Conduct outbound calls for client engagement, appointment setting, and opportunity identification. Identify potential client opportunities through proactive conversations (sales element).Skills And ExperienceEssential Skills:Understanding of outbound sales processes and ability to make 200+ calls per week, identifying potential opportunities through proactive conversations. Proficiency in Microsoft Office Suite (Excel, Word, PowerPoint) and CRM software; Experience with data entry and database management. Strong organizational skills with the ability to prioritize tasks effectively in a high-volume environment. Excellent verbal and written communication skills for client interactions and email correspondence. Strong attention to detail and ability to ensure accuracy in reporting and documentation. Ability to think critically and address issues proactively within support processes. Strong customer service orientation with an ability to engage clients professionally. Ability to work collaboratively with team members and support specialists.QualificationsStrong background in Australian mortgages and insurance.Bachelors degree or equivalent experience in Business Administration, Communications, or a related field.Previous experience in a support or administrative role, preferably in a customer service or sales environment.Your BenefitsWe dont just give you a laptop, we give you an extra monitorbecause two screens are better than one. Youll get HMO coverage from day onenot just for you, but also for a dependent (yup, private room benefits included). Ever needed legal or financial advice Well, now you and your family can access iton us. Salary finance platform for personal loans, because were here to help you, even with the tough stuff. P1,000,000 life insurance coveragebecause weve got your back. Leave credits above industry standards, including additional client-specific leave entitlements. The little things Weve got you covered: welcome gift, monthly lunch with CEO updates, talent nights, gratitude celebrations, and more. And yes, how does a trip for two to Bali sound Referral bonuses can take you there.Your Familys BenefitsMental health support for your family, 24/7, because we care about them too. Preventive care like health education, diet counseling, and wellness sessionsavailable for four family members. Free telemedicine for your family, because we know life doesnt wait for appointments. Personal invites to family events, with prizes up for grabsbecause life is about more than just work.About UsCompany Name: GOTEAMAchievementsConsistently raising the bar in employee engagement with an 85% scoreleaving the global average of 23%, the US average of 33%, and even best practice organizations at 70% in the dust. Certified as a Great Place to Work for four years runningbecause when youre great, you just keep proving it. Over 1,000 employees strong, with no plans to hit the brakes anytime soon.Culture: At GOTEAM, innovation isnt just part of the jobits the job. We celebrate diversity, thrive on global perspectives, and create an environment where personal and professional growth isnt a perkits the norm. And that 85% employee engagement score Its proof that were not just ahead of the packwere redefining the pack.Mission: Our mission is bold and simple: provide 100,000 people with free AI certification through the Vjal Institute, fueling the future of innovation.Location: Headquartered in the Philippines, with ambitious plans to expand globally by 2025.Work Set-upOffice                       Show more                                              Show less",,Central Visayas (Region VII),Full-time,Foundit
Sales Support Assistant,GoTeam,https://www.foundit.com.ph/job/sales-support-assistant-goteam-philippines-34323965,"Job Title: Sales Support AssistantCompany: GOTEAMLocation and Workplace: Office Set-Up (HQ in Cebu City)Shift Schedule: Day ShiftSalary: Up to PHP 35,000 depending on experienceSummary: The Sales Support Assistant will work under the instruction of a Support Specialist, managing high volume tasks and supporting various operational processes to drive client engagement and improve service efficiency.About the JobKey Duties:Assistants will work under the instruction of a Support Specialist.Execute high volume tasks while following multiple support processes.Provide application support and perform bank follow-up activities.Manage renewal support and renewal email communications.Generate commission reporting for won opportunities.Update CRM products, opportunities, and profiles for the team.Assign compliance evidence.Acquire and arrange data for reporting.Conduct outbound calls for client engagement, appointment setting, and opportunity identification.Identify potential client opportunities through proactive conversations (sales element).Skills and ExperienceEssential Skills:Understanding of outbound sales processes and ability to make 200+ calls per week, identifying potential opportunities through proactive conversations.Proficiency in Microsoft Office Suite (Excel, Word, PowerPoint) and CRM software; Experience with data entry and database management.Strong organizational skills with the ability to prioritize tasks effectively in a high-volume environment.Excellent verbal and written communication skills for client interactions and email correspondence.Strong attention to detail and ability to ensure accuracy in reporting and documentation.Ability to think critically and address issues proactively within support processes.Strong customer service orientation with an ability to engage clients professionally.Ability to work collaboratively with team members and support specialists.Qualifications:Strong background in Australian mortgages and insurance.Bachelors degree or equivalent experience in Business Administration, Communications, or a related field.Previous experience in a support or administrative role, preferably in a customer service or sales environment.Your Benefits:We dont just give you a laptop, we give you an extra monitorbecause two screens are better than one.Youll get HMO coverage from day onenot just for you, but also for a dependent (yup, private room benefits included).Ever needed legal or financial advice Well, now you and your family can access iton us.Salary finance platform for personal loans, because were here to help you, even with the tough stuff.P1,000,000 life insurance coveragebecause weve got your back.Leave credits above industry standards, including additional client-specific leave entitlements.The little things Weve got you covered: welcome gift, monthly lunch with CEO updates, talent nights, gratitude celebrations, and more.And yes, how does a trip for two to Bali sound Referral bonuses can take you there.Your Familys Benefits:Mental health support for your family, 24/7, because we care about them too.Preventive care like health education, diet counseling, and wellness sessionsavailable for four family members.Free telemedicine for your family, because we know life doesnt wait for appointments.Personal invites to family events, with prizes up for grabsbecause life is about more than just work.About UsCompany Name: GOTEAMAchievements:Consistently raising the bar in employee engagement with an 85% scoreleaving the global average of 23%, the US average of 33%, and even best practice organizations at 70% in the dust.Certified as a Great Place to Work for four years runningbecause when youre great, you just keep proving it.Over 1,000 employees strong, with no plans to hit the brakes anytime soon.Culture: At GOTEAM, innovation isnt just part of the jobits the job. We celebrate diversity, thrive on global perspectives, and create an environment where personal and professional growth isnt a perkits the norm. And that 85% employee engagement score Its proof that were not just ahead of the packwere redefining the pack.Mission: Our mission is bold and simple: provide 100,000 people with free AI certification through the Vjal Institute, fueling the future of innovation.Location: Headquartered in the Philippines, with ambitious plans to expand globally by 2025.                       Show more                                              Show less",,Central Visayas (Region VII),Full-time,Foundit
System Software Sales Consultant,ProjectPro Inc.,https://www.foundit.com.ph/job/system-software-sales-consultant-projectpro-inc-philippines-34326272,"ProjectPro, Inc. provides a range of project management software solutions in collaboration with CIM Technologies Inc. and CS Global Group Pte. Ltd. The company offers Enterprise Project Management solutions for various industries to improve productivity and project quality. Headquartered in Makati City, ProjectPro aims to be the leading provider of project management solutions in the Philippines.Who Were Looking For:Software solutions and related products, system, and services.Ability to identify client needs, recommend and sell software, build business partnerships or relationships, ensuring customer service or client satisfaction. Often focusing on specific industries or technologies in Architectural, Engineering, Construction, and Manufacturing.Capable of sales development and sales management.Degree in Engineering or any business-related courses.Minimum one (1) year experience as a System Sales Consultant in the IT and Construction industries for Software Solutions. Sales background in construction and engineering products and services is preferred. Applicants with sales experience from other industries are welcome to apply with a can do attitude and grit (passion and perseverance).Effective communication skills  verbal and non-verbal methods, including but not limited to public speaking, written communication, active listening, and questioning, all crucial for building strong relationships and achieving desired outcomes.Can start immediately.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Sales Supervisor,Trinity Outsourcing Solutions,https://www.foundit.com.ph/job/sales-supervisor-trinity-outsourcing-solutions-philippines-34324245,"About Trinity Outsourcing SolutionsTrinity Outsourcing Solutions is dedicated to connecting talented professionals with dynamic career opportunities across the world. As a trusted HR partner, Trinity offers a pathway for skilled individuals to work in roles that align with their expertise and support their career advancement. Known for fostering a supportive and growth-focused environment, Trinity provides hands-on experience and tailored opportunities for development. By prioritizing meaningful placements, Trinity enables professionals to unlock their potential and make a lasting impact within innovative companies.The RoleRosario, Cavite (onsite)8 AM - 5 PM, Mondays to SaturdaysWe are looking for a Sales Supervisor for a metal manufacturing company to oversee the sales team and drive revenue growth. This role involves managing client inquiries, tracking performance, and ensuring sales targets are met.ResponsibilitiesUnderstand customer needs and offer solutions and supportOrganize and coordinate sales representatives schedulesResearch potential leads from business directories, web searches, or digital resourcesReceive and report on all sales leadsSupervise sales representatives and assistantsAnswer potential customer questions and follow-up call questionsWork with sales team when closing salesTrack weekly, monthly, and quarterly performance and sales metricsManage sales staffQualificationsBachelors degree in business administration, business, or related fieldTwo (2) years experience as Sales Team leader or SupervisorBasic computer skills and experience with tracking and recording call information, filing documents, or updating customer profiles/accountsExcellent verbal and written communication skillsPersuasive and goal-orientedIn-depth understanding of company services and its position in the marketExcellent customer care and focus; ability to assess customers needs and provide correct answer, path, troubleshooting, or method for a positive customer experienceAbility to multitask, prioritize, and manage time efficientlyExperience with a Japanese manufacturing company is a plus                       Show more                                              Show less",,Philippines,Full-time,Foundit
Distributor Sales Specialist,Dragon Edge Group,https://www.foundit.com.ph/job/distributor-sales-specialist-dragon-edge-group-philippines-34324570,"Dragon Edge Group | 2nd Best Place to Work in PH &amp; 8th in APACSet your future ablaze with Dragon Edge Group! Join our mission to deliver 100 million DEG products by 2031 and be part of our 20-year legacy of growth.What Youll Do:Drive sales &amp; distribution in assigned distributor territories.Monitor sales performance and ensure compliance with company standards.Strengthen partnerships with distributors and key accounts like Mercury Drug Corporation.Ensure seamless execution of promotions, replenishments, and product placements.Use data insights to optimize performance and resolve operational issues.What You Should Bring:Bachelors degree in Business, Marketing, or related field.12 years of FMCG experience, preferably handling Mercury Drug Corporation or similar accounts.Proven track record in sales coordination, store execution, and compliance monitoring.Experience in collections, returns, and rebates management.Proficiency in Microsoft Excel, Google Sheets, and sales tracking tools.Strong relationship-building and communication skills.Field-ready &amp; with Driver&amp;aposs License for frequent store visits and trade checks.Why Join UsMake an impact in a high-growth, award-winning company.Work with top distributors and key accounts.Gain hands-on experience in sales execution and trade marketing.Ready to grow with us Apply now!                       Show more                                              Show less",,Philippines,Full-time,Foundit
