title,company,link,job_desc,job_func,location,job_type,source,selected
Automation Engineer (Remote/Flexible),Aprimo,https://ph.linkedin.com/jobs/view/automation-engineer-remote-flexible-at-aprimo-4187051521?position=1&pageNum=0&refId=BUQxOUd3AZsYotx3ECyaDg%3D%3D&trackingId=tnWsOvn7LAMFRu%2BUzipEBg%3D%3D,"Position Title: Automation Engineer IIILocation: Manila (EU Hours 3 PM – 12 AM PHT or 4 PM – 1 AM PHT)Employment Type: Full TimeOnsite, Remote or Hybrid: RemoteDepartment: Research &amp; Development (R&amp;D)Hiring Manager: Director, Quality AssuranceCOMPANY SUMMARY:Here at Aprimo, our mission is to empower the marketing organizations of today to build the brands of tomorrow. Aprimo is a pioneer of the marketing resource and digital asset management space, and we deliver an innovative, industry-leading SaaS (Software as Service) solution that changes the way companies like AT&amp;T, National Park Foundation, Laborie, and Bank of America work, create, collaborate, and learn to deliver exceptional brand experiences at scale.Aprimo helps enterprises unleash the power of their content by providing marketing automation software and digital asset management software that manages the behind-the-scenes activities involved in marketing. Our product allows companies to manage content planning, creation, and distribution all in one place, store content and media in a shared repository, and receive in-depth insights into how content performs.Founded in 1998, Aprimo has five offices internationally, including the Chicago headquarters, and offers a flexible work-from-home/remote-work policy.Named a Leader in Digital Asset Management (DAM) and Marketing Resource Management by Forrester and winner of the 2021 Tech Cares Award for our work with Aprimo HELPS, we build on the power of our people to make an impact both in our industry and in our communities.POSITION SUMMARY:We are seeking a highly technical Automation Engineer III specializing in Quality Assurance with expertise in backend service testing and telemetry analysis. This role is centered on advanced test automation, with some manual testing responsibilities. The ideal candidate will design and execute test strategies, develop robust and scalable test automation frameworks, and validate the functionality, performance, and reliability of backend services, including APIs, infrastructure components, and service integrations. Additionally, the role will involve supporting testing efforts for large-scale architectural and DevOps changes, ensuring seamless integration and stability.WHAT YOU WILL BE RESPONSIBLE FOR:Design and develop scalable and maintainable test automation frameworks to validate Aprimo's marketing and digital asset management solutions, ensuring high performance, reliability, and test coverage.Act as a subject matter expert in automation tools and methodologies, providing guidance and mentorship to test and automation engineers, helping them leverage automation effectively in their projects.Mentor and coach test and automation engineers, fostering their technical growth and promoting knowledge sharing within the R&amp;D and QA teams.Lead scoping discussions and collaborate with stakeholders to understand testing requirements, providing technical expertise to define test project scope, deliverables, and timelines.Provide and evaluate estimates for test automation efforts, considering factors such as complexity, dependencies, and resource allocation, including infrastructure and deployment impact.Collaborate with cross-functional teams and stakeholders to resolve testing challenges and technical issues within or between teams, ensuring smooth coordination and efficient project delivery.Review and provide feedback on test plans and strategies, automation scripts, and frameworks across teams, ensuring they meet end-to-end quality standards and align with overall system requirements.Lead and guide test and test automation efforts in driving quality within the DevOps and Architecture teams by implementing robust testing strategies, fostering best practices, and ensuring adherence to quality standards.Help the QA team to adopt new technology trends such as AI-driven testing and telemetry-based validation to improve test efficiency and accuracy.Drive automation testing improvements to enhance performance, security, and maintainability while proactively addressing technical debt through actionable strategies and continuous process enhancements.Stay up to date with industry trends, emerging technologies, and best practices in test automation, and incorporate them into Aprimo's automation strategy. Evaluate and recommend suitable tools, frameworks, and methodologies for QA solutions.Collaborate with Product Owners, Developers, DevOps, and QA teams to identify and resolve issues through testing, providing timely and effective solutions to drive customer satisfaction.Exhibit strong interpersonal skills, including effective communication, conflict resolution, and the ability to foster alignment and motivation across QA and within your Scrum team to achieve shared objectives.Additional responsibilities and duties as required.CANDIDATE QUALIFICATIONS &amp; WHY YOU’RE A GREAT FIT FOR THE ROLE:Bachelor’s degree in computer science, software engineering, or a related field is required.A minimum of 5-7 years of experience in automation testing, backend service validation, or related technical disciplines is required.Proficiency in C# .NET, with a proven ability to write efficient, maintainable code for large-scale applications is required.Hands-on experience with automation frameworks such as Selenium or Cypress is required.This role requires EU working hours (4 PM – 12 AM PHT) to align with stakeholders in United States, with flexibility to collaborate across both US, EU and Manila time zones.Expertise in testing and validating backend services, including APIs, monitoring, and performance optimization.Proficiency in performance testing using tools like K6 or Playwright to ensure reliability and scalability.Develop and integrate AI-driven automation frameworks to enhance testing efficiency, reliability, and scalability.Experience working with APIs and API testing tools, such as Postman, to validate service integrations.Comfortable collaborating as part of a Scrum team, contributing to iterative development cycles and ensuring seamless delivery.Proven ability to create and execute test plans, assess risks, and deliver high-quality SaaS products.Strong background in testing web-based enterprise applications, ensuring they meet performance and reliability standards.Skilled in integrating automation frameworks into CI/CD pipelines to streamline testing and deployment workflows.APRIMO CULTURE &amp; WHY YOU’LL LOVE WORKING HERE:Target Compensation: Annual monthly salary target of 130,000 PHP to 155,000 PHP depending on job related knowledge, skills, and level of experience. This is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills and abilities, as well as internal equity, alignment with market data, or other law.Bonus program that pays out quarterlyAprimo offers a forward-thinking, progressive, and employee-first culture that is based in both collaboration and flexibility with team members who are friendly, intelligent, and enthusiastic people that are committed to the product and mission here at Aprimo.With 5 offices worldwide and teams spread throughout the US, EMEA and Philippines, our multicultural teams work cross-departmentally and across continents and cultures towards a shared goal.We offer a diverse environment that promotes DEI efforts, values multiple perspectives and fresh thinking and which includes Aprimo HELPS, an employee resource group (ERG) that is dedicated to giving back to our local communitiesThrough its relaxed environment, Aprimo embodies a more casual “Silicon Valley” atmosphere.We have a casual dress code that allows employees to express themselves as individuals and which fosters a creative and free-thinking approach to problem solving and business solutions. And it also allows us to wear hoodies and shorts during internal meetings.Flexible work schedules and all positions allowing for either entirely remote or hybrid working arrangements create a deeply rewarding work-life balance.With flexible work schedules, employees can attend to personal matters, such as stepping away to pick up their children from school or to get a much-needed haircut.In a recent internal survey, 89% of staff cited work-life balance as being one of the most rewarding aspects of working at Aprimo! Part of the key to our success is that team members are not only successful at collaboration and open communication, but that they are also given a great deal of autonomy and freedom in their own individual roles.Our culture is not a micro-managing environment – rather, employees are encouraged to be self-starters, to voice new ideas, and to exercise ownership in their individual roles.As such, individual team members can leave a lasting impact and footprint within the organization – in fact, our average employee tenure is 7.7 years.Aprimo employs a “choose your own adventure” approach to career advancement.Staff members are not siloed into roles and for many of our teams there is no set ladder that one needs to climb to achieve growth and promotion.Rather, we emphasize an organic approach to career development in which employees can and do frequently transition into newly created roles within their own teams or transition into other departments based on their interests in exploring new skills and responsibilities.For additional learning and development, we recently rolled out Udemy, which is an online learning platform that employees have access to, and which features over 200,000 courses on a wide variety of business topics.","Engineering, Quality Assurance, Information Technology",Philippines,Full-time,Linkedin,
Research and Development Specialist (Food),MEGA PRIME FOODS INCORPORATED,https://ph.jobstreet.com/job/83233738?type=standard&ref=search-standalone&origin=cardTitle#sol=a8ae3125ceadb55a92db393fc7f80b9dff205515,"Job Summary:We are seeking a highly motivated Research and Development Specialist to join our Research and Development team. This role is responsible for regulatory functions and technical product development projects, including process development. The ideal candidate will analyze objectives, execute experimental designs, interpret results, and recommend actions to support business goals across various product categories.Key Responsibilities:Execute product development activities, including reformulation, raw material replacement, process improvements, and other related tasks.Evaluate new and alternative materials critical for product development and batch trial runs.Conduct shelf-life studies for new and existing products, consolidating findings for validation.Innovation &amp; Problem-Solving:Responsible for modifying or improving product development processes, enhancing existing systems, and ensuring compliance with regulatory standards.Addresses challenges related to technical difficulties, cross-functional collaborations, and quality issues.Communication &amp; Collaboration:Clearly conveys technical and scientific information to non-technical stakeholders such as executives, marketing, production, and QA.Ensures confidentiality when communicating with external vendors and partners.Qualifications:Bachelor’s Degree in Food Science, Food Engineering, or a related field.1 to 3 years of experience in research and development, product development, or regulatory compliance.Strong analytical skills and the ability to make sound judgments.Familiarity with product development processes, experimentation, and regulatory requirements.Effective oral and written communication skills.Ability to handle multiple projects simultaneously.Creativity and high work quality standards.Strong interpersonal and leadership skills.Why Join Us?Be part of a dynamic team in a leading organization.Opportunity to work on multiple product categories and cutting-edge projects.Competitive salary and benefits.",Sciences,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,1
QA and R&amp;D Specialists,Fit N Chic Foods Corporation,https://ph.jobstreet.com/job/83178677?type=standard&ref=search-standalone&origin=cardTitle#sol=40e3a6ce31b44c96a53f5c8f7a5e7c7236a431ab,"What's in it for YOU?&nbsp;Are you a self-motivated and out-of-the-box thinker? An individual who likes to learn and be challenged? If you think that you have what it takes, check this out:&nbsp;A processed meat manufacturing plant in Lubao, Pampanga is looking for qualified candidates for the following positions:&nbsp;R&amp;D SpecialistConduct benchmarking of competitor products.Develop new products, from benchtop trials up to commercialization.Improve the existing products in terms of taste, quality, cost, and overall acceptability.Evaluate new and alternative raw materials and packaging materials.Represent the R&amp;D department in audits and trade expositions.Preferably with 1-2 years experience in the food industry, but fresh graduates are also welcome to apply.Food Technology, Chemistry, Chemical Engineering, and Biology graduates.&nbsp;QA SpecialistConduct daily sanitation and process audits of the whole manufacturing facility.Inspect incoming and outgoing deliveries and prepare the necessary reports.Test the raw materials, work-in-process, and finished goods for microbiological and physico-chemical properties.Implement the company GMP program by accomplishing activities such as swabbing personnel hands, food- and non-food contact surfaces, and air quality monitoring.Ensure the adequacy of laboratory materials by keeping an updated inventory.With or without experience.Food Technology, Chemistry, and Biology graduates.&nbsp;The candidate who will pass the evaluation process should expect the following benefits:Free accommodation (utilities and meals included)Complete mandatory government benefits (13th month, OT pay, holiday pay, SSS, PhilHealth, Pag-ibig)Free training&nbsp;",Sciences,"Pampanga, Central Luzon (Region III)",Full-time,Jobstreet,1
Quality Assurance Officer,"DKT HEALTH, INC.",https://ph.jobstreet.com/job/82838004?type=standard&ref=search-standalone&origin=cardTitle#sol=c72c36705cf1be949f891097d04e4d9cd2678562,"Overall responsible to ensure all product are inspected upon arrival to the storage and dispatch for delivery to the respective clients / accounts.Represents the company on related agency inspections and ensures that the company is compliant to PFDA mandated regulations.Ensures all products are stored and kept as per GDSP requirements and with utmost qualityInspect returned products (RTV) and identify product status (sampling or disposal)Conduct self-audit / inspection to accredited warehouse/s following the Good Storage and Distribution PracticesPerforms validation / verification to products with reported quality concerns. Report serious adverse adverse drug reactions / events if applicableReports non-conforming products and supervise corrective actionsEnsure destruction of non-saleable, damage and expired products are performedEnsure that all incoming product shipments are with kept retentions as per PFDA's requirementRelease and safe keep product's Certificate of Analysis (COA)Coordinates with the third party logistics / distributor on all product related mattersCheck and review of product details to be published at MIMSCreate / propose QA related SOPsIssuance of product samples as requestedParticipate in annual inventory countAttend seminars, congresses related to QC / PV mattersAttend department meetings, official company activitiesSubmit required reportsUpdate and keep QA records",Sciences,"Cavite City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Research and Quality Assurance - School Setting,Philippine School of Business Administration,https://ph.jobstreet.com/job/83254156?type=standard&ref=search-standalone&origin=cardTitle#sol=29710689c1bdccbddd263dc15346317882028b36,#NAME?,Education,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,1
Learning and Development Officer,Multisys Technologies Corporation,https://www.kalibrr.com/c/multisys-technologies-corporation/jobs/213920/learning-and-development-officer,"Job Summary:	A Learning and Development Officer is in charge of the end-to-end training cycle	 Which includes needs assessment, designing, implementation and evaluation.	He/she ensures that all employees are equipped with the right attitude, knowledge and skills needed by the job to meet government and business requirements.Job Summary:	A Learning and Development Officer is in charge of the end-to-end training cycle	 Which includes needs assessment, designing, implementation and evaluation.	He/she ensures that all employees are equipped with the right attitude, knowledge and skills needed by the job to meet government and business requirements.Qualifications:	Bachelor’s degree in Human Resources Management, Information Technology or any related course	With at least 2-year experience in learning and development	Proficient in ADDIE Model	Knowledgeable in HR-related tools and systems	Fluent in English and Filipino (oral and written)	Preferably with experience in the IT industryQualifications:	Bachelor’s degree in Human Resources Management, Information Technology or any related course	With at least 2-year experience in learning and development	Proficient in ADDIE Model	Knowledgeable in HR-related tools and systems	Fluent in English and Filipino (oral and written)	Preferably with experience in the IT industryHire NowSign UpLogin",Human Resources,"Paranaque City, National Capital Region (NCR)",Full-time,Kalibrr,
Clinical Documentation Improvement Quality Assurance (CDI) | Remote*,Shearwater Health,https://ph.jobstreet.com/job/82681336?type=standard&ref=search-standalone&origin=cardTitle#sol=c7470869dc26a263f56cf64994d612000441a836,"Let your Passion Lead You at the Home of Clinicians with over 5000+ employees who have trusted us with their careers!Physical Sites: Taguig, Cebu, and PampangaRemote Work Locations: Baguio &amp; DavaoOur Clinicians &amp; Associates advocates for better patient care while enjoying these benefits:HMO on Day 1 with 2 Dependents upon regularization.Group Life InsuranceHighly Competitive SalaryComplexity AllowanceAnnual Salary IncreaseQuarterly Performance BonusService Incentive Leave (SIL) with Leave ConversionWork-Life IntegrationUp to 200k Sign On Bonus (*)Get Visa Sponsorship &amp; Work Abroad (*)*Terms and Conditions Apply&nbsp;The CDI Quality Assurance (QA) Specialist responsibilities:&nbsp;Ensuring accuracy of information and quality of deliveryMonitors, audits, reviews, analyzes, and documents work processes to improve clinical operations standardsPerforms quality audits and validates resultsCommunicates recommendations to responsible departmentsParticipates in the design, review, and amendment of QA monitoring tools and guidesCreates QA reports and provides data to Quality Assurance leadershipUses quality monitoring data management system to track and document performanceCollaborates with Operations and Training teams to analyze performance feedback and resolve issues&nbsp;Who we look for:Must be a bachelor's degree holderRegistered nurse with Baccalaureate in Nursing or higherActive license as Registered Nurse in the US and/or PhilippinesAt least 6 months of related clinical work experience. QA experience is preferred.",Healthcare,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Paralegal Case Manager | Sign-on Bonus | WFH | Day Shift | Day 1 HMO,Emapta,https://ph.jobstreet.com/job/83234247?type=standard&ref=search-standalone&origin=cardTitle#sol=f2fd3225a1ff32ce9caa5484003209a55dde8af8,"Managing Expertise for Legal WinsWork alongside&nbsp;global legal professionals, enhance your administrative prowess, and contribute to cases that matter. This is your chance to gain international exposure, support groundbreaking legal work, and grow your career without leaving home.Job DescriptionAs a Paralegal Case Manager, you will provide administrative support to the onshore team by managing the end-to-end process of identifying expert witnesses. Working with a young, goal-driven team, you will serve as the key liaison between clients and expert witnesses, ensuring seamless communication and successful legal proceedings.Job OverviewEmployment type: Full-timeShift: Day Shift; Mon–Fri, AU/SG business hours (6:30 AM–3:30 PM AEST / 5:30 AM–2:30 PM AEDT, Manila time), Weekends OffWork setup: Work From Home (occasional onsite work for quarterly events and client meetings)Exciting Perks Await!Day 1 HMO coverage with free dependentCompetitive Salary Package with Sign-on BonusAnnual financial incentive based on company performanceMonthly cash prizes awarded to nominated team membersWork from home arrangementPrime office location in Quezon City (Easy access to MRT stations, restaurants, and banks)Day shift scheduleFixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)Free 24/7 access to our office gyms (Ortigas and Makati) with a free physical fitness trainer!Exclusive Emapta Lifestyle perks (hotel and restaurant discounts, and more!)Unlimited opportunities for employee referral incentives across the organizationStandard government and Emapta benefitsTotal of 20 annual leaves to be used on your own discretion (including 5 credits convertible to cash)Fun engagement activities for employeesMentorship and exposure to global leaders and teamsCareer growth opportunitiesDiverse and supportive work environmentThe Qualifications We SeekAt least 2 years of relevant experienceBackground in law or prior experience working in a law firmExperience in customer service or client relationship management, ideally with corporate clientsBachelor’s degree required; law degree preferredQualified Lawyer or Senior Paralegal, ideallyExcellent verbal and written communication skillsStrong objection-handling, adaptability, and problem-solving abilitiesExcellent organizational and time-management skillsAbility to provide strong team supportHigh attention to detail and accuracyStrong work ethic and ability to perform under pressureTeam-oriented and collaborative mindsetSolid understanding of office management and daily operationsProficiency in MS Office toolsConfident communicator via phone and email with diverse individualsYour Daily TasksLiaise between experts and lawyers to ensure smooth progression of each matterMonitor and enforce adherence to deadlinesCollaborate with the Research team to assign the most suitable expertWork with the Quality Assurance team to ensure expert reports meet court standardsAddress and resolve issues during the report-writing processAbout the Client: Expertly Legal ConnectedIn the fast-paced world of&nbsp;legal services, our client stands out by expertly sourcing specialized expert witnesses for high-stakes litigation. Renowned for precision and reliability, they bridge the gap between legal professionals and industry-leading experts. With a commitment to seamless case management and meticulous quality assurance, our client empowers law firms globally to build stronger cases and achieve successful outcomes through unparalleled expert support.Welcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta offers stability, competitive compensation, and a collaborative work culture. Work with global clients, supported by a stable foundation and passionate professionals. We empower your success with endless opportunities for personal and professional development. Apply now and be part of the&nbsp;#EmaptaEra!",Legal,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet,
Research &amp; Development | Baking Technologist I,"Gardenia Bakeries Phils., Inc.",https://www.kalibrr.com/c/gardenia/jobs/253203/research-development-baking-technologist-i,"The R&amp;D Baking Technologist I will be responsible in hands-on laboratory and production scale work, data analysis, and collaboration with the Research &amp; Development team to achieve innovative solutions. Why Join Us?At Gardenia, we take pride in being the #1 bread brand in the Philippines, recognized for our world-class quality and innovation.In 2024, we ranked #65 among the Philippines' Top 100 Employers for Fresh Graduates (Prosple) and received the Circle of Excellence Award at the Asia CEO Awards for Top Employer of the Year and CSR Company of the Year.Join us and take the opportunity to build your career with the country's most advanced bread manufacturing company.Be part of a company that #DeliversServiceExcellence and fosters career growth!The R&amp;D Baking Technologist I will be responsible in hands-on laboratory and production scale work, data analysis, and collaboration with the Research &amp; Development team to achieve innovative solutions. Why Join Us?At Gardenia, we take pride in being the #1 bread brand in the Philippines, recognized for our world-class quality and innovation.In 2024, we ranked #65 among the Philippines' Top 100 Employers for Fresh Graduates (Prosple) and received the Circle of Excellence Award at the Asia CEO Awards for Top Employer of the Year and CSR Company of the Year.Join us and take the opportunity to build your career with the country's most advanced bread manufacturing company.Be part of a company that #DeliversServiceExcellence and fosters career growth!Department: Research and DevelopmentEmployment Type: ProbationaryWorking Schedule: Monday to Friday (08:00 AM - 05:30 PM)Work Setup: Work Onsite (Binan, Laguna) Qualifications:	Graduate of BS in Food Technology, Chemistry, Nutrition or equivalent	With GMP, and HALAL Standard Awareness and Understanding is an advantage	With at least one (1) year of related experience in a food manufacturing company or Food Analysis laboratory	Should understand the Principles of Sensory Evaluation test and procedure	Results-driven with the ability to thrive in a fast-paced and high pressure work environmentHire NowSign UpLogin",Operations,"Biñan City, CALABARZON (Region IV-A)",Full-time,Kalibrr,1
Business Architect | SAP BW4HANA Data Modeling and Development,Accenture in the Philippines,https://www.kalibrr.com/c/a-philippines/jobs/253684/business-architect-sap-bw4hana-data-modeling-and-development,"Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you! Be part of Accenture Philippines' 40-year legacy. Impotant Note:Before applying for this position at Accenture, please ensure that you meet the required qualifications and possess the skills outlined in the job description below before applying. Only candidates who has the necessary criteria will be considered for the role. It is important that applicants have the relevant experience, knowledge, and expertise as described in the posting to ensure a successful application. What you’ll do:	Design, build and configure applications to meet business process and application requirements    	Involve in process and functional/technical design activities and analysis of AS-IS and TO-BE processes.    	Create functional/technical requirements as an input to application design    	Involve in application build, test, and deploy activities    	Plan and execute data conversion activities    	Develop and test detailed functional/technical designs for business solution components    	Drive test planning and execution (break-fix, enhancements, and problem management delivery) Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you! Be part of Accenture Philippines' 40-year legacy. Impotant Note:Before applying for this position at Accenture, please ensure that you meet the required qualifications and possess the skills outlined in the job description below before applying. Only candidates who has the necessary criteria will be considered for the role. It is important that applicants have the relevant experience, knowledge, and expertise as described in the posting to ensure a successful application. What you’ll do:	Design, build and configure applications to meet business process and application requirements    	Involve in process and functional/technical design activities and analysis of AS-IS and TO-BE processes.    	Create functional/technical requirements as an input to application design    	Involve in application build, test, and deploy activities    	Plan and execute data conversion activities    	Develop and test detailed functional/technical designs for business solution components    	Drive test planning and execution (break-fix, enhancements, and problem management delivery) Here’s what you need:	Bachelor’s Degree or equivalent requirement with industry experience.    	Minimum 5 year(s) of experience is required    	Proven ability to build, manage and foster a team-oriented environment.    	Proven ability to work creatively and analytically in a problem-solving environment     	Desire to work in an information systems environment    	Excellent communication skills both in written and oral    Hire NowSign UpLogin",Information Technology,"Mandaluyong City, National Capital Region (NCR)",Full-time,Kalibrr,
