title,company,link,job_desc,job_func,location,job_type,source
eCommerce Business Analyst,MultiplyMii,https://ph.linkedin.com/jobs/view/ecommerce-business-analyst-at-multiplymii-4195507480?position=5&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=SX1nZGbqBYC9N9T43lmecg%3D%3D,"Position Type: Full-timeLocation: Philippines (Remote)Schedule: UK Business HoursAbout The CompanyOur client is a rapidly growing company in the e-commerce sector, specializing in a wide range of products sold through multiple online platforms. They are committed to delivering high-quality customer experiences and driving business growth through innovative solutions and data-driven insights. The company is looking for an experienced E-Commerce Business Analyst to help optimize their operations and improve performance across key areas of the business.About The RoleWe are seeking a highly analytical E-Commerce Business Analyst to support financial planning, performance analysis, and strategic decision-making across our e-commerce operations. This role will be responsible for budgeting, forecasting, and financial modeling while partnering with key stakeholders to drive data-driven insights. The analyst will play a crucial role in optimizing inventory, analyzing profitability, and ensuring efficient resource allocation, all while contributing to the overall business growth.ResponsibilitiesFinancial Planning and Analysis: Support budgeting and forecasting processes, conduct variance analysis to monitor financial performance, and assist in preparing management reports to communicate insights to senior leadership.Performance Management: Develop and maintain Power BI dashboards to visualize KPIs and financial metrics, providing actionable insights to improve organizational performance.Cost and Profitability Analysis: Analyze cost structures and profitability across products and channels, providing recommendations for cost reduction and profit maximization.Inventory Management: Use advanced analytics to forecast inventory needs, optimize stock levels, and collaborate with supply chain and brand managers to inform procurement strategies.Collaboration and Reporting: Work closely with cross-functional teams to translate data insights into actionable strategies for enhancing operational performance and meeting business objectives.Must-HaveCompetencies and QualificationsStrong Financial Analysis Skills: Proven ability to analyze financial data, create budgets, and conduct variance analysis to monitor and improve performance.Performance Metrics Analysis: Ability to analyze performance metrics (e.g., KPIs, ROI) and recommend actionable strategies for business improvement.Analytical Thinking: Strong analytical mindset to identify trends, patterns, and solve business challenges through data insights.Effective Communication: Clear and concise verbal and written communication skills, especially for presenting complex data to non-technical audiences.Nice-to-HaveExpertise in Data Analysis Tools: Proficiency in tools like Power BI and Excel to generate actionable insights and reports. Familiarity with SQL, Python, or R is a plus.E-Commerce Platform Knowledge: Familiarity with e-commerce platforms (Amazon, eBay, etc.) and their financial metrics, including sales and advertising performance data.Inventory Forecasting Expertise: Ability to forecast inventory needs and optimize stock levels for effective resource management.Experience in E-Commerce Finance/Analytics: A minimum of 3+ years of experience in finance, analytics, or a related role, ideally within the e-commerce industry.Relevant Certifications: Certifications in Power BI, Financial Analysis, or relevant e-commerce analytics tools like Google Analytics are a plus.Educational Background: A Bachelor’s degree in Finance, Business, Data Analytics, or a related field.Culture-FitWarm &amp; Collaborative Community – We believe in creating a supportive, team-oriented environment where collaboration is key to success.Outcome-Driven &amp; Merit-Based – Our focus is on achieving results and rewarding those who contribute to the company’s growth and success.Compassionate &amp; Forward-Thinking – We care about our people and their development, fostering an inclusive and innovative environment.Key CharacteristicsOrganized: Highly efficient in managing multiple tasks, staying on top of deadlines, and maintaining attention to detail in all aspects of the role.Collaborative: Enjoys working with various teams and stakeholders to drive results, sharing insights, and contributing to team success.Analytical: A sharp ability to analyze large datasets, identify trends, and translate findings into actionable business insights and strategies.What We Offer100% Remote Work – Work from anywhere in the Philippines.Career Growth Opportunities – Gain hands-on experience, mentorship, and continuous learning.Collaborative &amp; Innovative Team – Work alongside skilled professionals who value excellence.Application ProcessWe understand that searching for a new job can be challenging, and we’re here to support you every step of the way. Our goal is to make the process as transparent and respectful as possible.The interview process includes a Recruiter Interview and Client Interviews. As part of the process, candidates complete a hands-on task during the technical interview. Throughout each stage, we keep you informed and provide feedback as quickly as possible, ensuring you feel valued and supported throughout your journey with us.","Sciences, Analyst, Information Technology",Philippines,Full-time,Linkedin
Business Operations Analyst,"Storagepipe, a THRIVE Company",https://ph.linkedin.com/jobs/view/business-operations-analyst-at-storagepipe-a-thrive-company-4149772670?position=15&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=8xDs9gINgjv71dZlgcBwmw%3D%3D,"About UsThrive is a rapidly growing technology solutions provider focusing upon Cloud, Cyber Security, Networking, Disaster Recovery and Managed Services. Our corporate culture, engineering talent, customer-centric approach, and focus upon “next generation” services help us stand out amongst our peers. Thrive is on the look-out for individuals who don’t view their weekdays spent at “a job”, but rather look to develop valuable skills that ignite their passion and lead to a CAREER. If you’re attracted to a “work hard, play hard” environment, seeking the guidance, training and experience necessary to build a lucrative career, then welcome to THRIVE!!Position OverviewThe Business Operations team is responsible for processing customer contracts and invoices. The team is looking for an Operations Analyst to load, process, and confirm accurate data in our IT Management Platform. The Ops Analyst acts as a liaison between Project and Service Delivery Teams, Account Management, Sales, and Finance. We are looking to fill the position with a self-starter that is detailed oriented and comfortable working in large data sets and reporting platforms.The individual will be responsible for reviewing invoices for accuracy and will release them to customers on a timely basis. Additionally, the Operations Analyst will play a role in contract processing. Contract processing includes using data functions and interfaces to transition contract details from Sales Bookings tools to the IT Management Platform. The Ops Analyst will ensure accuracy of contract terms and service inclusions. Contract and Invoice processes apply to both service onboardings and offboardings.Primary ResponsibilitiesAssist the Operations and Finance Teams in the monthly billing process for multiple invoice types, business units, and regionsPerform entry level accounting tasksAnalyze monthly operational reports and compile analytical dataWork closely with account managers, project managers, and managerial staff to ensure accurate contracts and invoicesExplain and provide context on contract and invoice changes to internal partiesOrganize and maintain current client contractsOversee the contract lifecycle, including execution, review, renewal, completion, and terminationConduct contract related investigations and researchCreate, document, and maintain operational proceduresRequirementsBachelor’s Degree in Finance, Business Administration/Management, and/or Accounting 2+ years of professional experience in an operational roleProficiency in contract language and principles Advanced analytical and data reporting skills (excel formulas, pivots, charts, etc.)Excellent written and verbal communication skills It Would Be Great If You Also HaveExperience in the ServiceNow and Salesforce platformsWillingness to improve team process and contribute to team and company initiatives","Sales, Sales",Other,Full-time,Linkedin
Business Operations Analyst,InfoHedge Technologies LLC,https://ph.linkedin.com/jobs/view/business-operations-analyst-at-infohedge-technologies-llc-4198764348?position=10&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=tbcdkSjK%2Fg1YYVlZ%2Fuoyqw%3D%3D,"About UsThrive is a rapidly growing technology solutions provider focusing upon Cloud, Cyber Security, Networking, Disaster Recovery and Managed Services. Our corporate culture, engineering talent, customer-centric approach, and focus upon “next generation” services help us stand out amongst our peers. Thrive is on the look-out for individuals who don’t view their weekdays spent at “a job”, but rather look to develop valuable skills that ignite their passion and lead to a CAREER. If you’re attracted to a “work hard, play hard” environment, seeking the guidance, training and experience necessary to build a lucrative career, then welcome to THRIVE!!Position OverviewThe Business Operations team is responsible for processing customer contracts and invoices. The team is looking for an Operations Analyst to load, process, and confirm accurate data in our IT Management Platform. The Ops Analyst acts as a liaison between Project and Service Delivery Teams, Account Management, Sales, and Finance. We are looking to fill the position with a self-starter that is detailed oriented and comfortable working in large data sets and reporting platforms.The individual will be responsible for reviewing invoices for accuracy and will release them to customers on a timely basis. Additionally, the Operations Analyst will play a role in contract processing. Contract processing includes using data functions and interfaces to transition contract details from Sales Bookings tools to the IT Management Platform. The Ops Analyst will ensure accuracy of contract terms and service inclusions. Contract and Invoice processes apply to both service onboardings and offboardings.Primary ResponsibilitiesAssist the Operations and Finance Teams in the monthly billing process for multiple invoice types, business units, and regionsPerform entry level accounting tasksAnalyze monthly operational reports and compile analytical dataWork closely with account managers, project managers, and managerial staff to ensure accurate contracts and invoicesExplain and provide context on contract and invoice changes to internal partiesOrganize and maintain current client contractsOversee the contract lifecycle, including execution, review, renewal, completion, and terminationConduct contract related investigations and researchCreate, document, and maintain operational proceduresRequirementsBachelor’s Degree in Finance, Business Administration/Management, and/or Accounting 2+ years of professional experience in an operational roleProficiency in contract language and principles Advanced analytical and data reporting skills (excel formulas, pivots, charts, etc.)Excellent written and verbal communication skills It Would Be Great If You Also HaveExperience in the ServiceNow and Salesforce platformsWillingness to improve team process and contribute to team and company initiativesShareApply for this positionRequired*Apply with IndeedApply withFirst Name*Last Name*Email Address*Phone*AddressResume*We've received your resume. Click here to update it.Attach resume or Paste resumeAttach resume as .pdf, .doc, .docx, .odt, .txt, or .rtf (limit 5MB) or Paste resumePaste your resume here or Attach resume fileHuman Check*Submit Application","Sales, Sales",Other,Full-time,Linkedin
Business Operations Analyst,Thrive,https://ph.linkedin.com/jobs/view/business-operations-analyst-at-thrive-4151645282?position=20&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=3qioMGhXhWfQ633ro%2F253A%3D%3D,"About Us:Thrive is a rapidly growing technology solutions provider focusing upon Cloud, Cyber Security, Networking, Disaster Recovery and Managed Services. Our corporate culture, engineering talent, customer-centric approach, and focus upon “next generation” services help us stand out amongst our peers. Thrive is on the look-out for individuals who don’t view their weekdays spent at “a job”, but rather look to develop valuable skills that ignite their passion and lead to a CAREER. If you’re attracted to a “work hard, play hard” environment, seeking the guidance, training and experience necessary to build a lucrative career, then welcome to THRIVE!!Position Overview:The Business Operations team is responsible for processing customer contracts and invoices. The team is looking for an Operations Analyst to load, process, and confirm accurate data in our IT Management Platform. The Ops Analyst acts as a liaison between Project and Service Delivery Teams, Account Management, Sales, and Finance. We are looking to fill the position with a self-starter that is detailed oriented and comfortable working in large data sets and reporting platforms.The individual will be responsible for reviewing invoices for accuracy and will release them to customers on a timely basis. Additionally, the Operations Analyst will play a role in contract processing. Contract processing includes using data functions and interfaces to transition contract details from Sales Bookings tools to the IT Management Platform. The Ops Analyst will ensure accuracy of contract terms and service inclusions. Contract and Invoice processes apply to both service onboardings and offboardings.Primary Responsibilities:Assist the Operations and Finance Teams in the monthly billing process for multiple invoice types, business units, and regionsPerform entry level accounting tasksAnalyze monthly operational reports and compile analytical dataWork closely with account managers, project managers, and managerial staff to ensure accurate contracts and invoicesExplain and provide context on contract and invoice changes to internal partiesOrganize and maintain current client contractsOversee the contract lifecycle, including execution, review, renewal, completion, and terminationConduct contract related investigations and researchCreate, document, and maintain operational proceduresRequirements:Bachelor’s Degree in Finance, Business Administration/Management, and/or Accounting 2+ years of professional experience in an operational roleProficiency in contract language and principles Advanced analytical and data reporting skills (excel formulas, pivots, charts, etc.)Excellent written and verbal communication skills It would be great if you also have:Experience in the ServiceNow and Salesforce platformsWillingness to improve team process and contribute to team and company initiatives","Sales, Sales",Other,Full-time,Linkedin
Business Analyst,InvestEd,https://ph.linkedin.com/jobs/view/business-analyst-at-invested-4192389168?position=1&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=aq2v71kVCKITfWV5TULXSw%3D%3D,"We are looking for a Business Analyst who will bridge the gap between data consumers, executive stakeholders, and technical teams. You will play a key role in defining how data is transformed, moved, and monitored to ensure high-quality insights for decision-making. If you have experience in startups, can self-manage, and are comfortable working with both business and technical stakeholders, we’d love to hear from you.  Key Responsibilities Lead structured requirement-gathering sessions with data consumers, executives, and technical teams to define business needsTranslate business requirements into clear, detailed technical specifications, ensuring alignment between business goals and data infrastructureDocument business and technical requirements comprehensively, including data flow diagrams, transformation logic, and mapping documentsWrite data designs for ETL processes, ensuring clarity for engineers and analysts, and data is structured for analytics and reportingDefine business rules for data monitoring and cleansing scripts to maintain data integrityDevelop a working knowledge of source systems and their structures, ensuring alignment with data warehouse models and analytic toolsCollaborate with engineering, data, and business teams to ensure smooth data movement and transformation.  Qualifications At least 3 years of experience in a Business Analyst, Data Analyst, or similar roleSQL and Python proficiency – ability to query databases and validate data transformationsExperience working in a startup environment with the ability to self-manage and operate in a fast-paced settingStrong ability to communicate with both technical (engineers, data teams) and non-technical (business stakeholders, executives) audiences. Knowledge of data warehousing concepts, ETL processes, and data governance best practices Experience with data visualization tools and analytics platforms is a plusWith excellent written and verbal communication skills, including the ability to present with impact; able to translate complex analyses into easily digestible stories for senior managementExcellent time management and organizational skills","Information Technology, Project Management, Engineering",National Capital Region (NCR),Full-time,Linkedin
Business Analyst (12 months Fixed Term Contract),"ANZ Global Services and Operations (Manila), Inc",https://ph.jobstreet.com/job/83296113?type=standard&ref=search-standalone&origin=cardTitle#sol=44e74f28c224bd97eb399ac0e4d1a5d488787e6f,,,,,Jobstreet
Business Process Analyst,RiDiK (a Subsidiary of CLPS. Nasdaq: CLPS),https://ph.linkedin.com/jobs/view/business-process-analyst-at-ridik-a-subsidiary-of-clps-nasdaq-clps-4192107528?position=7&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=c8C9kHunRvae8IQrRudA6A%3D%3D,"ROLES AND RESPONSIBILITIES A. Does (The tasks / responsibilities that the role performs to address requirements in Key Result Areas) ● Ability to gather business requirements and translate the requirements to reports and dashboards ● Create simple yet effective dashboards, reports, etc. as needed by the business in support of projects and operational requirements ● Provide actionable insights by performing data analysis and data mining ● Perform complex ad hoc data queries and provide data extracts as needed by the business ● Create and update documentation and help maintain the team document portal ● Build complex queries on large volumes of data using SQL ● Act as primary Analyst for urgent data and reporting requirements as required by the Leadership team ● Act as L1/L2 Analyst for urgent operational data requirements ● Ability to provide requirements, updates, and resolve known issues in timely manner ● Support Delivery team in the distribution of reports, data files, etc. via email and sftp, and maintenance of distribution list ● Create and update operations support documentation, and maintain tech and operations support document portalEnsure data security practices in the deployed pipelines ● Standardize different queries and optimize them to speed up query times ● Build automation workflows and ensures job uptime and performance ● Attend escalated support calls during business hours and outside business hours (e.g. weekdays after 6 PM, during weekends and holidays, etc.) ● Identify automation opportunities and implement workflows ● Maintain uptime for different automation tasksB. Displays (The Knowledge, Skills, and Behaviors indicating how tasks / responsibilities will be performed) ● Ability to handle urgent data and reporting requirements from the business ● Willingness to work with different stakeholders across the organization ● Leadership skills to help establish the team’s ways-of-working, processes, deliverables, and documentation ● Strong collaboration skills ● Agile mindset with ‘fail fast, learn fast’ attitude ● Detail-oriented to verify the integrity of gathered data and reports ● Experience in analytics and data warehousing concepts, terminologies, and architecture ● Good oral and presentation skills are a must ● Excellent team player with good analytical skills in providing insights to numbers ● Ability to work closely with colleagues to try and identify data related problems and solve them ● Capability to adapt, develop or introduce projects that can be used for data analysis ● Coordinates and supports the Technical Team on the updates of the Data Sources System B. Delivers (The specific outputs / tangible results produced by the role; resources responsible for) ● Dashboard, reports, data extracts, and ad hoc requests to the business ● Top-notch analytics support in accordance with agreed SLAs and KPIs ● Comprehensive and up-to-date support documentation ● Improvements in queries and reporting performance ● Processes and workflows in accordance with best practices SKILLS, QUALIFICATIONS, AND COMPETENCIES JOB DESCRIPTION ● Experience working with SQL required ● Experience in Google Data Studio, Google Sheets, Excel required ● Experience in Google BigQuery, Tableau, Power BI, Metabase, DaaS preferred ● Experience in Hadoop or Big Data technologies preferred ● Experience working with MySQL preferred ● Experience working with Python/Scala preferred ● Experience in JIRA and Confluence preferred ● 3-5 years of experience in software development or QA roles.","Analyst, Sales, Information Technology","Manila City, National Capital Region (NCR)",Contract/Temporary,Linkedin
Business Analyst,Concentrix,https://ph.linkedin.com/jobs/view/business-analyst-at-concentrix-4200808719?position=3&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=0y%2B%2BGL9vI1hBEfFBq19v3w%3D%3D,"DIMENSION &amp; SCOPE:The Contact Center Performance Business Analyst will deliver analysis of contact center performance and customer satisfaction data in support of operational improvement initiatives. This position works on an analytic team to assess processes that have an impact on customer satisfaction scores or other key metrics and on the design and implementation of initiatives to improve those scores. The Business Analyst will interpret performance trends, identify root causes behind the trends, and then contribute to the development of performance improvement efforts.PRIMARY DUTIES AND RESPONSIBILITIES:Reviews customer satisfaction and other operational metric results on a daily/weekly/monthly basis to identify trends in performance; produces monthly management reports.Analyzes qualitative and quantitative data and identifies performance improvement opportunities via Microsoft Pivot tables, crosstabs or via other tools. Proactively determines areas for drill-down focus and conducts analyses to understand the drivers of performance gaps. Develops key driver analysis, statistical linkages and calibration between metrics.Coordinates data feeds with Operations to provide data for analysis.Documents current operational processes as part of root cause analysis and input to improvement initiatives; identifies possible gaps that may be contributing to lower key metric results.Facilitates and conducts root cause analysis to determine the underlying drivers behind performance gaps. Root cause may include on site observation, interviews, and process documentation.Contributes to analytic/engagement plan development based on analytic findings, metric performance, and client business needs.Contributes to recommendation/initiative development based on results of analysis.Develop updates to reflect current status of activities; monitors progress against action plans; monitors contact center operational performance on goals and objectives; isolates initiative effectiveness on improving key performance metrics.Produces documentation of key insights, solution recommendations, solution business cases and action plan results for incorporation into internal or client reviews.Contributes to team objectives and outcomes.Produces quality analysis or root cause work with minimal supervision; meets timing demands. PREFERRED SKILL SETBachelor’s degree in related field from a four-year college or university with three to five years related experience. MBA a plusAdvanced MS skills; Experience in R, Python highly desired.Strong customer service disposition and sense of professionalismAbility to organize and prioritize projects in a fast paced and deadline-oriented business developmentExperience or exposure with statistical concept and applications, data analysisAnalytics background/experienceCANDIDATE PROFILEStrong ability to be proactive; ability to plan, anticipate needs, and take actions through engagement, prioritization, and foresightStrong analytical thinking as well as problem solving skills; proven ability to apply quantitative data analysis techniques to improve work processes.Strong organizational and project management skills.Able to establish a course of action for self to accomplish a series of specific goals while using appropriate resources.Good written and oral communication skills; strong interpersonal communication and ability to work well in teams.Strong customer service orientationExperience with contact centers, customer satisfaction data analysis is strongly preferred Experience with statistical concepts and applicationsExperience working in an environment where work activities and deliverables are dependent on a diverse group of technical and business functional experts.Experience working in an emerging and rapidly changing environment.Demonstrated ability to meet deadlines, even in a demanding and changing environmentAbility to travel periodically.Experience with process consulting a plus.Six Sigma certification a plus.Must have proficiency with various software applications including email messaging application, Microsoft Word, Excel (including Pivot table / Power Pivot functionality) and PowerPoint.","Analyst, Quality Assurance","Makati City, National Capital Region (NCR)",Full-time,Linkedin
Business Operations Analyst - Nasdaq Fund Network,Nasdaq,https://ph.linkedin.com/jobs/view/business-operations-analyst-nasdaq-fund-network-at-nasdaq-4194764587?position=16&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=jZpLoPcV0Y5xLubVfyyFtA%3D%3D,"Why NasdaqWhen you work at Nasdaq, you’re working for more open and transparent markets so that more people can access opportunities. Connections can be made, jobs can be created, and communities can thrive. We want all our employees to have access to opportunity, too. That means planning for career growth, ensuring you have the tools you need, and promoting an inclusive culture where we’re all valued for our unique perspective.Here, you will work for a global tech leader committed to breaking down barriers to inclusive prosperity. We see technology as a means to free people up to work together more productively and effectively by centralizing data, analytics, and market intelligence.Here, we’re committed to building a more diverse and inclusive workforce. Not only is it our responsibility to do better, but we also need representative voices to power the fresh thinking that is vital for our business and our clients.What We OfferThis is a permanent full-time role based in Bonifacio Global City, Taguig following a hybrid work model setup (at least 2 in office days per week).You can expect an autonomous but fast-paced work environment where you are recognized for your results and ability to drive things forward. Every day brings many opportunities to learn &amp; grow and rewards with a global impact we create.In return, you will receive HMO coverage for you and your dependents, employee stock purchase plan, equity grant, retirement plan, annual bonus, free counseling sessions, subscription to e-learning platforms, fitness, wellness and more.What You Will DoNasdaq is seeking a highly motivated Business Operations Analyst to join the Nasdaq Fund Network (NFN) operations team.NFN facilitates the collection and dissemination of performance, NAV, valuation, and strategy-level reference data for over 45,000 investable products to 100 million plus investors. Our product enables improved discoverability, as each product is registered with a unique symbol along with greater transparency and amplified reach. We serve asset managers, financial advisory firms, and market data managers in a fast-paced environment.The Business Operations Analyst will be managing the Nasdaq Fund Network customer inquiries and customer service SLA. The individual will provide guidance to new clients and existing customers in the preparation of data submission to ensure that the information provided is complete and accurate.Build and maintain strong client relationships and serve as the primary point of contact with clients and provide day to day client support. Occasionally respond to basic, unresolved production support issues and participates in analysis and resolution on behalf of the business, escalating more complex issues to senior colleagues. Under supervision, assists business owners and stakeholders in defining business and system requirements. Under supervision designs solutions for clients ensuring that SLA’s (service level agreements) and KPI’s (key performance indicators) are met. Communicate client requirements to operational teams and subcontractors. Collaborate cross-functionally with product and engineering teams on the development and test of new data systems and processes What We ExpectBachelors in Business, Finance, Economics, Mathematics, Computer Science, Computer Engineering, or a related degree. Have at least 0-3 years experience in Business Operations or Client Services at a financial services firm or SaaS technology company Excellent verbal and written communication skills Superior level of attention to detail Adaptable and a quick learner Proficient with Microsoft Office tools Amenable to work in night shift and twice a week in our office in Bonifacio Global City, Taguig.Does It Sound Like You?Please follow through by clicking the “Apply” link and submitting your application. If your skills and experience are a match, we will be in touch soon. In the meantime, please visit our website and social media channels to learn more about our innovative business, inclusive culture and discover why Nasdaq Manila is Great Place To Work certified!Come as You AreNasdaq is an equal opportunity employer. We positively encourage applications from suitably qualified and eligible candidates regardless of age, color, disability, national origin, ancestry, race, religion, gender, sexual orientation, gender identity and/or expression, veteran status, genetic information, or any other status protected by applicable law.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request an accommodation.","Sciences, Analyst, Management","Taguig City, National Capital Region (NCR)",Full-time,Linkedin
Operations Business Analyst,SAVii,https://ph.linkedin.com/jobs/view/operations-business-analyst-at-savii-4200204501?position=11&pageNum=0&refId=ERTanQ2%2BGHFS3ST4AGzcOA%3D%3D&trackingId=2ky0uYTgAn4OyeXtEMsyag%3D%3D,"Our CompanySAVii was founded in 2017 as SAVii PH, since then, we have been revolutionizing the employee wellness landscape. Our primary goal is to transform lives everyday by offering 360° salary linked wellness services in emerging markets. We currently operate in the Philippines and India.Through our employee benefits platform, we empower HR leaders with 360 degree salary linked financial wellness services that elevate team members personally and professionally. Fast forward to today, we are now the category leader in our pioneer market of the Philippines. We are always here to transform lives with you. Together, let’s make financial power at work a reality.Our CultureSAVii is all about people. We aim to transform lives everyday for our customers and our own team members. We promote a culture of people-centricity, engage deeply with our SAViiers and encourage everyone to bring their whole selves to work. Each member of our team has something unique to contribute, so we naturally embrace your individuality and recognize your unique perspective as an important catalyst of positive change. We are a remote-first organization, we work where we feel happy and productive. Beyond the monetary aspect, we offer a plethora of enabling benefits enhancing your personal and professional life. In SAVii, we Think Fast, and execute faster.Our ValuesExcellence is an Attitude. We are Licensed to Dare so that everyone can Learn and Succeed. Our shared culture of respect and Fast Executions are built on Integrity and knowing we are Stronger Together.Our CommitmentSAVii is proud to be an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all our SAViiers. We do not discriminate on the basis of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability and age. We believe that diversity in talent invites more opportunities for innovation that leads us to our goal to Transform Lives Everyday. As part of our commitment to a diverse and inclusive workplace, we strongly encourage individuals from all walks of life to apply.Summary:The Operations Business Analyst is a key role within the Operational Excellence team, focusing on data-driven decision-making, process optimization, and the management of critical operational workflows. Reporting to the Operations Analytics Manager, the Operations Business Analyst is responsible for delivering actionable insights through data analysis, developing and maintaining reports, and implementing scalable solutions that enhance the efficiency of back-end operations, including loan processing, customer support, billing, and collections. A significant part of this role is the management and ownership of the employee service module, ensuring the accurate and timely uploading of employee infosheets for partnered companies. This critical data, linked via APIs to other service modules, supports seamless integration across operational workflowsKey Responsibilities:Data Analysis and Reporting: Collect, analyze, and interpret operational data to develop insightful reports and dashboards. Conduct data quality checks to ensure the accuracy and reliability of all reports. Support the creation and maintenance of standardized and ad-hoc reports for various stakeholders, including senior management. Provide actionable insights based on data trends to enhance operational efficiency and decision-making. ProcessImprovement and Automation: Collaborate with cross-functional teams to identify areas for process improvement and optimization. Contribute to the design and execution of automation solutions that reduce manual efforts and enhance operational workflows. Document and maintain process improvement initiatives to ensure consistency and scalability. EmployeeService Module Management: Manage the end-to-end process of uploading and maintaining employee infosheets for partnered companies. Ensure the accuracy, consistency, and integrity of employee data, which is critical for operations and integration with API-linked modules. Work with Product &amp; Engineering and other departments to troubleshoot and resolve data-related issues. Optimize employee service data management processes to enhance system reliability and performance. Collaboration and Projects: Partner with teams across operations, product, and data departments to gather requirements and deliver impactful solutions. Support high-impact projects aimed at improving operational processes and achieving business goals. Foster effective communication and collaboration with stakeholders to align deliverables with organizational objectives. Professional Development: Continuously improve technical skills in data analytics, reporting, and process improvement. Stay updated on emerging tools, technologies, and methodologies relevant to operational analytics and automation. Contribute to team knowledge-sharing initiatives and process documentationQualifications:Education and Experience: Bachelor’s degree in Finance, Business, Engineering, Data Analytics, or a related field; 1+ year of experience in operations, data analysis, or process improvement, preferably in financial services or a similar industry. Technical Skills: Proficient in data analytics tools such as Gsheet, BigQuery SQL, and Tableau (or similar BI platforms).Basic knowledge of process automation tools and methodologies. Familiarity with data visualization techniques and best practicesSoft Skills: Strong analytical and problem-solving skills with the ability to think strategically. Excellent organizational and time-management skills. Effective communication and interpersonal skills for cross-functional collaboration. Optional Skills: Experience with API integrations and understanding of linked service modules. Knowledge of operational workflows and performance metrics. Exposure to project management frameworks (e.g., Agile, Waterfall)","Sciences, Analyst, Information Technology","Makati City, National Capital Region (NCR)",Full-time,Linkedin
