title,company,link,job_desc,job_func,location,job_type,source
"Asset and Supplies Management - Operations, SPX Express (Meycauayan,Bulacan)",SPX PHILIPPINES INC.,https://ph.jobstreet.com/job/83293035?type=standard&ref=search-standalone&origin=cardTitle#sol=9f8f01167d406d456306c8eca933ce6cd5831062,"Requirements:Graduate of Industrial Engineering or any related coursePreferably with prior experience in the Warehouse, E-commerce, Logistics field under an Inventory Management and Admin Assistant positionAble to collaborate effectively with diverse stakeholdersKeen to details and highly organized&nbsp;Knowledgeable with MS and Google ApplicationsAmenable to work in Meycauayan, BulacanJob Description:Provides administrative support to ensure efficient operation of the officeMonitoring the daily attendance of SOC personnel and coordinate with&nbsp; manpower agencies attendance accuracy or concernsAnswers queries, schedules meetings and supports visitorsCarries out administrative duties such as filing, typing, copying, binding, scanning etcEnsures operation of equipment by completing preventive maintenance requirements, calling for repairs, maintaining equipment inventories and evaluating new equipment and techniques.Maintains supplies inventory by checking stock to determine inventory level, anticipating needed supplies, placing and expediting orders for supplies. Contributes to team effort by accomplishing related results as needed","Manufacturing, Transport & Logistics",,,Jobstreet
Product Quality Intern,DYSON ELECTRONICS PTE. LTD. - PHILIPPINE BRANCH,https://ph.jobstreet.com/job/83294341?type=standard&ref=search-standalone&origin=cardTitle#sol=cda5630d35c92b3d09a585f3b94836f9b531c445,"About usDyson is a global technology enterprise.&nbsp; We solve the problems others choose to ignore, with surprising new inventions that defy convention and simply work better.&nbsp; We’re driven by progress and thrive on the challenge of relentless improvement.&nbsp; We’re growing fast and our ambition is huge – more categories, more locations and more people.Our scale and rapid growth make Dyson rich in new opportunities. We value new ideas and diverse perspectives, so our people are trusted with real work and responsibility from the outset. And you’ll be part of a global network of like-minded people – a community that supports and learns from each other.Our Quality team’s mission is to set the gold standard for quality in our industry, driving excellence in everything we do. We are committed to proactively identifying and mitigating risks, reducing failure rates, reducing the cost of quality and increasing overall customer satisfaction.About the roleDyson has a strong and influential Quality business function. Quality department collaborates with Research, Design, Development (Engineering), Operations, Procurement and Commercial to drive forward advances in both product reliability and product satisfaction across the product development cycle (from proof-of-concept phase to post-launch phase).An opportunity within quality will provide you with exposure in Voice of Customer (VOC) in market and a broad foundation in engineering best practices in early development programs. You will be mentored throughout, be an active participant in evolving Dyson’s approach to robust engineering while collaborating with multiple functions across the Dyson RDD, Operations, Quality and Business Unit. Through this role you will:Support in new product launch monitoring activities (e.g. Satisfaction, Reliability &amp; Manufacturing Quality performance) that covers data analysis, reporting and issues mitigations. Work in collaboration with engineering and quality teams to conduct thorough root cause analysis and investigation utilising formal methodologies such as 8D analysis.Conduct teardown and failure analysis on failed machines from market returns, verification or production line. Interrogate market data to compile reliability insight from existing product ranges bringing visibility and knowledge to the cross team on past issues and concerns.Support reliability test method development alongside test and engineering owners by investigating verification methods and market data.Our internship programme connects academic theory with practical experience. Gain valuable insights into professional applications through mentorships with our industry-leading experts and exposure to cutting-edge practices. Join us for a transformative journey where theory meets application, guided by the industry’s best minds!About youWorking towards a degree in Mechanical Engineering, Mechatronic Engineering, Electronic and Electrical Engineering, or equivalent. Demonstrate an interest in technical science, engineering or product development.Able to evidence how you have applied your technical knowledge to solve problems, either through your university projects or as part of your extra-curricular activitiesCollaborative and able to actively present ideasCreative problem solver with the ability to multitask in a rapidly changing environment.   Passionate about Dyson and our technology to help us meet our ambitious future.Please note that this role is for full-time onsite internship in Calamba, Laguna, from May to August 2025.For your application to be considered, please upload the following in a single file.Resume or Curriculum VitaePortfolioEndorsement Letter with Insurance CoverageTranscript of records (all semesters inclusive)Working for usJoin our internship programme to jumpstart your career. We look to offer selected high-performing interns an opportunity to return on our graduate programme.Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.","Manufacturing, Transport & Logistics",,,Jobstreet
Process Sr. Engineer,Yamaha Motor Philippines,https://ph.jobstreet.com/job/83222915?type=standard&ref=search-standalone&origin=cardTitle#sol=d1fdda13fa6fe1468c06f6f56154d86280ecafe6,"KEY RESPONSIBILITIES: Performs troubleshooting/investigation of process and jigs related problems.Implements corrective actions and initiates production/process improvement projects.Performs necessary activities related to new model production preparation and new change of color development:Participates on 1QDC Activity to ensure new model and COC preparation targets are attained.Designs and procures racks, buckets, jigs, machines, special tools and other items needed.Conducts Failure Mode and Effect Analyss / Evaluations.Prepares process flow layout, process planning sheet &amp; quality documents for welding.Prepares material flow and evaluation to all new model for welding.Conducts Time and Motion Study and Line Balancing Activities.Performs activities related to Welding Line Preparation.Uses of known quality tools like SPC, 7QC, 8D, FMEA and other tools to prevent/solve the issue.Implements POKA YOKE solution on all jig, fixtures and equipment.Conducts performance evaluation of subordinates.Prepares packaging designs of localized parts including prototyping and evaluation.Performs other related duties or projects that may be assigned.JOB QUALIFICATIONS: Graduate of any Engineering Course preferably Electrical, Mechanical, Industrial Engineering.Preferably Male (as part of Job Requirement). With at least 1-2 year experience in similar capacity.&nbsp;",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet
General Manager | Naga,"Southeastasia Retail, Inc.",https://ph.jobstreet.com/job/83250592?type=standard&ref=search-standalone&origin=cardTitle#sol=72baabcc108f349497eed67f3ba6b65b98d109bf,"I. Job Objective&nbsp; &nbsp;a. &nbsp;Attain optimum sales and opex performances thru effective and efficient planning, leading, organizing and controlling of assigned store or branch.&nbsp; &nbsp;b. Over-all Management and supervision of assigned stores daily operations.&nbsp; c. Provide excitement to members and excellent members services experience during their visit in the stores.&nbsp; &nbsp;d. Ensure safety and security of all members and employees in the assigned store.&nbsp;ll. Management Performance Areas (MPA)A. Planning&nbsp; &nbsp; 1. Discuss KPI and set standards on store operations critical performance areas.&nbsp; &nbsp; 2. Develop course of actions to achieve maximum sales growth and gross margin targets.&nbsp; &nbsp; 3. Understands assigned stores strength, weaknesses versus competitors and foresee opportunities and strengths.B. LeadingInstill Landers Vision, Mission and Corporate Values to all subordinatesMotivates and guide the store operations team work harmoniouslyCreate a healthy communication between operation and support teamsC. OrganizingDefines and arranges activities into logical and practical assignments to attain desired results.Delegates appropriate responsibilities to subordinatesD. ControllingAssess and evaluates KPI versus the agreed objectives in order to evaluate proper course of actions and to meet the challenging demands of new situation.&nbsp;lll. Key Results Area (KRA)A. Membership / Marketing ManagementStrengthen Landers image and brand affinity in the area or localityEffective and timely implementation of membership promotion and activities.Improve and grow membership and member retention or renewalB. Store Operations Management1. Improve efficiency in Goods Receiving and Front-end operations based on operational standards.2. Create a safe, clean and secure place for Landers Members to shop and in every employee's workstation.3. Create a member-service oriented environment and culture in Landers Superstores.4. Ensure all machines and equipment inside the store are running and good condition.5. &nbsp;Approval of expenses of store within the approved budget6. Ensure that each store and team member are regularly appraised and trained.7. &nbsp;Conduct of daily floorwalk and audit of all areas inside and outside / perimeter of the building.8. &nbsp;Improve Ecomm or online business thru stocks availability and high fulfillment rate9. &nbsp;Manage and oversee Caltex operations&nbsp;C. Merchandise and Stock Management1. Assess and evaluates sales penetration and Top articles per department and prepare action plans to improve sales2. &nbsp;Controlling and monitoring of shrinkages, disposal and expiry of the products.3. Ensure effective implementation of standard merchandising and stocking/display4. Strategizes floor plan lay out of the store thru proper coordination with VP Operations and COO5. Plans and directs display movements in EC, highlights, quad display, impulse, COC, seasonal and showroom display6. Improve production planning and completeness display thru planogram in OB and fresh departments to maximize &nbsp; &nbsp; sales opportunities.7. Balancing store stock inventories and ensure availability of stocks8. Standardize and monitor procedures of overstock/top load, walk in freezer/chiller management9.&nbsp;Monitors daily, weekly and monthly stock key performance indicators; zero sales, end cap report, top skus, shrinkage, &nbsp;&nbsp; &nbsp;expiry, disposal / throwaway reports and NOH10.&nbsp;Assess and approves Cycle Count adjustments in the store.11. Manages conduct of Annual Physical Inventory CountD. Food Central and Doppio Operations1. Over - all management and supervision of Central and Doppio operations, kitchen, dining and counter operations.2. &nbsp;Evaluate and monitor KPIs and develop action plans to improve operational effectiveness and efficiency3. &nbsp;Controlling and monitoring of shrinkages, disposal and expiry of the products.4. &nbsp;Ensure safety and security of members and employees&nbsp;5. &nbsp;Ensure members satisfaction in products, service and delivery service.E. Store Affiliates1. &nbsp;Support and coordinate with store affiliates (Federal Barbers and Capital Care Pharmacy) on improving sales performance and service to the members.F. Wholesale / Bulk Sales1. &nbsp;Develop new channels for volume shoppers or bulk sales to improve sales performance of the storeG. Cost Control Management1. &nbsp;Effective and efficient use of major equipment and machines which minimizes unnecessary use of electricity while not sacrificing the comfort and convenience of members while shopping2. &nbsp;Implement effective action plans to control Top Opex contributors in the store: &nbsp;Salaries, Electricity and Security costs&nbsp;lV. JOB QUALIFICATIONS and REQUIREMENTS1. Educational Background: Bachelors Degree in Business/ Accounting, IT &amp; Engineering, Marketing. Preferably Graduate studies or Masteral2. At least 15 years experienced in FMCG or Retail or Mall operations3. &nbsp;At least 10 years experience as Area Manager or Regional Manager or GM of Big Mall.4. Experienced in opening and setting up new store.5. Must know how to communicate and written skills in English.6. Must know how to operate MS Office operations-Word, Excel, Pivot, Power Points.7. Must know how to use JDE or SAP and WMS&nbsp;8. Knowledge of Financial Statement and Accounting terms9. Experienced to lead more than 500 manpower&nbsp;",Management,"Naga City, Bicol Region (Region V)",Full-time,Jobstreet
Sales and Recruitment Associate | Part Time | Work From Home,Golden Empire Summit Life Insurance Agency (GESLIA Pru Life UK),https://www.kalibrr.com/c/golden-empire-summit-life-insurance-agency-geslia-pru-life-uk/jobs/251667/sales-and-recruitment-associate-part-time-work-from-home-9,"Responsibilities	Recommend solutions to clients in order to achieve their financial objectives (medium to long term investments, protection, education funding, retirement funding, estate planning, etc)	Guide existing clients in making wise financial decisions across different life stages	Develop business by acquiring and building individual and corporate clienteles	Manage, develop, and train a group of financial consultantsBenefits and rewards	Work-from-home setup	Time			Time flexibility and work-life balance		Work anytime, anywhere			Income stability by having multiple sources of income			Enjoy weekly income, quarterly bonus and cash incentives			HMO and Group Life Insurance benefits	Employer-matched savings and retirement plan	Purpose			Career with a mission - we help increase financial literacy and prevent financial tragedies			Make a positive impact	Travel			Local and international travel incentive		All expense-paid luxury travels (Hawaii, Slovenia, Hungary, New Zealand, China and many more)			Career and Personal Development	Fast-paced promotion and career development (become a manager as early as 6 months)	Strong support and mentoring system	Cultivate your entrepreneural aspirationsResponsibilities	Recommend solutions to clients in order to achieve their financial objectives (medium to long term investments, protection, education funding, retirement funding, estate planning, etc)	Guide existing clients in making wise financial decisions across different life stages	Develop business by acquiring and building individual and corporate clienteles	Manage, develop, and train a group of financial consultantsBenefits and rewards	Work-from-home setup	Time			Time flexibility and work-life balance		Work anytime, anywhere			Income stability by having multiple sources of income			Enjoy weekly income, quarterly bonus and cash incentives			HMO and Group Life Insurance benefits	Employer-matched savings and retirement plan	Purpose			Career with a mission - we help increase financial literacy and prevent financial tragedies			Make a positive impact	Travel			Local and international travel incentive		All expense-paid luxury travels (Hawaii, Slovenia, Hungary, New Zealand, China and many more)			Career and Personal Development	Fast-paced promotion and career development (become a manager as early as 6 months)	Strong support and mentoring system	Cultivate your entrepreneural aspirationsMinimum Qualifications	Gradute of any bachelor's degree	Willing to be trained and coached	Must be residing and working in the Greater Manila Area	Willing to attend online meetings and trainingsHire NowSign UpLogin",Sales,"Makati City, National Capital Region (NCR)",Contract/Temporary,Kalibrr
Senior Accounts Receivable Specialist | Hybrid | Ortigas | Mid Shift,Emapta,https://ph.jobstreet.com/job/83251463?type=standard&ref=search-standalone&origin=cardTitle#sol=4d66589a183dfcd680d8e5e2236e4c65370ac5c6,"Turn Citywide Parking Revenue into Financial AccuracyYour expertise belongs on a bigger stage. Tackle collections, credit control, and month-end reconciliations for a high-volume business transforming how people move through cities. This is where global operations meet local excellence. Gain access to complex systems, cross-border collaboration, and lasting influence. The numbers don’t lie—this is growth you can count on.Job DescriptionAs a&nbsp;Senior Accounts Receivable Specialist, you’ll handle end-to-end AR functions—including invoicing, collections, reconciliations, credit checks, and compliance. You’ll manage debtor accounts, resolve payment issues, and ensure accurate reporting using Oracle. Your work directly supports financial accuracy and operational efficiency in a high-volume, service-focused environment serving global markets.Job OverviewEmployment Type: Full-timeShift: Mid Shift; Mon - Fri 03:00 PM - 12:00 AM (Weekends Off)Work Setup: Hybrid, OrtigasExciting Perks Await!HMO coverage with free dependent upon regularizationCompetitive Salary PackageNight differential pay to maximize your earningsHybrid work arrangementPrime office location in Ortigas (Easy access to MRT stations, restaurants, and banks)Mid shift scheduleFixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)Free 24/7 access to our office gyms (Ortigas and Makati) with a free physical fitness trainer!Exclusive Emapta Lifestyle perks (hotel and restaurant discounts, and more!)Unlimited opportunities for employee referral incentives across the organizationStandard government and Emapta benefitsTotal of 20 annual leaves to be used on your own discretion (including 5 credits convertible to cash)Fun engagement activities for employeesMentorship and exposure to global leaders and teamsCareer growth opportunitiesDiverse and supportive work environmentThe Qualifications We SeekGraduate of a Business or Accounting-related courseMinimum of&nbsp;3 years relevant work experience&nbsp;in&nbsp;Accounts Receivable and financial statement close processesBackground in retail, hospitality, or property sectors (preferred)Strong attention to detail, accuracy, and thoroughnessExcellent communication skills and professional telephone etiquetteProficiency in Microsoft Excel, Word, Outlook, and OracleTeam-oriented mindset with a willingness to learn and take initiativeComputer literacy and systems adaptabilityYour Daily TasksRaise customer invoices and credit notes on debtor accountsCollect outstanding sales invoicesPerform credit checks and set up new debtor accountsRun and post monthly customer statementsPrepare overdue invoice listings extracted from debtor accounts in Oracle FinancialsResolve queries related to collections with assistance from Commercial and Property teamsManage the dunning process by preparing and sending out 1st, 2nd, and legal letters, and handling customer responsesAssist the Cash Team in allocating receipts to debtor accounts and matching them to invoices in OraclePerform month-end reconciliations to ensure all invoices and credit notes are coded correctly in the systemInvestigate unallocated receipts and cash balances on debtor listingsPrepare monthly balance sheet reconciliations related to Accounts ReceivableImplement controls to ensure compliance with J-SOXManage the Accounts Receivable mailbox and respond to inquiries within 48 hoursHighlight delinquent and high-risk customers to the Credit Control SupervisorPerform ad hoc duties as assignedAbout the Client: Driving the Future of Urban MobilityIn the fast lane of the&nbsp;parking and mobility industry, our client is steering innovation across 500+ locations in the UK. From city centers to airports, they’re making access smarter, smoother, and greener—earning accolades like the&nbsp;Park Mark and People’s Parking Award. Backed by global powerhouses, they don’t just manage spaces—they create seamless journeys fueled by tech, service excellence, and financial precision.Welcome to Emapta Philippines!Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta stands proudly alongside industry giants, offering stability and exciting career opportunities. Your career flourishes here with competitive compensation, international clients, and a work culture focused on collaboration and innovation. Work with global clients across industries, supported by a stable foundation and like-minded professionals passionate about making an impact. Be part of the&nbsp;#EmaptaEra—apply now!",Accounting & Auditing,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Operations Associate,"Credit Pilipinas, Inc.",https://www.kalibrr.com/c/credit-pilipinas-inc/jobs/102632/operations-associate,"We're looking for someone energetic and excited to work and learn in our team!As a Operations Associate, you will:	Meet and maintain our relationships with new and existing clients - you will be their point person!	Prepare reports covering clients' backgrounds and highlighting crucial details that can make or break an application. These reports will be openly discussed with with upper management.	Work closely with other departments (including Finance, Accounting, Legal, Marketing) as clients pass from one stage to next in the application process.	Be a dynamic part of the team, as a small company, you'll wear different hats and have the opportunity to really learn the business inside out!	Please note that this is not a work from home position since we value in person discussion and collaboration.We're looking for someone energetic and excited to work and learn in our team!As a Operations Associate, you will:	Meet and maintain our relationships with new and existing clients - you will be their point person!	Prepare reports covering clients' backgrounds and highlighting crucial details that can make or break an application. These reports will be openly discussed with with upper management.	Work closely with other departments (including Finance, Accounting, Legal, Marketing) as clients pass from one stage to next in the application process.	Be a dynamic part of the team, as a small company, you'll wear different hats and have the opportunity to really learn the business inside out!	Please note that this is not a work from home position since we value in person discussion and collaboration.	Candidate must posses a Bachelor's/College Degree.	Excellent interpersonal skills.	Analytical and detail oriented.	Self-starter and independent.	Honest and trustworthy	Fluency in written and oral english	3 years of work experience	Candidate must posses a Bachelor's/College Degree.	Excellent interpersonal skills.	Analytical and detail oriented.	Self-starter and independent.	Honest and trustworthy	Fluency in written and oral english	3 years of work experienceHire NowSign UpLogin",Accounting & Auditing,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
Open for Finance &amp; Accounting Grad  | Functional Developer,Accenture in the Philippines,https://www.kalibrr.com/c/a-philippines/jobs/253360/open-for-finance-accounting-grad-functional-developer,"Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you!Be part of Accenture Philippines' 40-year legacy.What you’ll do:A. Functional Development	Develop new features or products for a particular area of our platform, working alongside the Development Team	Maintain and enhance current features and functionalities, and monitor and control the system	Configure business processes based on defined business requirement B. Analytics	Turn information into action through Analytics-based solutions	Develop quantitative and qualitative business insights using analytical tools and techniques	Integrate systems and data quickly and effectively C. Software Tester	Construct and execute test scripts	Document and report system errors and gaps identified during testing phase	Drive recommendations that contribute to the improvement of the program D. IT Operations Associate	Administer and maintain clients’ IT systems infrastructure, deal with servers, databases, network, and Cloud	Develop and maintain knowledge of tools and service management procedures necessary to run IT operations	Support incident identification, prioritization, and resolution activities	Participate in automation and other continuous improvement initiatives E. Technical Support	Deliver timely responses, diagnoses, resolutions, and tracking of customer support inquiries across various communication channels such as phone, email, chat, and social media.	Ensure adherence to Service Level Objectives (SLOs) for response and resolution times.	Will provide technical support, troubleshooting guidance, and personalized assistance to ensure our customers maximize the value of their investments.	Will play a critical role in providing technical support and guidance to customers.	Responsible for assisting customers with setup, troubleshooting, and optimization of RTC services to ensure seamless communication experiences.	Sales-oriented Account Management profile capable of addressing basic technical questions, recognize customer needs and proposed relevant upsells. F. Project Management Associate	Enable effective program management that increases overall quality of Technology Delivery	Support projects by tracking and managing project management office activitiesReady to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you!Be part of Accenture Philippines' 40-year legacy.What you’ll do:A. Functional Development	Develop new features or products for a particular area of our platform, working alongside the Development Team	Maintain and enhance current features and functionalities, and monitor and control the system	Configure business processes based on defined business requirement B. Analytics	Turn information into action through Analytics-based solutions	Develop quantitative and qualitative business insights using analytical tools and techniques	Integrate systems and data quickly and effectively C. Software Tester	Construct and execute test scripts	Document and report system errors and gaps identified during testing phase	Drive recommendations that contribute to the improvement of the program D. IT Operations Associate	Administer and maintain clients’ IT systems infrastructure, deal with servers, databases, network, and Cloud	Develop and maintain knowledge of tools and service management procedures necessary to run IT operations	Support incident identification, prioritization, and resolution activities	Participate in automation and other continuous improvement initiatives E. Technical Support	Deliver timely responses, diagnoses, resolutions, and tracking of customer support inquiries across various communication channels such as phone, email, chat, and social media.	Ensure adherence to Service Level Objectives (SLOs) for response and resolution times.	Will provide technical support, troubleshooting guidance, and personalized assistance to ensure our customers maximize the value of their investments.	Will play a critical role in providing technical support and guidance to customers.	Responsible for assisting customers with setup, troubleshooting, and optimization of RTC services to ensure seamless communication experiences.	Sales-oriented Account Management profile capable of addressing basic technical questions, recognize customer needs and proposed relevant upsells. F. Project Management Associate	Enable effective program management that increases overall quality of Technology Delivery	Support projects by tracking and managing project management office activitiesHere’s what you’ll need: 	Amenable to work in Manila office locations. A. Functional Development	Open to any course	Graduate of Computer Science, Engineering or Mathematics is an advantage	Willing to be trained in any programming language / skill	Likes configuring, maintaining and enhancing current features and functionalities of the systemB. Analytics	Graduate of Mathematics, Statistics or any related course	Interested in Data Science, infographics and reportsC. Software Tester	Graduate of Industrial Engineering or related courseInterest in software testing, debugging and quality assuranceD. IT Operations Associate	Graduate of Electronics &amp; Communications Engineering, Computer Engineering, Computer Science or other IT-related course	Interest and knowledge in IT systems, servers, network, Cloud and database support and administration workE. Technical Support	Must be a graduate of Bachelor's Degree in IT or similar	Undergraduates may be considered but should have at least 2 years of support experience in a BPO setting, on a tech-related field/account that focuses on email support/admin	Must at least have a basic understanding of how DNS works, including configuring common DNS records	Basic understanding of email delivery flow and how email gets sent and delivered from one server to another.	Strong troubleshooting skills including the ability to understand and resolve common HTTP/Web App and Interface related errors. (HTTP static errors, 403, 404, etc.)	Strong research, analytical and problem solving skills	Strong written and verbal communication skills in the English language	A basic understanding of how directory service works (User management, policies, permissions, etc...) is a plus	Experience with any form of Platform-as-a-Service (Paas) or Software-as-a-Service (SaaS) is a plus	A background on Email Hosting services is a plusF. Project Management Associate	Open to Fresh Graduates		Graduate of Business-related courses (e.g., Finance, BA, Accounting, Economics) or any related course			At least one (1) year of office work experience is an advantage	Good in MS Excel and Power Point	Hire NowSign UpLogin",Accounting & Auditing,"Mandaluyong City, National Capital Region (NCR)",Full-time,Kalibrr
Account Developer (Entry level Sales) - Roxas,Coca-Cola Europacific Aboitiz Philippines Inc.,https://ph.jobstreet.com/job/83220577?type=standard&ref=search-standalone&origin=cardTitle#sol=650b20c55c7b2f09bd32e326259091f8c1969ceb,"Reporting to: Territory Sales Manager/ Region Sales ManagerAt Coca- Cola Europacific Aboitiz Philippines, we are driven by our purpose to Refresh the Philippines and Make a Difference-- continuously leading the Beverage Industry with our Great People, Great Beverages, Great Execution and Great Partners. As we continue to Grow and shape the future, we are seeking passionate and innovative talents to join our team and make a difference with us.&nbsp;Our commitment to excellence has been recognized through numerous industry awards such as Great Place to Work, Best Places to Work in Asia, Dream Employer of the Year, and Universum's Most Attractive employers- and we take pride in our achievements and the impact we have made in the beverage industry.&nbsp;We are looking for skilled ACCOUNT DEVELOPERS to be part of our Sales Team.Key Responsibilities:Pre Take Off (PTO) and Conventional Routing System (CRS) Coachingcoach DSPs and Operations Managers on foundational selling skills and outlet execution aligned with CCEAP set standardsfacilitate pre take off meetings with DSP's, prepare CRS training objectives for the week&nbsp;ensures readiness of tools and materials needed for the routereview DSP's performance and highlighting opportunities on execution and volume2. Customer ManagementDelivers customer service through relationship management and ensures that customer concerns are settled in the shortest possible timeprovides feedback to the partner and immediate superior on delivery issues, concerns, opportunities for improvement, and other relevant information gathered in the tradeDrive price compliance3. Volume Achievement and Market Share Growthachieves volume objective and revenue targets by delivering high quality service to the assigned outletsSell in products using an established profit story and negotiate for incremental businessChecks if cascaded marketing programs, promotions and trade deals are executed according to plan4. Outlet Penetration and ConversionCoordinates new outlets opened and placement of additional key SKUs including new product launchesEvolves high potential silver outlets to gold stores5. Communications to Support FunctionsFollows processes established by the support functions&nbsp;Provides suggestions to improve these processes based on the experience from daily routine&nbsp;Suitable Candidates will Need to Demonstrate:*Graduate of any Business-Related Courses*Very Good Communication*Strong analytical and negotiation skills*Has a professional driver's license&nbsp;Reach us through our Social Media Pages!&nbsp;Thrive with us at Coca- Cola Europacific Aboitiz Philippines and be part of a Company that is shaping the future of the beverage industry. Together, we can create great moments and make a positive impact on the lives of millions. Apply today and let's refresh the world together!",Sales,"Roxas City, Western Visayas (Region VI)",Full-time,Jobstreet
Full Stack Web Developer,"Spiralytics, Inc",https://www.kalibrr.com/c/spiralytics-inc/jobs/180123/full-stack-web-developer,"Spiralytics is on the lookout for awesome members for our growing team! As a Sr. Web Developer, you’ll implement highly converting and highly ranking effective websites for our clients. You’ll work with our web strategists, designers and CRO experts to implement best-in-class sites that lead to strong marketing campaigns. You will also learn Google Analytics, and implement/debug technical analytics implementations with our client success team. This is a Junior level position where we are looking for people that have proven they can learn fast, and are looking to work with an experienced team to help you reach the next level. You’ll start with web and analytics projects, and eventually graduate to working on one of several internal and external projects built on the Laravel platform.Job Description	Design, develop, and maintain web applications using React and Vue.js for the front end and Laravel for the back end.	Collaborate with cross-functional teams to define, design, and ship new features.	Write clean, efficient, and well-documented code adhering to best practices.	Optimize application performance for speed and scalability.	Debug and resolve technical issues, ensuring system reliability and performance.	Mentor junior developers and interns, providing guidance, code reviews, and technical support to foster their growth.	Conduct knowledge-sharing sessions to improve the overall team’s technical capabilities.	Participate in architectural discussions and contribute to technical decision-making.	Stay updated with the latest trends and technologies in full-stack development.Your Career Path: Developers who are hungry to learn and grow are applying for the right job. You will not be spoon-fed, but will have advanced developers around you to help you learn how to learn and be efficient.	Web Development Mastery	Google Analytics Mastery	Software Development: Learn how to jump into a development project and contribute on a platform such as Laravel	Product Development: Learn how to build a software product from scratch using a platform such as Laravel	Technical Lead	Team LeadIf you choose, you can learn any of the technical marketing disciplines that Spiralytics implements for our clients.Spiralytics is on the lookout for awesome members for our growing team! As a Sr. Web Developer, you’ll implement highly converting and highly ranking effective websites for our clients. You’ll work with our web strategists, designers and CRO experts to implement best-in-class sites that lead to strong marketing campaigns. You will also learn Google Analytics, and implement/debug technical analytics implementations with our client success team. This is a Junior level position where we are looking for people that have proven they can learn fast, and are looking to work with an experienced team to help you reach the next level. You’ll start with web and analytics projects, and eventually graduate to working on one of several internal and external projects built on the Laravel platform.Job Description	Design, develop, and maintain web applications using React and Vue.js for the front end and Laravel for the back end.	Collaborate with cross-functional teams to define, design, and ship new features.	Write clean, efficient, and well-documented code adhering to best practices.	Optimize application performance for speed and scalability.	Debug and resolve technical issues, ensuring system reliability and performance.	Mentor junior developers and interns, providing guidance, code reviews, and technical support to foster their growth.	Conduct knowledge-sharing sessions to improve the overall team’s technical capabilities.	Participate in architectural discussions and contribute to technical decision-making.	Stay updated with the latest trends and technologies in full-stack development.Your Career Path: Developers who are hungry to learn and grow are applying for the right job. You will not be spoon-fed, but will have advanced developers around you to help you learn how to learn and be efficient.	Web Development Mastery	Google Analytics Mastery	Software Development: Learn how to jump into a development project and contribute on a platform such as Laravel	Product Development: Learn how to build a software product from scratch using a platform such as Laravel	Technical Lead	Team LeadIf you choose, you can learn any of the technical marketing disciplines that Spiralytics implements for our clients.	3-5 years of professional experience in full-stack web development.	Strong proficiency in JavaScript, with hands-on experience in React and/or Vue.js.	Solid experience with Laravel or similar PHP frameworks.	Knowledge of RESTful APIs and best practices for API integration.	Familiarity with version control systems..	Strong understanding of front-end and back-end development processes.	Experience with relational databases like MySQL or PostgreSQL.	Excellent communication skills, with the ability to explain technical concepts to junior developers and non-technical stakeholders.	Familiarity with CI/CD pipelines and deployment processes is a plus.	3-5 years of professional experience in full-stack web development.	Strong proficiency in JavaScript, with hands-on experience in React and/or Vue.js.	Solid experience with Laravel or similar PHP frameworks.	Knowledge of RESTful APIs and best practices for API integration.	Familiarity with version control systems..	Strong understanding of front-end and back-end development processes.	Experience with relational databases like MySQL or PostgreSQL.	Excellent communication skills, with the ability to explain technical concepts to junior developers and non-technical stakeholders.	Familiarity with CI/CD pipelines and deployment processes is a plus.Hire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
