title,company,link,job_desc,job_func,location,job_type,source,selected
Civil Engineer,RTS TECHNOLOGY PHILIPPINES INC.,https://ph.jobstreet.com/job/83290993?type=standard&ref=search-standalone&origin=cardTitle#sol=233a6329417573b53b40be20f8e735d0c9e34362,"The scopes involved are mainly construction of control building, equipment foundation, concrete trenches, M&amp;E, mechanical installations and T&amp;C.We require services on site management where the engineers assigned will be able to help us assess site progress, track and report back to us, discuss with subcon on issues and may be to able recommend solutions.",Engineering,Bicol Region (Region V),Contract/Temporary,Jobstreet,1
Project Engineer - Quezon/Batangas/Laguna,CALMAR LAND DEVELOPMENT CORPORATION,https://ph.jobstreet.com/job/82647520?type=standard&ref=search-standalone&origin=cardTitle#sol=375b0172b8cbed5c617ef3545151edfa5ec0f70d,"JOB SUMMARYThe Project Engineer is responsible for overseeing and coordinating all phases of land acquisition, land development, and housing construction. This role ensures that all activities are completed in accordance with approved plans, specifications, timelines, and quality standards, while maintaining strict compliance with safety and environmental regulations.PRINCIPAL DUTIESLand AcquisitionProject Planning and CoordinationSite Supervision and ExecutionContractor CoordinationMaterial and Equipment ManagementQuality Assurance and ComplianceReporting and DocumentationBudget and Cost ControlPerforms other related duties as may be assigned by superior from time to time.JOB SPECIFICATIONSEducation : Graduate of BS Civil Engineering, Licensed Civil EngineerExperience : At least two (2) years of work experience in construction or real estate industryCompetencies:Analytical and problem-solving skillsExcellent organizational, communication, and leadership skills.Knowledge of local building codes, safety regulations, and environmental standards.Proficiency in project management tools such as AutoCAD and MS OfficePreferably with driving skills and a valid driver's license*Hiring for &nbsp;thirteen (13) Engineers:Design Engineer (Lucena City, Quezon)Project Engineers (2 for Quezon, 2 for Batangas, 1 for Laguna)QA/QC Engineers (1 for Quezon, 1 for Batangas, 1 for Laguna)Research Engineer (Lucena City, Quezon)Cost Control Engineers (2 for Quezon)Land Acquisition Engineer (Lucena City, Quezon)",Engineering,CALABARZON (Region IV-A),Full-time,Jobstreet,
Project Inspector- Civil,SMEC,https://ph.linkedin.com/jobs/view/project-inspector-civil-at-smec-4182561404?position=7&pageNum=0&refId=YT0a2wtNR%2FYqkGW6w252dg%3D%3D&trackingId=n0Eb14SMDOKhCvLnDIZUqQ%3D%3D,"Position Purpose:This role will support an ongoing water project in the Philippines.The candidate must have the following qualifications for the civil inspector position.Licensed Civil Engineer5 years relevant construction experience as civil engineerRelevant experience in wastewater or water infrastructure construction and rehabilitation projectsResponsibilities:Verify that construction works adheres to approved plans, specifications, and relevant codes and standards. This involves checking of materials, workmanship, and construction methods.Conduct inspections and tests to ensure that materials and work meet quality standards. This may include testing of cement, aggregates, rebar, concrete, soil compaction, and other materials.Monitor Construction Sites to ensure that safety regulations are being followed. This helps to prevent accidents and protect the workers.Prepare and maintain detailed records of inspections, test, and any deviations from the approved plans and specifications. This is essential for project accountability and quality assurance.Other task as directed by the Construction Manager.",Engineering,National Capital Region (NCR),Contract/Temporary,Linkedin,1
Site Engineer (Civil Works),JAYA GUNA LANCAR (JGL) INC.,https://ph.jobstreet.com/job/82830190?type=standard&ref=search-standalone&origin=cardTitle#sol=4a9f7a22753141226e82f358bf6054bd688331f2,"Location: South LuzonEmployment Type: Full-timeJoin Our Team!We are looking for a highly skilled and proactive Site Engineer to oversee the construction of telecommunication cell site towers. If you have a passion for project execution, site management, and ensuring quality standards in telecom infrastructure, we want you on our team!Key Responsibilities:✔ Oversee cell site tower construction, ensuring compliance with project specifications and safety standards✔ Supervise on-site teams, subcontractors, and vendors to ensure smooth workflow✔ Conduct site surveys, inspections, and quality control checks✔ Manage project timelines, budgets, and resource allocation✔ Ensure adherence to Huawei ISDP system and other client requirements✔ Prepare and submit daily/weekly progress reportsQualifications:Licensed Civil, Electrical, or Electronics Engineer (preferred but not required)Minimum 2 years of experience in telecommunication tower constructionKnowledge of tower erection, foundation works, and telecom equipment installationFamiliarity with Huawei ISDP system and telecom industry standards is a plusStrong leadership, problem-solving, and communication skillsWilling to travel and work on-site in different locationsWhat We Offer:✅ Competitive salary and benefits✅ Opportunities for career growth in the booming telecom industry✅ A dynamic and supportive work environment✅ Project incentives and allowancesApply Now!Be part of our growing team and help build the future of telecommunications!&nbsp;",Engineering,Bicol Region (Region V),Full-time,Jobstreet,1
Junior Engineer,Healthy Options,https://ph.linkedin.com/jobs/view/junior-engineer-at-healthy-options-4187748971?position=19&pageNum=0&refId=YT0a2wtNR%2FYqkGW6w252dg%3D%3D&trackingId=xeSPefjkA1vrV8uHLig%2Fog%3D%3D,"Our vision is to have a healthier world where people take responsibility for their own health and the planet.Since our first store opened at Shangri-La mall in 1995, our customer advisors have dedicated themselves to achieving our vision through educating and empowering our customers. The success in establishing Healthy Options as the premier all natural products store chain in the country has been made possible by our dedicated people.To build on this success, we will continue to focus on providing world-class customer experience and innovative natural products and services.Join us to continue and expand the contribution Healthy Options is!Job DescriptionResponsible for the documentation/ filing of the group transactions (Contractor’s Billings, letters, Payment Requests and building plans. Familiarity and knowledge in different type of equipment and facilities in Company. Coordinates the repair and maintenance schedule of all facilities. Manage Projects assigned from time to time. Provide technical recommendation whenever required.Minimum QualificationsBachelor’s/College degree in Engineering (Civil/Electrical/ Mechanical) or its equivalent working experience.At least 1 or 2 years work experience in building Facilities and Maintenance or equivalentAnalytical Skills, Interpersonal skills;Highly motivated, self-starter who has the ability to thrive in a fast-paced environment;Has the tenacity to withstand pressures;Has high level of integrity/honesty and deals professionally with all internal and external contacts;Has the ability to handle confidential matters;Dependable, flexible and conscientious;Has Passion for Excellence, proactive and ability to anticipate situations;Organized, can set priorities;",Engineering,National Capital Region (NCR),Full-time,Linkedin,
Civil Engineer | Permanent WFH,BizForce,https://ph.linkedin.com/jobs/view/civil-engineer-permanent-wfh-at-bizforce-4193236178?position=10&pageNum=0&refId=YT0a2wtNR%2FYqkGW6w252dg%3D%3D&trackingId=bUMqsfu8kdid4%2B5ICOzM5g%3D%3D,"As a Civil Engineer, you will play a crucial role in providing expert support to one of our esteemed clients, leveraging your specialized knowledge and skills to ensure the successful planning, design, and execution of their projects. You will collaborate closely with our client's team, contributing to innovative ideas, overseeing project timelines, managing resources efficiently, and ensuring compliance with industry standards and regulations. Your expertise will be instrumental in addressing technical challenges, optimizing project outcomes, and delivering exceptional results that meet and exceed client expectations.RequirementsBachelor's degree in Civil Engineering or a related field from an accredited institutionLicensed Civil EngineerAt least 5 years of relevant work experience in CE practiceCD portfolio showcasing work samples with descriptions of your role, project details, and contributionsProficiency in REVIT, Autocad, and/or other CE softwareExcellent communication, organizational, and problem-solving skillsAbility to work effectively in a virtual environment and collaborate with remote teams during US business hoursBenefitsPermanent Work From HomeLeave CreditsMonetary AllowanceAnnual BonusWeekly PaychecksFixed Weekends OffThriving Company Culture with Complete AutonomyExclusive Specialized Training ProgramsUnlock Your Potential with a Highly Competitive Salary____________________________________________________________________Who are we?BizForce is one of the fastest-growing global outsourcing companies in the world, founded in the US in Tucson, Arizona and is now operational in PH!Our Commitment to delivering high-quality results for our clients and the only way to do that is ensuring a rewarding, respectful and productive experience for our employees. We hold the same values for both our customers and our employees.Why work for Bizforce? Bizforce is a global remote workforce solutions company currently partnering with some of the largest Architectural and Engineering firms in the world. If you are looking to advance your career and improve your skills with an industry leader, we encourage you to apply today! Bizforce was founded with one goal – to deliver dependable high-quality skilled labor and business processes to US-based companies at affordable prices. Bizforce has grown rapidly and allows the best talent in PH to work remotely from home with the latest technology and resources. BizForce is proud to partner with PH to deliver qualified, professional workers, giving our Architects and Engineers the ability to have an unbeatable career and work from home.","Project Management, Management, Design",Philippines,Full-time,Linkedin,
Civil Engineer,Taikisha Philippines Inc.,https://ph.jobstreet.com/job/83071487?type=standard&ref=search-standalone&origin=cardTitle#sol=66092a124a984256a816bf76b2c853e61dc25805,"Duties and Responsibilities:-To develop design and estimate of projects with civil requirements.-To conduct feasible assessments and site inspections of projects in terms of building and structural scope;- Provide assistance to other engineering works&nbsp;Qualifications:*Graduate of Civil Engineering Degree; Licensed/registered Civil Engineer*At least 2-5 yrs work experience; preferably with design and estimate*Familiar with design software such as AutoCAD, Autodesk and other Civil Softwares.*Ability to coordinate more than one project at a time.*Willing to work extended office hours, and can work with minimum supervision and under pressure.*Can be a Fresh Graduate and can start immediately.&nbsp;",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Civil Works Inspector,Rockwell Land Corporation,https://ph.linkedin.com/jobs/view/civil-works-inspector-at-rockwell-land-corporation-4182421712?position=21&pageNum=0&refId=YT0a2wtNR%2FYqkGW6w252dg%3D%3D&trackingId=jsyvc%2B36ZeSsJP04sw35Bg%3D%3D,"Job Summary:We are seeking a dedicated and detail-oriented Civil Works Inspector to join our team. The ideal candidate will be responsible for inspecting and ensuring quality compliance in horizontal construction projects. You will work closely with contractors, engineers, and project managers to ensure that all construction work adheres to design specifications, safety regulations, and quality standards.Key Responsibilities:Conduct thorough site inspections to monitor the quality of construction works, including excavation, grading, drainage systems, paving, road construction, and other horizontal infrastructure.Ensure all work is in compliance with applicable codes, safety regulations, project specifications, and standards.Prepare and maintain accurate inspection reports, including daily progress reports, non-compliance issues, and material testing results.Liaise with project managers, engineers, contractors, and other stakeholders to resolve issues and ensure the timely completion of the project.Conduct material sampling and testing to verify compliance with project specifications and regulatory standards.Monitor worksite safety conditions to ensure compliance with safety protocols and environmental regulations.Perform field measurements, leveling, and other surveying tasks to ensure proper alignment and grading of construction works.Identify and document deficiencies or areas of concern and work with the contractor to rectify them.Review change orders and modifications and assess their impact on the construction process.Qualifications:Bachelor’s degree in Civil Engineering and a Licensed Civil Engineer.Minimum of 3 years of experience in civil construction, with a focus on horizontal construction projects.Must be willing to be assigned in Lian, Batangas.",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Linkedin,1
CIVIL ENGINEER,Baque Corporation,https://ph.jobstreet.com/job/82683320?type=standard&ref=search-standalone&origin=cardTitle#sol=5638c05ff5379d9e5440c0029746e2a44391751f,"Civil Engineer, Professional License is an advantage.Fresh Graduate is welcome.At least 2 to 5 years experience in Construction Management Experience of Land Development/Horizontal Construction Management and must have effective Leadership skills- able to manage the site and its people, is an advantage.Must have an efficient system and processes at the project site- in its planning, implementation, and project management.Must know how to prepare the various construction documents necessary for the company’s progress billing/subcontractor’s billing, bidding purposes, and permit applications.Must be skilled in doing Estimating works/ As built plans.Must be proficient in Autocad, MS Office, and the Internet Must maintain strict adherence to the budgetary guidelines, timeline, quality, and safety standards of the project assigned.Must be an effective communicator -- qualified to handle the clients as well as the key persons involved in the project.Must be quick in addressing issues and/or foresee the potential issues that may arise during the course of construction.Must be able to head and conduct regular/ toolbox meetings to the manpower and subcontractors, assessing the status of the works. Must be able to work proficiently under minimum supervisionWilling to be assigned to any project sites / office branch.For inquiries, please call or text HR at 0917-7139220, send your resume at baquehr@gmail.com",Engineering,"Laguna, CALABARZON (Region IV-A)",Full-time,Jobstreet,
Structural and Civil Draftsperson,MicroSourcing,https://ph.linkedin.com/jobs/view/structural-and-civil-draftsperson-at-microsourcing-4193696333?position=25&pageNum=0&refId=YT0a2wtNR%2FYqkGW6w252dg%3D%3D&trackingId=a873zcnnVDM58g6w4TNkBA%3D%3D,"Discover your 100% YOU with MicroSourcing!Position:Structural and Civil DraftspersonLocation: 1880 Eastwood Ave, Quezon City, 1800 Metro ManilaWork setup &amp; shift: Work from Home / Night ShiftStructural and Civil DraftspersonYou'll HaveCompetitive Rewards: Enjoy above-market compensation, healthcare coverage on day one, plus one or more dependents, paid time-off with cash conversion, group life insurance, and performance bonusesA Collaborative Spirit: Contribute to a positive and engaging work environment by participating in company-sponsored events and activities.Work-Life Harmony: Enjoy the balance between work and life that suits you with flexible work arrangements.Career Growth: Take advantage of opportunities for continuous learning and career advancement.Inclusive Teamwork: Be part of a team that celebrates diversity and fosters an inclusive culture. Your Role:Structural And Civil Draftsperson You WillCreate detailed structural and civil drawings and plans using drafting software.Collaborate with architects and engineers to understand project requirements and integrate them into design documents.Prepare single and multi-unit stormwater drainage plans.Develop site design plans, including levels, site grades/falls, and generation of 3D design tins.Revise and update existing drawings to reflect design changes and modifications as directed by the engineer or project manager.Prepare and review structural details such as beam sizes, column sizes, and connection details for construction projects.Assist in the development of project timelines and drafting schedules to meet deadlines.Coordinate with other drafters and team members to ensure consistency and accuracy across multiple sets of plans.Participate in project meetings to discuss design issues, progress, and challenges.Maintain an organized archive of drawings, reference materials, and project documentation for future reference and complianceWhat You Need:Proficiency in AutoCAD 2D (minimum requirement).Experience with AutoCAD Civil 3D or 12D Model (ideal).Knowledge of Australian Standards, including slab design, stormwater drainage, and timber framing code.Exposure to engineering concepts related to structural and civil design.About MicroSourcingWith over 9,000 professionals across 13 delivery centers, MicroSourcing is the pioneer and largest offshore provider of managed services in the Philippines. Our commitment to 100% YOUMicroSourcing firmly believes that our company's strength lies in our people's diversity and talent. We are proud to foster an inclusive culture that embraces individuals of all races, genders, ethnicities, abilities, and backgrounds. We provide space for everyone, embracing different perspectives, and making room for opportunities for each individual to thrive.At MicroSourcing, equality is not merely a slogan - it's our commitment. Our way of life. Here, we don't just accept your unique authentic self - we celebrate it, valuing every individual's contribution to our collective success and growth. Join us in celebrating YOU and your 100%!For more information, visit https://www.microsourcing.com/Terms &amp; conditions apply",Engineering,"Quezon City, National Capital Region (NCR)",Full-time,Linkedin,1
