title,company,link,job_desc,job_func,location,job_type,source
Industrial Engineer,Crackerjack Corporation,https://ph.linkedin.com/jobs/view/industrial-engineer-at-crackerjack-corporation-4073627350?position=18&pageNum=0&refId=g6RGUgo676zwfVn6EKWhNg%3D%3D&trackingId=LzouQnSCPhnLpjKlncgA0A%3D%3D&trk=public_jobs_jserp-result_search-card,"Measuring accurate factory efficiency, line performance, changeover effectiveness, capacity study, time &amp; motion study, machine breakdown, etc.Set up base target based on basic, semi-critical &amp; critical operations and ensure the implementation of line and special incentive policy.Conduct skill assessment of new operators, ensure floor discipline, identify training needs and manage their work quality and career development.Communicate with the product development team to make the product feasible for production, and at the same time, meet customers' demands.Prepare monthly manpower projection, requirement, and turnoverEnsure cost reduction by reducing all kinds of wastages.Ensure safety, quality, and compliance activities in the workplace.Monitoring Production Schedule.Studying and implementing time study, method study, etc.Creating a daily cutting and sewing finishing efficiency report to track progress and identify areas for improvement.Establishing a meeting between QC and operators to review critical points of the style and ensure quality production.Monitoring input and output daily to ensure production is on track.Cross-checking thread consumption for every new style to ensure accurate production.","Management, Manufacturing",Other,Full-time,Linkedin
Quality Engineer,Gensai Career Consulting Corp,https://ph.jobstreet.com/job/83295799?type=standard&ref=search-standalone&origin=cardTitle#sol=f44ee428f1bdf9026c90d4b6788ebb94c8ed3a1b,"Job Title: Quality EngineerJob Description: Lead root cause analysis to reduce rework, improving production yields.· Review and disposition non-conforming parts/systems.· Identify opportunities to improve product manufacturability.· Contribute to engineering change orders as necessary.· Develop acceptance test plans and testing procedures in accordance with contract requirements and product specifications.· Contribute to program’s engineering change proposals.· Write test reports as necessary.· Track and monitor production metrics yields, perform process capability.· Conduct conformance verification, including scheduling, inspection, testing, and reporting.· Complete conformance inspection failure investigations and identify root causes and implement corrective actions.· Compile failure reports as necessary.· Interface with customers during IPT meetings and program reviews as required.· Perform internal audits and maintenance of the organization’s ISO 9001:2015 certification.· Other tasks as assigned.Required Experience3-5 years in the same field and came from the companies which is in the list. DAIHO, PTP, TRC, KOSHIN, AIHAN, EPPI-IH, HONGTAI, K&amp;K, PHILINAK, BO CHENG, AIPI, MATEX, K&amp;K, DAIHO, BIG, TOMS, PHILINAK, TAIHAN, TRC, MATEX, HONTAI, SHINGHUNG, ZHONG YU, KOSHIN, SANSYU, OB KOGYO, BO CHENG, LEADENCE, AIPIBenefits: Basic MandatoriesWork Schedule:  MTW (8am to 7pm)  and TH - F (8am to 6pm).Location: Calamba, Laguna","Manufacturing, Transport & Logistics",CALABARZON (Region IV-A),Full-time,Jobstreet
Industrial Engineer,FAST Logistics Group,https://www.foundit.com.ph/job/industrial-engineer-fast-logistics-group-philippines-33918567,"Major FunctionsApply methodology and conduct studies to improve practices and performance in the DC.Provide projects to improve DC Performance related to SQSCP.Duties and ResponsibilitiesIdentifies and executes valuable projects that could contribute convenience to co-employee.Performs assessment on operational violations based on known policies and procedures.Ensures updated standard DC procedures as scheduled.Assists standards and control head in implementing business continuity plan simulation.Performs productivity studies in order to quantify duration of a certain process made.Provide and implement new procedures that could simplify existing processes and promote effective operational productivity.Perform assessment on operational violations based on known policies and procedures, management, quality and GWP audit.Acts as training guide for newly implemented system approach and ensure accuracy of information given to end-users.Monitors and reviews existing and newly implemented procedures. Draw feedback that could further enhance the operation.Ensure on time submission of FSC Scorecard (Productivity, Profiling, OCR etc).On time closure of assigned error logs based on lead time set on error logs monitoring.Attend and on time closure of actions assigned on DOR and PISM Meeting .Maintain cleanliness and orderliness of the work place and actively participate in all programs set by the management.Perform other duties as maybe assigned from time to time by their immediate superior.Professional QualificationsCollege graduate of any 5 year engineering course, preferably fresh graduate of Industrial Engineering.Possess above average in communication, presentation, problem solving, logical and analytical skills.Computer Literate (word, excel, PowerPoint)Personal QualificationsProactive, Innovative, Creative, Flexible, Non-bias and can easily adapt to changes, committed and result oriented. Must have good communication and interpersonal skillsWith good leadership skills                       Show more                                              Show less",,Philippines,Full-time,Foundit
Management Program / Industrial Engineer / Finance / Accounting,Transportify Philippines,https://www.foundit.com.ph/job/management-program-industrial-engineer-finance-accounting-transportify-philippines-philippines-34295243,"PLEASE READ: BE SURE YOU FOLLOW THE INSTRUCTIONS BELOW UNDER ""HOW TO APPLY"". WE ONLY REVIEW COMPLETE APPLICATIONS.ABOUT USTransporitfy is Southeast Asia&amp;aposs leading trucking, road cargo and goods delivery provider operating in Indonesia, Philippines and Thailand. In other countries we are known as ""Deliveree."" Our asset light business is powered by evolving third-generation technology, a massive marketplace of vendors, a robust roster of multinational and SME customers and our team&amp;aposs deep commitment to operational excellence.Transportify is operating in Luzon, Visayas and Mindanao. We are looking for energetic individuals to join our team.SUMMARY OF OPPORTUNITYWe are searching for industrial engineering and accounting/finance graduates to join our management program (other engineering courses are welcome to apply). Our company is a logistics technology company and we believe that the skills learned by engineering graduates are easily adaptable to the skills required by many roles in our company.Since we view engineers and finance/accounting graduates as easily adaptable for many roles in our company, our interview process carefully assesses the strengths and objectives of the candidate. Then we match the candidate with rotations that develop the candidate&amp;aposs analytical skills (data analysis skills) and that allow us to create a career path that leverages the candidate&amp;aposs strengths. The rotations will be fast-paced, intense and challenging; but benefitting directly from the company&amp;aposs fast-paced growth.The role is ideal for individuals who fresh graduates who are hungry for growth want to hit the ground running. QUALIFICATIONSWe prefer fresh or graduates. We look for high achievement / overachievement in university (engineering/accounting/finance courses preferred).Ability to self-manage without daily micromanagementHunger and drive to achieve superior results. Strong work ethic.Prior industry experience not required - we prefer raw talentHOW TO APPLY [Very Important!]Congratulations, most people don&amp;apost read this far down. Please write a cover email to Paulo at [HIDDEN TEXT] and attach the following documents:1. PDF resume2. Completed Pre-Interview Form - you can download the form at the following link -&gt; https://bit.ly/seniorcoodinator-preformApplications that do not follow the instructions above will not be considered.                       Show more                                              Show less",,Philippines,Full-time,Foundit
Industrial Engineer ( PROGS),Teradyne,https://www.foundit.com.ph/job/industrial-engineer-progs-teradyne-philippines-34282823,"Teradyne is looking for talented people, who share our passion and drive, to join our team. Our customers are the worlds leading electronics companies and they depend on us to help them get quality products to market. At Teradyne, we ride the wave of technological innovation every day. Its an exciting business! If being part of a global team is something that excites you, Teradyne may be the place for you.Basic Duties And Responsibilities Developing and Implementing Process Improvements: Analyze existing processes and identify areas for improvement. Design and implement changes to enhance efficiency and productivity.  Designing Efficient Production Processes: Lead or support the creation of production layouts and workflows that maximize efficiency and minimize waste. The goal is to optimize resource utilization and reduce unnecessary steps in the production cycle.  Quality Control and Cost Reduction: Work to maintain quality standards while minimizing costs. This involves evaluating material usage, production methods, and equipment efficiency.  Designing Control Systems: Develop control systems to help manage costs, production issues, and quality control. These systems help streamline operations and improve overall performance. Requirements And Skills Education : A degree in Industrial Engineering or a related field is preferred.  Work Experience : Proven experience as an Industrial Engineer or in a similar role.  Technical Knowledge : Advanced knowledge and understanding of Industrial Engineering tools and methodologies.  Problem-solving skills : Critical thinking and the ability to address operational challenges.  Communication : Strong communication and presentation abilities.  Attention to Detail : A keen eye for identifying inefficiencies and areas for improvement.  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment.                       Show more                                              Show less",,Central Visayas (Region VII),Full-time,Foundit
"Associate Engineer, Industrial Engineering",Analog Devices,https://www.foundit.com.ph/job/associate-engineer-industrial-engineering-analog-devices-philippines-34220934,"Come join Analog Devices (ADI)  a place where Innovation meets Impact. For more than 55 years, Analog Devices has been inventing new breakthrough technologies that transform lives. At ADI you will work alongside the brightest minds to collaborate on solving complex problems that matter from autonomous vehicles, drones and factories to augmented reality and remote healthcare.ADI fosters a culture that focuses on employees through beneficial programs, aligned goals, continuous learning opportunities, and practices that create a more sustainable future.About Analog DevicesAnalog Devices, Inc. (NASDAQ: ADI ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $9 billion in FY24 and approximately 24,000 people globally, ADI ensures today&amp;aposs innovators stay Ahead of What&amp;aposs Possible. Learn more at www.analog.com and on LinkedIn and Twitter (X). Review site-specific capacity (tester, handler, prober) and identity/resolve any constraints and shortfalls using constraint, unconstraint supply, and demand, reference to JDA and Supply Health. Crosscheck the utilization rates on the floor for the top running products, and drive/track improvements with production/ engineering/ maintenance and other cross-functional teams. Address UIPH discrepancy provided by IE team to ensure responsible parties resolve the issues and track them to complete. Weekly throughput monitoring and identifying the root causes of low throughput and track resolutions to completion. Track weekly WIP situation and report testers/handlers with high weeks of wip qty. Ensure plan exists to reduce the wip to the required planned level. Measure, identify and track the progress and report if there are any outstanding issues. Track schedules for test platform and product transfers and ensure planning data (TPS/SCP) is updated. Review and resolve zero capacity cells. Manage Load balancing between locations and ensure capacity is in line with needs. Able to drive collaboration meetings with cross functional teams (Factory, IE, OR, etc) and perform project management Able to lead a small group (if opportunity is available)For positions requiring access to technical data, Analog Devices, Inc. may have to obtain export licensing approval from the U.S. Department of Commerce - Bureau of Industry and Security and/or the U.S. Department of State - Directorate of Defense Trade Controls. As such, applicants for this position  except US Citizens, US Permanent Residents, and protected individuals as defined by 8 U.S.C. 1324b(a)(3)  may have to go through an export licensing review process.Analog Devices is an equal opportunity employer. We foster a culture where everyone has an opportunity to succeed regardless of their race, color, religion, age, ancestry, national origin, social or ethnic origin, sex, sexual orientation, gender, gender identity, gender expression, marital status, pregnancy, parental status, disability, medical condition, genetic information, military or veteran status, union membership, and political affiliation, or any other legally protected group.Job Req Type: Graduate JobRequired Travel: No                                Show more                                              Show less",,Philippines,Full-time,Foundit
Process Improvement Engineer,Confidential Careers,https://ph.linkedin.com/jobs/view/process-improvement-engineer-at-confidential-careers-4181760898?position=7&pageNum=0&refId=g6RGUgo676zwfVn6EKWhNg%3D%3D&trackingId=A1q85jm5Q1SsblrkAH0kkQ%3D%3D,"Official Job Profile: Business Process Excellence Lead - IntermediateSite Location: McKinley West, Taguig CityShift Schedule: Night ShiftWork Setup: 100% OnsiteOverview:Conduct thorough analysis on existing business processes to identify inefficiencies, bottlenecks, and areas of improvement. Utilize data-driven insights and performance metrics to assess process effectiveness and identify opportunities for optimization. Design streamlined, standardized, and scalable medium to high complexity business processes that leverage best practices and innovation solutions. Identify and evaluate technology solutions that support process automation, digitization, and efficiency gains. Facilitate training and mentor green belt Lean Six Sigma projects to drive desirable business outcomes. Oversee smooth implementation of process improvement and measure its post-implementation resultsStrong knowledge of process improvement methodologies, tools and technologies (Visio, LucidChart, statistical software…)Strong analytical skills, with the ability to translate complex data into actionable insightsAbility to solve complex problems, taking a new perspective on existing solutions; exercise judgment based on the analysis of multiple sources of informationStrong communication, interpersonal and senior stakeholder management skillsStrong expertise in project management methodologies and best practicesRequired skills + qualities (technical):3+years of experience in process transformationBachelor’s degree in Business, Engineering or related fieldLean Six Sigma Certification: Green BeltB2+ oral and written EnglishRequired skills + qualities (non-technical):Stakeholder assessment and managementLeadership skills and business ownershipPassion for process improvement, high performance and creativity to solve challengesChange management skills, ability to initiate change and influence others in a positive way",Project Management,"Taguig City, National Capital Region (NCR)",Full-time,Linkedin
Industrial Engineer Manager,"First Philec, Inc",https://ph.jobstreet.com/job/83217496?type=standard&ref=search-standalone&origin=cardTitle#sol=32b3b538f3802c646cd7f1b4efae17e91d04b445,"Conduct time studies and gather data on production processes to determine the most efficient methods and identify areas for improvement.Analyze data collected during time studies to identify bottlenecks, inefficiencies, and areas where productivity can be enhanced.Collaborate with cross-functional teams, including production managers, engineers, and technicians, to develop and implement process improvement initiatives.Design and implement work methods, procedures, and layouts to optimize workflow and minimize waste.Develop and maintain accurate time standards for various tasks and operations.Create and update standard operating procedures (SOPs) and work instructions to ensure consistency and efficiency.Conduct regular audits to ensure compliance with established standards and procedures.Provide training and guidance to employees on improved processes and time management techniques.Utilize software tools and systems to track and monitor productivity metrics.Stay updated on industry trends, best practices, and technological advancements related to time study and process improvement.Qualifications:Graduate of Bachelor of Science in Industrial EngineerChange ManagementCritical ThinkingData results gathering and analysisCan drive resultsProcess Improvement methods",Engineering,"Batangas City, CALABARZON (Region IV-A)",Full-time,Jobstreet
Corporate Process Analyst,Meralco Industrial Engineering Services Corporation,https://ph.jobstreet.com/job/82924847?type=standard&ref=search-standalone&origin=cardTitle#sol=0176df95cd9da1aab4266bae66b9c1bcb6b5c45e,"JOB SUMMARYThe Corporate Process Analyst provides support to the Company through implementing various process improvement initiatives and projects in order to ensure strategic alignment of the organization to its goals and objectives. He/she conducts studies and reviews processes of the whole organization to improve efficiency and optimize resources.&nbsp;KEY ROLES AND RESPONSIBILITIESConducts process mapping and documentation for assigned business process.Analyzes processes using IE/OR methods and techniques.&nbsp;Develops solutions to improve the quality, quantity and efficiency of the throughput and output in coordination with process owners; utilizes process redesign, ergonomics, layout redesign, training and resource utilization.Presents recommended solution, implementation plan and cost-benefit analysis to management.Manages and monitors the implementation of the project in terms of output quality, cost and schedule.Promote awareness on corporate policies and procedures.JOB QUALIFICATIONSGraduate of a Bachelor’s/College degree in Industrial Engineering.With 2 years work experience in the same field.Strong analytical and problem solving skills.Knowledgeable in IE/OR methods and techniques and process improvement methodologies.Good presentation skills.Knowledgeable in cost-benefit analysis.Knowledgeable in Process Documentation software and Industrial Engineering software. (Camunda, Minitab)",Management,"Manila City, National Capital Region (NCR)",Full-time,Jobstreet
Industrial Engineer,"GLOBAL STAFF RECRUITMENT SEARCH, INC.",https://ph.linkedin.com/jobs/view/industrial-engineer-at-global-staff-recruitment-search-inc-4185796024?position=12&pageNum=0&refId=g6RGUgo676zwfVn6EKWhNg%3D%3D&trackingId=2R1LluqIePy3AbHXNqJkWA%3D%3D,"Job DescriptionProject Obeya Board.Project Timeline weekly updating.Data gathering, analysis and simulation.Hub operation and process set-up.Hub facility layout and designing.System set-up.Meeting schedule with working group.Job ResponsibilitiesCandidates must possess Bachelor Degree of Industrial Engineering.Fresh Graduates are encouraged to Apply!At least 1 year work experience as process analyst.Highly proficient in the use of Proficiency in Microsoft Office Suite.Possesses exceptional verbal and written communication skills.Customer Service Skills.Demonstrates strong organizational and time management skills.Can work with minimum supervision.Attention to Details.Must be willing to render overtime.Willing to work in STA. ROSA, LAGUNA.Willing to start ASAP.","Management, Manufacturing","Laguna, CALABARZON (Region IV-A)",Contract/Temporary,Linkedin
